ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0045839,negative regulation of mitotic nuclear division,14/668,57/21288,0.245614035087719,7.82729278285534,9.28970367792515,1.73340265531587e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000071539/ENSG00000152253/ENSG00000002822/ENSG00000121101/ENSG00000124688/ENSG00000172113/ENSG00000174442,14
GO:0031577,spindle checkpoint signaling,13/668,48/21288,0.270833333333333,8.6309880239521,9.52632218104093,1.78763091348011e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000071539/ENSG00000152253/ENSG00000002822/ENSG00000121101/ENSG00000124688/ENSG00000174442,13
GO:0003002,regionalization,41/668,457/21288,0.0897155361050328,2.85907834222147,7.23105829795862,1.79798569504332e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000122592/ENSG00000136944/ENSG00000163132/ENSG00000106004/ENSG00000138696/ENSG00000078401/ENSG00000106006/ENSG00000106511/ENSG00000120075/ENSG00000128918/ENSG00000170166/ENSG00000172789/ENSG00000005102/ENSG00000075891/ENSG00000115844/ENSG00000120149/ENSG00000156574/ENSG00000184937/ENSG00000241186/ENSG00000007372/ENSG00000078399/ENSG00000090932/ENSG00000106689/ENSG00000128917/ENSG00000163093/ENSG00000198719/ENSG00000243709/ENSG00000113971/ENSG00000120094/ENSG00000121068/ENSG00000130700/ENSG00000136574/ENSG00000139567/ENSG00000165138/ENSG00000179284/ENSG00000115507/ENSG00000125878/ENSG00000128710/ENSG00000163064/ENSG00000168772/ENSG00000170689,41
GO:0032309,icosanoid secretion,13/668,49/21288,0.26530612244898,8.45484541121838,9.40309406076748,2.36388906127263e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000117215/ENSG00000188257/ENSG00000069764/ENSG00000170890/ENSG00000078401/ENSG00000100078/ENSG00000127472/ENSG00000174697/ENSG00000153246/ENSG00000197696/ENSG00000240972/ENSG00000101188/ENSG00000187980,13
GO:0033046,negative regulation of sister chromatid segregation,13/668,49/21288,0.26530612244898,8.45484541121838,9.40309406076748,2.36388906127263e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000071539/ENSG00000152253/ENSG00000002822/ENSG00000121101/ENSG00000124688/ENSG00000174442,13
GO:0033048,negative regulation of mitotic sister chromatid segregation,13/668,49/21288,0.26530612244898,8.45484541121838,9.40309406076748,2.36388906127263e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000071539/ENSG00000152253/ENSG00000002822/ENSG00000121101/ENSG00000124688/ENSG00000174442,13
GO:0045841,negative regulation of mitotic metaphase/anaphase transition,13/668,49/21288,0.26530612244898,8.45484541121838,9.40309406076748,2.36388906127263e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000071539/ENSG00000152253/ENSG00000002822/ENSG00000121101/ENSG00000124688/ENSG00000174442,13
GO:2000816,negative regulation of mitotic sister chromatid separation,13/668,49/21288,0.26530612244898,8.45484541121838,9.40309406076748,2.36388906127263e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000071539/ENSG00000152253/ENSG00000002822/ENSG00000121101/ENSG00000124688/ENSG00000174442,13
GO:0007088,regulation of mitotic nuclear division,20/668,126/21288,0.158730158730159,5.05845451953236,8.22372789134338,2.44496651057375e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000071539/ENSG00000152253/ENSG00000078401/ENSG00000126787/ENSG00000002822/ENSG00000124205/ENSG00000121101/ENSG00000124688/ENSG00000127564/ENSG00000137804/ENSG00000148773/ENSG00000172113/ENSG00000174442,20
GO:0015718,monocarboxylic acid transport,25/668,195/21288,0.128205128205128,4.08567480423768,7.79111140803492,2.56626323589892e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000121361/ENSG00000117215/ENSG00000188257/ENSG00000069764/ENSG00000170890/ENSG00000078401/ENSG00000100078/ENSG00000125166/ENSG00000127472/ENSG00000174697/ENSG00000153246/ENSG00000170571/ENSG00000100156/ENSG00000147872/ENSG00000155380/ENSG00000197696/ENSG00000118596/ENSG00000164687/ENSG00000170323/ENSG00000240972/ENSG00000101188/ENSG00000174326/ENSG00000174640/ENSG00000187980/ENSG00000205560,25
GO:0048568,embryonic organ development,43/668,500/21288,0.086,2.74067065868263,7.08918627026626,2.60309250315014e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000170421/ENSG00000122592/ENSG00000163132/ENSG00000106004/ENSG00000078401/ENSG00000120075/ENSG00000121742/ENSG00000128918/ENSG00000170166/ENSG00000075891/ENSG00000115844/ENSG00000116039/ENSG00000156574/ENSG00000171345/ENSG00000007372/ENSG00000078399/ENSG00000105717/ENSG00000105880/ENSG00000148926/ENSG00000163093/ENSG00000166831/ENSG00000169946/ENSG00000184254/ENSG00000196839/ENSG00000198719/ENSG00000113971/ENSG00000120094/ENSG00000121068/ENSG00000136574/ENSG00000156103/ENSG00000164932/ENSG00000176887/ENSG00000196092/ENSG00000006377/ENSG00000070031/ENSG00000115507/ENSG00000117318/ENSG00000128710/ENSG00000129757/ENSG00000138829/ENSG00000163064/ENSG00000164920/ENSG00000170689,43
GO:1904062,regulation of monoatomic cation transmembrane transport,33/668,322/21288,0.102484472049689,3.26600215717633,7.37448327375701,2.71058121230845e-09,5.1455866680322e-07,3.99454073392824e-07,ENSG00000143153/ENSG00000198523/ENSG00000018625/ENSG00000129244/ENSG00000137731/ENSG00000266964/ENSG00000138755/ENSG00000169245/ENSG00000130226/ENSG00000169248/ENSG00000170890/ENSG00000078401/ENSG00000022267/ENSG00000089356/ENSG00000129159/ENSG00000134443/ENSG00000137726/ENSG00000185774/ENSG00000196296/ENSG00000221946/ENSG00000120049/ENSG00000120088/ENSG00000123560/ENSG00000124205/ENSG00000143801/ENSG00000198835/ENSG00000124134/ENSG00000130528/ENSG00000163131/ENSG00000170290/ENSG00000101188/ENSG00000166006/ENSG00000175497,33
GO:0071805,potassium ion transmembrane transport,27/668,229/21288,0.117903930131004,3.75739350992338,7.55090052207073,3.8225377719422e-09,5.94730470518559e-07,4.61691784331214e-07,ENSG00000143153/ENSG00000018625/ENSG00000129244/ENSG00000132681/ENSG00000069431/ENSG00000121361/ENSG00000137731/ENSG00000130226/ENSG00000158445/ENSG00000177301/ENSG00000022267/ENSG00000129159/ENSG00000134443/ENSG00000185774/ENSG00000120049/ENSG00000124205/ENSG00000130037/ENSG00000182674/ENSG00000124134/ENSG00000162975/ENSG00000170745/ENSG00000177272/ENSG00000066230/ENSG00000116396/ENSG00000166006/ENSG00000171126/ENSG00000175497,27
GO:0050482,arachidonic acid secretion,11/668,34/21288,0.323529411764706,10.3103205353998,9.77878470016645,3.96704331662803e-09,5.94730470518559e-07,4.61691784331214e-07,ENSG00000117215/ENSG00000188257/ENSG00000069764/ENSG00000170890/ENSG00000100078/ENSG00000127472/ENSG00000153246/ENSG00000197696/ENSG00000240972/ENSG00000101188/ENSG00000187980,11
GO:0051985,negative regulation of chromosome segregation,13/668,51/21288,0.254901960784314,8.12328284607256,9.16684366327375,4.04667352635543e-09,5.94730470518559e-07,4.61691784331214e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000071539/ENSG00000152253/ENSG00000002822/ENSG00000121101/ENSG00000124688/ENSG00000174442,13
GO:1905819,negative regulation of chromosome separation,13/668,51/21288,0.254901960784314,8.12328284607256,9.16684366327375,4.04667352635543e-09,5.94730470518559e-07,4.61691784331214e-07,ENSG00000080986/ENSG00000122952/ENSG00000169679/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000071539/ENSG00000152253/ENSG00000002822/ENSG00000121101/ENSG00000124688/ENSG00000174442,13
GO:0071621,granulocyte chemotaxis,21/668,145/21288,0.144827586206897,4.61540367540781,7.86246313656972,5.37845955214811e-09,7.42553385442024e-07,5.76447339560372e-07,ENSG00000138755/ENSG00000169245/ENSG00000156234/ENSG00000169248/ENSG00000170890/ENSG00000078401/ENSG00000102962/ENSG00000081041/ENSG00000102970/ENSG00000108688/ENSG00000143556/ENSG00000276409/ENSG00000124205/ENSG00000127129/ENSG00000189377/ENSG00000276070/ENSG00000275152/ENSG00000276085/ENSG00000113296/ENSG00000124126/ENSG00000274736,21
GO:0097530,granulocyte migration,23/668,174/21288,0.132183908045977,4.21247160850712,7.65825449480822,6.14728530031126e-09,8.00701750531063e-07,6.21588161772647e-07,ENSG00000138755/ENSG00000169245/ENSG00000156234/ENSG00000169248/ENSG00000170890/ENSG00000078401/ENSG00000102962/ENSG00000081041/ENSG00000102970/ENSG00000108688/ENSG00000143556/ENSG00000276409/ENSG00000124205/ENSG00000127129/ENSG00000189377/ENSG00000276070/ENSG00000169347/ENSG00000275152/ENSG00000276085/ENSG00000113296/ENSG00000124126/ENSG00000204936/ENSG00000274736,23
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,29/668,266/21288,0.109022556390977,3.47435955157355,7.30916457892623,6.20921817703625e-09,8.00701750531063e-07,6.21588161772647e-07,ENSG00000198523/ENSG00000138755/ENSG00000146469/ENSG00000169245/ENSG00000128285/ENSG00000169248/ENSG00000176406/ENSG00000078401/ENSG00000131477/ENSG00000132329/ENSG00000171517/ENSG00000243678/ENSG00000114812/ENSG00000118432/ENSG00000128271/ENSG00000004948/ENSG00000120088/ENSG00000148926/ENSG00000150471/ENSG00000080293/ENSG00000131016/ENSG00000170989/ENSG00000174946/ENSG00000188822/ENSG00000258839/ENSG00000106113/ENSG00000120907/ENSG00000135298/ENSG00000183134,29
GO:0070098,chemokine-mediated signaling pathway,18/668,108/21288,0.166666666666667,5.31137724550898,8.08473996550109,6.92180228743572e-09,8.26875832293465e-07,6.41907212352951e-07,ENSG00000179934/ENSG00000186810/ENSG00000138755/ENSG00000169245/ENSG00000156234/ENSG00000169248/ENSG00000078401/ENSG00000102962/ENSG00000081041/ENSG00000102970/ENSG00000108688/ENSG00000276409/ENSG00000144230/ENSG00000276070/ENSG00000213088/ENSG00000275152/ENSG00000276085/ENSG00000274736,18
GO:0048705,skeletal system morphogenesis,27/668,237/21288,0.113924050632911,3.63056166148715,7.32972067330044,8.07034376353396e-09,8.96792346016115e-07,6.96183698214997e-07,ENSG00000122592/ENSG00000163132/ENSG00000106004/ENSG00000138696/ENSG00000105664/ENSG00000120075/ENSG00000170166/ENSG00000115844/ENSG00000120149/ENSG00000134532/ENSG00000156574/ENSG00000068001/ENSG00000078399/ENSG00000105880/ENSG00000153162/ENSG00000120094/ENSG00000156103/ENSG00000166224/ENSG00000176887/ENSG00000196092/ENSG00000112964/ENSG00000125878/ENSG00000128710/ENSG00000138829/ENSG00000144655/ENSG00000164920/ENSG00000170689,27
GO:0046473,phosphatidic acid metabolic process,12/668,46/21288,0.260869565217391,8.31346003644884,8.93727737956102,1.20945278299447e-08,1.22450375096062e-06,9.50587450493899e-07,ENSG00000172954/ENSG00000176454/ENSG00000188257/ENSG00000026652/ENSG00000069764/ENSG00000100078/ENSG00000153395/ENSG00000155189/ENSG00000169692/ENSG00000119927/ENSG00000138678/ENSG00000186281,12
GO:2000241,regulation of reproductive process,26/668,226/21288,0.115044247787611,3.66626039955487,7.252840195484,1.24376023097802e-08,1.23186339398606e-06,9.56300772559761e-07,ENSG00000122952/ENSG00000137812/ENSG00000123612/ENSG00000146469/ENSG00000163132/ENSG00000069764/ENSG00000071539/ENSG00000118432/ENSG00000120149/ENSG00000156574/ENSG00000184937/ENSG00000122641/ENSG00000136160/ENSG00000163083/ENSG00000169946/ENSG00000196839/ENSG00000066279/ENSG00000127564/ENSG00000132386/ENSG00000172572/ENSG00000180914/ENSG00000104918/ENSG00000122133/ENSG00000147437/ENSG00000164404/ENSG00000183134,26
GO:0045109,intermediate filament organization,16/668,88/21288,0.181818181818182,5.79422972237343,8.11135439161025,1.31121148344165e-08,1.27103819543834e-06,9.86712336923619e-07,ENSG00000172867/ENSG00000205420/ENSG00000205426/ENSG00000170442/ENSG00000170454/ENSG00000170465/ENSG00000170477/ENSG00000170523/ENSG00000094796/ENSG00000204889/ENSG00000108417/ENSG00000108759/ENSG00000171345/ENSG00000175084/ENSG00000131095/ENSG00000100285,16
GO:1990868,response to chemokine,18/668,116/21288,0.155172413793103,4.94507536650836,7.66839520860418,2.21159637816462e-08,1.97569276449373e-06,1.53373866473336e-06,ENSG00000179934/ENSG00000186810/ENSG00000138755/ENSG00000169245/ENSG00000156234/ENSG00000169248/ENSG00000078401/ENSG00000102962/ENSG00000081041/ENSG00000102970/ENSG00000108688/ENSG00000276409/ENSG00000144230/ENSG00000276070/ENSG00000213088/ENSG00000275152/ENSG00000276085/ENSG00000274736,18
GO:0015849,organic acid transport,35/668,390/21288,0.0897435897435897,2.85997236296638,6.67248433840614,2.79713598213689e-08,2.31704573356649e-06,1.79873242104879e-06,ENSG00000018625/ENSG00000121361/ENSG00000117215/ENSG00000188257/ENSG00000069764/ENSG00000170890/ENSG00000078401/ENSG00000100078/ENSG00000125166/ENSG00000127472/ENSG00000174697/ENSG00000128271/ENSG00000153246/ENSG00000166148/ENSG00000170571/ENSG00000100156/ENSG00000131095/ENSG00000147872/ENSG00000155380/ENSG00000188603/ENSG00000197696/ENSG00000091138/ENSG00000108576/ENSG00000118596/ENSG00000164687/ENSG00000170323/ENSG00000183048/ENSG00000240972/ENSG00000101188/ENSG00000157103/ENSG00000174326/ENSG00000174640/ENSG00000183044/ENSG00000187980/ENSG00000205560,35
GO:0008217,regulation of blood pressure,24/668,205/21288,0.117073170731707,3.73091865050387,7.07164776257858,3.21576809413856e-08,2.61625704230273e-06,2.03101142787699e-06,ENSG00000018625/ENSG00000069431/ENSG00000121361/ENSG00000197616/ENSG00000078401/ENSG00000100448/ENSG00000131477/ENSG00000167711/ENSG00000174697/ENSG00000118432/ENSG00000166148/ENSG00000244734/ENSG00000124205/ENSG00000127129/ENSG00000136160/ENSG00000148926/ENSG00000198719/ENSG00000139567/ENSG00000180914/ENSG00000181092/ENSG00000101188/ENSG00000120907/ENSG00000166507/ENSG00000183044,24
GO:0006936,muscle contraction,34/668,375/21288,0.0906666666666667,2.88938922155689,6.64400620650711,3.44183762312934e-08,2.75105477385566e-06,2.13565547806363e-06,ENSG00000143153/ENSG00000198523/ENSG00000018625/ENSG00000069431/ENSG00000121361/ENSG00000266964/ENSG00000197616/ENSG00000092054/ENSG00000078401/ENSG00000105664/ENSG00000111245/ENSG00000160808/ENSG00000171596/ENSG00000198336/ENSG00000109061/ENSG00000175084/ENSG00000196296/ENSG00000120049/ENSG00000124205/ENSG00000127129/ENSG00000130037/ENSG00000134571/ENSG00000136160/ENSG00000182674/ENSG00000196839/ENSG00000109255/ENSG00000121068/ENSG00000130528/ENSG00000136574/ENSG00000180914/ENSG00000182253/ENSG00000100678/ENSG00000120907/ENSG00000183044,34
GO:0007620,copulation,8/668,19/21288,0.421052631578947,13.4182161991806,9.74683495794354,5.01778445063033e-08,3.74770917329046e-06,2.90936251149576e-06,ENSG00000146469/ENSG00000118432/ENSG00000166148/ENSG00000136160/ENSG00000196839/ENSG00000108576/ENSG00000180914/ENSG00000183044,8
GO:0006885,regulation of pH,17/668,110/21288,0.154545454545455,4.92509526401742,7.42856971072306,5.77595581760004e-08,4.244395920159e-06,3.29494253771411e-06,ENSG00000132681/ENSG00000185883/ENSG00000078401/ENSG00000104267/ENSG00000147614/ENSG00000105929/ENSG00000116039/ENSG00000166148/ENSG00000219200/ENSG00000136160/ENSG00000188603/ENSG00000004799/ENSG00000091138/ENSG00000106460/ENSG00000050438/ENSG00000066230/ENSG00000102805,17
GO:0021700,developmental maturation,33/668,370/21288,0.0891891891891892,2.84230458002913,6.43433021262156,8.08521409778581e-08,5.66711314300187e-06,4.39940394632556e-06,ENSG00000069764/ENSG00000071539/ENSG00000106004/ENSG00000158445/ENSG00000034971/ENSG00000078401/ENSG00000100078/ENSG00000128918/ENSG00000132692/ENSG00000174697/ENSG00000070886/ENSG00000075891/ENSG00000105929/ENSG00000106852/ENSG00000116039/ENSG00000120149/ENSG00000054356/ENSG00000120049/ENSG00000130477/ENSG00000136160/ENSG00000198844/ENSG00000091138/ENSG00000122707/ENSG00000137766/ENSG00000139567/ENSG00000159184/ENSG00000170989/ENSG00000174469/ENSG00000102805/ENSG00000122133/ENSG00000129757/ENSG00000135298/ENSG00000186417,33
GO:0045103,intermediate filament-based process,17/668,113/21288,0.150442477876106,4.79434052249483,7.278886493559,8.67227878508802e-08,5.89714957385985e-06,4.57798220234026e-06,ENSG00000172867/ENSG00000205420/ENSG00000205426/ENSG00000170442/ENSG00000170454/ENSG00000170465/ENSG00000170477/ENSG00000170523/ENSG00000094796/ENSG00000204889/ENSG00000108417/ENSG00000108759/ENSG00000171345/ENSG00000175084/ENSG00000131095/ENSG00000182253/ENSG00000100285,17
GO:0008608,attachment of spindle microtubules to kinetochore,12/668,56/21288,0.214285714285714,6.82891360136869,7.86117219998382,1.30244910121567e-07,8.59993928280957e-06,6.67616930600253e-06,ENSG00000080986/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000152253/ENSG00000138778/ENSG00000165480/ENSG00000154839/ENSG00000182628/ENSG00000002822/ENSG00000121101/ENSG00000174442,12
GO:0050000,chromosome localization,18/668,132/21288,0.136363636363636,4.34567229178008,6.93992403868755,1.69270101075601e-07,1.08618955000061e-05,8.43213550206105e-06,ENSG00000080986/ENSG00000122952/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000152253/ENSG00000126787/ENSG00000138778/ENSG00000165480/ENSG00000154839/ENSG00000182628/ENSG00000002822/ENSG00000121101/ENSG00000010295/ENSG00000101447/ENSG00000149499/ENSG00000174442,18
GO:0003007,heart morphogenesis,27/668,276/21288,0.0978260869565217,3.11754751366832,6.3731646657848,1.95777725716043e-07,1.23883794216985e-05,9.6171514386828e-06,ENSG00000184113/ENSG00000069431/ENSG00000121361/ENSG00000163132/ENSG00000197616/ENSG00000092054/ENSG00000078401/ENSG00000111245/ENSG00000128918/ENSG00000160808/ENSG00000120149/ENSG00000156574/ENSG00000128917/ENSG00000134571/ENSG00000163093/ENSG00000169946/ENSG00000198719/ENSG00000243709/ENSG00000069702/ENSG00000113971/ENSG00000121068/ENSG00000130558/ENSG00000130700/ENSG00000136574/ENSG00000139567/ENSG00000170989/ENSG00000176887,27
GO:0030900,forebrain development,36/668,447/21288,0.0805369127516778,2.56657155487682,6.02484463623593,2.66804423115518e-07,1.59942230488724e-05,1.24163831255975e-05,ENSG00000018625/ENSG00000129244/ENSG00000163132/ENSG00000128918/ENSG00000132692/ENSG00000174483/ENSG00000177301/ENSG00000040608/ENSG00000106852/ENSG00000115844/ENSG00000129159/ENSG00000166148/ENSG00000174013/ENSG00000278195/ENSG00000007372/ENSG00000099617/ENSG00000105880/ENSG00000106689/ENSG00000116147/ENSG00000122641/ENSG00000125505/ENSG00000128573/ENSG00000163083/ENSG00000167325/ENSG00000184254/ENSG00000264343/ENSG00000066279/ENSG00000075702/ENSG00000174469/ENSG00000177272/ENSG00000180914/ENSG00000196092/ENSG00000070031/ENSG00000115507/ENSG00000139874/ENSG00000166006,36
GO:0010232,vascular transport,15/668,96/21288,0.15625,4.97941616766467,7.03347802306238,2.99179278637813e-07,1.74751383778702e-05,1.35660239706215e-05,ENSG00000018625/ENSG00000129244/ENSG00000132681/ENSG00000069431/ENSG00000121361/ENSG00000118160/ENSG00000166148/ENSG00000074370/ENSG00000116678/ENSG00000155380/ENSG00000118596/ENSG00000164687/ENSG00000050438/ENSG00000157103/ENSG00000197375,15
GO:0150104,transport across blood-brain barrier,15/668,96/21288,0.15625,4.97941616766467,7.03347802306238,2.99179278637813e-07,1.74751383778702e-05,1.35660239706215e-05,ENSG00000018625/ENSG00000129244/ENSG00000132681/ENSG00000069431/ENSG00000121361/ENSG00000118160/ENSG00000166148/ENSG00000074370/ENSG00000116678/ENSG00000155380/ENSG00000118596/ENSG00000164687/ENSG00000050438/ENSG00000157103/ENSG00000197375,15
GO:0051310,metaphase chromosome alignment,16/668,111/21288,0.144144144144144,4.59362356368344,6.83223796374613,3.78385279200311e-07,2.11480805243658e-05,1.64173445224041e-05,ENSG00000080986/ENSG00000122952/ENSG00000117724/ENSG00000137812/ENSG00000143228/ENSG00000161888/ENSG00000152253/ENSG00000138778/ENSG00000165480/ENSG00000154839/ENSG00000182628/ENSG00000002822/ENSG00000121101/ENSG00000101447/ENSG00000149499/ENSG00000174442,16
