"data type","highlight","interaction","name","networks","normalized max weight","raw weights","selected","shared interaction","shared name"
"Co-expression","1",,"H__sapiens__1_-784307|H__sapiens__1_-790624|Co-expression","Wang-Maris-2006|Wu-Garvey-2007","3.538409816309094E-4","0.008046535775065422|0.0075987097807228565","false",,"H__sapiens__1_-784307|H__sapiens__1_-790624|Co-expression"
"Co-expression","1",,"H__sapiens__1_-784307|H__sapiens__1_-815535|Co-expression","Wang-Maris-2006","2.0925199195886545E-4","0.004758503753691912","false",,"H__sapiens__1_-784307|H__sapiens__1_-815535|Co-expression"
"Co-expression","1",,"H__sapiens__1_-773835|H__sapiens__1_-784307|Co-expression","Wang-Maris-2006","2.775106778060723E-4","0.0063107432797551155","false",,"H__sapiens__1_-773835|H__sapiens__1_-784307|Co-expression"
"Co-expression","1",,"H__sapiens__1_-773362|H__sapiens__1_-774617|Co-expression","Wang-Maris-2006|Burington-Shaughnessy-2008","6.632870302892358E-4","0.01508350670337677|0.009371958673000336","false",,"H__sapiens__1_-773362|H__sapiens__1_-774617|Co-expression"
"Co-expression","1",,"H__sapiens__1_-789926|H__sapiens__1_-779893|Co-expression","Wang-Maris-2006|Roth-Zlotnik-2006","0.0011153355819529204","0.018088597804307938|0.01467518974095583","false",,"H__sapiens__1_-789926|H__sapiens__1_-779893|Co-expression"
"Co-expression","1",,"H__sapiens__1_-774257|H__sapiens__1_-775452|Co-expression","Wang-Maris-2006|Roth-Zlotnik-2006|Wu-Garvey-2007","0.001220233517855454","0.010067627765238285|0.016055399551987648|0.0021348975133150816","false",,"H__sapiens__1_-774257|H__sapiens__1_-775452|Co-expression"
"Co-expression","1",,"H__sapiens__1_-776305|H__sapiens__1_-775680|Co-expression","Wang-Maris-2006","5.331750311384019E-4","0.012124689295887947","false",,"H__sapiens__1_-776305|H__sapiens__1_-775680|Co-expression"
"Co-expression","1",,"H__sapiens__1_-783810|H__sapiens__1_-784307|Co-expression","Wang-Maris-2006","2.864219404701118E-4","0.006513390224426985","false",,"H__sapiens__1_-783810|H__sapiens__1_-784307|Co-expression"
"Co-expression","1",,"H__sapiens__1_-783810|H__sapiens__1_-773835|Co-expression","Wang-Maris-2006|Mallon-McKay-2013","0.0016503375998821023","0.010629864409565926|0.01734209805727005","false",,"H__sapiens__1_-783810|H__sapiens__1_-773835|Co-expression"
"Co-expression","1",,"H__sapiens__1_-789902|H__sapiens__1_-783298|Co-expression","Wang-Maris-2006|Arijs-Rutgeerts-2009","6.200507122260065E-4","0.012726334854960442|0.006999817211180925","false",,"H__sapiens__1_-789902|H__sapiens__1_-783298|Co-expression"
"Co-expression","1",,"H__sapiens__1_-789902|H__sapiens__1_-773362|Co-expression","Wang-Maris-2006","3.81896466683907E-4","0.008684532716870308","false",,"H__sapiens__1_-789902|H__sapiens__1_-773362|Co-expression"
"Co-expression","1",,"H__sapiens__1_-780260|H__sapiens__1_-815535|Co-expression","Wang-Maris-2006","2.5405325283878476E-4","0.005777308717370033","false",,"H__sapiens__1_-780260|H__sapiens__1_-815535|Co-expression"
"Co-expression","1",,"H__sapiens__1_-780260|H__sapiens__1_-784307|Co-expression","Wang-Maris-2006","1.9782140616992058E-4","0.004498566035181284","false",,"H__sapiens__1_-780260|H__sapiens__1_-784307|Co-expression"
"Co-expression","1",,"H__sapiens__1_-774189|H__sapiens__1_-783810|Co-expression","Wang-Maris-2006|Ramaswamy-Golub-2001|Arijs-Rutgeerts-2009","0.0017682389369429203","0.009998719207942486|0.025472117587924004|0.006900958716869354","false",,"H__sapiens__1_-774189|H__sapiens__1_-783810|Co-expression"
"Co-expression","1",,"H__sapiens__1_-785351|H__sapiens__1_-784698|Co-expression","Wang-Maris-2006","7.277439096755258E-4","0.01654929108917713","false",,"H__sapiens__1_-785351|H__sapiens__1_-784698|Co-expression"
"Co-expression","1",,"H__sapiens__1_-785351|H__sapiens__1_-790118|Co-expression","Wang-Maris-2006","5.912154393707318E-4","0.013444559648633003","false",,"H__sapiens__1_-785351|H__sapiens__1_-790118|Co-expression"
"Co-expression","1",,"H__sapiens__1_-790246|H__sapiens__1_-790118|Co-expression","Wang-Maris-2006|Perou-Botstein-2000","7.998246589651463E-4","0.01391563005745411|0.016422975808382034","false",,"H__sapiens__1_-790246|H__sapiens__1_-790118|Co-expression"
"Co-expression","1",,"H__sapiens__1_-775175|H__sapiens__1_-784857|Co-expression","Wang-Maris-2006|Bild-Nevins-2006 B|Arijs-Rutgeerts-2009","0.00162018320083558","0.004274544771760702|0.01127410214394331|0.01829041726887226","false",,"H__sapiens__1_-775175|H__sapiens__1_-784857|Co-expression"
"Co-expression","1",,"H__sapiens__1_-775175|H__sapiens__1_-783312|Co-expression","Wang-Maris-2006|Chen-Brown-2002","3.5413847353423964E-4","0.008053300902247429|0.006867875810712576","false",,"H__sapiens__1_-775175|H__sapiens__1_-783312|Co-expression"
"Co-expression","1",,"H__sapiens__1_-775175|H__sapiens__1_-774257|Co-expression","Wang-Maris-2006|Arijs-Rutgeerts-2009","6.78302424830572E-4","0.006118589546531439|0.007657426875084639","false",,"H__sapiens__1_-775175|H__sapiens__1_-774257|Co-expression"
"Co-expression","1",,"H__sapiens__1_-773937|H__sapiens__1_-775452|Co-expression","Wang-Maris-2006","4.379623461255898E-4","0.009959501214325428","false",,"H__sapiens__1_-773937|H__sapiens__1_-775452|Co-expression"
"Co-expression","1",,"H__sapiens__1_-773937|H__sapiens__1_-774257|Co-expression","Wang-Maris-2006|Mallon-McKay-2013|Rieger-Chu-2004|Roth-Zlotnik-2006|Innocenti-Brown-2011|Burington-Shaughnessy-2008|Bild-Nevins-2006 B|Jiang-de Kok-2017|Wang-Cheung-2015|Arijs-Rutgeerts-2009","7.407754691544854E-4","0.009288928471505642|0.007353827357292175|0.009990316815674305|0.009746860712766647|0.009503518231213093|0.005836264230310917|0.007246722001582384|0.006841680034995079|0.009249428287148476|0.004645756911486387","false",,"H__sapiens__1_-773937|H__sapiens__1_-774257|Co-expression"
"Co-expression","1",,"H__sapiens__1_-773937|H__sapiens__1_-775175|Co-expression","Wang-Maris-2006|Jiang-de Kok-2017|Perou-Botstein-1999|Arijs-Rutgeerts-2009","0.0011353280381435334","0.0064858971163630486|0.0048287552781403065|0.020511925220489502|0.00888997782021761","false",,"H__sapiens__1_-773937|H__sapiens__1_-775175|Co-expression"
"Co-expression","1",,"H__sapiens__1_-780506|H__sapiens__1_-778247|Co-expression","Wang-Maris-2006|Dobbin-Giordano-2005","0.0010868092652244182","0.024714631959795952|0.0044594258069992065","false",,"H__sapiens__1_-780506|H__sapiens__1_-778247|Co-expression"
"Co-expression","1",,"H__sapiens__1_-774747|H__sapiens__1_-774257|Co-expression","Wang-Maris-2006","3.5398985044542E-4","0.00804992113262415","false",,"H__sapiens__1_-774747|H__sapiens__1_-774257|Co-expression"
"Co-expression","1",,"H__sapiens__1_-774747|H__sapiens__1_-775175|Co-expression","Wang-Maris-2006|Ramaswamy-Golub-2001|Roth-Zlotnik-2006|Rosenwald-Staudt-2001|Perou-Botstein-2000|Chen-Brown-2002|Ross-Perou-2001|Perou-Botstein-1999","0.0011857984515641217","0.006708559114485979|0.0170818530023098|0.010234540328383446|0.007880812510848045|0.015752773731946945|0.009109522216022015|0.00922110490500927|0.016527976840734482","false",,"H__sapiens__1_-774747|H__sapiens__1_-775175|Co-expression"
"Co-expression","1",,"H__sapiens__1_-779237|H__sapiens__1_-774257|Co-expression","Wang-Maris-2006|Rieger-Chu-2004|Innocenti-Brown-2011|Dobbin-Giordano-2005|Chen-Brown-2002|Burington-Shaughnessy-2008|Jiang-de Kok-2017|Wang-Cheung-2015|Arijs-Rutgeerts-2009","9.403461992760976E-4","0.008921168744564056|0.01156008429825306|0.00865003652870655|0.0055176978930830956|0.009236030280590057|0.004345533903688192|0.00850064679980278|0.008224929682910442|0.010615666396915913","false",,"H__sapiens__1_-779237|H__sapiens__1_-774257|Co-expression"
"Co-expression","1",,"H__sapiens__1_-779237|H__sapiens__1_-775175|Co-expression","Wang-Maris-2006|Rosenwald-Staudt-2001|Perou-Botstein-2000|Chen-Brown-2002|Burington-Shaughnessy-2008|Bild-Nevins-2006 B|Perou-Botstein-1999","0.001087072769570283","0.00639686081558466|0.011273859068751335|0.011974972672760487|0.005676337517797947|0.004100091755390167|0.008425637148320675|0.01964009925723076","false",,"H__sapiens__1_-779237|H__sapiens__1_-775175|Co-expression"
"Co-expression","1",,"H__sapiens__1_-779237|H__sapiens__1_-773937|Co-expression","Wang-Maris-2006|Rieger-Chu-2004|Roth-Zlotnik-2006|Innocenti-Brown-2011|Dobbin-Giordano-2005|Perou-Botstein-2000|Burington-Shaughnessy-2008|Jiang-de Kok-2017|Wang-Cheung-2015|Perou-Botstein-1999|Arijs-Rutgeerts-2009","0.001296479529207172","0.009259668178856373|0.008710812777280807|0.009268825873732567|0.006923294626176357|0.004699242301285267|0.013581237755715847|0.005633662920445204|0.005395809188485146|0.007430261932313442|0.023423442617058754|0.01028275117278099","false",,"H__sapiens__1_-779237|H__sapiens__1_-773937|Co-expression"
"Co-expression","1",,"H__sapiens__1_-777449|H__sapiens__1_-783312|Co-expression","Wang-Maris-2006|Chen-Brown-2002|Burington-Shaughnessy-2008|Bild-Nevins-2006 B","4.673967208940647E-4","0.010628854855895042|0.005619947798550129|0.008520454168319702|0.0068389433436095715","false",,"H__sapiens__1_-777449|H__sapiens__1_-783312|Co-expression"
"Co-expression","1",,"H__sapiens__1_-777449|H__sapiens__1_-774257|Co-expression","Wang-Maris-2006|Rieger-Chu-2004|Roth-Zlotnik-2006|Innocenti-Brown-2011|Bild-Nevins-2006 B","9.81048355694811E-4","0.008595183491706848|0.00920042209327221|0.00904954131692648|0.01347353309392929|0.00501337880268693","false",,"H__sapiens__1_-777449|H__sapiens__1_-774257|Co-expression"
"Co-expression","1",,"H__sapiens__1_-777449|H__sapiens__1_-775175|Co-expression","Wang-Maris-2006|Mallon-McKay-2013|Boldrick-Relman-2002|Roth-Zlotnik-2006|Rosenwald-Staudt-2001|Perou-Botstein-2000|Chen-Brown-2002|Burington-Shaughnessy-2008|Bild-Nevins-2006 B|Wang-Cheung-2015|Arijs-Rutgeerts-2009","8.806364263480764E-4","0.007130422163754702|0.007397297769784927|0.008166472427546978|0.004691578447818756|0.00873273890465498|0.007460588589310646|0.004402391612529755|0.0052711572498083115|0.0050818175077438354|0.006778559647500515|0.009941596537828445","false",,"H__sapiens__1_-777449|H__sapiens__1_-775175|Co-expression"
"Co-expression","1",,"H__sapiens__1_-776969|H__sapiens__1_-815535|Co-expression","Wang-Maris-2006","2.990628891047371E-4","0.006800852250307798","false",,"H__sapiens__1_-776969|H__sapiens__1_-815535|Co-expression"
"Co-expression","1",,"H__sapiens__1_-776969|H__sapiens__1_-784307|Co-expression","Wang-Maris-2006","2.4541877968860227E-4","0.005580956116318703","false",,"H__sapiens__1_-776969|H__sapiens__1_-784307|Co-expression"
"Co-expression","1",,"H__sapiens__1_-776969|H__sapiens__1_-773835|Co-expression","Wang-Maris-2006|Mallon-McKay-2013|Roth-Zlotnik-2006|Dobbin-Giordano-2005","0.0017509554512655854","0.008707832545042038|0.01839941181242466|0.02091292478144169|0.004727770574390888","false",,"H__sapiens__1_-776969|H__sapiens__1_-773835|Co-expression"
"Co-expression","1",,"H__sapiens__1_-776969|H__sapiens__1_-783810|Co-expression","Wang-Maris-2006|Ramaswamy-Golub-2001","0.0011341522951297358","0.009888825006783009|0.016337871551513672","false",,"H__sapiens__1_-776969|H__sapiens__1_-783810|Co-expression"
"Co-expression","1",,"H__sapiens__1_-776969|H__sapiens__1_-780260|Co-expression","Wang-Maris-2006","2.953051084968049E-4","0.006715398281812668","false",,"H__sapiens__1_-776969|H__sapiens__1_-780260|Co-expression"
"Co-expression","1",,"H__sapiens__1_-785885|H__sapiens__1_-777073|Co-expression","Wang-Maris-2006","6.867013303977394E-4","0.015615960583090782","false",,"H__sapiens__1_-785885|H__sapiens__1_-777073|Co-expression"
"Co-expression","1",,"H__sapiens__1_-784202|H__sapiens__1_-776862|Co-expression","Wang-Maris-2006|Mallon-McKay-2013|Roth-Zlotnik-2006|Arijs-Rutgeerts-2009","0.0012342225612694288","0.01908770017325878|0.0086790407076478|0.016239462420344353|0.002465499797835946","false",,"H__sapiens__1_-784202|H__sapiens__1_-776862|Co-expression"
"Co-expression","1",,"H__sapiens__1_-773005|H__sapiens__1_-777971|Co-expression","Wang-Maris-2006","5.602804178068512E-4","0.012741080485284328","false",,"H__sapiens__1_-773005|H__sapiens__1_-777971|Co-expression"
"Co-expression","1",,"H__sapiens__1_-773005|H__sapiens__1_-829125|Co-expression","Wang-Maris-2006|Ramaswamy-Golub-2001|Mallon-McKay-2013|Roth-Zlotnik-2006|Innocenti-Brown-2011|Dobbin-Giordano-2005|Burington-Shaughnessy-2008|Bild-Nevins-2006 B|Wang-Cheung-2015","0.0043532603165944905","0.030308520421385765|0.03253018856048584|0.016240786761045456|0.020802242681384087|0.059786856174468994|0.008036721497774124|0.0125488992780447|0.037394873797893524|0.006791194435209036","false",,"H__sapiens__1_-773005|H__sapiens__1_-829125|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778700|H__sapiens__1_-784307|Co-expression","Wang-Maris-2006","2.701225253610311E-4","0.006142732687294483","false",,"H__sapiens__1_-778700|H__sapiens__1_-784307|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778700|H__sapiens__1_-778247|Co-expression","Wang-Maris-2006|Rieger-Chu-2004|Burington-Shaughnessy-2008","7.119322805403733E-4","0.016189726069569588|0.0170615054666996|0.0163018386811018","false",,"H__sapiens__1_-778700|H__sapiens__1_-778247|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778700|H__sapiens__1_-780506|Co-expression","Wang-Maris-2006|Mallon-McKay-2013|Arijs-Rutgeerts-2009","0.001860455607720102","0.016259992495179176|0.019550062716007233|0.002739847404882312","false",,"H__sapiens__1_-778700|H__sapiens__1_-780506|Co-expression"
"Co-expression","1",,"H__sapiens__1_-790320|H__sapiens__1_-781394|Co-expression","Wang-Maris-2006|Dobbin-Giordano-2005","7.011164313609708E-4","0.010044821538031101|0.01631808839738369","false",,"H__sapiens__1_-790320|H__sapiens__1_-781394|Co-expression"
"Co-expression","1",,"H__sapiens__1_-785961|H__sapiens__1_-778886|Co-expression","Wang-Maris-2006","4.3171702291546475E-4","0.00981747917830944","false",,"H__sapiens__1_-785961|H__sapiens__1_-778886|Co-expression"
"Co-expression","1",,"H__sapiens__1_-785961|H__sapiens__1_-775680|Co-expression","Wang-Maris-2006","4.933215594340177E-4","0.011218399740755558","false",,"H__sapiens__1_-785961|H__sapiens__1_-775680|Co-expression"
"Co-expression","1",,"H__sapiens__1_-785961|H__sapiens__1_-784713|Co-expression","Wang-Maris-2006|Mallon-McKay-2013|Roth-Zlotnik-2006","0.001910464794265577","0.006926606874912977|0.007910668849945068|0.025137217715382576","false",,"H__sapiens__1_-785961|H__sapiens__1_-784713|Co-expression"
"Co-expression","1",,"H__sapiens__1_-780106|H__sapiens__1_-785961|Co-expression","Wang-Maris-2006","2.631516151394383E-4","0.005984210409224033","false",,"H__sapiens__1_-780106|H__sapiens__1_-785961|Co-expression"
"Co-expression","1",,"H__sapiens__1_-773110|H__sapiens__1_-776305|Co-expression","Wang-Maris-2006","4.409878027426905E-4","0.010028301738202572","false",,"H__sapiens__1_-773110|H__sapiens__1_-776305|Co-expression"
"Co-expression","1",,"H__sapiens__1_-784199|H__sapiens__1_-789902|Co-expression","Wang-Maris-2006","3.6151638740881926E-4","0.008221078664064407","false",,"H__sapiens__1_-784199|H__sapiens__1_-789902|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778049|H__sapiens__1_-790624|Co-expression","Wang-Maris-2006|Mallon-McKay-2013|Roth-Zlotnik-2006|Chen-Brown-2002|Arijs-Rutgeerts-2009","0.0023378632106287227","0.00662360480055213|0.017189815640449524|0.03076077438890934|0.015772584825754166|0.006128811743110418","false",,"H__sapiens__1_-778049|H__sapiens__1_-790624|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778049|H__sapiens__1_-815535|Co-expression","Wang-Maris-2006","1.7886993510847122E-4","0.004067599307745695","false",,"H__sapiens__1_-778049|H__sapiens__1_-815535|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778049|H__sapiens__1_-784307|Co-expression","Wang-Maris-2006","1.404953634758325E-4","0.0031949407421052456","false",,"H__sapiens__1_-778049|H__sapiens__1_-784307|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778049|H__sapiens__1_-773835|Co-expression","Wang-Maris-2006|Mallon-McKay-2013|Roth-Zlotnik-2006|Wu-Garvey-2007","0.001714662212786003","0.004765977617353201|0.013276278972625732|0.02256091684103012|0.014169040136039257","false",,"H__sapiens__1_-778049|H__sapiens__1_-773835|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778049|H__sapiens__1_-783810|Co-expression","Wang-Maris-2006","2.473358086675376E-4","0.005624550394713879","false",,"H__sapiens__1_-778049|H__sapiens__1_-783810|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778049|H__sapiens__1_-780260|Co-expression","Wang-Maris-2006","1.6415548142254699E-4","0.0037329846527427435","false",,"H__sapiens__1_-778049|H__sapiens__1_-780260|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778049|H__sapiens__1_-778247|Co-expression","Wang-Maris-2006","3.49101383547139E-4","0.007938754744827747","false",,"H__sapiens__1_-778049|H__sapiens__1_-778247|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778049|H__sapiens__1_-780506|Co-expression","Wang-Maris-2006","2.4986491986580417E-4","0.00568206375464797","false",,"H__sapiens__1_-778049|H__sapiens__1_-780506|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778049|H__sapiens__1_-776969|Co-expression","Wang-Maris-2006|Roth-Zlotnik-2006","0.0016233834850860555","0.0044958279468119144|0.02135990373790264","false",,"H__sapiens__1_-778049|H__sapiens__1_-776969|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778049|H__sapiens__1_-778700|Co-expression","Wang-Maris-2006|Roth-Zlotnik-2006","0.002037984966098424","0.005401191301643848|0.026815082877874374","false",,"H__sapiens__1_-778049|H__sapiens__1_-778700|Co-expression"
"Co-expression","1",,"H__sapiens__1_-778049|H__sapiens__1_-784199|Co-expression","Wang-Maris-2006|Mallon-McKay-2013|Roth-Zlotnik-2006|Arijs-Rutgeerts-2009","0.0010110763107608865","0.0045807622373104095|0.009404093958437443|0.013303383253514767|0.0037447470240294933","false",,"H__sapiens__1_-778049|H__sapiens__1_-784199|Co-expression"
