"","external_gene_name","uniprot_gn_id","cluster","betweenness","degree_centrality","file_id","ID","pocket","druggability","num_drug_pockets","struct_score","logFC","regulation","citation_score"
"51","NR5A2","O00482",2,5443,14,"AF-O00482-F1-model_v4","O00482-F1",0.203,0.936,2,72.8614365541327,1.9437341959226,"up_reg",569
"52","H2BC15","Q99877",2,1247,18,"AF-Q99877-F1-model_v4","Q99877-F1",0.313,0.935,1,87.691308793456,1.13411364313374,"up_reg",0
"53","DNAH9","Q9NYC9",2,0,1,"AF-Q9NYC9-F12-model_v4","Q9NYC9-F12",0.087,0.93,2,85.7943238180196,3.11272023648615,"up_reg",75
"54","DNAH9","Q9NYC9",2,0,1,"AF-Q9NYC9-F13-model_v4","Q9NYC9-F13",0.158,0.928,1,84.3100259136806,3.11272023648615,"up_reg",75
"55","ASPM","Q8IZT6",2,639,4,"AF-Q8IZT6-F7-model_v4","Q8IZT6-F7",0.335,0.927,1,64.3894747828991,1.47783628791996,"up_reg",518
"56","CDC45","O75419",2,263,3,"AF-O75419-F1-model_v4","O75419-F1",0.323,0.926,1,92.8874267100977,1.48378583313245,"up_reg",603
"57","SLC27A2","O14975",4,0,1,"AF-O14975-F1-model_v4","O14975-F1",0.206,0.925,1,92.7394009681323,1.65910318433487,"up_reg",79
"58","CDC6","Q99741",2,2,2,"AF-Q99741-F1-model_v4","Q99741-F1",0.244,0.922,2,69.8394804010939,3.35544886331926,"up_reg",1062
"59","DNAH7","Q8WXX0",7,0,1,"AF-Q8WXX0-F5-model_v4","Q8WXX0-F5",0.424,0.921,2,88.3114077237943,1.51626982452037,"up_reg",21
"60","LAMA5","O15230",5,3,2,"AF-O15230-F10-model_v4","O15230-F10",0.241,0.919,3,79.9928498342018,2.1981138834585,"up_reg",155
"61","LAMA5","O15230",5,3,2,"AF-O15230-F1-model_v4","O15230-F1",0.244,0.918,2,82.4136653161217,2.1981138834585,"up_reg",155
"62","CENPI","Q92674",2,1240,10,"AF-Q92674-F1-model_v4","Q92674-F1",0.058,0.915,3,72.7981596597415,1.17617199719287,"up_reg",68
"63","CENPF","P49454",2,0,3,"AF-P49454-F7-model_v4","P49454-F7",0.122,0.906,1,71.418744961032,1.54365764922885,"up_reg",391
"64","PBK","Q96KB5",2,0,2,"AF-Q96KB5-F1-model_v4","Q96KB5-F1",0.152,0.901,1,84.9070023696682,1.6107326490913,"up_reg",788
"65","TOP2A","P11388",2,1844,9,"AF-P11388-F1-model_v4","P11388-F1",0.045,0.897,1,76.4083174292472,2.03342696559992,"up_reg",1351
"66","ITGB8","P26012",5,0,2,"AF-P26012-F1-model_v4","P26012-F1",0.085,0.896,1,76.4670721097541,1.65286669464011,"up_reg",134
"67","HEPH","Q9BQS7",6,0,1,"AF-Q9BQS7-F1-model_v4","Q9BQS7-F1",0.288,0.895,2,89.662720356483,1.67642020600455,"up_reg",201
"68","H2BC14","Q99879",2,766,14,"AF-Q99879-F1-model_v4","Q99879-F1",0.365,0.888,2,86.1224313326551,1.59466137463972,"up_reg",1
"69","SPAG5","Q96R06",2,1766,5,"AF-Q96R06-F1-model_v4","Q96R06-F1",0.223,0.887,2,63.8131142310147,1.53484427592627,"up_reg",127
"70","ANPEP","P15144",3,76,2,"AF-P15144-F1-model_v4","P15144-F1",0.232,0.886,1,93.7512643826761,6.65203009754155,"up_reg",193
"71","HMMR","O75330",2,0,1,"AF-O75330-F1-model_v4","O75330-F1",0.192,0.886,2,76.1048990670059,1.78313848283278,"up_reg",255
"72","DNAH3","Q8TD57",7,0,1,"AF-Q8TD57-F15-model_v4","Q8TD57-F15",0.172,0.885,2,86.9610395148299,2.30566321277808,"up_reg",16
"73","ESPL1","Q14674",2,0,1,"AF-Q14674-F1-model_v4","Q14674-F1",0.619,0.885,1,75.7783475713937,1.91407214412784,"up_reg",146
"74","ABCD1","P33897",4,0,1,"AF-P33897-F1-model_v4","P33897-F1",0.179,0.884,1,81.7340458668492,1.26095939202021,"up_reg",675
"75","CIT","O14578",2,0,1,"AF-O14578-F1-model_v4","O14578-F1",0.129,0.882,1,70.152782431933,1.11905121343792,"up_reg",8694
"76","CENPE","Q02224",2,0,1,"AF-Q02224-F8-model_v4","Q02224-F8",0.191,0.88,2,74.1531594148887,1.2722314310454,"up_reg",439
"77","ABCC2","Q92887",3,0,2,"AF-Q92887-F1-model_v4","Q92887-F1",0.256,0.879,6,81.4368457086967,1.50819862029047,"up_reg",2209
"78","DNAH3","Q8TD57",7,0,1,"AF-Q8TD57-F5-model_v4","Q8TD57-F5",0.312,0.878,4,88.0664393804522,2.30566321277808,"up_reg",16
"79","SPTBN5","Q9NRC6",2,0,1,"AF-Q9NRC6-F11-model_v4","Q9NRC6-F11",0.288,0.878,4,81.4864283163721,1.85988233420968,"up_reg",17
"80","MTTP","P55157",2,0,1,"AF-P55157-F1-model_v4","P55157-F1",0.279,0.871,2,86.9198238327127,3.1853890282873,"up_reg",434
"81","H2BC11","P06899",2,233,10,"AF-P06899-F1-model_v4","P06899-F1",0.25,0.87,2,85.698045035824,1.48231567694468,"up_reg",1
"82","KIF15","Q9NS87",2,10,2,"AF-Q9NS87-F1-model_v4","Q9NS87-F1",0.241,0.869,1,72.0212966758756,1.35412920638995,"up_reg",161
"83","SLC1A5","Q15758",2,2988,2,"AF-Q15758-F1-model_v4","Q15758-F1",0.051,0.866,2,79.5913765385582,1.291234609906,"up_reg",544
"84","DNAH3","Q8TD57",7,0,1,"AF-Q8TD57-F13-model_v4","Q8TD57-F13",0.156,0.864,1,85.291079001521,2.30566321277808,"up_reg",16
"85","SLC7A5","Q01650",2,260,3,"AF-Q01650-F1-model_v4","Q01650-F1",0.097,0.862,2,86.240030919866,2.71165616546758,"up_reg",872
"86","WDR76","Q9H967",2,4995,4,"AF-Q9H967-F1-model_v4","Q9H967-F1",0.272,0.861,1,75.3804394032291,1.08717517212395,"up_reg",22
"87","NRCAM","Q92823",2,260,2,"AF-Q92823-F1-model_v4","Q92823-F1",0.09,0.859,2,78.9562778544666,3.48739175472047,"up_reg",325
"88","SPTBN5","Q9NRC6",2,0,1,"AF-Q9NRC6-F2-model_v4","Q9NRC6-F2",0.193,0.859,2,82.1263610263772,1.85988233420968,"up_reg",17
"89","DNAH9","Q9NYC9",2,0,1,"AF-Q9NYC9-F16-model_v4","Q9NYC9-F16",0.142,0.858,3,85.5620783752349,3.11272023648615,"up_reg",75
"90","DNAH9","Q9NYC9",2,0,1,"AF-Q9NYC9-F15-model_v4","Q9NYC9-F15",0.197,0.856,2,86.2695903549659,3.11272023648615,"up_reg",75
"91","DNAH7","Q8WXX0",7,0,1,"AF-Q8WXX0-F15-model_v4","Q8WXX0-F15",0.086,0.848,3,89.7793089015925,1.51626982452037,"up_reg",21
"92","BUB1B","O60566",2,521,5,"AF-O60566-F1-model_v4","O60566-F1",0.211,0.846,2,64.7205771748185,1.52952308248915,"up_reg",478
"93","POLD1","P28340",2,1287,5,"AF-P28340-F1-model_v4","P28340-F1",0.097,0.843,2,86.9567614224882,1.34763600844012,"up_reg",323
"94","SLC2A1","P11166",12,0,1,"AF-P11166-F1-model_v4","P11166-F1",0.19,0.839,1,89.6153121720881,1.4255174134058,"up_reg",3575
"95","ASPM","Q8IZT6",2,639,4,"AF-Q8IZT6-F3-model_v4","Q8IZT6-F3",0.121,0.835,1,67.4665928669883,1.47783628791996,"up_reg",518
"96","LAMA5","O15230",5,3,2,"AF-O15230-F11-model_v4","O15230-F11",0.204,0.833,5,78.9432836520435,2.1981138834585,"up_reg",155
"97","CENPF","P49454",2,0,3,"AF-P49454-F9-model_v4","P49454-F9",0.372,0.826,1,72.0016993930739,1.54365764922885,"up_reg",391
"98","H2BC18","Q5QNW6",2,34,7,"AF-Q5QNW6-F1-model_v4","Q5QNW6-F1",0.422,0.825,2,87.956881390593,1.29705706455979,"up_reg",0
"99","ASPM","Q8IZT6",2,639,4,"AF-Q8IZT6-F11-model_v4","Q8IZT6-F11",0.163,0.82,2,68.8386483283961,1.47783628791996,"up_reg",518
"100","DNAH7","Q8WXX0",7,0,1,"AF-Q8WXX0-F3-model_v4","Q8WXX0-F3",0.157,0.817,2,87.3683936451898,1.51626982452037,"up_reg",21
"101","GPI","P06744",2,260,2,"AF-P06744-F1-model_v4","P06744-F1",0.383,0.816,2,97.8407676767677,1.5488026794296,"up_reg",20988
"102","CENPA","P49450",2,1242,7,"AF-P49450-F1-model_v4","P49450-F1",0.14,0.815,2,82.0783628318584,1.77429875021436,"up_reg",1099
"103","KIF20A","O95235",2,1070,6,"AF-O95235-F1-model_v4","O95235-F1",0.333,0.814,3,67.3045557924662,1.4726189903608,"up_reg",306
"104","DNAH3","Q8TD57",7,0,1,"AF-Q8TD57-F6-model_v4","Q8TD57-F6",0.199,0.807,4,87.745115370962,2.30566321277808,"up_reg",16
"105","SPTBN5","Q9NRC6",2,0,1,"AF-Q9NRC6-F3-model_v4","Q9NRC6-F3",0.204,0.805,3,81.9798392311838,1.85988233420968,"up_reg",17
"106","LAMA5","O15230",5,3,2,"AF-O15230-F13-model_v4","O15230-F13",0.15,0.804,1,81.6785118626956,2.1981138834585,"up_reg",155
"107","ASPM","Q8IZT6",2,639,4,"AF-Q8IZT6-F2-model_v4","Q8IZT6-F2",0.163,0.803,2,63.4932934706704,1.47783628791996,"up_reg",518
"108","MUC16","Q8WXI7",2,260,2,"AF-Q8WXI7-F58-model_v4","Q8WXI7-F58",0.18,0.798,1,55.9683919501677,4.63129909698087,"up_reg",1358
"109","BRCA2","P51587",2,769,5,"AF-P51587-F12-model_v4","P51587-F12",0.083,0.796,1,65.838077675904,1.00050374334841,"up_reg",14413
"110","SPTBN5","Q9NRC6",2,0,1,"AF-Q9NRC6-F10-model_v4","Q9NRC6-F10",0.205,0.796,1,80.9546235795455,1.85988233420968,"up_reg",17
"111","RECQL4","O94761",2,103,6,"AF-O94761-F1-model_v4","O94761-F1",0.125,0.793,1,69.0309568099209,2.36633134100603,"up_reg",335
"112","RTKN","Q9BST9",16,0,1,"AF-Q9BST9-F1-model_v4","Q9BST9-F1",0.115,0.793,1,72.7382223232553,1.28640865124841,"up_reg",70
"113","CENPF","P49454",2,0,3,"AF-P49454-F8-model_v4","P49454-F8",0.307,0.792,6,71.5561330839123,1.54365764922885,"up_reg",391
"114","FGFR4","P22455",2,0,1,"AF-P22455-F1-model_v4","P22455-F1",0.145,0.792,3,74.6104747295333,1.87833074083471,"up_reg",1205
"115","AURKB","Q96GD4",2,0,2,"AF-Q96GD4-F1-model_v4","Q96GD4-F1",0.06,0.789,2,79.8540354046243,1.35040985178497,"up_reg",1380
"116","CHAF1B","Q13112",2,0,1,"AF-Q13112-F1-model_v4","Q13112-F1",0.173,0.789,1,75.3852922152922,1.0098632180763,"up_reg",92
"117","MZT2A","Q6P582",2,260,2,"AF-Q6P582-F1-model_v4","Q6P582-F1",0.264,0.788,1,65.5028370044053,1.09892761886058,"up_reg",5
"118","ATP1A1","P05023",2,4150,3,"AF-P05023-F1-model_v4","P05023-F1",0.2,0.787,1,88.6991839051463,1.21753586576342,"up_reg",574
"119","DNAH9","Q9NYC9",2,0,1,"AF-Q9NYC9-F10-model_v4","Q9NYC9-F10",0.09,0.786,2,87.2230745175125,3.11272023648615,"up_reg",75
"120","BRCA2","P51587",2,769,5,"AF-P51587-F11-model_v4","P51587-F11",0.066,0.783,2,62.0825062859195,1.00050374334841,"up_reg",14413
"121","LAMA5","O15230",5,3,2,"AF-O15230-F7-model_v4","O15230-F7",0.102,0.782,2,78.1302530086231,2.1981138834585,"up_reg",155
"122","DNAH7","Q8WXX0",7,0,1,"AF-Q8WXX0-F10-model_v4","Q8WXX0-F10",0.212,0.781,3,85.9511892229458,1.51626982452037,"up_reg",21
"123","TGM2","P21980",2,0,1,"AF-P21980-F1-model_v4","P21980-F1",0.245,0.781,1,92.7830439580651,1.90402280818273,"up_reg",595
"124","CDC25C","P30307",2,0,1,"AF-P30307-F1-model_v4","P30307-F1",0.362,0.777,1,64.1824899598394,1.55244954007812,"up_reg",1464
"125","ATP1B3","P54709",2,3224,3,"AF-P54709-F1-model_v4","P54709-F1",0.329,0.776,1,89.5213558558559,1.75564017837288,"up_reg",52
"126","TRAIP","Q9BWF2",2,0,1,"AF-Q9BWF2-F1-model_v4","Q9BWF2-F1",0.303,0.77,1,74.9543435155413,1.04826329115048,"up_reg",59
"127","WDR62","O43379",2,260,2,"AF-O43379-F1-model_v4","O43379-F1",0.088,0.77,2,61.3650231402125,1.68868018212868,"up_reg",124
"128","ASPM","Q8IZT6",2,639,4,"AF-Q8IZT6-F1-model_v4","Q8IZT6-F1",0.107,0.769,2,62.0182791688865,1.47783628791996,"up_reg",518
"129","CENPF","P49454",2,0,3,"AF-P49454-F10-model_v4","P49454-F10",0.416,0.769,3,73.1536007249142,1.54365764922885,"up_reg",391
"130","DNAH9","Q9NYC9",2,0,1,"AF-Q9NYC9-F4-model_v4","Q9NYC9-F4",0.401,0.767,4,85.3379933080919,3.11272023648615,"up_reg",75
"131","FZD2","Q14332",2,0,2,"AF-Q14332-F1-model_v4","Q14332-F1",0.544,0.766,4,84.4377733065057,1.65570843511934,"up_reg",255
"132","LGR5","O75473",3,22,2,"AF-O75473-F1-model_v4","O75473-F1",0.267,0.766,4,80.7447220247405,3.55505941179385,"up_reg",2038
"133","ORC1","Q13415",2,15590,8,"AF-Q13415-F1-model_v4","Q13415-F1",0.154,0.765,1,67.9746077283372,1.80258676818825,"up_reg",378
"134","PHF19","Q5T6S3",2,430,11,"AF-Q5T6S3-F1-model_v4","Q5T6S3-F1",0.257,0.765,1,69.8870806241873,1.21109572763517,"up_reg",70
"135","PPFIA3","O75145",2,0,1,"AF-O75145-F1-model_v4","O75145-F1",0.306,0.764,3,69.9298802779262,2.01014967677994,"up_reg",8
"136","ANLN","Q9NQW6",2,1633,5,"AF-Q9NQW6-F1-model_v4","Q9NQW6-F1",0.121,0.76,1,59.8741904323827,1.60061382581285,"up_reg",232
"137","SPTBN5","Q9NRC6",2,0,1,"AF-Q9NRC6-F4-model_v4","Q9NRC6-F4",0.332,0.758,3,80.2626154672395,1.85988233420968,"up_reg",17
"138","ASPM","Q8IZT6",2,639,4,"AF-Q8IZT6-F12-model_v4","Q8IZT6-F12",0.305,0.756,1,71.8200900482733,1.47783628791996,"up_reg",518
"139","DNAH9","Q9NYC9",2,0,1,"AF-Q9NYC9-F1-model_v4","Q9NYC9-F1",0.154,0.754,1,83.2181195296614,3.11272023648615,"up_reg",75
"140","LMNB1","P20700",2,260,3,"AF-P20700-F1-model_v4","P20700-F1",0.275,0.754,2,82.6346633684663,1.29493670481628,"up_reg",202
"141","CENPE","Q02224",2,0,1,"AF-Q02224-F7-model_v4","Q02224-F7",0.304,0.741,2,72.4408738281586,1.2722314310454,"up_reg",439
"142","DNA2","P51530",2,3554,5,"AF-P51530-F1-model_v4","P51530-F1",0.216,0.741,2,87.5620381561796,1.11463987762989,"up_reg",607
"143","DNAH7","Q8WXX0",7,0,1,"AF-Q8WXX0-F7-model_v4","Q8WXX0-F7",0.146,0.736,2,88.3695649466192,1.51626982452037,"up_reg",21
"144","SPTBN2","O15020",2,518,2,"AF-O15020-F1-model_v4","O15020-F1",0.242,0.736,3,76.775214383059,2.16111679916294,"up_reg",98
"145","DNAH3","Q8TD57",7,0,1,"AF-Q8TD57-F3-model_v4","Q8TD57-F3",0.165,0.733,3,84.8697684117125,2.30566321277808,"up_reg",16
"146","CHEK1","O14757",2,260,3,"AF-O14757-F1-model_v4","O14757-F1",0.067,0.732,1,78.1344110733873,1.18815845528833,"up_reg",2110
"147","MME","P08473",3,112,2,"AF-P08473-F1-model_v4","P08473-F1",0.377,0.727,3,96.2247209302326,2.63442269144195,"up_reg",2311
"148","BCAM","P50895",5,0,1,"AF-P50895-F1-model_v4","P50895-F1",0.182,0.725,3,84.5844937645318,2.89285281126148,"up_reg",431
"149","DNAH9","Q9NYC9",2,0,1,"AF-Q9NYC9-F2-model_v4","Q9NYC9-F2",0.275,0.722,1,84.3222623208668,3.11272023648615,"up_reg",75
"150","MUC16","Q8WXI7",2,260,2,"AF-Q8WXI7-F66-model_v4","Q8WXI7-F66",0.177,0.72,2,77.3666569129481,4.63129909698087,"up_reg",1358
"151","POLQ","O75417",2,0,1,"AF-O75417-F1-model_v4","O75417-F1",0.104,0.717,1,59.4862674012494,1.69170602639254,"up_reg",186
"152","KPNA2","P52292",2,400,3,"AF-P52292-F1-model_v4","P52292-F1",0.024,0.711,1,86.1073162939297,1.24535077945575,"up_reg",315
"153","SHCBP1","Q8NEM2",2,0,1,"AF-Q8NEM2-F1-model_v4","Q8NEM2-F1",0.18,0.711,1,73.6964627259036,1.1701708233086,"up_reg",66
"154","SPC25","Q9HBM1",2,0,1,"AF-Q9HBM1-F1-model_v4","Q9HBM1-F1",0.39,0.708,1,90.2554752851711,1.32055343588579,"up_reg",108
"155","FANCA","O15360",2,0,1,"AF-O15360-F1-model_v4","O15360-F1",0.135,0.707,1,74.565869508254,1.02873330694615,"up_reg",697
"156","RARRES1","P49788",9,0,1,"AF-P49788-F1-model_v4","P49788-F1",0.423,0.702,3,79.9436371379898,2.92357947075679,"up_reg",102
"157","FOXM1","Q08050",2,510,4,"AF-Q08050-F1-model_v4","Q08050-F1",0.173,0.701,1,51.0762881727687,1.64878105749294,"up_reg",2285
"158","DNAH3","Q8TD57",7,0,1,"AF-Q8TD57-F8-model_v4","Q8TD57-F8",0.127,0.7,3,86.0321524543175,2.30566321277808,"up_reg",16
"159","PFKFB3","Q16875",11,1,2,"AF-Q16875-F1-model_v4","Q16875-F1",0.182,0.7,1,87.1352712066906,1.55141365265045,"up_reg",668
"160","CCNB1","P14635",2,2056,13,"AF-P14635-F1-model_v4","P14635-F1",0.078,0.699,1,77.7724150162578,1.80103316641975,"up_reg",2303
"161","SPTBN5","Q9NRC6",2,0,1,"AF-Q9NRC6-F12-model_v4","Q9NRC6-F12",0.288,0.697,2,78.326631465903,1.85988233420968,"up_reg",17
"162","MCM6","Q14566",2,529,7,"AF-Q14566-F1-model_v4","Q14566-F1",0.032,0.695,2,77.3392261722341,1.0413441127024,"up_reg",384
"163","STIL","Q15468",2,0,1,"AF-Q15468-F1-model_v4","Q15468-F1",0.163,0.693,1,53.6494972568579,1.03712548614424,"up_reg",476
"164","LDHA","P00338",11,0,1,"AF-P00338-F1-model_v4","P00338-F1",0.089,0.69,1,96.0605007763975,1.07124152536282,"up_reg",2265
"165","DNAH9","Q9NYC9",2,0,1,"AF-Q9NYC9-F11-model_v4","Q9NYC9-F11",0.048,0.687,2,87.7892278164613,3.11272023648615,"up_reg",75
"166","ABCC4","O15439",3,57,2,"AF-O15439-F1-model_v4","O15439-F1",0.139,0.684,3,83.5914731549991,1.19705791329146,"up_reg",845
"167","ITGA7","Q13683",5,4,3,"AF-Q13683-F1-model_v4","Q13683-F1",0.119,0.684,2,79.4751861643534,1.4412508625302,"up_reg",231
"168","NCAPH","Q15003",2,260,2,"AF-Q15003-F1-model_v4","Q15003-F1",0.198,0.683,1,60.7197876747799,1.72842662440926,"up_reg",73
"169","SKA3","Q8IX90",2,0,2,"AF-Q8IX90-F1-model_v4","Q8IX90-F1",0.354,0.683,1,64.7586888273315,1.52624398983703,"up_reg",99
"170","LAMA5","O15230",5,3,2,"AF-O15230-F6-model_v4","O15230-F6",0.157,0.682,2,80.8888927893738,2.1981138834585,"up_reg",155
"171","DNAH3","Q8TD57",7,0,1,"AF-Q8TD57-F10-model_v4","Q8TD57-F10",0.134,0.681,1,85.2285164102108,2.30566321277808,"up_reg",16
"172","LAMA5","O15230",5,3,2,"AF-O15230-F8-model_v4","O15230-F8",0.061,0.679,2,75.2661202964652,2.1981138834585,"up_reg",155
