file_id,uniprot_id,ID,pocket,druggability,num_drug_pockets,struct_score
AF-Q09428-F1-model_v4,Q09428,Q09428-F1,0.122,0.999,2,82.6240913102784
AF-Q12816-F1-model_v4,Q12816,Q12816-F1,0.197,0.999,2,50.0885673295736
AF-Q16518-F1-model_v4,Q16518,Q16518-F1,0.591,0.999,1,95.1571799628942
AF-Q16572-F1-model_v4,Q16572,Q16572-F1,0.115,0.999,1,76.2258599202393
AF-Q16635-F1-model_v4,Q16635,Q16635-F1,0.091,0.999,1,87.9650508474576
AF-Q5U5X0-F1-model_v4,Q5U5X0,Q5U5X0-F1,-0.022,0.999,1,91.3494040524434
AF-Q674R7-F1-model_v4,Q674R7,Q674R7-F1,0.094,0.999,2,69.4013621076233
AF-Q685J3-F2-model_v4,Q685J3,Q685J3-F2,0.338,0.999,8,53.7420016594068
AF-Q6NXT6-F1-model_v4,Q6NXT6,Q6NXT6-F1,0.267,0.999,2,72.0728308986277
AF-Q6QHF9-F1-model_v4,Q6QHF9,Q6QHF9-F1,0.135,0.999,1,92.9707172026544
AF-Q6TCH4-F1-model_v4,Q6TCH4,Q6TCH4-F1,0.048,0.999,1,91.5229519194931
AF-Q6ZRR5-F1-model_v4,Q6ZRR5,Q6ZRR5-F1,0.045,0.999,2,94.8906510681587
AF-Q86SK9-F1-model_v4,Q86SK9,Q86SK9-F1,0.203,0.999,3,90.2770570570571
AF-Q86UK0-F1-model_v4,Q86UK0,Q86UK0-F1,0.128,0.999,5,68.1765444239899
AF-Q86UQ4-F2-model_v4,Q86UQ4,Q86UQ4-F2,0.262,0.999,7,57.5871986313388
AF-Q86YH6-F1-model_v4,Q86YH6,Q86YH6-F1,0.122,0.999,1,80.2112838709677
AF-Q8NCK7-F1-model_v4,Q8NCK7,Q8NCK7-F1,0.108,0.999,1,84.3856035502959
AF-Q8NFM4-F1-model_v4,Q8NFM4,Q8NFM4-F1,0.495,0.999,5,79.1683163265306
AF-Q8NGY2-F1-model_v4,Q8NGY2,Q8NGY2-F1,0.039,0.999,2,85.9097859922179
AF-Q8TDI7-F1-model_v4,Q8TDI7,Q8TDI7-F1,0.115,0.999,2,68.1981326135105
AF-Q8WTV0-F1-model_v4,Q8WTV0,Q8WTV0-F1,0.232,0.999,3,84.3474257657236
AF-Q96B21-F1-model_v4,Q96B21,Q96B21-F1,0.597,0.999,1,90.5541474245115
AF-Q96DR5-F1-model_v4,Q96DR5,Q96DR5-F1,0.057,0.999,1,61.7753846153846
AF-Q96P50-F1-model_v4,Q96P50,Q96P50-F1,0.114,0.999,1,76.483696054254
AF-Q96PP9-F1-model_v4,Q96PP9,Q96PP9-F1,0.268,0.999,2,86.2397819739147
AF-Q96PS8-F1-model_v4,Q96PS8,Q96PS8-F1,0.22,0.999,1,91.0967352415027
AF-Q96SA4-F1-model_v4,Q96SA4,Q96SA4-F1,0.38,0.999,5,78.6529680493274
AF-Q9BXC1-F1-model_v4,Q9BXC1,Q9BXC1-F1,0.088,0.999,1,84.2611189069424
AF-Q9GZR5-F1-model_v4,Q9GZR5,Q9GZR5-F1,0.055,0.999,1,84.0631597089238
AF-Q9HBI6-F1-model_v4,Q9HBI6,Q9HBI6-F1,0.11,0.999,1,92.136736618722
AF-Q9HCN3-F1-model_v4,Q9HCN3,Q9HCN3-F1,0.109,0.999,1,81.318483627204
AF-Q9NRD8-F1-model_v4,Q9NRD8,Q9NRD8-F1,0.161,0.999,4,83.9241270481879
AF-Q9NZP2-F1-model_v4,Q9NZP2,Q9NZP2-F1,0.367,0.999,3,89.4049089437475
AF-Q9UPQ8-F1-model_v4,Q9UPQ8,Q9UPQ8-F1,0.076,0.999,3,90.1405023923445
AF-Q9Y5P4-F1-model_v4,Q9Y5P4,Q9Y5P4-F1,0.032,0.999,1,77.8958796389168
AF-B2RXF0-F1-model_v4,B2RXF0,B2RXF0-F1,0.296,0.998,1,81.5380860286762
AF-O00254-F1-model_v4,O00254,O00254-F1,0.106,0.998,4,76.8267676431425
AF-O00338-F1-model_v4,O00338,O00338-F1,0.298,0.998,1,95.7546737357259
AF-O14994-F1-model_v4,O14994,O14994-F1,0.306,0.998,1,73.8307624831309
AF-O43315-F1-model_v4,O43315,O43315-F1,0.47,0.998,1,91.0660036084799
AF-P07202-F1-model_v4,P07202,P07202-F1,0.39,0.998,3,84.39631062595
AF-P0C870-F1-model_v4,P0C870,P0C870-F1,0.316,0.998,1,97.8788928289992
AF-P15812-F1-model_v4,P15812,P15812-F1,-0.002,0.998,1,80.1762483745124
AF-P18405-F1-model_v4,P18405,P18405-F1,0.002,0.998,1,91.8701925854598
AF-P23109-F1-model_v4,P23109,P23109-F1,0.124,0.998,3,83.6296095717884
AF-P48651-F1-model_v4,P48651,P48651-F1,0.058,0.998,4,80.3455863647927
AF-P50225-F1-model_v4,P50225,P50225-F1,0.296,0.998,1,96.750099626401
AF-P63135-F1-model_v4,P63135,P63135-F1,0.69,0.998,5,72.8946182287188
AF-Q02127-F1-model_v4,Q02127,Q02127-F1,0.4,0.998,1,95.8251125082727
AF-Q08357-F1-model_v4,Q08357,Q08357-F1,0.345,0.998,1,72.9532440056417
AF-Q3LXA3-F1-model_v4,Q3LXA3,Q3LXA3-F1,0.092,0.998,1,95.4100193845408
AF-Q5CZC0-F13-model_v4,Q5CZC0,Q5CZC0-F13,0.07,0.998,3,50.9761038261182
AF-Q685J3-F10-model_v4,Q685J3,Q685J3-F10,0.303,0.998,8,57.3136964859542
AF-Q685J3-F11-model_v4,Q685J3,Q685J3-F11,0.223,0.998,4,55.8011703011423
AF-Q685J3-F13-model_v4,Q685J3,Q685J3-F13,0.184,0.998,9,52.1710827629123
AF-Q6NUM9-F1-model_v4,Q6NUM9,Q6NUM9-F1,0.132,0.998,3,95.2171556122449
AF-Q6P9B9-F1-model_v4,Q6P9B9,Q6P9B9-F1,0.097,0.998,1,78.0816287629815
AF-Q6Y1H2-F1-model_v4,Q6Y1H2,Q6Y1H2-F1,0.214,0.998,2,78.7545748383889
AF-Q6ZNA5-F1-model_v4,Q6ZNA5,Q6ZNA5-F1,0.044,0.998,1,88.7531071505261
AF-Q6ZVX9-F1-model_v4,Q6ZVX9,Q6ZVX9-F1,0.107,0.998,1,86.6401557838913
AF-Q8N966-F1-model_v4,Q8N966,Q8N966-F1,0.026,0.998,1,88.4223471882641
AF-Q8NGM9-F1-model_v4,Q8NGM9,Q8NGM9-F1,0.09,0.998,2,89.7450879345603
AF-Q8TDN7-F1-model_v4,Q8TDN7,Q8TDN7-F1,0.113,0.998,2,93.6866348340155
AF-Q8TE04-F1-model_v4,Q8TE04,Q8TE04-F1,0.137,0.998,1,72.8243338505875
AF-Q96H96-F1-model_v4,Q96H96,Q96H96-F1,0.446,0.998,1,86.317850140056
AF-Q96JG8-F1-model_v4,Q96JG8,Q96JG8-F1,0.083,0.998,2,54.865
AF-Q9BVG9-F1-model_v4,Q9BVG9,Q9BVG9-F1,0.048,0.998,4,82.5780261175289
AF-Q9BYV6-F1-model_v4,Q9BYV6,Q9BYV6-F1,0.325,0.998,2,69.5005339003071
AF-Q9BZF2-F1-model_v4,Q9BZF2,Q9BZF2-F1,0.195,0.998,1,71.630390461997
AF-Q9HB29-F1-model_v4,Q9HB29,Q9HB29-F1,0.062,0.998,1,77.409100586574
AF-Q9NPC1-F1-model_v4,Q9NPC1,Q9NPC1-F1,0.217,0.998,3,81.7689171023152
AF-Q9NPP4-F1-model_v4,Q9NPP4,Q9NPP4-F1,0.441,0.998,2,85.1586064168504
AF-Q9NUN7-F1-model_v4,Q9NUN7,Q9NUN7-F1,0.293,0.998,1,93.4403270609319
AF-Q9P2U7-F1-model_v4,Q9P2U7,Q9P2U7-F1,0.124,0.998,3,80.2484445467096
AF-Q9UBJ2-F1-model_v4,Q9UBJ2,Q9UBJ2-F1,0.306,0.998,2,81.377867760123
AF-Q9UI17-F1-model_v4,Q9UI17,Q9UI17-F1,0.436,0.998,3,95.1660140576951
AF-Q9Y2E8-F1-model_v4,Q9Y2E8,Q9Y2E8-F1,0.101,0.998,2,75.7560021691974
AF-Q9Y4A9-F1-model_v4,Q9Y4A9,Q9Y4A9-F1,0.054,0.998,1,87.6682248281439
AF-Q9Y6L6-F1-model_v4,Q9Y6L6,Q9Y6L6-F1,0.246,0.998,2,80.8120714684534
AF-A6NFE2-F1-model_v4,A6NFE2,A6NFE2-F1,0.184,0.997,1,59.1900217312568
AF-A6NML5-F1-model_v4,A6NML5,A6NML5-F1,0.301,0.997,1,73.2038349834984
AF-M0QZD8-F5-model_v4,M0QZD8,M0QZD8-F5,0.205,0.997,4,74.6754912603496
AF-M0QZD8-F7-model_v4,M0QZD8,M0QZD8-F7,0.155,0.997,11,69.7965248032217
AF-P00156-F1-model_v4,P00156,P00156-F1,0.114,0.997,3,97.7663567174057
AF-P21817-F19-model_v4,P21817,P21817-F19,0.226,0.997,3,75.5543385568513
AF-P27338-F1-model_v4,P27338,P27338-F1,0.342,0.997,1,95.702839864538
AF-P29017-F1-model_v4,P29017,P29017-F1,0.113,0.997,1,88.659148217636
AF-P43304-F1-model_v4,P43304,P43304-F1,0.089,0.997,2,86.0993910594861
AF-P45844-F1-model_v4,P45844,P45844-F1,0.08,0.997,1,81.6895963025844
AF-P51798-F1-model_v4,P51798,P51798-F1,0.216,0.997,1,80.9691204221973
AF-Q02224-F6-model_v4,Q02224,Q02224-F6,0.135,0.997,5,72.5524854202401
AF-Q5NUL3-F1-model_v4,Q5NUL3,Q5NUL3-F1,0.375,0.997,2,79.4405043782837
AF-Q5T4S7-F18-model_v4,Q5T4S7,Q5T4S7-F18,0.183,0.997,2,82.3662988008295
AF-Q6NT55-F1-model_v4,Q6NT55,Q6NT55-F1,0.411,0.997,1,93.3332569857994
AF-Q6P093-F1-model_v4,Q6P093,Q6P093-F1,0.162,0.997,1,95.6402279026794
AF-Q7Z3F1-F1-model_v4,Q7Z3F1,Q7Z3F1-F1,0.155,0.997,5,73.3567609555914
AF-Q7Z7B1-F1-model_v4,Q7Z7B1,Q7Z7B1-F1,0.093,0.997,2,86.8716521305756
AF-Q86UA1-F1-model_v4,Q86UA1,Q86UA1-F1,0.098,0.997,1,82.597593061077
AF-Q8IY49-F1-model_v4,Q8IY49,Q8IY49-F1,0.126,0.997,1,86.4841365280289
AF-Q8N5S9-F1-model_v4,Q8N5S9,Q8N5S9-F1,0.032,0.997,1,72.3312312006118
AF-Q92504-F1-model_v4,Q92504,Q92504-F1,0.117,0.997,1,66.2056494787264
AF-Q92508-F1-model_v4,Q92508,Q92508-F1,0.36,0.997,5,74.1268835277833
AF-Q96GS6-F1-model_v4,Q96GS6,Q96GS6-F1,0.127,0.997,1,90.0161313258051
AF-Q96HR9-F1-model_v4,Q96HR9,Q96HR9-F1,0.085,0.997,1,72.3751903323263
AF-Q96IV6-F1-model_v4,Q96IV6,Q96IV6-F1,0.527,0.997,3,93.0691503976862
AF-Q96LT4-F1-model_v4,Q96LT4,Q96LT4-F1,0.165,0.997,3,79.5338025271819
AF-Q96RI8-F1-model_v4,Q96RI8,Q96RI8-F1,0.114,0.997,3,90.9324278312361
AF-Q9H013-F1-model_v4,Q9H013,Q9H013-F1,0.198,0.997,1,70.0640242738306
AF-Q9HB14-F1-model_v4,Q9HB14,Q9HB14-F1,0.169,0.997,1,74.9018863779033
AF-Q9NXK6-F1-model_v4,Q9NXK6,Q9NXK6-F1,0.08,0.997,1,92.4435868754661
AF-Q9NXN4-F1-model_v4,Q9NXN4,Q9NXN4-F1,0.21,0.997,1,83.1432686002522
AF-Q9UHJ9-F1-model_v4,Q9UHJ9,Q9UHJ9-F1,0.039,0.997,1,90.2377097396336
AF-Q9Y6A2-F1-model_v4,Q9Y6A2,Q9Y6A2-F1,0.344,0.997,1,94.9295051237191
AF-A2A3N6-F1-model_v4,A2A3N6,A2A3N6-F1,0.068,0.996,3,67.4374505395683
AF-A5PLL7-F1-model_v4,A5PLL7,A5PLL7-F1,0.07,0.996,1,91.0462658802178
AF-A8MYU2-F1-model_v4,A8MYU2,A8MYU2-F1,0.157,0.996,3,74.5034605263158
AF-O00204-F1-model_v4,O00204,O00204-F1,0.599,0.996,1,87.7219032921811
AF-O14569-F1-model_v4,O14569,O14569-F1,0.027,0.996,1,93.6279763313609
AF-O43448-F1-model_v4,O43448,O43448-F1,0.402,0.996,1,84.8863633398565
AF-O60287-F1-model_v4,O60287,O60287-F1,0.109,0.996,2,75.8249572410709
AF-P0C7X4-F1-model_v4,P0C7X4,P0C7X4-F1,0.082,0.996,1,77.529736346516
AF-P10632-F1-model_v4,P10632,P10632-F1,0.134,0.996,2,92.4061477707006
AF-P11279-F1-model_v4,P11279,P11279-F1,0.157,0.996,1,86.8065999364474
AF-P34903-F1-model_v4,P34903,P34903-F1,-0.016,0.996,1,77.5765834834062
AF-P35372-F1-model_v4,P35372,P35372-F1,0.132,0.996,1,76.4789671660822
AF-P35408-F1-model_v4,P35408,P35408-F1,0.069,0.996,1,71.0931687684465
AF-P36021-F1-model_v4,P36021,P36021-F1,0.056,0.996,2,80.0514439140811
AF-P56937-F1-model_v4,P56937,P56937-F1,0.196,0.996,1,90.4883364346855
AF-Q02161-F1-model_v4,Q02161,Q02161-F1,0.088,0.996,1,85.0331942265453
AF-Q12982-F1-model_v4,Q12982,Q12982-F1,0.084,0.996,1,72.3363324121595
AF-Q32M45-F1-model_v4,Q32M45,Q32M45-F1,0.086,0.996,2,79.5631782354437
AF-Q3SXM5-F1-model_v4,Q3SXM5,Q3SXM5-F1,0.086,0.996,1,92.080199157411
AF-Q49AJ0-F1-model_v4,Q49AJ0,Q49AJ0-F1,0.006,0.996,2,61.7572405918889
AF-Q5CZC0-F20-model_v4,Q5CZC0,Q5CZC0-F20,0.261,0.996,1,61.8607235902927
AF-Q5VST9-F23-model_v4,Q5VST9,Q5VST9-F23,0.11,0.996,1,62.1399981287425
AF-Q63HN8-F13-model_v4,Q63HN8,Q63HN8-F13,0.222,0.996,1,80.5239026136771
AF-Q685J3-F1-model_v4,Q685J3,Q685J3-F1,0.162,0.996,6,51.8669174632542
AF-Q685J3-F7-model_v4,Q685J3,Q685J3-F7,0.253,0.996,7,51.4707361010457
AF-Q7Z465-F1-model_v4,Q7Z465,Q7Z465-F1,0.19,0.996,1,68.6518282647585
AF-Q86UQ4-F6-model_v4,Q86UQ4,Q86UQ4-F6,0.172,0.996,9,50.9450305553095
AF-Q8IUH5-F1-model_v4,Q8IUH5,Q8IUH5-F1,0.086,0.996,1,87.6073187414501
AF-Q8N612-F1-model_v4,Q8N612,Q8N612-F1,0.165,0.996,2,69.4889122240172
AF-Q8NB78-F1-model_v4,Q8NB78,Q8NB78-F1,0.366,0.996,3,91.7471459459459
AF-Q8NG84-F1-model_v4,Q8NG84,Q8NG84-F1,0.114,0.996,1,86.1556965361446
AF-Q8TDS5-F1-model_v4,Q8TDS5,Q8TDS5-F1,0.434,0.996,2,77.3128686493185
AF-Q92959-F1-model_v4,Q92959,Q92959-F1,0.071,0.996,1,82.0247409063198
AF-Q96DZ9-F1-model_v4,Q96DZ9,Q96DZ9-F1,0.089,0.996,2,59.4065923384791
AF-Q99570-F1-model_v4,Q99570,Q99570-F1,0.108,0.996,1,78.1643102487932
AF-Q9BVR0-F1-model_v4,Q9BVR0,Q9BVR0-F1,0.175,0.996,2,68.903578935723
AF-Q9H6R6-F1-model_v4,Q9H6R6,Q9H6R6-F1,0.155,0.996,1,86.6833572281959
AF-Q9HAW9-F1-model_v4,Q9HAW9,Q9HAW9-F1,0.103,0.996,1,91.4403761904762
AF-Q9HAY6-F1-model_v4,Q9HAY6,Q9HAY6-F1,0.446,0.996,1,90.7772052500566
AF-Q9NQ40-F1-model_v4,Q9NQ40,Q9NQ40-F1,0.104,0.996,4,80.3920908071749
AF-Q9NVV5-F1-model_v4,Q9NVV5,Q9NVV5-F1,0.424,0.996,1,94.0548682170543
AF-Q9UNN8-F1-model_v4,Q9UNN8,Q9UNN8-F1,0.083,0.996,1,87.1047502656748
AF-Q9UPQ4-F1-model_v4,Q9UPQ4,Q9UPQ4-F1,0.324,0.996,2,87.9343805198082
AF-Q9Y5W5-F1-model_v4,Q9Y5W5,Q9Y5W5-F1,0.105,0.996,1,79.9755820379965
AF-A6NHS7-F1-model_v4,A6NHS7,A6NHS7-F1,0.166,0.995,1,62.5516666666667
AF-O15374-F1-model_v4,O15374,O15374-F1,0.162,0.995,3,79.7232573375262
AF-O60551-F1-model_v4,O60551,O60551-F1,0.502,0.995,1,82.7658250249252
AF-O60706-F1-model_v4,O60706,O60706-F1,0.159,0.995,1,81.8172048625275
AF-P0DMM9-F1-model_v4,P0DMM9,P0DMM9-F1,0.441,0.995,1,96.6115940224159
AF-P0DMN0-F1-model_v4,P0DMN0,P0DMN0-F1,0.295,0.995,1,96.6299294312993
AF-P15538-F1-model_v4,P15538,P15538-F1,0.091,0.995,1,91.1017122443952
AF-P22888-F1-model_v4,P22888,P22888-F1,0.198,0.995,2,79.6695637219406
AF-P46379-F1-model_v4,P46379,P46379-F1,0.023,0.995,1,58.5484585121602
AF-P54855-F1-model_v4,P54855,P54855-F1,0.396,0.995,1,93.6438130667287
AF-Q02318-F1-model_v4,Q02318,Q02318-F1,0.078,0.995,1,88.842860503411
AF-Q13488-F1-model_v4,Q13488,Q13488-F1,0.243,0.995,1,84.068362305581
AF-Q15546-F1-model_v4,Q15546,Q15546-F1,0.023,0.995,1,91.7402915601023
AF-Q15776-F1-model_v4,Q15776,Q15776-F1,0.077,0.995,1,64.4640831348777
AF-Q16787-F8-model_v4,Q16787,Q16787-F8,0.094,0.995,3,79.0257372826787
AF-Q2PZI1-F1-model_v4,Q2PZI1,Q2PZI1-F1,0.09,0.995,2,88.4741556534508
AF-Q5T9L3-F1-model_v4,Q5T9L3,Q5T9L3-F1,0.002,0.995,2,83.0569669327252
AF-Q6GMR7-F1-model_v4,Q6GMR7,Q6GMR7-F1,0.082,0.995,1,94.182449377897
AF-Q6QHC5-F1-model_v4,Q6QHC5,Q6QHC5-F1,0.075,0.995,1,96.6202268431002
AF-Q86UQ4-F8-model_v4,Q86UQ4,Q86UQ4-F8,0.109,0.995,5,51.7600240277654
AF-Q8IVB4-F1-model_v4,Q8IVB4,Q8IVB4-F1,0.078,0.995,3,73.2900078125
AF-Q8IWW8-F1-model_v4,Q8IWW8,Q8IWW8-F1,0.351,0.995,2,93.278378148882
AF-Q8IXF9-F1-model_v4,Q8IXF9,Q8IXF9-F1,0.143,0.995,1,80.6838655841227
AF-Q8N5B7-F1-model_v4,Q8N5B7,Q8N5B7-F1,0.179,0.995,2,85.9582761816497
AF-Q8NFQ6-F1-model_v4,Q8NFQ6,Q8NFQ6-F1,0.137,0.995,1,82.1646698468491
AF-Q8NGX5-F1-model_v4,Q8NGX5,Q8NGX5-F1,0.129,0.995,1,86.7408350222943
AF-Q8NH53-F1-model_v4,Q8NH53,Q8NH53-F1,0.038,0.995,1,89.2645183121019
AF-Q8TBR7-F1-model_v4,Q8TBR7,Q8TBR7-F1,0.086,0.995,1,93.2266103331724
AF-Q8TDX9-F9-model_v4,Q8TDX9,Q8TDX9-F9,0.074,0.995,4,68.6458127978907
AF-Q8WUD6-F1-model_v4,Q8WUD6,Q8WUD6-F1,0.151,0.995,1,91.3230648206419
AF-Q9H4I3-F1-model_v4,Q9H4I3,Q9H4I3-F1,0.139,0.995,1,80.6018678354686
AF-Q9H5I5-F2-model_v4,Q9H5I5,Q9H5I5-F2,0.131,0.995,3,77.4648108154803
AF-Q9H5I5-F7-model_v4,Q9H5I5,Q9H5I5-F7,0.12,0.995,1,73.6920438666313
AF-Q9N2K0-F1-model_v4,Q9N2K0,Q9N2K0-F1,0.114,0.995,4,63.6609823399559
AF-Q9UBT7-F1-model_v4,Q9UBT7,Q9UBT7-F1,0.121,0.995,2,84.5211421098518
AF-Q9UKN7-F6-model_v4,Q9UKN7,Q9UKN7-F6,0.216,0.995,4,73.2444234913793
AF-Q9Y3E0-F1-model_v4,Q9Y3E0,Q9Y3E0-F1,0.042,0.995,3,87.5068858447489
AF-Q9Y5R4-F1-model_v4,Q9Y5R4,Q9Y5R4-F1,0.469,0.995,1,88.0071783463107
AF-Q9Y616-F1-model_v4,Q9Y616,Q9Y616-F1,0.031,0.995,2,71.3982811515024
AF-A0A1B0GWB2-F1-model_v4,A0A1B0GWB2,A0A1B0GWB2-F1,0.037,0.994,1,57.8399894235854
AF-A0A494C071-F1-model_v4,A0A494C071,A0A494C071-F1,0.222,0.994,9,50.8363851483854
AF-O00423-F1-model_v4,O00423,O00423-F1,0.196,0.994,4,87.1358804932026
AF-O14718-F1-model_v4,O14718,O14718-F1,0.128,0.994,1,85.9449542682927
AF-O43325-F1-model_v4,O43325,O43325-F1,0.428,0.994,1,88.6697308075773
AF-O75592-F9-model_v4,O75592,O75592-F9,0.128,0.994,1,65.6519895336884
AF-P0DTE4-F1-model_v4,P0DTE4,P0DTE4-F1,0.058,0.994,1,94.4927035984849
AF-P10266-F1-model_v4,P10266,P10266-F1,0.114,0.994,1,78.9339856683963
AF-P10635-F1-model_v4,P10635,P10635-F1,0.057,0.994,1,94.5687788778878
AF-P21926-F1-model_v4,P21926,P21926-F1,0.063,0.994,1,88.1191475042064
AF-P33261-F1-model_v4,P33261,P33261-F1,0.079,0.994,1,94.2076042726348
AF-P35499-F1-model_v4,P35499,P35499-F1,0.184,0.994,5,73.0808024058506
AF-Q16678-F1-model_v4,Q16678,Q16678-F1,0.5,0.994,1,92.2863456156716
AF-Q5U3C3-F1-model_v4,Q5U3C3,Q5U3C3-F1,0.171,0.994,3,90.2159025423729
AF-Q5VZE5-F1-model_v4,Q5VZE5,Q5VZE5-F1,0.096,0.994,1,89.8503481228669
AF-Q5VZR4-F1-model_v4,Q5VZR4,Q5VZR4-F1,0.077,0.994,2,57.3952166377816
AF-Q6P1A2-F1-model_v4,Q6P1A2,Q6P1A2-F1,0.332,0.994,2,92.5555395864851
