"","ensembl_gene_id","external_gene_name"
"134","ENSG00000163631","ALB"
"135","ENSG00000163689","CFAP20DC"
"136","ENSG00000163884","KLF15"
"137","ENSG00000164591","MYOZ3"
"138","ENSG00000165194","PCDH19"
"139","ENSG00000165995","CACNB2"
"140","ENSG00000166206","GABRB3"
"141","ENSG00000166289","PLEKHF1"
"142","ENSG00000166405","RIC3"
"143","ENSG00000166482","MFAP4"
"144","ENSG00000166743","ACSM1"
"145","ENSG00000166770","ZNF667-AS1"
"146","ENSG00000166839","ANKDD1A"
"147","ENSG00000166960","CCDC178"
"148","ENSG00000167653","PSCA"
"149","ENSG00000168079","SCARA5"
"150","ENSG00000168421","RHOH"
"151","ENSG00000168631","MUCL3"
"152","ENSG00000168874","ATOH8"
"153","ENSG00000169031","COL4A3"
"154","ENSG00000169245","CXCL10"
"155","ENSG00000169252","ADRB2"
"156","ENSG00000169605","GKN1"
"157","ENSG00000169752","NRG4"
"158","ENSG00000169918","OTUD7A"
"159","ENSG00000170382","LRRN2"
"160","ENSG00000170837","GPR27"
"161","ENSG00000170893","TRH"
"162","ENSG00000171243","SOSTDC1"
"163","ENSG00000171435","KSR2"
"164","ENSG00000171811","CFAP46"
"165","ENSG00000172000","ZNF556"
"166","ENSG00000172260","NEGR1"
"167","ENSG00000172461","FUT9"
"168","ENSG00000172935","MRGPRF"
"169","ENSG00000173237","C11orf86"
"170","ENSG00000173421","IHO1"
"171","ENSG00000173698","ADGRG2"
"172","ENSG00000173705","SUSD5"
"173","ENSG00000174740","PABPC5"
"174","ENSG00000174992","ZG16"
"175","ENSG00000175084","DES"
"176","ENSG00000176533","GNG7"
"177","ENSG00000176842","IRX5"
"178","ENSG00000177098","SCN4B"
"179","ENSG00000178404","CEP295NL"
"180","ENSG00000178597","PSAPL1"
"181","ENSG00000180340","FZD2"
"182","ENSG00000180644","PRF1"
"183","ENSG00000182218","HHIPL1"
"184","ENSG00000182397","DNM1P46"
"185","ENSG00000183454","GRIN2A"
"186","ENSG00000183607","GKN2"
"187","ENSG00000183831","ANKRD45"
"188","ENSG00000184368","MAP7D2"
"189","ENSG00000184809","B3GALT5-AS1"
"190","ENSG00000184956","MUC6"
"191","ENSG00000185274","GALNT17"
"192","ENSG00000185467","KPNA7"
"193","ENSG00000185737","NRG3"
"194","ENSG00000188820","CALHM6"
"195","ENSG00000189186","DCAF8L2"
"196","ENSG00000189377","CXCL17"
"197","ENSG00000196091","MYBPC1"
"198","ENSG00000196218","RYR1"
"199","ENSG00000196616","ADH1B"
"200","ENSG00000197301","HMGA2-AS1"
"201","ENSG00000197361","FBXL22"
"202","ENSG00000197410","DCHS2"
"203","ENSG00000197444","OGDHL"
"204","ENSG00000198483","ANKRD35"
"205","ENSG00000198488","B3GNT6"
"206","ENSG00000198756","COLGALT2"
"207","ENSG00000198892","SHISA4"
"208","ENSG00000201229","SNORA63D"
"209","ENSG00000201457","SNORA55"
"210","ENSG00000203647",""
"211","ENSG00000203985","LDLRAD1"
"212","ENSG00000204172","AGAP9"
"213","ENSG00000204179","PTPN20"
"214","ENSG00000204983","PRSS1"
"215","ENSG00000205221","VIT"
"216","ENSG00000205710","C17orf107"
"217","ENSG00000206559","ZCWPW2"
"218","ENSG00000207344","SNORA22C"
"219","ENSG00000207389","RNU1-4"
"220","ENSG00000207392","SNORA20"
"221","ENSG00000207650","MIR570"
"222","ENSG00000211772","TRBC2"
"223","ENSG00000211895","IGHA1"
"224","ENSG00000214694","ARHGEF33"
"225","ENSG00000216809",""
"226","ENSG00000223704","LINC01422"
"227","ENSG00000224511","LINC00365"
"228","ENSG00000225808","DNAJC19P5"
"229","ENSG00000226235","LEMD1-AS1"
"230","ENSG00000226652","PSMD10P2"
"231","ENSG00000227053","MUC12-AS1"
"232","ENSG00000229847","EMX2OS"
"233","ENSG00000229980","TOB1-AS1"
"234","ENSG00000231298","MANCR"
"235","ENSG00000234465","PINLYP"
"236","ENSG00000235663","SAPCD1-AS1"
"237","ENSG00000236636",""
"238","ENSG00000237223","SULT1C5P"
"239","ENSG00000237438","CECR7"
"240","ENSG00000237522","NONOP2"
"241","ENSG00000237788",""
"242","ENSG00000239763","RPL21P118"
"243","ENSG00000240764","PCDHGC5"
"244","ENSG00000241489",""
"245","ENSG00000241644","INMT"
"246","ENSG00000242419","PCDHGC4"
"247","ENSG00000242559","RN7SL144P"
"248","ENSG00000243279","PRAF2"
"249","ENSG00000244503","EEF1A1P45"
"250","ENSG00000248099","INSL3"
"251","ENSG00000248521",""
"252","ENSG00000248863",""
"253","ENSG00000249923","LINC02891"
"254","ENSG00000250056","LINC01018"
"255","ENSG00000250091","DNAH10OS"
"256","ENSG00000253537","PCDHGA7"
"257","ENSG00000256612","CYP2B7P"
"258","ENSG00000256713","PGA5"
"259","ENSG00000258461",""
"260","ENSG00000259772","LINC03034"
"261","ENSG00000260077",""
"262","ENSG00000260230","FRRS1L"
"263","ENSG00000260417",""
"264","ENSG00000260585",""
"265","ENSG00000263639","MSMB"
"266","ENSG00000267259","ERVE-1"
"267","ENSG00000267504",""
"268","ENSG00000267745",""
"269","ENSG00000269404","SPIB"
"270","ENSG00000270504",""
"271","ENSG00000271141",""
"272","ENSG00000271614","ATP2B1-AS1"
"273","ENSG00000272084",""
"274","ENSG00000272491",""
"275","ENSG00000272574",""
"276","ENSG00000272636","DOC2B"
"277","ENSG00000272734","ADIRF-AS1"
"278","ENSG00000272990",""
"279","ENSG00000276136",""
"280","ENSG00000276728",""
"281","ENSG00000277734","TRAC"
"282","ENSG00000279294",""
"283","ENSG00000280195",""
"284","ENSG00000280265",""
"285","ENSG00000280332",""
"286","ENSG00000280693","SH3PXD2A-AS1"
