"","external_gene_name","uniprot_gn_id","cluster","betweenness","degree_centrality","logFC","file_id","ID","pocket","druggability","num_drug_pockets","struct_score","base_count","cancer_count","MeSH_count","title_query","ovarian_count","title_count"
"14","OR10H5","Q8NGA6","4",0,1,2.64223654267699,"AF-Q8NGA6-F1-model_v4","Q8NGA6-F1",0.075,0.992,1,86.7356191254597,1,1,1,0,0,0
"15","KIF11","P52732","4",1395,8,3.55873563386712,"AF-P52732-F1-model_v4","P52732-F1",0.141,0.991,1,74.7686384864088,836,432,247,51,22,51
"16","CD1A","P06126","4",358,4,4.99819899273997,"AF-P06126-F1-model_v4","P06126-F1",0.024,0.99,1,89.2181280975982,4001,1307,979,111,11,111
"17","CYP2A13","Q16696","4",0,1,5.23083141430938,"AF-Q16696-F1-model_v4","Q16696-F1",0.076,0.99,1,96.149041781336,193,83,50,36,2,36
"18","SCN1A","P35498","4",0,1,3.47304760325146,"AF-P35498-F1-model_v4","P35498-F1",0.286,0.989,2,69.2496348733234,1684,39,14,7,1,7
"19","AKR1B10","O60218","6",0,1,2.40169848591601,"AF-O60218-F1-model_v4","O60218-F1",0.091,0.988,1,97.7875245579568,391,290,169,119,5,119
"20","AFP","P02771","4",0,1,2.62384948124464,"AF-P02771-F1-model_v4","P02771-F1",0.177,0.987,2,88.9915831079675,27093,11843,9565,845,517,845
"21","CCR3","P51677","4",0,3,2.88159388582223,"AF-P51677-F1-model_v4","P51677-F1",0.223,0.984,4,83.613241284087,1861,247,137,51,13,51
"22","ELOVL2","Q9NXB9","32",0,1,3.12232424281927,"AF-Q9NXB9-F1-model_v4","Q9NXB9-F1",0.217,0.984,1,87.6770568972575,333,48,22,13,2,13
"23","ADAM12","O43184","4",0,1,2.25198109126373,"AF-O43184-F1-model_v4","O43184-F1",0.156,0.978,1,71.6607918942225,615,242,172,110,7,110
"24","FBN2","P35556","4",0,1,3.41240017682857,"AF-P35556-F5-model_v4","P35556-F5",0.107,0.975,1,75.7839261809141,324,51,39,6,5,6
"25","CREB3L1","Q96BA8","26",1,2,2.20209420509056,"AF-Q96BA8-F1-model_v4","Q96BA8-F1",0.439,0.972,1,55.439218671992,206,94,78,30,1,30
"26","EZR","P15311","4",7760,11,2.28183419053338,"AF-P15311-F1-model_v4","P15311-F1",0.19,0.972,1,88.4196745138178,219,116,82,18,3,18
"27","CYP2A6","P11509","4",516,2,6.31134371685198,"AF-P11509-F1-model_v4","P11509-F1",0.104,0.97,1,96.5680683245416,1907,477,231,134,7,134
"28","PLA2G2D","Q9UNK4","58",0,1,4.99145055286432,"AF-Q9UNK4-F1-model_v4","Q9UNK4-F1",0.034,0.968,1,92.6282536924414,65,28,11,2,5,2
"29","SLC6A4","P31645","35",0,1,4.43642840237872,"AF-P31645-F1-model_v4","P31645-F1",0.091,0.966,1,85.4319524959742,4787,160,83,12,1,12
"30","H2BC4","P62807","4",0,8,2.92458935016959,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221,0,0,0,0,0,0
"31","H2BC6","P62807","4",22901,12,3.56788946307336,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221,0,0,0,0,0,0
"32","OR7G2","Q8NG99","4",0,1,3.49669369099666,"AF-Q8NG99-F1-model_v4","Q8NG99-F1",0.258,0.965,1,85.3538061183949,1,1,1,0,0,0
"33","CCR2","P41597","4",0,1,2.13356383465854,"AF-P41597-F1-model_v4","P41597-F1",0.058,0.963,3,78.2824847664184,5628,1127,545,253,41,253
"34","TPH2","Q8IWU9","29",0,1,2.96660397527375,"AF-Q8IWU9-F1-model_v4","Q8IWU9-F1",0.096,0.963,1,83.3990869896018,1131,33,13,2,0,2
"35","MS4A1","P11836","4",126,2,2.48249289802745,"AF-P11836-F1-model_v4","P11836-F1",0.126,0.961,1,70.5959067357513,147,98,74,7,2,7
"36","CERS6","Q6ZMG9","18",0,1,2.41223300723085,"AF-Q6ZMG9-F1-model_v4","Q6ZMG9-F1",0.159,0.96,2,87.9754488188976,156,82,51,29,3,29
"37","HACD3","Q9P035","32",0,1,2.40179227893876,"AF-Q9P035-F1-model_v4","Q9P035-F1",0.082,0.96,2,88.7885658153242,15,3,1,0,0,0
"38","H2BC5","P58876","4",28849,18,2.86795672351971,"AF-P58876-F1-model_v4","P58876-F1",0.283,0.959,1,87.5827170582227,2,1,0,0,0,0
"39","H2BC17","P23527","4",35087,12,4.19728419933979,"AF-P23527-F1-model_v4","P23527-F1",0.371,0.957,2,88.0009928352098,0,0,0,0,0,0
"40","TTK","P33981","4",516,2,3.52553934498601,"AF-P33981-F1-model_v4","P33981-F1",0.087,0.956,1,63.954351783879,2107,766,461,82,40,82
"41","PLK1","P53350","4",6144,10,2.47049564858288,"AF-P53350-F1-model_v4","P53350-F1",0.175,0.953,2,85.1698896752706,3057,2135,1139,698,57,698
"42","SQLE","Q14534","66",0,1,2.62520309551598,"AF-Q14534-F1-model_v4","Q14534-F1",0.304,0.953,2,86.1164581947217,290,125,80,26,4,26
"43","SYNDIG1","Q9H7V2","4",0,1,3.25633472614865,"AF-Q9H7V2-F1-model_v4","Q9H7V2-F1",0.011,0.952,1,53.9037824351297,24,5,2,0,0,0
"44","ASIC2","Q16515","4",1030,3,2.88872118861893,"AF-Q16515-F1-model_v4","Q16515-F1",0.311,0.951,1,86.9764060187469,253,23,17,6,1,6
"45","EPGN","Q6UW88","33",0,1,2.72538765779347,"AF-Q6UW88-F1-model_v4","Q6UW88-F1",0.038,0.951,1,67.0733806343906,55,21,11,0,2,0
"46","ERBB4","Q15303","4",3066,4,2.28007801421747,"AF-Q15303-F1-model_v4","Q15303-F1",0.069,0.951,1,73.091615003401,2540,1301,902,232,91,232
"47","DSP","P15924","4",0,1,2.59489429924755,"AF-P15924-F7-model_v4","P15924-F7",0.154,0.95,1,78.5653919845316,5584,516,309,18,24,18
"48","HTR1D","P28221","35",4,2,3.74695211704207,"AF-P28221-F1-model_v4","P28221-F1",0.188,0.95,2,79.0031651997292,59,11,7,3,0,3
"49","ASPM","Q8IZT6","4",24396,4,4.43889481381527,"AF-Q8IZT6-F10-model_v4","Q8IZT6-F10",0.434,0.949,4,62.6404820392025,528,214,134,62,11,62
"50","TRPA1","O75762","4",1544,3,6.43482541675226,"AF-O75762-F1-model_v4","O75762-F1",0.116,0.947,1,81.5129115904773,3121,254,77,80,4,80
"51","ICOS","Q9Y6W8","4",0,1,2.2007182836514,"AF-Q9Y6W8-F1-model_v4","Q9Y6W8-F1",0.208,0.946,2,74.8344493392071,2697,772,421,160,15,160
"52","H2BC13","Q99880","4",31751,17,3.04246121828762,"AF-Q99880-F1-model_v4","Q99880-F1",0.414,0.944,2,87.4487040816327,0,0,0,0,0,0
"53","GJB2","P29033","4",516,4,5.02573594899411,"AF-P29033-F1-model_v4","P29033-F1",0.236,0.943,2,86.3863956639566,2600,280,181,33,2,33
"54","KCNK1","O00180","41",0,4,2.57328553787578,"AF-O00180-F1-model_v4","O00180-F1",0.38,0.943,2,83.7794213649852,107,17,8,1,1,1
"55","MYO3B","Q8WXR4","4",1544,3,4.75498316493389,"AF-Q8WXR4-F1-model_v4","Q8WXR4-F1",0.144,0.942,1,75.6698980641541,22,3,1,0,0,0
"56","H2BC3","P33778","4",0,8,3.598656964618,"AF-P33778-F1-model_v4","P33778-F1",0.423,0.941,2,87.6427142857143,2,2,2,0,1,0
"57","H2BC9","Q93079","4",15876,14,2.12504732057017,"AF-Q93079-F1-model_v4","Q93079-F1",0.364,0.94,2,88.1431147540984,3,2,0,0,0,0
"58","BPIFB2","Q8N4F0","11",0,4,5.20959910900371,"AF-Q8N4F0-F1-model_v4","Q8N4F0-F1",0.224,0.938,2,88.7725757138737,15,3,2,1,0,1
"59","CACNA1S","Q13698","4",711,3,2.54545294870983,"AF-Q13698-F1-model_v4","Q13698-F1",0.089,0.937,4,72.1514006427424,579,44,22,1,0,1
"60","CACNG6","Q9BXT2","4",0,2,4.43377352961365,"AF-Q9BXT2-F1-model_v4","Q9BXT2-F1",0.22,0.937,3,77.2799190692969,13,0,0,0,0,0
"61","CNTNAP2","Q9UHC6","24",0,1,7.05119958855605,"AF-Q9UHC6-F1-model_v4","Q9UHC6-F1",0.433,0.937,2,84.1847244320905,568,74,59,2,3,2
"62","H2BC12","O60814","4",5575,11,2.1436262872015,"AF-O60814-F1-model_v4","O60814-F1",0.241,0.937,1,88.0577868852459,3,1,0,0,0,0
"63","KCNH1","O95259","4",0,1,2.48621275684286,"AF-O95259-F1-model_v4","O95259-F1",0.212,0.931,2,73.9463563321005,371,144,99,5,3,5
"64","IFIT1","P09914","4",0,1,2.1128086178763,"AF-P09914-F1-model_v4","P09914-F1",0.057,0.93,1,94.1743924993578,591,123,73,15,1,15
"65","MUC5B","Q9HC84","4",1996,5,3.14718044766148,"AF-Q9HC84-F1-model_v4","Q9HC84-F1",0.112,0.93,1,82.3506823372668,1246,249,161,43,12,43
"66","RMI1","Q9H9A7","4",575,4,2.01321107748993,"AF-Q9H9A7-F1-model_v4","Q9H9A7-F1",0.133,0.928,1,67.9475899207478,184,85,25,23,10,23
"67","CDC45","O75419","4",0,1,3.0300232028122,"AF-O75419-F1-model_v4","O75419-F1",0.323,0.926,1,92.8874267100977,612,234,81,30,5,30
"68","TAS2R1","Q9NYW7","4",0,2,2.50140210563295,"AF-Q9NYW7-F1-model_v4","Q9NYW7-F1",0.1,0.925,3,79.9903915910965,48,1,1,0,1,0
"69","ATP12A","P54707","4",1031,3,3.1278504934376,"AF-P54707-F1-model_v4","P54707-F1",0.062,0.924,2,85.8420512189116,60,10,4,1,0,1
"70","KCNK9","Q9NPC2","41",0,4,2.0816560335295,"AF-Q9NPC2-F1-model_v4","Q9NPC2-F1",0.032,0.923,1,76.3875101078167,235,42,27,11,3,11
"71","CDC6","Q99741","4",668,3,3.46308917614111,"AF-Q99741-F1-model_v4","Q99741-F1",0.244,0.922,2,69.8394804010939,1071,445,207,125,5,125
"72","GRM8","O00222","35",0,1,3.7032578817346,"AF-O00222-F1-model_v4","O00222-F1",0.162,0.921,2,84.3809931458945,79,17,8,1,1,1
"73","LMX1B","O60663","4",0,1,2.43588619004397,"AF-O60663-F1-model_v4","O60663-F1",0.058,0.921,1,70.7138023664855,439,44,15,21,1,21
"74","APOF","Q13790","4",0,1,4.01934591499605,"AF-Q13790-F1-model_v4","Q13790-F1",0.083,0.918,3,63.8175312122433,72,13,7,4,0,4
"75","OBP2B","Q9NPH6","56",0,1,2.14505272988677,"AF-Q9NPH6-F1-model_v4","Q9NPH6-F1",0.12,0.918,1,87.4871083455344,6,2,1,0,0,0
"76","HTR1A","P08908","35",8,3,2.92780402903946,"AF-P08908-F1-model_v4","P08908-F1",0.275,0.916,3,78.4392899042914,538,31,10,5,1,5
"77","MYH2","Q9UKX2","49",3,2,2.69287352696238,"AF-Q9UKX2-F1-model_v4","Q9UKX2-F1",0.211,0.916,3,73.6272661042945,183,20,11,0,0,0
"78","CENPI","Q92674","4",1336,10,2.17633197391751,"AF-Q92674-F1-model_v4","Q92674-F1",0.058,0.915,3,72.7981596597415,71,26,12,9,1,9
"79","SLC4A8","Q2Y0W8","15",0,1,2.15153148604624,"AF-Q2Y0W8-F1-model_v4","Q2Y0W8-F1",0.253,0.915,2,72.9215543981481,37,4,2,0,1,0
"80","XCR1","P46094","4",2680,9,2.4399221241279,"AF-P46094-F1-model_v4","P46094-F1",0.289,0.915,1,85.7071318398825,305,111,39,25,3,25
"81","KCNJ6","P48051","4",0,2,2.73919222249258,"AF-P48051-F1-model_v4","P48051-F1",0.111,0.911,1,83.7091519953052,199,21,10,2,0,2
"82","EPPK1","P58107","4",1030,2,3.10146400717678,"AF-P58107-F18-model_v4","P58107-F18",0.247,0.908,1,77.4693065625581,40,22,12,3,0,3
"83","IFNL2","Q8IZJ0","38",0,2,3.15290913190161,"AF-Q8IZJ0-F1-model_v4","Q8IZJ0-F1",0.095,0.908,1,84.1380781550288,32,8,4,0,0,0
"84","MRPS30","Q9NP92","1",0,1,2.97318093598144,"AF-Q9NP92-F1-model_v4","Q9NP92-F1",0.185,0.908,1,88.2048057432432,38,24,18,7,1,7
"85","CENPF","P49454","4",0,3,4.68521121132868,"AF-P49454-F7-model_v4","P49454-F7",0.122,0.906,1,71.418744961032,404,271,163,57,9,57
"86","KCNJ3","P48549","4",0,3,7.7323196824111,"AF-P48549-F1-model_v4","P48549-F1",0.272,0.905,3,72.6244489179668,104,15,11,5,0,5
"87","PRLHR","P49683","60",0,1,3.05303694114988,"AF-P49683-F1-model_v4","P49683-F1",0.039,0.905,2,81.8737672176309,51,10,5,2,0,2
"88","GJB6","O95452","4",0,2,2.15653972584055,"AF-O95452-F1-model_v4","O95452-F1",0.086,0.903,1,82.2751540616246,618,31,20,2,1,2
"89","FPR3","P25089","4",0,1,2.08948301156413,"AF-P25089-F1-model_v4","P25089-F1",0.116,0.902,1,83.8509236234458,120,25,9,4,0,4
"90","AGR2","O95994","4",3428,5,5.12218274599719,"AF-O95994-F1-model_v4","O95994-F1",0.263,0.901,1,87.4194598436389,460,343,237,136,20,136
"91","CDCP1","Q9H5V8","4",0,1,2.1405159423164,"AF-Q9H5V8-F1-model_v4","Q9H5V8-F1",0.276,0.901,1,78.3538725490196,242,186,142,97,16,97
"92","PBK","Q96KB5","4",4723,2,4.68297696827956,"AF-Q96KB5-F1-model_v4","Q96KB5-F1",0.152,0.901,1,84.9070023696682,810,248,154,70,6,70
"93","GABRG2","P18507","4",0,2,4.72380369116673,"AF-P18507-F1-model_v4","P18507-F1",0.129,0.898,1,78.5081408745745,439,20,4,4,0,4
"94","TOP2A","P11388","4",36474,7,4.93671969573303,"AF-P11388-F1-model_v4","P11388-F1",0.045,0.897,1,76.4083174292472,1381,1168,838,197,47,197
"95","HMGCS2","P54868","16",0,1,2.34592634427951,"AF-P54868-F1-model_v4","P54868-F1",0.257,0.896,1,91.9392439085657,309,85,49,17,2,17
"96","KCNH2","Q12809","7",9,2,2.51592897959621,"AF-Q12809-F1-model_v4","Q12809-F1",0.079,0.896,2,63.8125348001796,2054,149,95,5,4,5
"97","PLA2G10","O15496","58",0,1,3.34728888054743,"AF-O15496-F1-model_v4","O15496-F1",0.095,0.895,1,87.8306582077716,82,15,11,2,0,2
"98","XIRP2","A4UGR9","4",0,1,3.22742593382911,"AF-A4UGR9-F3-model_v4","A4UGR9-F3",0.169,0.894,1,50.8584730379071,59,8,6,1,0,1
"99","NAT16","Q8N8M0","52",0,1,2.15238119266717,"AF-Q8N8M0-F1-model_v4","Q8N8M0-F1",0.103,0.892,1,88.0448477423871,2,1,1,0,0,0
"100","GRM4","Q14833","35",4,2,4.94508029703643,"AF-Q14833-F1-model_v4","Q14833-F1",0.09,0.891,2,83.5405180840665,77,21,15,7,0,7
"101","GJB1","P08034","4",2052,5,2.03840812270037,"AF-P08034-F1-model_v4","P08034-F1",0.333,0.89,1,80.0505017761989,1265,231,125,2,7,2
"102","LRP2","P98164","4",516,2,3.15981154415262,"AF-P98164-F3-model_v4","P98164-F3",0.255,0.887,1,81.8099401686157,463,72,32,9,5,9
"103","HMMR","O75330","4",1030,2,3.89652593528596,"AF-O75330-F1-model_v4","O75330-F1",0.192,0.886,2,76.1048990670059,261,208,132,52,4,52
"104","ESPL1","Q14674","4",0,1,2.55482636645836,"AF-Q14674-F1-model_v4","Q14674-F1",0.619,0.885,1,75.7783475713937,146,79,53,11,3,11
"105","PTPRT","O14522","4",0,1,3.88440507386888,"AF-O14522-F1-model_v4","O14522-F1",0.31,0.885,3,83.7919467554077,118,75,50,21,1,21
"106","CD3E","P07766","4",100,3,2.37647146371779,"AF-P07766-F1-model_v4","P07766-F1",0.191,0.884,1,73.5128017241379,556,201,112,6,7,6
"107","KRT31","Q15323","4",0,6,2.63102013775445,"AF-Q15323-F1-model_v4","Q15323-F1",0.356,0.883,2,80.1052685887709,15,2,1,0,0,0
"108","NTS","P30990","36",0,1,7.17010601725139,"AF-P30990-F1-model_v4","P30990-F1",-0.024,0.883,1,63.4751731601732,8822,554,295,19,16,19
"109","CIB3","Q96Q77","21",0,1,5.25002497520673,"AF-Q96Q77-F1-model_v4","Q96Q77-F1",0.254,0.88,2,87.9185826257348,13,0,0,0,0,0
"110","TEX14","Q8IWB6","4",0,1,2.23701729362682,"AF-Q8IWB6-F1-model_v4","Q8IWB6-F1",0.211,0.88,3,50.924846532135,68,21,9,5,6,5
"111","TJP3","O95049","4",515,3,2.45561599296585,"AF-O95049-F1-model_v4","O95049-F1",0.067,0.88,2,66.5840854341737,63,13,5,1,1,1
"112","BHLHA15","Q7RTS1","4",0,1,4.2545079895821,"AF-Q7RTS1-F1-model_v4","Q7RTS1-F1",0.233,0.879,1,69.9126348122867,97,46,21,1,0,1
"113","ADGRB2","O60241","4",0,1,2.65473453872432,"AF-O60241-F1-model_v4","O60241-F1",0.181,0.877,1,60.7617344240621,19,2,2,0,0,0
"114","TEDC2","Q7L2K0","4",0,1,2.57491799951256,"AF-Q7L2K0-F1-model_v4","Q7L2K0-F1",0.194,0.875,1,68.2116558941213,7,6,3,3,0,3
"115","CLVS2","Q5SYC1","7",0,2,2.45289496753743,"AF-Q5SYC1-F1-model_v4","Q5SYC1-F1",0.172,0.874,2,86.4145376584638,5,1,0,0,0,0
"116","CCL11","P51671","4",592,4,2.8488954419547,"AF-P51671-F1-model_v4","P51671-F1",0.345,0.872,1,87.9844281914894,2444,241,117,28,9,28
"117","H2BC11","P06899","4",0,8,2.12726472059596,"AF-P06899-F1-model_v4","P06899-F1",0.25,0.87,2,85.698045035824,1,1,0,0,0,0
"118","KIF15","Q9NS87","4",13,5,2.96369525060382,"AF-Q9NS87-F1-model_v4","Q9NS87-F1",0.241,0.869,1,72.0212966758756,165,100,51,42,5,42
"119","MAPK8IP2","Q13387","4",0,1,2.90696027780395,"AF-Q13387-F1-model_v4","Q13387-F1",0.174,0.869,1,51.7187309562399,43,13,8,4,0,4
"120","DIAPH3","Q9NSV4","4",0,1,3.53194668860684,"AF-Q9NSV4-F1-model_v4","Q9NSV4-F1",0.164,0.866,2,71.818128125,89,43,28,12,1,12
"121","SLC30A8","Q8IWU4","26",0,1,7.56398981034457,"AF-Q8IWU4-F1-model_v4","Q8IWU4-F1",0.228,0.862,1,81.2000524292205,585,30,15,6,4,6
"122","CNGA2","Q16280","23",0,1,5.26640442552304,"AF-Q16280-F1-model_v4","Q16280-F1",0.373,0.855,1,78.1641138059701,112,2,0,0,0,0
"123","NPNT","Q6UXI9","4",1542,2,2.59307750406354,"AF-Q6UXI9-F1-model_v4","Q6UXI9-F1",0.089,0.853,1,66.8742942942943,94,18,11,6,0,6
"124","MMP11","P24347","4",0,1,6.60707991085977,"AF-P24347-F1-model_v4","P24347-F1",0.41,0.848,1,78.8245550683518,496,356,264,65,12,65
"125","BUB1B","O60566","4",1545,5,2.8374024250144,"AF-O60566-F1-model_v4","O60566-F1",0.211,0.846,2,64.7205771748185,487,354,206,52,20,52
"126","TFR2","Q9UP52","10",1,2,2.23955915991212,"AF-Q9UP52-F1-model_v4","Q9UP52-F1",0.069,0.843,1,83.9593323773104,537,101,59,11,2,11
"127","TRIM59","Q8IWR1","69",0,1,2.55299456767523,"AF-Q8IWR1-F1-model_v4","Q8IWR1-F1",0.321,0.843,6,84.7440501359106,138,81,59,58,4,58
"128","CCR4","P51679","4",3270,6,2.64269987426344,"AF-P51679-F1-model_v4","P51679-F1",0.268,0.839,2,80.556904109589,2907,900,611,248,9,248
"129","POSTN","Q15063","4",0,2,3.5522435475399,"AF-Q15063-F1-model_v4","Q15063-F1",0.152,0.839,2,80.2447757779134,1703,560,414,34,48,34
"130","CCNO","P22674","4",1030,4,3.25176648584586,"AF-P22674-F1-model_v4","P22674-F1",0.405,0.838,2,79.7310232383808,143,37,11,2,3,2
"131","GJD3","Q8N144","4",0,3,6.83146562441527,"AF-Q8N144-F1-model_v4","Q8N144-F1",0.202,0.838,1,77.3165673632726,33,3,1,1,0,1
"132","ACMSD","Q8TDX5","4",0,1,3.54607101409185,"AF-Q8TDX5-F1-model_v4","Q8TDX5-F1",0.135,0.837,1,97.6586275243082,91,10,4,1,0,1
"133","GCG","P01275","4",996,4,2.69585307610579,"AF-P01275-F1-model_v4","P01275-F1",0.176,0.837,1,69.3873744911805,2083,314,206,21,24,21
"134","CX3CR1","P49238","4",680,6,3.02250658144022,"AF-P49238-F1-model_v4","P49238-F1",0.114,0.832,2,80.2181709880869,3248,502,214,133,17,133
"135","WNT7B","P56706","4",0,1,3.21804679750979,"AF-P56706-F1-model_v4","P56706-F1",0.461,0.832,2,89.5617212518195,434,141,91,34,5,34
"136","TUBA3D","P0DPH8","4",37,2,4.33661457076778,"AF-P0DPH8-F1-model_v4","P0DPH8-F1",0.241,0.831,1,91.9623206150342,6,2,2,0,1,0
"137","FREM2","Q5SZK8","4",2052,2,2.24725026452575,"AF-Q5SZK8-F10-model_v4","Q5SZK8-F10",0.132,0.83,1,79.6909345706787,96,20,9,7,3,7
"138","FSBP","O95073","4",0,1,3.57187427540574,"AF-O95073-F1-model_v4","O95073-F1",0.297,0.828,1,70.0311998361998,58,8,6,1,1,1
"139","SDS","P20132","65",0,1,2.42305832637111,"AF-P20132-F1-model_v4","P20132-F1",0.103,0.828,1,95.7886266447368,86325,6746,3619,61,267,61
"140","RET","P07949","4",516,2,4.33306941889849,"AF-P07949-F1-model_v4","P07949-F1",0.127,0.827,1,79.442057208238,11455,6592,5262,2304,64,2304
"141","KCNH6","Q9H252","7",0,1,3.44268177092253,"AF-Q9H252-F1-model_v4","Q9H252-F1",0.175,0.823,4,68.0136849580374,570,42,33,1,0,1
"142","CTNND2","Q9UQB3","4",36,2,2.17349951563294,"AF-Q9UQB3-F1-model_v4","Q9UQB3-F1",0.117,0.818,1,58.6442651791461,118,32,24,5,1,5
"143","STOML3","Q8TAV4","4",0,2,2.10472900661883,"AF-Q8TAV4-F1-model_v4","Q8TAV4-F1",0.292,0.816,1,84.0905715551617,24,2,2,1,0,1
"144","CENPA","P49450","4",6137,6,2.52826453782849,"AF-P49450-F1-model_v4","P49450-F1",0.14,0.815,2,82.0783628318584,1118,390,122,123,8,123
"145","FGA","P02671","4",0,1,3.29233530809997,"AF-P02671-F1-model_v4","P02671-F1",0.121,0.815,1,62.2204431801168,1854,178,110,11,9,11
"146","KIF20A","O95235","4",7300,10,4.4011466740541,"AF-O95235-F1-model_v4","O95235-F1",0.333,0.814,3,67.3045557924662,316,240,135,67,13,67
"147","FGG","P02679","4",0,1,3.37183027176849,"AF-P02679-F1-model_v4","P02679-F1",0.247,0.813,3,85.7406392945715,1782,241,172,11,9,11
"148","PRLR","P16471","4",0,1,2.86237461083759,"AF-P16471-F1-model_v4","P16471-F1",0.166,0.812,1,61.7794438765079,1276,355,236,25,22,25
"149","KCNK16","Q96T55","41",1,5,3.72760033025029,"AF-Q96T55-F1-model_v4","Q96T55-F1",0.14,0.811,4,82.1038649544325,27,2,1,0,0,0
"150","PAX2","Q02962","4",1031,3,4.85406222461534,"AF-Q02962-F1-model_v4","Q02962-F1",0.095,0.811,1,61.2209457315138,1788,456,329,160,75,160
"151","GAD1","Q99259","4",0,2,3.00377876068517,"AF-Q99259-F1-model_v4","Q99259-F1",0.323,0.81,1,89.1739374601149,515,38,18,9,0,9
"152","CPB2","Q96IY4","4",516,2,2.14810771222544,"AF-Q96IY4-F1-model_v4","Q96IY4-F1",0.436,0.803,2,94.3270505700088,364,18,9,0,0,0
"153","SDR16C5","Q8N3Y7","37",0,1,3.17810874660807,"AF-Q8N3Y7-F1-model_v4","Q8N3Y7-F1",0.297,0.803,1,94.6536481404095,31,9,6,2,0,2
"154","LRRC46","Q96FV0","45",0,1,2.77835597965663,"AF-Q96FV0-F1-model_v4","Q96FV0-F1",0.095,0.8,1,64.78599677159,8,4,3,0,2,0
"155","TACR3","P29371","36",0,1,4.05316306048192,"AF-P29371-F1-model_v4","P29371-F1",0.228,0.8,3,74.1391714208096,135,13,7,0,2,0
"156","APOA2","P02652","4",1030,2,2.49215621253074,"AF-P02652-F1-model_v4","P02652-F1",0.344,0.799,1,76.7141198979592,343,59,38,2,5,2
"157","TREM2","Q9NZC2","4",516,2,2.28296702150485,"AF-Q9NZC2-F1-model_v4","Q9NZC2-F1",0.411,0.799,1,77.0499219620959,1809,209,90,101,3,101
"158","GLP1R","P43220","4",2730,5,2.22065397326435,"AF-P43220-F1-model_v4","P43220-F1",0.232,0.798,2,82.7745264847512,3520,312,143,30,8,30
"159","CALML5","Q9NZT1","4",14542,13,2.58203948511829,"AF-Q9NZT1-F1-model_v4","Q9NZT1-F1",0.334,0.796,1,82.5713901345292,43,20,16,2,0,2
"160","VANGL1","Q8TAA9","4",0,1,2.08673072237632,"AF-Q8TAA9-F1-model_v4","Q8TAA9-F1",0.038,0.796,2,75.8569196217494,165,68,48,14,2,14
"161","IGHV1-3","A0A0C4DH29","4",0,1,2.2484836719255,"AF-A0A0C4DH29-F1-model_v4","A0A0C4DH29-F1",0.225,0.792,1,91.3548633879781,2,0,0,0,0,0
"162","TNR","Q92752","4",0,1,2.67654127534164,"AF-Q92752-F1-model_v4","Q92752-F1",0.128,0.792,1,79.730285850405,852,206,133,2,4,2
