"TARGETID","all_target_genes","uniprotswissprot","INDICATION","DRUGTYPE","UNIPROID","TARGNAME","TARGTYPE"
"T11211","AR","P10275","Breast cancer","Small molecular drug","ANDR_HUMAN","Androgen receptor (AR)","Successful target"
"T11448","ADRA2A","P08913","Aggressive cancer","Small molecule","ADA2A_HUMAN","Adrenergic receptor alpha-2A (ADRA2A)","Successful target"
"T11822",NA,NA,"Acute promyelocytic leukaemia","Small molecular drug","NOUNIPROTAC","Retinoic acid receptor (RAR)","Successful target"
"T11822",NA,NA,"Tumour","Small molecular drug","NOUNIPROTAC","Retinoic acid receptor (RAR)","Successful target"
"T11822",NA,NA,"Hepatocellular carcinoma","Small molecular drug","NOUNIPROTAC","Retinoic acid receptor (RAR)","Successful target"
"T11822",NA,NA,"Solid tumour/cancer","Small molecular drug","NOUNIPROTAC","Retinoic acid receptor (RAR)","Successful target"
"T12475","GNRHR","P30968","Acute lymphoblastic leukaemia","Small molecular drug","GNRHR_HUMAN","Gonadotropin-releasing hormone receptor (GNRHR)","Successful target"
"T12475","GNRHR","P30968","Solid tumour/cancer","Small molecular drug","GNRHR_HUMAN","Gonadotropin-releasing hormone receptor (GNRHR)","Successful target"
"T12475","GNRHR","P30968","Prostate cancer","Small molecular drug","GNRHR_HUMAN","Gonadotropin-releasing hormone receptor (GNRHR)","Successful target"
"T12499","LCK","P06239","Solid tumour/cancer","Small molecular drug","LCK_HUMAN","LCK tyrosine protein kinase (LCK)","Successful target"
"T12499","LCK","P06239","Chronic myelogenous leukaemia","Small molecular drug","LCK_HUMAN","LCK tyrosine protein kinase (LCK)","Successful target"
"T13127","FNTB; FNTA",NA,"Chronic myelogenous leukaemia","Small molecular drug","FNTA_HUMAN; FNTB_HUMAN","Farnesyl protein transferase (Ftase)","Successful target"
"T13127","FNTB; FNTA",NA,"Colorectal cancer","Small molecular drug","FNTA_HUMAN; FNTB_HUMAN","Farnesyl protein transferase (Ftase)","Successful target"
"T13127","FNTB; FNTA",NA,"Solid tumour/cancer","Small molecular drug","FNTA_HUMAN; FNTB_HUMAN","Farnesyl protein transferase (Ftase)","Successful target"
"T13127","FNTB; FNTA",NA,"Non-small-cell lung cancer","Small molecular drug","FNTA_HUMAN; FNTB_HUMAN","Farnesyl protein transferase (Ftase)","Successful target"
"T13127","FNTB; FNTA",NA,"Acute myeloid leukaemia","Small molecular drug","FNTA_HUMAN; FNTB_HUMAN","Farnesyl protein transferase (Ftase)","Successful target"
"T13127","FNTB; FNTA",NA,"Pancreatic cancer","Small molecular drug","FNTA_HUMAN; FNTB_HUMAN","Farnesyl protein transferase (Ftase)","Successful target"
"T13201","CA1","P00915","Solid tumour/cancer","Small molecular drug","CAH1_HUMAN","Carbonic anhydrase I (CA-I)","Successful target"
"T13201","CA1","P00915","Breast cancer","Small molecular drug","CAH1_HUMAN","Carbonic anhydrase I (CA-I)","Successful target"
"T13260","CYP19A1","P11511","Breast cancer","Small molecular drug","CP19A_HUMAN","Aromatase (CYP19A1)","Successful target"
"T13260","CYP19A1","P11511","Bladder cancer","Small molecular drug","CP19A_HUMAN","Aromatase (CYP19A1)","Successful target"
"T13260","CYP19A1","P11511","Hormonally-responsive breast cancer","Small molecular drug","CP19A_HUMAN","Aromatase (CYP19A1)","Successful target"
"T13726","RXRA","P19793","Kaposi sarcoma","Small molecular drug","RXRA_HUMAN","Retinoic acid receptor RXR-alpha (RXRA)","Successful target"
"T13852","S1PR1","P21453","Hepatocellular carcinoma","Small molecular drug","S1PR1_HUMAN","Sphingosine-1-phosphate receptor 1 (S1PR1)","Successful target"
"T14342","HIV RT",NA,"Breast cancer","Small molecular drug","POL_HV1B1","Human immunodeficiency virus Reverse transcriptase (HIV RT)","Successful target"
"T14342","HIV RT",NA,"Solid tumour/cancer","Small molecular drug","POL_HV1B1","Human immunodeficiency virus Reverse transcriptase (HIV RT)","Successful target"
"T14558","TPSAB1","Q15661","Solid tumour/cancer","Small molecular drug","TRYB1_HUMAN","Tryptase alpha/beta-1 (Tryptase)","Successful target"
"T14597","ERBB2","P04626","Non-small-cell lung cancer","Small molecular drug","ERBB2_HUMAN","Erbb2 tyrosine kinase receptor (HER2)","Successful target"
"T14597","ERBB2","P04626","Metastatic biliary tract neoplasms","Small molecular drug","ERBB2_HUMAN","Erbb2 tyrosine kinase receptor (HER2)","Successful target"
"T14597","ERBB2","P04626","HER2-positive breast cancer","Small molecular drug","ERBB2_HUMAN","Erbb2 tyrosine kinase receptor (HER2)","Successful target"
"T14597","ERBB2","P04626","Prostate cancer","Small molecular drug","ERBB2_HUMAN","Erbb2 tyrosine kinase receptor (HER2)","Successful target"
"T14597","ERBB2","P04626","Gastric adenocarcinoma","Small molecular drug","ERBB2_HUMAN","Erbb2 tyrosine kinase receptor (HER2)","Successful target"
"T14597","ERBB2","P04626","Breast cancer","Small molecular drug","ERBB2_HUMAN","Erbb2 tyrosine kinase receptor (HER2)","Successful target"
"T14597","ERBB2","P04626","Solid tumour/cancer","Small molecular drug","ERBB2_HUMAN","Erbb2 tyrosine kinase receptor (HER2)","Successful target"
"T14597","ERBB2","P04626","Head and neck cancer","Small molecular drug","ERBB2_HUMAN","Erbb2 tyrosine kinase receptor (HER2)","Successful target"
"T14602","F8","P00451","Liposarcoma","Small molecule","FA8_HUMAN","Coagulation factor VIII (F8)","Successful target"
"T16422",NA,NA,"Acute myeloid leukaemia","Small molecular drug","NOUNIPROTAC","Multidrug resistance protein (MDR)","Successful target"
"T16422",NA,NA,"Solid tumour/cancer","Small molecular drug","NOUNIPROTAC","Multidrug resistance protein (MDR)","Successful target"
"T16538","EGFR","P00533","Non-small-cell lung cancer","Small molecular drug","EGFR_HUMAN","EGFR T790M mutant (EGFR T790M)","Successful target"
"T16987","CA12","O43570","Breast cancer","Small molecular drug","CAH12_HUMAN","Carbonic anhydrase XII (CA-XII)","Successful target"
"T16987","CA12","O43570","Solid tumour/cancer","Small molecular drug","CAH12_HUMAN","Carbonic anhydrase XII (CA-XII)","Successful target"
"T17345","DHFR","P00374","Solid tumour/cancer","Small molecular drug","DYR_HUMAN","Dihydrofolate reductase (DHFR)","Successful target"
"T17345","DHFR","P00374","Bladder cancer","Small molecular drug","DYR_HUMAN","Dihydrofolate reductase (DHFR)","Successful target"
"T17448","HNMT","P50135","Advanced cancer","Small molecular drug","HNMT_HUMAN","Histamine N-methyltransferase (HNMT)","Successful target"
"T17687",NA,NA,"Cholangiocarcinoma","Small molecular drug","NOUNIPROTAC","Fibroblast growth factor receptor (FGFR)","Successful target"
"T17687",NA,NA,"Nasopharyngeal carcinoma","Small molecular drug","NOUNIPROTAC","Fibroblast growth factor receptor (FGFR)","Successful target"
"T17687",NA,NA,"Solid tumour/cancer","Small molecular drug","NOUNIPROTAC","Fibroblast growth factor receptor (FGFR)","Successful target"
"T17758","PLAU","P00749","Breast cancer","Small molecular drug","UROK_HUMAN","Urokinase-type plasminogen activator (PLAU)","Successful target"
"T17758","PLAU","P00749","Solid tumour/cancer","Small molecular drug","UROK_HUMAN","Urokinase-type plasminogen activator (PLAU)","Successful target"
"T17980","FYN","P06241","Chronic myelogenous leukaemia","Small molecular drug","FYN_HUMAN","Fyn tyrosine protein kinase (FYN)","Successful target"
"T18477","HSP90AA1","P07900","Neuroendocrine cancer","Small molecular drug","HS90A_HUMAN","Heat shock protein 90 alpha (HSP90A)","Successful target"
"T18477","HSP90AA1","P07900","Chronic lymphocytic leukaemia","Small molecular drug","HS90A_HUMAN","Heat shock protein 90 alpha (HSP90A)","Successful target"
"T18477","HSP90AA1","P07900","Ovarian cancer","Small molecular drug","HS90A_HUMAN","Heat shock protein 90 alpha (HSP90A)","Successful target"
"T18477","HSP90AA1","P07900","Non-small-cell lung cancer","Small molecular drug","HS90A_HUMAN","Heat shock protein 90 alpha (HSP90A)","Successful target"
"T18477","HSP90AA1","P07900","Kidney cancer","Small molecular drug","HS90A_HUMAN","Heat shock protein 90 alpha (HSP90A)","Successful target"
"T18477","HSP90AA1","P07900","Gastric adenocarcinoma","Small molecular drug","HS90A_HUMAN","Heat shock protein 90 alpha (HSP90A)","Successful target"
"T18477","HSP90AA1","P07900","Breast cancer","Small molecular drug","HS90A_HUMAN","Heat shock protein 90 alpha (HSP90A)","Successful target"
"T18477","HSP90AA1","P07900","Solid tumour/cancer","Small molecular drug","HS90A_HUMAN","Heat shock protein 90 alpha (HSP90A)","Successful target"
"T18950","GNRH1","P01148","Breast cancer","Small molecular drug","GON1_HUMAN","Leutinizing-hormone-releasing hormone (GNRH1)","Successful target"
"T18950","GNRH1","P01148","Prostate cancer","Small molecular drug","GON1_HUMAN","Leutinizing-hormone-releasing hormone (GNRH1)","Successful target"
"T18950","GNRH1","P01148","Solid tumour/cancer","Small molecular drug","GON1_HUMAN","Leutinizing-hormone-releasing hormone (GNRH1)","Successful target"
"T19229","SLC46A1","Q96NT5","leukaemia","Small molecular drug","PCFT_HUMAN","Proton-coupled folate transporter (SLC46A1)","Successful target"
"T19229","SLC46A1","Q96NT5","Prostate cancer","Small molecular drug","PCFT_HUMAN","Proton-coupled folate transporter (SLC46A1)","Successful target"
"T19229","SLC46A1","Q96NT5","Solid tumour/cancer","Small molecular drug","PCFT_HUMAN","Proton-coupled folate transporter (SLC46A1)","Successful target"
"T20178","TNF","P01375","Solid tumour/cancer","Small molecular drug","TNFA_HUMAN","Tumor necrosis factor (TNF)","Successful target"
"T20251","KCNH2","Q12809","Ovarian cancer","Small molecular drug","KCNH2_HUMAN","Voltage-gated potassium channel Kv11.1 (KCNH2)","Successful target"
"T20297",NA,NA,"Solid tumour/cancer","Small molecular drug","NOUNIPROTAC","Serine protease unspecific (SP)","Successful target"
"T20333","CSF1R","P07333","Solid tumour/cancer","Small molecular drug","CSF1R_HUMAN","Macrophage colony-stimulating factor 1 receptor (CSF1R)","Successful target"
"T20401","CA2","P00918","Solid tumour/cancer","Small molecular drug","CAH2_HUMAN","Carbonic anhydrase II (CA-II)","Successful target"
"T20401","CA2","P00918","Breast cancer","Small molecular drug","CAH2_HUMAN","Carbonic anhydrase II (CA-II)","Successful target"
"T20563","EGFR","P00533","Non-small-cell lung cancer","Small molecular drug","EGFR_HUMAN","EGFR Exon20ins mutant (EGFR Exon20ins)","Successful target"
"T20761","VEGFA","P15692","Nasopharyngeal carcinoma","Small molecular drug","VEGFA_HUMAN","Vascular endothelial growth factor A (VEGFA)","Successful target"
"T20761","VEGFA","P15692","Gastric adenocarcinoma","Small molecular drug","VEGFA_HUMAN","Vascular endothelial growth factor A (VEGFA)","Successful target"
"T20761","VEGFA","P15692","Non-small-cell lung cancer","Small molecular drug","VEGFA_HUMAN","Vascular endothelial growth factor A (VEGFA)","Successful target"
"T20761","VEGFA","P15692","Solid tumour/cancer","Small molecular drug","VEGFA_HUMAN","Vascular endothelial growth factor A (VEGFA)","Successful target"
"T21112",NA,NA,"Kaposi sarcoma","Small molecular drug","NOUNIPROTAC","DNA replication (DNA repli)","Successful target"
"T21112",NA,NA,"Solid tumour/cancer","Small molecular drug","NOUNIPROTAC","DNA replication (DNA repli)","Successful target"
"T21112",NA,NA,"Acute myeloid leukaemia","Small molecular drug","NOUNIPROTAC","DNA replication (DNA repli)","Successful target"
"T21112",NA,NA,"Acute lymphoblastic leukaemia","Small molecular drug","NOUNIPROTAC","DNA replication (DNA repli)","Successful target"
"T21112",NA,NA,"Chronic lymphocytic leukaemia","Small molecular drug","NOUNIPROTAC","DNA replication (DNA repli)","Successful target"
"T21945","SLC6A2","P23975","Neuroendocrine cancer","Small molecular drug","SC6A2_HUMAN","Norepinephrine transporter (NET)","Successful target"
"T21960","ANGPT2","O15123","Breast cancer","Small molecular drug","ANGP2_HUMAN","Angiopoietin-2 (ANGPT2)","Successful target"
"T22348","Bact gyrA; Bact gyrB",NA,"Biliary cancer","Small molecular drug","GYRA_STAAU; GYRB_STAAU","Bacterial DNA gyrase (Bact gyrase)","Successful target"
"T22839","CELA1","Q9UNI1","Cancer related pain","Small molecular drug","CELA1_HUMAN","Pancreatic elastase 1 (CELA1)","Successful target"
"T22939","PGR","P06401","Solid tumour/cancer","Small molecular drug","PRGR_HUMAN","Progesterone receptor (PGR)","Successful target"
"T22939","PGR","P06401","Breast cancer","Small molecular drug","PRGR_HUMAN","Progesterone receptor (PGR)","Successful target"
"T23003",NA,NA,"Colorectal cancer","Small molecular drug","NOUNIPROTAC","MAPK/ERK kinase kinase (MAP3K)","Successful target"
"T23003",NA,NA,"Thyroid cancer","Small molecular drug","NOUNIPROTAC","MAPK/ERK kinase kinase (MAP3K)","Successful target"
"T23003",NA,NA,"Breast cancer","Small molecular drug","NOUNIPROTAC","MAPK/ERK kinase kinase (MAP3K)","Successful target"
"T23003",NA,NA,"Non-small-cell lung cancer","Small molecular drug","NOUNIPROTAC","MAPK/ERK kinase kinase (MAP3K)","Successful target"
"T23003",NA,NA,"Ovarian cancer","Small molecular drug","NOUNIPROTAC","MAPK/ERK kinase kinase (MAP3K)","Successful target"
"T23003",NA,NA,"Solid tumour/cancer","Small molecular drug","NOUNIPROTAC","MAPK/ERK kinase kinase (MAP3K)","Successful target"
"T23145","CYP11A1","P05108","Prostate cancer","Small molecule","CP11A_HUMAN","Cholesterol desmolase (CYP11A1)","Successful target"
"T23348","VWF","P04275","Solid tumour/cancer","Small molecular drug","VWF_HUMAN","von Willebrand factor (VWF)","Successful target"
"T23499","EDNRA","P25101","Solid tumour/cancer","Small molecular drug","EDNRA_HUMAN","Endothelin A receptor (EDNRA)","Successful target"
"T23499","EDNRA","P25101","Prostate cancer","Small molecular drug","EDNRA_HUMAN","Endothelin A receptor (EDNRA)","Successful target"
"T23547",NA,NA,"Breast cancer","Small molecular drug","NOUNIPROTAC","Opioid receptor (OPR)","Successful target"
"T23547",NA,NA,"Cancer related pain","Small molecular drug","NOUNIPROTAC","Opioid receptor (OPR)","Successful target"
"T23666","AHR","P35869","Urothelial carcinoma","Small molecular drug","AHR_HUMAN","Aryl hydrocarbon receptor (AHR)","Successful target"
"T23666","AHR","P35869","Solid tumour/cancer","Small molecular drug","AHR_HUMAN","Aryl hydrocarbon receptor (AHR)","Successful target"
"T23714","BDKRB2","P30411","Brain cancer","Small molecular drug","BKRB2_HUMAN","B2 bradykinin receptor (BDKRB2)","Successful target"
"T25005","BTK","Q06187","Acute myeloid leukaemia","Small molecular drug","BTK_HUMAN","Tyrosine-protein kinase BTK (ATK)","Successful target"
"T25005","BTK","Q06187","Pancreatic cancer","Small molecular drug","BTK_HUMAN","Tyrosine-protein kinase BTK (ATK)","Successful target"
"T25005","BTK","Q06187","Chronic lymphocytic leukaemia","Small molecule","BTK_HUMAN","Tyrosine-protein kinase BTK (ATK)","Successful target"
"T25005","BTK","Q06187","Chronic lymphocytic leukaemia","Small molecular drug","BTK_HUMAN","Tyrosine-protein kinase BTK (ATK)","Successful target"
"T25005","BTK","Q06187","Solid tumour/cancer","Small molecular drug","BTK_HUMAN","Tyrosine-protein kinase BTK (ATK)","Successful target"
"T25265","EZH2","Q15910","Haematopoietic/lymphoid cancer","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T25265","EZH2","Q15910","Renal cell carcinoma","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T25265","EZH2","Q15910","Urothelial carcinoma","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T25265","EZH2","Q15910","Acute myeloid leukaemia","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T25265","EZH2","Q15910","Synovial sarcoma","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T25265","EZH2","Q15910","Brain and central nervous system tumour","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T25265","EZH2","Q15910","Small-cell lung cancer","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T25265","EZH2","Q15910","Solid tumour/cancer","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T25265","EZH2","Q15910","Breast cancer","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T25265","EZH2","Q15910","Malignant rhabdoid tumour","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T25265","EZH2","Q15910","T-cell leukaemia","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T25265","EZH2","Q15910","Acute lymphoblastic leukaemia","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T25265","EZH2","Q15910","Prostate cancer","Small molecular drug","EZH2_HUMAN","Enhancer of zeste homolog 2 (EZH2)","Successful target"
"T26240",NA,NA,"Prostate cancer","Small molecular drug","NOUNIPROTAC","Estramustine binding protein (EMBP)","Successful target"
"T27021",NA,NA,"Solid tumour/cancer","Small molecular drug","NOUNIPROTAC","Transferase unspecific (TF)","Successful target"
"T27265","SRD5A1; SRD5A2; SRD5A3",NA,"Prostate cancer","Combination drug (small molecular drug)","S5A1_HUMAN; S5A2_HUMAN; PORED_HUMAN","Oxo-5-alpha-steroid 4-dehydrogenase (SRD5A)","Successful target"
"T27265","SRD5A1; SRD5A2; SRD5A3",NA,"Prostate cancer","Small molecular drug","S5A1_HUMAN; S5A2_HUMAN; PORED_HUMAN","Oxo-5-alpha-steroid 4-dehydrogenase (SRD5A)","Successful target"
"T28661","TUBB2A","Q13885","Solid tumour/cancer","Small molecular drug","TBB2A_HUMAN","Tubulin beta-2 chain (TUBB2)","Successful target"
"T28893","CHRM1","P11229","Solid tumour/cancer","Small molecular drug","ACM1_HUMAN","Muscarinic acetylcholine receptor M1 (CHRM1)","Successful target"
"T28925",NA,NA,"Acute myeloid leukaemia","Small molecular drug","NOUNIPROTAC","Inosine-5'-monophosphate dehydrogenase (IMPDH)","Successful target"
"T28925",NA,NA,"Solid tumour/cancer","Small molecular drug","NOUNIPROTAC","Inosine-5'-monophosphate dehydrogenase (IMPDH)","Successful target"
"T29130","STAT3","P40763","Solid tumour/cancer","Small molecular drug","STAT3_HUMAN","Signal transducer and activator of transcription 3 (STAT3)","Successful target"
"T29130","STAT3","P40763","Brain cancer","Small molecular drug","STAT3_HUMAN","Signal transducer and activator of transcription 3 (STAT3)","Successful target"
"T29303",NA,NA,"Gastric adenocarcinoma","Small molecular drug","NOUNIPROTAC","Sodium channel unspecific (NaC)","Successful target"
"T29999",NA,NA,"Prostate cancer","Small molecular drug","NOUNIPROTAC","Vasopressin V1 receptor (V1R)","Successful target"
"T30081","TK1","P04183","Acute myeloid leukaemia","Small molecular drug","KITH_HUMAN","Thymidine kinase 1 (TK1)","Successful target"
"T30081","TK1","P04183","Pancreatic cancer","Small molecular drug","KITH_HUMAN","Thymidine kinase 1 (TK1)","Successful target"
"T30082","ACHE","P22303","Solid tumour/cancer","Small molecular drug","ACES_HUMAN","Acetylcholinesterase (AChE)","Successful target"
"T30418",NA,NA,"leukaemia","Small molecular drug","NOUNIPROTAC","DNA synthesis (DNA synth)","Successful target"
"T30418",NA,NA,"Ovarian cancer","Small molecular drug","NOUNIPROTAC","DNA synthesis (DNA synth)","Successful target"
"T30418",NA,NA,"Pancreatic cancer","Small molecular drug","NOUNIPROTAC","DNA synthesis (DNA synth)","Successful target"
