"TARGETID","all_target_genes","uniprotswissprot","DRUGNAME","INDICATION","DRUGTYPE","UNIPROID","TARGNAME","TARGTYPE"
"T00140","ALOX5","P09917","Avastin+/-Tarceva","Nasopharyngeal carcinoma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Flobufen","Rheumatoid arthritis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917",NA,NA,NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Q301","Atopic dermatitis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","MK-886","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Avastin+/-Tarceva","Non-small-cell lung cancer","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","TEBUFELONE","Pain","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","SKF-104351","Rheumatoid arthritis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","BW755C","Inflammation","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","PTC299","Solid tumour/cancer","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","CJ-13610","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Epocarbazolin-A","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Tenidap","Rheumatoid arthritis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Licofelone","Osteoarthritis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Rilopirox","Fungal infection","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","R-68151","Psoriasis vulgaris","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917",NA,NA,"Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","BW B70C","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","AA-861","Allergy","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","ER-34122","Inflammation","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","SC-45662","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","MK-591","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","BW-858C","Asthma",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Zileuton","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Diethylcarbamazine","Lymphatic filariasis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Tipelukast","Idiopathic pulmonary fibrosis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","E-6080","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","TA-270","Asthma",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","ABT-761","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","KC-11425","Asthma",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","MLN-977","Chronic obstructive pulmonary disease","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","AZD-4407","Chronic obstructive pulmonary disease",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","BIM23A760","Psoriasis vulgaris","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","CMI-392","Psoriasis vulgaris","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","ZM-230487","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","MK-866","Discovery agent",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","BW A4C","Arthritis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","RWJ-63556","Arthritis",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","LY-221068","Arthritis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","OPC-21268","Cardiac disease","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","SKF-105809","Pain","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","PD-146176","Arteriosclerosis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","E-3040","Thrombosis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","BI-L-357","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","CI-986","Rheumatoid arthritis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","BAICALEIN","Influenza virus infection","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","ETH615","Dermatitis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","FPL-64170","Psoriasis vulgaris",NA,"LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","BF-389","Rheumatoid arthritis","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","DuP-654","Pruritus","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00140","ALOX5","P09917","Tepoxalin","Asthma","Small molecular drug","LOX5_HUMAN","Arachidonate 5-lipoxygenase (5-LOX)","Successful target"
"T00494","ABCA1","O95477","Probucol","Coronary artery disease","Small molecular drug","ABCA1_HUMAN","ATP-binding cassette transporter A1 (ABCA1)","Successful target"
"T00494","ABCA1","O95477","RG-7273","Lipid metabolism disorder",NA,"ABCA1_HUMAN","ATP-binding cassette transporter A1 (ABCA1)","Successful target"
"T00494","ABCA1","O95477","RG7232","Dyslipidemia",NA,"ABCA1_HUMAN","ATP-binding cassette transporter A1 (ABCA1)","Successful target"
"T00884","CXCR1","P25024","Reparixin","lung transplantation","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024","Reparixin","Graft rejection in heart transplantation","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024","SX-682","Myelodysplastic syndrome","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024","Reparixin","Ischemia-reperfusion injury","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024","SCH-527123","Inflammatory bowel disease","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024","SX-682","Melanoma","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024","SCH-527123","Chronic obstructive pulmonary disease","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024","Reparixin","Pancreatic islet transplantation failure","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024","SCH-527123","Solid tumour/cancer","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024","Ibuprofen","Pain","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024","INDOPROFEN","Gout","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024","SCH-527123","Ulcerative colitis","Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024",NA,NA,"Small molecular drug","CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00884","CXCR1","P25024",NA,NA,NA,"CXCR1_HUMAN","C-X-C chemokine receptor type 1 (CXCR1)","Successful target"
"T00895","PRKCE","Q02156","CDE-6960","Inflammation",NA,"KPCE_HUMAN","Protein kinase C epsilon (PRKCE)","Successful target"
"T00895","PRKCE","Q02156","Meprobamate","Ischemic reperfusion injury","Small molecular drug","KPCE_HUMAN","Protein kinase C epsilon (PRKCE)","Successful target"
"T00895","PRKCE","Q02156","Meprobamate","Anxiety disorder","Small molecular drug","KPCE_HUMAN","Protein kinase C epsilon (PRKCE)","Successful target"
"T00895","PRKCE","Q02156",NA,NA,"Small molecular drug","KPCE_HUMAN","Protein kinase C epsilon (PRKCE)","Successful target"
"T00895","PRKCE","Q02156","Meprobamate","Malaria","Small molecular drug","KPCE_HUMAN","Protein kinase C epsilon (PRKCE)","Successful target"
"T00895","PRKCE","Q02156","Bryostatin-1","Alzheimer disease","Small molecular drug","KPCE_HUMAN","Protein kinase C epsilon (PRKCE)","Successful target"
"T00972","HIV gp120",NA,"Multi-envelope HIV vaccine","Human immunodeficiency virus infection","Vaccine","ENV_HV1H2","Human immunodeficiency virus Envelope glycoprotein gp120 (HIV gp120)","Successful target"
"T00972","HIV gp120",NA,"Fostemsavir","Human immunodeficiency virus infection","Small molecular drug","ENV_HV1H2","Human immunodeficiency virus Envelope glycoprotein gp120 (HIV gp120)","Successful target"
"T00972","HIV gp120",NA,"AIDSVAX","Human immunodeficiency virus infection","Vaccine","ENV_HV1H2","Human immunodeficiency virus Envelope glycoprotein gp120 (HIV gp120)","Successful target"
"T00972","HIV gp120",NA,"PF-821385","Human immunodeficiency virus infection",NA,"ENV_HV1H2","Human immunodeficiency virus Envelope glycoprotein gp120 (HIV gp120)","Successful target"
"T00972","HIV gp120",NA,"BMS-488043","Human immunodeficiency virus infection","Small molecular drug","ENV_HV1H2","Human immunodeficiency virus Envelope glycoprotein gp120 (HIV gp120)","Successful target"
"T00972","HIV gp120",NA,"Pro 542","Human immunodeficiency virus infection",NA,"ENV_HV1H2","Human immunodeficiency virus Envelope glycoprotein gp120 (HIV gp120)","Successful target"
"T00972","HIV gp120",NA,NA,NA,NA,"ENV_HV1H2","Human immunodeficiency virus Envelope glycoprotein gp120 (HIV gp120)","Successful target"
"T01318","Malaria DHOdehase",NA,"Avastin+/-Tarceva","Non-small-cell lung cancer","Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,"Atovaquone","Fungal infection","Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,NA,NA,"Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,"Teriflunomide","Multiple sclerosis","Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,"Leflunomide","Multiple sclerosis","Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,"Artemisinin","Malaria","Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,"Avastin+/-Tarceva","Nasopharyngeal carcinoma","Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,"Leflunomide","Arthritis","Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,"DSM2","Malaria",NA,"PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,"Teriflunomide","Rheumatoid arthritis","Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,"DSM1","Malaria",NA,"PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,"Teriflunomide","Hepatitis B virus infection","Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,"Teriflunomide","Hyperlipidaemia","Small molecular drug","PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01318","Malaria DHOdehase",NA,NA,NA,NA,"PYRD_PLAF7","Plasmodium Dihydroorotate dehydrogenase (Malaria DHOdehase)","Successful target"
"T01777","ADRA2C","P18825","NMI-870","Sexual dysfunction",NA,"ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","FLUPAROXAN","Depression","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","SGB-1534","Hypotension","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Midaglizole","Asthma","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","ETHOXY-IDAZOXAN","Poison intoxication","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Amezinium","Hypotension","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Fadolmidine","Pain","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","A-75169","Glaucoma/ocular hypertension",NA,"ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Delequamine hydrochloride","Male sexual disorder","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Deriglidole","Diabetic complication","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Amosulalol","Hypertension","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","F-14413","Alzheimer disease",NA,"ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Ecabapide","Peptic ulcer","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","AGN-XX/YY","Fibromyalgia","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","NOLOMIROLE HYDROCHLORIDE","Heart failure","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","AGN-XX/YY","Diabetic nephropathy","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","V-101","Erythema","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","ORM-12741","Alzheimer disease","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Ciproxifan","Obesity","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","TNX-102","Post-traumatic stress disorder","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","IDAZOXAN HYDROCHLORIDE","Neurological disorder","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","MEDETOMIDINE","Pain","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","SNAP-5089","Heart arrhythmia","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Ciproxifan","Dementia","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Rilmenidine","Hypertension","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Propylhexedrine","Obesity","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","GYKI-16084","Prostate disease","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Dihydroergocristine","Alcohol dependence","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Brimonidine","Glaucoma/ocular hypertension","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Xylometazoline","Allergic rhinitis","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825",NA,NA,NA,"ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Tetrahydrozoline","Ocular disease","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Brimonidine","Ocular hypertension","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825",NA,NA,"Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","V-103","Contusion",NA,"ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","INDORAMIN","Hypertension","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","JTH-601","Prostate disease","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","BAY1193397","Peripheral arterial disease",NA,"ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","GYKI-12743","Hypertension","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","MOXONIDINE","Alcohol dependence","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","5-(N,N-hexamethylene)-amiloride","Coronavirus infection","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","TNX-102","Fibromyalgia","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01777","ADRA2C","P18825","Fadolmidine","Neuropathic pain","Small molecular drug","ADA2C_HUMAN","Adrenergic receptor alpha-2C (ADRA2C)","Successful target"
"T01840",NA,NA,"AZD-3342","Chronic obstructive pulmonary disease",NA,"NOUNIPROTAC","Protease unspecific (PRO)","Successful target"
"T01840",NA,NA,"EP-2060","Solid tumour/cancer",NA,"NOUNIPROTAC","Protease unspecific (PRO)","Successful target"
"T01840",NA,NA,"Aprosulate sodium","Coagulation defect",NA,"NOUNIPROTAC","Protease unspecific (PRO)","Successful target"
"T01840",NA,NA,"ONO-3307","Coagulation defect","Small molecular drug","NOUNIPROTAC","Protease unspecific (PRO)","Successful target"
"T01840",NA,NA,"ALP-242","Cystic fibrosis",NA,"NOUNIPROTAC","Protease unspecific (PRO)","Successful target"
"T01840",NA,NA,"WY-48989","Rheumatoid arthritis","Small molecular drug","NOUNIPROTAC","Protease unspecific (PRO)","Successful target"
"T01840",NA,NA,"AZD-2551","Chronic obstructive pulmonary disease",NA,"NOUNIPROTAC","Protease unspecific (PRO)","Successful target"
"T01840",NA,NA,"CEP-431","Alzheimer disease",NA,"NOUNIPROTAC","Protease unspecific (PRO)","Successful target"
"T01840",NA,NA,"Prolastin","Alpha-1 antitrypsin deficiency",NA,"NOUNIPROTAC","Protease unspecific (PRO)","Successful target"
