"","uniprotswissprot","external_gene_name","description","druggability","Fpocket_method","CP_score","PocketMiner_method","highest_score","source"
"36","A0A075B6S4","IGKV1D-17","immunoglobulin kappa variable 1D-17",0.316,"AF",0.3942,"AF",0.3942,"AF"
"37","A0A075B6S5","IGKV1-27","immunoglobulin kappa variable 1-27",0.216,"AF",0.764990476190476,"AF",0.764990476190476,"AF"
"38","A0A075B6S6","IGKV2D-30","immunoglobulin kappa variable 2D-30",0.545,"AF",0.2324,"AF",0.545,"AF"
"39","A0A075B6S9","IGKV1-37","immunoglobulin kappa variable 1-37 (non-functional)",0.254,"AF",0.540319047619048,"AF",0.540319047619048,"AF"
"40","A0A075B6T6","TRAV12-2","T cell receptor alpha variable 12-2",0.486,"AF",0.73927619047619,"AF",0.73927619047619,"AF"
"41","A0A075B6T7","TRAV6","T cell receptor alpha variable 6",0.122,"AF",0.918514285714286,"AF",0.918514285714286,"AF"
"42","A0A075B6T8","TRAV9-1","T cell receptor alpha variable 9-1",0.375,"AF",0.276290476190476,"AF",0.375,"AF"
"43","A0A075B6U4","TRAV7","T cell receptor alpha variable 7",0.234,"AF",0.856109090909091,"AF",0.856109090909091,"AF"
"44","A0A075B6U6",NA,NA,0.629,"AF",0.756185714285714,"AF",0.756185714285714,"AF"
"45","A0A075B6V5","TRAV36DV7","T cell receptor alpha variable 36/delta variable 7",0.352,"AF",0.2707,"AF",0.352,"AF"
"46","A0A075B6W5","TRAV23DV6","T cell receptor alpha variable 23/delta variable 6",0.554,"AF",0.455545454545455,"AF",0.554,"AF"
"47","A0A075B6X5","TRAV18","T cell receptor alpha variable 18",0.648,"AF",0.331409090909091,"AF",0.648,"AF"
"48","A0A075B734",NA,NA,0.965,"AF",0.491085714285714,"AF",0.965,"AF"
"49","A0A075B759","PPIAL4E","peptidylprolyl isomerase A like 4E",0.272,"AF",0.238485714285714,"AF",0.272,"AF"
"50","A0A075B767","PPIAL4H","peptidylprolyl isomerase A like 4H",0.093,"AF",0.6429,"AF",0.6429,"AF"
"51","A0A075B7B6",NA,NA,0.596,"AF",0.4583,"AF",0.596,"AF"
"52","A0A075B7B8",NA,NA,0.827,"AF",0.74536875,"AF",0.827,"AF"
"53","A0A075B7D0",NA,NA,0.55,"AF",0.394023809523809,"AF",0.55,"AF"
"54","A0A075B7D4",NA,NA,0.305,"AF",0.426352380952381,"AF",0.426352380952381,"AF"
"55","A0A075B7D8",NA,NA,0.537,"AF",0.949345454545454,"AF",0.949345454545454,"AF"
"56","A0A075B7E8",NA,NA,0.436,"AF",0.226357142857143,"AF",0.436,"AF"
"57","A0A075B7F0",NA,NA,0.901,"AF",0.366227272727273,"AF",0.901,"AF"
"58","A0A075B7F1",NA,NA,0.615,"AF",0.704680952380952,"AF",0.704680952380952,"AF"
"59","A0A087WSX0","IGLV5-45","immunoglobulin lambda variable 5-45",0.132,"AF",0.366994117647059,"AF",0.366994117647059,"AF"
"60","A0A087WSY4","IGHV4-31","immunoglobulin heavy variable 4-31",0.776,"AF",0.377995238095238,"AF",0.776,"AF"
"61","A0A087WSY6","IGKV3D-15","immunoglobulin kappa variable 3D-15",0.393,"AF",0.19887619047619,"AF",0.393,"AF"
"62","A0A087WSZ0","IGKV1D-8","immunoglobulin kappa variable 1D-8",0.316,"AF",0.516623809523809,"AF",0.516623809523809,"AF"
"63","A0A087WSZ9","TRAV30","T cell receptor alpha variable 30",0.523,"AF",0.506080952380952,"AF",0.523,"AF"
"64","A0A087WT01","TRAV27","T cell receptor alpha variable 27",0.455,"AF",0.515127272727273,"AF",0.515127272727273,"AF"
"65","A0A087WT02","TRAV9-2","T cell receptor alpha variable 9-2",0.439,"AF",0.175666666666667,"AF",0.439,"AF"
"66","A0A087WT03","TRAV26-1","T cell receptor alpha variable 26-1",0.065,"AF",0.802755555555556,"AF",0.802755555555556,"AF"
"67","A0A087WTH1","TMEM265","transmembrane protein 265",0.758,"AF",0.500281818181818,"AF",0.758,"AF"
"68","A0A087WTH5",NA,NA,0.845,"AF",0.776091666666667,"AF",0.845,"AF"
"69","A0A087WUM9",NA,NA,0.589,"AF",0.945552380952381,"AF",0.945552380952381,"AF"
"70","A0A087WUV0","ZNF892","zinc finger protein 892",0.395,"AF",0.859135294117647,"AF",0.859135294117647,"AF"
"71","A0A087WV53","SPEGNB","SPEG neighbor",0.366,"AF",0.692590476190476,"AF",0.692590476190476,"AF"
"72","A0A087WV62","TRBV16","T cell receptor beta variable 16",0.549,"AF",0.65618,"AF",0.65618,"AF"
"73","A0A087WVF3","TBC1D3D","TBC1 domain family member 3D",0.99,"AF",0.271804761904762,"AF",0.99,"AF"
"74","A0A087WW49",NA,NA,0.176,"AF",0.727066666666667,"AF",0.727066666666667,"AF"
"75","A0A087WW87","IGKV2-40","immunoglobulin kappa variable 2-40",0.363,"AF",0.731890476190476,"AF",0.731890476190476,"AF"
"76","A0A087WWA1","P3R3URF","PIK3R3 upstream open reading frame",0.268,"AF",0.848604761904762,"AF",0.848604761904762,"AF"
"77","A0A087WX78",NA,NA,0.339,"AF",0.455171428571429,"AF",0.455171428571429,"AF"
"78","A0A087WXM9","MEIKIN","meiotic kinetochore factor",0.502,"AF",0.686528571428571,"AF",0.686528571428571,"AF"
"79","A0A087WXS9","TBC1D3I","TBC1 domain family member 3I",0.472,"AF",0.30832380952381,"AF",0.472,"AF"
"80","A0A087WYE8",NA,NA,0.755,"AF",0.4924,"AF",0.755,"AF"
"81","A0A087WZ39",NA,NA,0.7,"AF",0.925381818181818,"AF",0.925381818181818,"AF"
"82","A0A087X0K7","TRBV17","T cell receptor beta variable 17 (non-functional)",0.133,"AF",0.773623809523809,"AF",0.773623809523809,"AF"
"83","A0A087X0M5","TRBV18","T cell receptor beta variable 18",0.625,"AF",0.627427272727273,"AF",0.627427272727273,"AF"
"84","A0A087X179","TBC1D3E","TBC1 domain family member 3E",0.05,"AF",0.456880952380952,"AF",0.456880952380952,"AF"
"85","A0A087X1C1",NA,NA,0.396,"AF",0.397885714285714,"AF",0.397885714285714,"AF"
"86","A0A087X1C5",NA,NA,0.973,"AF",0.285945454545455,"AF",0.973,"AF"
"87","A0A087X1G2","TBC1D3K","TBC1 domain family member 3K",0.909,"AF",0.657309090909091,"AF",0.909,"AF"
"88","A0A087X1L8",NA,NA,0.636,"AF",0.304319047619048,"AF",0.636,"AF"
"89","A0A096LNP1","DEFB131B","defensin beta 131B",0.203,"AF",0,NA,0.203,"AF"
"90","A0A096LNT9",NA,NA,0.727,"AF",0.443290476190476,"AF",0.727,"AF"
"91","A0A096LNW5","NOTCH2NLR","notch 2 N-terminal like R",0.251,"AF",0.201054545454545,"AF",0.251,"AF"
"92","A0A096LP01","SMIM26","small integral membrane protein 26",0.615,"AF",0.781163636363636,"AF",0.781163636363636,"AF"
"93","A0A096LP55","UQCRHL","ubiquinol-cytochrome c reductase hinge protein like",0.331,"AF",0.703783333333333,"AF",0.703783333333333,"AF"
"94","A0A096LPG2",NA,NA,0,"AF",0,NA,0,"AF"
"95","A0A096LPH7",NA,NA,0.172,"AF",0.2006,"AF",0.2006,"AF"
"96","A0A096LPI5",NA,NA,0.343,"AF",0.685352380952381,"AF",0.685352380952381,"AF"
"97","A0A096LPK6",NA,NA,0.638,"AF",0.969323809523809,"AF",0.969323809523809,"AF"
"98","A0A096LPK9","OR4N4C","olfactory receptor family 4 subfamily N member 4C",0.761,"AF",0.329883333333333,"AF",0.761,"AF"
"99","A0A0A0MRZ7","IGKV2D-26","immunoglobulin kappa variable 2D-26",0.253,"AF",0.177028571428571,"AF",0.253,"AF"
"100","A0A0A0MRZ8","IGKV3D-11","immunoglobulin kappa variable 3D-11",0.495,"AF",0.733318181818182,"AF",0.733318181818182,"AF"
"101","A0A0A0MRZ9","IGLV5-52","immunoglobulin lambda variable 5-52",0.027,"AF",0.905338095238095,"AF",0.905338095238095,"AF"
"102","A0A0A0MS00","IGLV3-32","immunoglobulin lambda variable 3-32 (non-functional)",0.285,"AF",0.682106666666667,"AF",0.682106666666667,"AF"
"103","A0A0A0MS01","TRGV10","T cell receptor gamma variable 10 (non-functional)",0.217,"AF",0.507476190476191,"AF",0.507476190476191,"AF"
"104","A0A0A0MS02","TRGV1","T cell receptor gamma variable 1 (non-functional)",0.589,"AF",0.9219,"AF",0.9219,"AF"
"105","A0A0A0MS03","TRBV5-3","T cell receptor beta variable 5-3 (non-functional)",0.706,"AF",0.885157894736842,"AF",0.885157894736842,"AF"
"106","A0A0A0MS04","TRBV6-7","T cell receptor beta variable 6-7 (non-functional)",0.433,"AF",0.519606666666667,"AF",0.519606666666667,"AF"
"107","A0A0A0MS05","TRBV5-7","T cell receptor beta variable 5-7 (non-functional)",0.139,"AF",0.0716345,"AF",0.139,"AF"
"108","A0A0A0MS06","TRBV23-1","T cell receptor beta variable 23-1 (non-functional)",0.387,"AF",0.7546,"AF",0.7546,"AF"
"109","A0A0A0MS14","IGHV1-45","immunoglobulin heavy variable 1-45",0.31,"AF",0.651552380952381,"AF",0.651552380952381,"AF"
"110","A0A0A0MS15","IGHV3-49","immunoglobulin heavy variable 3-49",0.454,"AF",0.780190909090909,"AF",0.780190909090909,"AF"
"111","A0A0A0MT36","IGKV6D-21","immunoglobulin kappa variable 6D-21 (non-functional)",0.583,"AF",0.494280952380952,"AF",0.583,"AF"
"112","A0A0A0MT76","IGLJ1","immunoglobulin lambda joining 1",0.412,"AF",0,NA,0.412,"AF"
"113","A0A0A0MT82",NA,NA,0.494,"AF",0,NA,0.494,"AF"
"114","A0A0A0MT93",NA,NA,0.072,"AF",0,NA,0.072,"AF"
"115","A0A0A6YYC5","TRAV14DV4","T cell receptor alpha variable 14/delta variable 4",0.307,"AF",0.277761904761905,"AF",0.307,"AF"
"116","A0A0A6YYD4","TRBV13","T cell receptor beta variable 13",0.658,"AF",0.0839319047619048,"AF",0.658,"AF"
"117","A0A0A6YYG2","TRBV6-6","T cell receptor beta variable 6-6",0.629,"AF",0.3221,"AF",0.629,"AF"
"118","A0A0A6YYG3","TRBV6-8","T cell receptor beta variable 6-8",0.587,"AF",0.639919047619048,"AF",0.639919047619048,"AF"
"119","A0A0A6YYJ7","TRAV8-3","T cell receptor alpha variable 8-3",0.407,"AF",0.331785714285714,"AF",0.407,"AF"
"120","A0A0A6YYK1","TRAV8-1","T cell receptor alpha variable 8-1",0.129,"AF",0.57622,"AF",0.57622,"AF"
"121","A0A0A6YYK4","TRBV7-1","T cell receptor beta variable 7-1 (non-functional)",0.951,"AF",0.696309523809524,"AF",0.951,"AF"
"122","A0A0A6YYK6","TRAV16","T cell receptor alpha variable 16",0.854,"AF",0.147654545454545,"AF",0.854,"AF"
"123","A0A0A6YYK7","TRAV19","T cell receptor alpha variable 19",0.14,"AF",0.494481818181818,"AF",0.494481818181818,"AF"
"124","A0A0A6YYL3","POTEB","POTE ankyrin domain family member B",0.215,"AF",0.432904761904762,"AF",0.432904761904762,"AF"
"125","A0A0B4J1T7",NA,NA,0.598,"AF",0.845042857142857,"AF",0.845042857142857,"AF"
"126","A0A0B4J1U3","IGLV1-36","immunoglobulin lambda variable 1-36",0.152,"AF",0.753557142857143,"AF",0.753557142857143,"AF"
"127","A0A0B4J1U4","TRGV5","T cell receptor gamma variable 5",0.37,"AF",0.415547619047619,"AF",0.415547619047619,"AF"
"128","A0A0B4J1U6","TRBV9","T cell receptor beta variable 9",0.287,"AF",0.636985714285714,"AF",0.636985714285714,"AF"
"129","A0A0B4J1U7","IGHV6-1","immunoglobulin heavy variable 6-1",0.312,"AF",0.462664285714286,"AF",0.462664285714286,"AF"
"130","A0A0B4J1V0","IGHV3-15","immunoglobulin heavy variable 3-15",0.656,"AF",0.136801111111111,"AF",0.656,"AF"
"131","A0A0B4J1V1","IGHV3-21","immunoglobulin heavy variable 3-21",0.47,"AF",0.648981818181818,"AF",0.648981818181818,"AF"
"132","A0A0B4J1V2","IGHV2-26","immunoglobulin heavy variable 2-26",0.531,"AF",0.355719047619048,"AF",0.531,"AF"
"133","A0A0B4J1V6","IGHV3-73","immunoglobulin heavy variable 3-73",0.847,"AF",0.650333333333333,"AF",0.847,"AF"
"134","A0A0B4J1V7","IGHV7-81","immunoglobulin heavy variable 7-81 (non-functional)",0.902,"AF",0.731452380952381,"AF",0.902,"AF"
"135","A0A0B4J1W7","NPIPA9","nuclear pore complex interacting protein family, member A9",0.991,"AF",0.824023076923077,"AF",0.991,"AF"
"136","A0A0B4J1X5","IGHV3-74","immunoglobulin heavy variable 3-74",0.632,"AF",0.825172727272727,"AF",0.825172727272727,"AF"
"137","A0A0B4J1X8","IGHV3-43","immunoglobulin heavy variable 3-43",0.41,"AF",0.264076923076923,"AF",0.41,"AF"
"138","A0A0B4J1Y8","IGLV9-49","immunoglobulin lambda variable 9-49",0.021,"AF",0.734609090909091,"AF",0.734609090909091,"AF"
"139","A0A0B4J1Y9","IGHV3-72","immunoglobulin heavy variable 3-72",0.642,"AF",0.801266666666667,"AF",0.801266666666667,"AF"
"140","A0A0B4J1Z2","IGKV1D-43","immunoglobulin kappa variable 1D-43",0.603,"AF",0.556414285714286,"AF",0.603,"AF"
"141","A0A0B4J234","TRAV2","T cell receptor alpha variable 2",0.439,"AF",0.254085714285714,"AF",0.439,"AF"
"142","A0A0B4J235","TRAV13-2","T cell receptor alpha variable 13-2",0.777,"AF",0.718880952380952,"AF",0.777,"AF"
"143","A0A0B4J237","TRAV8-2","T cell receptor alpha variable 8-2",0.191,"AF",0.742971428571429,"AF",0.742971428571429,"AF"
"144","A0A0B4J238","TRAV1-2","T cell receptor alpha variable 1-2",0.405,"AF",0.449090909090909,"AF",0.449090909090909,"AF"
"145","A0A0B4J240","TRAV10","T cell receptor alpha variable 10",0.78,"AF",0.927425,"AF",0.927425,"AF"
"146","A0A0B4J241","TRAV13-1","T cell receptor alpha variable 13-1",0.207,"AF",0.724590476190476,"AF",0.724590476190476,"AF"
"147","A0A0B4J244","TRAV3","T cell receptor alpha variable 3",0.18,"AF",0.818528571428571,"AF",0.818528571428571,"AF"
"148","A0A0B4J245","TRAV12-1","T cell receptor alpha variable 12-1",0.672,"AF",0.760771428571429,"AF",0.760771428571429,"AF"
"149","A0A0B4J248","TRAV1-1","T cell receptor alpha variable 1-1",0.529,"AF",0.503764705882353,"AF",0.529,"AF"
"150","A0A0B4J249","TRAV5","T cell receptor alpha variable 5",0.05,"AF",0.432528571428571,"AF",0.432528571428571,"AF"
"151","A0A0B4J262","TRAV8-6","T cell receptor alpha variable 8-6",0.042,"AF",0.540614285714286,"AF",0.540614285714286,"AF"
"152","A0A0B4J263","TRAV39","T cell receptor alpha variable 39",0.317,"AF",0.365552380952381,"AF",0.365552380952381,"AF"
"153","A0A0B4J264","TRAV38-1","T cell receptor alpha variable 38-1",0.372,"AF",0.535633333333333,"AF",0.535633333333333,"AF"
"154","A0A0B4J265","TRAV26-2","T cell receptor alpha variable 26-2",0.192,"AF",0.593985714285714,"AF",0.593985714285714,"AF"
"155","A0A0B4J266","TRAV41","T cell receptor alpha variable 41",0.332,"AF",0.247080952380952,"AF",0.332,"AF"
"156","A0A0B4J268","TRAV4","T cell receptor alpha variable 4",0.187,"AF",0.7819125,"AF",0.7819125,"AF"
"157","A0A0B4J271","TRAV12-3","T cell receptor alpha variable 12-3",0.292,"AF",0.528690476190476,"AF",0.528690476190476,"AF"
"158","A0A0B4J272","TRAV24","T cell receptor alpha variable 24",0.034,"AF",0.181306666666667,"AF",0.181306666666667,"AF"
"159","A0A0B4J273","TRAV34","T cell receptor alpha variable 34",0.708,"AF",0.141575714285714,"AF",0.708,"AF"
"160","A0A0B4J274","TRAV20","T cell receptor alpha variable 20",0.595,"AF",0.692242857142857,"AF",0.692242857142857,"AF"
"161","A0A0B4J275","TRAV17","T cell receptor alpha variable 17",0.026,"AF",0.914441666666667,"AF",0.914441666666667,"AF"
"162","A0A0B4J276","TRAV25","T cell receptor alpha variable 25",0.285,"AF",0.176933333333333,"AF",0.285,"AF"
"163","A0A0B4J277","TRAV22","T cell receptor alpha variable 22",0.402,"AF",0.614719047619048,"AF",0.614719047619048,"AF"
"164","A0A0B4J279","TRAV21","T cell receptor alpha variable 21",0.482,"AF",0.772327272727273,"AF",0.772327272727273,"AF"
"165","A0A0B4J280","TRAV40","T cell receptor alpha variable 40",0.268,"AF",0.981015789473684,"AF",0.981015789473684,"AF"
"166","A0A0B4J2A2","PPIAL4C","peptidylprolyl isomerase A like 4C",0.395,"AF",0.407157142857143,"AF",0.407157142857143,"AF"
"167","A0A0B4J2B6",NA,NA,0.538,"AF",0.787842857142857,"AF",0.787842857142857,"AF"
"168","A0A0B4J2B8",NA,NA,0.81,"AF",0.339638461538462,"AF",0.81,"AF"
"169","A0A0B4J2D5",NA,NA,0.598,"AF",0.649090476190476,"AF",0.649090476190476,"AF"
"170","A0A0B4J2D9","IGKV1D-13","immunoglobulin kappa variable 1D-13",0.429,"AF",0.200261904761905,"AF",0.429,"AF"
"171","A0A0B4J2E0","TRBV12-4","T cell receptor beta variable 12-4",0.352,"AF",0.903052380952381,"AF",0.903052380952381,"AF"
"172","A0A0B4J2E5",NA,NA,0.435,"AF",0.437433333333333,"AF",0.437433333333333,"AF"
"173","A0A0B4J2F0","PIGBOS1","PIGB opposite strand 1",0.064,"AF",0,NA,0.064,"AF"
"174","A0A0B4J2F2",NA,NA,0.475,"AF",0.143197142857143,"AF",0.475,"AF"
"175","A0A0B4J2H0","IGHV1-69D","immunoglobulin heavy variable 1-69D",0.655,"AF",0.754766666666667,"AF",0.754766666666667,"AF"
"176","A0A0C4DGP1",NA,NA,0.615,"AF",0,NA,0.615,"AF"
"177","A0A0C4DH24","IGKV6-21","immunoglobulin kappa variable 6-21 (non-functional)",0.317,"AF",0.627428571428571,"AF",0.627428571428571,"AF"
"178","A0A0C4DH25","IGKV3D-20","immunoglobulin kappa variable 3D-20",0.66,"AF",0.0990491666666667,"AF",0.66,"AF"
"179","A0A0C4DH26","IGKV6D-41","immunoglobulin kappa variable 6D-41 (non-functional)",0.508,"AF",0.342345454545455,"AF",0.508,"AF"
"180","A0A0C4DH27","TRGV8","T cell receptor gamma variable 8",0.306,"AF",0.626476190476191,"AF",0.626476190476191,"AF"
"181","A0A0C4DH28","TRGV4","T cell receptor gamma variable 4",0.702,"AF",0.394563636363636,"AF",0.702,"AF"
"182","A0A0C4DH29","IGHV1-3","immunoglobulin heavy variable 1-3",0.792,"AF",0.946009523809524,"AF",0.946009523809524,"AF"
"183","A0A0C4DH30","IGHV3-16","immunoglobulin heavy variable 3-16 (non-functional)",0.868,"AF",0.170885,"AF",0.868,"AF"
"184","A0A0C4DH31","IGHV1-18","immunoglobulin heavy variable 1-18",0.748,"AF",0.825690476190476,"AF",0.825690476190476,"AF"
"185","A0A0C4DH32","IGHV3-20","immunoglobulin heavy variable 3-20",0.613,"AF",0.69282380952381,"AF",0.69282380952381,"AF"
"186","A0A0C4DH33","IGHV1-24","immunoglobulin heavy variable 1-24",0.173,"AF",0.720272727272727,"AF",0.720272727272727,"AF"
"187","A0A0C4DH34","IGHV4-28","immunoglobulin heavy variable 4-28",0.481,"AF",0.303109523809524,"AF",0.481,"AF"
"188","A0A0C4DH35","IGHV3-35","immunoglobulin heavy variable 3-35 (non-functional)",0.519,"AF",0.182438095238095,"AF",0.519,"AF"
"189","A0A0C4DH36","IGHV3-38","immunoglobulin heavy variable 3-38 (non-functional)",0.738,"AF",0.28286,"AF",0.738,"AF"
"190","A0A0C4DH38","IGHV5-51","immunoglobulin heavy variable 5-51",0.666,"AF",0.678609523809524,"AF",0.678609523809524,"AF"
"191","A0A0C4DH39","IGHV1-58","immunoglobulin heavy variable 1-58",0.54,"AF",0.774183333333333,"AF",0.774183333333333,"AF"
"192","A0A0C4DH41","IGHV4-61","immunoglobulin heavy variable 4-61",0.564,"AF",0.60725,"AF",0.60725,"AF"
"193","A0A0C4DH42","IGHV3-66","immunoglobulin heavy variable 3-66",0.494,"AF",0.476854545454545,"AF",0.494,"AF"
"194","A0A0C4DH43","IGHV2-70D","immunoglobulin heavy variable 2-70D",0.373,"AF",0.890633333333333,"AF",0.890633333333333,"AF"
"195","A0A0C4DH55","IGKV3D-7","immunoglobulin kappa variable 3D-7",0.402,"AF",0.354238461538462,"AF",0.402,"AF"
"196","A0A0C4DH59","TRBV5-4","T cell receptor beta variable 5-4",0.644,"AF",0.109634545454545,"AF",0.644,"AF"
"197","A0A0C4DH63",NA,NA,0.033,"AF",0,NA,0.033,"AF"
"198","A0A0C4DH67","IGKV1-8","immunoglobulin kappa variable 1-8",0.272,"AF",0.621690476190476,"AF",0.621690476190476,"AF"
"199","A0A0C4DH68","IGKV2-24","immunoglobulin kappa variable 2-24",0.784,"AF",0.199238095238095,"AF",0.784,"AF"
"200","A0A0C4DH69","IGKV1-9","immunoglobulin kappa variable 1-9",0.379,"AF",0.898361904761905,"AF",0.898361904761905,"AF"
"201","A0A0C4DH72","IGKV1-6","immunoglobulin kappa variable 1-6",0.454,"AF",0.435566666666667,"AF",0.454,"AF"
"202","A0A0C4DH73","IGKV1-12","immunoglobulin kappa variable 1-12",0.227,"AF",0.8969,"AF",0.8969,"AF"
"203","A0A0C4DH90",NA,NA,0.403,"AF",0.223285714285714,"AF",0.403,"AF"
"204","A0A0D9SF12","CCDC163","CCDC163 homolog",0.24,"AF",0.754090476190476,"AF",0.754090476190476,"AF"
"205","A0A0G2JKD1",NA,NA,0.643,"AF",0.786766666666667,"AF",0.786766666666667,"AF"
"206","A0A0G2JKW9",NA,NA,0,"AF",0,NA,0,"AF"
"207","A0A0G2JLG4",NA,NA,0.106,"AF",0.373404761904762,"AF",0.373404761904762,"AF"
"208","A0A0G2JLM5",NA,NA,0.208,"AF",0.432961904761905,"AF",0.432961904761905,"AF"
"209","A0A0G2JLQ3",NA,NA,0.671,"AF",0.222463636363636,"AF",0.671,"AF"
"210","A0A0G2JLW4",NA,NA,0.701,"AF",0.6261,"AF",0.701,"AF"
"211","A0A0G2JMD5","PRAMEF33","PRAME family member 33",0.948,"AF",0.375463636363636,"AF",0.948,"AF"
"212","A0A0G2JMH3",NA,NA,0.888,"AF",0.892057142857143,"AF",0.892057142857143,"AF"
"213","A0A0G2JMH6",NA,NA,0.578,"AF",0.186157142857143,"AF",0.578,"AF"
"214","A0A0G2JMI3","IGHV1-69-2","immunoglobulin heavy variable 1-69-2",0.686,"AF",0.747930769230769,"AF",0.747930769230769,"AF"
"215","A0A0G2JMM0",NA,NA,0.607,"AF",0.629736363636364,"AF",0.629736363636364,"AF"
"216","A0A0G2JMP0",NA,NA,0.876,"AF",0.451925,"AF",0.876,"AF"
"217","A0A0G2JMS6",NA,NA,0.277,"AF",0.909114285714286,"AF",0.909114285714286,"AF"
"218","A0A0G2JN01",NA,NA,0.584,"AF",0.47167619047619,"AF",0.584,"AF"
"219","A0A0G2JN53",NA,NA,0.529,"AF",0.697333333333333,"AF",0.697333333333333,"AF"
