"","gene_id","cluster","betweenness","degree_centrality"
"244","ENKUR","3",2952,4
"245","ENTHD1","3",0,4
"250","EPN3","3",0,4
"254","ERBB3","3",6480,4
"262","EXO1","3",0,4
"289","FGF4","3",0,4
"307","GABRA3","36",5,4
"374","H3C7","3",0,4
"375","H3C8","3",2445,4
"386","HJURP","3",1247,4
"436","KCNK15","49",0,4
"437","KCNK16","49",1,4
"438","KCNK6","49",0,4
"445","KIF15","3",7,4
"446","KIF18A","3",0,4
"448","KIF1A","3",3211,4
"450","KIF20B","3",0,4
"485","LIN9","3",1872,4
"491","MAD2L1","3",497,4
"531","MYCNOS","3",2492,4
"588","PKMYT1","3",16433,4
"593","PLK4","3",1794,4
"608","PROC","27",3,4
"668","SELL","3",2164,4
"669","SERPINA1","3",755,4
"676","SHH","3",2493,4
"700","SPAG5","3",3764,4
"744","TJP3","3",646,4
"751","TNFRSF9","3",9609,4
"757","TPD52","3",625,4
"776","UHRF1","3",1345,4
"784","VAV3","3",0,4
"17","AMBP","3",96,3
"27","ASF1B","3",94,3
"40","AURKB","3",1878,3
"43","BCRP2","3",0,3
"46","BIRC5","3",625,3
"47","BLM","3",240,3
"54","BPIFB1","13",0,3
"55","BPIFB2","13",0,3
"73","CACNA1B","3",4374,3
"75","CACNG4","3",1869,3
"90","CCL3L3","3",1483,3
"99","CCNE2","3",596,3
"101","CCNO","3",1248,3
"103","CCR3","3",0,3
"111","CD3D","3",0,3
"112","CD3E","3",72,3
"115","CDC20","3",1555,3
"116","CDC20B","3",1109,3
"140","CENPF","3",0,3
"147","CEP55","3",700,3
"153","CHEK1","3",0,3
"157","CHRNA9","22",5,3
"167","CLDN25","3",0,3
"168","CLDN6","3",0,3
"179","COL1A1","3",0,3
"183","COL3A1","3",0,3
"185","COLEC10","27",0,3
"200","CXCL9","3",0,3
"208","DCAF13","3",0,3
"212","DCLRE1A","3",705,3
"220","DLGAP5","3",1032,3
"233","E2F7","3",1249,3
"237","EEF1A2","3",3109,3
"251","EPO","3",1112,3
"266","F12","27",0,3
"267","F2RL2","3",0,3
"268","F7","27",0,3
"275","FANCI","3",240,3
"276","FASLG","3",4339,3
"282","FCGR1A","3",340,3
"285","FEN1","3",625,3
"288","FGF3","3",5535,3
"290","FGF5","3",0,3
"298","FOXA2","3",1248,3
"306","GABRA1","36",0,3
"308","GABRB1","36",0,3
"311","GABRG2","36",0,3
"319","GDNF","3",625,3
"325","GINS4","3",7600,3
"328","GJB2","3",1248,3
"340","GRIA2","3",625,3
"352","H2AC11","3",0,3
"355","H2AC16","3",0,3
"371","H3C12","3",0,3
"387","HMMR","3",4343,3
"401","IFNL1","3",1248,3
"423","ISG15","3",1871,3
"433","KCNJ3","3",7,3
"435","KCNK1","49",0,3
"439","KCNK9","49",0,3
"440","KCNQ2","3",743,3
"451","KIF23","3",0,3
"454","KIF4A","3",9840,3
"472","KRT8","3",625,3
"477","LGALS9B","3",10504,3
"512","MISP","3",171,3
"513","MKI67","3",0,3
"527","MUC6","3",689,3
"532","MYO3B","3",1249,3
"558","OAS2","3",1393,3
"579","PBK","3",10972,3
"580","PBX1","3",1249,3
"602","POSTN","3",625,3
"615","PTTG1","3",932,3
"647","RIMS2","3",1871,3
"650","ROBO2","3",3111,3
"692","SMC4","3",634,3
"707","SPTBN2","3",1439,3
"722","TACC3","3",1906,3
"736","TFF1","3",1249,3
"743","TINCR","3",1871,3
"745","TK1","3",1256,3
"750","TNFRSF18","3",1249,3
"760","TRDV1","3",741,3
"764","TRPA1","3",1871,3
"766","TTK","3",625,3
"767","TUBA3D","3",1228,3
"772","U4","3",1249,3
"773","UBE2C","3",628,3
"794","ZFP42","3",0,3
"1","5S_rRNA","1",0,2
"14","AKAP5","3",1248,2
"24","APOBR","11",0,2
"25","APOF","11",0,2
"26","APOO","11",0,2
"28","ASIC2","3",625,2
"32","ASZ1","3",625,2
"34","ATP12A","3",625,2
"51","BMPR1B","3",1248,2
"62","BTLA","3",0,2
"65","C15orf48","15",1,2
"67","C4A","3",625,2
"69","CA12","16",0,2
"70","CA14","16",0,2
"72","CA9","16",0,2
"74","CACNG1","3",616,2
"76","CACNG5","3",0,2
"77","CACNG6","3",48,2
"83","CASP14","3",625,2
"87","CCL1","3",625,2
"88","CCL11","3",0,2
"89","CCL17","3",0,2
"91","CCL4L2","3",0,2
"93","CCL7","3",0,2
"102","CCNP","3",1857,2
"105","CCR5","3",628,2
"109","CD2","3",77,2
"118","CDC25C","3",625,2
"119","CDC45","3",36,2
"120","CDC6","3",625,2
"121","CDCA2","3",768,2
"126","CDH18","3",0,2
"128","CDH7","3",624,2
"134","CDT1","3",0,2
"156","CHRNA6","22",0,2
"159","CHRNB3","22",0,2
"166","CKS2","3",625,2
"174","CNIH2","3",81,2
"176","CNTNAP2","3",625,2
"181","COL22A1","26",1,2
"186","COMP","3",625,2
"191","CRB3","3",625,2
"193","CST4","3",625,2
"194","CTNNA2","3",1,2
"195","CTNND2","3",1625,2
"204","CYP2A6","30",3,2
"205","CYP2B7P","30",4,2
"224","DNAJC5B","3",625,2
"225","DPYSL5","3",625,2
"228","DSN1","3",41,2
"229","DSP","3",625,2
"235","ECM1","3",625,2
"238","EFNA2","33",0,2
"239","EIF4E1B","29",1,2
"243","EME1","3",0,2
"246","EPCAM","3",900,2
"247","EPGN","3",0,2
"248","EPHA10","33",0,2
"249","EPHA8","33",0,2
"252","EPPK1","3",0,2
"271","FAM83D","3",60,2
"279","FBXO45","3",3105,2
"280","FBXO5","3",837,2
"287","FGB","3",124,2
"309","GABRB3","36",0,2
"317","GATA4","3",625,2
"320","GFRA1","3",0,2
"323","GINS1","3",0,2
"324","GINS2","3",0,2
"327","GJA3","3",0,2
"330","GJD3","3",0,2
"350","H1-2","3",625,2
"353","H2AC13","3",0,2
"356","H2AC17","3",0,2
"372","H3C14","3",833,2
"373","H3C6","3",0,2
"376","H3Y1","3",0,2
"383","H4C9","3",0,2
"400","IFNB1","3",0,2
"402","IFNL2","3",0,2
"403","IFNL3","3",0,2
"406","IGHV1-3","3",0,2
"407","IGHV3-15","3",0,2
"410","IKZF3","3",625,2
"412","IL1B","3",22213,2
"419","INSM1","3",625,2
"429","KCNE4","3",1248,2
"431","KCNH2","3",625,2
"434","KCNJ6","3",0,2
"442","KIAA0319","3",0,2
"476","LEF1","3",3,2
"478","LGALS9C","3",0,2
"479","LGI1","3",1248,2
"486","LMNB1","3",218,2
"487","LMX1B","3",1869,2
"488","LRP2","3",625,2
"495","MAGEA11","3",625,2
"497","MAGEA4","3",625,2
"514","MMP1","3",0,2
"515","MMP10","3",625,2
"518","MRPL13","1",0,2
"519","MRPS30","1",0,2
"528","MX1","3",1987,2
"537","NCAPG","3",542,2
"538","NCAPG2","3",0,2
"540","NDC80","3",570,2
"546","NELL2","3",625,2
"547","NHERF1","3",5211,2
"548","NKX2-2","3",625,2
"550","NLRP5","56",1,2
"552","NOX5","3",625,2
"553","NPNT","30",3,2
"557","OAS1","3",166,2
"559","OAS3","3",312,2
"560","OASL","3",625,2
"569","ORC6","3",0,2
"578","PAX6","3",625,2
"595","PMAIP1","3",625,2
"596","PODXL2","3",640,2
"603","POTEC","3",625,2
"606","PRAME","3",625,2
"607","PRLR","3",496,2
"609","PRODH2","60",0,2
"611","PSG9","3",625,2
"613","PTK6","3",435,2
"617","PYCR1","60",0,2
"618","PYCR3","60",0,2
"632","RALYL","3",1248,2
"637","REPS2","3",0,2
"639","RGS4","3",2865,2
"640","RGS7","3",625,2
"645","RIMBP3","3",625,2
"651","RRM2","3",216,2
"656","SAG","3",625,2
"657","SAGE1","3",625,2
"660","SCG3","3",625,2
"662","SCN1A","3",118,2
"674","SGO2","3",8,2
"677","SHISA9","3",0,2
"682","SKA2","3",1869,2
"688","SLC7A11","3",625,2
"690","SLIT1","3",3720,2
"699","SPAG1","3",625,2
"712","STMN1","47",1,2
"714","SYCE3","3",0,2
"723","TAS2R1","3",0,2
"726","TCL1B","3",625,2
"738","TFR2","3",625,2
"740","TIGD3","3",625,2
"755","TONSL","3",0,2
"759","TPX2","3",2,2
"768","TUBA3E","3",0,2
"770","TUBAL3","3",0,2
"771","TYRP1","3",625,2
"777","UNC13A","3",2488,2
"778","UNC5B","3",625,2
"780","UPK1A","71",0,2
"781","UPK1B","71",0,2
"782","UPK3A","71",0,2
"786","WDHD1","3",624,2
"791","WT1","3",0,2
"796","ZNF281","3",1248,2
"2","ABAT","2",0,1
"3","ABCA12","3",0,1
"4","ACMSD","3",0,1
"5","ACTL6B","3",0,1
"6","ADAM2","4",0,1
"7","ADAM7","3",0,1
"8","ADCY1","3",0,1
"9","ADGRB2","5",0,1
"10","ADGRG7","6",0,1
"11","AFF3","7",0,1
"12","AFP","3",0,1
"16","ALCAM","8",0,1
"22","APLP1","9",0,1
"23","APOBEC3B","10",0,1
"29","ASIC5","3",0,1
"31","ASPN","3",0,1
"35","ATP1A4","3",0,1
"36","ATP6V0A4","12",0,1
"37","ATP6V0D2","12",0,1
"38","AUNIP","3",0,1
"41","AZIN1","3",0,1
"42","BAMBI","3",0,1
"44","BEX1","3",0,1
"45","BIK","3",0,1
"48","BLNK","3",0,1
"50","BMP8A","3",0,1
"59","BRINP2","14",0,1
"60","BRINP3","14",0,1
"66","C1orf127","3",0,1
"68","C4B","3",0,1
"71","CA2","17",0,1
"78","CALCR","18",0,1
"81","CAPSL","3",0,1
"82","CARTPT","19",0,1
"84","CASTOR2","20",0,1
"100","CCNF","3",0,1
"110","CD300LF","3",0,1
"117","CDC25A","3",0,1
"122","CDCA5","3",0,1
"124","CDCP1","3",0,1
"131","CDK5R1","3",0,1
"132","CDK5R2","3",0,1
"133","CDKN3","3",0,1
"135","CEACAM5","3",0,1
"136","CEACAM6","19",0,1
"137","CELSR3","3",0,1
"148","CERS6","21",0,1
"149","CFAP221","3",0,1
"151","CFAP90","3",0,1
"152","CHAF1B","3",0,1
"154","CHGA","3",0,1
"158","CHRNB2","22",0,1
"160","CIB3","23",0,1
"161","CIP2A","3",0,1
"162","CIT","3",0,1
"163","CKAP2","3",0,1
"164","CKMT1A","24",0,1
"165","CKMT1B","24",0,1
"169","CLEC4C","3",0,1
"172","CNGA2","25",0,1
"173","CNGA3","25",0,1
"175","CNTN5","9",0,1
"177","COL10A1","26",0,1
"184","COL8A1","26",0,1
"187","CORO2A","3",0,1
"188","COX6C","15",0,1
"189","COX7B2","15",0,1
"190","CPLX2","28",0,1
"192","CST1","3",0,1
"201","CXCR3","3",0,1
"202","CYFIP2","29",0,1
"203","CYP2A13","30",0,1
"211","DCD","3",0,1
"213","DENND1B","31",0,1
"214","DEPDC1","3",0,1
"215","DHCR24","32",0,1
"216","DHCR7","32",0,1
"217","DIAPH3","3",0,1
"218","DISP2","3",0,1
"219","DISP3","3",0,1
"221","DLX2","3",0,1
"222","DMP1","3",0,1
"223","DNAAF6","3",0,1
"226","DQX1","3",0,1
"227","DSCC1","3",0,1
"232","E2F2","3",0,1
"234","E2F8","3",0,1
"240","ELAVL2","10",0,1
"241","ELOVL2","34",0,1
"242","ELP2","7",0,1
"255","ERCC6L","3",0,1
"256","ESCO2","3",0,1
"257","ESPL1","3",0,1
"259","ESRP1","3",0,1
"260","ESRRG","3",0,1
"261","EVPL","3",0,1
"269","FAM167A","35",0,1
"270","FAM83B","3",0,1
"272","FAM83H","3",0,1
"273","FANCA","3",0,1
"274","FANCF","3",0,1
"277","FBN2","3",0,1
"278","FBXO43","3",0,1
"281","FCAMR","3",0,1
"284","FCRL4","3",0,1
"286","FGA","3",0,1
"291","FGG","3",0,1
"293","FKBP4","3",0,1
"295","FLT3","3",0,1
"299","FOXA3","3",0,1
"301","FOXP3","3",0,1
"302","FPR3","3",0,1
"303","FREM2","30",0,1
"304","FSBP","3",0,1
"314","GALNT6","37",0,1
"315","GAS2L3","3",0,1
"318","GATA5","3",0,1
"321","GGH","38",0,1
"322","GHSR","39",0,1
"326","GIP","5",0,1
"329","GJD2","3",0,1
"335","GNL3L","3",0,1
"336","GOLM1","3",0,1
"337","GPR158","3",0,1
"338","GRB14","3",0,1
"339","GRHL2","3",0,1
"342","GRM4","40",0,1
"343","GRM8","40",0,1
"344","GRP","41",0,1
"345","GRPR","41",0,1
"346","GSTA2","42",0,1
"347","GSTA3","42",0,1
"348","GTSE1","3",0,1
"349","GZMA","3",0,1
"351","H1-6","3",0,1
"379","H4C14","3",0,1
"384","HACD3","34",0,1
"385","HELLS","3",0,1
"388","HNF4G","3",0,1
"389","HOOK1","3",0,1
"390","HOXB1","3",0,1
"391","HRH3","43",0,1
"392","HSD17B6","44",0,1
"394","HTR1D","45",0,1
"395","HTR1E","45",0,1
"396","HTR2C","39",0,1
"397","IBSP","3",0,1
"398","ICOS","3",0,1
"399","IFIT1","3",0,1
"405","IGF2BP1","3",0,1
"409","IGSF5","3",0,1
"411","IL19","46",0,1
"413","IL20","46",0,1
"414","IL21","3",0,1
"415","IL21R","3",0,1
"416","IL2RB","3",0,1
"417","ILDR1","3",0,1
"418","ILDR2","3",0,1
"420","INTS7","3",0,1
"421","IQGAP3","3",0,1
"422","IRS4","3",0,1
"424","ITGA11","3",0,1
"425","JPT1","47",0,1
"426","JPT2","47",0,1
"427","KCNC1","48",0,1
"428","KCNC2","48",0,1
"430","KCNH1","3",0,1
"432","KCNH6","3",0,1
"457","KLF17","23",0,1
"458","KLHL38","3",0,1
"460","KNSTRN","3",0,1
"462","KPNA7","3",0,1
"471","KRT75","3",0,1
"473","LACRT","3",0,1
"474","LCN1","3",0,1
"475","LDLRAD1","6",0,1
"480","LHX2","50",0,1
"481","LHX9","50",0,1
"482","LILRA4","3",0,1
"483","LILRB4","8",0,1
"484","LIN28A","3",0,1
"489","LRRC46","3",0,1
"490","LYPD3","3",0,1
"492","MAEL","51",0,1
"493","MAGEA1","52",0,1
"494","MAGEA10","3",0,1
"496","MAGEA3","53",0,1
"498","MAGEA6","53",0,1
"499","MAGEB6","52",0,1
"500","MAL2","3",0,1
"501","MAP7","3",0,1
"502","MAPK8IP2","3",0,1
"503","MARCKSL1","3",0,1
"505","MCHR1","54",0,1
"506","MCHR2","54",0,1
"508","MCM2","3",0,1
"511","MELK","3",0,1
"516","MMP11","3",0,1
"520","MS4A1","3",0,1
"521","MSI2","3",0,1
"522","MSLN","3",0,1
"523","MSMB","3",0,1
"525","MUC2","3",0,1
"529","MYBL1","3",0,1
"530","MYBL2","3",0,1
"533","MZB1","35",0,1
"534","NAT1","55",0,1
"535","NAT16","3",0,1
"536","NAT2","55",0,1
"539","NCAPH","3",0,1
"541","NDST4","3",0,1
"542","NDUFAF6","37",0,1
"544","NEK2","3",0,1
"545","NELL1","3",0,1
"549","NLRP2","56",0,1
"551","NOX1","3",0,1
"554","NPY1R","57",0,1
"555","NUCB2","58",0,1
"556","NUF2","3",0,1
"563","OLR1","3",0,1
"564","ONECUT1","3",0,1
"565","OR10H5","3",0,1
"566","OR2AT4","3",0,1
"567","OR7D4","3",0,1
"570","OTUB2","3",0,1
"571","OTX1","3",0,1
"572","PADI6","56",0,1
"573","PARD6B","3",0,1
"575","PARPBP","3",0,1
"576","PAX1","3",0,1
"581","PCDH10","3",0,1
"582","PCLAF","3",0,1
"584","PCSK6","3",0,1
"585","PDX1","3",0,1
"589","PLA2G10","59",0,1
"590","PLA2G2D","59",0,1
"591","PLAAT4","20",0,1
"594","PLS1","3",0,1
"598","POLQ","3",0,1
"600","POLR3K","3",0,1
"601","POMK","21",0,1
"610","PSG11","3",0,1
"612","PSRC1","3",0,1
"614","PTPRT","3",0,1
"616","PYCARD","61",0,1
"619","PYDC1","61",0,1
"620","PYY","57",0,1
"621","RAB11FIP1","62",0,1
"622","RAB25","62",0,1
"623","RAB27B","63",0,1
"624","RAB3D","3",0,1
"625","RABIF","3",0,1
"627","RAD21L1","3",0,1
"630","RAD54B","3",0,1
"631","RAD54L","3",0,1
"633","RAMACL","29",0,1
"634","RAMP1","18",0,1
"635","RCOR2","3",0,1
"641","RGS8","3",0,1
"642","RHCE","3",0,1
"643","RHOH","64",0,1
"646","RIMS1","3",0,1
"652","RSAD2","3",0,1
"653","S100A7","3",0,1
"654","S100A7A","3",0,1
"655","S100P","3",0,1
"658","SALL4","3",0,1
"659","SCAMP5","3",0,1
"661","SCIN","3",0,1
"663","SCUBE2","3",0,1
"665","SDR16C5","44",0,1
"666","SDS","65",0,1
"667","SDSL","65",0,1
"670","SERPINA12","31",0,1
"671","SERPINA5","27",0,1
"672","SERTAD4","3",0,1
"673","SGO1","3",0,1
"675","SHCBP1","3",0,1
"678","SIDT1","3",0,1
"679","SIGLEC15","3",0,1
"680","SIX1","3",0,1
"681","SKA1","3",0,1
"683","SKA3","3",0,1
"684","SLC1A1","66",0,1
"685","SLC1A6","66",0,1
"686","SLC44A4","3",0,1
"687","SLC4A8","17",0,1
"689","SLC7A5","3",0,1
"693","SMIM22","67",0,1
"694","SNTG1","68",0,1
"695","SORD","2",0,1
"698","SOX3","3",0,1
"701","SPAG6","69",0,1
"702","SPATA17","69",0,1
"703","SPC24","3",0,1
"704","SPC25","3",0,1
"705","SPDYC","3",0,1
"706","SPO11","3",0,1
"708","SQLE","67",0,1
"709","SSTR5","3",0,1
"711","STIL","3",0,1
"713","STXBP5L","28",0,1
"715","SYNDIG1","3",0,1
"716","SYNGR3","3",0,1
"718","SYT5","3",0,1
"719","SYT7","68",0,1
"720","SYT9","3",0,1
"721","SYTL5","63",0,1
"724","TBX20","3",0,1
"725","TCL1A","3",0,1
"727","TDRD1","3",0,1
"728","TDRKH","51",0,1
"729","TEDC2","3",0,1
"732","TENT5C","3",0,1
"734","TESMIN","3",0,1
"735","TEX14","3",0,1
"737","TFF3","3",0,1
"739","TH","3",0,1
"741","TIGIT","3",0,1
"746","TLR7","3",0,1
"747","TLX1","3",0,1
"748","TMEM97","43",0,1
"749","TMPRSS6","3",0,1
"752","TNFSF18","3",0,1
"753","TNFSF4","3",0,1
"754","TOM1L1","3",0,1
"758","TPRN","3",0,1
"762","TRIM59","70",0,1
"763","TRIP13","3",0,1
"765","TRPS1","3",0,1
"769","TUBA4B","3",0,1
"774","UBE2T","3",0,1
"775","UGDH","38",0,1
"779","UNC5D","3",0,1
"783","VANGL1","64",0,1
"787","WDR62","3",0,1
"789","WNT3A","3",0,1
"790","WNT7B","3",0,1
"793","ZDHHC22","70",0,1
"795","ZNF280A","58",0,1
"797","ZP4","4",0,1
"798","ZWINT","3",0,1
"799","ZYG11A","3",0,1
