"","uniprotswissprot","hgnc_symbol","Prediction_Score","Prediction_Score_after_100","Prediction_Score_after_1000","Label","validation"
"37","Q99835","SMO",0.9775093,0.97738,0.976361,"0","0"
"38","P30874","SSTR2",0.9758091,0.9745,0.976176,"1","0"
"39","P22455","FGFR4",0.9754586,0.96539,0.971979,"0","1"
"40","P40145","ADCY8",0.9753925,0.97786,0.974115,"0","0"
"41","P04798","CYP1A1",0.9744114,0.96859,0.971286,"0","0"
"42","Q15303","ERBB4",0.9736463,0.97822,0.975839,"0","1"
"43","P09237","MMP7",0.9730879,0.97301,0.973596,"1","0"
"44","P10275","AR",0.9730001,0.97053,0.973169,"1","0"
"45","P16871","IL7R",0.9725046,0.96391,0.971108,"0","0"
"46","P51828","ADCY7",0.9718225,0.97409,0.970649,"0","0"
"47","P05093","CYP17A1",0.9711107,0.96924,0.970889,"1","0"
"48","Q9UBS5","GABBR1",0.9705127,0.97373,0.970442,"0","0"
"49","P32238","CCKAR",0.9704798,0.96601,0.972761,"0","1"
"50","P01137","TGFB1",0.9697675,0.97289,0.969192,"0","0"
"51","P01375","TNF",0.9696863,0.9683,0.969721,"1","0"
"52","Q9NPG1","FZD3",0.9686992,0.97092,0.970581,"0","0"
"53","P22607","FGFR3",0.9683468,0.962,0.967779,"0","1"
"54","P23229","ITGA6",0.9680467,0.96365,0.967622,"0","0"
"55","Q13635","PTCH1",0.9680325,0.96474,0.966558,"0","0"
"56","P19235","EPOR",0.9671365,0.96334,0.967269,"1","0"
"57","Q9UP38","FZD1",0.9667818,0.96202,0.965898,"0","0"
"58","P36897","TGFBR1",0.9666438,0.95959,0.966357,"0","1"
"59","Q13467","FZD5",0.9664775,0.95978,0.965679,"0","0"
"60","P43088","PTGFR",0.9664279,0.9649,0.966987,"1","0"
"61","P35228","NOS2",0.9663852,0.96943,0.963694,"0","0"
"62","P16671","CD36",0.9663035,0.96182,0.967149,"0","0"
"63","P04629","NTRK1",0.9656741,0.96753,0.965599,"0","1"
"64","P30872","SSTR1",0.9651667,0.96325,0.966128,"1","0"
"65","O60503","ADCY9",0.9651261,0.95972,0.965294,"0","0"
"66","Q14332","FZD2",0.9650902,0.96311,0.964429,"0","0"
"67","P49327","FASN",0.9649872,0.96277,0.964731,"1","0"
"68","P04839","CYBB",0.9640351,0.95752,0.963618,"0","0"
"69","P06756","ITGAV",0.96254,0.96367,0.962806,"0","1"
"70","P42261","GRIA1",0.9624802,0.96251,0.961883,"0","0"
"71","Q92633","LPAR1",0.9624219,0.96152,0.960066,"0","0"
"72","P10415","BCL2",0.962133,0.95962,0.962103,"1","0"
"73","P35348","ADRA1A",0.9617505,0.96053,0.961706,"1","0"
"74","P14416","DRD2",0.9613937,0.96013,0.9615,"1","0"
"75","P53779","MAPK10",0.9609857,0.95796,0.960499,"0","0"
"76","P04150","NR3C1",0.9600433,0.95598,0.958596,"1","0"
"77","Q16620","NTRK2",0.9600094,0.95779,0.960036,"0","0"
"78","P06241","FYN",0.9599937,0.95654,0.961324,"0","0"
"79","P10912","GHR",0.9591505,0.9565,0.956432,"0","0"
"80","P33681","CD80",0.9591487,0.95825,0.959516,"0","0"
"81","P20309","CHRM3",0.9587306,0.96054,0.958992,"0","0"
"82","P29474","NOS3",0.9579855,0.9583,0.959488,"0","0"
"83","O14786","NRP1",0.95774,0.95929,0.956985,"0","0"
"84","P54762","EPHB1",0.9567717,0.95818,0.958592,"0","0"
"85","P11511","CYP19A1",0.9561858,0.95441,0.956265,"1","0"
"86","O43306","ADCY6",0.9558643,0.95178,0.953173,"0","0"
"87","Q05586","GRIN1",0.9555451,0.9545,0.95501,"0","0"
"88","P35408","PTGER4",0.9554677,0.94014,0.955349,"0","0"
"89","P08183","ABCB1",0.9554675,0.95353,0.954674,"1","0"
"90","O95622","ADCY5",0.9552347,0.94903,0.953503,"0","0"
"91","P08253","MMP2",0.9546548,0.95418,0.955212,"1","0"
"92","Q9UNQ0","ABCG2",0.9545738,0.9481,0.953655,"0","0"
"93","P17301","ITGA2",0.954388,0.95569,0.955284,"0","0"
"94","P48357","LEPR",0.9543349,0.94883,0.95349,"0","1"
"95","P84022","SMAD3",0.9537519,0.9549,0.952518,"0","0"
"96","P29371","TACR3",0.9536123,0.95344,0.951472,"0","0"
"97","P32239","CCKBR",0.9535529,0.95138,0.953814,"1","0"
"98","P11362","FGFR1",0.9527447,0.95134,0.952608,"0","1"
"99","P00813","ADA",0.9527022,0.95293,0.952653,"1","0"
"100","P43220","GLP1R",0.9524141,0.93636,0.951403,"0","0"
"101","P26006","ITGA3",0.9522018,0.95004,0.952243,"0","0"
"102","P01589","IL2RA",0.951619,0.94985,0.951514,"1","0"
"103","Q16581","C3AR1",0.9514936,0.95349,0.953519,"0","0"
"104","P22681","CBL",0.9514341,0.94927,0.951777,"0","0"
"105","P51684","CCR6",0.9513305,0.95447,0.952763,"0","0"
"106","P15509","CSF2RA",0.9512802,0.94713,0.951066,"1","0"
"107","P17948","FLT1",0.9510023,0.95221,0.950297,"0","1"
"108","P52333","JAK3",0.9508962,0.94004,0.94935,"0","0"
"109","Q15139","PRKD1",0.9508315,0.94826,0.950731,"0","0"
"110","P06239","LCK",0.950315,0.95101,0.950583,"0","0"
"111","P16473","TSHR",0.94985,0.94814,0.950664,"1","0"
"112","P30968","GNRHR",0.9493828,0.94737,0.949738,"1","0"
"113","P00519","ABL1",0.9490897,0.94169,0.947483,"1","0"
"114","P43116","PTGER2",0.9480812,0.94544,0.948889,"1","0"
"115","O14788","TNFSF11",0.9479691,0.94747,0.948261,"1","0"
"116","P01130","LDLR",0.9477869,0.94381,0.947343,"1","0"
"117","Q8WTV0","SCARB1",0.9477544,0.93528,0.948252,"0","0"
"118","P35368","ADRA1B",0.9472908,0.94171,0.947512,"0","0"
"119","P08887","IL6R",0.9470454,0.93882,0.947057,"0","0"
"120","P50281","MMP14",0.9470369,0.94419,0.947529,"0","0"
"121","P00749","PLAU",0.946631,0.94451,0.945947,"1","0"
"122","P06401","PGR",0.9460523,0.93903,0.944709,"1","0"
"123","P05186","ALPL",0.9454723,0.94527,0.945193,"1","0"
"124","P05129","PRKCG",0.9452001,0.93923,0.944181,"0","0"
"125","P61073","CXCR4",0.9438569,0.94183,0.94313,"0","0"
"126","P05023","ATP1A1",0.9437886,0.94282,0.943832,"1","0"
"127","P30989","NTSR1",0.9436493,0.94007,0.943523,"0","0"
"128","Q12879","GRIN2A",0.9433537,0.93632,0.940312,"0","0"
"129","P14902","IDO1",0.942907,0.94112,0.94285,"1","0"
"130","P00747","PLG",0.9428169,0.94283,0.942332,"1","0"
"131","P37173","TGFBR2",0.9424131,0.94159,0.939478,"0","1"
"132","P50052","AGTR2",0.9422743,0.93394,0.942199,"0","0"
"133","O00206","TLR4",0.9421295,0.94212,0.942395,"0","1"
"134","Q08828","ADCY1",0.9408063,0.9413,0.940193,"0","0"
"135","O95477","ABCA1",0.940682,0.943,0.941661,"0","0"
"136","P19438","TNFRSF1A",0.940421,0.92868,0.938816,"0","1"
"137","P14780","MMP9",0.9400403,0.94007,0.942986,"0","1"
"138","P27487","DPP4",0.9397548,0.93825,0.938694,"1","0"
"139","O60266","ADCY3",0.9397366,0.93772,0.939197,"0","0"
"140","P18084","ITGB5",0.9392242,0.94018,0.940097,"0","0"
"141","P41145","OPRK1",0.9391381,0.93293,0.939822,"0","0"
"142","Q13554","CAMK2B",0.9391265,0.93053,0.938817,"0","0"
"143","P43115","PTGER3",0.9389867,0.94284,0.936989,"0","0"
"144","Q05397","PTK2",0.9384555,0.92765,0.936389,"0","1"
"145","Q8NFM4","ADCY4",0.9376659,0.93313,0.936913,"0","0"
"146","P29323","EPHB2",0.9352661,0.93576,0.93304,"0","0"
"147","P01584","IL1B",0.9352453,0.93119,0.934691,"1","0"
"148","P14784","IL2RB",0.9349419,0.93519,0.937711,"0","1"
"149","O43613","HCRTR1",0.9348559,0.93253,0.93526,"0","0"
"150","P40238","MPL",0.9345517,0.93102,0.934565,"1","0"
"151","P05106","ITGB3",0.9344831,0.92772,0.93521,"0","1"
"152","P05108","CYP11A1",0.9343874,0.93151,0.934848,"1","0"
"153","P42701","IL12RB1",0.9340172,0.92282,0.93321,"0","0"
"154","O60674","JAK2",0.9322846,0.92455,0.929122,"0","1"
"155","Q04912","MST1R",0.9321923,0.92537,0.931568,"0","1"
"156","P05121","SERPINE1",0.9320397,0.92304,0.933595,"0","1"
"157","P25105","PTAFR",0.9318699,0.91901,0.931672,"0","0"
"158","P35625","TIMP3",0.9312726,0.92326,0.93308,"0","0"
"159","Q99665","IL12RB2",0.931209,0.92661,0.930252,"0","0"
"160","P08172","CHRM2",0.9310855,0.93088,0.931251,"0","0"
"161","P13726","F3",0.9307041,0.92656,0.930188,"0","1"
"162","P01033","TIMP1",0.930607,0.93426,0.931832,"0","0"
"163","P42330","AKR1C3",0.9302261,0.92489,0.929616,"1","0"
"164","P54753","EPHB3",0.9295666,0.92632,0.929348,"0","0"
"165","P61812","TGFB2",0.9287024,0.91946,0.927024,"0","1"
"166","P41221","WNT5A",0.9285552,0.92461,0.929638,"0","0"
"167","P07947","YES1",0.9285243,0.92182,0.927106,"0","0"
"168","P25100","ADRA1D",0.9284762,0.92409,0.927585,"1","0"
"169","P05107","ITGB2",0.9282339,0.92467,0.928349,"0","0"
"170","O60603","TLR2",0.9282082,0.92678,0.926287,"0","1"
"171","P16109","SELP",0.9280134,0.92575,0.928077,"0","1"
"172","P00750","PLAT",0.9278854,0.93078,0.929735,"0","0"
"173","P42229","STAT5A",0.9278139,0.92143,0.928073,"0","0"
"174","P41597","CCR2",0.9273575,0.91962,0.92756,"0","1"
"175","P60709","ACTB",0.9272921,0.92016,0.926858,"0","0"
"176","P02786","TFRC",0.9271325,0.9289,0.925604,"0","0"
"177","P04275","VWF",0.9270159,0.91969,0.928208,"0","0"
"178","Q03431","PTH1R",0.9268028,0.92988,0.926041,"0","0"
"179","P01133","EGF",0.9251369,0.92268,0.924901,"0","0"
"180","P31645","SLC6A4",0.9248545,0.92194,0.925044,"1","0"
"181","P21730","C5AR1",0.9241926,0.91446,0.924828,"0","0"
"182","P16615","ATP2A2",0.9235866,0.9201,0.922065,"0","0"
"183","P24394","IL4R",0.923462,0.91115,0.923609,"0","1"
"184","Q92887","ABCC2",0.9233943,0.92468,0.923096,"0","0"
"185","P08254","MMP3",0.9230962,0.92023,0.921384,"0","0"
"186","P12830","CDH1",0.9228105,0.92009,0.923925,"0","0"
"187","P48551","IFNAR2",0.920803,0.91715,0.920496,"1","0"
"188","P47901","AVPR1B",0.9208027,0.92062,0.920428,"0","0"
"189","Q99683","MAP3K5",0.9202004,0.89344,0.915387,"0","0"
"190","P47900","P2RY1",0.9201479,0.90763,0.918522,"0","0"
"191","P30559","OXTR",0.9201321,0.91879,0.920709,"0","0"
"192","P25024","CXCR1",0.9201099,0.91711,0.921651,"0","0"
"193","P20936","RASA1",0.9200773,0.91736,0.916573,"0","0"
"194","O00141","SGK1",0.9198636,0.91397,0.917989,"0","1"
"195","P11166","SLC2A1",0.9192948,0.91884,0.920087,"0","0"
"196","O00329","PIK3CD",0.919022,0.91605,0.916645,"0","1"
"197","P05556","ITGB1",0.9183751,0.91161,0.91683,"0","1"
"198","P01024","C3",0.9183441,0.9108,0.918562,"0","0"
"199","Q08462","ADCY2",0.9178831,0.91383,0.915209,"0","0"
"200","P47871","GCGR",0.9172238,0.90729,0.916937,"0","0"
"201","Q5VWK5","IL23R",0.91703,0.9152,0.916528,"0","1"
"202","P16581","SELE",0.9169257,0.91385,0.917091,"0","1"
"203","P30530","AXL",0.9165042,0.91274,0.914874,"0","1"
"204","P14778","IL1R1",0.9162014,0.90687,0.913692,"0","0"
"205","P42345","MTOR",0.9161989,0.91359,0.914875,"1","0"
"206","O43497","CACNA1G",0.9161457,0.91581,0.916161,"1","0"
"207","P48443","RXRG",0.9160671,0.91204,0.916013,"1","0"
"208","P32927","CSF2RB",0.9159413,0.90757,0.915494,"0","1"
"209","O15105","SMAD7",0.9150222,0.91235,0.917264,"0","0"
"210","Q9NYA1","SPHK1",0.9149197,0.9087,0.915897,"0","1"
"211","P48736","PIK3CG",0.9148651,0.90922,0.91293,"0","1"
"212","O75460","ERN1",0.9147438,0.91312,0.915816,"0","0"
"213","P15328","FOLR1",0.913889,0.90991,0.914915,"1","0"
"214","Q9NR96","TLR9",0.9134917,0.91469,0.915867,"0","1"
"215","P35590","TIE1",0.9125507,0.90999,0.913717,"0","0"
"216","P02741","CRP",0.9125038,0.90689,0.914003,"0","0"
"217","P07766","CD3E",0.9124795,0.91201,0.913865,"1","0"
"218","Q08209","PPP3CA",0.9123572,0.89803,0.909947,"0","0"
"219","Q15465","SHH",0.9121635,0.90571,0.912767,"0","0"
"220","Q14623","IHH",0.9120351,0.90194,0.912608,"0","0"
"221","P51681","CCR5",0.9118464,0.90403,0.910021,"0","0"
"222","P34969","HTR7",0.9109619,0.91046,0.914046,"0","0"
"223","P30411","BDKRB2",0.9108416,0.90938,0.911904,"1","0"
"224","P01008","SERPINC1",0.9106122,0.90771,0.910689,"1","0"
"225","P42226","STAT6",0.9105145,0.90923,0.90851,"0","0"
"226","P29475","NOS1",0.9104716,0.89953,0.908916,"0","0"
"227","P49023","PXN",0.9104108,0.90096,0.909789,"0","0"
"228","P16471","PRLR",0.9100183,0.9023,0.909048,"0","1"
"229","Q30154","HLA-DRB5",0.9095208,0.90612,0.910258,"0","0"
"230","Q14289","PTK2B",0.9093818,0.90116,0.907844,"0","0"
"231","Q15796","SMAD2",0.9089424,0.90995,0.906681,"0","0"
"232","P14921","ETS1",0.9084354,0.90309,0.906274,"0","0"
"233","P37288","AVPR1A",0.9071259,0.91035,0.906137,"0","0"
"234","P24864","CCNE1",0.9070836,0.90592,0.905567,"0","0"
"235","Q9H244","P2RY12",0.9066057,0.8911,0.908649,"0","0"
"236","Q99527","GPER1",0.9064288,0.89756,0.905648,"0","0"
"237","P30988","CALCR",0.9061932,0.89729,0.906769,"0","0"
"238","Q13489","BIRC3",0.9059657,0.90842,0.906358,"0","0"
"239","P50591","TNFSF10",0.9054976,0.90052,0.902556,"0","1"
"240","P14210","HGF",0.9050969,0.90237,0.902609,"0","1"
"241","P41594","GRM5",0.9050636,0.8954,0.907537,"0","0"
"242","P20248","CCNA2",0.9047402,0.8938,0.90275,"0","0"
"243","P06858","LPL",0.9043443,0.89458,0.899082,"0","0"
"244","O14939","PLD2",0.9041761,0.90411,0.903076,"0","0"
"245","Q99814","EPAS1",0.9030289,0.87598,0.898772,"0","0"
"246","Q13255","GRM1",0.9030086,0.90209,0.905013,"0","0"
"247","Q92731","ESR2",0.9026307,0.89839,0.90224,"0","0"
"248","P25929","NPY1R",0.9024962,0.88915,0.904231,"0","0"
"249","P52564","MAP2K6",0.9024582,0.88715,0.901546,"0","0"
"250","P09958","FURIN",0.901201,0.89231,0.899785,"0","0"
"251","P25092","GUCY2C",0.9009229,0.8981,0.90119,"1","0"
"252","P20648","ATP4A",0.8999327,0.90204,0.90129,"1","0"
"253","P31994","FCGR2B",0.8992973,0.89708,0.902929,"0","0"
"254","O75197","LRP5",0.8986633,0.89846,0.898995,"0","0"
"255","P07858","CTSB",0.8984549,0.89361,0.897406,"0","0"
"256","P11215","ITGAM",0.8982576,0.89688,0.898075,"0","0"
"257","P56199","ITGA1",0.8979517,0.90012,0.898181,"0","0"
"258","P25025","CXCR2",0.897922,0.87629,0.897862,"0","1"
"259","P30556","AGTR1",0.8975934,0.88453,0.896213,"0","0"
"260","P51692","STAT5B",0.8974754,0.88872,0.895652,"0","0"
"261","Q14524","SCN5A",0.8973523,0.89808,0.899049,"0","0"
"262","P28335","HTR2C",0.8970554,0.89337,0.899539,"0","0"
"263","P34972","CNR2",0.8969648,0.88545,0.897726,"0","0"
"264","Q01959","SLC6A3",0.8962735,0.8925,0.896996,"0","0"
"265","P41180","CASR",0.895819,0.8915,0.89747,"0","0"
"266","P02679","FGG",0.8956609,0.89328,0.893048,"0","0"
"267","P28223","HTR2A",0.8955553,0.89398,0.897217,"0","0"
"268","P45983","MAPK8",0.8953738,0.89049,0.891063,"0","0"
"269","P29320","EPHA3",0.8950062,0.88843,0.894981,"0","1"
"270","Q03135","CAV1",0.8948622,0.88321,0.894661,"0","0"
"271","P63261","ACTG1",0.8947314,0.88943,0.893656,"0","0"
"272","P27361","MAPK3",0.8939743,0.88452,0.890311,"0","0"
"273","P01031","C5",0.8934862,0.88667,0.891889,"0","0"
"274","P54646","PRKAA2",0.8933125,0.88168,0.891664,"0","0"
"275","O43614","HCRTR2",0.8926313,0.89518,0.894936,"0","0"
"276","Q13507","TRPC3",0.8920162,0.88838,0.892148,"0","0"
"277","P49763","PGF",0.8919859,0.88852,0.893169,"1","0"
"278","Q15759","MAPK11",0.8919362,0.88852,0.8885,"0","0"
"279","Q5T6X5","GPRC6A",0.8917171,0.88469,0.891725,"0","0"
"280","P51686","CCR9",0.8916253,0.88879,0.894254,"0","0"
"281","P08631","HCK",0.8913113,0.88601,0.889705,"0","0"
"282","P19793","RXRA",0.8910289,0.87811,0.888152,"0","0"
"283","P43405","SYK",0.8909508,0.88815,0.886825,"0","1"
"284","P35558","PCK1",0.8908193,0.89092,0.891501,"0","0"
"285","P10600","TGFB3",0.890699,0.87525,0.888925,"0","0"
"286","P45985","MAP2K4",0.8904487,0.87806,0.887371,"0","0"
"287","P09769","FGR",0.8904002,0.89018,0.889068,"0","0"
"288","P04179","SOD2",0.8903233,0.88934,0.894503,"0","0"
"289","P07948","LYN",0.8897231,0.88516,0.8871,"0","1"
"290","P55211","CASP9",0.8894263,0.88687,0.886676,"0","1"
"291","P14679","TYR",0.8893573,0.88405,0.888373,"0","0"
"292","Q9Y5X5","NPFFR2",0.8893022,0.87664,0.886725,"0","0"
"293","O43187","IRAK2",0.8889945,0.87935,0.888882,"0","0"
"294","P54756","EPHA5",0.8882244,0.88575,0.889215,"0","0"
"295","P05231","IL6",0.8878728,0.88222,0.885929,"1","0"
"296","P15692","VEGFA",0.8877514,0.88489,0.886695,"1","0"
"297","P11473","VDR",0.8874822,0.88208,0.885139,"1","0"
"298","P41240","CSK",0.8872564,0.88618,0.887635,"0","0"
"299","Q14571","ITPR2",0.8872081,0.86913,0.882289,"0","0"
"300","Q9Y6Q6","TNFRSF11A",0.886617,0.87802,0.885753,"0","0"
"301","Q9NYM4","GPR83",0.8862438,0.88489,0.888671,"0","0"
"302","P41146","OPRL1",0.8861228,0.88349,0.890152,"0","0"
"303","Q8NER1","TRPV1",0.8860296,0.88069,0.887257,"0","0"
"304","P33151","CDH5",0.8859884,0.87387,0.883259,"0","0"
"305","P14616","INSRR",0.8857075,0.88622,0.888107,"0","0"
"306","P13569","CFTR",0.8856975,0.88646,0.88609,"0","0"
"307","P16035","TIMP2",0.8854734,0.88122,0.887077,"0","0"
"308","P01023","A2M",0.885437,0.88413,0.883552,"0","0"
"309","O14727","APAF1",0.8853145,0.88511,0.881436,"0","0"
"310","P04035","HMGCR",0.8852631,0.87398,0.881833,"0","0"
"311","P33527","ABCC1",0.8852006,0.87613,0.884628,"0","0"
"312","Q8N122","RPTOR",0.8844267,0.88276,0.882601,"0","0"
"313","P49767","VEGFC",0.8841196,0.88557,0.884771,"0","0"
"314","Q13285","NR5A1",0.8835937,0.87791,0.883637,"0","0"
"315","Q16539","MAPK14",0.8831161,0.87907,0.880392,"0","1"
"316","Q14573","ITPR3",0.88304,0.87103,0.878784,"0","0"
"317","P45452","MMP13",0.8828545,0.86983,0.877682,"0","0"
"318","P42081","CD86",0.8828086,0.87646,0.879935,"0","0"
"319","P40763","STAT3",0.8818939,0.87486,0.878935,"0","1"
"320","P21918","DRD5",0.8817029,0.87562,0.882581,"0","0"
"321","P01241","GH1",0.8814647,0.88204,0.881724,"0","0"
"322","O95180","CACNA1H",0.8810615,0.88155,0.882333,"1","0"
"323","Q02156","PRKCE",0.8808433,0.87608,0.878599,"0","0"
"324","P15260","IFNGR1",0.8804825,0.86597,0.878706,"0","0"
"325","P03956","MMP1",0.8799698,0.8717,0.878781,"0","0"
"326","Q16611","BAK1",0.8798018,0.87956,0.881945,"0","0"
"327","P11229","CHRM1",0.8791847,0.87842,0.880268,"0","0"
"328","P47712","PLA2G4A",0.8783707,0.86679,0.875157,"0","0"
"329","Q15848","ADIPOQ",0.8783157,0.88219,0.881804,"0","0"
"330","P30518","AVPR2",0.8780468,0.87651,0.87711,"0","0"
"331","P11802","CDK4",0.8778795,0.87,0.876135,"0","1"
"332","P31391","SSTR4",0.8778063,0.87608,0.881962,"0","0"
"333","P51679","CCR4",0.8775262,0.86454,0.878033,"0","0"
"334","P01019","AGT",0.876256,0.87724,0.875984,"0","0"
"335","P34998","CRHR1",0.8761234,0.87365,0.877579,"0","0"
"336","P19320","VCAM1",0.876093,0.86285,0.872843,"0","0"
"337","P19174","PLCG1",0.8760512,0.87134,0.869595,"0","0"
"338","P32248","CCR7",0.875962,0.86953,0.878451,"0","0"
"339","P49815","TSC2",0.8748863,0.86546,0.873553,"0","0"
"340","O15530","PDPK1",0.8745894,0.87294,0.870999,"0","1"
"341","P04183","TK1",0.8743138,0.86933,0.873922,"1","0"
"342","P49841","GSK3B",0.8731539,0.85972,0.87144,"0","1"
"343","O14944","EREG",0.8731196,0.86743,0.873424,"0","0"
"344","P41595","HTR2B",0.8727571,0.86685,0.874693,"0","0"
"345","Q09428","ABCC8",0.8726953,0.87213,0.87239,"0","0"
"346","P46663","BDKRB1",0.8724626,0.87024,0.876488,"0","0"
"347","P26951","IL3RA",0.8724355,0.87403,0.872718,"0","1"
"348","P09211","GSTP1",0.8719074,0.87413,0.873222,"0","0"
"349","P29317","EPHA2",0.871685,0.86819,0.874126,"0","1"
"350","Q13233","MAP3K1",0.8715604,0.85841,0.869047,"0","0"
"351","Q92847","GHSR",0.8715398,0.86693,0.873837,"0","0"
"352","P17252","PRKCA",0.871317,0.86911,0.869724,"0","0"
"353","Q9Y2C9","TLR6",0.8711611,0.85954,0.869134,"0","0"
"354","Q14393","GAS6",0.8709126,0.86638,0.870915,"0","0"
"355","Q13555","CAMK2G",0.8708504,0.86339,0.868284,"0","0"
"356","P21731","TBXA2R",0.8701318,0.87042,0.871167,"0","0"
"357","Q16822","PCK2",0.8695416,0.8609,0.870268,"0","0"
"358","P25942","CD40",0.8694562,0.87047,0.868824,"0","1"
"359","P32302","CXCR5",0.8691505,0.8645,0.871743,"0","0"
"360","P29597","TYK2",0.8689016,0.86764,0.866505,"0","0"
"361","O76074","PDE5A",0.8686913,0.86333,0.866675,"1","0"
"362","P49682","CXCR3",0.8686687,0.85326,0.870494,"0","0"
"363","P24941","CDK2",0.8685429,0.85975,0.867434,"0","1"
"364","Q13651","IL10RA",0.8684151,0.8598,0.869678,"0","0"
"365","P28907","CD38",0.8680009,0.86952,0.867523,"0","1"
"366","P08473","MME",0.8678205,0.86399,0.866974,"0","0"
"367","Q13490","BIRC2",0.867303,0.86509,0.865554,"0","0"
"368","Q13418","ILK",0.8672119,0.8677,0.867195,"0","0"
"369","Q15399","TLR1",0.866997,0.86016,0.862861,"0","0"
"370","P21462","FPR1",0.8667733,0.86038,0.869283,"0","0"
"371","P00352","ALDH1A1",0.8666497,0.86274,0.867431,"0","0"
"372","P05771","PRKCB",0.8665541,0.85735,0.864716,"0","1"
"373","P42338","PIK3CB",0.8664938,0.85975,0.863849,"0","1"
"374","O00574","CXCR6",0.8664638,0.85901,0.867147,"0","0"
"375","P20701","ITGAL",0.8663875,0.85889,0.865758,"0","0"
"376","Q05513","PRKCZ",0.8660401,0.85158,0.861876,"0","0"
"377","P40189","IL6ST",0.865998,0.85907,0.864058,"0","0"
"378","Q99523","SORT1",0.865958,0.86399,0.868058,"0","0"
"379","P47898","HTR5A",0.8657712,0.86101,0.867655,"0","0"
"380","P20702","ITGAX",0.8651304,0.86547,0.867597,"0","0"
"381","P35346","SSTR5",0.8649624,0.86293,0.868834,"0","0"
"382","P29460","IL12B",0.8649054,0.85618,0.860949,"0","1"
"383","P46094","XCR1",0.8647393,0.84435,0.863739,"0","0"
"384","P48023","FASLG",0.8644155,0.85748,0.865365,"0","0"
"385","P49238","CX3CR1",0.8642089,0.85269,0.867824,"0","0"
"386","P42336","PIK3CA",0.8635104,0.85702,0.861148,"0","1"
"387","P09471","GNAO1",0.8632044,0.85342,0.86134,"0","0"
"388","Q99836","MYD88",0.8631663,0.84825,0.861562,"0","0"
"389","P06493","CDK1",0.8631342,0.84961,0.860843,"0","1"
"390","P54764","EPHA4",0.8629609,0.85702,0.863277,"0","0"
"391","P04040","CAT",0.862829,0.85606,0.861086,"0","0"
"392","Q13698","CACNA1S",0.8626394,0.86725,0.862276,"0","0"
"393","P07996","THBS1",0.8622488,0.85867,0.860017,"0","0"
"394","P12643","BMP2",0.8615329,0.84609,0.859876,"0","0"
"395","P41143","OPRD1",0.8613848,0.85819,0.864736,"0","0"
"396","P04637","TP53",0.8613719,0.85192,0.86011,"0","1"
"397","P29965","CD40LG",0.8608339,0.85646,0.860477,"0","1"
"398","P29322","EPHA8",0.8607017,0.85477,0.860606,"0","0"
"399","Q14643","ITPR1",0.8604914,0.83711,0.855157,"0","0"
