"","Cluster","Term","PValue","Adjusted_Pvalue","Genes"
"26",2,"extracellular matrix organization (GO:0030198)","1.566191818013551E-4","0.0015712974400646472","LAMB3;ITGB4;CDH1;LAMC2"
"27",2,"extracellular structure organization (GO:0043062)","1.583023540363637E-4","0.0015712974400646472","LAMB3;ITGB4;CDH1;LAMC2"
"28",2,"regulation of heart contraction (GO:0008016)","1.7584828486529795E-4","0.0016831192979964232","DSP;JUP;DSC2"
"29",2,"homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)","1.8336981245399282E-4","0.0016945899909541406","CDH6;CDH1;DSC2"
"30",2,"cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)","4.314102816159279E-4","0.003557745173143193","CDH6;CDH1;DSC2"
"31",2,"cell-cell adhesion (GO:0098609)","4.380805623646469E-4","0.003557745173143193","CDH6;CDH1;DSC2"
"32",2,"regulation of blood circulation (GO:1903522)","5.309166049096651E-4","0.004184872062229125","DSP;JUP;DSC2"
"33",2,"establishment of protein localization to membrane (GO:0090150)","7.430931370116208E-4","0.005689970306260411","TSPAN15;JUP;CDH1"
"34",2,"epithelium development (GO:0060429)","0.0010259686209668723","0.0074313402815978855","DSP;LAMB3;LAMC2"
"35",2,"regulation of membrane potential (GO:0042391)","0.0011458567755711943","0.008081305680344212","DSP;JUP;DSC2"
"36",2,"regulation of system process (GO:0044057)","0.0029629161371269815","0.01804685283522798","DSP;JUP;DSC2"
"37",2,"organ morphogenesis (GO:0009887)","0.0037935086143127497","0.022592451303018155","ITGB4;PERP;AQP5"
"38",2,"Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412","3.0378795226800507E-7","8.506062663504143E-6","DSP;JUP;ITGB4;DSC2"
"39",2,"ECM-receptor interaction Homo sapiens hsa04512","3.579256879776807E-5","5.010959631687529E-4","LAMB3;ITGB4;LAMC2"
"40",2,"Pathways in cancer Homo sapiens hsa05200","2.3032553907357414E-4","0.0021497050313533587","JUP;LAMB3;CDH1;LAMC2"
"41",2,"Focal adhesion Homo sapiens hsa04510","5.158818488699829E-4","0.0036111729420898802","LAMB3;ITGB4;LAMC2"
"42",2,"PI3K-Akt signaling pathway Homo sapiens hsa04151","0.0023330168076298235","0.009332067230519294","LAMB3;ITGB4;LAMC2"
"43",2,"Cell junction organization Homo sapiens R-HSA-446728","2.347596175998534E-13","1.3616057820791498E-11","CDH6;JUP;LAMB3;ITGB4;CDH1;LAMC2;PVRL4"
"44",2,"Cell-Cell communication Homo sapiens R-HSA-1500931","4.790309183623983E-12","1.389189663250955E-10","CDH6;JUP;LAMB3;ITGB4;CDH1;LAMC2;PVRL4"
"45",2,"Adherens junctions interactions Homo sapiens R-HSA-418990","8.480401964357009E-9","1.6395443797756883E-7","CDH6;JUP;CDH1;PVRL4"
"46",2,"Type I hemidesmosome assembly Homo sapiens R-HSA-446107","3.5177244941063E-8","5.100700516454135E-7","LAMB3;ITGB4;LAMC2"
"47",2,"Cell-cell junction organization Homo sapiens R-HSA-421270","1.3864241809503253E-7","1.6082520499023774E-6","CDH6;JUP;CDH1;PVRL4"
"48",2,"Laminin interactions Homo sapiens R-HSA-3000157","7.366398591736533E-7","7.120851972011982E-6","LAMB3;ITGB4;LAMC2"
"49",2,"Non-integrin membrane-ECM interactions Homo sapiens R-HSA-3000171","4.731115206933579E-6","3.920066885744966E-5","LAMB3;ITGB4;LAMC2"
"50",2,"Assembly of collagen fibrils and other multimeric structures Homo sapiens R-HSA-2022090","1.0162595189592482E-5","7.367881512454549E-5","LAMB3;ITGB4;LAMC2"
"51",2,"Collagen formation Homo sapiens R-HSA-1474290","3.98607061947541E-5","2.1017463266324887E-4","LAMB3;ITGB4;LAMC2"
"52",2,"Extracellular matrix organization Homo sapiens R-HSA-1474244","6.246001782153611E-5","3.0189008613742453E-4","LAMB3;ITGB4;CDH1;LAMC2"
"53",2,"Degradation of the extracellular matrix Homo sapiens R-HSA-1474228","7.706355543179465E-5","3.438220165418531E-4","LAMB3;CDH1;LAMC2"
"54",3,"neutrophil activation involved in immune response (GO:0002283)","1.2691437045951467E-7","8.350965576236065E-5","TYROBP;FCER1G;SYK"
"55",3,"positive regulation of myeloid leukocyte mediated immunity (GO:0002888)","3.3161472134701576E-7","9.109387049316058E-5","FCER1G;SYK;FCGR1A"
"56",3,"regulation of phagocytosis (GO:0050764)","4.1532159799313333E-7","9.109387049316058E-5","FCER1G;SYK;CD47;FCGR1A"
"57",3,"neutrophil activation (GO:0042119)","1.4526083270118207E-6","2.389540697934445E-4","FCER1G;TYROBP;SYK"
"58",3,"granulocyte activation (GO:0036230)","1.9906452422317635E-6","2.5411933691709467E-4","FCER1G;TYROBP;SYK"
"59",3,"integrin-mediated signaling pathway (GO:0007229)","2.885238963896206E-6","2.5411933691709467E-4","FCER1G;TYROBP;SYK;CD47"
"60",3,"myeloid leukocyte activation (GO:0002274)","3.170334241887267E-6","2.5411933691709467E-4","FCER1G;TYROBP;SYK;CD48"
"61",3,"regulation of myeloid leukocyte mediated immunity (GO:0002886)","3.4316620020442525E-6","2.5411933691709467E-4","FCER1G;SYK;FCGR1A"
"62",3,"positive regulation of inflammatory response (GO:0050729)","3.475796401601599E-6","2.5411933691709467E-4","FCER1G;IL18;CD47;FCGR1A"
"63",3,"adaptive immune response (GO:0002250)","3.974190298463977E-6","2.615017216389297E-4","FCER1G;SYK;IL18;FCGR1A"
"64",3,"regulation of leukocyte differentiation (GO:1902105)","4.396024828411932E-6","2.629622124631865E-4","TYROBP;SYK;PTPN6;LILRB4;C1QC"
"65",3,"leukocyte migration (GO:0050900)","6.287305965883503E-6","3.447539437959454E-4","FCER1G;SYK;CD48;PTPN6;CD47"
"66",3,"positive regulation of phagocytosis (GO:0050766)","9.688815339849341E-6","4.55374320972919E-4","FCER1G;CD47;FCGR1A"
"67",3,"myeloid cell activation involved in immune response (GO:0002275)","9.688815339849341E-6","4.55374320972919E-4","FCER1G;TYROBP;SYK"
"68",3,"regulation of leukocyte mediated immunity (GO:0002703)","1.1934489127694305E-5","4.8225524280973435E-4","FCER1G;SYK;PTPN6;FCGR1A"
"69",3,"positive regulation of leukocyte activation (GO:0002696)","1.2872486783506145E-5","4.8225524280973435E-4","FCER1G;SYK;IL18;PTPN6;CD47"
"70",3,"regulation of immunoglobulin mediated immune response (GO:0002889)","1.4568325796714109E-5","4.8225524280973435E-4","FCER1G;PTPN6;FCGR1A"
"71",3,"positive regulation of cell activation (GO:0050867)","1.5422675217649916E-5","4.8225524280973435E-4","FCER1G;SYK;IL18;PTPN6;CD47"
"72",3,"coagulation (GO:0050817)","1.5693712473838628E-5","4.8225524280973435E-4","FCER1G;SYK;CD48;PTPN6;CD47;ADRA2C"
"73",3,"blood coagulation (GO:0007596)","1.5693712473838628E-5","4.8225524280973435E-4","FCER1G;SYK;CD48;PTPN6;CD47;ADRA2C"
"74",3,"regulation of B cell mediated immunity (GO:0002712)","1.570609485653805E-5","4.8225524280973435E-4","FCER1G;PTPN6;FCGR1A"
"75",3,"positive regulation of response to wounding (GO:1903036)","1.6371039825096234E-5","4.8225524280973435E-4","FCER1G;IL18;CD47;FCGR1A"
"76",3,"hemostasis (GO:0007599)","1.6856946177239954E-5","4.8225524280973435E-4","FCER1G;SYK;CD48;PTPN6;CD47;ADRA2C"
"77",3,"activation of immune response (GO:0002253)","1.873196384957244E-5","5.135680088757777E-4","C1QB;FCER1G;SYK;PTPN6;FCGR1A;C1QC"
"78",3,"lymphocyte mediated immunity (GO:0002449)","3.419074218146609E-5","8.999003342161874E-4","FCER1G;PTPN6;FCGR1A"
"79",3,"regulation of ERK1 and ERK2 cascade (GO:0070372)","3.790920053917436E-5","9.375359945696335E-4","SLC9A3R1;SYK;TREM2;PTPN6"
"80",3,"regulation of endocytosis (GO:0030100)","4.1723729341091915E-5","9.659300070455212E-4","FCER1G;SYK;CD47;FCGR1A"
"81",3,"adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)","4.2571383289240295E-5","9.659300070455212E-4","FCER1G;IL18;FCGR1A"
"82",3,"regulation of response to wounding (GO:1903034)","4.948772994622865E-5","9.867553425641953E-4","FCER1G;SYK;IL18;CD47;FCGR1A"
"83",3,"regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)","6.610796813009997E-5","0.001181283845954788","SLC9A3R1;PTPN6;HCST"
"84",3,"leukocyte activation (GO:0045321)","6.970584909278221E-5","0.001181283845954788","FCER1G;TYROBP;SYK;IL18;CD48"
"85",3,"positive regulation of T cell activation (GO:0050870)","7.07904681144202E-5","0.001181283845954788","SYK;IL18;PTPN6;CD47"
"86",3,"regulation of peptidyl-tyrosine phosphorylation (GO:0050730)","7.07904681144202E-5","0.001181283845954788","SYK;TREM2;PTPN6;ADRA2C"
"87",3,"leukocyte mediated immunity (GO:0002443)","7.8832563879349E-5","0.0011898631670446632","FCER1G;PTPN6;FCGR1A"
"88",3,"monovalent inorganic cation transport (GO:0015672)","7.996617378790286E-5","0.0011898631670446632","SLC34A2;SLC9A3R1;ATP6V0E2;ATP5J2;ATP6V1B1"
"89",3,"regulation of leukocyte activation (GO:0002694)","8.603387686567508E-5","0.0011898631670446632","FCER1G;SYK;IL18;PTPN6;CD47"
"90",3,"positive regulation of response to external stimulus (GO:0032103)","8.986036981700472E-5","0.0011898631670446632","FCER1G;IL18;CD47;FCGR1A"
"91",3,"response to bacterium (GO:0009617)","8.986036981700472E-5","0.0011898631670446632","FCER1G;SYK;CD47;FCGR1A"
"92",3,"positive regulation of leukocyte mediated immunity (GO:0002705)","1.0887163260959316E-4","0.0013516515897568358","FCER1G;SYK;FCGR1A"
"93",3,"regulation of cell activation (GO:0050865)","1.2189765449680718E-4","0.001485345493683317","FCER1G;SYK;IL18;PTPN6;CD47"
"94",3,"positive regulation of endocytosis (GO:0045807)","1.665446137518253E-4","0.00188941992842588","FCER1G;CD47;FCGR1A"
"95",3,"positive regulation of lymphocyte activation (GO:0051251)","1.865745187499884E-4","0.002012557923565449","SYK;IL18;PTPN6;CD47"
"96",3,"regulation of lymphocyte mediated immunity (GO:0002706)","1.9545258891225063E-4","0.002074319411359047","FCER1G;PTPN6;FCGR1A"
"97",3,"regulation of inflammatory response (GO:0050727)","1.98608405390188E-4","0.002074354456297519","FCER1G;IL18;CD47;FCGR1A"
"98",3,"regulation of myeloid leukocyte differentiation (GO:0002761)","2.1426491905833048E-4","0.00216902025754433","TYROBP;LILRB4;C1QC"
"99",3,"regulation of T cell activation (GO:0050863)","2.3808044502484878E-4","0.002299395982322488","SYK;IL18;PTPN6;CD47"
"100",3,"organic hydroxy compound transport (GO:0015850)","2.4112207109460744E-4","0.002299395982322488","SLC9A3R1;FCER1G;SYK"
"101",3,"regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002822)","2.48160437794501E-4","0.0023327081152683094","FCER1G;PTPN6;FCGR1A"
"102",3,"regulation of immune effector process (GO:0002697)","2.5608934298522175E-4","0.002364834700883199","FCER1G;SYK;PTPN6;FCGR1A"
"103",3,"hydrogen ion transmembrane transport (GO:1902600)","2.853507455627043E-4","0.0024518477846510395","ATP6V0E2;ATP5J2;ATP6V1B1"
"104",3,"positive regulation of defense response (GO:0031349)","2.8691835777831315E-4","0.0024518477846510395","FCER1G;IL18;CD47;FCGR1A"
"105",3,"cell activation involved in immune response (GO:0002263)","3.1756514969554097E-4","0.0025482666890203165","FCER1G;TYROBP;SYK"
"106",3,"leukocyte activation involved in immune response (GO:0002366)","3.1756514969554097E-4","0.0025482666890203165","FCER1G;TYROBP;SYK"
"107",3,"regulation of adaptive immune response (GO:0002819)","3.1756514969554097E-4","0.0025482666890203165","FCER1G;PTPN6;FCGR1A"
"108",3,"regulation of T cell proliferation (GO:0042129)","4.382232175732551E-4","0.0032581053182345956","SYK;IL18;PTPN6"
"109",3,"regulation of vesicle-mediated transport (GO:0060627)","4.483320554260031E-4","0.0032778054718923338","FCER1G;SYK;CD47;FCGR1A"
"110",3,"negative regulation of immune system process (GO:0002683)","4.7659770758009715E-4","0.003301066227238989","FCER1G;PTPN6;LILRB4;C1QC"
"111",3,"proton transport (GO:0015992)","5.02589798260098E-4","0.0034448342422410887","ATP6V0E2;ATP5J2;ATP6V1B1"
"112",3,"hydrogen transport (GO:0006818)","5.253190192256105E-4","0.003527141986229099","ATP6V0E2;ATP5J2;ATP6V1B1"
"113",3,"positive regulation of immune effector process (GO:0002699)","5.253190192256105E-4","0.003527141986229099","FCER1G;SYK;FCGR1A"
"114",3,"immune response-activating cell surface receptor signaling pathway (GO:0002429)","5.560330398800382E-4","0.00362247267565411","FCER1G;SYK;PTPN6;FCGR1A"
"115",3,"positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)","5.974363645658097E-4","0.003816632309556338","SYK;TREM2;ADRA2C"
"116",3,"regulation of cell adhesion (GO:0030155)","6.373624754715313E-4","0.00403254335442565","SYK;IL18;PTPN6;CD47"
"117",3,"regulation of lymphocyte activation (GO:0051249)","6.9607755624768E-4","0.004362086019152128","SYK;IL18;PTPN6;CD47"
"118",3,"regulation of myeloid cell differentiation (GO:0045637)","8.353133639175971E-4","0.004996692667797989","TYROBP;LILRB4;C1QC"
"119",3,"regulation of lymphocyte proliferation (GO:0050670)","0.0010708728703854383","0.0060733356163188935","SYK;IL18;PTPN6"
"120",3,"regulation of mononuclear cell proliferation (GO:0032944)","0.0010891392138687376","0.0060733356163188935","SYK;IL18;PTPN6"
"121",3,"positive regulation of cell adhesion (GO:0045785)","0.0010891392138687376","0.0060733356163188935","SYK;PTPN6;CD47"
"122",3,"regulation of intracellular transport (GO:0032386)","0.0011533312442357036","0.006377243350479772","FCER1G;SYK;IL18;PTPN6"
"123",3,"regulation of leukocyte proliferation (GO:0070663)","0.0011834364624637888","0.006489176602509775","SYK;IL18;PTPN6"
"124",3,"cellular ion homeostasis (GO:0006873)","0.0012422752719176838","0.006646425110502452","SLC34A2;SLC9A3R1;ATP6V0E2;ATP6V1B1"
"125",3,"defense response to bacterium (GO:0042742)","0.0012424168519632242","0.006646425110502452","FCER1G;SYK;FCGR1A"
"126",3,"immune response-activating signal transduction (GO:0002757)","0.0017315826754727387","0.008764472311238938","FCER1G;SYK;PTPN6;FCGR1A"
"127",3,"inorganic cation transmembrane transport (GO:0098662)","0.0017315826754727387","0.008764472311238938","SLC34A2;ATP6V0E2;ATP5J2;ATP6V1B1"
"128",3,"immune response-regulating cell surface receptor signaling pathway (GO:0002768)","0.0017898795621168592","0.008922278423279494","FCER1G;SYK;PTPN6;FCGR1A"
"129",3,"Fc receptor mediated stimulatory signaling pathway (GO:0002431)","0.0018070387636645207","0.00893142810168395","FCER1G;SYK;FCGR1A"
"130",3,"platelet activation (GO:0030168)","0.0018324358567284697","0.00893142810168395","FCER1G;SYK;ADRA2C"
"131",3,"cellular chemical homeostasis (GO:0055082)","0.0019105638222792936","0.009176284635472811","SLC34A2;SLC9A3R1;ATP6V0E2;ATP6V1B1"
"132",3,"response to other organism (GO:0051707)","0.0020692613358869135","0.009725528278668493","FCER1G;SYK;CD47;FCGR1A"
"133",3,"positive regulation of intracellular transport (GO:0032388)","0.0021547997579746264","0.01005573220388159","FCER1G;SYK;IL18"
"134",3,"humoral immune response (GO:0006959)","0.0037090871341329476","0.01602292580297019","C1QB;TREM2;C1QC"
"135",3,"regulation of MAP kinase activity (GO:0043405)","0.004117769213724339","0.017257911736500733","SYK;PTPN6;ADRA2C"
"136",3,"regulation of homeostatic process (GO:0032844)","0.006076054551178493","0.023797880325449095","FCER1G;SYK;PTPN6"
"137",3,"positive regulation of cytokine production (GO:0001819)","0.006795399390794502","0.025941949029212086","FCER1G;SYK;IL18"
"138",3,"defense response to other organism (GO:0098542)","0.006852751576843342","0.025941949029212086","FCER1G;SYK;FCGR1A"
"139",3,"cytokine-mediated signaling pathway (GO:0019221)","0.007686331299392669","0.02857404516949365","PTPN6;IL2RG;FCGR1A"
"140",3,"Fc receptor signaling pathway (GO:0038093)","0.008317138107496704","0.030445828243391215","FCER1G;SYK;FCGR1A"
"141",3,"positive regulation of MAPK cascade (GO:0043410)","0.011374011802623214","0.03686748653264076","SYK;TREM2;ADRA2C"
"142",3,"regulation of protein serine/threonine kinase activity (GO:0071900)","0.013074645043411978","0.03961348882620334","SYK;PTPN6;ADRA2C"
"143",3,"nitrogen compound transport (GO:0071705)","0.017487230597532315","0.046965705033372496","SLC9A3R1;FCER1G;SYK"
"144",3,"cellular response to cytokine stimulus (GO:0071345)","0.01819260010549322","0.04750290027545452","PTPN6;IL2RG;FCGR1A"
"145",3,"regulation of cytokine production (GO:0001817)","0.019333124631333156","0.04949881714948333","FCER1G;SYK;IL18"
"146",3,"Natural killer cell mediated cytotoxicity Homo sapiens hsa04650","1.0300574216013337E-8","5.459304334487069E-7","FCER1G;TYROBP;SYK;CD48;PTPN6;HCST"
"147",3,"Osteoclast differentiation Homo sapiens hsa04380","4.4595626622106973E-7","1.1817841054858347E-5","TYROBP;SYK;TREM2;FCGR1A;LILRB4"
"148",3,"Phagosome Homo sapiens hsa04145","3.185758493147914E-5","5.348035520419046E-4","COMP;ATP6V0E2;FCGR1A;ATP6V1B1"
"149",3,"Staphylococcus aureus infection Homo sapiens hsa05150","4.036253222957771E-5","5.348035520419046E-4","C1QB;FCGR1A;C1QC"
"150",3,"Tuberculosis Homo sapiens hsa05152","5.6075459424314E-5","5.943998698977284E-4","FCER1G;SYK;IL18;FCGR1A"
"151",3,"Rheumatoid arthritis Homo sapiens hsa05323","1.665446137518253E-4","0.0014711440881411235","IL18;ATP6V0E2;ATP6V1B1"
"152",3,"Oxidative phosphorylation Homo sapiens hsa00190","5.253190192256105E-4","0.0032312219353287704","ATP6V0E2;ATP5J2;ATP6V1B1"
"153",3,"Systemic lupus erythematosus Homo sapiens hsa05322","5.486980644897911E-4","0.0032312219353287704","C1QB;FCGR1A;C1QC"
"154",3,"PI3K-Akt signaling pathway Homo sapiens hsa04151","0.0076248812960508046","0.016838279528778862","COMP;SYK;IL2RG"
"155",3,"Metabolic pathways Homo sapiens hsa01100","0.18348054698874816","0.2210106588728103","ATP6V0E2;ATP5J2;ATP6V1B1"
"156",3,"Immune System Homo sapiens R-HSA-168256","1.3327214325635516E-11","1.8258283626120658E-9","C1QB;FCER1G;SYK;IL18;TREM2;IL2RG;LILRB4;TYROBP;PTPN6;LGALS9;ATP6V0E2;FCGR1A;HCST;ATP6V1B1;C1QC"
"157",3,"Signal regulatory protein (SIRP) family interactions Homo sapiens R-HSA-391160","4.3076121493342537E-7","2.049822737497841E-5","TYROBP;PTPN6;CD47"
"158",3,"GPVI-mediated activation cascade Homo sapiens R-HSA-114604","4.488662928827389E-7","2.049822737497841E-5","FCER1G;SYK;PTPN6;IL2RG"
"159",3,"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell Homo sapiens R-HSA-198933","1.0535432577306282E-6","3.6083856577274016E-5","TYROBP;TREM2;FCGR1A;LILRB4;HCST"
"160",3,"Hemostasis Homo sapiens R-HSA-109582","2.7019510249835365E-6","6.409395380047363E-5","FCER1G;SYK;CD48;PTPN6;CD47;ADRA2C;IL2RG"
"161",3,"Innate Immune System Homo sapiens R-HSA-168249","2.807034473013444E-6","6.409395380047363E-5","C1QB;FCER1G;TYROBP;SYK;TREM2;IL2RG;FCGR1A;C1QC"
"162",3,"Cell surface interactions at the vascular wall Homo sapiens R-HSA-202733","6.022791794923142E-6","1.1787463941492436E-4","FCER1G;CD48;PTPN6;CD47"
"163",3,"Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002","1.0871083290290231E-5","1.8616730134622022E-4","FCER1G;SYK;PTPN6;ADRA2C;IL2RG"
"164",3,"Adaptive Immune System Homo sapiens R-HSA-1280218","2.2236772119286966E-5","3.3849308670470156E-4","TYROBP;SYK;TREM2;PTPN6;FCGR1A;LILRB4;HCST"
"165",3,"Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215","7.234466698929498E-5","9.010199434121284E-4","SYK;IL18;PTPN6;LGALS9;IL2RG;FCGR1A"
"166",3,"Signaling by Interleukins Homo sapiens R-HSA-449147","8.813348954748151E-5","0.0010061906723337472","SYK;IL18;PTPN6;LGALS9;IL2RG"
"167",3,"Interleukin-2 signaling Homo sapiens R-HSA-451927","2.1442838597140147E-4","0.0022597452983140003","SYK;PTPN6;LGALS9;IL2RG"
"168",3,"Cell-Cell communication Homo sapiens R-HSA-1500931","5.02589798260098E-4","0.004180864164621561","TYROBP;PTPN6;CD47"
"169",3,"DAP12 signaling Homo sapiens R-HSA-2424491","6.9607755624768E-4","0.005019085537154324","TYROBP;SYK;TREM2;IL2RG"
"170",3,"DAP12 interactions Homo sapiens R-HSA-2172127","8.163832733994972E-4","0.005325928974082434","TYROBP;SYK;TREM2;IL2RG"
"171",3,"Interleukin-3, 5 and GM-CSF signaling Homo sapiens R-HSA-512988","0.00363048663266453","0.01554302089609502","SYK;PTPN6;IL2RG"
"172",3,"Signaling by Insulin receptor Homo sapiens R-HSA-74752","0.005916915456090554","0.022193980664655263","IL2RG;ATP6V0E2;ATP6V1B1"
"173",3,"Fc epsilon receptor (FCERI) signaling Homo sapiens R-HSA-2454202","0.011374011802623214","0.03710094326093763","FCER1G;SYK;IL2RG"
"174",3,"Axon guidance Homo sapiens R-HSA-422475","0.02299101915421328","0.05942961554957018","TYROBP;TREM2;IL2RG"
"175",3,"Transmembrane transport of small molecules Homo sapiens R-HSA-382551","0.03319391845997971","0.0745502758855282","SLC34A2;ATP6V0E2;ATP6V1B1"
"176",3,"Developmental Biology Homo sapiens R-HSA-1266738","0.06631964523071077","0.12451063427542482","TYROBP;TREM2;IL2RG"
"177",3,"Signal Transduction Homo sapiens R-HSA-162582","0.06634508249712417","0.12451063427542482","SYK;PTPN6;ADRA2C;IL2RG;ATP6V0E2;ATP6V1B1"
"178",3,"Ras-Independent pathway in NK cell-mediated cytotoxicity Homo sapiens h nkcellsPathway","2.303146781996938E-6","2.7637761383963255E-5","SYK;IL18;PTPN6"
"179",4,"actin filament-based movement (GO:0030048)","2.542624779240524E-8","4.297035876916485E-6","TNNT1;TPM3;MYH14;TNNI3"
"180",4,"muscle filament sliding (GO:0030049)","1.0331048943235618E-6","5.819824238022732E-5","TNNT1;TPM3;TNNI3"
"181",4,"actin-myosin filament sliding (GO:0033275)","1.0331048943235618E-6","5.819824238022732E-5","TNNT1;TPM3;TNNI3"
"182",4,"actin-mediated cell contraction (GO:0070252)","1.8545538388357956E-6","7.835489969081236E-5","TNNT1;TPM3;TNNI3"
"183",4,"muscle contraction (GO:0006936)","2.740845030142912E-6","9.264056201883042E-5","TNNT1;TPM3;MYH14;TNNI3"
"184",4,"muscle system process (GO:0003012)","5.942868240246073E-6","1.6732298192904897E-4","TNNT1;TPM3;MYH14;TNNI3"
"185",4,"striated muscle contraction (GO:0006941)","6.930537713037532E-6","1.6732298192904897E-4","TNNT1;MYH14;TNNI3"
"186",4,"actin filament-based process (GO:0030029)","1.5671168579069032E-5","3.310534362328333E-4","TNNT1;TPM3;MYH14;TNNI3"
"187",4,"Striated Muscle Contraction Homo sapiens R-HSA-390522","7.337010066767086E-7","1.7608824160241007E-5","TNNT1;TPM3;TNNI3"
"188",4,"Muscle contraction Homo sapiens R-HSA-397014","2.7971585784439837E-6","3.356590294132781E-5","MYLPF;TNNT1;TPM3;TNNI3"
"189",5,"regulation of lymphocyte migration (GO:2000401)","4.6112732042060367E-11","2.997327582733924E-8","CCL20;CCL5;CCL4;CCL3;CCL2"
"190",5,"inflammatory response (GO:0006954)","3.037786388380275E-10","7.703125692833262E-8","CCL20;CCL5;CCL4;CCL3;SAA1;CCL2;MIF;ASS1"
"191",5,"macrophage chemotaxis (GO:0048246)","3.55528878130766E-10","7.703125692833262E-8","CCL5;CCL3;SAA1;CCL2"
"192",5,"regulation of lymphocyte chemotaxis (GO:1901623)","6.457516346207062E-10","1.0493464062586475E-7","CCL5;CCL4;CCL3;CCL2"
"193",5,"taxis (GO:0042330)","1.0910713228669612E-9","1.1819939331058746E-7","CCL20;CCL5;CCL4;CCL3;SAA1;CCL2;MIF"
"194",5,"chemotaxis (GO:0006935)","1.0910713228669612E-9","1.1819939331058746E-7","CCL20;CCL5;CCL4;CCL3;SAA1;CCL2;MIF"
