"","Gene.Symbol","Log2.Fold.Change."
"139","ANKS3",-2.155
"140","ANLN",2.435
"141","ANO4",-2.441
"142","ANO9",3.07
"143","ANPEP",2.404
"144","ANTXR2",-4.078
"145","ANXA3",3.309
"146","ANXA6",-2.247
"147","AOC1",2.067
"148","AOC3",-2.162
"149","AOX1",-4.503
"150","AP000251.3",2.159
"151","AP000280.66",-2.254
"152","AP000347.2",-2.014
"153","AP000347.4",-2.082
"154","AP000473.5",-3.157
"155","AP000473.8",-2.667
"156","AP002518.1",2.147
"157","AP003391.1",3.762
"158","AP1M2",6.172
"159","APBB1",-2.935
"160","APBB2",-2.066
"161","APBB3",-3.153
"162","APLP1",2.774
"163","APOBEC3B",2.683
"164","APOC2",2.003
"165","APOC4-APOC2",2.73
"166","APOD",-3.347
"167","AQP5",4.815
"168","ARGLU1",-2.657
"169","ARHGAP10",-3.34
"170","ARHGAP21",-2.313
"171","ARHGAP33",-2.244
"172","ARHGAP6",-3.325
"173","ARHGAP8",3.601
"174","ARHGEF25",-2.97
"175","ARHGEF28",-2.375
"176","ARHGEF6",-2.222
"177","ARL10",-2.186
"178","ARL4C",4.095
"179","ARMCX1",-2.483
"180","ARMCX4",-3.374
"181","ARNTL",-2.334
"182","ARPC1B",2.451
"183","ARRDC3",-2.151
"184","ART5",-2.013
"185","ARX",-5.962
"186","ASAP3",-2.555
"187","ASF1B",4.052
"188","ASIC3",-2.296
"189","ASIP",-4.861
"190","ASPG",-3.183
"191","ASPM",2.226
"192","ASRGL1",3.556
"193","ASS1",2.828
"194","ATG16L2",-2.82
"195","ATM",-2.399
"196","ATOH8",-3.186
"197","ATP10D",-2.143
"198","ATP1A2",-3.294
"199","ATP1B2",-3.476
"200","ATP5J2",2.177
"201","ATP6V0E2",2.162
"202","ATP6V1B1",5.214
"203","ATP8A1",-3.089
"204","ATP8B2",-2.543
"205","ATRNL1",-3.003
"206","AURKA",2.348
"207","AURKB",3.996
"208","AVPI1",-2.224
"209","B3GNT3",3.373
"210","BACE2",2.425
"211","BAHCC1",-3.126
"212","BAIAP2L1",3.228
"213","BAMBI",-4.447
"214","BBOX1",2.904
"215","BBOX1-AS1",2.398
"216","BCAM",4.1
"217","BCL11A",3.849
"218","BCL2",-2.256
"219","BDH2",-2.255
"220","BEGAIN",-2.252
"221","BEX1",-2.64
"222","BHLHE41",3.613
"223","BHMT2",-3.167
"224","BICC1",-2.263
"225","BID",2.48
"226","BIK",3.602
"227","BIRC5",4.214
"228","BLACAT1",2.328
"229","BMP7",4.724
"230","BNC2",-3.036
"231","BOLA2B",2.601
"232","BPI",-2.954
"233","BSPRY",2.941
"234","BTAF1",-2.904
"235","BTBD19",-2.542
"236","BTG2",-2.285
"237","BUB1",3.174
"238","BUB1B",2.462
"239","BZRAP1",-2.832
"240","C10orf10",-3.065
"241","C11orf52",2.105
"242","C11orf96",-5.745
"243","C12orf56",2.095
"244","C12orf75",2.288
"245","C15orf48",3.243
"246","C15orf59",-3.712
"247","C16orf45",-3.064
"248","C19orf33",5.927
"249","C19orf81",2.508
"250","C1orf106",4.519
"251","C1orf116",2.278
"252","C1orf186",6.73
"253","C1orf194",2.123
"254","C1orf210",4.188
"255","C1orf228",-2.137
"256","C1orf233",3.024
"257","C1QB",2.083
"258","C1QC",2.399
"259","C1QTNF1",-2.566
"260","C1QTNF4",-2.322
"261","C1QTNF7",-2.013
"262","C1R",-2.781
"263","C1S",-3.588
"264","C2",3.097
"265","C21orf62",-2.624
"266","C2orf54",2.104
"267","C2orf88",2.619
"268","C4A-AS1",-2.174
"269","C4B-AS1",-2.174
"270","C4BPB",-5.634
"271","C4orf48",3.176
"272","C5orf45",-2.379
"273","C6",-2.482
"274","C6orf132",4.65
"275","C7",-7.281
"276","C8orf46",-2.211
"277","C8orf49",-2.482
"278","C8orf88",-2.239
"279","C9orf116",2.134
"280","C9orf16",2.58
"281","C9orf72",-2.287
"282","CA9",2.557
"283","CAB39L",-2.072
"284","CACNA1G",-2.059
"285","CACNA1H",-5.947
"286","CACNB2",-3.343
"287","CACNG4",3.4
"288","CALD1",-2.568
"289","CAMK1",-2.216
"290","CAMK1G",-3.303
"291","CAMK2N1",-2.375
"292","CAMSAP3",3.416
"293","CAPG",3.269
"294","CAPN13",2.454
"295","CAPN3",-3.164
"296","CAPRIN2",-2.246
"297","CAPS2",-2.138
"298","CARKD",-2.5
"299","CASC15",-2.777
"300","CASP12",-2.355
"301","CASP9",-2.499
"302","CAV1",-2.315
"303","CBLC",4.256
"304","CBX7",-3.416
"305","CCBE1",-3.815
"306","CCDC159",-2.03
"307","CCDC167",2.718
"308","CCDC180",-2.391
"309","CCDC181",-2.159
"310","CCDC183",-2.351
"311","CCDC184",-2.093
"312","CCDC36",-2.024
"313","CCDC39",-3.125
"314","CCDC64",2.075
"315","CCDC64B",2.831
"316","CCDC68",-3.186
"317","CCDC69",-2.712
"318","CCDC93",-2.017
"319","CCL14",-2.947
"320","CCL2",2.675
"321","CCL20",2.375
"322","CCL21",-2.834
"323","CCL26",-3.539
"324","CCL28",2.715
"325","CCL3",2.393
"326","CCL4",2.053
"327","CCL5",2.701
"328","CCNA1",3.559
"329","CCNB1",2.99
"330","CCNB2",4.248
"331","CCND1",2.832
"332","CCNE1",3.564
"333","CCNL1",-2.156
"334","CCNL2",-2.97
"335","CD22",-5.077
"336","CD24",8.032
"337","CD302",-2.595
"338","CD47",2.62
"339","CD48",2.354
"340","CD52",3.424
"341","CD68",2.899
"342","CD74",3.6
"343","CD9",3.709
"344","CDAN1",-2.07
"345","CDC20",5.402
"346","CDC25C",2.412
"347","CDC45",2.5
"348","CDCA3",2.323
"349","CDCA5",3.512
"350","CDCA7",2.376
"351","CDCA8",3.284
"352","CDCP1",3.283
"353","CDH1",4.187
"354","CDH11",-3.222
"355","CDH23",-3.801
"356","CDH4",-2.454
"357","CDH6",3.847
"358","CDK1",3.397
"359","CDK10",-2.057
"360","CDK11A",-2.05
"361","CDK15",-2.611
"362","CDK5",2.103
"363","CDK5RAP3",-2.033
"364","CDKN1A",-2.994
"365","CDKN1C",-2.787
"366","CDKN2A",7.308
"367","CDKN3",3.296
"368","CDO1",-3.288
"369","CDON",-2.2
"370","CDR2L",2.858
"371","CDRT4",-2.696
"372","CDT1",3.489
"373","CEBPA",2.139
"374","CECR7",-2.788
"375","CELA3A",-2.231
"376","CELF2",-2.713
"377","CELF6",-3.195
"378","CELSR1",3.651
"379","CELSR2",3.581
"380","CENPA",3.577
"381","CENPF",3.443
"382","CENPM",3.002
"383","CENPN",2.256
"384","CENPT",-2.178
"385","CENPU",2.242
"386","CENPV",-2.272
"387","CENPW",2.474
"388","CEP126",-2.523
"389","CEP290",-2.302
"390","CEP55",3.412
"391","CEP95",-2.401
"392","CES1",-3.427
"393","CES4A",-3.421
"394","CES5AP1",-3.078
"395","CFAP126",2.841
"396","CFB",4.148
"397","CFD",-2.252
"398","CFH",-3.805
"399","CH17-431G21.1",-2.106
"400","CH507-42P11.8",-2.609
"401","CH507-513H4.3",2.84
"402","CH507-513H4.4",2.84
"403","CH507-513H4.5",2.501
"404","CH507-513H4.6",2.84
"405","CHAC1",2.295
"406","CHCHD10",3.252
"407","CHD1",-2.143
"408","CHD7",2.15
"409","CHGB",-3.01
"410","CHI3L1",5.584
"411","CHMP4C",3.241
"412","CHN2",-2.21
"413","CHODL",2.559
"414","CHRD",-4.222
"415","CHST3",-2.52
"416","CHST7",-3.937
"417","CHURC1-FNTB",2.232
"418","CIDEB",-2.91
"419","CIRBP",-3.412
"420","CITED2",-2.066
"421","CITED4",2.908
"422","CKAP2",2.062
"423","CKMT1A",2.831
"424","CKMT1B",3.112
"425","CKS1B",2.524
"426","CKS1BP3",3.936
"427","CKS2",4.009
"428","CLASRP",-2.209
"429","CLDN1",2.704
"430","CLDN10",4.208
"431","CLDN11",-4.333
"432","CLDN16",3.963
"433","CLDN3",8.923
"434","CLDN4",7.512
"435","CLDN5",-2.497
"436","CLDN6",5.022
"437","CLDN7",6
"438","CLDN9",2.698
"439","CLEC2B",-2.964
"440","CLEC3B",-2.635
"441","CLGN",2.38
"442","CLIC3",3.111
"443","CLIC5",3.622
"444","CLIP4",-2.367
"445","CLK1",-3.156
"446","CLK4",-2.453
"447","CLMP",-2.017
"448","CLPS",-2.334
"449","CLSTN2",-4.225
"450","CMAHP",-2.985
"451","CMTM6",2.279
"452","CMTM7",3.748
"453","CMTM8",3.294
"454","CMYA5",-4.804
"455","CNFN",3.528
"456","CNN1",-2.608
"457","CNRIP1",-3.634
"458","CNTN1",-2.885
"459","CNTNAP1",-3.195
"460","COL10A1",2.111
"461","COL12A1",-2.4
"462","COL14A1",-3.891
"463","COL15A1",-2.212
"464","COL16A1",-4.74
"465","COL21A1",-2.12
"466","COL23A1",2.161
"467","COL27A1",-3.361
"468","COL4A3",-2.576
"469","COL4A6",-3.087
"470","COL6A1",-2.963
"471","COL6A2",-3.033
"472","COL6A3",-2.634
"473","COL6A4P2",-3.482
"474","COL9A2",2.741
"475","COLEC11",-4.045
"476","COMP",2.398
"477","CORO2A",2.532
"478","CORO2B",-2.258
"479","CORO6",-2.304
"480","COX5A",2.026
"481","COX7A1",-3.4
"482","COX7B",2.339
"483","CP",6.562
"484","CPA1",-2.023
"485","CPEB1",-2.819
"486","CPED1",-3.919
"487","CPQ",-2.495
"488","CPZ",-3.921
"489","CRABP1",5.367
"490","CRABP2",6.719
"491","CRB2",2.262
"492","CRB3",4.238
"493","CREBZF",-2.524
"494","CRIP1",4.637
"495","CRIP2",2.402
"496","CRIPAK",-2.224
"497","CRISPLD2",-2.905
"498","CRMP1",-2.048
"499","CROCCP3",-3.021
"500","CRTAC1",2.597
"501","CRY2",-2.567
"502","CRYGD",-2.718
"503","CSAD",-2.663
"504","CSDC2",-5.9
"505","CSGALNACT1",-3.094
"506","CSPG4P11",-2.346
"507","CSPG4P12",-3.017
"508","CSPG5",2.018
"509","CST1",2.59
"510","CSTA",-2.008
"511","CTA-363E19.2",-2.196
"512","CTB-31O20.6",-2.457
"513","CTB-50L17.14",-4.053
"514","CTB-50L17.9",-2.265
"515","CTB-55O6.8",2.733
"516","CTC-250I14.3",3.172
"517","CTC-301O7.4",-2.41
"518","CTC-439O9.1",-2.227
"519","CTC-524C5.2",-2.584
"520","CTC-529I10.1",-2.142
"521","CTC-529I10.2",-2.009
"522","CTC1",-2.049
"523","CTCFL",2.412
"524","CTD-2012J19.2",-2.676
"525","CTD-2020K17.4",2.113
"526","CTD-2033D15.2",-2.432
"527","CTD-2036P10.6",-2.024
"528","CTD-2054N24.2",-2.257
"529","CTD-2228K2.7",-3.29
"530","CTD-2270P14.1",-2.064
"531","CTD-2287O16.1",-3.187
"532","CTD-2297D10.2",-3.936
"533","CTD-2303H24.2",-3.539
"534","CTD-2311M21.3",-2.268
"535","CTD-2325P2.4",2.891
"536","CTD-2332E11.2",-2.848
"537","CTD-2373N4.3",-3.017
"538","CTD-2396E7.11",3.157
"539","CTD-2521M24.5",-2.056
"540","CTD-2537I9.12",-2.245
"541","CTD-2545G14.4",-3.828
"542","CTD-3035K23.7",-4.353
"543","CTD-3092A11.2",-2.671
"544","CTH",-2.22
"545","CTHRC1",3.1
"546","CTIF",-2.34
"547","CTNNAL1",-2.911
"548","CTRB1",-2.192
"549","CTRB2",-2.202
"550","CTSK",-2.048
"551","CTSS",2.249
"552","CTSV",2.913
"553","CTTN",-2.156
"554","CTXN1",4.304
"555","CXADR",3.495
"556","CXCL1",2.243
"557","CXCL10",5
"558","CXCL11",2.822
"559","CXCL16",2.827
"560","CXCL17",4.291
"561","CXCL9",2.335
"562","CXCR4",3.293
"563","CXorf57",-3.253
"564","CXXC5",4.48
"565","CYBA",3.235
"566","CYP11A1",-3.952
"567","CYP27A1",-2.052
"568","CYP2S1",3.433
"569","CYP4B1",3.177
"570","CYP4F12",-2.952
"571","CYP4X1",2.026
"572","DACT1",-2.943
"573","DACT3",-2.724
"574","DAPK1",-2.895
"575","DAPL1",5.795
"576","DBNDD1",2.315
"577","DCDC2",2.665
"578","DCHS1",-2.229
"579","DCLK1",-2.295
"580","DCN",-4.393
"581","DCTPP1",2.254
"582","DCUN1D4",-2.168
"583","DDIT4",-4.145
"584","DDR2",-2.833
"585","DDX17",-2.554
"586","DDX26B",-2.086
"587","DEFB1",5.25
"588","DEGS2",2.124
"589","DENND1C",2.227
"590","DENND2A",-3.51
"591","DENND2D",2.418
"592","DENND4A",-2.023
"593","DEPDC1",2.235
"594","DEPDC1B",2.157
"595","DERL3",2.238
"596","DES",-3.972
"597","DFNA5",-2.433
"598","DFNB31",-2.385
"599","DFNB59",-2.022
"600","DGKD",-2.769
"601","DHCR24",2.857
"602","DHRS2",-2.963
"603","DHX38",-2.171
"604","DIO3",-3.823
"605","DIO3OS",-6.782
"606","DIP2A",-2.161
"607","DIRAS3",-4.174
"608","DLG4",-2.318
"609","DLGAP5",2.926
"610","DLK1",-7.613
"611","DMD",-2.147
"612","DMPK",-2.654
"613","DMRTC1B",-2.534
"614","DMTF1",-2.636
"615","DMTN",2.517
"616","DNAAF3",2.428
"617","DNAJB13",3.159
"618","DNAJC12",-2.488
"619","DNAJC22",2.143
"620","DNM3OS",-3.164
"621","DOC2A",-2.885
"622","DOCK10",-2.751
"623","DOK5",4.614
"624","DOK7",3.656
"625","DOPEY1",-2.389
"626","DPF3",-2.886
"627","DPT",-2.774
"628","DPY19L2",-4.151
"629","DPYD",-2.107
"630","DSC2",3.274
"631","DSP",4.367
"632","DST",-3.78
"633","DTL",2.34
"634","DTX3",-2.301
"635","DUSP1",-2.746
"636","DUSP26",-4.002
"637","DUSP6",2.402
"638","DUXAP8",2.085
"639","DYNC1I1",-2.049
"640","DYNC2H1",-2.172
"641","DZIP1",-2.642
"642","DZIP1L",-2.437
"643","E2F1",2.013
"644","E2F8",2.154
"645","EBF1",-2.171
"646","EBF4",-2.349
"647","ECE2",2.973
"648","ECEL1",-5.151
"649","ECHDC2",-3.671
"650","ECM2",-3.962
"651","ECT2",3.377
"652","EDA2R",-2.151
"653","EDN2",2.076
"654","EDNRA",-2.815
"655","EFCAB1",-2.896
"656","EFCC1",-2.303
"657","EFEMP1",-4.02
"658","EFHD1",-2.717
"659","EFS",-3.205
"660","EGFL6",3.248
"661","EGFL8",-3.209
"662","EGLN3",2.39
"663","EHBP1",-2.013
"664","EHF",4.656
"665","ELF3",7.063
"666","ELFN1-AS1",2.687
"667","ELL2",-2.451
"668","ELMO3",2.264
"669","ELN",-2.151
"670","ELOVL6",2.38
"671","EMILIN1",-3.369
"672","EMILIN3",-2.63
"673","EML5",-2.626
"674","EMX2",2.095
"675","ENG",-2.808
"676","ENGASE",-3.124
"677","ENOSF1",-2.219
"678","ENOX1",-2.526
"679","ENPP1",-2.288
"680","ENPP6",-2.579
"681","SEMA3F",3.497
"682","HS3ST1",-3.019
"683","TFPI",-2.838
"684","RBM5",-3.074
"685","SLC7A2",-4.203
"686","RBM6",-2.94
"687","HSPB6",-4.414
"688","PDK4",-5.067
"689","PRSS22",3.311
"690","PRKAR2B",-2.467
"691","YBX2",2.256
"692","TNFRSF12A",4.099
"693","TTC22",2.659
"694","PRSS21",5.04
"695","RHBDF1",-2.676
"696","LUC7L",-2.539
"697","SPAG9",-2.666
"698","PLEKHG6",2.454
"699","MGST1",3.495
"700","IL32",2.701
"701","PKD1",-2.465
"702","IFFO1",-3.568
"703","NISCH",-2.198
"704","TYROBP",3.283
"705","NR1H4",-3.326
"706","MAMLD1",-2.02
"707","TACC3",2.6
"708","MTMR11",-3.195
"709","RUFY3",-3.08
"710","RUNX3",2.292
"711","PLEKHB1",3.235
"712","FHL1",-2.494
"713","NLRP2",2.896
"714","SLC45A4",2.005
"715","TYMP",2.354
"716","VIM",-2.703
"717","RTEL1-TNFRSF6B",-2.127
"718","FAS",-2.103
"719","HMGB3",3.017
"720","TIMP2",-3.124
"721","TUBG2",-2.288
"722","FAM65C",-3.327
"723","PHKA2",-2.006
"724","YTHDC2",-2.4
"725","SCML1",-3.188
"726","RAD51",2.372
"727","PRSS8",6.435
"728","ENTPD2",2.1
"729","LY75",2.115
"730","SYNE2",-2.759
"731","PHF21B",-2.239
"732","TRAF1",-2.286
"733","LAMC2",3.724
"734","UNKL",-2.094
"735","MON2",-2.033
"736","SLC6A16",-2.381
"737","SPA17",2.5
"738","WISP2",-6.367
"739","EYA2",5.187
"740","SNCAIP",-3.671
"741","NTN1",2.001
"742","ERBB3",4.024
"743","MTHFD2",2.146
"744","SPI1",2.208
"745","MPPED2",2.439
"746","TRO",-3.057
"747","NAV3",-2.815
"748","PRR11",2.622
"749","RASGRP2",-2.097
"750","PITX1",2.48
"751","MAOB",-4.427
"752","TGFBR3",-3.642
"753","GNB5",-2.635
"754","FGF10",-2.881
"755","SMG6",-2.023
"756","FGF22",-2.13
"757","FSTL3",-2.584
"758","ST6GALNAC1",2.289
"759","ST6GALNAC2",3.304
"760","PTPN21",-2.084
"761","RPL31",-2.038
"762","TRIP13",2.801
"763","TRIB2",-2.657
"764","HMMR",2.789
"765","MRVI1",-2.793
"766","SCARB1",-2.365
"767","MCM2",2.474
"768","ST6GAL1",2.762
"769","GLI2",-2.013
"770","TUBE1",-2.299
"771","GTSE1",2.119
"772","TTC38",-2.042
"773","PLD1",-2.957
"774","SEC31B",-3.173
"775","PLXNA2",-2.518
"776","TPD52",4.381
"777","RAP1GAP",2.601
"778","STXBP2",2.856
"779","UBE2T",4.14
"780","PPP1R12B",-2.877
"781","NAALAD2",-2.897
"782","LAMP3",2.696
"783","ITM2A",-4.544
"784","FKBP7",-2.188
"785","RAPGEF3",-2.193
"786","EPB41L2",-2.389
"787","SMARCA2",-2.584
"788","SESN1",-2.955
"789","NDC80",2.65
"790","MEF2C",-2.096
"791","PCDHGA2",-2.081
"792","PGR",-2.831
"793","EPB41L3",-2.28
"794","GRHL2",3.105
"795","GCKR",-3.718
"796","MAPRE3",-2.761
"797","MECOM",3.479
"798","IGSF9",3.721
"799","TTC39A",2.704
"800","RAD54L",2.042
"801","SNX10",2.372
"802","PPP1R15A",-2.024
"803","MMP2",-2.006
"804","NID2",-2.617
"805","PHACTR3",-2.756
"806","TFAP2C",3.4
"807","TPX2",4.732
"808","SLC4A11",3.285
"809","SLC23A2",-2.616
"810","SLC8B1",-2.904
"811","OAS1",2.742
"812","FXYD3",5.415
"813","HEPH",-2.433
"814","LAG3",-2.493
"815","LTBP4",-3.138
"816","LYZ",2.735
"817","KIF4A",2.363
"818","PITPNM2",-3.121
"819","RAPGEF4",-2.642
"820","SEL1L3",2.52
"821","MYO15A",-2.178
"822","NLRP1",-3.098
"823","PITPNM3",-2.632
"824","JPH4",-3.066
"825","SLC22A17",-2.36
"826","SEMA6A",-2.468
"827","TYRO3",-3.756
"828","XXbac-B461K10.4",-2.053
"829","PTGS1",5.016
"830","SEMA4G",-2.151
"831","TREM2",2.588
"832","FKBP5",-3.306
"833","PCSK5",-2.428
"834","TSPAN15",3.485
"835","MISP",3.798
"836","IZUMO4",-4.005
"837","RASSF7",2.925
"838","LZTR1",-2.312
"839","SUSD2",2.446
"840","LRP5L",-2.113
"841","TPTEP1",-2.775
"842","KDELR3",2.558
"843","SUN2",-2.451
"844","NEFH",-2.936
"845","HMOX1",-2.084
"846","SYNGR1",-3.232
"847","FAM118A",-2.174
"848","ST13",-2.216
"849","PMM1",-2.368
"850","KHNYN",-2.006
"851","SRSF5",-2.739
"852","PAPLN",-2.714
"853","REC8",2.239
"854","NFATC4",-4.086
"855","MMP9",3.29
"856","GINS1",2.178
"857","NINL",-2.85
"858","SGK2",-2.011
"859","MYBL2",4.894
"860","WFDC2",8.645
"861","FAM83D",3.418
"862","SYNDIG1",2.528
"863","TNNC2",-2.182
"864","ZNF516",-2.404
"865","POLI",-2.56
"866","RBBP8",2.03
"867","MXRA5",2.323
"868","PRPS2",-2.064
"869","MCF2",-2.412
"870","PLS3",-2.111
"871","SMARCA1",-2.332
"872","PCSK1N",3.003
"873","TAZ",-2.097
"874","VGLL1",4.06
"875","SYTL4",-4.934
"876","KLF5",3.583
"877","RGCC",2.296
"878","MSLN",8.236
"879","HSF4",-3.368
"880","PLLP",2.563
"881","MMP15",3.162
"882","ESRP2",3.012
"883","TAF1C",-2.7
"884","METRN",2.794
"885","RRN3P2",-2.404
"886","SYT17",2.438
"887","IGDCC4",-3.111
"888","HOMER2",2.623
"889","SFRP1",-2.82
"890","LAPTM4B",3.005
"891","NIPAL2",-2.622
"892","ESRP1",5.719
"893","UBXN8",-3.249
"894","MCM4",2.258
"895","TUBB4A",2.061
"896","SNRNP70",-2.648
"897","IL4I1",4.781
"898","TNNT1",5.079
"899","TJP3",4.128
"900","MYH14",4.614
"901","GLTSCR2",-2.122
"902","NKG7",2.205
"903","MEIS3",-2.826
"904","HAS1",-3.289
"905","RAB3D",2.131
"906","JAK3",-2.25
"907","MAG",-4.129
"908","LSR",4.591
"909","HPN",3.549
"910","PON3",-4.237
"911","VIPR2",-3.116
"912","TSPAN12",2.615
"913","NOD1",-2.312
"914","SERPINE1",-2.032
"915","SFRP4",-2.517
"916","TSPAN13",2.238
"917","RARRES2",-2.142
"918","OGN",-4.732
"919","TLE4",-2.302
"920","MPDZ",-2.772
"921","PTGDS",2.544
"922","SPOCK2",2.455
"923","KAZALD1",2.177
"924","SH3PXD2A",-2.258
"925","UBE2S",2.597
"926","KRT23",4.261
"927","RNF43",2.47
"928","SEP4",-2.413
"929","RASD1",-2.312
"930","SYNGR2",2.198
"931","KAT2A",-2.672
"932","EZH1",-3.091
"933","LUC7L3",-2.35
"934","HLF",-4.396
"935","WSB1",-3.218
"936","SLC9A3R1",2.527
"937","PMP22",-2.566
"938","NMU",4.036
"939","MAPK10",-2.938
"940","WFS1",-2.627
"941","SH3D19",-2.183
"942","LRP2BP",-2.374
"943","NCAPG",2.526
"944","ZBTB16",-4.547
"945","FNBP4",-2.083
"946","UNC93B1",2.804
"947","NRXN2",-2.04
"948","ST3GAL4",-2.846
"949","TRIM3",-2.351
"950","FOLR1",8.425
"951","FOLR3",3.221
"952","PITPNM1",2.174
"953","NDUFS8",2.066
"954","P3H3",-2.83
"955","PRPF40B",-2.286
"956","LIN7A",-2.078
"957","KRT18",5.838
"958","TNS2",-3.202
"959","FOXM1",3.956
"960","RAD51AP1",2.749
"961","SCNN1A",5.047
"962","OAS3",2.389
"963","OAS2",3.276
"964","MGP",-2.645
"965","RASAL1",3.435
"966","RERGL",-3.003
"967","VDR",2.067
"968","STX2",-2.175
"969","GAPDH",2.302
"970","GNB3",-3.423
"971","PTPN6",2.699
"972","FGFR1OP2",-2.154
"973","FAM184A",-2.162
"974","UST",-2.004
"975","MDGA1",-2.441
"976","SOBP",-2.39
"977","PERP",2.746
"978","PHF1",-2.817
"979","PDE10A",-2.166
"980","SMOC2",-3.683
"981","TTK",3.038
"982","FAM46A",-2.322
"983","LY86",2.055
"984","KIF20A",3.514
"985","PCDHB15",-2.484
"986","RASGRF2",-3.132
"987","LMNB1",2.537
"988","PPWD1",-2.164
"989","WWC1",4.036
"990","PDGFRB",-3.469
"991","STC2",2.461
"992","UNC5A",2.117
"993","NPHP3",-3.425
"994","RBP1",-2.947
"995","UPK1B",2.8
"996","MRPL3",2.011
"997","NKTR",-3.369
"998","SLC4A3",-4.517
"999","FNDC4",-3.28
"1000","GRB14",-2.556
"1001","SPTBN1",-2.122
"1002","GALNT3",2.444
"1003","EVA1A",3.087
"1004","IGFBP5",-4.82
"1005","FHL2",-3.48
"1006","ID2",-2.085
"1007","SDC1",3.271
"1008","PRRX1",-2.371
"1009","ERRFI1",-3.12
"1010","LEPR",-2.566
"1011","RGS2",-3.402
"1012","SRSF11",-2.094
