gene_id,citation_score
CDH1,5706
CYRIB,15
APBB1IP,56
ALDH3B1,38
SLPI,928
E2F2,639
NECTIN4,334
SERPINA1,1052
RSPO4,61
MRPL14,12
DNMT3B,2407
PLS1,352
IL1RN,3592
CD52,1238
CLSPN,151
SFN,2478
HLA-DQB1,3668
SIX1,721
LYN,3594
PLK1,2971
CXADR,83
CD3E,540
CIT,8634
B3GNT2,44
MET,276508
TIMELESS,1146
DSC3,181
CKMT1A,20
LGR6,191
CLDN4,627
CCND1,6387
CKMT1B,16
CCNO,142
PTX3,2010
PTK6,248
C4orf48,3
TNFRSF21,172
PLPP2,14
PRKCI,118
ADGRE2,49
ARFGEF3,16
NKD2,86
SALL4,846
TTC30A,3
S100A2,304
PPL,2003
CD7,2691
OVGP1,105
CCL5,8493
USP18,351
PCP4,144
ORC6,101
LAPTM5,113
GZMB,2459
LAMC2,472
FOXM1,2251
UBE2T,147
WDR62,124
RAD54L,180
DARS2,103
CDK1,5957
GNGT1,29
NAA38,16
CX3CR1,3143
ALPL,1060
DEPDC1,91
BID,19500
CHI3L1,1596
TK1,778
KRT5,612
NHERF1,466
HOXB4,429
SPON1,119
MAP4K1,52
SLC34A2,287
SH2D2A,92
BAIAP2L1,46
STXBP2,160
MYCN,3302
IFI27,273
NACC1,102
FOXQ1,207
SPC25,106
CLDN10,99
TEC,6593
C1QC,159
TONSL,54
SYTL1,40
TUBB4B,44
SLC12A5,143
NUDT14,7
CCR1,1807
HDAC9,455
SPINT1,238
ESPN,202
NINJ2,59
CD200R1,259
KCNK15,19
CEBPA,1906
STC2,353
UBE2C,434
GINS1,67
NEK2,489
BCL11A,706
MFAP5,81
THY1,6210
LLGL2,46
ACKR2,100
EYA4,144
CLEC5A,115
HMMR,249
CLIC3,48
MPZL2,35
CD9,2704
TES,8760
IDO1,2039
NDUFS8,70
ST14,577
CCL28,357
DSC2,297
FGFR3,3416
H2BC4,0
ANXA3,190
WAS,0
KRT23,48
RUNX3,1560
ALOX5AP,517
POLR2F,32
DOK5,38
EXO1,924
CLIC5,79
NUF2,201
DTL,625
TNFSF10,3737
TLR7,4757
CD38,9643
PKMYT1,107
LRFN1,11
POMK,24
CXCL9,3397
KIF15,155
CADM1,579
AMN,1960
NETO2,77
MUC16,1352
RCOR2,65
RAD51AP1,95
HMGA1,1299
CDCA4,44
EIF4EBP1,1560
IQGAP3,85
FUT1,317
TREM1,1118
NCAPD2,36
NDUFA3,15
TNNC1,127
S100A9,2190
TNFAIP6,536
TYMS,818
PPP1R1B,390
CD2,18110
MLF1,110
PIGR,702
LMNB1,199
FGF18,396
LPAR3,129
ESRP2,77
CD6,697
EME1,191
LPAR5,108
BTC,3190
USP43,14
UBE2S,116
ESRRG,338
CYP4F3,84
IL23A,706
IL12RB1,347
VGLL1,32
ESRP1,197
KCNJ12,50
CCNB1,2285
HLA-DMB,427
CYC1,883
RAB3D,166
EGFL6,84
OAS2,278
CCL8,703
ITGB7,73
ATP5MC1,4
WNT7A,673
H4C9,1
GALNT5,15
MGST2,69
PACSIN1,88
NDUFA4L2,53
TNF,221351
ACOT4,23
CENPU,59
ESCO2,136
EPPK1,38
FKBP1C,1
IFI44L,185
FCER1G,173
CHST6,84
CD24,4011
CDC20,1650
ACTR3C,2
CAPG,249
COX5A,134
E2F7,224
MCM10,231
ROMO1,115
RAP1GAP,184
KIF6,83
NDC80,592
SULT2B1,124
IL2RB,374
RTN2,37
HLA-DRA,1221
CADM3,41
NRAS,7121
AIMP2,94
LSR,1449
FOLR1,357
RPS6KA1,451
NRARP,46
VDR,8882
POSTN,1643
ASF1B,113
MELK,659
ENHO,183
ADD2,80
PDLIM1,70
STXBP6,31
CMPK2,67
JUP,484
CGN,1290
CLDN1,1280
SLC16A3,195
TJP3,60
JPH1,27
ALDH3B2,26
H2AX,7218
DSP,5445
TP73,1569
SCNN1A,300
MUC5B,1207
KLK8,184
LYZ,688
IFIT2,254
KNSTRN,35
KRT6A,196
NOX4,3755
ERBB3,2709
ESPL1,146
KCNK12,25
PAK6,123
PTGS1,3039
H2BC11,1
HOXB7,318
ZC2HC1C,2
FBN3,53
FBN2,313
RIMKLA,4
PLPP4,11
CA12,388
LY86,119
SH2B2,59
MRPL47,12
CSF2RA,117
KRT14,716
ALG3,131
CFAP45,15
MUC4,1209
CDKN2B,2033
TNFAIP2,97
UBASH3B,54
ARL4C,65
TYMP,270
GMIP,34
ZBP1,389
SPN,3261
POU5F1,3858
SECTM1,26
CACNA1A,1045
H3C10,0
CCL2,20922
CFAP90,0
NOTUM,341
NQO1,5539
POLQ,184
CLDN6,114
KIF1A,351
H2AC8,1
ITGA4,277
SVOPL,14
PCDH19,242
RYR1,7993
CD74,1184
APOA1,3491
FOXP4,143
H4C8,3
GJB1,358
ZNF217,219
MYO5B,185
TEKT2,16
CD300A,124
MYO3B,22
BCL2L1,8522
LRRC46,7
GINS3,28
RAB27B,230
NRG4,130
MX2,1098
BNIPL,17
RAC3,299
CD109,265
ST6GALNAC5,36
KRT86,27
KIF2C,295
ATP6V0E2,8
CD86,12042
TGFA,481
NDUFB7,31
CLDN3,485
KIFC1,186
DNAH3,16
COL10A1,679
RNF43,369
STAT1,12059
IL2RG,1136
GATA3,5363
PIPOX,59
KIF9,31
BORA,4796
MSX1,1214
TGM1,253
GJB2,2564
RPL39L,19
ZNF492,6
CDK2AP2,40
RGS19,63
PKM,1019
EXOSC4,25
GRHL1,64
MMP7,3046
C15orf48,21
RAB3IP,30
KIF4A,226
GRB7,309
TSPAN15,34
LAMTOR2,73
RAC2,917
VAV1,1025
E2F8,151
NGEF,50
SEMA3F,283
HLA-DPA1,363
MARVELD2,78
GPR37,144
ENKUR,12
TACSTD2,296
BIK,1275
MPPED2,28
CHST4,34
CDCP1,234
TSPAN33,32
GPRIN2,23
IL1B,9812
EPS8L1,11
PSMB9,173
COBL,103
COL23A1,30
TDO2,223
KRT8,425
WNT11,623
PCLAF,103
BAK1,1896
PLEKHH1,4
UPK3B,21
IFIT1,577
SLC44A4,56
SULT1C2,56
MICB,735
CXCL10,8876
RORC,1288
PTPN6,1532
PIERCE1,6
ECT2,384
IL32,626
BMP7,3269
CACNA1F,184
RFXANK,87
HLA-DRB1,10656
CD8A,573
PNP,6777
BEND3,142
RMI2,75
H4C3,4
CYP2J2,707
AURKB,1367
NELL2,103
E2F3,789
CHAC2,16
AP1S3,40
LTF,1484
CNIH2,37
FANCA,687
NTN1,738
SH3RF2,18
CENPW,60
ESM1,509
DEPDC1B,54
CDC25C,1461
FOLH1,1490
FAM3B,64
P2RY6,35
GDF15,2514
WNT7B,427
ERBB4,2501
RAD51,5831
ASPM,510
TNNI1,90
SELL,6836
CCL4,14603
GMNC,40
CLDN7,302
FBP1,548
BLM,5420
MRPL13,32
LEF1,2086
SPP1,4958
H2BC9,3
IGF2BP2,650
APOBEC3B,399
KRT18,409
TFF3,1057
ORC1,375
DUSP23,17
IL2RA,1993
SLC7A7,198
CXCL11,1585
MYCL,137
KCP,315
PPP1CA,98
KIF11,820
SPI1,1314
LAMA5,154
CDKN3,184
VANGL1,163
RET,11194
ILDR1,49
UHRF1,696
CD96,234
CDCA8,205
KLHL14,22
CDR2L,26
B3GNT3,42
CRB3,484
MYBL2,478
TNFSF15,467
PRICKLE3,13
CDT1,656
DYRK1B,164
CA9,2015
SPTBN2,98
ITGB4,363
EPCAM,9825
DCTPP1,24
CACNG4,36
RACGAP1,173
MSR1,611
ANPEP,188
IRF6,507
XRCC2,430
RBBP8,287
SLC7A1,219
NDUFB9,33
LSM4,62
CCNE1,1061
NEIL3,151
TPX2,684
PMAIP1,738
TYROBP,602
FCGR3A,763
LRFN4,20
AGR2,449
OAS3,199
APLP1,286
CDH6,108
BANK1,117
BCAM,425
OAS1,681
TPD52,183
CARD9,539
SLC2A1,3562
CHMP4C,64
REC8,418
H3C8,0
BUB1,1284
LSP1,316
KLC3,19
RIPK3,1999
PITX1,479
SCARA3,53
TUBA1B,57
DNAH5,183
PTPN3,82
GPSM3,18
DOK7,193
JCHAIN,219
LRP8,139
HP,99196
PRKCZ,130
CACNA1B,334
CXCR3,4275
NCF1,369
KIF20A,301
PKP3,91
WNT2,612
SPC24,79
CCR5,10827
TACC3,369
BARX2,61
HMGA2,1858
SEMA3A,1503
CKS1B,191
TTC30B,4
COL9A2,167
SMKR1,1
WNT10A,400
SLC35F2,26
SHISA9,18
UQCRFS1,57
RAD54B,91
CDKN2A,13656
KCNQ3,527
CLU,2364
TMEM30B,13
TNFAIP8L2,130
MAPK15,63
MYB,9106
MARS2,31
TNFSF13B,1362
TXK,90
FSBP,58
GINS4,36
GAPDH,8509
PYCR1,158
NDUFB3,28
IKBKE,1238
UNC5B,231
RABIF,29
NCAPH,71
CLDN16,118
OLR1,1066
CLDN9,51
RGS1,310
GRIN2A,429
CBLC,381
HTR3A,265
RIPK4,100
H2AC11,1
MATK,1410
CDCA7,85
H2BC12,2
TUBA1C,52
IL4I1,124
S100A1,521
FZD2,254
HLA-DRB5,548
FAAP24,35
XDH,800
NOL4L,11
CD4,186553
LCN2,3659
RASSF7,42
MRPL15,21
NMU,1511
UNC93B1,175
NRTN,249
SIGLEC14,49
C1QA,313
GIPC1,174
WWC1,174
FEN1,874
MCM4,448
LAIR1,216
TNNT1,141
MYH14,115
LCK,3794
CXCL17,104
ADGRG1,168
CDC6,1059
KPNA2,312
CABLES1,61
WDR93,2
RASAL1,78
COX5B,136
BCAT1,265
BUB1B,471
RRM2,906
MYL11,0
ITGA3,228
MZB1,69
EMB,3502
ITGB6,168
TRIB1,271
PLAU,569
COX6B1,35
CTSS,564
CCL20,2596
FCGR2B,591
CHAC1,155
CKAP2,74
HOXB5,195
TMC6,76
MISP,192
COL26A1,8
HOOK1,73
SMC4,175
AQP9,637
ITGB8,131
CDC45,594
KRT19,448
RAB25,189
TFAP2C,281
KCNN4,641
PBK,782
MAFB,701
GRIN2D,93
