"","gene_id","uniprot_id","cluster","betweenness","degree_centrality","pocket","druggability","num_drug_pockets","struct_score"
"74","ADGRG7","Q96K78",1,0,1,0.222,0.577,4,79.3450376180567
"75","LRATD1","Q96KN4",1,0,1,0.231,0.5,1,77.8620836965998
"76","PRAP1","Q96NZ9",1,901,5,0.167,0.279,0,62.1780740740741
"77","DEPDC7","Q96QD5",1,808,5,0.173,0.364,0,73.9360978578384
"78","CDX2","Q99626",1,0,1,0.243,0.23,0,63.2776624472574
"79","CDC6","Q99741",1,25,2,0.244,0.922,2,69.8394804010939
"80","MIEN1","Q9BRT3",1,0,1,0.305,0.489,1,75.7802066590126
"81","FSD1L","Q9BXM9",1,80,2,0.301,0.842,2,84.9308801722076
"82","SLC19A3","Q9BZV2",1,0,2,0.137,0.955,2,82.1684011184545
"83","KRT23","Q9C075",1,0,1,0.182,0.382,0,78.4309623926562
"84","CHST6","Q9GZX3",1,0,1,0.409,0.92,1,90.8008349389852
"85","CDT1","Q9H211",1,458,4,0.393,0.234,0,74.9077927289896
"86","LRRC19","Q9H756",1,0,1,0.227,0.272,0,73.8344504021448
"87","SPON1","Q9HCB6",1,163,3,0.074,0.461,1,77.4239362876518
"88","MLXIPL","Q9NP71",1,80,2,0.136,0.581,1,55.8019512195122
"89","PIPOX","Q9P0Z9",1,0,1,0.845,0.789,3,94.4158505154639
"90","PPP1R1B","Q9UD71",1,80,2,0.401,0.285,0,66.0413842333954
"91","DCDC2","Q9UHG0",1,0,1,0.253,0.168,0,63.2421516944594
"92","VAV3","Q9UKW4",1,0,2,0.067,0.117,0,84.4155135292406
"93","PADI2","Q9Y2J8",1,422,4,0.432,0.403,1,94.3839034016162
"94","HIF3A","Q9Y2N7",1,0,1,0.259,0.614,1,65.8892514734774
