symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CDK4	0.7445565799569805	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6227068933869035	No data	No data	No data	0.9852925813788217	No data	0.3981682274459157	0.9229772476990096	No data	No data	No data	0.9509631045887039	No data	No data	1	0	0	1	1	1	0.7359749999999998	1	-0.3299645759533236	-0.8662472832343582	-1	No data	-1	-0.24917499999999998	-1	-1
POLE	0.73926476181295	No data	No data	0.2785700719367037	No data	No data	No data	No data	No data	No data	0.7001778390862753	No data	No data	No data	0.9756787398262052	No data	No data	0.8334267210607424	No data	No data	No data	0.19988561484069164	No data	No data	1	1	0	0	0	0	0.5231850000000001	No data	-0.3334027922483851	-0.7053397434311622	-1	No data	-1	No data	-1	0
FGFR2	0.7312656240447116	0.8501213024973092	No data	No data	No data	No data	No data	No data	No data	No data	0.7050938226965915	0.39689912688390827	No data	0.607930797611621	0.1891739958226096	No data	0.48391291489885035	0.9748918370719101	No data	0.7599134970145264	No data	0.9174458262948738	0.08816412479180225	No data	1	0	1	1	1	1	0.8781950000000002	1	-0.7973536153365284	-0.9838098899912064	0	No data	-1	-0.29354499999999994	1	0
TOP2A	0.722166458942908	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	0.982927117231281	No data	No data	0.7412455668055016	No data	No data	No data	0.7620762259340293	0.2866137370671268	No data	1	0	0	1	1	1	0.4643999999999998	No data	-0.7740154198791415	-0.8408730869635028	-1	-1	No data	-0.25538750000000016	0.5	0
GRIN2A	0.7209482946805743	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.893195867327965	0.607930797611621	No data	No data	0.7810222052649298	No data	No data	0.9441498091971382	No data	No data	No data	0.05015429080295874	No data	No data	1	0	0	1	1	0	0.7643450000000002	1	-0.9013336111689936	-0.32209325976066877	0	-1	-1	0	1	0.5
PIK3CB	0.7159422567044957	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8570765220994967	No data	No data	0.8274613634158176	0.5914795694822761	No data	0.32129142653774173	0.9790317722297859	No data	No data	No data	0.8212380301485765	No data	No data	0.75	0	0	1	1	0	0.7663550000000001	1	-0.8220462596374245	-0.9228208451359599	0	No data	No data	0	-1	-1
CSF3R	0.6956210472948885	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6757741859284179	No data	No data	No data	0.9726922526085688	No data	No data	No data	No data	No data	No data	0.11736013705421762	No data	No data	1	1	1	0	0	0	0	No data	-0.17784955198999797	-0.7884090736282103	0	No data	-1	0	0.5	0
NTRK3	0.682066650161354	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.893195867327965	No data	No data	0.8274613634158176	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.6429377217154787	No data	No data	1	0	0	1	1	0	0.8629300000000001	1	-0.8126693061054386	-0.9569009982013101	0	No data	-1	0	0.5	0
TUBB4B	0.671504905178516	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9976428787957664	No data	No data	0.8478788368582205	No data	No data	No data	0.03343619386863916	0.0163055707924051	No data	1	0	0	1	1	0	1	No data	-0.5708480933527817	-0.022060910089015118	0	No data	No data	-0.9606750000000002	-1	-1
TUBB2B	0.66922830382885	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9976428787957664	No data	No data	0.741504556724663	No data	No data	No data	0.05015429080295874	0.4442339788280286	No data	1	0	0	1	1	0	1	No data	-0.8603875807459888	-0.8100362853664372	0	No data	No data	-0.9887650000000001	1	0
TUBB2A	0.668252194709209	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9976428787957664	No data	No data	0.741504556724663	No data	No data	No data	0.38298277517278406	0.030595288898073867	No data	1	0	0	1	1	0	1	No data	-0.6755574077932902	-0.17077894484562928	0	No data	No data	-0.9887650000000001	0.75	-1
TOP1	0.6675293471487367	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.45643230612858215	No data	No data	No data	0.9350025449798796	No data	No data	0.7412455668055016	No data	No data	No data	0.6195326165464867	No data	No data	1	0	0	1	1	1	0.8627450000000003	0	-0.996978537195249	No data	-1	-1	No data	0	-1	-1
TERT	0.6650922298941363	0.831624629298596	No data	0.19757750922377684	No data	No data	No data	No data	No data	No data	0.8429314618235775	No data	No data	No data	0.13678442946261474	No data	No data	0.336139788756878	No data	No data	No data	0.8570541336821826	No data	No data	0.75	0	0	1	1	0	0	1	-0.7657845384455095	-0.7960963888256584	0	No data	No data	No data	No data	No data
POLD2	0.6647323260138666	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9756787398262052	No data	No data	0.8334267210607424	No data	No data	No data	0.6109704515996791	No data	No data	1	0	0	0	0	1	0.7121549999999999	No data	-0.2681808710147947	No data	-1	No data	No data	No data	-1	-1
TUBB	0.6642577532208256	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9976428787957664	No data	No data	0.7449416750862422	No data	No data	No data	0.06839221473130737	0.029851977689100872	No data	1	0	0	1	1	0	1	1	-0.7677641175244843	No data	-1	No data	No data	-0.9380624999999998	-1	-1
TUBB6	0.6637295502640048	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9976428787957664	No data	No data	0.741504556724663	No data	No data	No data	0.04010654567576667	0.04285939200803295	No data	1	0	0	1	1	0	0.8766800000000003	No data	0.16284642633882052	0	0	No data	No data	-0.7757850000000002	-1	-1
POLE2	0.656873351439472	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9756787398262052	No data	No data	0.8334267210607424	No data	No data	No data	No data	0.029236712764346435	No data	1	0	0	0	0	0	0.5066400000000002	No data	-0.17993331944155033	-0.8151437838902827	-1	No data	No data	No data	0.5	0
POLD3	0.6564783759259082	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9756787398262052	No data	No data	0.8334267210607424	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	No data	-0.8430923108981038	-0.18137999769864382	-1	No data	No data	No data	-1	-1
SCN4A	0.6488071642525688	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9579105367409241	No data	No data	0.8652794393496345	No data	No data	No data	0.03647584785669726	0.028598255888595672	No data	1	0	0	1	1	0	0.626905	No data	-0.6547197332777662	-0.8611597120123354	0	No data	No data	-0.2715150000000001	0.75	0.5
CD274	0.6381913619352027	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.66019595923962	No data	No data	No data	0.8626465722364516	No data	No data	No data	No data	No data	No data	0.9936345819341263	No data	No data	1	1	0	1	1	0	0	No data	-0.13617420295894977	-0.7577508103051469	0	No data	No data	0	0.5	0
KIT	0.6357226254184273	No data	No data	0.19453785523571876	No data	No data	No data	No data	No data	No data	0.7020541687085334	No data	No data	No data	0.7949065610180205	No data	No data	0.9699739866566945	No data	No data	No data	0.8909337766414508	0.38192640459112515	No data	1	1	0	1	1	1	0.13934500000000014	1	-0.748906022087935	-0.9831290176435922	0	-1	-1	0	0.5	0
CYP19A1	0.6340715087740342	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9968393349032868	No data	No data	No data	No data	No data	No data	0.8337805479342666	0.20120051775999284	No data	1	0	0	1	1	0	0	1	-0.04188372577620336	-0.9630605211051365	0	-1	No data	0	1	0
ESR2	0.631131212434149	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.989536308044253	No data	No data	No data	No data	No data	No data	0.9725322531869198	No data	No data	1	0	0	1	1	1	0.43395999999999973	0	0.12346322150448019	-0.9720731238657754	0	-1	No data	0	0.5	0
SCN1A	0.6310308190421823	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9216622682878737	No data	No data	0.8652794393496345	No data	No data	No data	0.012158615952232422	0.36106201309564295	No data	1	1	0	1	1	0	0.9079149999999998	No data	-0.9937486976453428	-0.9660827336174976	0	-1	No data	-0.6864100000000001	0.5	0.5
SCN10A	0.6309953265242728	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9216622682878737	No data	No data	0.8652794393496345	No data	No data	No data	No data	0.3652740222080911	No data	1	1	0	1	1	0	0.11043000000000021	0	0.13033965409460313	-0.7917212535510667	0	-1	No data	-0.04140999999999995	No data	No data
RAF1	0.6308749917319351	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.846033149566494	No data	No data	No data	0.49894110102476974	No data	No data	0.9527629481052905	0.3039653988058105	No data	No data	0.5678548342479312	No data	No data	1	1	0	1	1	1	0.8842599999999997	0	-0.6851427380704314	-0.9802558416521034	0	-1	-1	0	-1	-1
SCN5A	0.629892569404013	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9216622682878737	No data	No data	0.8652794393496345	No data	No data	No data	0.28364619449044154	No data	No data	1	1	0	1	1	0	0.7146399999999999	No data	-0.7443217336945197	-0.9769187502023968	0	-1	No data	-0.09056999999999996	1	0.5
SCN3A	0.6284106446277179	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9216622682878737	No data	No data	0.8652794393496345	No data	No data	No data	0.012158615952232422	0.16711255517358867	No data	1	1	0	1	1	0	0.7399999999999999	No data	-0.9175869972911023	-0.45806794162493086	0	No data	No data	-0.6875	0.5	0.5
PDGFRB	0.6278610274705663	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6893009908072479	No data	No data	No data	0.7949310896019703	No data	No data	0.9694646685521148	No data	No data	No data	0.9334583357692307	No data	No data	1	0	0	1	1	0	0.2721499999999999	1	-0.7209835382371328	-0.9833508289869114	0	-1	No data	0	-1	0
SCN9A	0.6264712746368609	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9216622682878737	No data	No data	0.8652794393496345	No data	No data	No data	0.030396539880581056	No data	No data	1	1	0	1	1	0	0.660465	1	-0.24901021046051264	-0.8488954393501088	0	No data	No data	-0.4693149999999999	0.5	0
SCN7A	0.6264607390473146	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9216622682878737	No data	No data	0.8652794393496345	No data	No data	No data	No data	0.02961667886440943	No data	1	1	0	1	1	0	0	No data	-0.15565742863096477	No data	0	No data	No data	0	0.5	0
SCN2A	0.6260606303538779	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9216622682878737	No data	No data	0.8652794393496345	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.9027450000000001	1	-0.9605126067930819	-0.7880557324349885	0	No data	No data	-0.6907724999999999	1	0.5
SCN11A	0.6260606303538779	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9216622682878737	No data	No data	0.8652794393496345	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0	No data	-0.10335486559699936	-0.2834589605852611	0	No data	No data	0	0.5	0.5
SCN8A	0.6260606303538779	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9216622682878737	No data	No data	0.8652794393496345	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.9318199999999998	No data	-0.9578037091060637	-0.9489068977715015	0	No data	No data	-0.4267675000000001	0.75	0.5
PDCD1	0.6259821178092474	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9346296367760574	No data	No data	0.5945286871149154	No data	No data	No data	0.9336297765123082	No data	No data	1	1	0	1	1	0	0	No data	-0.30516774327984997	-0.9382191581980626	0	No data	No data	No data	0.5	0.5
TYMS	0.6239923917458964	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9844107846546788	No data	No data	No data	No data	No data	No data	0.7678849908468258	0.16267808462404004	No data	1	0	0	1	1	1	0.4408949999999997	0	-0.5635549072723485	0	0	-1	No data	0	0.5	0
POLA1	0.6192204269619929	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9756787398262052	No data	No data	0.336139788756878	No data	No data	No data	0.039346632178752144	No data	No data	1	0	0	1	1	0	0.4005450000000003	No data	-0.9982287976661804	0	-1	No data	No data	0	-1	0
POLA2	0.6189352573210324	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9756787398262052	No data	No data	0.336139788756878	No data	No data	No data	0.01823792392834863	No data	No data	1	0	0	0	0	0	0.13879499999999964	No data	-0.31735778287143157	No data	-1	No data	No data	No data	-1	0
PARP1	0.6187798766682113	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8955898491200577	No data	No data	0.8626214555488337	No data	No data	No data	0.6492771081092223	No data	No data	1	0	0	1	1	1	0.6252450000000003	1	-0.5226088768493435	-0.8791717120524836	0	No data	No data	0	-1	-1
TUBB3	0.6155819242403516	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9976428787957664	No data	No data	No data	No data	No data	No data	0.29885287069437005	No data	No data	1	0	0	1	1	0	0.9888899999999999	1	-0.7348405917899563	-0.671510691216724	0	No data	No data	-0.78889	1	0
AKT3	0.6141216183670664	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4642834532278394	No data	No data	0.7599134970145264	0.6492943061677596	No data	No data	0.9753154832301566	No data	No data	No data	0.5362513568746357	0.08179853462917486	No data	0.75	0	0	1	1	0	0.9791249999999998	1	-0.9128985205251094	-0.33413240346252454	0	-1	No data	-0.5668050000000001	-1	-1
JAK1	0.6135794917003272	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8521605384891806	No data	No data	No data	0.17696128963366448	No data	No data	0.9569591824399375	0.36825995769190367	No data	No data	0.7490336772928349	No data	No data	1	0	0	1	1	0	0.7227049999999998	1	-0.8714315482392165	-0.9404746140460091	0	No data	-1	0	-1	-1
MDM2	0.6132185292006455	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8381820024672366	No data	No data	No data	0.06079307976116211	No data	0.2850327011654114	0.9723811328089553	No data	No data	No data	0.8856566343645278	No data	0.5673210203311647	0.75	0	0	1	1	1	0.024145000000000038	1	-0.9282142112940196	-0.9340163737996726	0	No data	No data	0	-1	-1
CACNA1D	0.6130593694494181	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8761776773179629	0.21062458560032746	No data	No data	0.06079307976116211	No data	No data	0.835990918484743	No data	No data	No data	0.06965873722633158	No data	No data	1	0	0	1	1	0	0.8195300000000003	No data	-0.8719524901021046	-0.9509097168963865	0	No data	-1	-0.19250250000000016	-1	0
VEGFA	0.6116039355542533	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.956334702499489	No data	No data	No data	No data	No data	No data	0.9823382265571333	0.026568862898717047	No data	1	0	1	1	1	0	0.18987499999999996	No data	-0.0866847259845801	-0.9927552407221324	0	-1	No data	0	-1	-1
GNRHR	0.6108921719164182	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9625946743578316	No data	No data	No data	No data	No data	No data	0.681612864660648	0.2054264036508169	0.2532639702850013	1	1	0	1	1	0	0.4664650000000002	1	-0.19649927068139195	-0.3485310605761707	0	No data	No data	0	1	1
FGFR4	0.6104330544912016	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6940504501635887	No data	No data	No data	0.18411717662097815	No data	No data	0.9749542785960268	No data	0.7599134970145264	No data	0.6175984790967057	0.013981508479294335	No data	1	1	1	1	1	0	0.5074800000000004	1	-0.0514690560533444	0	0	No data	-1	-0.02119750000000007	0.5	0
FDPS	0.6070826993947316	0.08942827905937685	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9674035307064401	No data	No data	No data	No data	No data	No data	0.397995406229728	No data	No data	1	0	0	1	1	1	0	1	-0.34798916440925187	No data	-1	-1	No data	No data	0.5	-1
TUBB4A	0.6068674108925487	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9976428787957664	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	0	1	No data	-0.29318608043342365	-0.7223711630726228	0	No data	No data	-0.9662175000000002	1	0
TUBB8	0.606497831037864	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9976428787957664	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	No data	No data	No data	No data	0	No data	No data	-0.90428	0.5	0.5
TUBB1	0.606497831037864	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9976428787957664	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.5898000000000003	No data	0.49906230464680146	-0.08949666429990372	0	No data	No data	-0.46785	0.5	0.5
ERBB3	0.6032439411707323	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6978031094081049	0.7315439398336246	No data	No data	0.19431493070526554	No data	0.2978860908296943	0.9745661391109449	No data	No data	No data	0.949943349188382	0.11888762606203084	No data	1	1	1	1	1	1	0.5342750000000003	0	-0.2790164617628673	-0.9663720077189322	0	No data	-1	0	-1	0
RRM1	0.599581823474886	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9755484093776965	No data	No data	No data	No data	No data	No data	0.20586994060776637	0.019109929521993356	No data	1	0	0	0	1	1	0.88005	No data	-0.9770785580329235	No data	-1	-1	No data	No data	-1	-1
FKBP1A	0.5971645108367466	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9518743210501888	No data	No data	No data	No data	No data	No data	0.608319094453837	No data	No data	1	0	0	1	1	1	0.12036999999999978	1	-0.44675974161283605	-0.9417127436625122	0	No data	No data	-0.88426	-1	-1
MT-ND6	0.5940131982042767	No data	No data	0.4741860221370644	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8570402732531152	No data	No data	No data	No data	No data	No data	0.06839221473130737	No data	No data	1	0	0	0	0	0	0	No data	No data	-0.26266227824436966	No data	No data	No data	No data	0.5	-1
POLE3	0.593514734369931	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9756787398262052	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	0	0	0	0.6258499999999998	No data	0.434986455511565	-0.7279090292495205	0	No data	No data	No data	-1	-1
POLD4	0.5931451545152463	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9756787398262052	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.1588799999999999	No data	0.19899979162325487	-0.05905544609812324	0	No data	No data	No data	0.5	-1
PRIM1	0.5931451545152463	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9756787398262052	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	No data	No data	0	0	0	0.4523800000000001	No data	-0.2703688268389248	-0.5294145467853534	-1	No data	No data	No data	0.5	-1
PRIM2	0.5931451545152463	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9756787398262052	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.46955000000000024	No data	0.15482392165034375	No data	-1	No data	No data	No data	0.5	-1
PTGS2	0.5910660101242332	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8719117045235689	No data	No data	0.5942447826343955	No data	No data	No data	0.9717244199557519	0.35780214615889955	No data	1	0	0	1	1	0	0.3377499999999998	0	-0.8072515107314024	-0.9747706328107875	0	-1	No data	-0.02317999999999998	0.5	0
DHFR	0.5861795885805801	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9557555552961474	No data	No data	No data	No data	No data	No data	0.1566671365562547	0.028440029553572575	No data	1	0	0	1	1	1	0.4919800000000002	0	-0.032090018753907046	-0.8860725421928369	-1	-1	No data	-0.799465	-1	-1
ADRA2A	0.5849251087108803	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8585745654809981	No data	No data	0.7136603226598907	No data	No data	No data	0.6096634003848144	0.0661765819205042	No data	1	1	0	1	1	0	0.6021500000000003	0	0.3796624296728486	-0.7860525957530664	0	-1	No data	0	0.5	0
PIK3R1	0.5838683233871919	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7076059334305238	0.6006180041401863	No data	No data	0.5914307887836519	No data	No data	0.986626203558145	No data	No data	No data	0.7021303392036099	0.0890962040977285	No data	0.75	0	0	1	1	0	0.7997250000000001	No data	-0.851531569076891	-0.9179821362752527	0	-1	-1	0	-1	-1
OPRM1	0.5814579307080762	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8548140577641118	No data	No data	0.7497976505604489	No data	No data	No data	0.25635867439796917	0.17748164762649077	No data	1	1	0	1	1	0	0.575	0	0.4585330277141071	-0.7312691704091201	0	-1	No data	0	0.5	0.5
RET	0.5793533024157861	No data	No data	0.6400802046253157	No data	No data	No data	No data	No data	No data	0.7001778390862753	No data	No data	No data	0.5012960590025564	No data	No data	0.9441498091971382	No data	No data	No data	0.8953033814072314	0.07697329884619564	No data	1	1	0	1	1	1	0.16965999999999964	1	-0.9630131277349447	-0.9425269638068248	0	No data	-1	0	0.5	0
TACSTD2	0.5787715039032335	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9033649717624944	No data	No data	No data	No data	No data	No data	0.9299422095289003	0.0977892194870744	No data	1	1	0	0	0	0	0	No data	0.635861637841217	-0.031038826058105984	0	No data	No data	0	0.5	0
NDUFA4	0.5780693278671356	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8570402732531152	No data	No data	0.7461748780781365	No data	No data	No data	0.012158615952232422	0.018721531442570022	No data	1	0	0	0	1	0	0.4444450000000003	No data	0.5390706397166076	No data	0	No data	No data	-0.07407500000000003	0.5	-1
ADRA2B	0.5766581724746439	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8585745654809981	No data	No data	0.7136603226598907	No data	No data	No data	0.03495602086266821	No data	No data	1	0	0	1	1	0	0.15555499999999967	0	No data	-0.8410782060696528	0	-1	No data	0	-1	0
NTRK2	0.5711546743141458	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8840288244172203	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.7527745606221121	0.3463155177745295	No data	1	1	0	1	1	0	0.6062049999999999	1	-0.9723900812669306	-0.9336029581546254	0	-1	No data	0	0.5	0
