"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000254066","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000254066",,,,"0.056",,,,"0.61","0.604"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000482841","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000482841","0.058",,,,,,,"0.619","0.612"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000352882","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000352882",,,,"0.186",,,,"0.842","0.815"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000328777","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000328777",,,,,,,,"0.572","0.572"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000368314","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000368314","0.045",,,"0.071",,,,"0.75","0.741"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000266031","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000266031","0.048",,,"0.045",,,,"0.497","0.492"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000376457","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000376457",,,,"0.095",,,,"0.407","0.372"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000259607","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000259607",,,,,,,,"0.437","0.437"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000332164","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000332164","0.044",,,,,,,"0.538","0.537"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000332737","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000332737","0.049",,,,,,,"0.599","0.596"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000332256","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000332256","0.112",,"0.91","0.045",,,,"0.973","0.689"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000296474","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000296474","0.109",,,"0.25",,,,"0.579","0.421"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000337224","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000337224","0.086",,,,,,,"0.681","0.666"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000226091","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000226091","0.074",,,,,,,"0.469","0.45"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000265362","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000265362",,"0.059",,,,,,"0.525","0.516"
"pp","9606.ENSP00000004531 (pp) 9606.ENSP00000265113","false","pp","9606.ENSP00000004531 (pp) 9606.ENSP00000265113","0.05",,,"0.05",,,,"0.403","0.392"
"pp","9606.ENSP00000001146 (pp) 9606.ENSP00000254521","false","pp","9606.ENSP00000001146 (pp) 9606.ENSP00000254521",,,,"0.309",,,,"0.425","0.203"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000417335","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000417335",,,,,,,,"0.664","0.665"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000374309","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000374309",,,,"0.071",,,,"0.561","0.547"
"pp","9606.ENSP00000004531 (pp) 9606.ENSP00000234256","false","pp","9606.ENSP00000004531 (pp) 9606.ENSP00000234256","0.05",,,"0.05",,,,"0.479","0.469"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000269141","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000269141",,,,,,,,"0.495","0.496"
"pp","9606.ENSP00000002829 (pp) 9606.ENSP00000317272","false","pp","9606.ENSP00000002829 (pp) 9606.ENSP00000317272","0.084",,,"0.25",,,,"0.422","0.227"
"pp","9606.ENSP00000004531 (pp) 9606.ENSP00000262352","false","pp","9606.ENSP00000004531 (pp) 9606.ENSP00000262352","0.071",,,"0.05",,,,"0.557","0.539"
"pp","9606.ENSP00000004531 (pp) 9606.ENSP00000320378","false","pp","9606.ENSP00000004531 (pp) 9606.ENSP00000320378","0.058","0.23",,"0.088",,,,"0.472","0.296"
"pp","9606.ENSP00000004982 (pp) 9606.ENSP00000364870","false","pp","9606.ENSP00000004982 (pp) 9606.ENSP00000364870","0.417",,,,,,,"0.668","0.456"
"pp","9606.ENSP00000004982 (pp) 9606.ENSP00000296755","false","pp","9606.ENSP00000004982 (pp) 9606.ENSP00000296755","0.083",,,"0.441",,,,"0.47","0.05"
"pp","9606.ENSP00000004531 (pp) 9606.ENSP00000470801","false","pp","9606.ENSP00000004531 (pp) 9606.ENSP00000470801","0.07",,,,,,,"0.414","0.396"
"pp","9606.ENSP00000004531 (pp) 9606.ENSP00000275230","false","pp","9606.ENSP00000004531 (pp) 9606.ENSP00000275230","0.045",,,"0.071",,,,"0.406","0.385"
"pp","9606.ENSP00000004982 (pp) 9606.ENSP00000248553","false","pp","9606.ENSP00000004982 (pp) 9606.ENSP00000248553","0.136",,,"0.548",,,,"0.902","0.77"
"pp","9606.ENSP00000004982 (pp) 9606.ENSP00000378199","false","pp","9606.ENSP00000004982 (pp) 9606.ENSP00000378199","0.105",,,"0.091",,,,"0.431","0.358"
"pp","9606.ENSP00000004982 (pp) 9606.ENSP00000252252","false","pp","9606.ENSP00000004982 (pp) 9606.ENSP00000252252",,,,"0.074",,,,"0.474","0.456"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000301455","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000301455","0.143",,,,,,,"0.739","0.708"
"pp","9606.ENSP00000004982 (pp) 9606.ENSP00000500990","false","pp","9606.ENSP00000004982 (pp) 9606.ENSP00000500990",,,,"0.292",,,,"0.432","0.232"
"pp","9606.ENSP00000004982 (pp) 9606.ENSP00000433560","false","pp","9606.ENSP00000004982 (pp) 9606.ENSP00000433560","0.216","0.07",,"0.304",,,,"0.525","0.174"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000415743","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000415743","0.203",,,,,,,"0.696","0.635"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000309477","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000309477","0.065",,,"0.071",,,,"0.583","0.559"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000256104","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000256104","0.15",,,,,,,"0.53","0.471"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000340684","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000340684","0.434",,,,,,,"0.529","0.202"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000312652","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000312652","0.049",,,,,,,"0.434","0.43"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000287820","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000287820","0.084",,,,,,,"0.651","0.635"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000264867","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000264867","0.11",,,"0.292",,,,"0.838","0.764"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000228027","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000228027","0.101",,,,,,,"0.433","0.396"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000389814","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000389814","0.053",,,,,,,"0.44","0.433"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000319814","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000319814","0.084",,,,,,,"0.624","0.607"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000497642","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000497642","0.106",,,,,,,"0.539","0.506"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000312649","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000312649","0.042",,,,,,,"0.605","0.605"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000492001","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000492001","0.057",,,,,,,"0.485","0.477"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000408025","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000408025","0.133",,,,,,,"0.455","0.398"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000348069","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000348069",,,,"0.067",,,,"0.565","0.553"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000320209","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000320209","0.059",,,,,,,"0.458","0.448"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000462521","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000462521","0.068",,,,,,,"0.514","0.501"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000368880","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000368880","0.064",,,,,,,"0.617","0.608"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000300055","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000300055","0.086",,,"0.07",,,,"0.421","0.374"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000276914","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000276914","0.133",,,"0.07",,,,"0.557","0.495"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000341044","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000341044","0.093",,,"0.091",,,,"0.493","0.435"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000422607","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000422607","0.108",,,,,,,"0.63","0.603"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000428205","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000428205","0.061",,,,,,,"0.486","0.475"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000320935","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000320935","0.058",,,,,,,"0.753","0.749"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000244289","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000244289","0.064",,,,,,,"0.522","0.511"
"pp","9606.ENSP00000005178 (pp) 9606.ENSP00000385523","false","pp","9606.ENSP00000005178 (pp) 9606.ENSP00000385523","0.049",,,,,,,"0.74","0.738"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000331736","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000331736","0.107",,,"0.045",,,,"0.642","0.615"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000335605","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000335605",,,,,,,,"0.437","0.437"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000478763","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000478763","0.049",,,"0.091",,,,"0.62","0.596"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000479955","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000479955","0.09",,,,,,,"0.426","0.396"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000259607","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000259607","0.084",,"0.5",,,,,"0.931","0.863"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000416996","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000416996","0.049",,,,,,,"0.441","0.436"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000259053","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000259053",,,,"0.045",,,,"0.41","0.408"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000370842","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000370842","0.122",,,,,,,"0.479","0.431"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000379140","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000379140","0.069",,"0.5",,,,,"0.893","0.789"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000497260","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000497260",,,,"0.8",,,,"0.8",
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000404131","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000404131",,,,,,,,"0.71","0.71"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000354416","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000354416","0.049",,"0.5",,,,,"0.562","0.155"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000241453","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000241453",,,,,,,,"0.519","0.52"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000248564","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000248564",,,,,,,,"0.447","0.447"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000365272","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000365272","0.067",,,"0.054",,,,"0.449","0.426"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000310585","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000310585",,,"0.4",,,,,"0.4",
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000480132","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000480132","0.067",,,"0.091",,,,"0.4","0.35"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000356438","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000356438","0.049",,,"0.046",,,,"0.633","0.629"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000265148","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000265148",,"0.403",,"0.094",,,,"0.44","0.048"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000252809","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000252809",,,,"0.067",,,,"0.491","0.477"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000267843","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000267843","0.077",,,"0.045",,,,"0.402","0.377"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000307259","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000307259",,,,,,,,"0.677","0.677"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000369442","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000369442","0.042",,,,,,,"0.47","0.47"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000312652","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000312652",,,,,,,,"0.411","0.412"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000385523","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000385523",,,,"0.077",,,,"0.519","0.501"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000376637","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000376637","0.058",,,,,,,"0.448","0.438"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000420298","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000420298","0.067",,,,,,,"0.834","0.83"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000286657","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000286657",,,,"0.053",,,,"0.44","0.433"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000457421","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000457421","0.087",,,"0.091",,,,"0.655","0.619"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000397863","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000397863","0.143",,,,,,,"0.592","0.543"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000355627","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000355627","0.086",,"0.5","0.051",,,,"0.666","0.322"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000225831","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000225831","0.096",,,,,,,"0.831","0.821"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000272928","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000272928","0.042",,"0.5",,,,,"0.652","0.333"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000346839","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000346839","0.047",,,"0.328",,,,"0.562","0.371"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000264498","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000264498","0.075",,,"0.045",,,,"0.971","0.97"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000455897","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000455897",,,,"0.045",,,,"0.627","0.626"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000417335","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000417335","0.059",,,,,,,"0.409","0.398"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000334448","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000334448",,,,"0.8",,,,"0.8",
"pp","9606.ENSP00000013222 (pp) 9606.ENSP00000363436","false","pp","9606.ENSP00000013222 (pp) 9606.ENSP00000363436","0.051",,,,,,,"0.41","0.404"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000363089","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000363089",,,,"0.091",,,,"0.586","0.564"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000385675","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000385675","0.064",,,,,,,"0.735","0.729"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000263686","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000263686","0.049",,,"0.045",,,,"0.453","0.447"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000427279","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000427279","0.067",,"0.5",,,,,"0.798","0.603"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000265171","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000265171",,,,,,,,"0.961","0.961"
"pp","9606.ENSP00000013222 (pp) 9606.ENSP00000363832","false","pp","9606.ENSP00000013222 (pp) 9606.ENSP00000363832","0.094",,,,,,,"0.609","0.587"
"pp","9606.ENSP00000013222 (pp) 9606.ENSP00000357643","false","pp","9606.ENSP00000013222 (pp) 9606.ENSP00000357643",,,,"0.045",,,,"0.409","0.407"
"pp","9606.ENSP00000013222 (pp) 9606.ENSP00000340684","false","pp","9606.ENSP00000013222 (pp) 9606.ENSP00000340684","0.056",,"0.9",,,,,"0.93","0.322"
"pp","9606.ENSP00000006053 (pp) 9606.ENSP00000368683","false","pp","9606.ENSP00000006053 (pp) 9606.ENSP00000368683","0.1",,,,,,,"0.404","0.366"
"pp","9606.ENSP00000020926 (pp) 9606.ENSP00000261205","false","pp","9606.ENSP00000020926 (pp) 9606.ENSP00000261205","0.19",,,,,,,"0.592","0.518"
"pp","9606.ENSP00000013222 (pp) 9606.ENSP00000312326","false","pp","9606.ENSP00000013222 (pp) 9606.ENSP00000312326","0.107",,,,,,,"0.446","0.406"
"pp","9606.ENSP00000013222 (pp) 9606.ENSP00000261733","false","pp","9606.ENSP00000013222 (pp) 9606.ENSP00000261733",,,,,,,,"0.475","0.475"
"pp","9606.ENSP00000014914 (pp) 9606.ENSP00000324277","false","pp","9606.ENSP00000014914 (pp) 9606.ENSP00000324277","0.045",,,,,,,"0.447","0.445"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000368880","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000368880",,,,,,,,"0.627","0.628"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000282561","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000282561","0.27",,,,,,,"0.427","0.248"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000353720","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000353720","0.042",,,,,,,"0.471","0.471"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000167586","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000167586","0.127",,,,,,,"0.496","0.447"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000346839","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000346839","0.191",,,,,,,"0.8","0.764"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000325120","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000325120","0.067",,,"0.045",,,,"0.48","0.464"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000269141","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000269141","0.074",,,,,,,"0.891","0.887"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000493906","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000493906","0.107",,,,,,,"0.474","0.436"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000265171","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000265171",,,,,,,,"0.732","0.732"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000327336","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000327336","0.143",,,,,,,"0.51","0.453"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000368632","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000368632","0.042",,,"0.052",,,,"0.408","0.401"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000348645","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000348645","0.053",,,,,,,"0.6","0.596"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000261921","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000261921","0.419",,,"0.059",,,,"0.511","0.179"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000217086","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000217086","0.047",,"0.5",,,,,"0.549","0.131"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000344352","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000344352","0.042",,,,,,,"0.489","0.489"
"pp","9606.ENSP00000020945 (pp) 9606.ENSP00000267101","false","pp","9606.ENSP00000020945 (pp) 9606.ENSP00000267101",,,,,,,,"0.401","0.402"
