external_gene_name,description,search_id,MeSH_count
FAU,FAU ubiquitin like and ribosomal protein S30 fusion ,FAU,30
RAD21,RAD21 cohesin complex component ,RAD21,136
BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase ,BTRC,42
CDH2,cadherin 2 ,CDH2,240
FZD4,frizzled class receptor 4 ,FZD4,74
RMI1,RecQ mediated genome instability 1 ,RMI1,26
CFAP276,cilia and flagella associated protein 276 ,CFAP276,0
SOX2,SRY-box transcription factor 2 ,SOX2,3188
CIMIP2B,ciliary microtubule inner protein 2B ,CIMIP2B,0
VAMP2,vesicle associated membrane protein 2 ,VAMP2,31
PIERCE2,piercer of microtubule wall 2 ,PIERCE2,0
AP2B1,adaptor related protein complex 2 subunit beta 1 ,AP2B1,6
DYNLL1,dynein light chain LC8-type 1 ,DYNLL1,16
FLT3LG,fms related receptor tyrosine kinase 3 ligand ,FLT3LG,19
HAUS4,HAUS augmin like complex subunit 4 ,HAUS4,2
CCND1,cyclin D1 ,CCND1,2754
WNT5A,Wnt family member 5A ,WNT5A,761
STAT1,signal transducer and activator of transcription 1 ,STAT1,2027
TRAF2,TNF receptor associated factor 2 ,TRAF2,389
VAV1,vav guanine nucleotide exchange factor 1 ,VAV1,132
HAUS1,HAUS augmin like complex subunit 1 ,HAUS1,4
GRIK3,glutamate ionotropic receptor kainate type subunit 3 ,GRIK3,6
H2BC21,H2B clustered histone 21 ,H2BC21,0
APOO,apolipoprotein O ,APOO,3
H3C12,H3 clustered histone 12 ,H3C12,0
CHML,CHM like Rab escort protein ,CHML,8
HLA-DQB2,"major histocompatibility complex, class II, DQ beta 2 ",HLA-DQB2,10
H2BC7,H2B clustered histone 7 ,H2BC7,0
ANK1,ankyrin 1 ,ANK1,24
NEDD4L,NEDD4 like E3 ubiquitin protein ligase ,NEDD4L,74
F7,coagulation factor VII ,coagulation factor VII ,45
MRPS34,mitochondrial ribosomal protein S34 ,MRPS34,2
TMED2,transmembrane p24 trafficking protein 2 ,TMED2,11
RBBP7,"RB binding protein 7, chromatin remodeling factor ",RBBP7,21
ELOB,elongin B ,ELOB,6
LSR,lipolysis stimulated lipoprotein receptor ,LSR,123
AGR2,"anterior gradient 2, protein disulphide isomerase family member ",AGR2,234
YKT6,YKT6 v-SNARE homolog ,YKT6,15
CDH23,cadherin related 23 ,CDH23,15
NEIL3,nei like DNA glycosylase 3 ,NEIL3,37
COL7A1,collagen type VII alpha 1 chain ,COL7A1,44
CXCR4,C-X-C motif chemokine receptor 4 ,CXCR4,4212
IGF1R,insulin like growth factor 1 receptor ,IGF1R,2585
PRKACB,protein kinase cAMP-activated catalytic subunit beta ,PRKACB,60
RPS3A,ribosomal protein S3A ,RPS3A,7
SKP2,S-phase kinase associated protein 2 ,SKP2,912
CCT6A,chaperonin containing TCP1 subunit 6A ,CCT6A,40
PAK1,p21 (RAC1) activated kinase 1 ,PAK1,570
MRPL17,mitochondrial ribosomal protein L17 ,MRPL17,4
AR,androgen receptor ,androgen receptor ,11180
RHNO1,RAD9-HUS1-RAD1 interacting nuclear orphan 1 ,RHNO1,4
SPTBN2,"spectrin beta, non-erythrocytic 2 ",SPTBN2,9
APOF,apolipoprotein F ,APOF,7
MRPL14,mitochondrial ribosomal protein L14 ,MRPL14,2
AGRN,agrin ,AGRN,27
HLA-DPB1,"major histocompatibility complex, class II, DP beta 1 ",HLA-DPB1,135
H2BC15,H2B clustered histone 15 ,H2BC15,0
MSR1,macrophage scavenger receptor 1 ,MSR1,80
SYT1,synaptotagmin 1 ,SYT1,27
DLG3,discs large MAGUK scaffold protein 3 ,DLG3,12
HSCB,HscB mitochondrial iron-sulfur cluster cochaperone ,HSCB,4
TRIM24,tripartite motif containing 24 ,TRIM24,86
STAT5A,signal transducer and activator of transcription 5A ,STAT5A,336
ASH2L,"ASH2 like, histone lysine methyltransferase complex subunit ",ASH2L,35
MDC1,mediator of DNA damage checkpoint 1 ,MDC1,147
SYCP3,synaptonemal complex protein 3 ,SYCP3,8
ESR2,estrogen receptor 2 ,ESR2,223
DCLRE1C,DNA cross-link repair 1C ,DCLRE1C,12
KCNJ16,potassium inwardly rectifying channel subfamily J member 16 ,KCNJ16,6
H2BC5,H2B clustered histone 5 ,H2BC5,0
COL26A1,collagen type XXVI alpha 1 chain ,COL26A1,1
PEX13,peroxisomal biogenesis factor 13 ,PEX13,3
SPTA1,"spectrin alpha, erythrocytic 1 ",SPTA1,29
RHOD,ras homolog family member D ,RHOD,43
CBX2,chromobox 2 ,CBX2,76
CALR,calreticulin ,CALR,501
MRPS23,mitochondrial ribosomal protein S23 ,MRPS23,10
APOBR,apolipoprotein B receptor ,APOBR,2
H2BC12,H2B clustered histone 12 ,H2BC12,1
GABBR1,gamma-aminobutyric acid type B receptor subunit 1 ,GABBR1,17
LAT,linker for activation of T cells ,LAT,319
IGKV1-33,immunoglobulin kappa variable 1-33 ,IGKV1-33,3
NEFL,neurofilament light chain ,NEFL,50
MRPS24,mitochondrial ribosomal protein S24 ,MRPS24,0
TP53BP1,tumor protein p53 binding protein 1 ,TP53BP1,61
PXN,paxillin ,PXN,82
OIP5,Opa interacting protein 5 ,OIP5,133
EPHB6,EPH receptor B6 ,EPHB6,80
MRPL27,mitochondrial ribosomal protein L27 ,MRPL27,2
NRXN2,neurexin 2 ,NRXN2,4
KRT18,keratin 18 ,KRT18,66
COL9A1,collagen type IX alpha 1 chain ,COL9A1,5
KIF14,kinesin family member 14 ,KIF14,86
VAMP8,vesicle associated membrane protein 8 ,VAMP8,26
CBX3,chromobox 3 ,CBX3,64
CDH26,cadherin 26 ,CDH26,1
EREG,epiregulin ,EREG,169
CD36,CD36 molecule (CD36 blood group) ,CD36,583
BRIP1,BRCA1 interacting helicase 1 ,BRIP1,394
SH3GL1,"SH3 domain containing GRB2 like 1, endophilin A2 ",SH3GL1,9
ARF1,ADP ribosylation factor 1 ,ARF1,59
PLA2G7,phospholipase A2 group VII ,PLA2G7,25
LRRK1,leucine rich repeat kinase 1 ,LRRK1,9
FGF17,fibroblast growth factor 17 ,FGF17,16
RECQL4,RecQ like helicase 4 ,RECQL4,105
TGFA,transforming growth factor alpha ,TGFA,123
CCT2,chaperonin containing TCP1 subunit 2 ,CCT2,28
KRT1,keratin 1 ,KRT1,29
GABARAP,GABA type A receptor-associated protein ,GABARAP,54
SAA1,serum amyloid A1 ,SAA1,109
XCR1,X-C motif chemokine receptor 1 ,XCR1,46
CENPS,centromere protein S ,CENPS,14
KCNJ10,potassium inwardly rectifying channel subfamily J member 10 ,KCNJ10,9
THBD,thrombomodulin ,THBD,33
ESPN,espin ,ESPN,13
MYO6,myosin VI ,MYO6,32
H2BC26,H2B clustered histone 26 ,H2BC26,0
KRT40,keratin 40 ,KRT40,1
ITSN1,intersectin 1 ,ITSN1,15
ITGA1,integrin subunit alpha 1 ,ITGA1,50
PLXNA4,plexin A4 ,PLXNA4,7
TNF,tumor necrosis factor ,TNF,16615
PRKDC,"protein kinase, DNA-activated, catalytic subunit ",PRKDC,269
KIF2A,kinesin family member 2A ,KIF2A,42
CLTCL1,clathrin heavy chain like 1 ,CLTCL1,6
KRT31,keratin 31 ,KRT31,1
RBBP8,"RB binding protein 8, endonuclease ",RBBP8,36
ARHGEF7,Rho guanine nucleotide exchange factor 7 ,ARHGEF7,18
NBN,nibrin ,NBN,280
GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D ,GRIN2D,14
DNM1,dynamin 1 ,DNM1,7
ACTA2,"actin alpha 2, smooth muscle ",ACTA2,125
RAD1,RAD1 checkpoint DNA exonuclease ,RAD1,38
MRPL3,mitochondrial ribosomal protein L3 ,MRPL3,8
MRPL19,mitochondrial ribosomal protein L19 ,MRPL19,14
RBBP5,"RB binding protein 5, histone lysine methyltransferase complex subunit ",RBBP5,26
RPL21,ribosomal protein L21 ,RPL21,5
MRM2,mitochondrial rRNA methyltransferase 2 ,MRM2,1
COL10A1,collagen type X alpha 1 chain ,COL10A1,70
BMP2,bone morphogenetic protein 2 ,BMP2,552
HSPA2,heat shock protein family A (Hsp70) member 2 ,HSPA2,38
BIN1,bridging integrator 1 ,BIN1,76
TLR4,toll like receptor 4 ,TLR4,1541
BARD1,BRCA1 associated RING domain 1 ,BARD1,398
BRCA2,BRCA2 DNA repair associated ,BRCA2,8560
PML,PML nuclear body scaffold ,PML,2778
PARP1,poly(ADP-ribose) polymerase 1 ,PARP1,2366
HSPD1,heat shock protein family D (Hsp60) member 1 ,HSPD1,60
SAA4,"serum amyloid A4, constitutive ",SAA4,14
ENKUR,"enkurin, TRPC channel interacting protein ",ENKUR,5
MIS18A,MIS18 kinetochore protein A ,MIS18A,1
RPL26,ribosomal protein L26 ,RPL26,10
CASP3,caspase 3 ,CASP3,529
CFAP52,cilia and flagella associated protein 52 ,CFAP52,0
BRD3,bromodomain containing 3 ,BRD3,116
KRT8,keratin 8 ,KRT8,91
COL8A2,collagen type VIII alpha 2 chain ,COL8A2,6
DAG1,dystroglycan 1 ,DAG1,14
CNIH2,cornichon family AMPA receptor auxiliary protein 2 ,CNIH2,2
UBE2N,ubiquitin conjugating enzyme E2 N ,UBE2N,28
EPHB3,EPH receptor B3 ,EPHB3,62
RPS17,ribosomal protein S17 ,RPS17,7
P4HB,prolyl 4-hydroxylase subunit beta ,P4HB,65
VWC2,von Willebrand factor C domain containing 2 ,VWC2,4
CSNK2B,casein kinase 2 beta ,CSNK2B,12
IGKV2D-40,immunoglobulin kappa variable 2D-40 ,IGKV2D-40,2
PRICKLE4,prickle planar cell polarity protein 4 ,PRICKLE4,1
CD9,CD9 molecule ,CD9,703
FLT4,fms related receptor tyrosine kinase 4 ,FLT4,189
COL9A2,collagen type IX alpha 2 chain ,COL9A2,7
PKM,pyruvate kinase M1/2 ,PKM,168
FGF22,fibroblast growth factor 22 ,FGF22,10
NDE1,nudE neurodevelopment protein 1 ,NDE1,10
PAK3,p21 (RAC1) activated kinase 3 ,PAK3,26
CDH17,cadherin 17 ,CDH17,104
COL19A1,collagen type XIX alpha 1 chain ,COL19A1,4
GSK3B,glycogen synthase kinase 3 beta ,GSK3B,134
AURKA,aurora kinase A ,AURKA,825
WDR83OS,WD repeat domain 83 opposite strand ,WDR83OS,0
UBE2S,ubiquitin conjugating enzyme E2 S ,UBE2S,39
KRT23,keratin 23 ,KRT23,26
KRT37,keratin 37 ,KRT37,1
KRT32,keratin 32 ,KRT32,1
HBEGF,heparin binding EGF like growth factor ,HBEGF,383
LDB3,LIM domain binding 3 ,LDB3,3
SDC4,syndecan 4 ,SDC4,89
H2BC11,H2B clustered histone 11 ,H2BC11,1
RHOJ,ras homolog family member J ,RHOJ,25
RIBC2,RIB43A domain with coiled-coils 2 ,RIBC2,4
CLEC10A,C-type lectin domain containing 10A ,CLEC10A,14
ANXA1,annexin A1 ,ANXA1,317
GABBR2,gamma-aminobutyric acid type B receptor subunit 2 ,GABBR2,15
FGF5,fibroblast growth factor 5 ,FGF5,56
MRPL24,mitochondrial ribosomal protein L24 ,MRPL24,1
POLR2K,"RNA polymerase II, I and III subunit K ",POLR2K,5
HOMER1,homer scaffold protein 1 ,HOMER1,13
TRIM63,tripartite motif containing 63 ,TRIM63,20
MRNIP,MRN complex interacting protein ,MRNIP,0
ALB,albumin ,ALB,919
KRT80,keratin 80 ,KRT80,22
KCTD5,potassium channel tetramerization domain containing 5 ,KCTD5,7
PTK2,protein tyrosine kinase 2 ,PTK2,182
KRT86,keratin 86 ,KRT86,1
KRT75,keratin 75 ,KRT75,2
KRT6C,keratin 6C ,KRT6C,17
KRT83,keratin 83 ,KRT83,1
KRT27,keratin 27 ,KRT27,1
MRPL13,mitochondrial ribosomal protein L13 ,MRPL13,14
CHCHD1,coiled-coil-helix-coiled-coil-helix domain containing 1 ,CHCHD1,2
EHBP1L1,EH domain binding protein 1 like 1 ,EHBP1L1,2
LPL,lipoprotein lipase ,LPL,569
PPFIA3,PTPRF interacting protein alpha 3 ,PPFIA3,3
AURKB,aurora kinase B ,AURKB,289
FZD2,frizzled class receptor 2 ,FZD2,63
H2BC4,H2B clustered histone 4 ,H2BC4,1
KRT14,keratin 14 ,KRT14,91
ISG15,ISG15 ubiquitin like modifier ,ISG15,214
BLM,BLM RecQ like helicase ,BLM,679
HSPA1L,heat shock protein family A (Hsp70) member 1 like ,HSPA1L,21
KRT6A,keratin 6A ,KRT6A,60
KRT81,keratin 81 ,KRT81,24
COL28A1,collagen type XXVIII alpha 1 chain ,COL28A1,1
SHISA8,shisa family member 8 ,SHISA8,0
AQP1,aquaporin 1 (Colton blood group) ,AQP1,210
ITGB3,integrin subunit beta 3 ,ITGB3,152
CACNA1G,calcium voltage-gated channel subunit alpha1 G ,CACNA1G,96
CD4,CD4 molecule ,CD4,21095
RPL26L1,ribosomal protein L26 like 1 ,RPL26L1,2
CAMK2B,calcium/calmodulin dependent protein kinase II beta ,CAMK2B,15
KIF26A,kinesin family member 26A ,KIF26A,4
LMAN1,"lectin, mannose binding 1 ",LMAN1,5
KIF22,kinesin family member 22 ,KIF22,17
NRP1,neuropilin 1 ,NRP1,546
PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma ",PIK3CG,68
EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit ,EZH2,3515
GATA3,GATA binding protein 3 ,GATA3,1508
BCL11A,BCL11 transcription factor A ,BCL11A,110
SEC16B,"SEC16 homolog B, endoplasmic reticulum export factor ",SEC16B,7
KCNJ5,potassium inwardly rectifying channel subfamily J member 5 ,KCNJ5,167
SORBS3,sorbin and SH3 domain containing 3 ,SORBS3,3
PDLIM2,PDZ and LIM domain 2 ,PDLIM2,38
GNAZ,G protein subunit alpha z ,GNAZ,13
MCHR1,melanin concentrating hormone receptor 1 ,MCHR1,7
RAC2,Rac family small GTPase 2 ,RAC2,110
FLNC,filamin C ,FLNC,47
TOP2A,DNA topoisomerase II alpha ,TOP2A,831
RAF1,"Raf-1 proto-oncogene, serine/threonine kinase ",RAF1,1053
SNAP25,synaptosome associated protein 25 ,SNAP25,65
MPRIP,myosin phosphatase Rho interacting protein ,MPRIP,5
MYCN,"MYCN proto-oncogene, bHLH transcription factor ",MYCN,2684
CDCA8,cell division cycle associated 8 ,CDCA8,93
SRSF1,serine and arginine rich splicing factor 1 ,SRSF1,152
KNL1,kinetochore scaffold 1 ,KNL1,18
PPM1B,"protein phosphatase, Mg2+/Mn2+ dependent 1B ",PPM1B,19
ACTR2,actin related protein 2 ,ACTR2,11
CLBA1,clathrin binding box of aftiphilin containing 1 ,CLBA1,0
PLK4,polo like kinase 4 ,PLK4,141
XCL2,X-C motif chemokine ligand 2 ,XCL2,15
POLR2D,RNA polymerase II subunit D ,POLR2D,6
ITGA9,integrin subunit alpha 9 ,ITGA9,45
COL8A1,collagen type VIII alpha 1 chain ,COL8A1,31
EPHA1,EPH receptor A1 ,EPHA1,56
POLE3,"DNA polymerase epsilon 3, accessory subunit ",POLE3,6
CHEK1,checkpoint kinase 1 ,CHEK1,256
PSMD4,"proteasome 26S subunit ubiquitin receptor, non-ATPase 4 ",PSMD4,23
TEKT4,tektin 4 ,TEKT4,5
FRS2,fibroblast growth factor receptor substrate 2 ,FRS2,111
KIF7,kinesin family member 7 ,KIF7,13
ADRB2,adrenoceptor beta 2 ,ADRB2,93
KRT19,keratin 19 ,KRT19,174
KRT15,keratin 15 ,KRT15,33
KRT9,keratin 9 ,KRT9,6
CEBPB,CCAAT enhancer binding protein beta ,CEBPB,142
PSMG1,proteasome assembly chaperone 1 ,PSMG1,3
EFHC2,EF-hand domain containing 2 ,EFHC2,0
SOCS3,suppressor of cytokine signaling 3 ,SOCS3,494
KRT16,keratin 16 ,KRT16,49
CFAP77,cilia and flagella associated protein 77 ,CFAP77,0
SRC,"SRC proto-oncogene, non-receptor tyrosine kinase ",SRC,7664
SERPINA1,serpin family A member 1 ,SERPINA1,99
MT-CO3,mitochondrially encoded cytochrome c oxidase III ,MT-CO3,9
PJVK,pejvakin ,PJVK,8
CFAP45,cilia and flagella associated protein 45 ,CFAP45,1
KIFC1,kinesin family member C1 ,KIFC1,69
IGKV2D-28,immunoglobulin kappa variable 2D-28 ,IGKV2D-28,0
NME2,NME/NM23 nucleoside diphosphate kinase 2 ,NME2,72
RPL17,ribosomal protein L17 ,RPL17,5
H2BC9,H2B clustered histone 9 ,H2BC9,0
CD74,CD74 molecule ,CD74,462
EIF2AK2,eukaryotic translation initiation factor 2 alpha kinase 2 ,EIF2AK2,21
CDC42,cell division cycle 42 ,CDC42,1203
CETP,cholesteryl ester transfer protein ,CETP,48
GNAS,GNAS complex locus ,GNAS,682
DPYSL2,dihydropyrimidinase like 2 ,DPYSL2,14
BRPF3,bromodomain and PHD finger containing 3 ,BRPF3,2
FZD3,frizzled class receptor 3 ,FZD3,62
ESRP1,epithelial splicing regulatory protein 1 ,ESRP1,105
SPAG1,sperm associated antigen 1 ,SPAG1,11
ETFB,electron transfer flavoprotein subunit beta ,ETFB,4
DNASE2,"deoxyribonuclease 2, lysosomal ",DNASE2,2
CBX1,chromobox 1 ,CBX1,25
COL1A1,collagen type I alpha 1 chain ,COL1A1,631
PPARGC1A,PPARG coactivator 1 alpha ,PPARGC1A,103
VWF,von Willebrand factor ,VWF,649
MDFI,MyoD family inhibitor ,MDFI,17
KIF20A,kinesin family member 20A ,KIF20A,143
CD48,CD48 molecule ,CD48,132
KIF17,kinesin family member 17 ,KIF17,2
KCNJ8,potassium inwardly rectifying channel subfamily J member 8 ,KCNJ8,5
KCNJ2,potassium inwardly rectifying channel subfamily J member 2 ,KCNJ2,14
COL21A1,collagen type XXI alpha 1 chain ,COL21A1,5
AVPR2,arginine vasopressin receptor 2 ,AVPR2,12
KDR,kinase insert domain receptor ,KDR,967
KIF3A,kinesin family member 3A ,KIF3A,30
TUBG1,tubulin gamma 1 ,TUBG1,10
CCNB1,cyclin B1 ,CCNB1,493
BLOC1S1,biogenesis of lysosomal organelles complex 1 subunit 1 ,BLOC1S1,2
DCAF7,DDB1 and CUL4 associated factor 7 ,DCAF7,5
ATIC,5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase ,ATIC,66
KIFC3,kinesin family member C3 ,KIFC3,12
CDH13,cadherin 13 ,CDH13,235
EIF4A3,eukaryotic translation initiation factor 4A3 ,EIF4A3,116
AKT1,AKT serine/threonine kinase 1 ,AKT1,2399
TPM3,tropomyosin 3 ,TPM3,193
FANCD2,FA complementation group D2 ,FANCD2,320
STXBP5L,syntaxin binding protein 5L ,STXBP5L,3
CASK,calcium/calmodulin dependent serine protein kinase ,CASK,13
CETN2,centrin 2 ,CETN2,7
GJA1,gap junction protein alpha 1 ,GJA1,61
GRIA1,glutamate ionotropic receptor AMPA type subunit 1 ,GRIA1,15
FGF18,fibroblast growth factor 18 ,FGF18,65
NCK1,NCK adaptor protein 1 ,NCK1,45
CD3G,CD3 gamma subunit of T-cell receptor complex ,CD3G,35
TGFBR2,transforming growth factor beta receptor 2 ,TGFBR2,426
ITGA2,integrin subunit alpha 2 ,ITGA2,136
ILK,integrin linked kinase ,ILK,414
TK2,thymidine kinase 2 ,TK2,37
CX3CR1,C-X3-C motif chemokine receptor 1 ,CX3CR1,231
COL22A1,collagen type XXII alpha 1 chain ,COL22A1,12
REPS2,RALBP1 associated Eps domain containing 2 ,REPS2,11
KRT4,keratin 4 ,KRT4,28
POLH,DNA polymerase eta ,POLH,81
LCLAT1,lysocardiolipin acyltransferase 1 ,LCLAT1,4
TSEN54,tRNA splicing endonuclease subunit 54 ,TSEN54,5
FES,"FES proto-oncogene, tyrosine kinase ",FES,461
LCK,"LCK proto-oncogene, Src family tyrosine kinase ",LCK,439
RUVBL2,RuvB like AAA ATPase 2 ,RUVBL2,25
F8,coagulation factor VIII ,coagulation factor VIII ,49
KRT6B,keratin 6B ,KRT6B,24
KRT79,keratin 79 ,KRT79,1
IRS2,insulin receptor substrate 2 ,IRS2,256
TUBB,tubulin beta class I ,TUBB,59
XRCC2,X-ray repair cross complementing 2 ,XRCC2,213
DMD,dystrophin ,DMD,126
HLA-DRA,"major histocompatibility complex, class II, DR alpha ",HLA-DRA,80
HLA-G,"major histocompatibility complex, class I, G ",HLA-G,628
HLA-F,"major histocompatibility complex, class I, F ",HLA-F,54
COG8,component of oligomeric golgi complex 8 ,COG8,3
LCAT,lecithin-cholesterol acyltransferase ,LCAT,64
KLRK1,killer cell lectin like receptor K1 ,KLRK1,32
CSNK1E,casein kinase 1 epsilon ,CSNK1E,35
APOC2,apolipoprotein C2 ,APOC2,30
MRPL46,mitochondrial ribosomal protein L46 ,MRPL46,0
HPR,haptoglobin-related protein ,HPR,395
MRPL12,mitochondrial ribosomal protein L12 ,MRPL12,10
GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B ,GRIN2B,24
CCL18,C-C motif chemokine ligand 18 ,CCL18,189
H2AC8,H2A clustered histone 8 ,H2AC8,0
CFTR,CF transmembrane conductance regulator ,CFTR,313
TFPI,tissue factor pathway inhibitor ,TFPI,256
REV3L,"REV3 like, DNA directed polymerase zeta catalytic subunit ",REV3L,36
VIM,vimentin ,VIM,789
TNC,tenascin C ,TNC,460
KITLG,KIT ligand ,KITLG,91
RAD51,RAD51 recombinase ,RAD51,1677
ITIH4,inter-alpha-trypsin inhibitor heavy chain 4 ,ITIH4,40
MYH7B,myosin heavy chain 7B ,MYH7B,6
LRP2,LDL receptor related protein 2 ,LRP2,34
WNT11,Wnt family member 11 ,WNT11,98
DNAJA1,DnaJ heat shock protein family (Hsp40) member A1 ,DNAJA1,21
LAMB1,laminin subunit beta 1 ,LAMB1,46
TGFB2,transforming growth factor beta 2 ,TGFB2,107
MSH2,mutS homolog 2 ,MSH2,3001
