,gene_id,search_string,MeSH_count
47,ACKR3,"(""ACKR3"" OR ""CMKOR1"" OR ""CXC-R7"" OR ""CXCR-7"" OR ""CXCR7"" OR ""GPR159"" OR ""RDC-1"" OR ""RDC1"")",845
48,ACKR4,"(""ACKR4"" OR ""CC-CKR-11"" OR ""CCBP2"" OR ""CCR-11"" OR ""CCR10"" OR ""CCR11"" OR ""CCRL1"" OR ""CCX CKR"" OR ""CCX-CKR"" OR ""CKR-11"" OR ""PPR1"" OR ""VSHK1"")",425
49,ACMSD,"(""ACMSD"")",45
50,ACO1,"(""ACO1"" OR ""ACONS"" OR ""HEL60"" OR ""IREB1"" OR ""IREBP"" OR ""IREBP1"" OR ""IRP1"")",434
51,ACOT1,"(""ACOT1"" OR ""ACH2"" OR ""CTE-1"" OR ""LACH2"")",221
52,ACOT4,"(""ACOT4"" OR ""PTE-Ib"" OR ""PTE1B"" OR ""PTE2B"")",11
53,ACOT7,"(""ACOT7"" OR ""ACH1"" OR ""ACT"" OR ""BACH"" OR ""CTE-II"" OR ""LACH"" OR ""LACH1"" OR ""hBACH"")",216255
54,ACOXL,"(""ACOXL"" OR ""ACOX4"")",19
55,ACP3,"(""ACP3"" OR ""5'-NT"" OR ""ACP-3"" OR ""ACPP"" OR ""TM-PAP"")",560
56,ACP5,"(""ACP5"" OR ""HPAP"" OR ""TRACP5a"" OR ""TRACP5b"" OR ""TRAP"" OR ""TRAcP"" OR ""TrATPase"")",16287
57,ACR,"(""ACR"" OR ""SPGF87"")",11680
58,ACSF3,"(""ACSF3"")",29
59,ACSL1,"(""ACSL1"" OR ""ACS1"" OR ""FACL1"" OR ""FACL2"" OR ""LACS"" OR ""LACS1"" OR ""LACS2"")",511
60,ACSL3,"(""ACSL3"" OR ""ACS3"" OR ""FACL3"" OR ""LACS 3"" OR ""LACS3"" OR ""PRO2194"")",129
61,ACSL4,"(""ACSL4"" OR ""ACS4"" OR ""FACL4"" OR ""LACS4"" OR ""MRX63"" OR ""MRX68"" OR ""XLID63"")",581
62,ACSL5,"(""ACSL5"" OR ""ACS2"" OR ""ACS5"" OR ""DIAR13"" OR ""FACL5"")",136
63,ACSL6,"(""ACSL6"" OR ""ACS2"" OR ""FACL6"" OR ""LACS 6"" OR ""LACS2"" OR ""LACS5"")",83
64,ACSM1,"(""ACSM1"" OR ""BUCS1"" OR ""MACS1"")",27
65,ACSS1,"(""ACSS1"" OR ""ACAS2L"" OR ""ACECS1"" OR ""AceCS2L"")",27
66,ACSS2,"(""ACSS2"" OR ""ACAS2"" OR ""ACECS"" OR ""ACS"" OR ""ACSA"" OR ""AceCS1"" OR ""dJ1161H23.1"")",46460
67,ACTA1,"(""ACTA1"" OR ""ACTA"" OR ""ASMA"" OR ""CFTD"" OR ""CFTD1"" OR ""CFTDM"" OR ""CMYO2A"" OR ""CMYO2B"" OR ""CMYO2C"" OR ""CMYP2A"" OR ""CMYP2B"" OR ""CMYP2C"" OR ""MPFD"" OR ""NEM1"" OR ""NEM2"" OR ""NEM3"" OR ""SHPM"")",438395
68,ACTA2,"(""ACTA2"" OR ""ACTSA"" OR ""SMDYS"")",2350
69,ACTB,"(""ACTB"" OR ""BKRNS"" OR ""BNS"" OR ""BRWS1"" OR ""CSMH"" OR ""DDS1"" OR ""PS1TP5BP1"" OR ""THC8"")",1474
70,ACTC1,"(""ACTC1"" OR ""ACTC"" OR ""ASD5"" OR ""CMD1R"" OR ""CMH11"" OR ""LVNC4"")",306
71,ACTG1,"(""ACTG1"" OR ""ACT"" OR ""ACTG"" OR ""DFNA20"" OR ""DFNA26"" OR ""HEL-176"")",207878
72,ACTG2,"(""ACTG2"" OR ""ACT"" OR ""ACTA3"" OR ""ACTE"" OR ""ACTL3"" OR ""ACTSG"" OR ""MMIHS5"" OR ""VSCM"" OR ""VSCM1"")",207190
73,ACTL6A,"(""ACTL6A"" OR ""ACTL6"" OR ""ARPN-BETA"" OR ""Arp4"" OR ""BAF53A"" OR ""INO80K"" OR ""SMARCN1"")",114
74,ACTL8,"(""ACTL8"" OR ""CT57"")",10
75,ACTN3,"(""ACTN3"" OR ""ACTN3D"")",350
76,ACTR10,"(""ACTR10"" OR ""ACTR11"" OR ""Arp10"" OR ""Arp11"" OR ""HARP11"")",12
77,ACTR1A,"(""ACTR1A"" OR ""ARP1"" OR ""Arp1A"" OR ""CTRN1"")",150
78,ACTR1B,"(""ACTR1B"" OR ""ARP1B"" OR ""CTRN2"" OR ""PC3"")",13125
79,ACTR2,"(""ACTR2"" OR ""ARP2"")",1250
80,ACVR1B,"(""ACVR1B"" OR ""ACTRIB"" OR ""ACVRLK4"" OR ""ALK4"" OR ""SKR2"")",310
81,ACVR1C,"(""ACVR1C"" OR ""ACVRLK7"" OR ""ALK7"")",122
82,ACVR2A,"(""ACVR2A"" OR ""ACTRII"" OR ""ACVR2"")",272
83,ACVRL1,"(""ACVRL1"" OR ""ACVRLK1"" OR ""ALK-1"" OR ""ALK1"" OR ""HHT"" OR ""HHT2"" OR ""ORW2"" OR ""SKR3"" OR ""TSR-I"")",3101
84,ACY1,"(""ACY1"" OR ""ACY-1"" OR ""ACY1D"" OR ""HEL-S-5"")",72
85,ACY3,"(""ACY3"" OR ""ACY-3"" OR ""ASPA2"" OR ""HCBP1"")",25
86,ADA,"(""ADA"" OR ""ADA1"")",11049
87,ADA2,"(""ADA2"" OR ""ADGF"" OR ""CECR1"" OR ""IDGFL"" OR ""PAN"" OR ""SNEDS"" OR ""VAIHS"")",110261
88,ADAM11,"(""ADAM11"" OR ""MDC"")",6401
89,ADAM12,"(""ADAM12"" OR ""ADAM12-OT1"" OR ""CAR10"" OR ""MCMP"" OR ""MCMPMltna"" OR ""MLTN"" OR ""MLTNA"")",511
90,ADAM20,"(""ADAM20"")",9
91,ADAM23,"(""ADAM23"" OR ""MDC-3"" OR ""MDC3"")",86
92,ADAM33,"(""ADAM33"" OR ""C20orf153"" OR ""DJ964F7.1"")",286
93,ADAMTS1,"(""ADAMTS1"" OR ""C3-C5"" OR ""METH1"")",1459
94,ADAMTS10,"(""ADAMTS10"" OR ""ADAM-TS10"" OR ""ADAMTS-10"" OR ""WMS"" OR ""WMS1"")",1376
95,ADAMTS12,"(""ADAMTS12"" OR ""PRO4389"")",74
96,ADAMTS13,"(""ADAMTS13"" OR ""ADAM-TS13"" OR ""ADAMTS-13"" OR ""C9orf8"" OR ""VWFCP"" OR ""vWF-CP"")",3066
97,ADAMTS18,"(""ADAMTS18"" OR ""ADAMTS21"" OR ""KNO2"" OR ""MMCAT"")",64
98,ADAMTS2,"(""ADAMTS2"" OR ""ADAM-TS2"" OR ""ADAMTS-2"" OR ""ADAMTS-3"" OR ""EDSDERMS"" OR ""NPI"" OR ""PC I-NP"" OR ""PCI-NP"" OR ""PCINP"" OR ""PCPNI"" OR ""PNPI"")",3315
99,ADAMTS3,"(""ADAMTS3"" OR ""ADAMTS-4"" OR ""HKLLS3"")",431
100,ADAMTS4,"(""ADAMTS4"" OR ""ADAMTS-2"" OR ""ADAMTS-4"" OR ""ADMP-1"")",697
101,ADAMTS5,"(""ADAMTS5"" OR ""ADAM-TS 11"" OR ""ADAM-TS 5"" OR ""ADAM-TS5"" OR ""ADAMTS-11"" OR ""ADAMTS-5"" OR ""ADAMTS11"" OR ""ADMP-2"")",810
102,ADAMTS8,"(""ADAMTS8"" OR ""ADAM-TS8"" OR ""METH2"")",62
103,ADAMTSL1,"(""ADAMTSL1"" OR ""ADAMTSL-1"" OR ""ADAMTSR1"" OR ""C9orf94"" OR ""PUNCTIN"")",31
104,ADAMTSL2,"(""ADAMTSL2"" OR ""ADAMTSL-2"" OR ""GPHYSD1"")",57
105,ADAMTSL4,"(""ADAMTSL4"" OR ""ADAMTSL-4"" OR ""ECTOL2"" OR ""TSRC1"")",63
106,ADAR,"(""ADAR"" OR ""ADAR1"" OR ""AGS6"" OR ""DRADA"" OR ""DSH"" OR ""DSRAD"" OR ""G1P1"" OR ""IFI-4"" OR ""IFI4"" OR ""K88DSRBP"" OR ""P136"")",2743
107,ADAT2,"(""ADAT2"" OR ""DEADC1"" OR ""TAD2"" OR ""dJ20N2"" OR ""dJ20N2.1"")",64
108,ADCY1,"(""ADCY1"" OR ""AC1"" OR ""DFNB44"")",603
109,ADCY3,"(""ADCY3"" OR ""AC-III"" OR ""AC3"" OR ""BMIQ19"")",337
110,ADCY4,"(""ADCY4"" OR ""AC4"")",99
111,ADCY5,"(""ADCY5"" OR ""AC5"" OR ""DSKOD"" OR ""FDFM"")",263
112,ADCYAP1R1,"(""ADCYAP1R1"" OR ""PAC1"" OR ""PAC1R"" OR ""PACAPR"" OR ""PACAPRI"")",1202
113,ADD3,"(""ADD3"" OR ""ADDL"" OR ""CPSQ3"")",142
114,ADGRA2,"(""ADGRA2"" OR ""GPR124"" OR ""TEM5"")",65
115,ADGRB2,"(""ADGRB2"" OR ""BAI2"")",24
116,ADGRB3,"(""ADGRB3"" OR ""BAI3"")",49
117,ADGRD1,"(""ADGRD1"" OR ""GPR133"" OR ""PGR25"")",36
118,ADGRF1,"(""ADGRF1"" OR ""GPR110"" OR ""KPG_012"" OR ""PGR19"" OR ""hGPCR36"")",38
119,ADGRF5,"(""ADGRF5"" OR ""GPR116"" OR ""KPG_001"")",64
120,ADGRG2,"(""ADGRG2"" OR ""CBAVDX"" OR ""EDDM6"" OR ""GPR64"" OR ""HE6"" OR ""TM7LN2"")",76
121,ADGRG3,"(""ADGRG3"" OR ""GPR97"" OR ""PB99"" OR ""PGR26"")",26
122,ADGRG4,"(""ADGRG4"" OR ""GPR112"" OR ""PGR17"" OR ""RP1-299I16"")",15
123,ADGRG5,"(""ADGRG5"" OR ""GPR114"" OR ""PGR27"")",15
124,ADGRL3,"(""ADGRL3"" OR ""CIRL3"" OR ""CL3"" OR ""LEC3"" OR ""LPHN3"")",384
125,ADGRV1,"(""ADGRV1"" OR ""FEB4"" OR ""GPR98"" OR ""MASS1"" OR ""USH2B"" OR ""USH2C"" OR ""VLGR1"" OR ""VLGR1b"")",430
126,ADH1A,"(""ADH1A"" OR ""ADH1"")",282
127,ADH1B,"(""ADH1B"" OR ""ADH2"" OR ""HEL-S-117"")",955
128,ADH1C,"(""ADH1C"" OR ""ADH3"")",494
129,ADH4,"(""ADH4"" OR ""ADH-2"" OR ""HEL-S-4"")",179
130,ADH6,"(""ADH6"" OR ""ADH-5"")",57
131,ADH7,"(""ADH7"" OR ""ADH4"")",214
132,ADIPOQ,"(""ADIPOQ"" OR ""ACDC"" OR ""ACRP30"" OR ""ADIPQTL1"" OR ""ADPN"" OR ""APM-1"" OR ""APM1"" OR ""GBP28"")",3731
133,ADIPOR1,"(""ADIPOR1"" OR ""ACDCR1"" OR ""CGI-45"" OR ""CGI45"" OR ""PAQR1"" OR ""TESBP1A"")",704
134,ADK,"(""ADK"" OR ""AK"")",25391
135,ADM,"(""ADM"" OR ""AM"" OR ""PAMP"")",1400027
136,ADM2,"(""ADM2"" OR ""AM2"" OR ""dJ579N16.4"")",441
137,ADNP,"(""ADNP"" OR ""ADNP1"" OR ""HVDAS"" OR ""MRD28"")",206
138,ADO,"(""ADO"" OR ""C10orf22"")",3319
139,ADORA1,"(""ADORA1"" OR ""RDC7"")",98
140,ADORA2A,"(""ADORA2A"" OR ""A2aR"" OR ""ADORA2"" OR ""RDC8"")",935
141,ADORA2B,"(""ADORA2B"" OR ""ADORA2"")",137
142,ADRA1A,"(""ADRA1A"" OR ""ADRA1C"" OR ""ADRA1L1"" OR ""ALPHA1AAR"")",361
143,ADRA1D,"(""ADRA1D"" OR ""ADRA1"" OR ""ADRA1A"" OR ""ADRA1R"" OR ""ALPHA1"" OR ""DAR"" OR ""dJ779E11.2"")",33604
144,ADRA2A,"(""ADRA2A"" OR ""ADRA2"" OR ""ADRA2R"" OR ""ADRAR"" OR ""ALPHA2AAR"" OR ""FPLD8"" OR ""ZNF32"")",542
145,ADRA2B,"(""ADRA2B"" OR ""ADRA2L1"" OR ""ADRA2RL1"" OR ""ADRARL1"" OR ""ALPHA2BAR"" OR ""FAME2"" OR ""alpha-2BAR"")",217
146,ADRA2C,"(""ADRA2C"" OR ""ADRA2L2"" OR ""ADRA2RL2"" OR ""ADRARL2"" OR ""ALPHA2CAR"")",197
147,ADRB1,"(""ADRB1"" OR ""ADRB1R"" OR ""B1AR"" OR ""BETA1AR"" OR ""FNSS2"" OR ""RHR"")",1616
148,ADRB2,"(""ADRB2"" OR ""ADRB2R"" OR ""ADRBR"" OR ""ARB2"" OR ""B2AR"" OR ""BAR"" OR ""BETA2AR"")",28796
149,ADSL,"(""ADSL"" OR ""AMPS"" OR ""ASASE"" OR ""ASL"")",15038
150,AEN,"(""AEN"" OR ""ISG20L1"" OR ""pp12744"")",174
151,AFAP1,"(""AFAP1"" OR ""AFAP"" OR ""AFAP-110"" OR ""AFAP110"")",280
152,AFAP1L1,"(""AFAP1L1"")",13
153,AFF3,"(""AFF3"" OR ""KINS"" OR ""LAF4"" OR ""MLLT2-like"")",355
154,AFG2A,"(""AFG2A"" OR ""AFG2"" OR ""EHLMRS"" OR ""NEDHSB"" OR ""SPAF"" OR ""SPATA5"")",209
155,AFP,"(""AFP"" OR ""AFPD"" OR ""FETA"" OR ""HPAFP"")",14123
156,AFTPH,"(""AFTPH"" OR ""Nbla10388"")",6
157,AGA,"(""AGA"" OR ""AGU"" OR ""ASRG"" OR ""GA"")",171228
158,AGBL4,"(""AGBL4"" OR ""CCP6"")",29
159,AGER,"(""AGER"" OR ""RAGE"" OR ""SCARJ1"" OR ""sRAGE"")",7560
160,AGL,"(""AGL"" OR ""GDE"")",864
161,AGMAT,"(""AGMAT"")",26
162,AGO3,"(""AGO3"" OR ""EIF2C3"")",77
163,AGPAT2,"(""AGPAT2"" OR ""1-AGPAT2"" OR ""BSCL"" OR ""BSCL1"" OR ""LPAAB"" OR ""LPAAT-beta"" OR ""LPLAT2"")",197
164,AGPAT4,"(""AGPAT4"" OR ""1-AGPAT4"" OR ""LPAAT-delta"" OR ""LPAAT4"" OR ""LPLAT4"" OR ""dJ473J16.2"")",19
165,AGPAT5,"(""AGPAT5"" OR ""1AGPAT5"" OR ""LPAATE"" OR ""LPLAT5"")",4
166,AGR2,"(""AGR2"" OR ""AG-2"" OR ""AG2"" OR ""GOB-4"" OR ""HAG-2"" OR ""HEL-S-116"" OR ""HPC8"" OR ""PDIA17"" OR ""RIFTD"" OR ""XAG-2"")",921
167,AGRN,"(""AGRN"" OR ""AGRIN"" OR ""CMS8"" OR ""CMSPPD"")",743
168,AGT,"(""AGT"" OR ""ANHU"" OR ""SERPINA8"" OR ""hFLT1"")",3036
169,AGTR1,"(""AGTR1"" OR ""AG2S"" OR ""AGTR1B"" OR ""AT1"" OR ""AT1AR"" OR ""AT1B"" OR ""AT1BR"" OR ""AT1R"" OR ""AT2R1"" OR ""ATR1"" OR ""HAT1R"")",6431
170,AGXT2,"(""AGXT2"" OR ""AGT2"" OR ""BAIBA"" OR ""DAIBAT"")",116
171,AHCY,"(""AHCY"" OR ""SAHH"" OR ""adoHcyase"")",207
172,AHCYL1,"(""AHCYL1"" OR ""DCAL"" OR ""IRBIT"" OR ""PPP1R78"" OR ""PRO0233"" OR ""XPVKONA"")",144
173,AHNAK,"(""AHNAK"" OR ""AHNAK1"" OR ""AHNAKRS"" OR ""PM227"")",184
174,AHRR,"(""AHRR"" OR ""AHH"" OR ""AHHR"" OR ""bHLHe77"")",1012
175,AIFM1,"(""AIFM1"" OR ""AIF"" OR ""AUNX1"" OR ""CMT2D"" OR ""CMTX4"" OR ""COWCK"" OR ""COXPD6"" OR ""DFNX5"" OR ""NADMR"" OR ""NAMSD"" OR ""PDCD8"" OR ""SEMDHL"")",2608
176,AIFM2,"(""AIFM2"" OR ""AMID"" OR ""FSP1"" OR ""PRG3"")",5196
177,AIM2,"(""AIM2"" OR ""PYHIN4"")",977
178,AK1,"(""AK1"" OR ""CNSHA3"" OR ""HTL-S-58j"")",239
179,AK8,"(""AK8"" OR ""AK 8"" OR ""C9orf98"" OR ""DDX31"")",19
180,AKAP1,"(""AKAP1"" OR ""AKAP"" OR ""AKAP121"" OR ""AKAP149"" OR ""AKAP84"" OR ""D-AKAP1"" OR ""PPP1R43"" OR ""PRKA1"" OR ""SAKAP84"" OR ""TDRD17"")",513
181,AKAP12,"(""AKAP12"" OR ""AKAP250"" OR ""SSeCKS"")",234
182,AKAP17A,"(""AKAP17A"" OR ""721P"" OR ""AKAP-17A"" OR ""CCDC133"" OR ""CXYorf3"" OR ""DXYS155E"" OR ""PRKA17A"" OR ""SFRS17A"" OR ""XE7"" OR ""XE7Y"")",17
183,AKAP5,"(""AKAP5"" OR ""AKAP75"" OR ""AKAP79"" OR ""H21"")",593
184,AKAP6,"(""AKAP6"" OR ""ADAP100"" OR ""ADAP6"" OR ""AKAP100"" OR ""PRKA6"" OR ""mAKAP"")",67
185,AKAP8L,"(""AKAP8L"" OR ""HA95"" OR ""HAP95"" OR ""NAKAP"" OR ""NAKAP95"")",40
186,AKNAD1,"(""AKNAD1"" OR ""C1orf62"")",5
187,AKR1B10,"(""AKR1B10"" OR ""AKR1B11"" OR ""AKR1B12"" OR ""ALDRLn"" OR ""ARL-1"" OR ""ARL1"" OR ""HIS"" OR ""HSI"")",205703
188,AKR1B15,"(""AKR1B15"" OR ""AKR1B10L"" OR ""AKR1B10L, AK1R1B7"" OR ""AKR1R1B7"")",8
189,AKR1C1,"(""AKR1C1"" OR ""2-ALPHA-HSD"" OR ""20-ALPHA-HSD"" OR ""C9"" OR ""DD1"" OR ""DD1/DD2"" OR ""DDH"" OR ""DDH1"" OR ""H-37"" OR ""HAKRC"" OR ""HBAB"" OR ""MBAB"")",11066
190,AKR1C2,"(""AKR1C2"" OR ""AKR1C-pseudo"" OR ""BABP"" OR ""DD"" OR ""DD-2"" OR ""DD/BABP"" OR ""DD2"" OR ""DDH2"" OR ""HAKRD"" OR ""HBAB"" OR ""MCDR2"" OR ""SRXY8"" OR ""TDD"")",23749
191,AKR1C3,"(""AKR1C3"" OR ""DD3"" OR ""DDX"" OR ""HA1753"" OR ""HAKRB"" OR ""HAKRe"" OR ""HSD17B5"" OR ""PGFS"" OR ""hluPGFS"")",977
192,AKR7A3,"(""AKR7A3"" OR ""AFAR2"")",30
193,AKT1,"(""AKT1"" OR ""AKT"" OR ""PKB"" OR ""PKB-ALPHA"" OR ""PRKBA"" OR ""RAC"" OR ""RAC-ALPHA"")",84767
194,AKT2,"(""AKT2"" OR ""HIHGHH"" OR ""PKBB"" OR ""PKBBETA"" OR ""PRKBB"" OR ""RAC-BETA"")",1313
195,AKT3,"(""AKT3"" OR ""MPPH"" OR ""MPPH2"" OR ""PKB-GAMMA"" OR ""PKBG"" OR ""PRKBG"" OR ""RAC-PK-gamma"" OR ""RAC-gamma"" OR ""STK-2"")",766
196,ALAS1,"(""ALAS1"" OR ""ALAS"" OR ""ALAS-H"" OR ""ALAS3"" OR ""ALASH"" OR ""MIG4"")",634
197,ALAS2,"(""ALAS2"" OR ""ALAS-E"" OR ""ALASE"" OR ""ANH1"" OR ""ASB"" OR ""SIDBA1"" OR ""XLDPP"" OR ""XLEPP"" OR ""XLSA"")",2027
198,ALB,"(""ALB"" OR ""FDAHT"" OR ""HSA"" OR ""PRO0883"" OR ""PRO0903"" OR ""PRO1341"")",22089
199,ALCAM,"(""ALCAM"" OR ""CD166"" OR ""MEMD"")",1145
200,ALDH18A1,"(""ALDH18A1"" OR ""ADCL3"" OR ""ARCL3A"" OR ""GSAS"" OR ""P5CS"" OR ""PYCS"" OR ""SPG9"" OR ""SPG9A"" OR ""SPG9B"")",223
201,ALDH1A1,"(""ALDH1A1"" OR ""ALDC"" OR ""ALDH-E1"" OR ""ALDH1"" OR ""ALDH11"" OR ""HEL-9"" OR ""HEL-S-53e"" OR ""HEL12"" OR ""PUMB1"" OR ""RALDH1"")",2152
202,ALDH1A2,"(""ALDH1A2"" OR ""DIH4"" OR ""RALDH(II)"" OR ""RALDH2"" OR ""RALDH2-T"")",245
203,ALDH1A3,"(""ALDH1A3"" OR ""ALDH1A6"" OR ""ALDH6"" OR ""MCOP8"" OR ""RALDH3"")",300
204,ALDH1B1,"(""ALDH1B1"" OR ""ALDH5"" OR ""ALDHX"")",93
205,ALDH1L1,"(""ALDH1L1"" OR ""10-FTHFDH"" OR ""10-fTHF"" OR ""FDH"" OR ""FTHFD"")",370
206,ALDH2,"(""ALDH2"" OR ""ALDH-E2"" OR ""ALDHI"" OR ""ALDM"")",1982
207,ALDH3A1,"(""ALDH3A1"" OR ""ALDH3"" OR ""ALDHIII"")",343
208,ALDH3A2,"(""ALDH3A2"" OR ""ALDH10"" OR ""FALDH"" OR ""SLS"")",3960
209,ALDH3B2,"(""ALDH3B2"" OR ""ALDH8"")",26
210,ALDH5A1,"(""ALDH5A1"" OR ""SSADH"" OR ""SSDH"")",295
211,ALDOA,"(""ALDOA"" OR ""ALDA"" OR ""GSD12"" OR ""HEL-S-87p"")",946
212,ALDOC,"(""ALDOC"" OR ""ALDC"")",81
213,ALG1,"(""ALG1"" OR ""CDG1K"" OR ""HMAT1"" OR ""HMT-1"" OR ""HMT1"" OR ""MT-1"" OR ""Mat-1"" OR ""hMat-1"")",941
214,ALG3,"(""ALG3"" OR ""CDG1D"" OR ""CDGS4"" OR ""CDGS6"" OR ""D16Ertd36e"" OR ""NOT56L"" OR ""Not56"" OR ""not"")",5275753
215,ALG8,"(""ALG8"" OR ""CDG1H"" OR ""PCLD3"")",47
216,ALKAL2,"(""ALKAL2"" OR ""AUGA"" OR ""FAM150B"" OR ""PRO1097"" OR ""RGPG542"")",56
217,ALKBH2,"(""ALKBH2"" OR ""ABH2"")",79
218,ALKBH6,"(""ALKBH6"" OR ""ABH6"")",5
