filename,uniprot_id,pocket,druggability,num_drug_pockets
AF-Q86UK0-F1-model_v4_info.txt,Q86UK0,0.128,0.999,5
AF-Q86UQ4-F2-model_v4_info.txt,Q86UQ4,0.262,0.999,7
AF-Q86YH6-F1-model_v4_info.txt,Q86YH6,0.122,0.999,1
AF-Q8NCK7-F1-model_v4_info.txt,Q8NCK7,0.108,0.999,1
AF-Q8NFM4-F1-model_v4_info.txt,Q8NFM4,0.495,0.999,5
AF-Q8NGY2-F1-model_v4_info.txt,Q8NGY2,0.039,0.999,2
AF-Q8TDI7-F1-model_v4_info.txt,Q8TDI7,0.115,0.999,2
AF-Q8WTV0-F1-model_v4_info.txt,Q8WTV0,0.232,0.999,3
AF-Q96B21-F1-model_v4_info.txt,Q96B21,0.597,0.999,1
AF-Q96DR5-F1-model_v4_info.txt,Q96DR5,0.057,0.999,1
AF-Q96P50-F1-model_v4_info.txt,Q96P50,0.114,0.999,1
AF-Q96PP9-F1-model_v4_info.txt,Q96PP9,0.268,0.999,2
AF-Q96PS8-F1-model_v4_info.txt,Q96PS8,0.22,0.999,1
AF-Q96SA4-F1-model_v4_info.txt,Q96SA4,0.38,0.999,5
AF-Q9BXC1-F1-model_v4_info.txt,Q9BXC1,0.088,0.999,1
AF-Q9GZR5-F1-model_v4_info.txt,Q9GZR5,0.055,0.999,1
AF-Q9HBI6-F1-model_v4_info.txt,Q9HBI6,0.11,0.999,1
AF-Q9HCN3-F1-model_v4_info.txt,Q9HCN3,0.109,0.999,1
AF-Q9NRD8-F1-model_v4_info.txt,Q9NRD8,0.161,0.999,4
AF-Q9NZP2-F1-model_v4_info.txt,Q9NZP2,0.367,0.999,3
AF-Q9UPQ8-F1-model_v4_info.txt,Q9UPQ8,0.076,0.999,3
AF-Q9Y5P4-F1-model_v4_info.txt,Q9Y5P4,0.032,0.999,1
AF-B2RXF0-F1-model_v4_info.txt,B2RXF0,0.296,0.998,1
AF-O00254-F1-model_v4_info.txt,O00254,0.106,0.998,4
AF-O00338-F1-model_v4_info.txt,O00338,0.298,0.998,1
AF-O14994-F1-model_v4_info.txt,O14994,0.306,0.998,1
AF-O43315-F1-model_v4_info.txt,O43315,0.47,0.998,1
AF-P07202-F1-model_v4_info.txt,P07202,0.39,0.998,3
AF-P0C870-F1-model_v4_info.txt,P0C870,0.316,0.998,1
AF-P15812-F1-model_v4_info.txt,P15812,-0.002,0.998,1
AF-P18405-F1-model_v4_info.txt,P18405,0.002,0.998,1
AF-P23109-F1-model_v4_info.txt,P23109,0.124,0.998,3
AF-P48651-F1-model_v4_info.txt,P48651,0.058,0.998,4
AF-P50225-F1-model_v4_info.txt,P50225,0.296,0.998,1
AF-P63135-F1-model_v4_info.txt,P63135,0.69,0.998,5
AF-Q02127-F1-model_v4_info.txt,Q02127,0.4,0.998,1
AF-Q08357-F1-model_v4_info.txt,Q08357,0.345,0.998,1
AF-Q3LXA3-F1-model_v4_info.txt,Q3LXA3,0.092,0.998,1
AF-Q5CZC0-F13-model_v4_info.txt,Q5CZC0,0.07,0.998,3
AF-Q685J3-F10-model_v4_info.txt,Q685J3,0.303,0.998,8
AF-Q685J3-F11-model_v4_info.txt,Q685J3,0.223,0.998,4
AF-Q685J3-F13-model_v4_info.txt,Q685J3,0.184,0.998,9
AF-Q6NUM9-F1-model_v4_info.txt,Q6NUM9,0.132,0.998,3
AF-Q6P9B9-F1-model_v4_info.txt,Q6P9B9,0.097,0.998,1
AF-Q6Y1H2-F1-model_v4_info.txt,Q6Y1H2,0.214,0.998,2
AF-Q6ZNA5-F1-model_v4_info.txt,Q6ZNA5,0.044,0.998,1
AF-Q6ZVX9-F1-model_v4_info.txt,Q6ZVX9,0.107,0.998,1
AF-Q8N966-F1-model_v4_info.txt,Q8N966,0.026,0.998,1
AF-Q8NGM9-F1-model_v4_info.txt,Q8NGM9,0.09,0.998,2
AF-Q8TDN7-F1-model_v4_info.txt,Q8TDN7,0.113,0.998,2
AF-Q8TE04-F1-model_v4_info.txt,Q8TE04,0.137,0.998,1
AF-Q96H96-F1-model_v4_info.txt,Q96H96,0.446,0.998,1
AF-Q96JG8-F1-model_v4_info.txt,Q96JG8,0.083,0.998,2
AF-Q9BVG9-F1-model_v4_info.txt,Q9BVG9,0.048,0.998,4
AF-Q9BYV6-F1-model_v4_info.txt,Q9BYV6,0.325,0.998,2
AF-Q9BZF2-F1-model_v4_info.txt,Q9BZF2,0.195,0.998,1
AF-Q9HB29-F1-model_v4_info.txt,Q9HB29,0.062,0.998,1
AF-Q9NPC1-F1-model_v4_info.txt,Q9NPC1,0.217,0.998,3
AF-Q9NPP4-F1-model_v4_info.txt,Q9NPP4,0.441,0.998,2
AF-Q9NUN7-F1-model_v4_info.txt,Q9NUN7,0.293,0.998,1
AF-Q9P2U7-F1-model_v4_info.txt,Q9P2U7,0.124,0.998,3
AF-Q9UBJ2-F1-model_v4_info.txt,Q9UBJ2,0.306,0.998,2
AF-Q9UI17-F1-model_v4_info.txt,Q9UI17,0.436,0.998,3
AF-Q9Y2E8-F1-model_v4_info.txt,Q9Y2E8,0.101,0.998,2
AF-Q9Y4A9-F1-model_v4_info.txt,Q9Y4A9,0.054,0.998,1
AF-Q9Y6L6-F1-model_v4_info.txt,Q9Y6L6,0.246,0.998,2
AF-A6NFE2-F1-model_v4_info.txt,A6NFE2,0.184,0.997,1
AF-A6NML5-F1-model_v4_info.txt,A6NML5,0.301,0.997,1
AF-M0QZD8-F5-model_v4_info.txt,M0QZD8,0.205,0.997,4
AF-M0QZD8-F7-model_v4_info.txt,M0QZD8,0.155,0.997,11
AF-P00156-F1-model_v4_info.txt,P00156,0.114,0.997,3
AF-P21817-F19-model_v4_info.txt,P21817,0.226,0.997,3
AF-P27338-F1-model_v4_info.txt,P27338,0.342,0.997,1
AF-P29017-F1-model_v4_info.txt,P29017,0.113,0.997,1
AF-P43304-F1-model_v4_info.txt,P43304,0.089,0.997,2
AF-P45844-F1-model_v4_info.txt,P45844,0.08,0.997,1
AF-P51798-F1-model_v4_info.txt,P51798,0.216,0.997,1
AF-Q02224-F6-model_v4_info.txt,Q02224,0.135,0.997,5
AF-Q5NUL3-F1-model_v4_info.txt,Q5NUL3,0.375,0.997,2
AF-Q5T4S7-F18-model_v4_info.txt,Q5T4S7,0.183,0.997,2
AF-Q6NT55-F1-model_v4_info.txt,Q6NT55,0.411,0.997,1
AF-Q6P093-F1-model_v4_info.txt,Q6P093,0.162,0.997,1
AF-Q7Z3F1-F1-model_v4_info.txt,Q7Z3F1,0.155,0.997,5
AF-Q7Z7B1-F1-model_v4_info.txt,Q7Z7B1,0.093,0.997,2
AF-Q86UA1-F1-model_v4_info.txt,Q86UA1,0.098,0.997,1
AF-Q8IY49-F1-model_v4_info.txt,Q8IY49,0.126,0.997,1
AF-Q8N5S9-F1-model_v4_info.txt,Q8N5S9,0.032,0.997,1
AF-Q92504-F1-model_v4_info.txt,Q92504,0.117,0.997,1
AF-Q92508-F1-model_v4_info.txt,Q92508,0.36,0.997,5
AF-Q96GS6-F1-model_v4_info.txt,Q96GS6,0.127,0.997,1
AF-Q96HR9-F1-model_v4_info.txt,Q96HR9,0.085,0.997,1
AF-Q96IV6-F1-model_v4_info.txt,Q96IV6,0.527,0.997,3
AF-Q96LT4-F1-model_v4_info.txt,Q96LT4,0.165,0.997,3
AF-Q96RI8-F1-model_v4_info.txt,Q96RI8,0.114,0.997,3
AF-Q9H013-F1-model_v4_info.txt,Q9H013,0.198,0.997,1
AF-Q9HB14-F1-model_v4_info.txt,Q9HB14,0.169,0.997,1
AF-Q9NXK6-F1-model_v4_info.txt,Q9NXK6,0.08,0.997,1
AF-Q9NXN4-F1-model_v4_info.txt,Q9NXN4,0.21,0.997,1
AF-Q9UHJ9-F1-model_v4_info.txt,Q9UHJ9,0.039,0.997,1
AF-Q9Y6A2-F1-model_v4_info.txt,Q9Y6A2,0.344,0.997,1
AF-A2A3N6-F1-model_v4_info.txt,A2A3N6,0.068,0.996,3
AF-A5PLL7-F1-model_v4_info.txt,A5PLL7,0.07,0.996,1
AF-A8MYU2-F1-model_v4_info.txt,A8MYU2,0.157,0.996,3
AF-O00204-F1-model_v4_info.txt,O00204,0.599,0.996,1
AF-O14569-F1-model_v4_info.txt,O14569,0.027,0.996,1
AF-O43448-F1-model_v4_info.txt,O43448,0.402,0.996,1
AF-O60287-F1-model_v4_info.txt,O60287,0.109,0.996,2
AF-P0C7X4-F1-model_v4_info.txt,P0C7X4,0.082,0.996,1
AF-P10632-F1-model_v4_info.txt,P10632,0.134,0.996,2
AF-P11279-F1-model_v4_info.txt,P11279,0.157,0.996,1
AF-P34903-F1-model_v4_info.txt,P34903,-0.016,0.996,1
AF-P35372-F1-model_v4_info.txt,P35372,0.132,0.996,1
AF-P35408-F1-model_v4_info.txt,P35408,0.069,0.996,1
AF-P36021-F1-model_v4_info.txt,P36021,0.056,0.996,2
AF-P56937-F1-model_v4_info.txt,P56937,0.196,0.996,1
AF-Q02161-F1-model_v4_info.txt,Q02161,0.088,0.996,1
AF-Q12982-F1-model_v4_info.txt,Q12982,0.084,0.996,1
AF-Q32M45-F1-model_v4_info.txt,Q32M45,0.086,0.996,2
AF-Q3SXM5-F1-model_v4_info.txt,Q3SXM5,0.086,0.996,1
AF-Q49AJ0-F1-model_v4_info.txt,Q49AJ0,0.006,0.996,2
AF-Q5CZC0-F20-model_v4_info.txt,Q5CZC0,0.261,0.996,1
AF-Q5VST9-F23-model_v4_info.txt,Q5VST9,0.11,0.996,1
AF-Q63HN8-F13-model_v4_info.txt,Q63HN8,0.222,0.996,1
AF-Q685J3-F1-model_v4_info.txt,Q685J3,0.162,0.996,6
AF-Q685J3-F7-model_v4_info.txt,Q685J3,0.253,0.996,7
AF-Q7Z465-F1-model_v4_info.txt,Q7Z465,0.19,0.996,1
AF-Q86UQ4-F6-model_v4_info.txt,Q86UQ4,0.172,0.996,9
AF-Q8IUH5-F1-model_v4_info.txt,Q8IUH5,0.086,0.996,1
AF-Q8N612-F1-model_v4_info.txt,Q8N612,0.165,0.996,2
AF-Q8NB78-F1-model_v4_info.txt,Q8NB78,0.366,0.996,3
AF-Q8NG84-F1-model_v4_info.txt,Q8NG84,0.114,0.996,1
AF-Q8TDS5-F1-model_v4_info.txt,Q8TDS5,0.434,0.996,2
AF-Q92959-F1-model_v4_info.txt,Q92959,0.071,0.996,1
AF-Q96DZ9-F1-model_v4_info.txt,Q96DZ9,0.089,0.996,2
AF-Q99570-F1-model_v4_info.txt,Q99570,0.108,0.996,1
AF-Q9BVR0-F1-model_v4_info.txt,Q9BVR0,0.175,0.996,2
AF-Q9H6R6-F1-model_v4_info.txt,Q9H6R6,0.155,0.996,1
AF-Q9HAW9-F1-model_v4_info.txt,Q9HAW9,0.103,0.996,1
AF-Q9HAY6-F1-model_v4_info.txt,Q9HAY6,0.446,0.996,1
AF-Q9NQ40-F1-model_v4_info.txt,Q9NQ40,0.104,0.996,4
AF-Q9NVV5-F1-model_v4_info.txt,Q9NVV5,0.424,0.996,1
AF-Q9UNN8-F1-model_v4_info.txt,Q9UNN8,0.083,0.996,1
AF-Q9UPQ4-F1-model_v4_info.txt,Q9UPQ4,0.324,0.996,2
AF-Q9Y5W5-F1-model_v4_info.txt,Q9Y5W5,0.105,0.996,1
AF-A6NHS7-F1-model_v4_info.txt,A6NHS7,0.166,0.995,1
AF-O15374-F1-model_v4_info.txt,O15374,0.162,0.995,3
AF-O60551-F1-model_v4_info.txt,O60551,0.502,0.995,1
AF-O60706-F1-model_v4_info.txt,O60706,0.159,0.995,1
AF-P0DMM9-F1-model_v4_info.txt,P0DMM9,0.441,0.995,1
AF-P0DMN0-F1-model_v4_info.txt,P0DMN0,0.295,0.995,1
AF-P15538-F1-model_v4_info.txt,P15538,0.091,0.995,1
AF-P22888-F1-model_v4_info.txt,P22888,0.198,0.995,2
AF-P46379-F1-model_v4_info.txt,P46379,0.023,0.995,1
AF-P54855-F1-model_v4_info.txt,P54855,0.396,0.995,1
AF-Q02318-F1-model_v4_info.txt,Q02318,0.078,0.995,1
AF-Q13488-F1-model_v4_info.txt,Q13488,0.243,0.995,1
AF-Q15546-F1-model_v4_info.txt,Q15546,0.023,0.995,1
AF-Q15776-F1-model_v4_info.txt,Q15776,0.077,0.995,1
AF-Q16787-F8-model_v4_info.txt,Q16787,0.094,0.995,3
AF-Q2PZI1-F1-model_v4_info.txt,Q2PZI1,0.09,0.995,2
AF-Q5T9L3-F1-model_v4_info.txt,Q5T9L3,0.002,0.995,2
AF-Q6GMR7-F1-model_v4_info.txt,Q6GMR7,0.082,0.995,1
AF-Q6QHC5-F1-model_v4_info.txt,Q6QHC5,0.075,0.995,1
AF-Q86UQ4-F8-model_v4_info.txt,Q86UQ4,0.109,0.995,5
AF-Q8IVB4-F1-model_v4_info.txt,Q8IVB4,0.078,0.995,3
AF-Q8IWW8-F1-model_v4_info.txt,Q8IWW8,0.351,0.995,2
AF-Q8IXF9-F1-model_v4_info.txt,Q8IXF9,0.143,0.995,1
AF-Q8N5B7-F1-model_v4_info.txt,Q8N5B7,0.179,0.995,2
AF-Q8NFQ6-F1-model_v4_info.txt,Q8NFQ6,0.137,0.995,1
AF-Q8NGX5-F1-model_v4_info.txt,Q8NGX5,0.129,0.995,1
AF-Q8NH53-F1-model_v4_info.txt,Q8NH53,0.038,0.995,1
AF-Q8TBR7-F1-model_v4_info.txt,Q8TBR7,0.086,0.995,1
AF-Q8TDX9-F9-model_v4_info.txt,Q8TDX9,0.074,0.995,4
AF-Q8WUD6-F1-model_v4_info.txt,Q8WUD6,0.151,0.995,1
AF-Q9H4I3-F1-model_v4_info.txt,Q9H4I3,0.139,0.995,1
AF-Q9H5I5-F2-model_v4_info.txt,Q9H5I5,0.131,0.995,3
AF-Q9H5I5-F7-model_v4_info.txt,Q9H5I5,0.12,0.995,1
AF-Q9N2K0-F1-model_v4_info.txt,Q9N2K0,0.114,0.995,4
AF-Q9UBT7-F1-model_v4_info.txt,Q9UBT7,0.121,0.995,2
AF-Q9UKN7-F6-model_v4_info.txt,Q9UKN7,0.216,0.995,4
AF-Q9Y3E0-F1-model_v4_info.txt,Q9Y3E0,0.042,0.995,3
AF-Q9Y5R4-F1-model_v4_info.txt,Q9Y5R4,0.469,0.995,1
AF-Q9Y616-F1-model_v4_info.txt,Q9Y616,0.031,0.995,2
AF-A0A1B0GWB2-F1-model_v4_info.txt,A0A1B0GWB2,0.037,0.994,1
AF-A0A494C071-F1-model_v4_info.txt,A0A494C071,0.222,0.994,9
AF-O00423-F1-model_v4_info.txt,O00423,0.196,0.994,4
AF-O14718-F1-model_v4_info.txt,O14718,0.128,0.994,1
AF-O43325-F1-model_v4_info.txt,O43325,0.428,0.994,1
AF-O75592-F9-model_v4_info.txt,O75592,0.128,0.994,1
AF-P0DTE4-F1-model_v4_info.txt,P0DTE4,0.058,0.994,1
AF-P10266-F1-model_v4_info.txt,P10266,0.114,0.994,1
AF-P10635-F1-model_v4_info.txt,P10635,0.057,0.994,1
AF-P21926-F1-model_v4_info.txt,P21926,0.063,0.994,1
AF-P33261-F1-model_v4_info.txt,P33261,0.079,0.994,1
AF-P35499-F1-model_v4_info.txt,P35499,0.184,0.994,5
AF-Q16678-F1-model_v4_info.txt,Q16678,0.5,0.994,1
AF-Q5U3C3-F1-model_v4_info.txt,Q5U3C3,0.171,0.994,3
AF-Q5VZE5-F1-model_v4_info.txt,Q5VZE5,0.096,0.994,1
AF-Q5VZR4-F1-model_v4_info.txt,Q5VZR4,0.077,0.994,2
AF-Q6P1A2-F1-model_v4_info.txt,Q6P1A2,0.332,0.994,2
AF-Q6V0I7-F2-model_v4_info.txt,Q6V0I7,0.14,0.994,1
AF-Q6V0L0-F1-model_v4_info.txt,Q6V0L0,0.071,0.994,1
AF-Q6ZMI0-F1-model_v4_info.txt,Q6ZMI0,0.175,0.994,1
AF-Q71F23-F1-model_v4_info.txt,Q71F23,0.002,0.994,1
AF-Q7Z5P9-F17-model_v4_info.txt,Q7Z5P9,0.271,0.994,4
AF-Q86W10-F1-model_v4_info.txt,Q86W10,0.172,0.994,1
AF-Q8NFP9-F8-model_v4_info.txt,Q8NFP9,0.066,0.994,2
AF-Q8TDD1-F1-model_v4_info.txt,Q8TDD1,0.245,0.994,3
AF-Q8TDL5-F1-model_v4_info.txt,Q8TDL5,0.322,0.994,1
AF-Q8WUM9-F1-model_v4_info.txt,Q8WUM9,0.089,0.994,1
AF-Q9GZN6-F1-model_v4_info.txt,Q9GZN6,0.119,0.994,1
AF-Q9HB15-F1-model_v4_info.txt,Q9HB15,0.139,0.994,1
AF-Q9HC24-F1-model_v4_info.txt,Q9HC24,0.141,0.994,1
AF-Q9NYQ6-F10-model_v4_info.txt,Q9NYQ6,0.244,0.994,1
AF-Q9UHE8-F1-model_v4_info.txt,Q9UHE8,0.019,0.994,1
AF-Q9ULT0-F1-model_v4_info.txt,Q9ULT0,0.133,0.994,3
AF-A6NF89-F1-model_v4_info.txt,A6NF89,0.421,0.993,2
AF-M0QZD8-F1-model_v4_info.txt,M0QZD8,0.222,0.993,4
AF-O14514-F1-model_v4_info.txt,O14514,0.163,0.993,1
AF-O43924-F1-model_v4_info.txt,O43924,0.293,0.993,1
AF-O60774-F1-model_v4_info.txt,O60774,0.23,0.993,1
AF-O75795-F1-model_v4_info.txt,O75795,0.203,0.993,1
AF-O95397-F1-model_v4_info.txt,O95397,0.053,0.993,2
AF-P30419-F1-model_v4_info.txt,P30419,0.184,0.993,1
AF-P47989-F1-model_v4_info.txt,P47989,0.138,0.993,3
AF-P54219-F1-model_v4_info.txt,P54219,0.071,0.993,1
AF-Q14680-F1-model_v4_info.txt,Q14680,0.159,0.993,1
AF-Q15125-F1-model_v4_info.txt,Q15125,0.244,0.993,2
AF-Q3SY77-F1-model_v4_info.txt,Q3SY77,0.133,0.993,3
AF-Q5T3F8-F1-model_v4_info.txt,Q5T3F8,0.166,0.993,2
AF-Q5T4S7-F8-model_v4_info.txt,Q5T4S7,0.355,0.993,1
AF-Q5VST6-F1-model_v4_info.txt,Q5VST6,0.114,0.993,1
AF-Q5VZY2-F1-model_v4_info.txt,Q5VZY2,0.383,0.993,2
AF-Q685J3-F17-model_v4_info.txt,Q685J3,0.018,0.993,2
AF-Q685J3-F6-model_v4_info.txt,Q685J3,0.273,0.993,5
AF-Q6P4A8-F1-model_v4_info.txt,Q6P4A8,0.146,0.993,1
AF-Q6ZUG5-F1-model_v4_info.txt,Q6ZUG5,0.02,0.993,1
AF-Q7L5A8-F1-model_v4_info.txt,Q7L5A8,0.095,0.993,3
AF-Q8IZF6-F9-model_v4_info.txt,Q8IZF6,0.18,0.993,1
AF-Q8NGF7-F1-model_v4_info.txt,Q8NGF7,0.42,0.993,1
AF-Q8NH81-F1-model_v4_info.txt,Q8NH81,0.138,0.993,1
AF-Q92903-F1-model_v4_info.txt,Q92903,0.167,0.993,2
AF-Q96CH1-F1-model_v4_info.txt,Q96CH1,0.093,0.993,4
AF-Q96HE9-F1-model_v4_info.txt,Q96HE9,0.431,0.993,1
AF-Q96K12-F1-model_v4_info.txt,Q96K12,0.267,0.993,1
AF-Q96R27-F1-model_v4_info.txt,Q96R27,0.064,0.993,1
AF-Q96S06-F1-model_v4_info.txt,Q96S06,0.207,0.993,2
AF-Q9BZF3-F1-model_v4_info.txt,Q9BZF3,0.238,0.993,1
AF-Q9H5I5-F8-model_v4_info.txt,Q9H5I5,0.076,0.993,1
AF-Q9H720-F1-model_v4_info.txt,Q9H720,0.374,0.993,1
AF-Q9H8M1-F1-model_v4_info.txt,Q9H8M1,0.425,0.993,1
AF-Q9H9P8-F1-model_v4_info.txt,Q9H9P8,0.521,0.993,2
AF-Q9NPG1-F1-model_v4_info.txt,Q9NPG1,0.082,0.993,2
AF-Q9NPH5-F1-model_v4_info.txt,Q9NPH5,0.046,0.993,3
AF-Q9NYB5-F1-model_v4_info.txt,Q9NYB5,0.111,0.993,1
AF-Q9UBH6-F1-model_v4_info.txt,Q9UBH6,0.207,0.993,3
AF-Q9UIG8-F1-model_v4_info.txt,Q9UIG8,0.116,0.993,1
AF-Q9Y485-F5-model_v4_info.txt,Q9Y485,0.088,0.993,2
AF-Q9Y4A5-F12-model_v4_info.txt,Q9Y4A5,0.133,0.993,5
AF-Q9Y6R7-F4-model_v4_info.txt,Q9Y6R7,0.741,0.993,3
AF-A6NL26-F1-model_v4_info.txt,A6NL26,0.063,0.992,1
AF-C9JH25-F1-model_v4_info.txt,C9JH25,0.105,0.992,2
AF-C9JRZ8-F1-model_v4_info.txt,C9JRZ8,0.393,0.992,1
AF-O00584-F1-model_v4_info.txt,O00584,0.065,0.992,1
AF-O14832-F1-model_v4_info.txt,O14832,0.057,0.992,1
AF-O75592-F10-model_v4_info.txt,O75592,0.039,0.992,4
AF-O94805-F1-model_v4_info.txt,O94805,0.097,0.992,1
AF-P06727-F1-model_v4_info.txt,P06727,0.205,0.992,2
AF-P14061-F1-model_v4_info.txt,P14061,0.071,0.992,1
AF-P22459-F1-model_v4_info.txt,P22459,0.111,0.992,1
AF-P24046-F1-model_v4_info.txt,P24046,0.041,0.992,1
AF-P43003-F1-model_v4_info.txt,P43003,0.263,0.992,2
AF-P46095-F1-model_v4_info.txt,P46095,0.233,0.992,1
AF-P59544-F1-model_v4_info.txt,P59544,0.09,0.992,1
AF-P83105-F1-model_v4_info.txt,P83105,0.107,0.992,1
AF-Q00597-F1-model_v4_info.txt,Q00597,0.319,0.992,4
AF-Q05C16-F1-model_v4_info.txt,Q05C16,0.057,0.992,1
AF-Q06520-F1-model_v4_info.txt,Q06520,0.253,0.992,1
AF-Q13635-F1-model_v4_info.txt,Q13635,0.164,0.992,1
AF-Q15858-F1-model_v4_info.txt,Q15858,0.314,0.992,3
AF-Q6AW86-F1-model_v4_info.txt,Q6AW86,0.038,0.992,1
AF-Q6ZWT7-F1-model_v4_info.txt,Q6ZWT7,0.08,0.992,2
AF-Q71RH2-F1-model_v4_info.txt,Q71RH2,0.146,0.992,3
AF-Q71RS6-F1-model_v4_info.txt,Q71RS6,0.07,0.992,3
AF-Q7Z5P9-F26-model_v4_info.txt,Q7Z5P9,0.504,0.992,2
AF-Q8IZQ1-F5-model_v4_info.txt,Q8IZQ1,0.157,0.992,1
AF-Q8N1S5-F1-model_v4_info.txt,Q8N1S5,0.181,0.992,2
