"","external_gene_name","description","count","counts_when_betweeness_0","counts_when_citation_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_eigen_centrality_0","counts_when_closeness_0"
"41","CIMIP2C","ciliary microtubule inner protein 2C",210,23,0,0,0,10,27
"42","GNG3","G protein subunit gamma 3",203,0,0,0,35,2,2
"43","CFAP144","cilia and flagella associated protein 144",187,21,0,0,0,6,25
"44","IQCJ-SCHIP1","IQCJ-SCHIP1 readthrough",179,3,0,6,2,3,9
"45","SCGB1D2","secretoglobin family 1D member 2",165,0,0,0,24,0,0
"46","TMEM249","transmembrane protein 249",164,5,0,2,0,2,12
"47","ZNF610","zinc finger protein 610",155,5,0,5,0,0,11
"48","RAMACL","RNA guanine-7 methyltransferase activating subunit like",154,1,0,3,8,1,3
"49","ZNF552","zinc finger protein 552",135,3,0,3,0,0,8
"50","SRD5A1","steroid 5 alpha-reductase 1",125,9,7,9,0,5,0
"51","ZNF724","zinc finger protein 724",118,3,0,3,1,0,6
"52","HSPA4","heat shock protein family A (Hsp70) member 4",106,3,5,0,0,0,0
"53","ZNF468","zinc finger protein 468",105,2,0,2,0,0,9
"54","MYC","MYC proto-oncogene, bHLH transcription factor",102,0,1,0,0,0,0
"55","KIF19","kinesin family member 19",98,7,0,0,0,8,23
"56","KCNAB3","potassium voltage-gated channel subfamily A regulatory beta subunit 3",93,9,0,0,0,1,10
"57","H2AX","H2A.X variant histone",90,0,15,0,0,1,4
"58","TUBB8B","tubulin beta 8B",88,1,0,1,2,1,1
"59","FYN","FYN proto-oncogene, Src family tyrosine kinase",87,3,4,0,0,0,1
"60","ZNF681","zinc finger protein 681",85,0,0,0,1,0,5
"61","ZNF480","zinc finger protein 480",76,1,0,1,0,0,4
"62","EPHB3","EPH receptor B3",72,0,0,4,0,0,0
"63","CCDC196","coiled-coil domain containing 196",71,0,0,1,0,0,2
"64","TGFA","transforming growth factor alpha",69,0,0,0,0,0,0
"65","MATCAP1","microtubule associated tyrosine carboxypeptidase 1",67,0,0,0,0,0,0
"66","NAALADL2","N-acetylated alpha-linked acidic dipeptidase like 2",59,7,0,7,0,7,0
"67","SRD5A3","steroid 5 alpha-reductase 3",59,5,1,6,0,2,0
"68","ZNF564","zinc finger protein 564",59,0,0,0,3,0,0
"69","ZNF730","zinc finger protein 730",51,0,0,0,2,0,0
"70","ZNF727","zinc finger protein 727",48,0,0,0,2,0,0
"71","SRD5A2","steroid 5 alpha-reductase 2",45,2,3,1,0,1,0
"72","GOLGA8R","golgin A8 family member R",44,0,0,0,0,0,0
"73","GNG5","G protein subunit gamma 5",42,0,0,0,1,0,0
"74","H2BC5","H2B clustered histone 5",40,0,0,0,0,2,5
"75","H2BC7","H2B clustered histone 7",40,0,0,0,0,0,12
"76","CALML5","calmodulin like 5",39,9,0,0,0,0,0
"77","CFAP90","cilia and flagella associated protein 90",39,0,0,0,1,0,0
"78","ZNF233","zinc finger protein 233",39,0,0,0,0,0,1
"79","ZNF678","zinc finger protein 678",38,0,0,0,0,0,0
"80","SLURP2","secreted LY6/PLAUR domain containing 2",37,0,0,0,1,0,0
"81","CFAP141","cilia and flagella associated protein 141",33,0,0,0,0,0,0
"82","ZNF700","zinc finger protein 700",33,0,0,0,0,0,1
"83","PIERCE2","piercer of microtubule wall 2",29,2,0,0,0,0,0
"84","OR52B2","olfactory receptor family 52 subfamily B member 2",28,0,0,0,0,0,0
"85","YWHAZ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta",26,0,2,0,0,1,4
"86","SPDYE2","speedy/RINGO cell cycle regulator family member E2",25,0,0,0,0,0,0
"87","ZNF20","zinc finger protein 20",25,0,0,0,0,0,0
"88","KIF25","kinesin family member 25",24,3,0,0,0,0,0
"89","ZNF485","zinc finger protein 485",24,0,0,0,0,0,0
"90","ZNF449","zinc finger protein 449",21,0,0,0,0,0,0
"91","ZNF860","zinc finger protein 860",20,0,0,0,0,0,0
"92","HLA-DQB2","major histocompatibility complex, class II, DQ beta 2",19,0,0,0,0,0,1
"93","CCT3","chaperonin containing TCP1 subunit 3",18,0,1,0,0,0,0
"94","WDCP","WD repeat and coiled coil containing",16,0,0,0,0,0,0
"95","EZR","ezrin",15,0,0,0,0,0,0
"96","RFC3","replication factor C subunit 3",14,0,0,0,0,3,3
"97","UGT3A2","UDP glycosyltransferase family 3 member A2",13,0,0,0,0,0,0
"98","FHIP1B","FHF complex subunit HOOK interacting protein 1B",11,0,0,0,0,0,0
"99","CFAP53","cilia and flagella associated protein 53",10,0,0,0,0,0,0
"100","TMEM52B","transmembrane protein 52B",10,0,0,0,0,0,0
"101","ZNF43","zinc finger protein 43",10,0,0,0,0,0,0
"102","ZNF626","zinc finger protein 626",10,0,0,0,0,0,0
"103","ZNF696","zinc finger protein 696",9,0,0,0,0,0,0
"104","ADCY5","adenylate cyclase 5",8,0,0,0,0,0,0
"105","GPR156","G protein-coupled receptor 156",8,0,0,0,0,0,0
"106","CACNA1G","calcium voltage-gated channel subunit alpha1 G",7,0,0,0,0,0,0
"107","CD36","CD36 molecule (CD36 blood group)",7,0,0,0,0,0,0
"108","RRH","retinal pigment epithelium-derived rhodopsin homolog",6,0,0,0,0,0,0
"109","ZNF429","zinc finger protein 429",6,0,0,0,0,0,0
"110","ZNF486","zinc finger protein 486",6,0,0,0,0,0,0
"111","DST","dystonin",5,0,0,0,0,0,0
"112","HAO2","hydroxyacid oxidase 2",5,0,0,0,0,0,0
"113","HAUS8","HAUS augmin like complex subunit 8",5,0,0,0,0,0,0
"114","KCTD14","potassium channel tetramerization domain containing 14",5,0,0,0,0,0,0
"115","ACAN","aggrecan",4,0,0,0,0,0,0
"116","C6orf52","chromosome 6 open reading frame 52",4,0,0,0,0,0,0
"117","CYP4F8","cytochrome P450 family 4 subfamily F member 8",4,0,0,0,0,0,0
"118","RFC4","replication factor C subunit 4",4,0,0,0,0,0,0
"119","RPS3A","ribosomal protein S3A",4,0,0,0,0,0,0
"120","SULT1E1","sulfotransferase family 1E member 1",4,0,0,0,0,0,0
"121","SYK","spleen associated tyrosine kinase",4,0,0,0,0,0,0
"122","BNIPL","BCL2 interacting protein like",3,0,0,0,0,0,0
"123","CLCN3","chloride voltage-gated channel 3",3,0,0,0,0,0,0
"124","KCNAB1","potassium voltage-gated channel subfamily A regulatory beta subunit 1",3,0,0,0,0,0,0
"125","PRKDC","protein kinase, DNA-activated, catalytic subunit",3,0,0,0,0,0,0
"126","PROCR","protein C receptor",3,0,0,0,0,0,0
"127","TRAM1","translocation associated membrane protein 1",3,0,0,0,0,0,0
"128","ABCA12","ATP binding cassette subfamily A member 12",2,0,0,0,0,0,0
"129","B3GALT5","beta-1,3-galactosyltransferase 5",2,0,0,0,0,0,0
"130","CETP","cholesteryl ester transfer protein",2,0,0,0,0,0,0
"131","H2BC13","H2B clustered histone 13",2,0,0,0,0,0,0
"132","LRPPRC","leucine rich pentatricopeptide repeat containing",2,0,0,0,0,0,0
"133","MMRN2","multimerin 2",2,0,0,0,0,0,0
"134","TIGD4","tigger transposable element derived 4",2,0,0,0,0,0,0
"135","CYP4F12","cytochrome P450 family 4 subfamily F member 12",1,0,0,0,0,0,0
"136","DPY19L2","dpy-19 like 2",1,0,0,0,0,0,0
"137","KCNK13","potassium two pore domain channel subfamily K member 13",1,0,0,0,0,0,0
"138","MAPK15","mitogen-activated protein kinase 15",1,0,0,0,0,0,0
"139","SERINC2","serine incorporator 2",1,0,0,0,0,0,0
"140","SIDT1","SID1 transmembrane family member 1",1,0,0,0,0,0,0
"141","SLC8A2","solute carrier family 8 member A2",1,0,0,0,0,0,0
"142","STT3B","STT3 oligosaccharyltransferase complex catalytic subunit B",1,0,0,0,0,0,0
"143","TMEM45B","transmembrane protein 45B",1,0,0,0,0,0,0
