PYCR3	NUDCD1	C8orf76	GDF6	FGFBP3	SHARPIN	POP1	GFUS	SYBU	TRHR
FAM209B	FAM209A	FAM210B	NA	NA	NA	NA	NA	NA	NA
FAM149B1	NUDT13	NA	NA	NA	NA	NA	NA	NA	NA
UPK3B	NKAIN4	NA	NA	NA	NA	NA	NA	NA	NA
SLC12A7	SLC26A7	NA	NA	NA	NA	NA	NA	NA	NA
JTB	MRFAP1	NA	NA	NA	NA	NA	NA	NA	NA
RNASEH2C	OR2A12	NA	NA	NA	NA	NA	NA	NA	NA
DEFB114	DEFB123	NA	NA	NA	NA	NA	NA	NA	NA
OR9A2	OTOL1	NA	NA	NA	NA	NA	NA	NA	NA
SLC37A3	GLMP	NA	NA	NA	NA	NA	NA	NA	NA
C16orf89	UVSSA	NA	NA	NA	NA	NA	NA	NA	NA
TRIM49	KHDC1L	NA	NA	NA	NA	NA	NA	NA	NA
ZNF789	ACOT6	NA	NA	NA	NA	NA	NA	NA	NA
MARCHF11	RNF19A	NA	NA	NA	NA	NA	NA	NA	NA
OIT3	GDAP1L1	NA	NA	NA	NA	NA	NA	NA	NA
TPRG1	CCDC3	NA	NA	NA	NA	NA	NA	NA	NA
PLET1	LGR6	NA	NA	NA	NA	NA	NA	NA	NA
CSTL1	PRAF2	NA	NA	NA	NA	NA	NA	NA	NA
SH2D4B	TSPAN14	NA	NA	NA	NA	NA	NA	NA	NA
GPAA1	PIGZ	NA	NA	NA	NA	NA	NA	NA	NA
ANKRD35	LIX1L	NA	NA	NA	NA	NA	NA	NA	NA
FBRS	BTBD17	NA	NA	NA	NA	NA	NA	NA	NA
LEMD1	LEXM	NA	NA	NA	NA	NA	NA	NA	NA
FUNDC2	FAM162A	NA	NA	NA	NA	NA	NA	NA	NA
CUTC	ENTPD7	NA	NA	NA	NA	NA	NA	NA	NA
GTSF1L	CAPN11	NA	NA	NA	NA	NA	NA	NA	NA
MANSC4	PRR23C	NA	NA	NA	NA	NA	NA	NA	NA
OR2F2	TCAF1	NA	NA	NA	NA	NA	NA	NA	NA
PIANP	ZBED6	NA	NA	NA	NA	NA	NA	NA	NA
NDUFAF7	NA	NA	NA	NA	NA	NA	NA	NA	NA
HS3ST1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFTR	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP51A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
USP28	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDK4	NA	NA	NA	NA	NA	NA	NA	NA	NA
BAIAP2L1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPAP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RANBP9	NA	NA	NA	NA	NA	NA	NA	NA	NA
TSPAN9	NA	NA	NA	NA	NA	NA	NA	NA	NA
UBR7	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPRC5A	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
COX15	NA	NA	NA	NA	NA	NA	NA	NA	NA
RGPD5	NA	NA	NA	NA	NA	NA	NA	NA	NA
XYLT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCTR	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSD	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC7A9	NA	NA	NA	NA	NA	NA	NA	NA	NA
RB1CC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDH17	NA	NA	NA	NA	NA	NA	NA	NA	NA
B4GALT7	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYOC	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM136A	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRI1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCN	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPP1R3F	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLDN11	NA	NA	NA	NA	NA	NA	NA	NA	NA
YIPF1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADCK2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC2A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTUD5	NA	NA	NA	NA	NA	NA	NA	NA	NA
LMCD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANO8	NA	NA	NA	NA	NA	NA	NA	NA	NA
ICAM3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTTNBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTL6B	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM161A	NA	NA	NA	NA	NA	NA	NA	NA	NA
FOXJ2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GOLGA5	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIP13	NA	NA	NA	NA	NA	NA	NA	NA	NA
VASH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HSD17B10	NA	NA	NA	NA	NA	NA	NA	NA	NA
BPIFB2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPATCH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRO	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAPTM4A	NA	NA	NA	NA	NA	NA	NA	NA	NA
ASNS	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM107B	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRAM2	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEATR6	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM38A	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTR6	NA	NA	NA	NA	NA	NA	NA	NA	NA
BLTP3A	NA	NA	NA	NA	NA	NA	NA	NA	NA
OSTM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC13A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
OXCT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PILRA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RRN3	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOGAT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZW10	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRMT6	NA	NA	NA	NA	NA	NA	NA	NA	NA
UQCRC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MLF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHRD	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABCC6	NA	NA	NA	NA	NA	NA	NA	NA	NA
UNC13D	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR1I1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	NA	NA	NA	NA	NA	NA	NA	NA	NA
FMO2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DHPS	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEMA4G	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSTA3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM14A	NA	NA	NA	NA	NA	NA	NA	NA	NA
SIRT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
STX1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
NDUFB7	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNAP29	NA	NA	NA	NA	NA	NA	NA	NA	NA
USP18	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC25A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAPOLA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSTZ1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPTLC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALKBH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC10A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BDKRB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP24A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PYGB	NA	NA	NA	NA	NA	NA	NA	NA	NA
PROCR	NA	NA	NA	NA	NA	NA	NA	NA	NA
MYBL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTSZ	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUBB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLCO4A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
EEF1A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC52A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PROKR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LBP	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC32A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
AHCY	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIGU	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACOT8	NA	NA	NA	NA	NA	NA	NA	NA	NA
APMAP	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCND1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PQBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCSK1N	NA	NA	NA	NA	NA	NA	NA	NA	NA
USP11	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITIH6	NA	NA	NA	NA	NA	NA	NA	NA	NA
CORO1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAZ	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDIPT	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZFAND1	NA	NA	NA	NA	NA	NA	NA	NA	NA
EMC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP4F3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBC1D17	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP4F2	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPHX3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDC37	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB3D	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPOR	NA	NA	NA	NA	NA	NA	NA	NA	NA
GCDH	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB3A	NA	NA	NA	NA	NA	NA	NA	NA	NA
COMP	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP3A43	NA	NA	NA	NA	NA	NA	NA	NA	NA
TFPI2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TSPAN12	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDAP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP3A5	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCOLCE	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBM28	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOGAT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLOD3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEP41	NA	NA	NA	NA	NA	NA	NA	NA	NA
MEST	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLIP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHMP5	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP26A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBC1D12	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPO	NA	NA	NA	NA	NA	NA	NA	NA	NA
ST6GALNAC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPX	NA	NA	NA	NA	NA	NA	NA	NA	NA
SUPT4H1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RPS6KB1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRC59	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFM	NA	NA	NA	NA	NA	NA	NA	NA	NA
GNRHR	NA	NA	NA	NA	NA	NA	NA	NA	NA
CWH43	NA	NA	NA	NA	NA	NA	NA	NA	NA
SULT1E1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WFS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CTSC	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZPR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCND1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM109	NA	NA	NA	NA	NA	NA	NA	NA	NA
PANX1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC15A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGAT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC25A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD69	NA	NA	NA	NA	NA	NA	NA	NA	NA
CLEC2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL23A	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYP27B1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PPM1H	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITFG2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PARP11	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTBR	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACRBP	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHPT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GOLT1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
FGFR1OP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADTRP	NA	NA	NA	NA	NA	NA	NA	NA	NA
HINT3	NA	NA	NA	NA	NA	NA	NA	NA	NA
FANCE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TULP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAPK14	NA	NA	NA	NA	NA	NA	NA	NA	NA
HLA-DOA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAYSD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPLD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
B3GAT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZBTB24	NA	NA	NA	NA	NA	NA	NA	NA	NA
FIG4	NA	NA	NA	NA	NA	NA	NA	NA	NA
MDFI	NA	NA	NA	NA	NA	NA	NA	NA	NA
BYSL	NA	NA	NA	NA	NA	NA	NA	NA	NA
GUCA1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRPH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNPH1	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAMA4	NA	NA	NA	NA	NA	NA	NA	NA	NA
HARS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TENT4A	NA	NA	NA	NA	NA	NA	NA	NA	NA
HBEGF	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCDH12	NA	NA	NA	NA	NA	NA	NA	NA	NA
NUP155	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC7A14	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHHADH	NA	NA	NA	NA	NA	NA	NA	NA	NA
HRG	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
RBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PFKFB4	NA	NA	NA	NA	NA	NA	NA	NA	NA
MORC1	NA	NA	NA	NA	NA	NA	NA	NA	NA
TFPI	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC11A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAHD2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC30A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNX17	NA	NA	NA	NA	NA	NA	NA	NA	NA
TTC31	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
EVA1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNJ13	NA	NA	NA	NA	NA	NA	NA	NA	NA
GGCX	NA	NA	NA	NA	NA	NA	NA	NA	NA
IL1RL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC9A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PROC	NA	NA	NA	NA	NA	NA	NA	NA	NA
CEBPZ	NA	NA	NA	NA	NA	NA	NA	NA	NA
RMDN2	NA	NA	NA	NA	NA	NA	NA	NA	NA
ORC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TCEANC2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM59	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC35D1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WARS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
P3H1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC19A2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SELL	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC5A9	NA	NA	NA	NA	NA	NA	NA	NA	NA
A4GNT	NA	NA	NA	NA	NA	NA	NA	NA	NA
MMP8	NA	NA	NA	NA	NA	NA	NA	NA	NA
APOA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOP1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPACA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
RNF103	NA	NA	NA	NA	NA	NA	NA	NA	NA
SOGA1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CCNI	NA	NA	NA	NA	NA	NA	NA	NA	NA
RARRES1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CPSF3	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSC	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADCK1	NA	NA	NA	NA	NA	NA	NA	NA	NA
IRF2BPL	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACOT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FLVCR2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TGFB3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TMEM214	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM98A	NA	NA	NA	NA	NA	NA	NA	NA	NA
MFSD13A	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRLHR	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUSP1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PANK3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARAP3	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WASHC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
RDH10	NA	NA	NA	NA	NA	NA	NA	NA	NA
TBX2	NA	NA	NA	NA	NA	NA	NA	NA	NA
TEX14	NA	NA	NA	NA	NA	NA	NA	NA	NA
NCAPH	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAS2R8	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAS2R10	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAS2R7	NA	NA	NA	NA	NA	NA	NA	NA	NA
GHSR	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNFSF10	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKR1D1	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRGN	NA	NA	NA	NA	NA	NA	NA	NA	NA
SSPN	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRIR	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADGRE5	NA	NA	NA	NA	NA	NA	NA	NA	NA
ORMDL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAAH	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEC61A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
BATF3	NA	NA	NA	NA	NA	NA	NA	NA	NA
C4BPB	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAB38	NA	NA	NA	NA	NA	NA	NA	NA	NA
GPR83	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHPF	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTR5	NA	NA	NA	NA	NA	NA	NA	NA	NA
MC3R	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLCG1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTGIS	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNAI1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOCS3	NA	NA	NA	NA	NA	NA	NA	NA	NA
MCEE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAIP2B	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR2B6	NA	NA	NA	NA	NA	NA	NA	NA	NA
TREM1	NA	NA	NA	NA	NA	NA	NA	NA	NA
COL21A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
EREG	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCGB2A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
EMC3	NA	NA	NA	NA	NA	NA	NA	NA	NA
NT5C	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC35F5	NA	NA	NA	NA	NA	NA	NA	NA	NA
INSIG2	NA	NA	NA	NA	NA	NA	NA	NA	NA
PSD4	NA	NA	NA	NA	NA	NA	NA	NA	NA
GNRH2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CD93	NA	NA	NA	NA	NA	NA	NA	NA	NA
CST8	NA	NA	NA	NA	NA	NA	NA	NA	NA
MKKS	NA	NA	NA	NA	NA	NA	NA	NA	NA
SCRT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MMP24	NA	NA	NA	NA	NA	NA	NA	NA	NA
PLAGL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
IGFLR1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAPNS1	NA	NA	NA	NA	NA	NA	NA	NA	NA
HCST	NA	NA	NA	NA	NA	NA	NA	NA	NA
CSN1S1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CFP	NA	NA	NA	NA	NA	NA	NA	NA	NA
ABHD8	NA	NA	NA	NA	NA	NA	NA	NA	NA
YEATS4	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAS2R3	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAS2R4	NA	NA	NA	NA	NA	NA	NA	NA	NA
TAS2R5	NA	NA	NA	NA	NA	NA	NA	NA	NA
ZNF317	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBXL12	NA	NA	NA	NA	NA	NA	NA	NA	NA
OR7C2	NA	NA	NA	NA	NA	NA	NA	NA	NA
F2RL3	NA	NA	NA	NA	NA	NA	NA	NA	NA
METTL25	NA	NA	NA	NA	NA	NA	NA	NA	NA
TUBA4A	NA	NA	NA	NA	NA	NA	NA	NA	NA
GNG11	NA	NA	NA	NA	NA	NA	NA	NA	NA
FGL2	NA	NA	NA	NA	NA	NA	NA	NA	NA
STYXL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
STRIP2	NA	NA	NA	NA	NA	NA	NA	NA	NA
LRRC4	NA	NA	NA	NA	NA	NA	NA	NA	NA
SMO	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPN1SW	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACKR4	NA	NA	NA	NA	NA	NA	NA	NA	NA
RAP1B	NA	NA	NA	NA	NA	NA	NA	NA	NA
AANAT	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANGEL1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOCK7	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEC14L5	NA	NA	NA	NA	NA	NA	NA	NA	NA
DHX40	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLX1A	NA	NA	NA	NA	NA	NA	NA	NA	NA
GNAT2	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAST1	NA	NA	NA	NA	NA	NA	NA	NA	NA
UGT2A3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ADAMTS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC4A5	NA	NA	NA	NA	NA	NA	NA	NA	NA
SNX4	NA	NA	NA	NA	NA	NA	NA	NA	NA
TDRD1	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED17	NA	NA	NA	NA	NA	NA	NA	NA	NA
NXPE1	NA	NA	NA	NA	NA	NA	NA	NA	NA
DHX35	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRPC4AP	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAAF9	NA	NA	NA	NA	NA	NA	NA	NA	NA
CUL9	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACTR3C	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCDHGA12	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRMT2A	NA	NA	NA	NA	NA	NA	NA	NA	NA
ESS2	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
KRT6C	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNA5	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC27A1	NA	NA	NA	NA	NA	NA	NA	NA	NA
COLGALT1	NA	NA	NA	NA	NA	NA	NA	NA	NA
PGLS	NA	NA	NA	NA	NA	NA	NA	NA	NA
EPO	NA	NA	NA	NA	NA	NA	NA	NA	NA
PXDN	NA	NA	NA	NA	NA	NA	NA	NA	NA
JUND	NA	NA	NA	NA	NA	NA	NA	NA	NA
YIPF2	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF2S3	NA	NA	NA	NA	NA	NA	NA	NA	NA
ANGPTL6	NA	NA	NA	NA	NA	NA	NA	NA	NA
SHFL	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC7A10	NA	NA	NA	NA	NA	NA	NA	NA	NA
