# Observed cut height: 0.0962339
# Observed size of largest cluster at observed cut height: 26
# Expected size of largest cluster at observed cut height: 6.5
# Observed maximum ratio statistic: 4.000
# Expected maximum ratio statistic: 1.764
# p-value: 0.02
# Clusters:
BTNL3	BTNL8	DMBT1	FCGBP	GPRIN2	GREB1	KLK1	MAP6	MSLN	MUC16	MUC2	MUC3A	MUC4	MUC5AC	MUC5B	MUC6	PACC1	PDZK1IP1	PNP	SERPINA4	SLC5A1	TFF1	TFF2	TFF3	TMEM106B	XDH
B3GNT2	B3GNT3	C1GALT1	C1GALT1C1	GALNT6	TSPAN15	TSPAN9
HOXB4	HOXB5	HOXB6	HOXB7	HOXC6	TCF21
ABCA9	ACY3	ASPA	PMM1	PMM2
ADAMTS2	ADAMTS4	CCBE1	CTHRC1	EGFL7
ANKS4B	CDHR2	CDHR5	MYO7B	USH1C
CHPF	CHSY3	CSGALNACT1	CSGALNACT2	SLC30A1
CYP2C18	CYP2C8	CYP2C9	CYP2J2	CYP4F3
DNAH11	DNAH12	DNAH3	DNAH5	DNAH7
GJA4	GJB1	GJB2	GJB3	GJB4
LRRC8B	LRRC8D	LRRC8E	SLC44A1	TRIM2
MLPH	RAB27B	SYTL1	SYTL2	SYTL5
ATP10B	ATP8B1	ATP8B2	TMEM30B
CA13	CA2	SLC26A3	SLC4A4
CCDC112	CCDC148	NOL4L	TEX9
CCNB1IP1	H1-3	H1-5	ZNF662
CEMIP2	MAN2B1	MAN2B2	SIAE
CLDN10	CLDN18	CLDN2	TJP3
CMPK2	DCTPP1	ENTPD3	ENTPD8
CSPG4	MGAM	MGAM2	SI
FABP1	GNPNAT1	GPD1	GPD2
GOLGA7B	ORMDL3	SPTLC2	SPTSSB
POMK	SLC35F2	TMEM120A	TPRG1
SLC3A1	SLC7A11	SLC7A7	SLC7A8
SULT1B1	SULT1C2	SULT1C4	SULT1E1
ACER2	CERS4	CERS6
ADH1B	ADH1C	ADH6
ALDH1A2	AOX1	INMT
ARHGAP10	ARHGAP26	C2CD2
ARHGEF17	RASL12	RERG
C3orf52	TMPRSS2	TMPRSS4
CD99	CD99L2	PILRB
CDAN1	MAMDC2	TK1
CPT2	SLC25A20	SLC25A29
CYP3A4	CYP3A5	UGT2B7
DARS2	FAAH	FAAH2
DBP	HLF	HNF4G
DNAJC27	FAM184A	LRRC61
ETV4	ETV5	SLC45A3
FAM3B	FUT3	FUT6
FRAS1	FREM2	HMCN1
FUT8	MGAT1	MGAT2
GAS1	IHH	SHH
GCNT1	GCNT3	GCNT4
GDF15	PLEKHA6	TCEAL9
GGT5	GGT6	GGT7
GRHL1	GRHL2	ZNF76
HTRA3	PCSK6	TMEM25
LGR4	LGR5	RNF43
LRFN3	MANEAL	ST3GAL4
MYO5B	RAB11FIP1	RAB25
OAS1	OAS2	OAS3
OSBPL3	PITPNM3	ZFPL1
PDE11A	PDE2A	PDE5A
PDE1A	PDE1B	PDE1C
PLPP2	PLPP3	SGPP2
TAS2R13	TAS2R30	TAS2R50
UCK1	UCK2	UCKL1
AARSD1	TRIM45
ABI3
ABI3BP
ABL1
ABL2
ABLIM2
ABTB1
ACACA
ACACB
ACAD11
ACADVL
ACAP2
ACAP3
ACAT1
ACBD3
ACBD4
ACBD5
ACD
ACE2
ACER3
ACKR2
ACKR3
ACLY
ACO2
ACOT11
ACOT13
ACOT2
ACOT4
ACOX1
ACOX2
ACP5
ACSL3
ACSL4
ACSM3
ACSS3
ACTA2
ACTB
ACTG1
ACTG2
ACTR1B
ACTR2
ACTR3
ACTR3B
ACTR3C
ACVR1C
ACVR2A
ACY1
ADAM10
ADAM12
ADAM17
ADAM20
ADAM22
ADAM28
ADAM9
ADAMTS1
ADAMTS10
ADAMTS12
ADAMTS13
ADAMTS5
ADAMTS6
ADAMTS7
ADAMTSL2
ADAP1
ADAP2
ADARB1
ADCY3
ADCY4
ADCY5
ADCY9
ADCYAP1R1
ADD1
ADD3
ADGRA2
ADGRB2
ADGRE2
ADGRF1
ADGRG1
ADGRG2
ADK
ADM2
ADORA2B
ADPRM
AEBP1
AFDN
AFF3
AFG1L
AFG3L2
AFTPH
AGAP1
AGAP3
AGBL3
AGER
AGFG1
AGFG2
AGGF1
AGL
AGMAT
AGPAT4
AGPS
AGR2
AGRN
AGTPBP1
AHCY
AHCYL2
AHDC1
AHNAK
AHNAK2
AHR
AIDA
AIMP2
AIP
AK1
AK9
AKAP12
AKAP13
AKAP17A
AKAP5
AKAP8
AKAP8L
AKAP9
AKIP1
AKIRIN2
AKR1B1
AKR1B10
AKR1C2
AKR1C4
AKR7A3
AKT1S1
AKT2
AKT3
AKTIP
ALAS1
ALB
ALDH18A1
ALDH1L1
ALDH2
ALDH4A1
ALDH7A1
ALDOB
ALKBH7
ALLC
ALMS1
ALOX5
ALPL
ALS2
ALS2CL
AMACR
AMIGO1
AMIGO2
AMN
AMOT
AMOTL1
AMPD2
AMT
AMY2B
ANAPC2
ANGPT1
ANGPT2
ANGPTL2
ANK1
ANK3
ANKHD1
ANKRD11
ANKRD12
ANKRD13B
ANKRD13D
ANKRD17
ANKRD26
ANKRD29
ANKRD31
ANKRD36B
ANKRD39
ANKRD50
ANKRD54
ANKS1A
ANKS3
ANLN
ANO1
ANOS1
ANP32B
ANPEP
ANTXR1
ANXA10
ANXA13
ANXA2
ANXA2R
ANXA3
ANXA6
AOC1
AOC3
AP1G1
AP1M1
AP1M2
AP1S1
AP1S3
AP2A1
AP2M1
AP3B1
AP3S1
AP3S2
AP5M1
AP5Z1
APAF1
APBA1
APBA3
APBB1
APBB1IP
APBB2
APBB3
APC
APCDD1
APLF
APLNR
APOB
APOBEC3C
APOBEC3F
APOBEC3G
APOD
APOE
APOL1
AQP5
AQR
AR
ARAF
ARAP1
ARF6
ARFGAP1
ARFGEF1
ARFGEF2
ARFGEF3
ARFIP1
ARG2
ARGLU1
ARHGAP11A
ARHGAP12
ARHGAP22
ARHGAP23
ARHGAP29
ARHGAP32
ARHGAP33
ARHGAP42
ARHGAP5
ARHGAP8
ARHGEF1
ARHGEF12
ARHGEF15
ARHGEF16
ARHGEF18
ARHGEF19
ARHGEF25
ARHGEF26
ARHGEF35
ARHGEF38
ARHGEF4
ARHGEF40
ARHGEF6
ARID2
ARID5A
ARL15
ARL16
ARL2
ARL2BP
ARL3
ARL4A
ARL4C
ARL5B
ARL6IP1
ARL8A
ARMC5
ARMCX2
ARMCX4
ARNT
ARPC1B
ARRB2
ARRDC4
ARSD
ARSL
ARVCF
ARX
ASB1
ASB3
ASCC3
ASF1B
ASH1L
ASNS
ASPH
ASPHD2
ASPM
ASPN
ASRGL1
ASTN1
ASXL2
ASXL3
ATAD2
ATAD2B
ATAD5
ATAT1
ATE1
ATF3
ATF4
ATF5
ATF6
ATF6B
ATF7IP
ATF7IP2
ATG10
ATG16L2
ATG2A
ATG4B
ATG7
ATL1
ATN1
ATOH8
ATP11A
ATP11B
ATP13A1
ATP1A1
ATP1B1
ATP1B3
ATP2A3
ATP2B1
ATP2C1
ATP2C2
ATP5F1D
ATP5MC2
ATP5ME
ATP5PO
ATP6V1A
ATP7A
ATP7B
ATP8A2
ATP9A
ATR
ATRN
ATRX
ATXN2L
ATXN7L2
AURKB
AUTS2
AXIN2
AXL
AZGP1
AZI2
AZIN1
B3GAT3
B4GALT3
B4GALT4
B4GALT6
B4GAT1
B9D1
BABAM1
BACE1
BACE2
BACH1
BACH2
BAG2
BAG3
BAG5
BAG6
BAHCC1
BAHD1
BAIAP2L1
BAIAP2L2
BAMBI
BANF1
BANK1
BAP1
BARD1
BARX2
BASP1
BATF
BATF2
BAZ1A
BAZ2B
BBS1
BBS5
BCAM
BCDIN3D
BCKDK
BCL10
BCL11A
BCL11B
BCL2
BCL2L1
BCL2L14
BCL2L15
BCL2L2
BCL3
BCL6
BCL7C
BCL9L
BCO1
BCORL1
BCS1L
BDH1
BDKRB2
BDNF
BDP1
BECN1
BEND3
BET1L
BEX2
BEX3
BGN
BHMT2
BICDL1
BICDL2
BICRA
BID
BIK
BIN3
BIRC2
BIRC3
BIRC5
BIRC6
BLM
BLNK
BLOC1S1
BLZF1
BMERB1
BMP1
BMP2
BMP2K
BMP3
BMP6
BMPR2
BMX
BNC2
BNIP3
BOC
BOD1
BORA
BORCS5
BORCS8
BPHL
BPIFB1
BPNT1
BRAT1
BRCA1
BRCA2
BRCC3
BRD2
BRD4
BRF1
BRIP1
BROX
BRSK1
BRWD1
BRWD3
BSG
BSN
BSPRY
BST2
BTBD10
BTBD2
BTBD3
BTBD6
BTC
BTF3
BTG2
BTG3
BTN2A1
BTN2A2
BUB1
BUB1B
BZW2
C11orf68
C12orf57
C12orf75
C15orf48
C19orf44
C1D
C1QTNF1
C1R
C1S
C1orf116
C1orf159
C1orf162
C1orf21
C1orf210
C1orf216
C1orf226
C1orf35
C20orf96
C2CD4A
C2CD4B
C2orf88
C3
C3orf18
C3orf38
C3orf62
C4B
C4BPB
C4orf19
C4orf3
C5AR1
C5orf22
C6
C6orf132
C7
C7orf50
C8orf33
C8orf82
C9orf72
CA3
CA8
CAAP1
CAB39L
CABLES1
CABLES2
CACHD1
CACNA1D
CACNA1H
CACNA2D3
CACNB2
CACNB3
CACTIN
CACUL1
CADM4
CADPS
CALCOCO1
CALD1
CALML4
CAMK1
CAMK2D
CAMKK1
CAMKMT
CAMLG
CAMSAP3
CAMTA2
CAND2
CANX
CAPG
CAPN12
CAPN13
CAPN3
CAPN5
CAPN8
CAPN9
CAPNS1
CAPRIN1
CAPRIN2
CAPZA1
CAPZA2
CAPZB
CARD10
CARD11
CARD19
CARD6
CARM1
CARMIL1
CARMIL3
CARNMT1
CASK
CASKIN2
CASP10
CASP3
CASP4
CASP7
CASP8
CASP8AP2
CASP9
CASR
CAST
CASZ1
CATSPERB
CAV1
CAVIN1
CAVIN2
CAVIN3
CBLC
CBLN3
CBR3
CBX1
CBX6
CBX7
CBX8
CC2D1A
CCDC106
CCDC113
CCDC124
CCDC136
CCDC138
CCDC141
CCDC15
CCDC18
CCDC187
CCDC198
CCDC28B
CCDC43
CCDC47
CCDC57
CCDC6
CCDC61
CCDC69
CCDC8
CCDC80
CCDC85B
CCDC88C
CCDC9
CCDC92
CCDC97
CCHCR1
CCL15
CCL2
CCL20
CCL28
CCL3
CCN1
CCNA2
CCNB1
CCNB2
CCNB3
CCNC
CCND1
CCNE1
CCNE2
CCNF
CCNK
CCNL2
CCNYL1
CCP110
CCPG1
CCR1
CCR2
CCR5
CCRL2
CCS
CCSER1
CCT5
CD109
CD163
CD164
CD180
CD2
CD200
CD200R1
CD22
CD24
CD28
CD2AP
CD300A
CD300LF
CD320
CD34
CD37
CD38
CD40
CD44
CD47
CD48
CD52
CD58
CD81
CD82
CD83
CD84
CD86
CD9
CD96
CDC20
CDC25A
CDC25B
CDC25C
CDC26
CDC34
CDC37
CDC42BPA
CDC42BPG
CDC42EP1
CDC42EP4
CDC42EP5
CDC42SE2
CDC45
CDC6
CDCA2
CDCA5
CDCA7
CDCA8
CDCP1
CDH1
CDH11
CDH13
CDH17
CDH23
CDH24
CDH26
CDH6
CDIP1
CDK1
CDK11A
CDK11B
CDK12
CDK18
CDK20
CDK5RAP3
CDK6
CDK9
CDKAL1
CDKL1
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2B
CDKN2C
CDKN2D
CDKN3
CDO1
CDON
CDR2L
CDS1
CDT1
CDX2
CDYL2
CEACAM1
CEACAM6
CEBPA
CEBPB
CEBPD
CEBPG
CEBPZ
CELF2
CELSR2
CELSR3
CEMIP
CENPA
CENPE
CENPF
CENPI
CENPK
CENPL
CENPM
CENPN
CENPS
CENPT
CENPU
CENPW
CEP126
CEP128
CEP131
CEP152
CEP164
CEP192
CEP295
CEP350
CEP55
CEP72
CERCAM
CERKL
CERS5
CES2
CES3
CFAP221
CFAP36
CFAP410
CFAP54
CFB
CFD
CFDP1
CFH
CFL2
CFTR
CGAS
CGN
CHAC2
CHCHD10
CHCHD2
CHCHD6
CHD1L
CHD3
CHD7
CHD9
CHDH
CHEK1
CHERP
CHGB
CHKB
CHML
CHMP4B
CHMP4C
CHN1
CHP1
CHRD
CHRNA5
CHRNB1
CHST15
CHTF18
CIAO1
CIAO2A
CIART
CIC
CIITA
CILP
CIP2A
CIRBP
CISH
CIT
CITED2
CIZ1
CKAP2
CKAP2L
CKB
CKMT2
CKS1B
CKS2
CLASRP
CLCA1
CLCN3
CLCN6
CLDN1
CLDN11
CLDN12
CLDN23
CLDN3
CLDN4
CLDN7
CLDND1
CLEC11A
CLEC2B
CLEC5A
CLIC1
CLIC2
CLIC3
CLIC5
CLINT1
CLIP1
CLIP3
CLK1
CLK2
CLK3
CLMN
CLN3
CLOCK
CLPB
CLPP
CLRN3
CLSPN
CLSTN2
CLSTN3
CLTA
CLTC
CLU
CMPK1
CMTM4
CMTM6
CMTR2
CMYA5
CNBP
CNDP2
CNGA1
CNIH3
CNN1
CNN2
CNN3
CNOT1
CNOT11
CNOT3
CNOT6
CNPY2
CNPY3
CNPY4
CNRIP1
CNTN1
CNTNAP1
CNTNAP2
CNTROB
COA6
COA7
COBL
COG2
COG5
COL10A1
COL12A1
COL14A1
COL15A1
COL16A1
COL17A1
COL18A1
COL1A1
COL24A1
COL27A1
COL28A1
COL4A1
COL4A3
COL4A5
COL5A1
COL5A3
COL6A1
COL6A2
COL8A1
COL8A2
COL9A2
COLEC11
COLEC12
COLGALT2
COMMD6
COMT
COP1
COPB2
COPE
COPRS
COPS6
COPS7B
COPZ2
COQ4
COQ6
COQ8A
CORO2A
CORO2B
CORO7
COX16
COX20
CPD
CPEB4
CPNE1
CPNE5
CPNE7
CPS1
CPSF1
CPSF2
CPSF3
CPSF7
CPT1A
CPT1C
CR1
CRABP2
CRACD
CRACR2A
CRACR2B
CRAMP1
CRAT
CRB3
CREB3L1
CREB5
CREBZF
CREM
CRIP2
CRISP3
CRMP1
CRNKL1
CROCC
CRPPA
CRTAP
CRTC2
CRY2
CRYAB
CRYBG1
CRYBG3
CRYM
CS
CSAD
CSF1
CSF2RA
CSF3R
CSNK1D
CSNK1E
CSNK1G1
CSNK1G2
CSNK1G3
CSNK2B
CSRNP1
CSRP1
CSRP2
CST3
CSTA
CSTF2
CTBS
CTC1
CTDNEP1
CTDSP1
CTDSP2
CTIF
CTNNA3
CTNNAL1
CTNND1
CTNS
CTSC
CTSE
CTSF
CTSL
CTSS
CTTNBP2NL
CTU1
CTU2
CUBN
CUEDC2
CUL3
CUL5
CUTA
CX3CR1
CXCL1
CXCL10
CXCL12
CXCL13
CXCL17
CXCL3
CXCL5
CXCL8
CXCR4
CXXC1
CXXC5
CYB561
CYB5R1
CYB5R2
CYB5R3
CYB5R4
CYB5RL
CYBA
CYBB
CYBRD1
CYGB
CYP17A1
CYP27A1
CYP27B1
CYP2S1
CYP39A1
CYP4F12
CYP4X1
CYP51A1
CYSLTR2
CYSTM1
CYTH1
CYTIP
CZIB
D2HGDH
DAAM2
DACH1
DACT1
DAPK2
DAPK3
DAPP1
DBF4B
DBN1
DCAF13
DCAF15
DCAF8
DCAF8L2
DCDC2
DCHS1
DCHS2
DCLRE1A
DCLRE1C
DCN
DCP2
DCTN3
DCUN1D1
DDAH1
DDAH2
DDC
DDIT3
DDIT4
DDO
DDR2
DDX11
DDX19A
DDX19B
DDX21
DDX39B
DDX47
DDX51
DDX52
DDX56
DDX60
DDX60L
DEFB1
DENND10
DENND1B
DENND2D
DENND4C
DEPDC1
DEPDC1B
DEPTOR
DERA
DERL3
DES
DET1
DGCR6L
DGKI
DGKZ
DHCR24
DHCR7
DHPS
DHRS2
DHRS4
DHRS4L2
DHRS9
DHX34
DHX38
DIABLO
DIAPH1
DIAPH2
DIAPH3
DIP2B
DIRAS3
DKK1
DKK3
DLG1
DLG2
DLG4
DLGAP4
DLGAP5
DLK1
DLL1
DMAP1
DMGDH
DMPK
DMTN
DMWD
DMXL1
DMXL2
DNA2
DNAH14
DNAH6
DNAH9
DNAJB1
DNAJB11
DNAJB2
DNAJB4
DNAJB5
DNAJC10
DNAJC13
DNAJC15
DNAJC18
DNAJC28
DNAJC3
DNAJC4
DNAJC8
DNHD1
DNM2
DOCK2
DOCK5
DOCK7
DOCK8
DOHH
DOK7
DONSON
DOP1B
DPF2
DPF3
DPH1
DPM3
DPP3
DPP4
DPY19L2
DQX1
DR1
DRAP1
DSC2
DSCC1
DSG2
DSP
DST
DSTN
DTL
DTNA
DTWD2
DTX3
DTX3L
DUOX2
DUOXA2
DUS1L
DUS3L
DUSP1
DUSP10
DUSP19
DUSP4
DUSP5
DUSP6
DUSP7
DUT
DVL1
DVL2
DVL3
DXO
DYNC1H1
DYNC1I1
DYNC2H1
DYRK2
DZIP1
E2F2
E2F3
E2F4
E4F1
EAF1
EAF2
EBF1
EBF4
ECE1
ECE2
ECHDC2
ECM2
ECSIT
ECT2
EDA2R
EDC4
EDEM3
EDN1
EDN3
EDNRA
EDNRB
EEA1
EEF1A1
EEF1AKMT3
EEF1B2
EEF2
EEFSEC
EFEMP1
EFEMP2
EFL1
EFNA1
EFNA5
EFNB2
EFNB3
EFR3A
EFS
EGLN2
EGLN3
EGR1
EGR2
EGR3
EHD2
EHF
EHHADH
EHMT2
EID1
EIF1
EIF1AX
EIF1B
EIF2AK2
EIF2AK3
EIF3C
EIF3CL
EIF3E
EIF3F
EIF3G
EIF3L
EIF4A1
EIF4B
EIF4H
EIPR1
ELF1
ELF3
ELK1
ELK4
ELL
ELL2
ELMO1
ELMO3
ELMOD2
ELN
ELOF1
ELOVL6
ELOVL7
ELP3
ELP5
EMC6
EMC9
EMCN
EMD
EME1
EME2
EMILIN1
EMILIN2
EML2
EML3
EML4
EML6
EMP3
ENC1
ENDOV
ENG
ENGASE
ENKD1
ENO2
ENO3
ENOX1
ENPP4
ENTPD2
ENTR1
EPB41L2
EPB41L4A
EPCAM
EPHA1
EPHA10
EPHA2
EPHA7
EPHB6
EPN1
EPOR
EPPK1
EPRS1
EPS15L1
EPS8L1
EPS8L3
EPSTI1
ERAP1
ERBB2
ERBB3
ERBIN
ERCC1
ERCC4
ERCC5
ERCC6L
ERCC8
ERG
ERGIC2
ERI1
ERI2
ERN2
ERO1A
ERO1B
ERRFI1
ERV3-1
ESAM
ESM1
ESPN
ESR1
ESRP1
ESRP2
ESRRA
ESRRG
ESS2
ETHE1
ETV1
ETV3
ETV6
ETV7
EVI5
EVI5L
EVL
EVPL
EXD3
EXO1
EXO5
EXOC3L1
EXOC3L4
EXOC6
EXOC8
EXPH5
EXT1
EZH1
EZH2
EZR
F10
F2R
F2RL1
F3
F5
FAAP100
FAAP20
FADD
FADS1
FADS2
FADS3
FAH
FAHD2A
FAHD2B
FAIM2
FAM107B
FAM110B
FAM111B
FAM117A
FAM117B
FAM118A
FAM118B
FAM135A
FAM167A
FAM169A
FAM20A
FAM20C
FAM216A
FAM219A
FAM219B
FAM221A
FAM222A
FAM3D
FAM43A
FAM50A
FAM50B
FAM53B
FAM81A
FAM83B
FAM83D
FAM83F
FAM83G
FAM83H
FAM89A
FANCA
FANCB
FANCD2
FANCE
FANCF
FANCI
FANCL
FANCM
FAR2
FARP1
FARP2
FARS2
FASTK
FASTKD2
FASTKD3
FAT1
FAU
FAXDC2
FBF1
FBL
FBLN1
FBLN2
FBLN5
FBN2
FBP1
FBRS
FBRSL1
FBXL12
FBXL13
FBXL15
FBXL18
FBXL20
FBXL4
FBXL7
FBXL8
FBXO10
FBXO16
FBXO17
FBXO28
FBXO31
FBXO32
FBXO34
FBXO38
FBXO44
FBXO45
FBXO46
FBXW4
FBXW7
FCGRT
FCHSD1
FDPS
FEM1A
FEN1
FER
FERMT1
FERMT2
FES
FEZ1
FGD1
FGD4
FGD6
FGF12
FGF2
FGFR1
FGFR3
FGFR4
FGFRL1
FGGY
FGR
FHDC1
FHL1
FHL2
FHL3
FHL5
FHOD1
FIGN
FILIP1L
FKBP10
FKBP1A
FKBP5
FKBP7
FKBP8
FKRP
FLACC1
FLCN
FLNA
FLNB
FLNC
FLOT1
FLRT2
FLRT3
FLT4
FLVCR1
FLYWCH1
FLYWCH2
FMC1
FMNL2
FMNL3
FMO1
FMOD
FN3KRP
FNBP1
FNBP1L
FNDC3B
FNIP2
FNTB
FOCAD
FOLH1
FOS
FOSB
FOSL2
FOXA1
FOXA2
FOXA3
FOXD2
FOXJ1
FOXJ2
FOXL2
FOXM1
FOXN2
FOXO1
FOXO3
FOXO4
FOXP2
FOXRED2
FRAT2
FRG1
FRK
FRMD3
FRMD4B
FRMD5
FRMD6
FRRS1L
FRS3
FRY
FRYL
FRZB
FSCN1
FST
FSTL3
FTH1
FUCA1
FUNDC2
FUS
FUT4
FUT9
FUZ
FXN
FXR2
FXYD3
FXYD6
FYB1
FZD1
FZD4
FZD5
FZD6
FZD7
FZR1
G0S2
G3BP1
G3BP2
G6PC3
G6PD
GAA
GAB2
GABARAP
GABARAPL1
GABARAPL2
GABBR1
GABRB3
GABRP
GADD45A
GADD45B
GADD45G
GAL3ST1
GALK2
GALNT1
GALNT5
GALT
GAMT
GAN
GAPT
GAR1
GAREM1
GAREM2
GART
GAS2L1
GAS2L3
GAS6
GAS7
GATA4
GATA6
GATAD1
GATD1
GBGT1
GBP3
GBP5
GCA
GCC2
GCDH
GDA
GDAP2
GDE1
GDF11
GDI1
GDPD1
GEM
GEMIN4
GEMIN7
GEN1
GET3
GET4
GFI1
GFM1
GFM2
GFRA1
GGA1
GGA2
GGA3
GGH
GHR
GID4
GIGYF1
GINS1
GINS2
GINS3
GINS4
GIPC2
GIPR
GIT1
GJA1
GKAP1
GLI2
