"external_gene_name","description","count","counts_when_betweenness_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_eigen_centrality_0","counts_when_closeness_0","counts_when_citation_0"
"ZNF732","zinc finger protein 732",15,0,0,0,0,0,0
"RFC3","replication factor C subunit 3",14,0,0,0,3,3,0
"UGT3A2","UDP glycosyltransferase family 3 member A2",13,0,0,0,0,0,0
"FHIP1B","FHF complex subunit HOOK interacting protein 1B",11,0,0,0,0,0,0
"CFAP53","cilia and flagella associated protein 53",10,0,0,0,0,0,0
"TMEM52B","transmembrane protein 52B",10,0,0,0,0,0,0
"ZFP30","ZFP30 zinc finger protein",10,0,0,0,0,0,0
"ZNF124","zinc finger protein 124",10,0,0,0,0,0,0
"ZNF138","zinc finger protein 138",9,0,0,0,0,0,0
"ZNF154","zinc finger protein 154",9,0,0,0,0,0,0
"ADCY5","adenylate cyclase 5",8,0,0,0,0,0,0
"GPR156","G protein-coupled receptor 156",8,0,0,0,0,0,0
"CACNA1G","calcium voltage-gated channel subunit alpha1 G",7,0,0,0,0,0,0
"CD36","CD36 molecule (CD36 blood group)",7,0,0,0,0,0,0
"ZNF253","zinc finger protein 253",7,0,0,0,0,0,0
"RRH","retinal pigment epithelium-derived rhodopsin homolog",6,0,0,0,0,0,0
"ZNF257","zinc finger protein 257",6,0,0,0,0,0,0
"ZNF28","zinc finger protein 28",6,0,0,0,0,0,0
"ACAN","aggrecan",5,0,0,0,0,0,0
"DST","dystonin",5,0,0,0,0,0,0
"HAO2","hydroxyacid oxidase 2",5,0,0,0,0,0,0
"HAUS8","HAUS augmin like complex subunit 8",5,0,0,0,0,0,0
"KCTD14","potassium channel tetramerization domain containing 14",5,0,0,0,0,0,0
"C6orf52","chromosome 6 open reading frame 52",4,0,0,0,0,0,0
"CLCN3","chloride voltage-gated channel 3",4,0,0,0,0,0,0
"CYP4F8","cytochrome P450 family 4 subfamily F member 8",4,0,0,0,0,0,0
"RFC4","replication factor C subunit 4",4,0,0,0,0,0,0
"RPS3A","ribosomal protein S3A",4,0,0,0,0,0,0
"SULT1E1","sulfotransferase family 1E member 1",4,0,0,0,0,0,0
"SYK","spleen associated tyrosine kinase",4,0,0,0,0,0,0
"BNIPL","BCL2 interacting protein like",3,0,0,0,0,0,0
"KCNAB1","potassium voltage-gated channel subfamily A regulatory beta subunit 1",3,0,0,0,0,0,0
"PRKDC","protein kinase, DNA-activated, catalytic subunit",3,0,0,0,0,0,0
"PROCR","protein C receptor",3,0,0,0,0,0,0
"ABCA12","ATP binding cassette subfamily A member 12",2,0,0,0,0,0,0
"CETP","cholesteryl ester transfer protein",2,0,0,0,0,0,0
"H2BC13","H2B clustered histone 13",2,0,0,0,0,0,0
"LRPPRC","leucine rich pentatricopeptide repeat containing",2,0,0,0,0,0,0
"MMRN2","multimerin 2",2,0,0,0,0,0,0
"TIGD4","tigger transposable element derived 4",2,0,0,0,0,0,0
"TRAM1","translocation associated membrane protein 1",2,0,0,0,0,0,0
"CH25H","cholesterol 25-hydroxylase",1,0,0,0,0,0,0
"CYP4F12","cytochrome P450 family 4 subfamily F member 12",1,0,0,0,0,0,0
"DPY19L2","dpy-19 like 2",1,0,0,0,0,0,0
"IL4I1","interleukin 4 induced 1",1,0,0,0,0,0,0
"KCNK13","potassium two pore domain channel subfamily K member 13",1,0,0,0,0,0,0
"MAPK15","mitogen-activated protein kinase 15",1,0,0,0,0,0,0
"SERINC2","serine incorporator 2",1,0,0,0,0,0,0
"TMEM45B","transmembrane protein 45B",1,0,0,0,0,0,0
