"external_gene_name","description","count","counts_when_betweenness_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_eigen_centrality_0","counts_when_closeness_0","counts_when_citation_0"
"RIMBP3C","RIMS binding protein 3C",30,0,0,0,0,0,0
"SLX1A","SLX1 homolog A, structure-specific endonuclease subunit",29,0,1,0,0,0,0
"IGKV1-33","immunoglobulin kappa variable 1-33",27,0,0,0,2,0,0
"CALML6","calmodulin like 6",26,0,0,0,0,0,0
"H4C5","H4 clustered histone 5",25,0,0,0,0,0,0
"FYN","FYN proto-oncogene, Src family tyrosine kinase",18,0,0,0,0,0,0
"KDM1A","lysine demethylase 1A",18,0,0,0,0,0,0
"TRABD","TraB domain containing",15,0,0,0,0,0,0
"RPS3A","ribosomal protein S3A",14,0,0,0,0,0,0
"C7orf25","chromosome 7 open reading frame 25",12,0,0,0,0,0,0
"GNB1","G protein subunit beta 1",12,0,0,0,1,0,0
"KCNAB3","potassium voltage-gated channel subfamily A regulatory beta subunit 3",12,0,0,0,0,0,0
"WDCP","WD repeat and coiled coil containing",10,0,0,0,0,0,0
"NR3C1","nuclear receptor subfamily 3 group C member 1",8,0,0,0,0,0,0
"H4C11","H4 clustered histone 11",6,0,0,0,0,0,0
"TLNRD1","talin rod domain containing 1",6,0,0,0,0,0,0
"CENPU","centromere protein U",5,0,0,0,0,0,0
"FAM170A","family with sequence similarity 170 member A",5,0,0,0,0,0,0
"SCARB2","scavenger receptor class B member 2",5,0,0,0,0,0,0
"ACER1","alkaline ceramidase 1",4,0,0,0,0,0,0
"CD36","CD36 molecule (CD36 blood group)",4,0,0,0,0,0,0
"CMTM5","CKLF like MARVEL transmembrane domain containing 5",4,0,0,0,0,0,0
"BIRC6","baculoviral IAP repeat containing 6",3,0,0,0,0,0,0
"CD9","CD9 molecule",3,0,0,0,0,0,0
"MDM2","MDM2 proto-oncogene",3,0,0,0,0,0,0
"PPM1B","protein phosphatase, Mg2+/Mn2+ dependent 1B",3,0,0,0,0,0,0
"TGFB1","transforming growth factor beta 1",3,0,0,0,0,0,0
"ABHD16A","abhydrolase domain containing 16A, phospholipase",2,0,0,0,0,0,0
"ACAN","aggrecan",2,0,0,0,0,0,0
"ADGRL2","adhesion G protein-coupled receptor L2",2,0,0,0,0,0,0
"AKT1","AKT serine/threonine kinase 1",2,0,0,0,0,0,0
"DCTN1","dynactin subunit 1",2,0,0,0,0,0,0
"DOLK","dolichol kinase",2,0,0,0,0,0,0
"H3C1","H3 clustered histone 1",2,0,0,0,0,0,0
"HDAC8","histone deacetylase 8",2,0,0,0,0,0,0
"PSMD2","proteasome 26S subunit ubiquitin receptor, non-ATPase 2",2,0,0,0,0,0,0
"REEP6","receptor accessory protein 6",2,0,0,0,0,0,0
"RXRA","retinoid X receptor alpha",2,0,0,0,0,0,0
"SCARB1","scavenger receptor class B member 1",2,0,0,0,0,0,0
"STAT3","signal transducer and activator of transcription 3",2,0,0,0,0,0,0
"ABCC8","ATP binding cassette subfamily C member 8",1,0,0,0,0,0,0
"ADIPOR2","adiponectin receptor 2",1,0,0,0,0,0,0
"AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3",1,0,0,0,0,0,0
"BRCA1","BRCA1 DNA repair associated",1,0,0,0,0,0,0
"CACNA1A","calcium voltage-gated channel subunit alpha1 A",1,0,0,0,0,0,0
"COX15","cytochrome c oxidase assembly homolog COX15",1,0,0,0,0,0,0
"CREBBP","CREB binding protein",1,0,0,0,0,0,0
"DAO","D-amino acid oxidase",1,0,0,0,0,0,0
"DNAJA1","DnaJ heat shock protein family (Hsp40) member A1",1,0,0,0,0,0,0
"ERV3-1","endogenous retrovirus group 3 member 1, envelope",1,0,0,0,0,0,0
"FANCC","FA complementation group C",1,0,0,0,0,0,0
"HAO2","hydroxyacid oxidase 2",1,0,0,0,0,0,0
"ITPR1","inositol 1,4,5-trisphosphate receptor type 1",1,0,0,0,0,0,0
"LCK","LCK proto-oncogene, Src family tyrosine kinase",1,0,0,0,0,0,0
"MAOB","monoamine oxidase B",1,0,0,0,0,0,0
"MAPK1","mitogen-activated protein kinase 1",1,0,0,0,0,0,0
"MYCBP2","MYC binding protein 2",1,0,0,0,0,0,0
"RPP38","ribonuclease P/MRP subunit p38",1,0,0,0,0,0,0
"SMO","smoothened, frizzled class receptor",1,0,0,0,0,0,0
"SYK","spleen associated tyrosine kinase",1,0,0,0,0,0,0
"TAFAZZIN","tafazzin, phospholipid-lysophospholipid transacylase",1,0,0,0,0,0,0
"TCIRG1","T cell immune regulator 1, ATPase H+ transporting V0 subunit a3",1,0,0,0,0,0,0
"TMEM208","transmembrane protein 208",1,0,0,0,0,0,0
"TRAF6","TNF receptor associated factor 6",1,0,0,0,0,0,0
