"","external_gene_name","ensembl_gene_id","description","gene_biotype","degree","betweenness","closeness","eigen_centrality","cluster","source","counts","druggability","CP_score","highest_score"
"37","ACTG1","ENSG00000184009","actin gamma 1 ","protein_coding",72,14234.4959113583,0.00010366991499067,0.107023830158375,"white","STRING",2175,0.446,0.894345454545455,0.894345454545455
"38","ACTN2","ENSG00000077522","actinin alpha 2 ","protein_coding",35,8189.74867229706,9.28505106778087e-05,0.0260443800347407,"white","STRING",1631,0.956,0.772690476190476,0.956
"39","ACTN3","ENSG00000248746","actinin alpha 3 ","protein_coding",8,119.49755971033,8.01025312399872e-05,0.0031380060585191,"white","STRING",1106,0.202,0.933654545454545,0.933654545454545
"40","ACTR10","ENSG00000131966","actin related protein 10 ","protein_coding",32,243.015327750327,8.70397771781704e-05,0.0275820463505414,"white","STRING",151,0.84,0.4169,0.84
"41","ACTR1A","ENSG00000138107","actin related protein 1A ","protein_coding",37,2489.82537431395,8.95736295234683e-05,0.0329969660979022,"white","STRING",714,0.915,0.439261904761905,0.915
"42","ACVR1","ENSG00000115170","activin A receptor type 1 ","protein_coding",35,3692.62158397043,8.85582713425434e-05,0.0270319772354178,"white","STRING",2716,0.498,0.604471428571429,0.604471428571429
"43","ACVR1B","ENSG00000135503","activin A receptor type 1B ","protein_coding",31,7453.85732639322,9.01631953836444e-05,0.0282814235044143,"white","STRING",1739,0.972,0.126925714285714,0.972
"44","ACVR1C","ENSG00000123612","activin A receptor type 1C ","protein_coding",22,1855.99662918993,8.18263644546273e-05,0.00893126546093145,"tomato","subnet",835,0.68,0.912228571428571,0.912228571428571
"45","ACVR2A","ENSG00000121989","activin A receptor type 2A ","protein_coding",42,4440.54506187043,8.61994655633135e-05,0.021345240409608,"white","STRING",1785,0.601,0.594904761904762,0.601
"46","ACVR2B","ENSG00000114739","activin A receptor type 2B ","protein_coding",44,5853.47084998363,8.73591333973967e-05,0.0248457070680951,"white","STRING",1751,0.838,0.43599375,0.838
"47","ACVRL1","ENSG00000139567","activin A receptor like type 1 ","protein_coding",23,4286.87459769197,8.63185153215365e-05,0.0164371088247456,"tomato","subnet",3790,0.801,0.269085714285714,0.801
"48","ADA","ENSG00000196839","adenosine deaminase ","protein_coding",6,7343.60529150239,7.65990042129452e-05,0.00118044194903733,"tomato","subnet",16740,0.966,0.776847619047619,0.966
"49","ADA2","ENSG00000093072","adenosine deaminase 2 ","protein_coding",1,0,6.04010630587098e-05,1.80581680594074e-05,"tomato","subnet",4027,0.976,0.517554545454545,0.976
"50","ADAM10","ENSG00000137845","ADAM metallopeptidase domain 10 ","protein_coding",27,3433.76063477781,9.18105031215571e-05,0.0220934528428487,"white","STRING",6149,0.351,0.91537619047619,0.91537619047619
"51","ADAM12","ENSG00000148848","ADAM metallopeptidase domain 12 ","protein_coding",10,826.0525007502,9.05059281382931e-05,0.0244876227484874,"white","STRING",1898,0.978,0.301638095238095,0.978
"52","ADAM22","ENSG00000008277","ADAM metallopeptidase domain 22 ","protein_coding",9,506.563553208931,8.4545147108556e-05,0.0079211309684406,"white","STRING",631,0.064,0.88722380952381,0.88722380952381
"53","ADAMTS10","ENSG00000142303","ADAM metallopeptidase with thrombospondin type 1 motif 10 ","protein_coding",4,245.248940443859,7.05119165138909e-05,0.000486069431009805,"mediumseagreen","subnet",397,0.886,0.430357142857143,0.886
"54","ADAMTS12","ENSG00000151388","ADAM metallopeptidase with thrombospondin type 1 motif 12 ","protein_coding",3,96.6610429949381,7.60051683514479e-05,0.00142285479576747,"white","STRING",513,0.985,0.341890909090909,0.985
"55","ADAMTS17","ENSG00000140470","ADAM metallopeptidase with thrombospondin type 1 motif 17 ","protein_coding",1,0,6.71907545521736e-05,0.000168096433831808,"white","STRING",384,0.271,0.51276,0.51276
"56","ADAMTS2","ENSG00000087116","ADAM metallopeptidase with thrombospondin type 1 motif 2 ","protein_coding",5,3661.19823485602,6.39754334335615e-05,0.000110437338804437,"white","STRING",1334,0.839,0.604180952380952,0.839
"57","ADAMTS3","ENSG00000156140","ADAM metallopeptidase with thrombospondin type 1 motif 3 ","protein_coding",3,706.324388873176,8.23316318129425e-05,0.00403674367156607,"tomato","subnet",410,0.834,0.857547619047619,0.857547619047619
"58","ADAMTS4","ENSG00000158859","ADAM metallopeptidase with thrombospondin type 1 motif 4 ","protein_coding",5,4590.76033473158,8.27335153470671e-05,0.00412649960621044,"tomato","subnet",2634,0.83,0.830828571428571,0.830828571428571
"59","ADAMTS6","ENSG00000049192","ADAM metallopeptidase with thrombospondin type 1 motif 6 ","protein_coding",1,0,6.71907545521736e-05,0.000168096433831807,"white","STRING",343,0.963,0.786841666666667,0.963
"60","ADAMTS7","ENSG00000136378","ADAM metallopeptidase with thrombospondin type 1 motif 7 ","protein_coding",1,0,6.68896321070234e-05,0.000176992816557909,"white","STRING",534,0.949,0.900728571428571,0.949
"61","ADAMTS8","ENSG00000134917","ADAM metallopeptidase with thrombospondin type 1 motif 8 ","protein_coding",1,0,5.22684507631194e-05,1.6894486220075e-06,"tomato","subnet",436,0.363,0.751580952380952,0.751580952380952
"62","ADAMTSL2","ENSG00000197859","ADAMTS like 2 ","protein_coding",5,54.2254986164718,6.98665548801789e-05,0.000633467285346695,"mediumseagreen","subnet",269,0.578,0.970209523809524,0.970209523809524
"63","ADCY5","ENSG00000173175","adenylate cyclase 5 ","protein_coding",32,1739.91363534342,8.55431993156544e-05,0.0209812418829885,"white","STRING",1392,0.998,0.24917619047619,0.998
"64","ADCYAP1","ENSG00000141433","adenylate cyclase activating polypeptide 1 ","protein_coding",9,254.479101428636,8.25763831544178e-05,0.00674962048666777,"white","STRING",3418,0.123,0.856128571428571,0.856128571428571
"65","ADD1","ENSG00000087274","adducin 1 ","protein_coding",16,1463.76581192664,8.40124338402084e-05,0.0130436821890583,"white","STRING",1321,0.849,0.878266666666667,0.878266666666667
"66","ADD2","ENSG00000075340","adducin 2 ","protein_coding",12,808.853944444905,8.05217811417989e-05,0.00431387969290715,"white","STRING",446,0.71,0.573809523809524,0.71
"67","ADGRB1","ENSG00000181790","adhesion G protein-coupled receptor B1 ","protein_coding",8,447.968439896795,8.35631319461854e-05,0.00656306670245378,"white","STRING",688,0.993,0.656038095238095,0.993
"68","ADGRB3","ENSG00000135298","adhesion G protein-coupled receptor B3 ","protein_coding",7,3608.29981252673,8.08996035919424e-05,0.00440986934879808,"tomato","subnet",346,0.973,0.734638095238095,0.973
"69","ADGRF5","ENSG00000069122","adhesion G protein-coupled receptor F5 ","protein_coding",1,0,6.32631112798127e-05,8.70790055556703e-05,"white","STRING",282,0.951,0.28477619047619,0.951
"70","ADGRL1","ENSG00000072071","adhesion G protein-coupled receptor L1 ","protein_coding",19,5786.78532933395,7.86534528865817e-05,0.00560662974485584,"white","STRING",1079,0.991,0.867790476190476,0.991
"71","ADGRL2","ENSG00000117114","adhesion G protein-coupled receptor L2 ","protein_coding",18,5051.04423246383,7.76880049720323e-05,0.00538241828718369,"white","STRING",527,1,0.487685714285714,1
"72","ADGRL3","ENSG00000150471","adhesion G protein-coupled receptor L3 ","protein_coding",21,7974.31452037608,7.9993600511959e-05,0.00648154355236817,"tomato","subnet",839,0.941,0.487866666666667,0.941
"73","ADIPOQ","ENSG00000181092","adiponectin, C1Q and collagen domain containing ","protein_coding",15,1192.34930880954,8.56751199451679e-05,0.00701536025024806,"tomato","subnet",44286,0.398,0.810714285714286,0.810714285714286
"74","ADIPOR1","ENSG00000159346","adiponectin receptor 1 ","protein_coding",12,895.94799258812,8.8519075860848e-05,0.0131160415261803,"tomato","subnet",2567,0.998,0.294723809523809,0.998
"75","ADIPOR2","ENSG00000006831","adiponectin receptor 2 ","protein_coding",10,967.72050742413,8.10701256586948e-05,0.00341026388797149,"white","STRING",2126,1,0.270776190476191,1
"76","ADM","ENSG00000148926","adrenomedullin ","protein_coding",14,322.568499335788,7.99168864381044e-05,0.00455369635047441,"royalblue","subnet",8377,0.396,0.289908333333333,0.396
"77","ADM2","ENSG00000128165","adrenomedullin 2 ","protein_coding",8,421.924160601583,7.97575370872548e-05,0.00378018558222018,"white","STRING",680,0.524,0.696014285714286,0.696014285714286
"78","ADORA1","ENSG00000163485","adenosine A1 receptor ","protein_coding",7,25.7044745328617,7.9853070350555e-05,0.00440358784324493,"white","STRING",2373,0.336,0.803109090909091,0.803109090909091
"79","ADORA2A","ENSG00000128271","adenosine A2a receptor ","protein_coding",26,15127.9052312739,8.97827258035554e-05,0.0134461130959809,"tomato","subnet",6889,0.95,0.379652380952381,0.95
"80","ADORA2B","ENSG00000170425","adenosine A2b receptor ","protein_coding",19,45.2900110816268,7.70891150169596e-05,0.0118950874445985,"white","STRING",1198,0.927,0.35392380952381,0.927
"81","ADRA1A","ENSG00000120907","adrenoceptor alpha 1A ","protein_coding",30,1218.42587397169,8.40477391158178e-05,0.0165547930342006,"royalblue","subnet",1728,0.97,0.3663,0.97
"82","ADRA1B","ENSG00000170214","adrenoceptor alpha 1B ","protein_coding",24,345.740387792163,8.39348665435622e-05,0.0172061747392876,"white","STRING",1251,0.994,0.840028571428571,0.994
"83","ADRA1D","ENSG00000171873","adrenoceptor alpha 1D ","protein_coding",31,3330.05423283781,8.30564784053156e-05,0.0155543148498919,"white","STRING",1472,0.998,0.700819047619048,0.998
"84","ADRB2","ENSG00000169252","adrenoceptor beta 2 ","protein_coding",37,10920.2492252816,9.94134605825629e-05,0.0566060296012425,"white","STRING",16234,0.915,0.422461904761905,0.915
"85","ADRM1","ENSG00000130706","ADRM1 26S proteasome ubiquitin receptor ","protein_coding",23,1597.59411151746,9.21319329279528e-05,0.0793285388752035,"white","STRING",590,0.825,0.417480952380952,0.825
"86","AFDN","ENSG00000130396","afadin, adherens junction formation factor ","protein_coding",43,10619.876107259,9.86485153398441e-05,0.0585611885550142,"white","STRING",1734,0.689,0.6091,0.689
"87","AGER","ENSG00000204305","advanced glycosylation end-product specific receptor ","protein_coding",21,3179.22656803264,9.40203083866115e-05,0.0300721445771564,"white","STRING",14151,0.159,0.944314285714286,0.944314285714286
"88","AGPAT1","ENSG00000204310","1-acylglycerol-3-phosphate O-acyltransferase 1 ","protein_coding",7,0,5.23121992048546e-05,2.34513861663368e-06,"white","STRING",506,0.982,0.761190476190476,0.982
"89","AGPAT2","ENSG00000169692","1-acylglycerol-3-phosphate O-acyltransferase 2 ","protein_coding",8,3501,5.23149359142035e-05,2.34567928790433e-06,"cyan","subnet",773,0.95,0.876146153846154,0.95
"90","AGPAT3","ENSG00000160216","1-acylglycerol-3-phosphate O-acyltransferase 3 ","protein_coding",8,545.870480836259,5.55277916597257e-05,3.62874188610591e-06,"white","STRING",306,1,0.08325,1
"91","AGPAT4","ENSG00000026652","1-acylglycerol-3-phosphate O-acyltransferase 4 ","protein_coding",8,545.870480836259,5.55277916597257e-05,3.62874188610637e-06,"cyan","subnet",223,0.963,0.731136363636364,0.963
"92","AGPAT5","ENSG00000155189","1-acylglycerol-3-phosphate O-acyltransferase 5 ","protein_coding",7,0,5.23121992048546e-05,2.34513861662972e-06,"cyan","subnet",174,0.943,0.715957142857143,0.943
"93","AGR2","ENSG00000106541","anterior gradient 2, protein disulphide isomerase family member ","protein_coding",29,10166.4099731871,9.64692263168049e-05,0.0343082532706144,"white","STRING",1820,0.901,0.709904761904762,0.901
"94","AGT","ENSG00000135744","angiotensinogen ","protein_coding",21,3589.80421973156,9.26955876900259e-05,0.0177924248433137,"white","STRING",50331,0.914,0.424561904761905,0.914
"95","AGXT","ENSG00000172482","alanine--glyoxylate aminotransferase ","protein_coding",12,1911.62131401535,7.87091696182605e-05,0.0158251828791947,"white","STRING",3503,0.828,0.530125,0.828
"96","AGXT2","ENSG00000113492","alanine--glyoxylate aminotransferase 2 ","protein_coding",7,4341.81230662229,7.05218617771509e-05,0.00160010751134221,"tomato","subnet",363,0.202,0.860819047619048,0.860819047619048
"97","AHSA1","ENSG00000100591","activator of HSP90 ATPase activity 1 ","protein_coding",11,1464.59628433382,9.09918107370337e-05,0.0358418291599163,"white","STRING",833,0.291,0.9026,0.9026
"98","AHSG","ENSG00000145192","alpha 2-HS glycoprotein ","protein_coding",13,1557.85908209662,8.58663918942126e-05,0.0101432423023277,"white","STRING",5087,0.575,0.44321875,0.575
"99","AHSP","ENSG00000169877","alpha hemoglobin stabilizing protein ","protein_coding",11,0,7.42500742500743e-05,0.00634212362412742,"white","STRING",1524,0.607,0.476652941176471,0.607
"100","AIFM1","ENSG00000156709","apoptosis inducing factor mitochondria associated 1 ","protein_coding",15,6922.76136221901,8.99766060824186e-05,0.0395139080524207,"white","STRING",6290,0.947,0.415452380952381,0.947
"101","AIMP1","ENSG00000164022","aminoacyl tRNA synthetase complex interacting multifunctional protein 1 ","protein_coding",4,183.653962454397,7.63708568810142e-05,0.0018786458370463,"white","STRING",1208,0.387,0.770114285714286,0.770114285714286
"102","AJUBA","ENSG00000129474","ajuba LIM protein ","protein_coding",26,644.76130706827,9.41796948577887e-05,0.168272301290197,"white","STRING",732,0.485,0.8781,0.8781
"103","AK2","ENSG00000004455","adenylate kinase 2 ","protein_coding",2,39.3349159764662,6.92808646251905e-05,0.000660694013692828,"white","STRING",963,0.942,0.575269230769231,0.942
"104","AK9","ENSG00000155085","adenylate kinase 9 ","protein_coding",10,462.979628527919,7.71426367353236e-05,0.00177666754294856,"white","STRING",134,0.816,0.55987619047619,0.816
"105","AKAP1","ENSG00000121057","A-kinase anchoring protein 1 ","protein_coding",16,5753.48303388671,9.00252070579762e-05,0.0154008797517128,"white","STRING",1385,0.042,0.769242857142857,0.769242857142857
"106","AKAP13","ENSG00000170776","A-kinase anchoring protein 13 ","protein_coding",11,974.747620432843,9.06618313689937e-05,0.0220084509025648,"white","STRING",1708,0.899,0.566333333333333,0.899
"107","AKAP5","ENSG00000179841","A-kinase anchoring protein 5 ","protein_coding",16,445.310122396498,8.97102359379205e-05,0.0160304929031271,"white","STRING",1401,0.576,0.601695238095238,0.601695238095238
"108","AKAP7","ENSG00000118507","A-kinase anchoring protein 7 ","protein_coding",14,1220.07972402293,8.37942014412603e-05,0.0090948304681793,"white","STRING",296,0.583,0.950191666666667,0.950191666666667
"109","AKAP8L","ENSG00000011243","A-kinase anchoring protein 8 like ","protein_coding",9,284.193811475843,8.95335303071e-05,0.0298227752172812,"white","STRING",307,0.025,0.161504761904762,0.161504761904762
"110","AKR1B1","ENSG00000085662","aldo-keto reductase family 1 member B ","protein_coding",5,206.876994751302,8.56751199451679e-05,0.010727734477947,"white","STRING",7038,0.972,0.974195238095238,0.974195238095238
"111","AKT1","ENSG00000142208","AKT serine/threonine kinase 1 ","protein_coding",126,72834.5489895961,0.000115633672525439,0.320339464445092,"white","STRING",239900,0.834,0.743061538461538,0.834
"112","AKTIP","ENSG00000166971","AKT interacting protein ","protein_coding",8,5136.67360426246,8.90154886950329e-05,0.0129773303661014,"white","STRING",590,0.582,0.404607142857143,0.582
"113","ALB","ENSG00000163631","albumin ","protein_coding",71,39113.9871008302,9.97904400758407e-05,0.0433074779913507,"white","STRING",261083,0.922,0.349970588235294,0.922
"114","ALCAM","ENSG00000170017","activated leukocyte cell adhesion molecule ","protein_coding",9,335.12194397223,8.89600569344364e-05,0.0117133183753888,"maroon1","subnet",5540,0.307,0.784866666666667,0.784866666666667
"115","ALDH1A1","ENSG00000165092","aldehyde dehydrogenase 1 family member A1 ","protein_coding",8,3436.186674795,7.18236012353659e-05,0.000503567600773745,"tomato","subnet",8981,0.742,0.700238095238095,0.742
"116","ALDH1A2","ENSG00000128918","aldehyde dehydrogenase 1 family member A2 ","protein_coding",5,2128.59480756024,6.98763189155195e-05,0.000254731891692448,"tomato","subnet",1896,0.952,0.925773333333333,0.952
"117","ALDH1A3","ENSG00000184254","aldehyde dehydrogenase 1 family member A3 ","protein_coding",3,0,5.94459636190703e-05,1.21226943288359e-05,"tomato","subnet",1851,0.97,0.484580952380952,0.97
"118","ALDH1B1","ENSG00000137124","aldehyde dehydrogenase 1 family member B1 ","protein_coding",11,9308.48477697985,8.17661488143908e-05,0.00659410339921001,"tomato","subnet",631,0.991,0.812114285714286,0.991
"119","ALDH2","ENSG00000111275","aldehyde dehydrogenase 2 family member ","protein_coding",10,7567.39040485476,7.83330722230926e-05,0.00265558395836198,"tomato","subnet",5406,0.967,0.692138095238095,0.967
"120","ALDH3A2","ENSG00000072210","aldehyde dehydrogenase 3 family member A2 ","protein_coding",8,4721.42336455139,8.8292424509977e-05,0.011181396245624,"white","STRING",1046,0.976,0.495904761904762,0.976
"121","ALDH5A1","ENSG00000112294","aldehyde dehydrogenase 5 family member A1 ","protein_coding",4,91.6366785445732,7.6728305071741e-05,0.00262173696012336,"tomato","subnet",808,0.714,0.891161904761905,0.891161904761905
"122","ALDH7A1","ENSG00000164904","aldehyde dehydrogenase 7 family member A1 ","protein_coding",12,10536.6788658979,8.09257910496075e-05,0.00979338372601299,"white","STRING",3531,0.941,0.471580952380952,0.941
"123","ALKBH5","ENSG00000091542","alkB homolog 5, RNA demethylase ","protein_coding",3,45.2930368919997,8.1406707912732e-05,0.00798443863096942,"white","STRING",3571,0.873,0.872416666666667,0.873
"124","ALOX12","ENSG00000108839","arachidonate 12-lipoxygenase, 12S type ","protein_coding",4,439.631403506589,7.81127948758007e-05,0.00159885221204277,"white","STRING",2297,0.943,0.404890476190476,0.943
"125","ALOX15","ENSG00000161905","arachidonate 15-lipoxygenase ","protein_coding",7,361.713535848811,7.12910814857061e-05,0.000482953255310148,"tomato","subnet",5275,0.941,0.127140909090909,0.941
"126","ALOX15B","ENSG00000179593","arachidonate 15-lipoxygenase type B ","protein_coding",2,0,6.71681891456206e-05,0.000255968323956493,"white","STRING",786,0.975,0.536195238095238,0.975
"127","ALX3","ENSG00000156150","ALX homeobox 3 ","protein_coding",1,0,6.77231477719084e-05,0.00116744042347478,"white","STRING",310,0.086,0.856180952380952,0.856180952380952
"128","AMBP","ENSG00000106927","alpha-1-microglobulin/bikunin precursor ","protein_coding",19,2044.78004531723,8.63408737696426e-05,0.0113079504405685,"tomato","subnet",2546,0.685,0.624657142857143,0.685
"129","AMBRA1","ENSG00000110497","autophagy and beclin 1 regulator 1 ","protein_coding",22,3920.60496327743,9.28591326957006e-05,0.0424712021340647,"white","STRING",1374,0.753,0.602642857142857,0.753
"130","AMHR2","ENSG00000135409","anti-Mullerian hormone receptor type 2 ","protein_coding",10,6.10568648976,7.9088895919013e-05,0.00580078403668178,"white","STRING",895,0.384,0.9012,0.9012
"131","AMIGO1","ENSG00000181754","adhesion molecule with Ig like domain 1 ","protein_coding",1,0,6.35647088736334e-05,8.05096404697423e-05,"white","STRING",140,0.506,0.0714790476190476,0.506
"132","AMMECR1L","ENSG00000144233","AMMECR1 like ","protein_coding",1,0,6.50829808005207e-05,0.000122000602887591,"white","STRING",53,0.355,0.318509090909091,0.355
"133","AMOT","ENSG00000126016","angiomotin ","protein_coding",20,1963.2855695845,9.1324200913242e-05,0.0254510161728964,"white","STRING",1013,0.631,0.2288,0.631
"134","AMPH","ENSG00000078053","amphiphysin ","protein_coding",10,86.0557764412934,8.67227473766369e-05,0.0161256549315184,"white","STRING",2500,0.681,0.946163636363636,0.946163636363636
"135","AMY1B","ENSG00000174876","amylase alpha 1B ","protein_coding",5,201.760239255099,6.79763442322072e-05,0.000266630175613044,"white","STRING",79,0.327,0.525685714285714,0.525685714285714
"136","ANAPC4","ENSG00000053900","anaphase promoting complex subunit 4 ","protein_coding",33,558.206396374802,9.32053313449529e-05,0.135608383015694,"white","STRING",400,0.747,0.922542857142857,0.922542857142857
"137","ANGPT2","ENSG00000091879","angiopoietin 2 ","protein_coding",12,229.171997834121,8.75043752187609e-05,0.0160520832192494,"white","STRING",10473,0.618,0.437880952380952,0.618
"138","ANGPTL3","ENSG00000132855","angiopoietin like 3 ","protein_coding",3,17.288473547621,7.6728305071741e-05,0.00206330699668094,"white","STRING",1670,0.424,0.681078571428571,0.681078571428571
"139","ANGPTL4","ENSG00000167772","angiopoietin like 4 ","protein_coding",9,5292.03584150212,8.34306691139663e-05,0.00662899504673799,"tomato","subnet",3876,0.81,0.497809523809524,0.81
"140","ANK3","ENSG00000151150","ankyrin 3 ","protein_coding",40,9937.71667192872,9.64134207481681e-05,0.0400330342472255,"white","STRING",1798,0.938,0.339552380952381,0.938
"141","ANKRD13A","ENSG00000076513","ankyrin repeat domain 13A ","protein_coding",2,574.861902453389,8.6051114361931e-05,0.00759595884842853,"white","STRING",144,0.499,0.1922,0.499
"142","ANKRD17","ENSG00000132466","ankyrin repeat domain 17 ","protein_coding",5,361.092041821677,7.21032518566587e-05,0.00100468414226024,"white","STRING",346,0.774,0.413942857142857,0.774
