"","external_gene_name","ensembl_gene_id","description","gene_biotype","cluster","betweenness","degree_centrality","eigen_centrality","closeness","prize","type","counts","druggability","CP_score","highest_score"
"78","ACTR1A","ENSG00000138107","actin related protein 1A ","protein_coding","1",0,3,1.21920344983865e-07,2.00522159703869e-06,43,"Steiner",714,0.915,0.439261904761905,0.915
"79","ACTR1B","ENSG00000115073","actin related protein 1B ","protein_coding","1",39306,3,5.23143245403629e-09,2.61264415264112e-06,2,"Steiner",238,0.826,0.4686,0.826
"80","ACTR2","ENSG00000138071","actin related protein 2 ","protein_coding","1",63245,11,1.05969491142581e-06,2.47371675943104e-06,50,"Terminal",1670,0.958,0.306428571428571,0.958
"81","ACVR1B","ENSG00000135503","activin A receptor type 1B ","protein_coding","1",0,2,1.30429467729799e-07,1.3967787488494e-06,37,"Steiner",1739,0.972,0.126925714285714,0.972
"82","ACVR1C","ENSG00000123612","activin A receptor type 1C ","protein_coding","1",57164,7,2.71079796836563e-07,1.90501227780413e-06,50,"Terminal",835,0.68,0.912228571428571,0.912228571428571
"83","ACVR2A","ENSG00000121989","activin A receptor type 2A ","protein_coding","1",35734,4,2.1099679963432e-06,1.44658764440561e-06,13,"Steiner",1785,0.601,0.594904761904762,0.601
"84","ACVRL1","ENSG00000139567","activin A receptor like type 1 ","protein_coding","1",0,2,1.54955422192981e-08,1.38153795568303e-06,50,"Terminal",3790,0.801,0.269085714285714,0.801
"85","ACY1","ENSG00000243989","aminoacylase 1 ","protein_coding","1",6317,2,1.55231321195146e-08,9.6597358062257e-07,50,"Terminal",452,0.433,0.874461904761905,0.874461904761905
"86","ACY3","ENSG00000132744","aminoacylase 3 ","protein_coding","1",177,2,3.59039959046218e-08,9.60219083586111e-07,50,"Terminal",129,0.878,0.05344,0.878
"87","ADA","ENSG00000196839","adenosine deaminase ","protein_coding","1",12633,3,1.12932796197099e-07,1.3079606408484e-06,50,"Terminal",16740,0.966,0.776847619047619,0.966
"88","ADA2","ENSG00000093072","adenosine deaminase 2 ","protein_coding","1",0,1,1.74045045170716e-08,9.25583974068839e-07,50,"Terminal",4027,0.976,0.517554545454545,0.976
"89","ADAM11","ENSG00000073670","ADAM metallopeptidase domain 11 ","protein_coding","1",12632,2,7.34120225396921e-11,7.20286731742172e-07,50,"Terminal",240,0.817,0.169214285714286,0.817
"90","ADAM12","ENSG00000148848","ADAM metallopeptidase domain 12 ","protein_coding","1",12767,4,2.89802673408419e-07,2.30207877713575e-06,50,"Terminal",1898,0.978,0.301638095238095,0.978
"91","ADAM20","ENSG00000134007","ADAM metallopeptidase domain 20 ","protein_coding","1",6319,5,1.33067522818327e-08,1.64419869154668e-06,50,"Terminal",65,0.865,0.338985714285714,0.865
"92","ADAM23","ENSG00000114948","ADAM metallopeptidase domain 23 ","protein_coding","1",25256,2,2.94228169309211e-09,1.32076667864162e-06,50,"Steiner",520,0.312,0.609066666666667,0.609066666666667
"93","ADAM33","ENSG00000149451","ADAM metallopeptidase domain 33 ","protein_coding","1",0,1,6.12245595681403e-09,1.03745955204571e-06,50,"Terminal",804,0.763,0.489352380952381,0.763
"94","ADAMTS1","ENSG00000154734","ADAM metallopeptidase with thrombospondin type 1 motif 1 ","protein_coding","1",0,1,4.29495724197216e-09,9.68923709853857e-07,50,"Terminal",2104,0.923,0.741990909090909,0.923
"95","ADAMTS10","ENSG00000142303","ADAM metallopeptidase with thrombospondin type 1 motif 10 ","protein_coding","1",45,3,3.36548720787911e-08,1.36246278773511e-06,50,"Terminal",397,0.886,0.430357142857143,0.886
"96","ADAMTS12","ENSG00000151388","ADAM metallopeptidase with thrombospondin type 1 motif 12 ","protein_coding","1",6317,2,3.91409838116255e-09,7.25218381385095e-07,50,"Steiner",513,0.985,0.341890909090909,0.985
"97","ADAMTS13","ENSG00000160323","ADAM metallopeptidase with thrombospondin type 1 motif 13 ","protein_coding","1",12633,4,7.1230145761607e-08,2.03192974399717e-06,50,"Steiner",6299,0.648,0.779233333333333,0.779233333333333
"98","ADAMTS18","ENSG00000140873","ADAM metallopeptidase with thrombospondin type 1 motif 18 ","protein_coding","1",0,1,6.62069802631286e-08,1.44207335538744e-06,50,"Terminal",367,0.687,0.898081818181818,0.898081818181818
"99","ADAMTS2","ENSG00000087116","ADAM metallopeptidase with thrombospondin type 1 motif 2 ","protein_coding","1",6317,3,1.10290267865312e-09,1.80990233766986e-06,50,"Steiner",1334,0.839,0.604180952380952,0.839
"100","ADAMTS3","ENSG00000156140","ADAM metallopeptidase with thrombospondin type 1 motif 3 ","protein_coding","1",0,1,1.46998903266766e-10,1.31152529079795e-06,50,"Terminal",410,0.834,0.857547619047619,0.857547619047619
"101","ADAMTS4","ENSG00000158859","ADAM metallopeptidase with thrombospondin type 1 motif 4 ","protein_coding","1",6317,4,2.35585543601534e-09,1.38360046046223e-06,50,"Terminal",2634,0.83,0.830828571428571,0.830828571428571
"102","ADAMTS5","ENSG00000154736","ADAM metallopeptidase with thrombospondin type 1 motif 5 ","protein_coding","1",0,2,2.54902075657937e-08,1.79251945779871e-06,50,"Terminal",3281,0.672,0.54357619047619,0.672
"103","ADAMTS8","ENSG00000134917","ADAM metallopeptidase with thrombospondin type 1 motif 8 ","protein_coding","1",0,1,1.69972561782885e-10,1.15158815522487e-06,50,"Terminal",436,0.363,0.751580952380952,0.751580952380952
"104","ADAMTSL1","ENSG00000178031","ADAMTS like 1 ","protein_coding","1",0,1,2.0087712644176e-05,1.46527446055921e-06,50,"Terminal",276,0.982,0.785333333333333,0.982
"105","ADAMTSL2","ENSG00000197859","ADAMTS like 2 ","protein_coding","1",0,2,1.46635559154634e-09,1.55960255088593e-06,50,"Terminal",269,0.578,0.970209523809524,0.970209523809524
"106","ADAMTSL4","ENSG00000143382","ADAMTS like 4 ","protein_coding","1",0,1,8.35389749108523e-08,1.42932488697613e-06,50,"Terminal",354,0.375,0.630142857142857,0.630142857142857
"107","ADAR","ENSG00000160710","adenosine deaminase RNA specific ","protein_coding","1",42268,4,3.00493422469195e-05,2.47152799746916e-06,50,"Terminal",4781,0.755,0.53152380952381,0.755
"108","ADAT2","ENSG00000189007","adenosine deaminase tRNA specific 2 ","protein_coding","1",0,1,3.55283246274945e-06,9.88348361170165e-07,50,"Terminal",160,0.387,0.587709523809524,0.587709523809524
"109","ADCY1","ENSG00000164742","adenylate cyclase 1 ","protein_coding","1",50719,4,2.56658584684585e-08,2.0369004892635e-06,50,"Terminal",2720,0.543,0.507480952380952,0.543
"110","ADCY3","ENSG00000138031","adenylate cyclase 3 ","protein_coding","1",6317,4,2.38608863810623e-08,1.87152014223553e-06,50,"Terminal",1374,0.931,0.353671428571429,0.931
"111","ADCY4","ENSG00000129467","adenylate cyclase 4 ","protein_coding","1",0,1,3.59746984571782e-07,1.47413917642792e-06,50,"Terminal",590,0.999,0.43542380952381,0.999
"112","ADCY5","ENSG00000173175","adenylate cyclase 5 ","protein_coding","1",479439,9,2.33429413884188e-06,2.75852937282076e-06,50,"Terminal",1392,0.998,0.24917619047619,0.998
"113","ADCYAP1R1","ENSG00000078549","ADCYAP receptor type I ","protein_coding","1",0,1,1.01724873407278e-06,1.3495422352738e-06,50,"Terminal",1802,0.868,0.266254545454545,0.868
"114","ADD3","ENSG00000148700","adducin 3 ","protein_coding","1",12606,4,5.61539850993467e-07,2.57735944370274e-06,50,"Terminal",648,0.556,0.663761904761905,0.663761904761905
"115","ADGRA2","ENSG00000020181","adhesion G protein-coupled receptor A2 ","protein_coding","1",0,3,1.61775542645887e-07,2.19504271553124e-06,50,"Terminal",402,0.979,0.665895238095238,0.979
"116","ADGRB2","ENSG00000121753","adhesion G protein-coupled receptor B2 ","protein_coding","1",0,1,6.80948685807132e-07,9.83382797488047e-07,50,"Terminal",188,0.877,0.861557142857143,0.877
"117","ADGRB3","ENSG00000135298","adhesion G protein-coupled receptor B3 ","protein_coding","1",0,2,3.16608039457177e-08,1.09389682146401e-06,50,"Terminal",346,0.973,0.734638095238095,0.973
"118","ADGRD1","ENSG00000111452","adhesion G protein-coupled receptor D1 ","protein_coding","1",12475,5,1.2213384724406e-06,1.91976164239448e-06,50,"Terminal",211,0.911,0.528785714285714,0.911
"119","ADGRF1","ENSG00000153292","adhesion G protein-coupled receptor F1 ","protein_coding","1",0,1,2.63218793463746e-08,1.47609101577203e-06,50,"Terminal",240,0.955,0.0873504761904762,0.955
"120","ADGRF5","ENSG00000069122","adhesion G protein-coupled receptor F5 ","protein_coding","1",0,1,8.65678292420364e-09,1.13646307688286e-06,50,"Terminal",282,0.951,0.28477619047619,0.951
"121","ADGRG2","ENSG00000173698","adhesion G protein-coupled receptor G2 ","protein_coding","1",0,2,1.37522087681438e-08,2.33474118226624e-06,50,"Terminal",319,0.944,0.11581380952381,0.944
"122","ADGRG3","ENSG00000182885","adhesion G protein-coupled receptor G3 ","protein_coding","1",0,1,2.6321879356259e-08,1.47609101577203e-06,50,"Terminal",198,0.986,0.441738095238095,0.986
"123","ADGRG4","ENSG00000156920","adhesion G protein-coupled receptor G4 ","protein_coding","1",0,1,2.63218793485641e-08,1.47609101577203e-06,50,"Terminal",95,0.992,0.948914285714286,0.992
"124","ADGRG5","ENSG00000159618","adhesion G protein-coupled receptor G5 ","protein_coding","1",0,1,2.63218793556109e-08,1.47609101577203e-06,50,"Terminal",118,0.961,0.835538095238095,0.961
"125","ADGRL3","ENSG00000150471","adhesion G protein-coupled receptor L3 ","protein_coding","1",13477,5,2.11172836551303e-08,1.62740286032327e-06,50,"Terminal",839,0.941,0.487866666666667,0.941
"126","ADGRV1","ENSG00000164199","adhesion G protein-coupled receptor V1 ","protein_coding","1",6317,3,3.4641752246235e-07,1.58269168374655e-06,50,"Terminal",953,0.952,0.922661904761905,0.952
"127","ADH1A","ENSG00000187758","alcohol dehydrogenase 1A (class I), alpha polypeptide ","protein_coding","1",0,4,1.3092515870969e-08,1.10708991452159e-06,50,"Terminal",4486,0.925,0.781095238095238,0.925
"128","ADH1B","ENSG00000196616","alcohol dehydrogenase 1B (class I), beta polypeptide ","protein_coding","1",50480,3,2.83983974285581e-09,1.34123769414416e-06,50,"Terminal",2508,0.953,0.777633333333333,0.953
"129","ADH1C","ENSG00000248144","alcohol dehydrogenase 1C (class I), gamma polypeptide ","protein_coding","1",0,2,4.12029467397793e-10,8.28868495040051e-07,50,"Terminal",1382,0.893,0.528361904761905,0.893
"130","ADH4","ENSG00000198099","alcohol dehydrogenase 4 (class II), pi polypeptide ","protein_coding","1",0,4,2.54868193714337e-09,1.09937830157046e-06,50,"Terminal",993,0.733,0.450142857142857,0.733
"131","ADH6","ENSG00000172955","alcohol dehydrogenase 6 (class V) ","protein_coding","1",12632,3,1.27406116506039e-10,1.11488686128132e-06,50,"Terminal",638,0.544,0.7962,0.7962
"132","ADH7","ENSG00000196344","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide ","protein_coding","1",44191,5,8.05310804667638e-10,1.19929673239612e-06,50,"Steiner",999,0.811,0.921619047619048,0.921619047619048
"133","ADIPOQ","ENSG00000181092","adiponectin, C1Q and collagen domain containing ","protein_coding","1",279,5,8.94743682455159e-08,1.18092475855993e-06,50,"Terminal",44286,0.398,0.810714285714286,0.810714285714286
"134","ADIPOR1","ENSG00000159346","adiponectin receptor 1 ","protein_coding","1",12708,4,1.48068706134279e-07,2.57704727077809e-06,50,"Terminal",2567,0.998,0.294723809523809,0.998
"135","ADK","ENSG00000156110","adenosine kinase ","protein_coding","1",0,1,2.7350860439705e-08,7.55162669590656e-07,50,"Terminal",2952,0.883,0.143868571428571,0.883
"136","ADM","ENSG00000148926","adrenomedullin ","protein_coding","1",6317,2,2.38838726809796e-10,6.62110025471373e-07,50,"Terminal",8377,0.396,0.289908333333333,0.396
"137","ADM2","ENSG00000128165","adrenomedullin 2 ","protein_coding","1",0,1,8.65678292136564e-09,1.13646307688286e-06,50,"Terminal",680,0.524,0.696014285714286,0.696014285714286
"138","ADNP","ENSG00000101126","activity dependent neuroprotector homeobox ","protein_coding","1",25402,3,2.81629896716827e-06,2.35104927329067e-06,50,"Terminal",879,0.529,0.447080952380952,0.529
"139","ADO","ENSG00000181915","2-aminoethanethiol dioxygenase ","protein_coding","1",0,1,3.11862761298445e-07,6.12560429086329e-07,50,"Terminal",456,0.569,0.666546666666667,0.666546666666667
"140","ADORA1","ENSG00000163485","adenosine A1 receptor ","protein_coding","1",0,1,8.54095729367424e-08,1.39866008363987e-06,50,"Terminal",2373,0.336,0.803109090909091,0.803109090909091
"141","ADORA2A","ENSG00000128271","adenosine A2a receptor ","protein_coding","1",51991,6,6.97979243289441e-07,2.22767259450344e-06,50,"Terminal",6889,0.95,0.379652380952381,0.95
