"Protein","Prediction_Score_glmnet","Prediction_Score_rf","Prediction_Score_svmRadial","Prediction_Score_nnet"
"A0A087WTH5",0.178686640134103,0.26476,0.159629497430839,0.234048277567527
"A0A087WUL8",0.0160064816599976,0.08436,0.241348550323843,0.271133567541123
"A0A087WV62",0.0351156735466722,0.04788,0.0116237096080428,0.141986935669884
"A0A087WVF3",0.118411158663885,0.10234,0.0754808749822611,0.398031986739152
"A0A087WW87",0.0483191927057593,0.10938,0.0281421018641744,0.15346063218888
"A0A087WX78",0.022794591918349,0.0091,0.00492434772897274,0.147178345440547
"A0A087WXM9",0.0576928249228837,0.0321,0.0313878418752184,0.167425285926131
"A0A087WXS9",0.133285003681068,0.08772,0.177721200026724,0.463424179408385
"A0A087X0M5",0.0283432725891128,0.0265,0.00710249640749855,0.141520869440357
"A0A087X179",0.105444784521293,0.04754,0.0300522821638036,0.310039523856988
"A0A087X1C5",0.218562761928912,0.2642,0.108130240158353,0.286816975391743
"A0A087X1G2",0.172500124729707,0.06208,0.106592214180245,0.362003724096607
"A0A096LNP1",0.0482687231649908,0.05584,0.0203700553166356,0.19382238720268
"A0A096LP01",0.0457171884022296,0.06462,0.0925991272239384,0.169268414509865
"A0A096LP49",0.0170470167527322,0.04162,0.05156547083469,0.21428259640709
"A0A096LP55",0.029906948051389,0.07736,0.0849720479261868,0.14353220529585
"A0A096LPI5",0.0277424049787086,0.0216,0.0139146608439361,0.155463424374169
"A0A0A0MRZ7",0.0371268483427512,0.0641,0.0173256172317256,0.154597519028196
"A0A0A0MRZ8",0.0496999896660449,0.06052,0.0165386869419413,0.153541267578717
"A0A0A0MRZ9",0.0583744007979289,0.08592,0.0446280961387177,0.159048778075558
"A0A0A0MS14",0.0402667880787647,0.07616,0.0411804008036433,0.169114320481889
"A0A0A0MS15",0.0631374049367089,0.07122,0.0342767709026104,0.155399645469202
"A0A0A0MT36",0.048923769234061,0.07574,0.0253751367169266,0.150698664226686
"A0A0A0MT76",0.0278503874544618,0.1024,0.0798080696804687,0.152154619967467
"A0A0A0MT89",0.0132930311787357,0.19438,0.228883246072369,0.153579104991524
"A0A0A6YYC5",0.0481934717839065,0.06926,0.0180357235357358,0.151789042254888
"A0A0A6YYD4",0.0314798636442203,0.01924,0.0037110512074479,0.153836707090506
"A0A0A6YYG2",0.0621790827295609,0.05778,0.0224375731984315,0.151031840419247
"A0A0A6YYG3",0.0704146762573628,0.05308,0.0252682055119195,0.150216864049306
"A0A0A6YYJ7",0.0431843580844594,0.02022,0.00589129879170275,0.152121940577952
"A0A0A6YYK1",0.0645394163261381,0.0639,0.0185304151830353,0.151961387213756
"A0A0A6YYK6",0.0366517226737707,0.02442,0.00742275127281455,0.149070488509569
"A0A0A6YYK7",0.0481467830069296,0.05364,0.0199693196792042,0.151972136389629
"A0A0A6YYL3",0.0294603895987469,0.02448,0.00955145798922551,0.130014079086053
"A0A0B4J1U3",0.0630261388366384,0.11236,0.049215195970609,0.161429664035748
"A0A0B4J1U6",0.0422663423811576,0.02618,0.00642042368003288,0.146123783448056
"A0A0B4J1U7",0.0419723998539377,0.08734,0.0653734849867547,0.168928086011901
"A0A0B4J1V0",0.0718545027332629,0.10526,0.0355901648301816,0.153489217114975
"A0A0B4J1V1",0.0503467819001477,0.07284,0.0400345458264169,0.154580208171663
"A0A0B4J1V2",0.0412039402170117,0.05836,0.0372736583297529,0.152930949994578
"A0A0B4J1V6",0.0613398873357059,0.04822,0.0312973182313064,0.152946225890564
"A0A0B4J1X5",0.0685916484354533,0.07432,0.0422651703393127,0.158910810526578
"A0A0B4J1X8",0.0573842815842043,0.06008,0.025091601115933,0.163598705399426
"A0A0B4J1Y8",0.0528513150948999,0.04294,0.0296964612834484,0.151482853655266
"A0A0B4J1Y9",0.0659358325257053,0.07928,0.0240147916106827,0.154183645697121
"A0A0B4J1Z2",0.0413632910600083,0.08178,0.0385905995430093,0.158965011968199
"A0A0B4J234",0.0550807975837282,0.05272,0.0249547884988678,0.153360095896634
"A0A0B4J235",0.0635070711284917,0.05906,0.0217035657804372,0.155380672369946
"A0A0B4J237",0.0531955302527822,0.06494,0.0133744338250932,0.144328363219431
"A0A0B4J238",0.0579685293423228,0.10554,0.0310081989700159,0.153364521347826
"A0A0B4J240",0.0702739667646284,0.08278,0.0638974325989138,0.153909612371823
"A0A0B4J241",0.0502078575291406,0.07702,0.0146788923371197,0.153373751104366
"A0A0B4J244",0.0609066361443833,0.07402,0.0222354811220984,0.151782786968445
"A0A0B4J245",0.0632202147510619,0.0525,0.0304391099502589,0.157699437346673
"A0A0B4J248",0.0528002149699391,0.09486,0.0310859873819414,0.153810857149819
"A0A0B4J249",0.0443531696844205,0.05446,0.0140540659918698,0.152109775824018
"A0A0B4J262",0.0522679738804304,0.07754,0.0175705782383826,0.149406151896857
"A0A0B4J263",0.0381605872458633,0.06266,0.012310334736947,0.155128571401009
"A0A0B4J264",0.0516380141776474,0.05996,0.0350186182614294,0.150993176069718
"A0A0B4J265",0.0394719392640605,0.04318,0.0105763477854955,0.145503733247767
"A0A0B4J266",0.0438766192406945,0.13288,0.0295358439724286,0.148115469675604
"A0A0B4J268",0.0518014392821987,0.08452,0.0367798227200693,0.14947765511878
"A0A0B4J271",0.04305160032927,0.06198,0.0358983004258144,0.16888926546255
"A0A0B4J272",0.0508267809776201,0.07212,0.0230587020702578,0.154920661061722
"A0A0B4J273",0.0373392221197916,0.06566,0.0177101154053476,0.150917436611256
"A0A0B4J274",0.0363225465323303,0.03654,0.0127557974997686,0.152431198176785
"A0A0B4J275",0.038281608651636,0.04516,0.0138361082726241,0.150621399472861
"A0A0B4J276",0.0461086958100431,0.07472,0.037200070351266,0.151161303767637
"A0A0B4J277",0.0626586464362739,0.06788,0.0303426214013193,0.151863971481267
"A0A0B4J279",0.0513592964233242,0.05644,0.0255942445161671,0.152927714992054
"A0A0B4J280",0.0736028139058879,0.1188,0.0553746068275044,0.15154957949927
"A0A0B4J2A2",0.0686018782889281,0.04886,0.0391881228382223,0.118483009783544
"A0A0B4J2D5",0.0308236785801257,0.03796,0.0152420005099782,0.127662516470175
"A0A0B4J2D9",0.0372934473923284,0.05838,0.0196774736895369,0.150483881464194
"A0A0B4J2E0",0.0443676877398589,0.03652,0.0120242359076677,0.152361566718344
"A0A0B4J2F0",0.0153860947607837,0.11776,0.048721636024886,0.120893165397174
"A0A0B4J2F2",0.201520495063668,0.26938,0.0561658647362168,0.321505509411973
"A0A0B4J2H0",0.0456371991976954,0.06038,0.0376291502012558,0.158233699178504
"A0A0C4DH24",0.0486652265671395,0.0761,0.0224881607271256,0.151082099301209
"A0A0C4DH25",0.0392883861112569,0.08832,0.0227846064888095,0.15211961366085
"A0A0C4DH29",0.0641077585795738,0.089,0.0588981454764861,0.168962941623424
"A0A0C4DH31",0.0492676702545438,0.07648,0.0643251011149695,0.169150279173252
"A0A0C4DH32",0.0737020720389927,0.0726,0.0415874987614946,0.153488582807227
"A0A0C4DH33",0.040296690999185,0.04566,0.0187775646713111,0.153002370225364
"A0A0C4DH34",0.0427344436217076,0.08786,0.111795225195762,0.171421883647075
"A0A0C4DH38",0.0525375289065796,0.10922,0.0469483294696434,0.169124289874605
"A0A0C4DH39",0.0585796093714997,0.06418,0.0419319224001858,0.166075184657668
"A0A0C4DH41",0.0693235343789193,0.12684,0.115024725086234,0.169123359061951
"A0A0C4DH42",0.0524109360314586,0.07748,0.0338378925276822,0.155939845978564
"A0A0C4DH43",0.0310267218753898,0.0527,0.0290588506591502,0.155374597177914
"A0A0C4DH55",0.190316023548013,0.18514,0.0684279608149084,0.153858805920431
"A0A0C4DH59",0.070382043209671,0.05868,0.0276517681999862,0.150809947002969
"A0A0C4DH62",0.0186817354150231,0.21986,0.200898961921865,0.156645596828533
"A0A0C4DH67",0.0348795429060582,0.0615,0.0275180816846718,0.154308220141081
"A0A0C4DH68",0.0547318299080382,0.04938,0.0180478252233226,0.150842101112033
"A0A0C4DH69",0.0427777986377059,0.05058,0.0187808352126913,0.152148411285908
"A0A0C4DH72",0.0362230458952298,0.06548,0.0191072040003474,0.154523313476371
"A0A0C4DH73",0.0508266015968032,0.08498,0.0291603926032195,0.151878640472192
"A0A0C5B5G6",0.011757004244909,0.15414,0.246333081323221,0.156655451294845
"A0A0D9SF12",0.0399643327173732,0.05628,0.0164140111897523,0.159655023669191
"A0A0G2JMD5",0.0647407967125445,0.06892,0.0114931788414111,0.321440856901155
"A0A0G2JMI3",0.0297686332115382,0.06886,0.0203399786865163,0.153335612031007
"A0A0G2JS06",0.0310339678488256,0.06438,0.0321629293477352,0.155521043245816
"A0A0J9YVY3",0.043193358384913,0.06152,0.0495232455623563,0.169098439248049
"A0A0J9YWL9",0.0426093470657478,0.10888,0.0455817349216897,0.131832234244323
"A0A0J9YX35",0.0486805831155513,0.05998,0.0363661266132345,0.154500090195704
"A0A0J9YX75",0.0698023324722438,0.03828,0.0188771095778023,0.151704562650889
"A0A0J9YX94",0.0262307811655566,0.04446,0.0255908798659221,0.158568793577353
"A0A0J9YXA8",0.0206013461638031,0.27872,0.208605712328588,0.143775532602272
"A0A0J9YXQ4",0.0423671438577848,0.06808,0.0681028850219288,0.173020482442783
"A0A0J9YXX1",0.0400475250703638,0.05384,0.0263983095151987,0.166440691138599
"A0A0J9YXY3",0.043363497972449,0.03414,0.0159915874528606,0.150063265085678
"A0A0J9YY54",0.015653398214923,0.01654,0.0342828306473323,0.16657208125602
"A0A0K0K1A3",0.0519844493746535,0.06212,0.0326276780203475,0.153666151718177
"A0A0K0K1A5",0.0618417162506032,0.05184,0.0174001848039557,0.151682531896909
"A0A0K0K1B3",0.0636216325014814,0.06324,0.0300032338140076,0.152411485230989
"A0A0K0K1C0",0.0307921340938844,0.0296,0.00833709819688001,0.154311908224283
"A0A0K0K1C4",0.0521564265876659,0.05284,0.0222696416396507,0.151155414923439
"A0A0K0K1D8",0.0768474750873565,0.05772,0.0259457626836672,0.153332133560339
"A0A0K0K1E9",0.0299360682330337,0.051,0.0207004384494293,0.152068752290613
"A0A0K0K1G6",0.0292070039984485,0.04482,0.0168868495953956,0.150543840777272
"A0A0K0K1G8",0.0453811711571927,0.0607,0.0207182215340552,0.156884471257217
"A0A0U1RQE8",0.0450212220206996,0.02986,0.0102588074298548,0.166207638197429
"A0A0U1RQF7",0.0141063198803296,0.02476,0.0413636563502488,0.15409428049401
"A0A0U1RQI7",0.0455695735637094,0.1347,0.13862320626873,0.136533758486697
"A0A0U1RR11",0.0191895395805685,0.02398,0.0129499578760539,0.156168662123159
"A0A0U1RR37",0.023743151248511,0.02584,0.0136969200449583,0.15645037892286
"A0A0U1RRE5",0.0418555268574008,0.05844,0.087545148684782,0.171720551968726
"A0A0U1RRI6",0.0234486537404267,0.02328,0.012809689955981,0.16034618980278
"A0A0U1RRK4",0.0265981613530804,0.05054,0.0906176397445613,0.144107682891213
"A0A0U1RRL7",0.0193441263587075,0.07976,0.168912541273643,0.148853573074385
"A0A0U1RRN3",0.0230968284682331,0.09978,0.0550142342151086,0.158611890662918
"A0A140G945",0.120096193848118,0.25222,0.0251545957717541,0.169575451511226
"A0A183",0.0268900532938785,0.07226,0.0766326731007967,0.177196825278378
"A0A1B0GTC6",0.0294625474673529,0.07114,0.0146353412502778,0.154585960767885
"A0A1B0GTD5",0.0389048877045614,0.04864,0.0428828607043929,0.15674576209418
"A0A1B0GTH6",0.020524062101024,0.06128,0.0691022243658314,0.170028638786052
"A0A1B0GTI8",0.0317026292093838,0.06706,0.0369467597426525,0.166448213195231
"A0A1B0GTK4",0.0331019698041849,0.01364,0.00416878642743495,0.15800559976667
"A0A1B0GTK5",0.0282097945943643,0.04656,0.0139788716113459,0.131090486357825
"A0A1B0GTL2",0.0212831016114246,0.0313,0.018930820170703,0.1531387496741
"A0A1B0GTQ4",0.451893343541519,0.0772,0.209395901636724,0.154453971390824
"A0A1B0GTR0",0.0344593660739908,0.02336,0.0127062319817433,0.145564022503069
"A0A1B0GTR3",0.0130500467222785,0.08092,0.0680427779563644,0.137291974325873
"A0A1B0GTR4",0.0144010931753371,0.15648,0.239730098400499,0.133454755214271
"A0A1B0GTS1",0.0486946843291422,0.03446,0.021278927597049,0.15488588581917
"A0A1B0GTU1",0.0249271663652809,0.0163,0.00649903845216778,0.123773870626479
"A0A1B0GTU2",0.0287564309760643,0.13986,0.0383769240435968,0.147224309896134
"A0A1B0GTW7",0.0360319148740105,0.01742,0.00561640561662587,0.177631917100392
"A0A1B0GTY4",0.0321850376639257,0.06742,0.0204635909884615,0.162665576134558
"A0A1B0GTZ2",0.0310969380066293,0.06804,0.0324984144901116,0.11849341987888
"A0A1B0GU29",0.0270862798790306,0.0359,0.0200245406641161,0.157260709324204
"A0A1B0GU33",0.0174518967668203,0.11938,0.0695492687822818,0.129635358436876
"A0A1B0GU71",0.0162801926099618,0.0454,0.0326732095292257,0.12271834514032
"A0A1B0GUA5",0.0264034042214914,0.0411,0.0264096595346686,0.130903642360768
"A0A1B0GUA6",0.0225062316053687,0.06686,0.0143269417631311,0.12221970012381
"A0A1B0GUA7",0.0281703638279347,0.01328,0.00393677336208863,0.146633751551266
"A0A1B0GUA9",0.0140516579306679,0.01598,0.016107553893569,0.126864730557947
"A0A1B0GUC4",0.021578700486137,0.04004,0.00888536006506693,0.122732635242965
"A0A1B0GUI7",0.0237760291422839,0.05868,0.0157507576626718,0.152108732925765
"A0A1B0GUJ8",0.0245766279657296,0.02178,0.00937795594457897,0.118482521390102
"A0A1B0GUQ0",0.0316825257582115,0.04036,0.0157376008126835,0.150130271112241
"A0A1B0GUS0",0.0265619640233021,0.02706,0.0099049273406796,0.158229562831614
"A0A1B0GUS4",0.0304991575645713,0.05872,0.0138492919978078,0.148629953241489
"A0A1B0GUT2",0.0193486524806591,0.04062,0.0255675066720269,0.143239418735222
"A0A1B0GUU1",0.0338679783713551,0.01958,0.00698452516586957,0.167448777261057
"A0A1B0GUV7",0.0304220326244392,0.05932,0.0257855221940214,0.141225677008188
"A0A1B0GUW6",0.0179637551548907,0.04016,0.0448088716973708,0.132682113914236
"A0A1B0GUW7",0.0240652063031586,0.14832,0.0274138502445299,0.152051538383755
"A0A1B0GUX0",0.0245037589715075,0.02062,0.00620484273768423,0.157132569518805
"A0A1B0GUY1",0.0204357921823226,0.13178,0.151438705936866,0.141258562390496
"A0A1B0GV03",0.0128601428668931,0.04904,0.14734027981564,0.130268826257789
"A0A1B0GV22",0.0311983607801163,0.0491,0.0170435254453436,0.150288384691452
"A0A1B0GV85",0.0401063720220709,0.04884,0.00947516451607241,0.139758016780544
"A0A1B0GV90",0.0311558734780016,0.16928,0.0592224765318142,0.127025784824964
"A0A1B0GVG4",0.0181360140545998,0.08504,0.0400336548622076,0.121939542458661
"A0A1B0GVG6",0.0142800947940267,0.03582,0.0317502278498483,0.12150982453877
"A0A1B0GVH4",0.0539686943586069,0.05834,0.0649971561254317,0.177979808310421
"A0A1B0GVH6",0.0238016904762189,0.01256,0.00354143042808201,0.168527586724136
"A0A1B0GVH7",0.0245682247217688,0.01284,0.00875606002084042,0.16557059127583
"A0A1B0GVK7",0.0133320882051596,0.05692,0.0944235494316593,0.150487949710103
"A0A1B0GVM5",0.015866790872547,0.08336,0.0351878288711652,0.14841825094294
"A0A1B0GVM6",0.0221378275488609,0.04308,0.0201562558915207,0.149398897337164
"A0A1B0GVN3",0.028945917067217,0.00742,0.00267494084180812,0.149746705611531
"A0A1B0GVQ0",0.147366024226466,0.21596,0.225612171577733,0.208152736949524
"A0A1B0GVS7",0.0236910092058753,0.03384,0.0282739446150322,0.130426965700708
"A0A1B0GVT2",0.0283738645948901,0.06086,0.012627728625468,0.148772109909502
"A0A1B0GVV1",0.036647182515843,0.07968,0.036148144971412,0.152092815290824
"A0A1B0GVY4",0.0187277719715407,0.05782,0.0586914579708508,0.122390752698052
"A0A1B0GVZ2",0.0130122591941084,0.0258,0.0678623711419684,0.1513140140423
"A0A1B0GVZ6",0.0170957374850503,0.01822,0.00955056095164966,0.127438017414288
"A0A1B0GVZ9",0.0588129865613098,0.0867,0.0197723059591342,0.161528951159932
"A0A1B0GW35",0.0349304715387205,0.08032,0.0169025956823295,0.156416383219857
"A0A1B0GW64",0.0295448097133226,0.04836,0.0335846630446251,0.153611771845506
"A0A1B0GWB2",0.0457975300361955,0.11836,0.0643482495998816,0.121109075976054
"A0A1B0GWG4",0.036430187703293,0.08664,0.0195907134243815,0.11846643518751
"A0A1B0GWH4",0.0683470499028395,0.03486,0.021460797220516,0.184625119421375
"A0A1B0GWK0",0.025728363190291,0.07498,0.017052355412956,0.119217504629814
"A0A1B0GX31",0.0400575610706715,0.04532,0.0107255588778909,0.153552417490789
"A0A1B0GX49",0.046931317768782,0.06044,0.0167344188805227,0.150812919826671
"A0A1B0GX51",0.0466313943805995,0.03734,0.00987168750474584,0.151167112635385
"A0A1B0GX68",0.0584494446418619,0.0367,0.0259694255383987,0.150785782763418
"A0A1B0GX78",0.0240235211587673,0.02696,0.00558805850562147,0.129338320897137
"A0A1B0GX95",0.0280944116424231,0.02494,0.0119371344917602,0.15217282132618
"A0A1B0GXF2",0.0369267237017943,0.02298,0.00996795941702132,0.151771730429729
"A0A1W2PP97",0.0216918910482591,0.03612,0.0105766130393167,0.156530117244996
"A0A1W2PPG7",0.0300565453903225,0.12326,0.0251380008678542,0.135566995627674
"A0A1W2PR19",0.0292386015154224,0.03218,0.0125128447105865,0.163533701554496
"A0A1W2PR48",0.0287794513129838,0.00962,0.00216204517663805,0.168230626624998
"A0A1W2PS18",0.0672780708731935,0.14904,0.0787868709504694,0.155685583170288
"A0A286YEV6",0.0185004172548812,0.15388,0.232252334799203,0.127250399820524
"A0A286YEX9",0.047843739290412,0.24306,0.243902215341243,0.12994090320929
"A0A286YEY9",0.0144263665238123,0.13516,0.229631992009598,0.126419747118724
"A0A286YF01",0.0182099472133263,0.16492,0.232098103027575,0.134287139198324
"A0A286YF46",0.0161974558274747,0.1542,0.230678868706598,0.131237234846952
"A0A286YF58",0.0333402777627577,0.05674,0.0329183647117771,0.12277624252196
"A0A286YF60",0.0166934306497113,0.14778,0.231365714718123,0.134982132966379
"A0A286YF77",0.0161967546593396,0.14778,0.231578534078678,0.136212606490795
"A0A286YFB4",0.0237804317198338,0.17386,0.234880786085955,0.136781177643298
"A0A286YFG1",0.0172483772471942,0.15688,0.231626281827489,0.129050423810652
"A0A2R8Y4Y8",0.0272125401107038,0.01678,0.00686433991317423,0.146821688626335
"A0A2R8YFL7",0.0328664711676641,0.0257,0.0104727571405096,0.11864421305736
"A0A2R8YFM6",0.0561620271383088,0.06942,0.0176701992888414,0.1501011453311
"A0A539",0.0435819112595241,0.09414,0.0293489054821264,0.142621859366025
"A0A576",0.0502106094818285,0.06202,0.0142647603181115,0.145332542740141
"A0A577",0.0358888812217685,0.08198,0.0262278023539622,0.146010367414622
"A0A578",0.0610770721987393,0.05618,0.0258829234842529,0.151320230857227
"A0A584",0.0403320590365547,0.05272,0.0106692620660251,0.154829525024265
"A0A589",0.0302953902668343,0.05898,0.0154272983870537,0.141711129457177
"A0A597",0.0611836211389668,0.02474,0.0163701271715655,0.150875912239916
"A0A599",0.0515213748649552,0.03444,0.0112279369936568,0.152395073593628
"A0A5A2",0.046849817901422,0.04812,0.0154952768117552,0.15295067477298
"A0A5A6",0.0339439949832968,0.02524,0.00873236408038803,0.155014212671005
"A0A5B0",0.0309802920305958,0.01136,0.00290385071083069,0.140124094959827
"A0A5B6",0.0417383760993266,0.04494,0.0115150895739412,0.149793872270739
"A0A5B7",0.048695573765912,0.0881,0.0448358821790813,0.138075619147257
"A0A5B9",0.0421870451881161,0.02988,0.00835440700677031,0.160506849212806
"A0AUZ9",0.0298576396725068,0.04514,0.00508759154455632,0.179909552947972
"A0AV02",0.228850621199877,0.10316,0.127925236710844,0.363670096323676
"A0AV96",0.0828200737889896,0.0637,0.0833169316055821,0.331940952262748
"A0AVF1",0.0821487805517892,0.11526,0.0165821763170571,0.295363600687933
"A0AVI2",0.142113456501639,0.13212,0.206516379450205,0.711180388956853
"A0AVI4",0.115428700907285,0.24714,0.0411420770367884,0.446940366532188
"A0AVK6",0.230935173429913,0.1432,0.235626176255101,0.15962575459196
"A0AVT1",0.503614807927131,0.37878,0.675303527694936,0.363958027060828
"A0FGR8",0.142388787081777,0.14772,0.338417509902928,0.25782764682404
"A0FGR9",0.0971106613934821,0.08476,0.0252568364265319,0.238676050542295
"A0JD32",0.0474435057878338,0.0528,0.0298168649030248,0.151676218959246
"A0JLT2",0.0437032187024767,0.08038,0.150393342531285,0.144367079002532
"A0JNW5",0.0304469377167226,0.10806,0.0144596608636289,0.13359970312443
"A0JP26",0.0316456051661601,0.0172,0.00652102408468401,0.128086088386048
"A0M8Q6",0.0403712702113348,0.08448,0.0715852382198397,0.152183572112276
"A0MZ66",0.050236968739597,0.07332,0.0178703357383803,0.173955812541512
"A0PG75",0.137351589421451,0.05608,0.0651241445989048,0.183431588946466
"A0PJE2",0.05608971346744,0.10422,0.0269626496120572,0.155178584851453
"A0PJK1",0.0656309004234354,0.13564,0.0519464005252693,0.222764105323116
"A0PJW6",0.0533339392948794,0.0418,0.0202779242060847,0.193717491258695
"A0PJW8",0.00791974737543776,0.0594,0.164506615710339,0.153357841226885
"A0PJX0",0.167214445038815,0.13578,0.0937553506936032,0.144222089062331
"A0PJX2",0.145254052054776,0.06322,0.0410577346661377,0.202627699917018
"A0PJX4",0.111197477684263,0.06188,0.0769928695498368,0.212942225412361
"A0PJX8",0.0188104581952519,0.03922,0.00895227007699477,0.159242697580706
"A0PJY2",0.102147664380122,0.24224,0.0419460303647917,0.210314750753385
"A0PJZ0",0.0230941549755581,0.032,0.00426877177625135,0.119216889583258
"A0PJZ3",0.463044603756375,0.07234,0.16797658228765,0.182242934287208
"A0PK00",0.0265835292255128,0.0743,0.0119496109115224,0.243749432327676
"A0PK05",0.0122661023211505,0.04834,0.0114832258932345,0.145364129693846
"A0PK11",0.0249426084236082,0.09022,0.015831995991389,0.158812488629827
"A0ZSE6",0.0325674516691247,0.07234,0.0109857447554209,0.123553348975082
"A1A4F0",0.0609176279427855,0.04716,0.0172073074804958,0.152063212375188
"A1A4G5",0.0110559448104291,0.02398,0.0596933213300595,0.144224172241783
"A1A4S6",0.10698685995726,0.07746,0.0245826936233976,0.188676025616913
"A1A4V9",0.0215607376945649,0.00742,0.00146751737913566,0.135780798795464
"A1A4Y4",0.415166115848561,0.337,0.420340108980583,0.260164514066099
"A1A519",0.0697182845391048,0.07096,0.0750339998236129,0.202042874074047
"A1A580",0.165854698426527,0.21414,0.17125473687166,0.185529448558816
"A1A5B4",0.0308425875892974,0.04436,0.00587472760764551,0.38517219555757
"A1A5C7",0.0427259143252872,0.05812,0.0113568146804398,0.202034498653107
"A1A5D9",0.0462246241293317,0.0877,0.0170270211688363,0.142892084291922
"A1E959",0.0549331798333586,0.17052,0.104269078703162,0.172544824545339
"A1IGU5",0.0365069174687074,0.04348,0.0045856548376329,0.317813339107717
"A1KXE4",0.0896263844173329,0.20414,0.160794593854556,0.160819210126903
"A1KZ92",0.304168433055612,0.28776,0.214629921199006,0.723900163639019
"A1L020",0.0377364363875929,0.03494,0.0148763144994394,0.135319289814405
"A1L0T0",0.20608411113936,0.25622,0.12006809203133,0.1496024243388
"A1L157",0.101214399473378,0.05832,0.0236629179272025,0.260017922040514
"A1L162",0.0257986024761016,0.09526,0.0989022463294587,0.126686437532639
"A1L167",0.0810127949995582,0.07368,0.0172885262686483,0.177467234606353
"A1L168",0.0185357548236641,0.02908,0.00658502018154406,0.14350910584561
"A1L170",0.0261737495801055,0.04744,0.0133636086781644,0.117327585094139
"A1L188",0.0315095591261073,0.0853,0.117619005821101,0.141402534885941
"A1L190",0.234251715815461,0.17588,0.195018566317416,0.188999356495244
"A1L1A6",0.0388432692295355,0.09904,0.0249048992270505,0.144844288085987
"A1L390",0.0687132513159086,0.05444,0.0140579698288553,0.19043007314061
"A1L3X0",0.0969329901795065,0.09394,0.0580674393206483,0.226799342980614
"A1L3X4",0.0317512164572179,0.14862,0.230066638369335,0.124028602239995
