"ensembl_gene_id","external_gene_name","description","gene_biotype","cluster","betweenness","degree_centrality","prize","type"
"ENSG00000160691","SHC1","SHC adaptor protein 1 ","protein_coding","1",932107,23,50,"Steiner"
"ENSG00000163918","RFC4","replication factor C subunit 4 ","protein_coding","1",60854,23,50,"Terminal"
"ENSG00000172531","PPP1CA","protein phosphatase 1 catalytic subunit alpha ","protein_coding","1",111108,23,50,"Terminal"
"ENSG00000175792","RUVBL1","RuvB like AAA ATPase 1 ","protein_coding","1",606425,23,50,"Terminal"
"ENSG00000186868","MAPT","microtubule associated protein tau ","protein_coding","1",1464049,23,50,"Terminal"
"ENSG00000011426","ANLN","anillin, actin binding protein ","protein_coding","1",70543,22,50,"Terminal"
"ENSG00000049541","RFC2","replication factor C subunit 2 ","protein_coding","1",19884,22,50,"Terminal"
"ENSG00000115306","SPTBN1","spectrin beta, non-erythrocytic 1 ","protein_coding","1",83472,22,50,"Terminal"
"ENSG00000127616","SMARCA4","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 ","protein_coding","1",423601,22,50,"Terminal"
"ENSG00000129354","AP1M2","adaptor related protein complex 1 subunit mu 2 ","protein_coding","1",65421,22,50,"Terminal"
"ENSG00000152056","AP1S3","adaptor related protein complex 1 subunit sigma 3 ","protein_coding","1",540691,22,50,"Terminal"
"ENSG00000162849","KIF26B","kinesin family member 26B ","protein_coding","1",9382,22,50,"Terminal"
"ENSG00000166851","PLK1","polo like kinase 1 ","protein_coding","1",311951,22,50,"Terminal"
"ENSG00000167552","TUBA1A","tubulin alpha 1a ","protein_coding","1",738135,22,50,"Terminal"
"ENSG00000170312","CDK1","cyclin dependent kinase 1 ","protein_coding","1",549618,22,50,"Terminal"
"ENSG00000182481","KPNA2","karyopherin subunit alpha 2 ","protein_coding","1",129183,22,50,"Terminal"
"ENSG00000185130","H2BC13","H2B clustered histone 13 ","protein_coding","1",393648,22,50,"Terminal"
"ENSG00000106367","AP1S1","adaptor related protein complex 1 subunit sigma 1 ","protein_coding","1",206757,21,50,"Terminal"
"ENSG00000111445","RFC5","replication factor C subunit 5 ","protein_coding","1",340298,21,50,"Terminal"
"ENSG00000127920","GNG11","G protein subunit gamma 11 ","protein_coding","1",6328,21,50,"Terminal"
"ENSG00000133119","RFC3","replication factor C subunit 3 ","protein_coding","1",1227311,21,50,"Terminal"
"ENSG00000138346","DNA2","DNA replication helicase/nuclease 2 ","protein_coding","1",316419,21,50,"Terminal"
"ENSG00000151150","ANK3","ankyrin 3 ","protein_coding","1",226520,21,50,"Terminal"
"ENSG00000164032","H2AZ1","H2A.Z variant histone 1 ","protein_coding","1",151220,21,50,"Terminal"
"ENSG00000170049","KCNAB3","potassium voltage-gated channel subfamily A regulatory beta subunit 3 ","protein_coding","1",68751,21,50,"Terminal"
"ENSG00000196591","HDAC2","histone deacetylase 2 ","protein_coding","1",358120,21,50,"Terminal"
"ENSG00000213397","HAUS7","HAUS augmin like complex subunit 7 ","protein_coding","1",1360067,21,50,"Terminal"
"ENSG00000070756","PABPC1","poly(A) binding protein cytoplasmic 1 ","protein_coding","1",261469,20,50,"Terminal"
"ENSG00000083444","PLOD1","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 ","protein_coding","1",848411,20,50,"Terminal"
"ENSG00000106399","RPA3","replication protein A3 ","protein_coding","1",266585,20,50,"Terminal"
"ENSG00000127511","SIN3B","SIN3 transcription regulator family member B ","protein_coding","1",510250,20,50,"Terminal"
"ENSG00000131351","HAUS8","HAUS augmin like complex subunit 8 ","protein_coding","1",1181213,20,50,"Terminal"
"ENSG00000138685","FGF2","fibroblast growth factor 2 ","protein_coding","1",150772,20,50,"Terminal"
"ENSG00000145362","ANK2","ankyrin 2 ","protein_coding","1",49538,20,50,"Terminal"
"ENSG00000165025","SYK","spleen associated tyrosine kinase ","protein_coding","1",44478,20,50,"Terminal"
"ENSG00000169282","KCNAB1","potassium voltage-gated channel subfamily A regulatory beta subunit 1 ","protein_coding","1",81350,20,50,"Terminal"
"ENSG00000169750","RAC3","Rac family small GTPase 3 ","protein_coding","1",839761,20,50,"Terminal"
"ENSG00000175643","RMI2","RecQ mediated genome instability 2 ","protein_coding","1",192598,20,50,"Terminal"
"ENSG00000177606","JUN","Jun proto-oncogene, AP-1 transcription factor subunit ","protein_coding","1",438580,20,50,"Terminal"
"ENSG00000072274","TFRC","transferrin receptor ","protein_coding","1",782974,19,50,"Terminal"
"ENSG00000111752","PHC1","polyhomeotic homolog 1 ","protein_coding","1",261093,19,50,"Terminal"
"ENSG00000116489","CAPZA1","capping actin protein of muscle Z-line subunit alpha 1 ","protein_coding","1",623620,19,50,"Terminal"
"ENSG00000116833","NR5A2","nuclear receptor subfamily 5 group A member 2 ","protein_coding","1",840036,19,50,"Terminal"
"ENSG00000124214","STAU1","staufen double-stranded RNA binding protein 1 ","protein_coding","1",560340,19,50,"Terminal"
"ENSG00000127022","CANX","calnexin ","protein_coding","1",792845,19,50,"Terminal"
"ENSG00000150753","CCT5","chaperonin containing TCP1 subunit 5 ","protein_coding","1",91936,19,50,"Terminal"
"ENSG00000160345","PIERCE1","piercer of microtubule wall 1 ","protein_coding","1",31552,19,50,"Terminal"
"ENSG00000163263","CFAP141","cilia and flagella associated protein 141 ","protein_coding","1",10466,19,50,"Terminal"
"ENSG00000163468","CCT3","chaperonin containing TCP1 subunit 3 ","protein_coding","1",1547280,19,50,"Terminal"
"ENSG00000167858","TEKT1","tektin 1 ","protein_coding","1",255244,19,50,"Terminal"
"ENSG00000172361","CFAP53","cilia and flagella associated protein 53 ","protein_coding","1",331,19,50,"Terminal"
"ENSG00000172977","KAT5","lysine acetyltransferase 5 ","protein_coding","1",80541,19,50,"Terminal"
"ENSG00000173557","CIMIP2C","ciliary microtubule inner protein 2C ","protein_coding","1",1132,19,50,"Terminal"
"ENSG00000186973","CFAP144","cilia and flagella associated protein 144 ","protein_coding","1",15,19,50,"Terminal"
"ENSG00000188229","TUBB4B","tubulin beta 4B class IVb ","protein_coding","1",66380,19,50,"Terminal"
"ENSG00000198712","MT-CO2","mitochondrially encoded cytochrome c oxidase II ","protein_coding","1",237909,19,50,"Terminal"
"ENSG00000215217","CFAP90","cilia and flagella associated protein 90 ","protein_coding","1",16722,19,50,"Terminal"
"ENSG00000141736","ERBB2","erb-b2 receptor tyrosine kinase 2 ","protein_coding","1",44880,18,50,"Terminal"
"ENSG00000149806","FAU","FAU ubiquitin like and ribosomal protein S30 fusion ","protein_coding","1",509736,18,50,"Steiner"
"ENSG00000164754","RAD21","RAD21 cohesin complex component ","protein_coding","1",1368778,18,50,"Terminal"
"ENSG00000166167","BTRC","beta-transducin repeat containing E3 ubiquitin protein ligase ","protein_coding","1",236257,18,50,"Terminal"
"ENSG00000170558","CDH2","cadherin 2 ","protein_coding","1",54180,18,50,"Terminal"
"ENSG00000174804","FZD4","frizzled class receptor 4 ","protein_coding","1",352531,18,50,"Terminal"
"ENSG00000178966","RMI1","RecQ mediated genome instability 1 ","protein_coding","1",34339,18,50,"Terminal"
"ENSG00000179902","CFAP276","cilia and flagella associated protein 276 ","protein_coding","1",13285,18,50,"Terminal"
"ENSG00000181449","SOX2","SRY-box transcription factor 2 ","protein_coding","1",298129,18,50,"Terminal"
"ENSG00000215187","CIMIP2B","ciliary microtubule inner protein 2B ","protein_coding","1",0,18,50,"Terminal"
"ENSG00000220205","VAMP2","vesicle associated membrane protein 2 ","protein_coding","1",223579,18,50,"Terminal"
"ENSG00000261652","PIERCE2","piercer of microtubule wall 2 ","protein_coding","1",0,18,50,"Terminal"
"ENSG00000006125","AP2B1","adaptor related protein complex 2 subunit beta 1 ","protein_coding","1",492384,17,50,"Terminal"
"ENSG00000088986","DYNLL1","dynein light chain LC8-type 1 ","protein_coding","1",107127,17,50,"Terminal"
"ENSG00000090554","FLT3LG","fms related receptor tyrosine kinase 3 ligand ","protein_coding","1",151,17,50,"Terminal"
"ENSG00000092036","HAUS4","HAUS augmin like complex subunit 4 ","protein_coding","1",51136,17,50,"Terminal"
"ENSG00000110092","CCND1","cyclin D1 ","protein_coding","1",118332,17,50,"Terminal"
"ENSG00000114251","WNT5A","Wnt family member 5A ","protein_coding","1",30611,17,50,"Terminal"
"ENSG00000115415","STAT1","signal transducer and activator of transcription 1 ","protein_coding","1",62559,17,50,"Terminal"
"ENSG00000127191","TRAF2","TNF receptor associated factor 2 ","protein_coding","1",354520,17,50,"Terminal"
"ENSG00000141968","VAV1","vav guanine nucleotide exchange factor 1 ","protein_coding","1",64492,17,50,"Terminal"
"ENSG00000152240","HAUS1","HAUS augmin like complex subunit 1 ","protein_coding","1",16817,17,50,"Terminal"
"ENSG00000163873","GRIK3","glutamate ionotropic receptor kainate type subunit 3 ","protein_coding","1",602388,17,50,"Terminal"
"ENSG00000184678","H2BC21","H2B clustered histone 21 ","protein_coding","1",352124,17,50,"Terminal"
"ENSG00000184831","APOO","apolipoprotein O ","protein_coding","1",28679,17,50,"Terminal"
"ENSG00000197153","H3C12","H3 clustered histone 12 ","protein_coding","1",297790,17,50,"Terminal"
"ENSG00000203668","CHML","CHM like Rab escort protein ","protein_coding","1",132231,17,50,"Terminal"
"ENSG00000232629","HLA-DQB2","major histocompatibility complex, class II, DQ beta 2 ","protein_coding","1",608105,17,50,"Terminal"
"ENSG00000277224","H2BC7","H2B clustered histone 7 ","protein_coding","1",698794,17,50,"Terminal"
"ENSG00000029534","ANK1","ankyrin 1 ","protein_coding","1",197441,16,50,"Terminal"
"ENSG00000049759","NEDD4L","NEDD4 like E3 ubiquitin protein ligase ","protein_coding","1",229625,16,50,"Terminal"
"ENSG00000057593","F7","coagulation factor VII ","protein_coding","1",631111,16,50,"Terminal"
"ENSG00000074071","MRPS34","mitochondrial ribosomal protein S34 ","protein_coding","1",91764,16,50,"Terminal"
"ENSG00000086598","TMED2","transmembrane p24 trafficking protein 2 ","protein_coding","1",466068,16,50,"Terminal"
"ENSG00000102054","RBBP7","RB binding protein 7, chromatin remodeling factor ","protein_coding","1",483668,16,50,"Terminal"
"ENSG00000103363","ELOB","elongin B ","protein_coding","1",258506,16,50,"Terminal"
"ENSG00000105699","LSR","lipolysis stimulated lipoprotein receptor ","protein_coding","1",47142,16,50,"Terminal"
"ENSG00000106541","AGR2","anterior gradient 2, protein disulphide isomerase family member ","protein_coding","1",118258,16,50,"Terminal"
"ENSG00000106636","YKT6","YKT6 v-SNARE homolog ","protein_coding","1",1018179,16,50,"Terminal"
"ENSG00000107736","CDH23","cadherin related 23 ","protein_coding","1",116795,16,50,"Terminal"
"ENSG00000109674","NEIL3","nei like DNA glycosylase 3 ","protein_coding","1",89840,16,50,"Terminal"
"ENSG00000114270","COL7A1","collagen type VII alpha 1 chain ","protein_coding","1",847188,16,50,"Terminal"
"ENSG00000121966","CXCR4","C-X-C motif chemokine receptor 4 ","protein_coding","1",276898,16,50,"Terminal"
"ENSG00000140443","IGF1R","insulin like growth factor 1 receptor ","protein_coding","1",213786,16,50,"Terminal"
"ENSG00000142875","PRKACB","protein kinase cAMP-activated catalytic subunit beta ","protein_coding","1",212543,16,50,"Terminal"
"ENSG00000145425","RPS3A","ribosomal protein S3A ","protein_coding","1",162560,16,50,"Terminal"
"ENSG00000145604","SKP2","S-phase kinase associated protein 2 ","protein_coding","1",75104,16,50,"Terminal"
"ENSG00000146731","CCT6A","chaperonin containing TCP1 subunit 6A ","protein_coding","1",131113,16,50,"Terminal"
"ENSG00000149269","PAK1","p21 (RAC1) activated kinase 1 ","protein_coding","1",1934805,16,50,"Terminal"
"ENSG00000158042","MRPL17","mitochondrial ribosomal protein L17 ","protein_coding","1",39424,16,50,"Terminal"
"ENSG00000169083","AR","androgen receptor ","protein_coding","1",144216,16,50,"Terminal"
"ENSG00000171792","RHNO1","RAD9-HUS1-RAD1 interacting nuclear orphan 1 ","protein_coding","1",142484,16,50,"Terminal"
"ENSG00000173898","SPTBN2","spectrin beta, non-erythrocytic 2 ","protein_coding","1",243525,16,50,"Terminal"
"ENSG00000175336","APOF","apolipoprotein F ","protein_coding","1",272008,16,50,"Terminal"
"ENSG00000180992","MRPL14","mitochondrial ribosomal protein L14 ","protein_coding","1",63720,16,50,"Terminal"
"ENSG00000188157","AGRN","agrin ","protein_coding","1",219303,16,50,"Terminal"
"ENSG00000223865","HLA-DPB1","major histocompatibility complex, class II, DP beta 1 ","protein_coding","1",146377,16,50,"Terminal"
"ENSG00000233822","H2BC15","H2B clustered histone 15 ","protein_coding","1",271372,16,50,"Terminal"
"ENSG00000038945","MSR1","macrophage scavenger receptor 1 ","protein_coding","1",148184,15,50,"Terminal"
"ENSG00000067715","SYT1","synaptotagmin 1 ","protein_coding","1",107801,15,50,"Terminal"
"ENSG00000082458","DLG3","discs large MAGUK scaffold protein 3 ","protein_coding","1",54673,15,50,"Terminal"
"ENSG00000100209","HSCB","HscB mitochondrial iron-sulfur cluster cochaperone ","protein_coding","1",340276,15,50,"Steiner"
"ENSG00000122779","TRIM24","tripartite motif containing 24 ","protein_coding","1",42177,15,50,"Terminal"
"ENSG00000126561","STAT5A","signal transducer and activator of transcription 5A ","protein_coding","1",644266,15,50,"Terminal"
"ENSG00000129691","ASH2L","ASH2 like, histone lysine methyltransferase complex subunit ","protein_coding","1",458385,15,50,"Terminal"
"ENSG00000137337","MDC1","mediator of DNA damage checkpoint 1 ","protein_coding","1",543657,15,50,"Steiner"
"ENSG00000139351","SYCP3","synaptonemal complex protein 3 ","protein_coding","1",149871,15,50,"Terminal"
"ENSG00000140009","ESR2","estrogen receptor 2 ","protein_coding","1",394367,15,50,"Terminal"
"ENSG00000152457","DCLRE1C","DNA cross-link repair 1C ","protein_coding","1",193381,15,50,"Terminal"
"ENSG00000153822","KCNJ16","potassium inwardly rectifying channel subfamily J member 16 ","protein_coding","1",0,15,50,"Terminal"
"ENSG00000158373","H2BC5","H2B clustered histone 5 ","protein_coding","1",1035996,15,50,"Terminal"
"ENSG00000160963","COL26A1","collagen type XXVI alpha 1 chain ","protein_coding","1",26772,15,50,"Terminal"
"ENSG00000162928","PEX13","peroxisomal biogenesis factor 13 ","protein_coding","1",88529,15,50,"Terminal"
"ENSG00000163554","SPTA1","spectrin alpha, erythrocytic 1 ","protein_coding","1",93722,15,50,"Terminal"
"ENSG00000173156","RHOD","ras homolog family member D ","protein_coding","1",309443,15,50,"Terminal"
"ENSG00000173894","CBX2","chromobox 2 ","protein_coding","1",236657,15,50,"Terminal"
"ENSG00000179218","CALR","calreticulin ","protein_coding","1",303840,15,50,"Terminal"
"ENSG00000181610","MRPS23","mitochondrial ribosomal protein S23 ","protein_coding","1",59416,15,50,"Terminal"
"ENSG00000184730","APOBR","apolipoprotein B receptor ","protein_coding","1",38695,15,50,"Terminal"
"ENSG00000197903","H2BC12","H2B clustered histone 12 ","protein_coding","1",101982,15,50,"Terminal"
"ENSG00000204681","GABBR1","gamma-aminobutyric acid type B receptor subunit 1 ","protein_coding","1",25213,15,50,"Terminal"
"ENSG00000213658","LAT","linker for activation of T cells ","protein_coding","1",750786,15,50,"Terminal"
"ENSG00000242076","IGKV1-33","immunoglobulin kappa variable 1-33 ","IG_V_gene","1",39961,15,50,"Terminal"
"ENSG00000277586","NEFL","neurofilament light chain ","protein_coding","1",95324,15,50,"Terminal"
"ENSG00000062582","MRPS24","mitochondrial ribosomal protein S24 ","protein_coding","1",78110,14,50,"Terminal"
"ENSG00000067369","TP53BP1","tumor protein p53 binding protein 1 ","protein_coding","1",298989,14,50,"Steiner"
"ENSG00000089159","PXN","paxillin ","protein_coding","1",79987,14,50,"Terminal"
"ENSG00000104147","OIP5","Opa interacting protein 5 ","protein_coding","1",11620,14,50,"Terminal"
"ENSG00000106123","EPHB6","EPH receptor B6 ","protein_coding","1",541204,14,50,"Terminal"
"ENSG00000108826","MRPL27","mitochondrial ribosomal protein L27 ","protein_coding","1",6397,14,50,"Terminal"
"ENSG00000110076","NRXN2","neurexin 2 ","protein_coding","1",139323,14,50,"Steiner"
"ENSG00000111057","KRT18","keratin 18 ","protein_coding","1",53461,14,50,"Terminal"
"ENSG00000112280","COL9A1","collagen type IX alpha 1 chain ","protein_coding","1",13493,14,50,"Terminal"
"ENSG00000118193","KIF14","kinesin family member 14 ","protein_coding","1",30873,14,50,"Terminal"
"ENSG00000118640","VAMP8","vesicle associated membrane protein 8 ","protein_coding","1",92630,14,50,"Terminal"
"ENSG00000122565","CBX3","chromobox 3 ","protein_coding","1",51641,14,50,"Terminal"
"ENSG00000124215","CDH26","cadherin 26 ","protein_coding","1",587588,14,50,"Terminal"
"ENSG00000124882","EREG","epiregulin ","protein_coding","1",85076,14,50,"Terminal"
"ENSG00000135218","CD36","CD36 molecule (CD36 blood group) ","protein_coding","1",172921,14,50,"Terminal"
"ENSG00000136492","BRIP1","BRCA1 interacting helicase 1 ","protein_coding","1",14836,14,50,"Terminal"
"ENSG00000141985","SH3GL1","SH3 domain containing GRB2 like 1, endophilin A2 ","protein_coding","1",596709,14,50,"Steiner"
"ENSG00000143761","ARF1","ADP ribosylation factor 1 ","protein_coding","1",104040,14,50,"Terminal"
"ENSG00000146070","PLA2G7","phospholipase A2 group VII ","protein_coding","1",205803,14,50,"Terminal"
"ENSG00000154237","LRRK1","leucine rich repeat kinase 1 ","protein_coding","1",237416,14,50,"Steiner"
"ENSG00000158815","FGF17","fibroblast growth factor 17 ","protein_coding","1",103346,14,50,"Terminal"
"ENSG00000160957","RECQL4","RecQ like helicase 4 ","protein_coding","1",147833,14,50,"Terminal"
"ENSG00000163235","TGFA","transforming growth factor alpha ","protein_coding","1",1384371,14,50,"Terminal"
"ENSG00000166226","CCT2","chaperonin containing TCP1 subunit 2 ","protein_coding","1",66234,14,50,"Terminal"
"ENSG00000167768","KRT1","keratin 1 ","protein_coding","1",18398,14,50,"Terminal"
"ENSG00000170296","GABARAP","GABA type A receptor-associated protein ","protein_coding","1",69028,14,50,"Terminal"
"ENSG00000173432","SAA1","serum amyloid A1 ","protein_coding","1",5111,14,50,"Terminal"
"ENSG00000173578","XCR1","X-C motif chemokine receptor 1 ","protein_coding","1",104913,14,50,"Terminal"
"ENSG00000175279","CENPS","centromere protein S ","protein_coding","1",146758,14,50,"Terminal"
"ENSG00000177807","KCNJ10","potassium inwardly rectifying channel subfamily J member 10 ","protein_coding","1",21003,14,50,"Terminal"
"ENSG00000178726","THBD","thrombomodulin ","protein_coding","1",33308,14,50,"Terminal"
"ENSG00000187017","ESPN","espin ","protein_coding","1",80391,14,50,"Terminal"
"ENSG00000196586","MYO6","myosin VI ","protein_coding","1",86900,14,50,"Terminal"
"ENSG00000196890","H2BC26","H2B clustered histone 26 ","protein_coding","1",129723,14,50,"Terminal"
"ENSG00000204889","KRT40","keratin 40 ","protein_coding","1",15354,14,50,"Terminal"
"ENSG00000205726","ITSN1","intersectin 1 ","protein_coding","1",715330,14,50,"Terminal"
"ENSG00000213949","ITGA1","integrin subunit alpha 1 ","protein_coding","1",389648,14,50,"Terminal"
"ENSG00000221866","PLXNA4","plexin A4 ","protein_coding","1",189852,14,50,"Terminal"
"ENSG00000232810","TNF","tumor necrosis factor ","protein_coding","1",89830,14,50,"Terminal"
"ENSG00000253729","PRKDC","protein kinase, DNA-activated, catalytic subunit ","protein_coding","1",297433,14,50,"Terminal"
"ENSG00000068796","KIF2A","kinesin family member 2A ","protein_coding","1",28709,13,50,"Terminal"
"ENSG00000070371","CLTCL1","clathrin heavy chain like 1 ","protein_coding","1",123456,13,50,"Terminal"
"ENSG00000094796","KRT31","keratin 31 ","protein_coding","1",497,13,50,"Terminal"
"ENSG00000101773","RBBP8","RB binding protein 8, endonuclease ","protein_coding","1",1073,13,50,"Terminal"
"ENSG00000102606","ARHGEF7","Rho guanine nucleotide exchange factor 7 ","protein_coding","1",339128,13,50,"Terminal"
"ENSG00000104320","NBN","nibrin ","protein_coding","1",374508,13,50,"Terminal"
"ENSG00000105464","GRIN2D","glutamate ionotropic receptor NMDA type subunit 2D ","protein_coding","1",19328,13,50,"Terminal"
"ENSG00000106976","DNM1","dynamin 1 ","protein_coding","1",697327,13,50,"Terminal"
"ENSG00000107796","ACTA2","actin alpha 2, smooth muscle ","protein_coding","1",244024,13,50,"Terminal"
"ENSG00000113456","RAD1","RAD1 checkpoint DNA exonuclease ","protein_coding","1",93772,13,50,"Terminal"
"ENSG00000114686","MRPL3","mitochondrial ribosomal protein L3 ","protein_coding","1",39820,13,50,"Terminal"
"ENSG00000115364","MRPL19","mitochondrial ribosomal protein L19 ","protein_coding","1",39081,13,50,"Terminal"
"ENSG00000117222","RBBP5","RB binding protein 5, histone lysine methyltransferase complex subunit ","protein_coding","1",226692,13,50,"Terminal"
"ENSG00000122026","RPL21","ribosomal protein L21 ","protein_coding","1",176580,13,50,"Terminal"
"ENSG00000122687","MRM2","mitochondrial rRNA methyltransferase 2 ","protein_coding","1",18216,13,50,"Terminal"
"ENSG00000123500","COL10A1","collagen type X alpha 1 chain ","protein_coding","1",31361,13,50,"Terminal"
"ENSG00000125845","BMP2","bone morphogenetic protein 2 ","protein_coding","1",40533,13,50,"Terminal"
"ENSG00000126803","HSPA2","heat shock protein family A (Hsp70) member 2 ","protein_coding","1",168194,13,50,"Terminal"
"ENSG00000136717","BIN1","bridging integrator 1 ","protein_coding","1",48076,13,50,"Terminal"
"ENSG00000136869","TLR4","toll like receptor 4 ","protein_coding","1",77300,13,50,"Terminal"
"ENSG00000138376","BARD1","BRCA1 associated RING domain 1 ","protein_coding","1",331556,13,50,"Terminal"
"ENSG00000139618","BRCA2","BRCA2 DNA repair associated ","protein_coding","1",452754,13,50,"Terminal"
"ENSG00000140464","PML","PML nuclear body scaffold ","protein_coding","1",716420,13,50,"Terminal"
"ENSG00000143799","PARP1","poly(ADP-ribose) polymerase 1 ","protein_coding","1",314090,13,50,"Terminal"
"ENSG00000144381","HSPD1","heat shock protein family D (Hsp60) member 1 ","protein_coding","1",92147,13,50,"Terminal"
"ENSG00000148965","SAA4","serum amyloid A4, constitutive ","protein_coding","1",1345,13,50,"Terminal"
"ENSG00000151023","ENKUR","enkurin, TRPC channel interacting protein ","protein_coding","1",0,13,50,"Terminal"
"ENSG00000159055","MIS18A","MIS18 kinetochore protein A ","protein_coding","1",2416,13,50,"Terminal"
"ENSG00000161970","RPL26","ribosomal protein L26 ","protein_coding","1",7204,13,50,"Terminal"
"ENSG00000164305","CASP3","caspase 3 ","protein_coding","1",136243,13,50,"Terminal"
"ENSG00000166596","CFAP52","cilia and flagella associated protein 52 ","protein_coding","1",243506,13,50,"Terminal"
"ENSG00000169925","BRD3","bromodomain containing 3 ","protein_coding","1",373278,13,50,"Steiner"
"ENSG00000170421","KRT8","keratin 8 ","protein_coding","1",89579,13,50,"Terminal"
"ENSG00000171812","COL8A2","collagen type VIII alpha 2 chain ","protein_coding","1",29456,13,50,"Terminal"
"ENSG00000173402","DAG1","dystroglycan 1 ","protein_coding","1",128877,13,50,"Terminal"
"ENSG00000174871","CNIH2","cornichon family AMPA receptor auxiliary protein 2 ","protein_coding","1",611163,13,50,"Terminal"
