"drugName","external_gene_name","Uniprot_ID","ensembl_gene_id","diseaseId","diseaseName","drugId","type","mechanismOfAction","actionType","OpenTarget_target","description","phase","status","source","gene_concept_id","DGIdb_target","interaction_source_db_name","interaction_source_db_version","interaction_type","interaction_score","drug_claim_name","drug_concept_id","approved","immunotherapy","anti_neoplastic"
"LAPATINIB","EGFR","P00533","ENSG00000146648","EFO_1000294","HER2 Positive Breast Carcinoma","CHEMBL554","Small molecule","Epidermal growth factor receptor erbB1 inhibitor",NA,"EGFR","epidermal growth factor receptor",3,"Active, not recruiting","https://clinicaltrials.gov/study/NCT03500380","hgnc:3236","EGFR","MyCancerGenomeClinicalTrial","30-Feburary-2014","inhibitor","0.2778183663264259","LAPATINIB DITOSYLATE","rxcui:480167","TRUE","FALSE","TRUE"
"LAPATINIB","ERBB2","P04626","ENSG00000141736","MONDO_0007254","breast cancer","CHEMBL554","Small molecule","Receptor protein-tyrosine kinase erbB-2 inhibitor",NA,"ERBB2","erb-b2 receptor tyrosine kinase 2",2,"Terminated","https://clinicaltrials.gov/study/NCT01934894,https://clinicaltrials.gov/study/NCT00479856,https://clinicaltrials.gov/study/NCT00903656,https://clinicaltrials.gov/study/NCT00756470,https://clinicaltrials.gov/study/NCT00496366,https://clinicaltrials.gov/study/NCT01477060,https://clinicaltrials.gov/study/NCT01161368,https://clinicaltrials.gov/study/NCT00754702,https://clinicaltrials.gov/study/NCT01873833,https://clinicaltrials.gov/study/NCT00759642,https://clinicaltrials.gov/study/NCT00225758,https://clinicaltrials.gov/study/NCT00499681,https://clinicaltrials.gov/study/NCT01534455,https://clinicaltrials.gov/study/NCT00657137","hgnc:3430","ERBB2","FDA","10-Apr-24","NULL","0.3677319929494733","LAPATINIB","rxcui:480167","TRUE","FALSE","TRUE"
"LETROZOLE","CYP19A1","P11511","ENSG00000137869","EFO_0000305","breast carcinoma","CHEMBL1444","Small molecule","Cytochrome P450 19A1 inhibitor",NA,"CYP19A1","cytochrome P450 family 19 subfamily A member 1",3,"Active, not recruiting","https://clinicaltrials.gov/study/NCT00601900","hgnc:2594","CYP19A1","TTD","2020.06.01","NULL","0.8334550989792776","LETROZOLE","rxcui:72965","TRUE","FALSE","TRUE"
"NERATINIB","EGFR","P00533","ENSG00000146648","MONDO_0007254","breast cancer","CHEMBL180022","Small molecule","Epidermal growth factor receptor erbB1 inhibitor",NA,"EGFR","epidermal growth factor receptor",1,"Completed","https://clinicaltrials.gov/study/NCT00706030,https://clinicaltrials.gov/study/NCT01423123,https://clinicaltrials.gov/study/NCT00741260,https://clinicaltrials.gov/study/NCT02236000,https://clinicaltrials.gov/study/NCT01111825,https://clinicaltrials.gov/study/NCT00708903,https://clinicaltrials.gov/study/NCT00398567,https://clinicaltrials.gov/study/NCT00445458","hgnc:3236","EGFR","TALC","12-May-16","inhibitor","0.3968833804663227","NERATINIB","rxcui:1940643","TRUE","FALSE","TRUE"
"OLAPARIB","PARP1","P09874","ENSG00000143799","EFO_0005537","triple-negative breast cancer","CHEMBL521686","Small molecule","PARP 1, 2 and 3 inhibitor",NA,"PARP1","poly(ADP-ribose) polymerase 1",1,"Active, not recruiting","https://clinicaltrials.gov/study/NCT02419495","hgnc:270","PARP1","MyCancerGenome","20-Jun-17","other/unknown","0.4296082192011368","OLAPARIB","rxcui:1597582","TRUE","FALSE","TRUE"
"OLAPARIB","PARP3","Q9Y6F1","ENSG00000041880","EFO_0000305","breast carcinoma","CHEMBL521686","Small molecule","PARP 1, 2 and 3 inhibitor",NA,"PARP3","poly(ADP-ribose) polymerase family member 3",1,"Active, not recruiting","https://clinicaltrials.gov/study/NCT03955640","hgnc:273","PARP3","ChEMBL","33","inhibitor","0.1988926940746004","OLAPARIB","rxcui:1597582","TRUE","FALSE","TRUE"
"OLAPARIB","PARP2","Q9UGN5","ENSG00000129484","MONDO_0007254","breast cancer","CHEMBL521686","Small molecule","PARP 1, 2 and 3 inhibitor",NA,"PARP2","poly(ADP-ribose) polymerase 2",3,"Active, not recruiting","https://clinicaltrials.gov/study/NCT02810743,https://clinicaltrials.gov/study/NCT02000622,https://clinicaltrials.gov/study/NCT02032823","hgnc:272","PARP2","MyCancerGenome","20-Jun-17","other/unknown","0.3977853881492008","OLAPARIB","rxcui:1597582","TRUE","FALSE","TRUE"
"PALBOCICLIB","CDK4","P11802","ENSG00000135446","MONDO_0007254","breast cancer","CHEMBL189963","Small molecule","Cyclin-dependent kinase 4/cyclin D1 inhibitor",NA,"CDK4","cyclin dependent kinase 4",2,"Unknown status","https://clinicaltrials.gov/study/NCT02917005,https://clinicaltrials.gov/study/NCT02592746","hgnc:1773","CDK4","ClearityFoundationClinicalTrial","15-Jun-13","inhibitor","0.2041114528112516","CID 5330286","rxcui:1601374","TRUE","FALSE","TRUE"
"PALBOCICLIB","CDK6","Q00534","ENSG00000105810","EFO_0000305","breast carcinoma","CHEMBL189963","Small molecule","CDK6/cyclin D1 inhibitor",NA,"CDK6","cyclin dependent kinase 6",1,"Completed","https://clinicaltrials.gov/study/NCT02871791","hgnc:1777","CDK6","ClearityFoundationClinicalTrial","15-Jun-13","inhibitor","0.297662535","CID 5330286","rxcui:1601374","TRUE","FALSE","TRUE"
"RIBOCICLIB","CDK4","P11802","ENSG00000135446","MONDO_0007254","breast cancer","CHEMBL3545110","Small molecule","Cyclin-dependent kinase 4 inhibitor",NA,"CDK4","cyclin dependent kinase 4",2,"Completed","https://clinicaltrials.gov/study/NCT03555877,https://clinicaltrials.gov/study/NCT03477396,https://clinicaltrials.gov/study/NCT03248427,https://clinicaltrials.gov/study/NCT03078751,https://clinicaltrials.gov/study/NCT03613220,https://clinicaltrials.gov/study/NCT03839823","hgnc:1773","CDK4","TdgClinicalTrial","Jan-14","NULL","0.3704244884352345","LEE011","rxcui:1873916","TRUE","FALSE","TRUE"
"RIBOCICLIB","CDK6","Q00534","ENSG00000105810","MONDO_0007254","breast cancer","CHEMBL3545110","Small molecule","Cyclin-dependent kinase 6 inhibitor",NA,"CDK6","cyclin dependent kinase 6",3,"Not yet recruiting","https://clinicaltrials.gov/study/NCT06377852","hgnc:1777","CDK6","ChEMBL","33","inhibitor","0.9723642821424906","RIBOCICLIB","rxcui:1873916","TRUE","FALSE","TRUE"
"TALAZOPARIB","PARP1","P09874","ENSG00000143799","MONDO_0007254","breast cancer","CHEMBL3137320","Small molecule","Poly [ADP-ribose] polymerase-1 inhibitor",NA,"PARP1","poly(ADP-ribose) polymerase 1",2,"Terminated","https://clinicaltrials.gov/study/NCT03499353,https://clinicaltrials.gov/study/NCT04690855","hgnc:270","PARP1","ChEMBL","33","inhibitor","0.2333674277141978","TALAZOPARIB","rxcui:2099704","TRUE","FALSE","TRUE"
"TALAZOPARIB","PARP2","Q9UGN5","ENSG00000291803","MONDO_0007254","breast cancer","CHEMBL3137320","Small molecule","Poly [ADP-ribose] polymerase 2 inhibitor",NA,"PARP2","poly(ADP-ribose) polymerase 2",2,"Terminated","https://clinicaltrials.gov/study/NCT04690855,https://clinicaltrials.gov/study/NCT03499353","hgnc:272","PARP2","ChEMBL","33","inhibitor","0.3241214273808302","TALAZOPARIB","rxcui:2099704","TRUE","FALSE","TRUE"
"TAMOXIFEN","ESR1","P03372","ENSG00000091831","MONDO_0007254","breast cancer","CHEMBL83","Small molecule","Estrogen receptor alpha modulator","Antagonist","ESR1","estrogen receptor 1",2,"Unknown status","https://clinicaltrials.gov/study/NCT03211572,https://clinicaltrials.gov/study/NCT00077168,https://clinicaltrials.gov/study/NCT00398489,https://clinicaltrials.gov/study/NCT02132000,https://clinicaltrials.gov/study/NCT00033683","hgnc:3467","ESR1","FDA","10-Apr-24","NULL","0.056622219","TAMOXIFEN","rxcui:10324","TRUE","FALSE","TRUE"
"TOREMIFENE","ESR1","P03372","ENSG00000091831","MONDO_0007254","breast cancer","CHEMBL1655","Small molecule","Estrogen receptor modulator",NA,"ESR1","estrogen receptor 1",2,"Unknown status","https://clinicaltrials.gov/study/NCT02506790,https://clinicaltrials.gov/study/NCT02132000","hgnc:3467","ESR1","ChEMBL","33","modulator","0.1132444383228493","TOREMIFENE CITRATE","rxcui:38409","TRUE","FALSE","TRUE"
"TUCATINIB","ERBB2","P04626","ENSG00000141736","MONDO_0007254","breast cancer","CHEMBL3989868","Small molecule","Receptor protein-tyrosine kinase erbB-2 inhibitor",NA,"ERBB2","erb-b2 receptor tyrosine kinase 2",2,"Withdrawn","https://clinicaltrials.gov/study/NCT05227131","hgnc:3430","ERBB2","CIViC","10-Apr-24","NULL","0.2590839041234926","TUCATINIB","rxcui:2361285","TRUE","FALSE","TRUE"
