"","GAMuT_20095","GAMuT_20104","GAMuT_20800","GAMuT_OV0711","GAMuT_1000"
"ENSG00000005379",15,89,9,110,152
"ENSG00000005436",450,1355,581,954,519
"ENSG00000005448",43,123,82,111,269
"ENSG00000005469",405,1046,353,1191,181
"ENSG00000005483",2270,4983,2601,6556,3588
"ENSG00000005486",199,1473,360,890,608
"ENSG00000005700",2424,5256,2909,7194,6588
"ENSG00000005801",817,3323,1028,1662,1354
"ENSG00000005810",5275,5479,3291,7576,9117
"ENSG00000005812",1673,1332,1023,2784,2040
"ENSG00000005844",16,186,49,35,57
"ENSG00000005882",262,301,239,1153,1109
"ENSG00000005884",472,3955,1470,4976,8667
"ENSG00000005889",1733,4434,1557,3299,1400
"ENSG00000005893",2746,5422,1635,3838,2970
"ENSG00000006007",667,1932,406,1754,5862
"ENSG00000006015",30,637,55,231,476
"ENSG00000006025",140,427,68,876,3622
"ENSG00000006042",907,2735,652,2443,1261
"ENSG00000006062",93,331,91,307,622
"ENSG00000006118",19,405,45,203,540
"ENSG00000006125",3590,11899,5080,10614,18369
"ENSG00000006194",491,746,391,1062,1174
"ENSG00000006210",20,231,157,47,93
"ENSG00000006282",225,760,222,1738,2224
"ENSG00000006327",86,720,259,762,1445
"ENSG00000006432",260,2186,394,391,1035
"ENSG00000006451",1376,3046,1128,3371,1838
"ENSG00000006453",1099,3751,1488,4092,2680
"ENSG00000006459",5679,7359,2252,8932,1862
"ENSG00000006468",98,383,820,901,324
"ENSG00000006530",464,1095,35,1037,503
"ENSG00000006534",188,518,313,1372,4443
"ENSG00000006555",222,830,207,1060,1717
"ENSG00000006576",440,699,415,650,349
"ENSG00000006607",1307,6149,2196,4028,2990
"ENSG00000006611",1042,7465,1374,3852,1689
"ENSG00000006625",503,1369,579,660,472
"ENSG00000006634",587,1020,552,446,218
"ENSG00000006652",818,2224,652,2259,703
"ENSG00000006695",280,1074,198,631,338
"ENSG00000006704",223,1120,289,556,794
"ENSG00000006712",143,922,290,383,1533
"ENSG00000006715",1524,3060,1997,4262,4475
"ENSG00000006740",5,1594,16,723,229
"ENSG00000006744",597,3293,794,1822,1691
"ENSG00000006747",2598,538,2560,3956,841
"ENSG00000006756",3223,4015,2908,6897,3143
"ENSG00000006757",198,502,288,637,143
"ENSG00000006831",1873,4523,1088,2794,2472
"ENSG00000007047",22,512,58,209,758
"ENSG00000007062",4253,1127,22038,13859,7584
"ENSG00000007080",23,553,49,189,386
"ENSG00000007168",2371,6074,2587,6482,2768
"ENSG00000007174",15,381,7,16,2
"ENSG00000007202",2232,17962,3928,5613,13901
"ENSG00000007237",63,133,147,154,161
"ENSG00000007255",74,481,108,333,1424
"ENSG00000007306",8,131,16,54,6801
"ENSG00000007341",284,577,236,681,682
"ENSG00000007376",57,604,51,216,315
"ENSG00000007384",96,391,243,407,1117
"ENSG00000007392",430,848,468,1586,1095
"ENSG00000007516",4,31,11,193,125
"ENSG00000007520",99,552,134,425,833
"ENSG00000007541",40,503,72,296,569
"ENSG00000007545",89,295,108,273,403
"ENSG00000007866",119,930,162,392,492
"ENSG00000007923",366,2337,445,1154,1591
"ENSG00000007944",219,1563,472,992,1366
"ENSG00000007968",78,237,102,163,253
"ENSG00000008018",1272,5274,1547,2644,3019
"ENSG00000008083",189,1291,287,647,1430
"ENSG00000008086",395,544,505,1584,2121
"ENSG00000008128",10,46,7,43,18
"ENSG00000008130",215,2564,319,1412,2171
"ENSG00000008226",5,11,7,16,158
"ENSG00000008256",183,2047,173,1083,1076
"ENSG00000008277",93,155,86,162,114
"ENSG00000008282",2624,4731,3004,8106,2109
"ENSG00000008283",522,1701,671,1616,5391
"ENSG00000008294",2338,1996,2442,6460,6724
"ENSG00000008300",60,161,64,461,208
"ENSG00000008311",49,73,51,578,609
"ENSG00000008323",180,1554,132,912,434
"ENSG00000008324",140,511,178,293,276
"ENSG00000008382",54,409,66,311,168
"ENSG00000008394",702,3891,652,1774,1928
"ENSG00000008405",240,1256,226,714,404
"ENSG00000008441",207,1362,148,808,538
"ENSG00000008513",49,227,1134,1156,3917
"ENSG00000008517",162,1374,175,855,161
"ENSG00000008710",98,849,134,555,896
"ENSG00000008838",293,23957,420,1124,3764
"ENSG00000008853",98,394,134,307,685
"ENSG00000008869",1591,2978,2128,4066,2727
"ENSG00000008952",2355,2583,2180,5583,3745
"ENSG00000008988",5234,8934,4319,4919,8948
"ENSG00000009307",9676,28530,10524,22561,15954
"ENSG00000009335",890,7326,3136,6266,2483
"ENSG00000009413",1358,3937,2276,3279,3144
"ENSG00000009765",594,2871,602,4129,802
"ENSG00000009780",216,437,303,524,498
"ENSG00000009790",14,76,26,27,35
"ENSG00000009830",98,974,143,324,640
"ENSG00000009844",1154,3680,1128,2568,1920
"ENSG00000009950",74,1297,120,1103,3
"ENSG00000009954",2278,6493,3038,4785,2151
"ENSG00000010017",566,1664,758,1502,1398
"ENSG00000010030",73,526,89,115,277
"ENSG00000010072",160,1049,214,574,600
"ENSG00000010165",260,1550,330,837,1230
"ENSG00000010219",292,371,159,453,194
"ENSG00000010244",3736,10033,3998,8461,12120
"ENSG00000010256",1351,8343,1344,4000,3772
"ENSG00000010270",384,878,615,903,1407
"ENSG00000010278",3124,6581,2037,5583,703
"ENSG00000010292",1724,6914,1580,1819,2240
"ENSG00000010295",18,72,53,71,75
"ENSG00000010310",23,0,34,172,565
"ENSG00000010318",72,96,39,111,69
"ENSG00000010322",232,1777,356,1506,2164
"ENSG00000010327",121,1831,575,1102,1608
"ENSG00000010361",0,111,6,110,572
"ENSG00000010404",587,1123,463,1674,640
"ENSG00000010438",718,2128,718,1193,448
"ENSG00000010539",176,298,339,386,398
"ENSG00000010610",55,560,207,195,112
"ENSG00000010626",51,54,59,72,148
"ENSG00000010671",33,84,69,49,32
"ENSG00000010704",197,475,198,522,927
"ENSG00000010803",289,1215,447,1126,973
"ENSG00000010810",93,818,90,293,1258
"ENSG00000010818",552,2340,1074,2147,2216
"ENSG00000010932",62,10,0,90,19
"ENSG00000011007",600,2748,1076,2000,2510
"ENSG00000011009",178,2199,314,924,1259
"ENSG00000011021",81,676,103,402,912
"ENSG00000011028",124,432,190,655,950
"ENSG00000011105",27,302,143,586,329
"ENSG00000011114",767,2395,842,2361,2850
"ENSG00000011132",34,462,44,161,279
"ENSG00000011143",78,195,149,362,761
"ENSG00000011198",226,585,324,570,266
"ENSG00000011201",182,77,60,196,84
"ENSG00000011243",177,1343,257,642,1008
"ENSG00000011258",849,753,760,2078,2605
"ENSG00000011260",644,904,663,1063,1456
"ENSG00000011275",605,2340,863,1739,2201
"ENSG00000011295",1045,3153,1181,2935,740
"ENSG00000011304",1047,9430,1352,3222,4806
"ENSG00000011347",291,110,282,260,8
"ENSG00000011376",266,2368,369,857,1240
"ENSG00000011405",3079,12443,2916,6514,6667
"ENSG00000011422",181,1360,442,884,1526
"ENSG00000011426",2340,4353,3577,1963,2498
"ENSG00000011451",82,1111,112,397,680
"ENSG00000011454",2166,4337,2896,3171,2233
"ENSG00000011465",1723,536,320,6717,2123
"ENSG00000011478",20,318,41,117,394
"ENSG00000011485",236,1656,422,908,2493
"ENSG00000011523",278,864,585,1104,611
"ENSG00000011566",953,2189,1652,3582,1979
"ENSG00000011600",29,229,89,111,53
"ENSG00000011638",444,565,770,1193,1115
"ENSG00000012048",1075,1173,1547,1085,1563
"ENSG00000012061",161,1081,309,767,1546
"ENSG00000012124",20,28,15,100,52
"ENSG00000012171",88,1001,54,1020,2413
"ENSG00000012174",764,944,429,1218,608
"ENSG00000012211",69,284,32,122,156
"ENSG00000012223",12,30,4,6,46
"ENSG00000012232",289,1551,835,646,1258
"ENSG00000012504",320,676,0,327,41
"ENSG00000012660",92,1249,792,753,2081
"ENSG00000012779",142,641,2113,1705,176
"ENSG00000012822",777,1465,819,1915,1205
"ENSG00000012963",377,757,660,845,781
"ENSG00000012983",793,2268,965,2363,2361
"ENSG00000013016",30,88,30,66,253
"ENSG00000013275",242,3190,426,1386,4298
"ENSG00000013288",178,1778,457,1126,4063
"ENSG00000013297",87,43,5,536,498
"ENSG00000013306",404,2796,548,1664,3365
"ENSG00000013364",1221,5218,1807,6619,7809
"ENSG00000013374",1283,6355,1561,2990,1102
"ENSG00000013375",1932,3728,1640,2869,2935
"ENSG00000013392",103,367,161,229,235
"ENSG00000013441",1713,2856,2918,4844,2869
"ENSG00000013503",546,900,366,1111,385
"ENSG00000013523",240,888,298,765,1330
"ENSG00000013561",920,2153,793,1881,1184
"ENSG00000013563",410,452,316,579,831
"ENSG00000013573",218,856,255,452,283
"ENSG00000013583",69,1107,133,711,303
"ENSG00000013588",3310,8905,3163,18313,8010
"ENSG00000013619",34,43,68,52,48
"ENSG00000013725",6,53,7,27,40
"ENSG00000013810",237,2391,312,370,882
"ENSG00000014123",1516,2016,1976,4206,2556
"ENSG00000014138",202,1056,287,423,471
"ENSG00000014164",79,1350,69,210,653
"ENSG00000014216",679,7625,1223,3963,7238
"ENSG00000014257",223,203,124,184,240
"ENSG00000014641",1726,6059,2414,3777,2360
"ENSG00000014824",2189,4488,1990,5275,3004
"ENSG00000014914",1020,3048,839,3370,360
"ENSG00000014919",1060,1653,870,1990,1900
"ENSG00000015133",529,2957,993,2138,2464
"ENSG00000015153",662,1068,322,1053,402
"ENSG00000015171",1230,4754,1173,3623,2513
"ENSG00000015475",361,832,759,939,958
"ENSG00000015479",386,848,323,989,656
"ENSG00000015520",10,429,199,911,4179
"ENSG00000015532",102,540,176,574,1309
"ENSG00000015676",984,3371,1442,2979,3953
"ENSG00000016391",781,2024,929,2108,533
"ENSG00000016402",479,454,572,1384,339
"ENSG00000016490",0,18,0,1524,15
"ENSG00000016864",486,848,464,1128,983
"ENSG00000017260",2769,13908,2050,7609,3948
"ENSG00000017427",199,103,30,578,351
"ENSG00000017483",470,18,229,826,795
"ENSG00000017797",801,7594,562,2524,1720
"ENSG00000018189",599,2305,674,1801,1907
"ENSG00000018236",127,525,0,1355,281
"ENSG00000018280",23,152,109,138,97
"ENSG00000018408",334,1377,122,1336,839
"ENSG00000018510",2097,4765,2516,5649,2969
"ENSG00000018610",472,622,263,650,351
"ENSG00000018699",373,1193,679,951,825
"ENSG00000018869",6,84,3,38,175
"ENSG00000019102",25,17,547,2747,15033
"ENSG00000019144",334,1464,214,1766,1213
"ENSG00000019485",26,689,59,244,694
"ENSG00000019505",1514,32,1251,3070,0
"ENSG00000019549",70,64,88,131,96
"ENSG00000019582",297,6892,1716,3188,3832
"ENSG00000019991",119,87,98,283,205
"ENSG00000019995",820,1168,650,1580,1296
"ENSG00000020129",26,653,114,269,1234
"ENSG00000020181",85,265,118,332,683
"ENSG00000020256",90,959,146,446,555
"ENSG00000020426",253,706,201,559,645
"ENSG00000020577",124,1218,296,491,286
"ENSG00000020633",9,368,17,540,24
"ENSG00000020922",1135,1858,1033,1268,1589
"ENSG00000021300",326,248,1027,109,2081
"ENSG00000021355",8292,14151,8079,17907,5151
"ENSG00000021574",516,1781,842,1527,980
"ENSG00000021762",210,441,344,746,387
"ENSG00000021776",2606,4622,2428,5269,2952
"ENSG00000021826",17,60055,4,3948,1922
"ENSG00000022267",67,63,44,288,505
"ENSG00000022277",454,1787,664,1307,1740
"ENSG00000022556",0,1813,6,2,1680
"ENSG00000022567",278,2059,411,666,5729
"ENSG00000022840",1179,3794,827,3009,2123
"ENSG00000022976",77,585,123,399,552
"ENSG00000023041",776,1026,900,1695,1200
"ENSG00000023171",641,612,751,2011,1651
"ENSG00000023191",309,5407,559,1806,3182
"ENSG00000023228",3229,7728,3969,6786,3771
"ENSG00000023287",3037,4492,3182,4951,3478
"ENSG00000023318",2146,3701,1689,2045,1904
"ENSG00000023330",516,2760,855,1834,1411
"ENSG00000023445",454,17503,929,1089,962
"ENSG00000023516",4882,4697,2190,6471,4263
"ENSG00000023572",109,348,130,211,121
"ENSG00000023608",75,250,113,188,103
"ENSG00000023697",911,1350,772,1555,388
"ENSG00000023734",1108,4375,1024,2174,972
"ENSG00000023839",92,734,32,75,21
"ENSG00000023892",94,120,103,244,347
"ENSG00000023902",16,232,55,158,149
"ENSG00000023909",305,1375,229,583,521
"ENSG00000024048",2706,6284,2510,6671,4176
"ENSG00000024422",25,203,88,415,2458
"ENSG00000024526",661,2017,554,345,358
"ENSG00000024862",426,521,410,635,678
"ENSG00000025039",46,112,86,63,113
"ENSG00000025156",226,568,242,319,372
"ENSG00000025293",540,2328,800,1418,1407
"ENSG00000025434",32,551,115,877,1193
"ENSG00000025708",25,1217,81,124,235
"ENSG00000025770",125,482,257,514,931
"ENSG00000025772",321,2206,477,640,496
"ENSG00000025796",1507,2758,1399,2819,2698
"ENSG00000025800",1260,6199,1795,3297,3931
"ENSG00000026025",2891,3193,3217,6885,4825
"ENSG00000026036",3,49,10,38,62
"ENSG00000026103",469,143,725,1963,119
"ENSG00000026297",340,3119,942,1005,1306
"ENSG00000026508",6533,2810,7390,13674,3318
"ENSG00000026652",38,36,249,80,262
"ENSG00000026751",27,80,21,35,37
"ENSG00000026950",432,1877,795,1249,1407
"ENSG00000027001",862,1350,421,802,639
"ENSG00000027075",51,253,75,171,666
"ENSG00000027697",1307,3385,1619,3906,2385
"ENSG00000027847",74,613,74,381,946
"ENSG00000028116",486,1410,875,791,394
"ENSG00000028137",152,742,221,1406,418
"ENSG00000028203",1818,3179,2350,3976,3994
"ENSG00000028277",3,68,41,66,75
"ENSG00000028310",326,1746,348,806,1134
"ENSG00000028528",963,2988,1152,2461,2627
"ENSG00000028839",289,888,276,597,580
"ENSG00000029153",1003,2103,1264,921,1218
"ENSG00000029363",3982,5807,3572,7948,4990
"ENSG00000029364",2197,5494,2335,5484,6516
"ENSG00000029534",5,10,230,213,51
"ENSG00000029639",234,741,320,622,591
"ENSG00000029725",1581,2992,1310,2977,1287
"ENSG00000029993",523,1459,341,523,268
"ENSG00000030066",1172,4338,1575,2692,3270
"ENSG00000030110",125,1384,147,346,281
"ENSG00000030419",238,499,1724,1842,2323
"ENSG00000030582",652,7774,1181,4173,21404
"ENSG00000031003",1128,2144,996,2120,1603
"ENSG00000031081",167,322,182,418,795
"ENSG00000031691",163,316,192,230,251
"ENSG00000031698",1313,3791,1656,3175,3268
"ENSG00000031823",217,1406,418,788,855
"ENSG00000032219",899,1475,940,2230,2441
"ENSG00000032389",237,1682,482,710,847
"ENSG00000032444",82,1544,161,490,595
"ENSG00000032742",1332,1179,546,1608,878
"ENSG00000033011",229,514,174,709,1009
"ENSG00000033030",694,1076,480,1231,659
"ENSG00000033050",406,2582,748,1157,743
"ENSG00000033100",312,2364,501,1466,1323
"ENSG00000033170",1514,4334,2317,4287,4351
"ENSG00000033178",2108,8696,2670,5354,3630
"ENSG00000033327",315,1699,278,1166,777
"ENSG00000033627",760,1054,875,1909,4371
"ENSG00000033800",1572,3083,1275,3753,2806
"ENSG00000033867",1162,4335,2265,4150,5096
"ENSG00000034053",7,15,7,45,45
"ENSG00000034152",202,1503,292,911,813
"ENSG00000034510",5540,54816,16792,11759,11441
"ENSG00000034533",251,521,231,471,287
"ENSG00000034677",1715,5189,1957,3614,3526
"ENSG00000034693",159,708,248,458,493
"ENSG00000034713",385,581,572,1271,1137
"ENSG00000035115",1698,3809,3313,3498,2776
"ENSG00000035141",552,2500,1209,1066,1111
"ENSG00000035403",2370,5438,2515,6719,8494
"ENSG00000035499",479,1287,271,365,306
"ENSG00000035664",176,909,35,613,231
"ENSG00000035681",988,1852,1215,1760,1102
"ENSG00000035687",818,3423,1382,1979,1494
"ENSG00000035862",444,903,754,2886,1705
"ENSG00000035928",1515,2676,1892,2616,2668
"ENSG00000036054",1067,1605,962,3384,1200
"ENSG00000036257",1600,3375,2761,3885,2173
"ENSG00000036473",1063,721,0,1231,60
"ENSG00000036549",1580,4228,1841,3765,3027
"ENSG00000036828",6,217,0,232,144
"ENSG00000037042",22,13,24,132,450
"ENSG00000037241",39,101,26,55,54
"ENSG00000037280",5,115,45,68,188
"ENSG00000037474",1286,5636,923,2156,2030
"ENSG00000037637",307,1684,376,972,1021
"ENSG00000037749",658,1329,605,992,951
"ENSG00000037757",112,580,163,532,256
"ENSG00000037897",88,278,120,181,260
"ENSG00000038002",492,134,387,933,546
"ENSG00000038210",721,989,532,1349,507
"ENSG00000038219",1947,5198,2169,5126,4849
"ENSG00000038274",1547,4469,1134,3676,2147
"ENSG00000038358",209,609,249,854,1185
"ENSG00000038382",1708,6955,2297,3796,3667
"ENSG00000038427",1902,2913,2109,5151,9538
"ENSG00000038532",232,774,397,862,8367
"ENSG00000038945",559,949,638,473,122
"ENSG00000039068",6231,10686,6675,21457,27005
"ENSG00000039123",3274,5383,2112,5062,2496
"ENSG00000039139",81,100,1513,170,384
"ENSG00000039319",2261,3713,1473,3811,1743
"ENSG00000039523",58,311,165,225,347
"ENSG00000039537",22,39,0,134,87
"ENSG00000039560",346,1654,437,1627,1432
"ENSG00000039650",83,765,143,360,1335
"ENSG00000040199",497,2108,549,1330,205
"ENSG00000040275",471,1024,307,500,447
"ENSG00000040341",1115,3190,1240,1872,1545
"ENSG00000040487",28,462,28,123,232
"ENSG00000040531",45,497,86,206,208
"ENSG00000040608",5,111,8,78,103
"ENSG00000040633",165,1671,222,763,491
"ENSG00000040933",264,1578,539,1052,886
"ENSG00000041353",2892,2879,2481,11470,7313
"ENSG00000041357",1499,4612,1458,2289,1667
"ENSG00000041802",696,3155,856,2385,1596
"ENSG00000041880",121,508,232,859,467
"ENSG00000041982",32,294,595,90,99
"ENSG00000041988",45,432,72,166,207
"ENSG00000042088",319,1466,399,623,702
"ENSG00000042286",193,662,114,349,531
"ENSG00000042317",261,476,211,498,517
"ENSG00000042429",443,1857,668,1272,1053
"ENSG00000042445",932,3242,856,5068,3632
"ENSG00000042493",735,1957,721,4532,4293
"ENSG00000042753",225,1816,344,548,1641
"ENSG00000042980",135,783,1680,7534,7457
"ENSG00000043039",73,730,17,257,472
"ENSG00000043093",826,2744,1064,2663,1410
"ENSG00000043143",332,3368,509,956,1015
"ENSG00000043462",52,308,111,232,88
"ENSG00000043514",539,1067,473,706,671
"ENSG00000044090",188,1741,422,1100,1647
"ENSG00000044115",7852,19720,6504,17562,20752
"ENSG00000044446",824,2407,569,2392,1728
"ENSG00000044459",265,179,629,359,277
"ENSG00000044524",42,98,139,456,234
"ENSG00000044574",4226,12773,6742,8294,14380
"ENSG00000046604",13040,24559,6745,34756,14624
"ENSG00000046647",363,387,168,323,234
"ENSG00000046651",1653,2067,1064,2434,1084
"ENSG00000046653",26,94,27,40,14
"ENSG00000046889",23,132,215,242,434
"ENSG00000047056",280,851,346,812,1055
"ENSG00000047188",1142,2679,1023,3806,2220
"ENSG00000047230",1255,2151,949,1646,774
"ENSG00000047249",665,1506,901,1109,1282
"ENSG00000047315",2737,7938,3186,5557,4029
"ENSG00000047346",997,856,1138,2611,1277
"ENSG00000047365",1764,4355,2421,4329,2174
"ENSG00000047410",5569,14677,6747,11925,10821
"ENSG00000047457",5,707,7219,5,233
"ENSG00000047578",264,916,365,860,1648
"ENSG00000047579",81,689,103,240,355
"ENSG00000047597",1928,2650,762,2335,829
"ENSG00000047617",9,186,23,57,100
"ENSG00000047621",606,825,530,1163,463
"ENSG00000047634",766,1180,400,955,288
"ENSG00000047644",303,388,346,372,395
"ENSG00000047648",387,28,207,843,159
"ENSG00000047849",1325,11463,1796,5347,5622
"ENSG00000047932",868,2332,929,2132,2520
"ENSG00000048028",427,3182,509,956,889
"ENSG00000048052",32,264,428,139,1534
"ENSG00000048140",279,2720,391,884,744
"ENSG00000048162",316,910,227,391,421
"ENSG00000048342",76,105,46,324,533
"ENSG00000048392",812,1995,2367,2090,929
"ENSG00000048405",1553,2397,1420,3074,1166
"ENSG00000048471",108,508,385,640,595
"ENSG00000048544",328,1256,468,1024,581
"ENSG00000048649",2191,4473,2704,4504,4086
"ENSG00000048707",2426,8955,3234,9063,7943
"ENSG00000048740",291,1662,683,346,257
"ENSG00000048828",5143,9685,3898,7491,5290
"ENSG00000048991",341,1770,535,926,734
"ENSG00000049089",31,227,34,88,260
"ENSG00000049130",770,4866,1187,3592,2912
"ENSG00000049167",269,472,205,524,433
"ENSG00000049192",115,228,350,171,150
"ENSG00000049239",748,3818,1008,2781,4980
"ENSG00000049245",1557,5134,1652,3915,2147
"ENSG00000049246",76,761,57,1146,947
"ENSG00000049283",72,382,53,361,3373
"ENSG00000049323",241,2892,173,2139,1183
"ENSG00000049449",1229,1910,1327,1643,838
"ENSG00000049540",13,42,25,188,818
"ENSG00000049541",202,658,602,371,315
"ENSG00000049618",870,6040,1152,3807,5185
"ENSG00000049656",845,4200,562,1732,2892
"ENSG00000049759",1611,4811,963,5094,5345
"ENSG00000049769",13,103,15,29,86
"ENSG00000049860",2610,4178,2105,4102,7569
"ENSG00000049883",292,785,362,676,423
"ENSG00000050130",703,1265,696,1612,1069
"ENSG00000050165",149,188,122,956,701
"ENSG00000050327",119,498,102,367,222
"ENSG00000050344",941,2789,1286,1286,296
"ENSG00000050393",420,2112,563,1420,614
"ENSG00000050405",8442,13476,3996,18058,7543
"ENSG00000050426",1846,2060,909,2319,1176
"ENSG00000050438",69,340,32,344,466
"ENSG00000050555",40,2,2,202,1475
"ENSG00000050628",2,11,20,85,9
"ENSG00000050748",994,1843,585,1390,929
"ENSG00000050820",151,1063,242,880,1840
"ENSG00000051009",344,4228,433,2281,1619
"ENSG00000051108",699,961,1196,1929,4785
"ENSG00000051128",9,45,25,45,32
"ENSG00000051180",110,488,208,165,149
"ENSG00000051341",522,2409,648,522,625
"ENSG00000051382",1114,2993,1129,2789,1195
"ENSG00000051523",293,4932,523,1434,5657
"ENSG00000051596",101,342,47,117,134
"ENSG00000051620",1000,4325,1135,2551,3451
"ENSG00000051825",1258,1995,1042,1097,411
"ENSG00000052126",1475,3477,955,4414,2164
"ENSG00000052344",432,3411,333,2599,4076
"ENSG00000052723",958,2258,1106,1913,1763
"ENSG00000052749",242,1456,280,691,1248
"ENSG00000052795",1760,1658,2506,4550,5867
"ENSG00000052802",1157,2074,1502,1765,2279
"ENSG00000052841",2255,4670,1974,5878,5465
"ENSG00000053254",509,2313,408,2880,2483
"ENSG00000053371",420,2670,601,1448,823
"ENSG00000053372",362,1809,353,907,1110
"ENSG00000053501",42,351,74,180,144
"ENSG00000053524",3,23,7,20,11
"ENSG00000053747",1156,3254,1543,10897,10695
"ENSG00000053770",1865,3543,1399,3293,2175
"ENSG00000053900",714,1666,754,1722,1146
"ENSG00000053918",181,3041,200,895,91
"ENSG00000054116",391,1753,487,1001,1022
"ENSG00000054118",2396,7184,2997,5584,5287
"ENSG00000054148",176,1522,351,636,471
"ENSG00000054179",86,406,68,216,37
"ENSG00000054219",496,1705,769,1639,545
"ENSG00000054267",1140,2714,1703,3057,2836
"ENSG00000054277",188,805,394,687,912
"ENSG00000054282",444,719,650,1298,1139
"ENSG00000054392",58,89,136,480,285
"ENSG00000054523",1586,6890,1762,4299,3618
"ENSG00000054598",15,198,36,191,93
"ENSG00000054611",199,773,266,948,1049
"ENSG00000054654",8071,19870,26287,23455,16675
"ENSG00000054690",608,2714,408,2348,1606
"ENSG00000054793",1510,7359,1715,6322,10051
"ENSG00000054965",551,2278,637,1895,2292
"ENSG00000054967",24,474,71,125,128
"ENSG00000054983",327,5662,391,5233,1886
"ENSG00000055044",1511,4089,2343,2717,1637
"ENSG00000055070",596,3930,817,1440,2655
"ENSG00000055118",60,17,14,119,12
"ENSG00000055130",1317,4110,1727,2545,1148
"ENSG00000055147",598,608,373,1009,643
"ENSG00000055163",47,204,760,429,308
"ENSG00000055208",1055,3134,1157,2228,2901
"ENSG00000055211",406,950,663,785,949
"ENSG00000055332",2405,16913,3658,5061,2598
"ENSG00000055483",291,1177,338,1103,2044
"ENSG00000055609",4569,12676,4648,11789,7396
"ENSG00000055732",428,1115,13,265,109
"ENSG00000055917",3668,10490,5508,9159,5593
"ENSG00000055950",299,723,294,630,1080
"ENSG00000056050",117,231,203,242,168
"ENSG00000056097",2676,5024,3037,4929,4425
"ENSG00000056277",311,537,250,432,209
"ENSG00000056558",52,278,68,153,114
"ENSG00000056586",3685,3936,3489,4876,2551
