"","GAMuT_23091","GAMuT_32035","GAMuT_32810","GAMuT_41361","GAMuT_41828","GAMuT_49009","GAMuT_51027","GAMuT_51052","GAMuT_51056","GAMuT_70066","GAMuT_IC294"
"ENSG00000006459",2669,3491,6424,5120,4959,4683,2601,7192,2702,3939,3289
"ENSG00000006468",519,1109,664,891,1274,436,489,459,436,439,1177
"ENSG00000006530",495,541,727,631,602,435,520,626,692,786,729
"ENSG00000006534",1980,1094,680,937,1180,941,1611,1093,795,776,1008
"ENSG00000006555",1003,968,1460,1225,1271,895,926,1276,660,780,863
"ENSG00000006576",364,479,599,498,519,277,411,286,490,1163,591
"ENSG00000006607",2679,3615,6209,4155,4382,3959,2503,4602,2602,3728,4257
"ENSG00000006611",2668,1832,2634,953,12,1956,1928,1772,1672,1017,1885
"ENSG00000006625",495,312,336,226,401,244,342,249,185,410,325
"ENSG00000006634",238,203,229,146,357,161,189,204,192,309,265
"ENSG00000006652",667,754,1865,1398,1222,654,548,1256,926,1221,1257
"ENSG00000006695",397,257,342,255,383,228,205,259,242,362,307
"ENSG00000006704",431,399,677,642,409,559,632,399,346,477,495
"ENSG00000006712",736,465,706,492,797,396,463,453,476,619,328
"ENSG00000006715",3132,2972,3940,3148,3799,2384,2502,3211,2456,3934,2878
"ENSG00000006740",479,615,571,337,307,186,546,622,566,911,590
"ENSG00000006744",1792,1262,1275,1042,1599,940,1234,1255,973,1631,941
"ENSG00000006747",4041,2762,4135,3300,6084,2885,2288,3941,1441,1368,3369
"ENSG00000006756",7092,4848,3206,3273,7171,1736,3407,5551,4210,2458,3424
"ENSG00000006757",616,438,386,328,564,318,302,434,253,409,318
"ENSG00000006831",5635,2627,6930,3752,9760,3587,2150,3565,1734,4063,2557
"ENSG00000007047",206,224,276,214,207,191,281,247,270,353,280
"ENSG00000007062",10258,6596,5989,3260,5953,4741,5552,5825,5707,6974,4625
"ENSG00000007080",283,82,115,77,143,101,232,83,64,85,59
"ENSG00000007168",4018,4100,5729,5380,7827,3490,3651,5051,2491,5569,3170
"ENSG00000007174",7,28,58,20,27,3,32,25,27,109,27
"ENSG00000007202",8511,6206,7944,5038,8433,4925,6237,7019,6331,6651,6972
"ENSG00000007237",138,222,450,282,117,165,374,39,142,434,194
"ENSG00000007255",252,151,104,121,73,107,172,78,82,104,101
"ENSG00000007306",53,88,761,23,7,28,62,43,70,466,130
"ENSG00000007341",414,573,793,603,511,395,406,615,522,851,802
"ENSG00000007376",219,83,100,71,126,99,142,71,63,54,45
"ENSG00000007384",387,340,653,411,637,506,512,377,295,387,261
"ENSG00000007392",778,1359,1463,1791,1373,1129,996,1725,1371,1884,1310
"ENSG00000007516",57,53,60,104,45,24,35,47,48,30,28
"ENSG00000007520",537,185,228,153,342,229,302,177,110,177,125
"ENSG00000007541",273,215,217,184,185,227,358,240,155,171,202
"ENSG00000007545",232,340,392,414,319,385,373,416,288,411,489
"ENSG00000007866",236,265,450,312,195,316,420,258,209,446,321
"ENSG00000007923",729,684,976,688,814,629,839,749,870,967,927
"ENSG00000007944",301,480,703,525,638,271,477,240,251,572,406
"ENSG00000007968",72,44,20,85,46,53,82,23,16,79,70
"ENSG00000008018",2584,1637,2096,1597,2686,1344,1821,1527,943,1759,1485
"ENSG00000008083",749,666,771,773,924,538,623,926,723,851,903
"ENSG00000008086",1368,2484,2575,1835,1832,1761,1572,2699,1988,2352,2402
"ENSG00000008128",30,40,72,32,38,40,30,48,16,21,31
"ENSG00000008130",1742,1169,1627,1358,2399,1348,1258,1489,742,1068,1289
"ENSG00000008226",51,57,58,55,25,48,77,107,99,70,89
"ENSG00000008256",464,600,711,454,491,572,786,392,574,1639,399
"ENSG00000008277",42,97,244,169,96,32,145,75,171,341,149
"ENSG00000008282",2838,3959,4805,3619,5540,2686,2444,4930,2025,4709,3686
"ENSG00000008283",5110,1807,1846,1424,3919,1550,2123,1990,1039,833,1063
"ENSG00000008294",3583,2500,3861,3476,4664,1903,2523,2224,2220,5359,3123
"ENSG00000008300",64,53,163,313,89,150,77,192,57,68,45
"ENSG00000008311",437,689,1101,396,883,814,624,346,1039,969,710
"ENSG00000008323",145,437,458,367,164,495,446,351,291,435,351
"ENSG00000008324",345,240,386,214,396,232,217,242,137,247,234
"ENSG00000008382",179,154,153,170,167,129,147,178,81,108,99
"ENSG00000008394",651,564,296,337,578,408,309,813,935,632,1569
"ENSG00000008405",599,536,581,578,696,308,347,613,326,596,539
"ENSG00000008441",664,985,1201,1008,802,606,1108,1080,810,1122,1065
"ENSG00000008513",333,835,1625,562,480,251,1866,301,2173,1767,708
"ENSG00000008517",90,250,281,243,308,103,314,54,82,153,166
"ENSG00000008710",514,316,460,367,270,557,748,388,266,437,428
"ENSG00000008838",1187,1056,1123,899,1130,910,932,1330,751,1186,915
"ENSG00000008853",877,570,466,356,1023,429,623,400,390,502,211
"ENSG00000008869",2824,2767,4003,2954,4714,2440,2197,3295,2479,2927,2643
"ENSG00000008952",5114,5016,6049,4365,8563,2615,2940,5336,3471,5218,4453
"ENSG00000008988",9597,3062,3159,3343,6025,1542,5459,1638,2026,3867,2483
"ENSG00000009307",18368,12770,18807,13985,22542,9255,12502,12289,10932,17629,13566
"ENSG00000009335",3276,2822,3780,3315,3970,2302,2873,2832,2594,3574,3365
"ENSG00000009413",2107,2591,3364,4001,2988,1668,2184,2965,2744,4356,3487
"ENSG00000009765",799,762,3124,801,617,2165,1131,649,1030,1432,748
"ENSG00000009780",509,591,665,560,927,392,482,752,394,554,541
"ENSG00000009790",20,74,64,115,71,76,94,57,41,64,79
"ENSG00000009830",294,329,462,398,517,271,324,385,361,532,351
"ENSG00000009844",1364,1170,1858,1153,2419,913,1079,1223,865,1546,1267
"ENSG00000009950",0,5,108,86,6,7,2,9,65,42,10
"ENSG00000009954",3455,3565,4665,3913,4663,2598,3014,3598,3146,4745,3584
"ENSG00000010017",1210,1226,1558,1782,2278,1083,1048,1785,1034,1607,1364
"ENSG00000010030",51,143,164,139,97,174,221,9,89,138,285
"ENSG00000010072",418,368,854,380,554,235,314,395,547,470,606
"ENSG00000010165",725,669,1616,575,757,551,702,800,858,812,912
"ENSG00000010219",480,312,365,224,423,188,237,280,283,389,299
"ENSG00000010244",3880,6456,9135,7868,7005,5212,4258,8955,6606,8920,8951
"ENSG00000010256",2965,1500,2057,1506,2394,1504,1724,1466,999,1950,1274
"ENSG00000010270",685,515,689,543,993,398,472,448,428,739,513
"ENSG00000010278",1854,1407,1030,2193,3370,1667,1612,1291,432,1407,536
"ENSG00000010292",1394,1163,1595,1287,1450,1067,1300,1310,823,1750,1351
"ENSG00000010295",25,64,113,57,35,52,84,10,61,144,67
"ENSG00000010310",180,235,286,460,415,106,202,304,151,135,213
"ENSG00000010318",81,85,88,99,68,89,66,102,74,123,140
"ENSG00000010322",1477,1682,1885,1780,1257,1681,1844,1653,1358,2104,1593
"ENSG00000010327",746,1310,690,623,544,692,1241,81,721,840,669
"ENSG00000010361",243,165,173,201,194,112,196,268,81,162,129
"ENSG00000010404",690,1370,2368,2544,2483,906,992,1463,1120,1374,1121
"ENSG00000010438",84,109,1189,228,411,364,102,191,108,313,112
"ENSG00000010539",279,324,384,280,365,254,237,290,242,365,373
"ENSG00000010610",122,365,371,195,197,191,438,33,124,286,164
"ENSG00000010626",135,134,149,91,111,87,99,106,87,120,63
"ENSG00000010671",22,60,85,48,80,39,69,11,46,85,32
"ENSG00000010704",677,494,704,475,807,325,325,349,305,479,553
"ENSG00000010803",737,820,797,973,874,720,865,1105,968,927,1125
"ENSG00000010810",856,619,697,671,876,418,754,627,746,1133,571
"ENSG00000010818",1139,1300,2536,1397,1284,849,1495,966,1524,2317,1467
"ENSG00000010932",67,30,56,36,49,11,40,5,44,147,51
"ENSG00000011007",2468,1499,2482,1560,2975,1265,1603,1811,1274,1810,1617
"ENSG00000011009",887,422,524,330,830,375,634,454,301,325,273
"ENSG00000011021",266,500,566,672,526,457,400,666,722,848,668
"ENSG00000011028",618,693,1465,607,468,531,2080,92,613,2546,667
"ENSG00000011105",271,326,500,265,212,203,491,201,269,801,325
"ENSG00000011114",1717,1990,2702,2224,3023,1583,1611,2479,1756,2408,2424
"ENSG00000011132",178,109,140,147,115,131,144,138,74,106,91
"ENSG00000011143",243,345,341,321,286,234,322,358,178,383,303
"ENSG00000011198",475,350,459,346,846,243,307,399,264,376,271
"ENSG00000011201",228,44,79,87,644,61,115,111,210,150,44
"ENSG00000011243",506,664,843,838,601,704,681,793,822,942,855
"ENSG00000011258",1100,1772,1914,2254,1540,1264,1016,2178,1394,2213,2082
"ENSG00000011260",875,613,691,510,816,453,588,596,369,743,678
"ENSG00000011275",1223,1210,1485,1227,1423,987,1215,1221,999,1792,1166
"ENSG00000011295",1274,1083,1426,1050,1499,885,1022,1282,946,1423,1044
"ENSG00000011304",2265,2024,3172,1653,2319,1973,2495,1695,1605,1943,1780
"ENSG00000011347",7,10,53,98,8,29,7,14,62,31,6
"ENSG00000011376",1079,528,686,566,758,515,667,645,531,818,797
"ENSG00000011405",5028,4622,5488,5671,7919,3594,3183,6562,5957,5496,5962
"ENSG00000011422",693,439,1110,569,1584,497,806,678,195,366,400
"ENSG00000011426",674,410,460,444,503,459,755,274,334,1273,779
"ENSG00000011451",263,301,355,240,259,306,348,329,268,336,282
"ENSG00000011454",2441,2915,3110,3524,3230,2221,2221,2979,3022,4170,4206
"ENSG00000011465",2910,3514,3877,4046,2453,1278,3871,248,1779,13589,3267
"ENSG00000011478",124,72,57,53,73,69,99,84,57,64,70
"ENSG00000011485",697,613,560,611,753,480,761,636,499,717,599
"ENSG00000011523",525,900,810,697,549,364,748,655,702,1619,1050
"ENSG00000011566",1726,1808,4197,3080,3626,2108,1392,2436,1892,2806,2594
"ENSG00000011600",69,122,205,50,99,60,189,13,94,147,69
"ENSG00000011638",997,755,891,791,1132,600,751,762,397,741,851
"ENSG00000012048",356,340,377,334,370,343,431,239,196,674,671
"ENSG00000012061",752,573,527,487,597,397,688,514,665,701,573
"ENSG00000012124",173,375,626,503,191,58,249,100,194,1451,511
"ENSG00000012171",2330,937,188,1030,2042,1158,908,1214,520,679,566
"ENSG00000012174",396,646,1016,641,718,399,517,673,580,1060,859
"ENSG00000012211",92,74,102,66,113,86,104,95,62,86,73
"ENSG00000012223",212,16,8,52,49,6,711,92,122,33,11
"ENSG00000012232",923,599,1049,647,858,532,1010,763,716,1020,418
"ENSG00000012504",64,66,110,123,88,95,50,5,35,466,120
"ENSG00000012660",688,717,1190,671,1059,260,746,506,1362,2727,1272
"ENSG00000012779",317,301,657,187,158,266,494,39,232,163,242
"ENSG00000012822",1412,2141,2769,2359,1786,1639,1739,2393,1949,2385,1910
"ENSG00000012963",716,646,868,601,1020,494,595,654,468,979,738
"ENSG00000012983",1445,2027,2412,2417,2514,1377,1653,2440,1737,2944,2262
"ENSG00000013016",108,145,239,91,108,50,159,509,197,202,107
"ENSG00000013275",1491,950,939,825,1809,558,899,1000,777,857,818
"ENSG00000013288",1662,676,1191,915,1716,760,1327,1024,752,735,681
"ENSG00000013297",315,947,1256,662,424,230,678,116,322,2023,805
"ENSG00000013306",1387,659,783,598,1107,623,1031,795,632,644,693
"ENSG00000013364",6802,2823,6222,3973,6388,4672,5932,5138,2335,2577,3259
"ENSG00000013374",2027,1909,2818,2061,3194,1434,1740,2296,1693,2019,1769
"ENSG00000013375",4639,2430,3961,2586,4963,2011,2111,2849,1962,2741,2380
"ENSG00000013392",332,223,415,170,280,149,198,240,158,366,217
"ENSG00000013441",3353,5707,6726,8033,6009,3749,3008,4835,3448,5974,4479
"ENSG00000013503",862,562,673,548,1207,453,530,649,656,709,714
"ENSG00000013523",679,707,737,845,746,429,645,834,739,1014,875
"ENSG00000013561",1676,1218,1717,1254,2348,1114,1045,1389,953,1612,1220
"ENSG00000013563",1104,340,504,404,877,489,394,397,263,287,343
"ENSG00000013573",146,379,316,510,270,140,226,134,290,279,155
"ENSG00000013583",86,299,610,374,431,307,335,403,280,462,365
"ENSG00000013588",6249,8307,16164,9238,10627,8269,12882,5660,9436,3550,6728
"ENSG00000013619",48,77,216,90,53,75,108,12,81,343,110
"ENSG00000013725",46,42,45,65,59,57,125,63,20,68,47
"ENSG00000013810",201,201,210,136,131,278,340,140,150,343,289
"ENSG00000014123",3393,2425,3895,2385,5124,1461,1547,2875,1952,2669,2345
"ENSG00000014138",239,272,315,231,283,243,369,247,231,374,385
"ENSG00000014164",137,167,215,144,159,221,217,216,170,180,174
"ENSG00000014216",2290,1922,3214,1775,2527,1940,2802,2321,1770,1407,1639
"ENSG00000014257",386,109,301,211,407,129,108,107,258,208,169
"ENSG00000014641",2914,1992,2591,1693,3033,1409,1789,1613,991,2329,1936
"ENSG00000014824",3815,2621,3269,2797,5185,1867,2197,2913,2220,3194,3061
"ENSG00000014914",513,2123,10721,2572,1440,1832,1016,1316,2187,1556,5733
"ENSG00000014919",1450,1365,2144,1119,1563,888,1167,1305,1206,1571,1471
"ENSG00000015133",1782,850,1759,1009,1090,1553,1111,1426,1269,910,1080
"ENSG00000015153",407,743,1071,815,705,479,430,879,612,1018,940
"ENSG00000015171",2823,3004,4252,3500,3641,2400,2233,3263,2840,3852,2878
"ENSG00000015475",372,340,503,145,380,385,463,281,276,407,282
"ENSG00000015479",244,928,1045,1405,724,596,424,1054,816,1253,1047
"ENSG00000015520",49,727,1835,268,194,102,145,753,872,622,1268
"ENSG00000015532",557,425,548,328,372,333,611,395,328,687,389
"ENSG00000015676",2735,2428,3038,2104,2919,1916,2319,2967,1809,2119,2584
"ENSG00000016391",2287,1441,940,1701,1805,897,1217,1613,491,677,1212
"ENSG00000016402",1809,560,969,1353,1629,604,653,1794,874,503,665
"ENSG00000016490",3561,37,178712,924,148,24602,3,141,3607,20094,29
"ENSG00000016864",1516,933,1455,1044,1590,686,970,980,853,1720,789
"ENSG00000017260",4308,3323,4653,4046,6610,2631,3232,4456,3436,4227,4550
"ENSG00000017427",335,539,1300,401,537,287,574,31,702,3068,839
"ENSG00000017483",796,454,535,474,81,10,737,276,45,106,353
"ENSG00000017797",2444,1975,2434,1785,2702,1617,1910,2159,1557,1784,1572
"ENSG00000018189",1133,1958,2216,2497,2195,1561,1506,2191,2383,3566,2446
"ENSG00000018236",408,527,813,839,577,197,390,57,231,1205,338
"ENSG00000018280",74,53,70,61,81,32,170,32,27,20,26
"ENSG00000018408",1055,1937,2650,1665,1348,428,1641,232,1479,4999,1999
"ENSG00000018510",3863,3553,3873,3788,7058,2737,2313,3618,1831,3585,3238
"ENSG00000018610",443,470,592,420,608,363,372,367,274,472,454
"ENSG00000018699",712,639,523,560,729,536,521,866,552,778,811
"ENSG00000018869",120,92,141,137,132,56,94,112,67,205,106
"ENSG00000019102",11687,6259,6044,4640,9168,6599,6099,6331,3151,3662,1869
"ENSG00000019144",1080,1735,2336,1982,1221,1734,2111,1475,1307,2003,1054
"ENSG00000019485",172,280,247,321,195,326,339,455,364,489,350
"ENSG00000019505",236,481,2557,863,556,200,2546,1802,867,82,950
"ENSG00000019549",98,245,333,158,172,106,296,13,252,960,204
"ENSG00000019582",4430,14348,6449,5945,5466,2592,25177,1709,10729,5826,8864
"ENSG00000019991",102,210,185,189,258,140,146,35,110,307,167
"ENSG00000019995",1173,1392,2108,1822,1780,1175,1215,1372,1384,2524,1700
"ENSG00000020129",428,235,315,247,432,255,359,196,224,294,205
"ENSG00000020181",194,355,482,246,142,177,702,25,260,758,352
"ENSG00000020256",316,307,593,319,429,319,297,342,303,308,376
"ENSG00000020426",496,534,695,704,760,485,482,828,555,600,637
"ENSG00000020577",148,174,439,249,224,128,394,395,210,533,327
"ENSG00000020633",10,42,90,45,27,44,80,26,29,24,41
"ENSG00000020922",791,1335,1891,1579,1190,997,892,1445,1398,2115,1145
"ENSG00000021300",174,921,721,389,472,373,764,804,682,128,51
"ENSG00000021355",8068,5988,9327,5574,11684,5452,6990,7929,4628,3341,4715
"ENSG00000021574",1066,1067,1946,1086,1740,753,646,1289,707,1315,1067
"ENSG00000021762",228,236,448,165,127,256,310,209,185,253,170
"ENSG00000021776",3527,3281,4086,3314,4698,2615,2724,3463,2698,4174,3834
"ENSG00000021826",18541,483,152,37,58,27,64,14,110,275,664
"ENSG00000022267",460,388,508,350,486,250,724,45,401,2301,534
"ENSG00000022277",1522,1162,1904,1024,1644,889,1210,987,661,1333,937
"ENSG00000022556",599,9,13,626,14,2,1444,639,11,440,600
"ENSG00000022567",2032,1806,2364,1991,1974,1974,3129,2290,1175,900,1472
"ENSG00000022840",1895,1955,3260,2456,2568,1882,2172,2427,1535,2613,2339
"ENSG00000022976",224,298,295,311,279,243,256,384,285,390,372
"ENSG00000023041",1184,1175,1458,1279,1886,953,1009,1345,883,1212,1163
"ENSG00000023171",2968,1967,1403,2523,3994,1969,1693,1904,2840,7326,1926
"ENSG00000023191",1756,856,950,573,1091,951,1367,694,614,833,528
"ENSG00000023228",4683,3417,5515,3551,6557,2589,2769,3820,2741,5019,4641
"ENSG00000023287",2765,3511,5487,3862,5394,2496,2367,3607,2717,4688,3695
"ENSG00000023318",2431,1748,2825,1715,4039,1453,1450,1665,1655,2031,2531
"ENSG00000023330",1789,1490,1261,1461,2024,1239,1420,1538,1737,2475,1423
"ENSG00000023445",1920,3002,1652,2371,5159,960,2230,8502,2496,1173,3037
"ENSG00000023516",3172,4246,7499,4144,6027,3269,2959,4435,4409,6149,5805
"ENSG00000023572",172,140,422,129,314,105,71,141,145,101,193
"ENSG00000023608",113,146,247,104,141,69,114,143,137,132,201
"ENSG00000023697",1242,743,1005,1006,1441,715,667,799,428,755,712
"ENSG00000023734",1839,1217,1830,1092,2475,785,1190,1186,911,1804,1258
"ENSG00000023839",23,33,43,64,27,30,27,42,15,49,29
"ENSG00000023892",273,185,389,246,232,426,320,262,174,219,272
"ENSG00000023902",133,215,226,197,203,133,368,73,161,432,238
"ENSG00000023909",251,353,451,309,620,163,213,313,259,701,353
"ENSG00000024048",4114,4149,6215,5439,6540,3874,3281,4824,2885,4933,4691
"ENSG00000024422",576,458,430,422,622,275,973,469,305,824,443
"ENSG00000024526",153,96,81,74,124,79,115,42,58,243,181
"ENSG00000024862",716,608,734,537,751,426,410,526,256,459,366
"ENSG00000025039",78,95,452,65,59,42,104,19,107,174,59
"ENSG00000025156",304,317,419,298,394,222,250,274,338,802,410
"ENSG00000025293",1020,1103,2032,1052,1319,1035,1170,1046,1174,1654,1646
"ENSG00000025434",433,471,297,483,257,214,310,524,346,198,557
"ENSG00000025708",152,108,128,101,226,111,299,50,70,95,167
"ENSG00000025770",463,292,355,355,377,432,515,297,175,336,283
"ENSG00000025772",629,437,671,320,615,258,457,342,275,529,370
"ENSG00000025796",2437,2350,3735,2540,3505,1576,1867,2894,2537,4206,2999
"ENSG00000025800",2887,2347,4947,2475,5008,2148,2583,2656,2020,2873,2616
"ENSG00000026025",7815,9995,14817,7173,5794,4092,15044,874,9839,36337,9945
"ENSG00000026036",21,48,61,35,23,42,49,47,32,22,36
"ENSG00000026103",762,1233,1485,882,1066,343,863,825,1283,1103,2814
"ENSG00000026297",2304,708,1303,675,1064,1151,590,805,667,621,465
"ENSG00000026508",1027,2810,6635,2902,1825,576,5127,683,5232,1261,5373
"ENSG00000026652",60,159,238,151,119,54,145,22,134,440,163
"ENSG00000026751",35,75,194,53,61,44,144,42,100,82,118
"ENSG00000026950",1298,1699,4404,2266,1581,1365,1602,1321,1478,1751,1897
"ENSG00000027001",628,474,410,426,631,334,382,520,327,433,469
"ENSG00000027075",248,268,334,296,258,225,198,309,341,463,348
"ENSG00000027697",2670,1878,2868,1784,3942,1353,1638,2022,1157,1922,2309
