"","GAMuT_23836","GAMuT_51163"
"ENSG00000023734",3634,2071
"ENSG00000023839",36,1021
"ENSG00000023892",147,83
"ENSG00000023902",329,181
"ENSG00000023909",537,2103
"ENSG00000024048",5192,4405
"ENSG00000024422",751,469
"ENSG00000024526",758,1524
"ENSG00000024862",332,529
"ENSG00000025039",946,40
"ENSG00000025156",714,311
"ENSG00000025293",2167,3200
"ENSG00000025434",251,786
"ENSG00000025708",78,202
"ENSG00000025770",427,2121
"ENSG00000025772",1079,1179
"ENSG00000025796",3865,2565
"ENSG00000025800",5439,4885
"ENSG00000026025",47287,7207
"ENSG00000026036",30,81
"ENSG00000026103",962,1572
"ENSG00000026297",5144,1048
"ENSG00000026508",21292,7761
"ENSG00000026652",425,61
"ENSG00000026751",5,54
"ENSG00000026950",467,868
"ENSG00000027001",1238,780
"ENSG00000027075",1781,127
"ENSG00000027697",2733,2636
"ENSG00000027847",422,417
"ENSG00000028116",1319,1020
"ENSG00000028137",530,866
"ENSG00000028203",4997,2057
"ENSG00000028277",31,78
"ENSG00000028310",1295,1651
"ENSG00000028528",3441,4913
"ENSG00000028839",625,437
"ENSG00000029153",707,694
"ENSG00000029363",9125,5865
"ENSG00000029364",4715,6200
"ENSG00000029534",142,29
"ENSG00000029639",1104,332
"ENSG00000029725",4910,1684
"ENSG00000029993",1852,126
"ENSG00000030066",4204,6262
"ENSG00000030110",230,310
"ENSG00000030419",2914,117
"ENSG00000030582",5274,5380
"ENSG00000031003",3100,2735
"ENSG00000031081",883,480
"ENSG00000031691",363,249
"ENSG00000031698",4458,2976
"ENSG00000031823",1130,540
"ENSG00000032219",2725,2808
"ENSG00000032389",914,698
"ENSG00000032444",539,343
"ENSG00000032742",1840,1748
"ENSG00000033011",553,439
"ENSG00000033030",1209,1542
"ENSG00000033050",1693,1767
"ENSG00000033100",1260,995
"ENSG00000033170",918,3425
"ENSG00000033178",6841,3954
"ENSG00000033327",595,2112
"ENSG00000033627",2440,5665
"ENSG00000033800",2800,4642
"ENSG00000033867",10595,2399
"ENSG00000034053",36,51
"ENSG00000034152",650,400
"ENSG00000034510",25494,7451
"ENSG00000034533",393,999
"ENSG00000034677",3911,6532
"ENSG00000034693",555,396
"ENSG00000034713",1363,895
"ENSG00000035115",4647,3481
"ENSG00000035141",1966,1509
"ENSG00000035403",7851,4052
"ENSG00000035499",355,1946
"ENSG00000035664",100,1434
"ENSG00000035681",1762,773
"ENSG00000035687",3544,2223
"ENSG00000035862",1452,1915
"ENSG00000035928",3696,3770
"ENSG00000036054",1916,2190
"ENSG00000036257",5598,3878
"ENSG00000036473",0,280
"ENSG00000036549",5082,5932
"ENSG00000036828",1,55
"ENSG00000037042",219,256
"ENSG00000037241",90,23
"ENSG00000037280",83,116
"ENSG00000037474",3554,4357
"ENSG00000037637",1420,1652
"ENSG00000037749",1523,709
"ENSG00000037757",687,323
"ENSG00000037897",210,263
"ENSG00000038002",1070,432
"ENSG00000038210",1271,994
"ENSG00000038219",7478,5657
"ENSG00000038274",2219,3557
"ENSG00000038358",943,1056
"ENSG00000038382",8370,5059
"ENSG00000038427",7773,989
"ENSG00000038532",1474,1122
"ENSG00000038945",980,871
"ENSG00000039068",28042,23460
"ENSG00000039123",4477,3002
"ENSG00000039139",1960,0
"ENSG00000039319",6964,3259
"ENSG00000039523",537,186
"ENSG00000039537",4,331
"ENSG00000039560",4115,8053
"ENSG00000039650",605,669
"ENSG00000040199",574,5173
"ENSG00000040275",794,625
"ENSG00000040341",3306,1654
"ENSG00000040487",270,403
"ENSG00000040531",530,322
"ENSG00000040608",54,269
"ENSG00000040633",1123,496
"ENSG00000040933",1430,1378
"ENSG00000041353",488,50
"ENSG00000041357",3155,4235
"ENSG00000041802",2027,2552
"ENSG00000041880",118,512
"ENSG00000041982",10468,106
"ENSG00000041988",186,366
"ENSG00000042088",1222,1164
"ENSG00000042286",143,476
"ENSG00000042317",775,538
"ENSG00000042429",2120,1578
"ENSG00000042445",1651,2140
"ENSG00000042493",729,2860
"ENSG00000042753",820,678
"ENSG00000042980",9521,286
"ENSG00000043039",9,1402
"ENSG00000043093",2694,2661
"ENSG00000043143",855,2498
"ENSG00000043462",181,223
"ENSG00000043514",1174,1169
"ENSG00000044090",1771,1474
"ENSG00000044115",17100,10506
"ENSG00000044446",1213,1512
"ENSG00000044459",801,684
"ENSG00000044524",59,24
"ENSG00000044574",11265,11709
"ENSG00000046604",13306,12364
"ENSG00000046647",438,461
"ENSG00000046651",3271,2019
"ENSG00000046653",379,71
"ENSG00000046889",6703,233
"ENSG00000047056",723,787
"ENSG00000047188",3737,2327
"ENSG00000047230",3112,1599
"ENSG00000047249",2257,377
"ENSG00000047315",6843,4761
"ENSG00000047346",5052,1740
"ENSG00000047365",2759,3418
"ENSG00000047410",16331,22195
"ENSG00000047457",21704,12
"ENSG00000047578",1927,915
"ENSG00000047579",459,428
"ENSG00000047597",39,1192
"ENSG00000047617",25,67
"ENSG00000047621",993,849
"ENSG00000047634",1504,894
"ENSG00000047644",1537,262
"ENSG00000047648",80,134
"ENSG00000047849",7841,12498
"ENSG00000047932",2447,1276
"ENSG00000048028",3105,1890
"ENSG00000048052",1005,12409
"ENSG00000048140",1090,740
"ENSG00000048162",459,278
"ENSG00000048342",1455,683
"ENSG00000048392",2362,1128
"ENSG00000048405",2141,3350
"ENSG00000048471",2238,526
"ENSG00000048544",1080,651
"ENSG00000048649",7052,5446
"ENSG00000048707",12458,11788
"ENSG00000048740",409,351
"ENSG00000048828",9718,10728
"ENSG00000048991",2605,1108
"ENSG00000049089",9,74
"ENSG00000049130",467,7657
"ENSG00000049167",660,346
"ENSG00000049192",575,40
"ENSG00000049239",3458,11344
"ENSG00000049245",3482,2826
"ENSG00000049246",751,2638
"ENSG00000049283",101,1349
"ENSG00000049323",1300,4928
"ENSG00000049449",3094,2397
"ENSG00000049540",27,190
"ENSG00000049541",758,1596
"ENSG00000049618",7708,4092
"ENSG00000049656",2514,2980
"ENSG00000049759",1860,8984
"ENSG00000049769",54,51
"ENSG00000049860",6986,4264
"ENSG00000049883",741,696
"ENSG00000050130",1925,978
"ENSG00000050165",322,489
"ENSG00000050327",331,463
"ENSG00000050344",1269,713
"ENSG00000050393",922,2076
"ENSG00000050405",3889,14525
"ENSG00000050426",1678,2144
"ENSG00000050438",386,139
"ENSG00000050555",232,1601
"ENSG00000050628",3,19
"ENSG00000050748",2003,1039
"ENSG00000050820",582,1022
"ENSG00000051009",1074,2827
"ENSG00000051108",3105,1062
"ENSG00000051128",417,13
"ENSG00000051180",261,540
"ENSG00000051341",1129,4061
"ENSG00000051382",3811,4542
"ENSG00000051523",4076,742
"ENSG00000051596",126,50
"ENSG00000051620",2866,2667
"ENSG00000051825",1195,2876
"ENSG00000052126",7642,6496
"ENSG00000052344",1974,5191
"ENSG00000052723",3021,2646
"ENSG00000052749",1124,586
"ENSG00000052795",4112,2336
"ENSG00000052802",1916,2414
"ENSG00000052841",7093,4737
"ENSG00000053254",1966,4028
"ENSG00000053371",1113,2084
"ENSG00000053372",880,986
"ENSG00000053501",192,350
"ENSG00000053524",27,17
"ENSG00000053747",6083,12419
"ENSG00000053770",3090,2881
"ENSG00000053900",6071,1674
"ENSG00000053918",89,1955
"ENSG00000054116",1512,1378
"ENSG00000054118",9868,10637
"ENSG00000054148",625,966
"ENSG00000054179",75,455
"ENSG00000054219",695,1325
"ENSG00000054267",5829,4418
"ENSG00000054277",735,605
"ENSG00000054282",1972,1297
"ENSG00000054392",826,540
"ENSG00000054523",7561,6461
"ENSG00000054598",47,741
"ENSG00000054611",796,1232
"ENSG00000054654",70902,53109
"ENSG00000054690",3498,2242
"ENSG00000054793",7897,5421
"ENSG00000054965",3016,3055
"ENSG00000054967",146,110
"ENSG00000054983",1231,3404
"ENSG00000055044",3232,3041
"ENSG00000055070",2298,3800
"ENSG00000055118",22,780
"ENSG00000055130",2867,4288
"ENSG00000055147",814,886
"ENSG00000055163",350,474
"ENSG00000055208",3116,2586
"ENSG00000055211",2399,1066
"ENSG00000055332",5817,7672
"ENSG00000055483",1152,2118
"ENSG00000055609",22464,17845
"ENSG00000055732",23,232
"ENSG00000055917",10435,12119
"ENSG00000055950",690,594
"ENSG00000056050",468,416
"ENSG00000056097",5769,6669
"ENSG00000056277",767,547
"ENSG00000056558",197,544
"ENSG00000056586",10370,4616
"ENSG00000056736",823,10386
"ENSG00000056972",2670,807
"ENSG00000056998",287,41
"ENSG00000057019",8913,666
"ENSG00000057252",1727,2342
"ENSG00000057294",5110,7894
"ENSG00000057608",12340,6574
"ENSG00000057657",413,679
"ENSG00000057663",2317,2065
"ENSG00000057704",388,2102
"ENSG00000057757",1113,1654
"ENSG00000057935",2084,2123
"ENSG00000058056",741,274
"ENSG00000058063",725,6763
"ENSG00000058085",15964,8
"ENSG00000058091",2227,285
"ENSG00000058262",9123,6903
"ENSG00000058272",6449,5235
"ENSG00000058453",312,378
"ENSG00000058600",1676,1077
"ENSG00000058668",8653,3121
"ENSG00000058673",9818,14813
"ENSG00000058729",953,648
"ENSG00000058799",1400,609
"ENSG00000058804",2704,4980
"ENSG00000058866",4,25
"ENSG00000059122",400,353
"ENSG00000059145",266,289
"ENSG00000059377",117,159
"ENSG00000059378",845,2286
"ENSG00000059573",3656,7570
"ENSG00000059588",4831,6242
"ENSG00000059691",644,584
"ENSG00000059728",1873,2573
"ENSG00000059758",3053,1691
"ENSG00000059769",383,470
"ENSG00000059804",720,372
"ENSG00000059915",20,52
"ENSG00000060069",681,424
"ENSG00000060138",2952,4085
"ENSG00000060140",18,622
"ENSG00000060237",12459,10308
"ENSG00000060339",5845,3297
"ENSG00000060491",410,1177
"ENSG00000060558",39,21
"ENSG00000060642",584,955
"ENSG00000060656",3464,2458
"ENSG00000060688",1348,2904
"ENSG00000060709",2508,58
"ENSG00000060718",41,97
"ENSG00000060749",6462,8939
"ENSG00000060762",543,444
"ENSG00000060971",989,1170
"ENSG00000060982",17381,739
"ENSG00000061273",1832,833
"ENSG00000061337",66,91
"ENSG00000061455",75,144
"ENSG00000061656",149,60
"ENSG00000061676",18985,16047
"ENSG00000061794",2745,3155
"ENSG00000061918",1689,114
"ENSG00000061936",1607,2350
"ENSG00000061938",145,540
"ENSG00000061987",6663,4774
"ENSG00000062038",787,161
"ENSG00000062194",5159,4467
"ENSG00000062282",30,628
"ENSG00000062370",732,438
"ENSG00000062485",2643,3645
"ENSG00000062524",0,430
"ENSG00000062598",1339,1354
"ENSG00000062650",5254,7526
"ENSG00000062716",34772,18750
"ENSG00000062725",3199,3385
"ENSG00000062822",352,867
"ENSG00000063046",10218,7252
"ENSG00000063169",105,362
"ENSG00000063176",403,611
"ENSG00000063177",11885,6745
"ENSG00000063180",139,38
"ENSG00000063241",207,356
"ENSG00000063244",2027,3192
"ENSG00000063245",1078,4528
"ENSG00000063322",727,842
"ENSG00000063587",2013,1457
"ENSG00000063601",1434,1106
"ENSG00000063660",636,322
"ENSG00000063761",257,340
"ENSG00000063854",587,426
"ENSG00000063978",2197,1911
"ENSG00000064012",2164,2427
"ENSG00000064042",325,184
"ENSG00000064102",1422,984
"ENSG00000064115",2564,2655
"ENSG00000064199",876,299
"ENSG00000064225",2871,78
"ENSG00000064270",974,3266
"ENSG00000064309",390,1040
"ENSG00000064313",2659,3588
"ENSG00000064393",3613,7113
"ENSG00000064419",3433,5050
"ENSG00000064490",692,887
"ENSG00000064545",457,491
"ENSG00000064547",503,453
"ENSG00000064601",4484,5805
"ENSG00000064607",4144,6182
"ENSG00000064651",16061,8195
"ENSG00000064652",605,392
"ENSG00000064655",2453,25
"ENSG00000064666",3609,430
"ENSG00000064687",946,98
"ENSG00000064692",24,23
"ENSG00000064703",1259,1412
"ENSG00000064726",3944,4430
"ENSG00000064763",44,1724
"ENSG00000064787",179,568
"ENSG00000064932",862,446
"ENSG00000064933",1642,1160
"ENSG00000064961",1106,391
"ENSG00000064989",405,517
"ENSG00000064995",842,674
"ENSG00000064999",1899,1048
"ENSG00000065000",4152,1670
"ENSG00000065029",744,615
"ENSG00000065054",569,200
"ENSG00000065057",262,120
"ENSG00000065060",3586,1580
"ENSG00000065135",5660,6625
"ENSG00000065150",9760,6478
"ENSG00000065154",2138,4414
"ENSG00000065183",2454,3138
"ENSG00000065243",6295,13689
"ENSG00000065268",355,187
"ENSG00000065308",1625,1038
"ENSG00000065328",656,376
"ENSG00000065357",266,485
"ENSG00000065361",9006,27290
"ENSG00000065413",200,292
"ENSG00000065427",4869,3040
"ENSG00000065457",1175,820
"ENSG00000065485",870,772
"ENSG00000065491",611,594
"ENSG00000065518",1889,1228
"ENSG00000065526",6255,13877
"ENSG00000065534",1955,2439
"ENSG00000065548",3266,3183
"ENSG00000065559",2228,888
"ENSG00000065600",394,224
"ENSG00000065613",14302,4331
"ENSG00000065615",1786,662
"ENSG00000065618",829,1341
"ENSG00000065621",1398,706
"ENSG00000065665",413,224
"ENSG00000065675",616,8
"ENSG00000065717",354,43
"ENSG00000065802",649,732
"ENSG00000065809",6168,775
"ENSG00000065833",101,614
"ENSG00000065882",3729,3507
"ENSG00000065883",4234,6157
"ENSG00000065911",4080,1303
"ENSG00000065923",561,781
"ENSG00000065970",803,1140
"ENSG00000065978",3474,3854
"ENSG00000065989",70,32
"ENSG00000066027",2776,4593
"ENSG00000066044",2443,1940
"ENSG00000066056",73,211
"ENSG00000066084",6085,4490
"ENSG00000066117",1443,2135
"ENSG00000066135",2968,4206
"ENSG00000066136",1046,2268
"ENSG00000066185",147,58
"ENSG00000066230",1,454
"ENSG00000066248",883,1741
"ENSG00000066279",2991,13276
"ENSG00000066294",320,383
"ENSG00000066322",1284,1880
"ENSG00000066336",40,55
"ENSG00000066379",427,291
"ENSG00000066405",6,6
"ENSG00000066422",2340,3251
"ENSG00000066427",2240,1742
"ENSG00000066455",2461,2088
"ENSG00000066468",1854,3197
"ENSG00000066557",1141,1668
"ENSG00000066583",968,1098
"ENSG00000066629",98,117
"ENSG00000066651",1111,893
"ENSG00000066654",4295,1918
"ENSG00000066697",530,409
"ENSG00000066739",4289,3167
"ENSG00000066777",13444,12974
"ENSG00000066827",440,1477
"ENSG00000066855",1139,1439
"ENSG00000066926",809,734
"ENSG00000066933",5805,5839
"ENSG00000067057",2780,111
"ENSG00000067064",1780,2072
"ENSG00000067066",2308,3062
"ENSG00000067082",6928,3382
"ENSG00000067113",274,822
"ENSG00000067141",204,11375
"ENSG00000067167",7385,7349
"ENSG00000067177",1356,49
"ENSG00000067182",1458,2339
"ENSG00000067191",86,66
"ENSG00000067208",3444,3352
"ENSG00000067221",176,365
"ENSG00000067225",21575,15602
"ENSG00000067248",3154,1596
"ENSG00000067334",2476,3102
"ENSG00000067365",517,321
"ENSG00000067369",5942,4838
"ENSG00000067445",124,158
"ENSG00000067533",1297,1111
"ENSG00000067560",12161,13785
"ENSG00000067596",3186,4856
"ENSG00000067601",55,61
"ENSG00000067606",676,2218
"ENSG00000067704",5570,10414
"ENSG00000067715",9,38
"ENSG00000067798",177,331
"ENSG00000067829",641,559
"ENSG00000067836",228,220
"ENSG00000067900",6397,6674
"ENSG00000067955",3495,906
"ENSG00000067992",1225,1113
"ENSG00000068001",1304,393
"ENSG00000068024",987,1164
"ENSG00000068028",233,674
"ENSG00000068078",21,1779
"ENSG00000068079",174,1104
"ENSG00000068097",958,1378
"ENSG00000068120",882,1886
"ENSG00000068137",309,140
"ENSG00000068305",3507,1814
"ENSG00000068308",1138,629
"ENSG00000068323",584,680
"ENSG00000068354",328,244
"ENSG00000068366",3316,1961
"ENSG00000068383",535,833
"ENSG00000068394",493,471
"ENSG00000068400",1368,695
"ENSG00000068438",806,238
"ENSG00000068489",387,1170
"ENSG00000068615",37,9
"ENSG00000068650",11221,6697
"ENSG00000068654",3430,3985
"ENSG00000068697",5076,4500
"ENSG00000068724",1390,2602
"ENSG00000068745",2473,1970
"ENSG00000068784",1522,1853
"ENSG00000068796",3753,1359
"ENSG00000068878",7387,4739
"ENSG00000068885",646,951
"ENSG00000068903",614,852
"ENSG00000068912",2658,1931
"ENSG00000068971",344,206
"ENSG00000069011",337,132
"ENSG00000069020",2926,1038
"ENSG00000069122",974,707
"ENSG00000069188",1004,194
"ENSG00000069248",3627,3656
"ENSG00000069275",15497,19985
"ENSG00000069329",9042,4494
"ENSG00000069345",3836,1490
"ENSG00000069399",131,438
"ENSG00000069424",70,1576
"ENSG00000069431",198,56
"ENSG00000069493",1611,170
"ENSG00000069509",409,419
"ENSG00000069535",399,629
"ENSG00000069667",455,228
"ENSG00000069702",4633,1194
"ENSG00000069712",1340,1631
"ENSG00000069764",43,4
"ENSG00000069849",2706,5768
"ENSG00000069869",253,3392
"ENSG00000069943",644,585
"ENSG00000069956",6729,3512
"ENSG00000069966",1682,887
"ENSG00000069974",375,554
"ENSG00000069998",579,1548
"ENSG00000070010",1496,1446
"ENSG00000070018",6737,6948
"ENSG00000070019",2,5829
"ENSG00000070047",1237,2362
"ENSG00000070061",3611,2695
"ENSG00000070081",1361,1532
"ENSG00000070087",1817,279
"ENSG00000070159",9294,4873
"ENSG00000070190",28,406
"ENSG00000070214",8975,12392
"ENSG00000070269",2840,1525
"ENSG00000070366",1698,1262
