"","external_gene_name","uniprot_gn_id","cluster","betweenness","degree_centrality","logFC","file_id","ID","pocket","druggability","num_drug_pockets","struct_score","base_count","cancer_count","MeSH_count","title_query","ovarian_count","title_count"
"66","ASPM","Q8IZT6","1",17408,4,5.54506669542103,"AF-Q8IZT6-F10-model_v4","Q8IZT6-F10",0.434,0.949,4,62.6404820392025,529,214,134,62,11,62
"67","TDO2","P48775","40",0,1,6.1612550824591,"AF-P48775-F1-model_v4","P48775-F1",0.175,0.947,1,90.5243651968038,234,130,83,33,5,33
"68","TRPA1","O75762","1",618,2,4.07445950934056,"AF-O75762-F1-model_v4","O75762-F1",0.116,0.947,1,81.5129115904773,3122,254,77,80,4,80
"69","HCN4","Q9Y3Q4","37",0,1,2.41683951579716,"AF-Q9Y3Q4-F1-model_v4","Q9Y3Q4-F1",0.215,0.946,1,61.5475354980737,797,16,4,1,0,1
"70","ICOS","Q9Y6W8","1",618,2,3.21353937215799,"AF-Q9Y6W8-F1-model_v4","Q9Y6W8-F1",0.208,0.946,2,74.8344493392071,2697,772,421,160,15,160
"71","H2BC13","Q99880","1",13326,17,3.22244176975315,"AF-Q99880-F1-model_v4","Q99880-F1",0.414,0.944,2,87.4487040816327,0,0,0,0,0,0
"72","GJB2","P29033","1",309,3,5.01185683682611,"AF-P29033-F1-model_v4","P29033-F1",0.236,0.943,2,86.3863956639566,2600,280,181,33,2,33
"73","H2BC9","Q93079","1",26164,7,2.62287519525072,"AF-Q93079-F1-model_v4","Q93079-F1",0.364,0.94,2,88.1431147540984,3,2,0,0,0,0
"74","P2RY2","P41231","55",0,1,2.59221765020417,"AF-P41231-F1-model_v4","P41231-F1",0.12,0.939,1,79.1966207591535,478,64,43,4,3,4
"75","BPIFB2","Q8N4F0","9",0,4,5.78819899439326,"AF-Q8N4F0-F1-model_v4","Q8N4F0-F1",0.224,0.938,2,88.7725757138737,15,3,2,1,0,1
"76","CACNG6","Q9BXT2","1",0,1,2.8616548433844,"AF-Q9BXT2-F1-model_v4","Q9BXT2-F1",0.22,0.937,3,77.2799190692969,13,0,0,0,0,0
"77","CNTNAP2","Q9UHC6","20",0,1,8.0895338450405,"AF-Q9UHC6-F1-model_v4","Q9UHC6-F1",0.433,0.937,2,84.1847244320905,568,74,59,2,3,2
"78","H2BC12","O60814","1",0,10,2.91401348443746,"AF-O60814-F1-model_v4","O60814-F1",0.241,0.937,1,88.0577868852459,3,1,0,0,0,0
"79","SLC34A1","Q06495","1",0,1,2.40610158929565,"AF-Q06495-F1-model_v4","Q06495-F1",0.109,0.937,1,72.5091481023102,311,11,4,1,0,1
"80","H2BC15","Q99877","1",24597,17,2.2517810805645,"AF-Q99877-F1-model_v4","Q99877-F1",0.313,0.935,1,87.691308793456,0,0,0,0,0,0
"81","RSAD2","Q8WXG1","1",0,1,2.51417282093257,"AF-Q8WXG1-F1-model_v4","Q8WXG1-F1",0.193,0.935,1,87.9568383838384,410,58,23,5,3,5
"82","MAGEA1","P43355","1",618,2,7.5164699313632,"AF-P43355-F1-model_v4","P43355-F1",0.297,0.932,2,75.5052256728778,564,537,446,54,25,54
"83","IFIT1","P09914","1",0,1,2.16815973836663,"AF-P09914-F1-model_v4","P09914-F1",0.057,0.93,1,94.1743924993578,591,123,73,15,1,15
"84","MUC5B","Q9HC84","1",7313,4,4.84333726867024,"AF-Q9HC84-F1-model_v4","Q9HC84-F1",0.112,0.93,1,82.3506823372668,1247,249,161,43,12,43
"85","CNGB1","Q14028","19",0,1,2.2198288369376,"AF-Q14028-F1-model_v4","Q14028-F1",0.165,0.929,2,58.9998767318663,128,7,2,2,0,2
"86","UGT1A7","Q9HAW7","62",0,2,7.21227641861279,"AF-Q9HAW7-F1-model_v4","Q9HAW7-F1",0.113,0.929,1,92.0126105563481,355,124,75,26,0,26
"87","RMI1","Q9H9A7","1",620,6,2.25297576198106,"AF-Q9H9A7-F1-model_v4","Q9H9A7-F1",0.133,0.928,1,67.9475899207478,184,85,25,23,10,23
"88","CDC45","O75419","1",40,2,4.50023142401857,"AF-O75419-F1-model_v4","O75419-F1",0.323,0.926,1,92.8874267100977,612,234,81,30,5,30
"89","CDC6","Q99741","1",618,2,5.69526165393855,"AF-Q99741-F1-model_v4","Q99741-F1",0.244,0.922,2,69.8394804010939,1071,445,207,125,5,125
"90","GRM8","O00222","35",0,1,3.52140130876156,"AF-O00222-F1-model_v4","O00222-F1",0.162,0.921,2,84.3809931458945,79,17,8,1,1,1
"91","CHST6","Q9GZX3","15",0,1,2.89304001311117,"AF-Q9GZX3-F1-model_v4","Q9GZX3-F1",0.409,0.92,1,90.8008349389852,84,9,5,0,0,0
"92","APOF","Q13790","1",0,2,4.10336898199419,"AF-Q13790-F1-model_v4","Q13790-F1",0.083,0.918,3,63.8175312122433,72,13,7,4,0,4
"93","HCN2","Q9UL51","37",0,1,2.33649067540965,"AF-Q9UL51-F1-model_v4","Q9UL51-F1",0.244,0.918,3,72.1557182644386,713,29,6,2,0,2
"94","CENPI","Q92674","1",8647,12,3.30298996612602,"AF-Q92674-F1-model_v4","Q92674-F1",0.058,0.915,3,72.7981596597415,71,26,12,9,1,9
"95","XCR1","P46094","1",612,12,2.64142498206825,"AF-P46094-F1-model_v4","P46094-F1",0.289,0.915,1,85.7071318398825,305,111,39,25,3,25
"96","ASZ1","Q8WWH4","1",1234,3,2.01159681919935,"AF-Q8WWH4-F1-model_v4","Q8WWH4-F1",0.111,0.912,2,67.5270708955224,17,1,0,0,0,0
"97","KCNJ6","P48051","1",0,3,2.59059664726337,"AF-P48051-F1-model_v4","P48051-F1",0.111,0.911,1,83.7091519953052,199,21,10,2,0,2
"98","KRT26","Q7Z3Y9","1",5466,8,2.60039861044376,"AF-Q7Z3Y9-F1-model_v4","Q7Z3Y9-F1",0.236,0.911,2,75.5413432424993,4,0,0,0,0,0
"99","EPPK1","P58107","1",0,2,3.45552112458483,"AF-P58107-F18-model_v4","P58107-F18",0.247,0.908,1,77.4693065625581,40,22,12,3,0,3
"100","GABBR2","O75899","1",3856,8,3.56773929973092,"AF-O75899-F1-model_v4","O75899-F1",0.333,0.908,1,77.7821456401988,182,23,13,5,1,5
"101","IFNL2","Q8IZJ0","1",0,2,3.95277374926431,"AF-Q8IZJ0-F1-model_v4","Q8IZJ0-F1",0.095,0.908,1,84.1380781550288,32,8,4,0,0,0
"102","CENPF","P49454","1",0,3,5.5936825816318,"AF-P49454-F7-model_v4","P49454-F7",0.122,0.906,1,71.418744961032,404,271,163,57,9,57
"103","MAGEB1","P43366","41",0,1,3.22243839837588,"AF-P43366-F1-model_v4","P43366-F1",0.236,0.906,1,74.7792489974481,60,48,33,2,0,2
"104","KCNJ3","P48549","1",3797,4,4.65877384473633,"AF-P48549-F1-model_v4","P48549-F1",0.272,0.905,3,72.6244489179668,104,15,11,5,0,5
"105","FPR3","P25089","1",0,1,2.83067502725733,"AF-P25089-F1-model_v4","P25089-F1",0.116,0.902,1,83.8509236234458,120,25,9,4,0,4
"106","AGR2","O95994","1",13276,6,3.98492845785739,"AF-O95994-F1-model_v4","O95994-F1",0.263,0.901,1,87.4194598436389,460,343,237,136,20,136
"107","CDCP1","Q9H5V8","1",0,1,2.72790851067555,"AF-Q9H5V8-F1-model_v4","Q9H5V8-F1",0.276,0.901,1,78.3538725490196,242,186,142,97,16,97
"108","FANCI","Q9NVI1","1",51,2,2.28516590120218,"AF-Q9NVI1-F1-model_v4","Q9NVI1-F1",0.132,0.901,3,83.4713298329356,428,280,133,40,19,40
"109","PBK","Q96KB5","1",0,2,5.28309070929684,"AF-Q96KB5-F1-model_v4","Q96KB5-F1",0.152,0.901,1,84.9070023696682,810,248,154,70,6,70
"110","ATP5MC1","P05496","1",4909,5,2.0242905039129,"AF-P05496-F1-model_v4","P05496-F1",0.401,0.898,1,72.6957627118644,4,1,0,0,0,0
"111","GABRG2","P18507","1",615,3,2.50135622623443,"AF-P18507-F1-model_v4","P18507-F1",0.129,0.898,1,78.5081408745745,439,20,4,4,0,4
"112","TOP2A","P11388","1",7918,8,6.34372879847937,"AF-P11388-F1-model_v4","P11388-F1",0.045,0.897,1,76.4083174292472,1381,1168,838,197,47,197
"113","PLA2G10","O15496","56",0,3,2.19914880877087,"AF-O15496-F1-model_v4","O15496-F1",0.095,0.895,1,87.8306582077716,82,15,11,2,0,2
"114","GRM4","Q14833","35",0,1,3.63123657733092,"AF-Q14833-F1-model_v4","Q14833-F1",0.09,0.891,2,83.5405180840665,77,21,15,7,0,7
"115","GJB1","P08034","1",10995,4,3.64405947214958,"AF-P08034-F1-model_v4","P08034-F1",0.333,0.89,1,80.0505017761989,1265,231,125,2,7,2
"116","H2BC14","Q99879","1",28161,12,2.01057081233083,"AF-Q99879-F1-model_v4","Q99879-F1",0.365,0.888,2,86.1224313326551,1,1,1,0,0,0
"117","SPAG5","Q96R06","1",2278,4,3.30821478331745,"AF-Q96R06-F1-model_v4","Q96R06-F1",0.223,0.887,2,63.8131142310147,130,78,53,34,2,34
"118","HMMR","O75330","1",3076,3,4.94479685894116,"AF-O75330-F1-model_v4","O75330-F1",0.192,0.886,2,76.1048990670059,261,208,132,52,4,52
"119","ESPL1","Q14674","1",0,1,3.36966120162363,"AF-Q14674-F1-model_v4","Q14674-F1",0.619,0.885,1,75.7783475713937,146,79,53,11,3,11
"120","CD3E","P07766","1",1185,5,2.81065604554105,"AF-P07766-F1-model_v4","P07766-F1",0.191,0.884,1,73.5128017241379,556,201,112,6,7,6
"121","CIT","O14578","1",0,1,2.2863627828151,"AF-O14578-F1-model_v4","O14578-F1",0.129,0.882,1,70.152782431933,8830,1140,697,30,30,30
"122","TAS2R40","P59535","1",1023,2,2.27040061523536,"AF-P59535-F1-model_v4","P59535-F1",0.255,0.88,4,81.3804347826087,6,1,0,0,0,0
"123","TJP3","O95049","1",0,4,2.00812108851444,"AF-O95049-F1-model_v4","O95049-F1",0.067,0.88,2,66.5840854341737,63,13,5,1,1,1
"124","ABCC2","Q92887","1",0,1,2.30643068612688,"AF-Q92887-F1-model_v4","Q92887-F1",0.256,0.879,6,81.4368457086967,2224,819,420,119,60,119
"125","DCAF8L2","P0C7V8","1",617,3,3.70317357681507,"AF-P0C7V8-F1-model_v4","P0C7V8-F1",0.257,0.877,2,71.2832668528121,1,1,1,1,0,1
"126","CCL11","P51671","1",332,4,4.24429566579864,"AF-P51671-F1-model_v4","P51671-F1",0.345,0.872,1,87.9844281914894,2444,241,117,28,9,28
"127","CXCR5","P32302","1",1924,6,2.42780715442397,"AF-P32302-F1-model_v4","P32302-F1",0.171,0.872,3,80.3922741116751,1982,493,295,119,7,119
"128","H2BC11","P06899","1",2959,9,3.68033176103619,"AF-P06899-F1-model_v4","P06899-F1",0.25,0.87,2,85.698045035824,1,1,0,0,0,0
"129","KIF15","Q9NS87","1",0,3,3.91874486027542,"AF-Q9NS87-F1-model_v4","Q9NS87-F1",0.241,0.869,1,72.0212966758756,165,100,51,42,5,42
"130","PYCR1","P32322","58",0,1,3.6135516436724,"AF-P32322-F1-model_v4","P32322-F1",0.336,0.869,2,90.0678100940975,165,101,69,42,0,42
"131","MUC5AC","P98088","1",2460,2,7.02655336832385,"AF-P98088-F5-model_v4","P98088-F5",0.071,0.867,1,72.3167149114454,3521,1318,1097,236,70,236
"132","PTCRA","Q6ISU1","1",0,1,2.11802481526286,"AF-Q6ISU1-F1-model_v4","Q6ISU1-F1",0.251,0.867,1,64.1386297376093,47,12,6,0,0,0
"133","DIAPH3","Q9NSV4","1",0,1,4.54195364889373,"AF-Q9NSV4-F1-model_v4","Q9NSV4-F1",0.164,0.866,2,71.818128125,89,43,28,12,1,12
"134","DHCR24","Q15392","26",0,1,2.25397430011843,"AF-Q15392-F1-model_v4","Q15392-F1",0.241,0.865,3,92.238197688134,336,67,48,21,2,21
"135","SLC5A1","P13866","1",0,1,2.17437730688888,"AF-P13866-F1-model_v4","P13866-F1",0.444,0.865,1,84.1097522260937,819,75,40,4,3,4
"136","CLTC","Q00610","1",52404,11,2.4869541697057,"AF-Q00610-F1-model_v4","Q00610-F1",0.181,0.863,2,78.0416780364823,199,90,68,16,1,16
"137","SLC30A8","Q8IWU4","25",0,1,5.49950820510611,"AF-Q8IWU4-F1-model_v4","Q8IWU4-F1",0.228,0.862,1,81.2000524292205,585,30,15,6,4,6
"138","CXADR","P78310","1",1234,2,2.72452867028075,"AF-P78310-F1-model_v4","P78310-F1",0.405,0.86,1,79.4856221033868,86,21,13,4,0,4
"139","MARVELD3","Q96A59","1",0,2,2.05087225606379,"AF-Q96A59-F1-model_v4","Q96A59-F1",0.108,0.86,1,65.321573780874,36,10,8,3,0,3
"140","HTR3A","P46098","1",0,4,3.02006633078636,"AF-P46098-F1-model_v4","P46098-F1",0.422,0.858,2,83.464506789649,272,29,16,2,0,2
"141","CNGA2","Q16280","19",0,1,7.6664327715596,"AF-Q16280-F1-model_v4","Q16280-F1",0.373,0.855,1,78.1641138059701,112,2,0,0,0,0
"142","MMP11","P24347","1",0,1,6.92282449367918,"AF-P24347-F1-model_v4","P24347-F1",0.41,0.848,1,78.8245550683518,496,356,264,65,12,65
"143","BUB1B","O60566","1",2617,6,3.93720588719685,"AF-O60566-F1-model_v4","O60566-F1",0.211,0.846,2,64.7205771748185,487,354,206,52,20,52
"144","CCR4","P51679","1",15048,13,2.92825061696412,"AF-P51679-F1-model_v4","P51679-F1",0.268,0.839,2,80.556904109589,2907,900,611,248,9,248
"145","KCNQ2","O43526","1",618,2,2.26149355428512,"AF-O43526-F1-model_v4","O43526-F1",0.229,0.839,2,59.5820020746888,1025,25,9,7,1,7
"146","POSTN","Q15063","1",618,3,3.32513260355459,"AF-Q15063-F1-model_v4","Q15063-F1",0.152,0.839,2,80.2447757779134,1703,560,414,34,48,34
"147","CCNO","P22674","1",1234,3,3.15612754780664,"AF-P22674-F1-model_v4","P22674-F1",0.405,0.838,2,79.7310232383808,143,37,11,2,3,2
"148","GJD3","Q8N144","1",0,3,6.8896551540287,"AF-Q8N144-F1-model_v4","Q8N144-F1",0.202,0.838,1,77.3165673632726,33,3,1,1,0,1
"149","ACMSD","Q8TDX5","1",0,1,2.11179683325633,"AF-Q8TDX5-F1-model_v4","Q8TDX5-F1",0.135,0.837,1,97.6586275243082,91,10,4,1,0,1
"150","RAB39B","Q96DA2","13",0,1,2.07048282542053,"AF-Q96DA2-F1-model_v4","Q96DA2-F1",0.095,0.834,1,88.4666781807714,82,10,5,2,0,2
"151","FSBP","O95073","1",0,1,3.45689781778252,"AF-O95073-F1-model_v4","O95073-F1",0.297,0.828,1,70.0311998361998,58,8,6,1,1,1
"152","SDS","P20132","60",0,1,2.51921827271648,"AF-P20132-F1-model_v4","P20132-F1",0.103,0.828,1,95.7886266447368,86337,6748,3619,61,267,61
"153","RET","P07949","1",0,1,3.95847371627237,"AF-P07949-F1-model_v4","P07949-F1",0.127,0.827,1,79.442057208238,11457,6593,5262,2305,64,2305
"154","GDPD1","Q8N9F7","1",0,1,2.64342278430579,"AF-Q8N9F7-F1-model_v4","Q8N9F7-F1",0.177,0.825,1,96.2076862745098,5,1,0,1,0,1
"155","TRIM36","Q9NQ86","1",1235,3,2.2740257613975,"AF-Q9NQ86-F1-model_v4","Q9NQ86-F1",0.186,0.822,2,78.8339442916094,51,26,18,10,1,10
"156","CENPA","P49450","1",4494,6,4.09473843108622,"AF-P49450-F1-model_v4","P49450-F1",0.14,0.815,2,82.0783628318584,1118,390,122,123,8,123
"157","BMP7","P18075","1",1235,3,2.2794689073589,"AF-P18075-F1-model_v4","P18075-F1",0.232,0.814,2,76.7069445242886,3300,417,261,73,12,73
"158","KIF20A","O95235","1",1576,7,5.65892854704791,"AF-O95235-F1-model_v4","O95235-F1",0.333,0.814,3,67.3045557924662,316,240,135,67,13,67
"159","FGG","P02679","1",679,3,5.21388322578666,"AF-P02679-F1-model_v4","P02679-F1",0.247,0.813,3,85.7406392945715,1782,241,172,11,9,11
"160","PRLR","P16471","1",3071,3,2.44648247327347,"AF-P16471-F1-model_v4","P16471-F1",0.166,0.812,1,61.7794438765079,1276,355,236,25,22,25
"161","PAX2","Q02962","1",1235,3,4.20782060818661,"AF-Q02962-F1-model_v4","Q02962-F1",0.095,0.811,1,61.2209457315138,1788,456,329,160,75,160
"162","CXCR6","O00574","1",4910,9,2.49064682225043,"AF-O00574-F1-model_v4","O00574-F1",0.27,0.809,1,82.1103575297941,749,261,158,84,12,84
"163","CPB2","Q96IY4","23",0,1,4.07779105272996,"AF-Q96IY4-F1-model_v4","Q96IY4-F1",0.436,0.803,2,94.3270505700088,364,18,9,0,0,0
