file_id,uniprot_id,ID,hydrophobicity_score,volume_score,alpha_max_dist,pocket,druggability,num_drug_pockets,struct_score
AF-Q6NUM9-F1-model_v4,Q6NUM9,Q6NUM9-F1,45.526,4.316,27.783,0.132,0.998,3,95.2171556122449
AF-Q6P9B9-F1-model_v4,Q6P9B9,Q6P9B9-F1,68.432,4.351,24.685,0.097,0.998,1,78.0816287629815
AF-Q6Y1H2-F1-model_v4,Q6Y1H2,Q6Y1H2-F1,54.862,4.759,24.061,0.214,0.998,2,78.7545748383889
AF-Q6ZNA5-F1-model_v4,Q6ZNA5,Q6ZNA5-F1,28.093,4.047,30.54,0.044,0.998,1,88.7531071505261
AF-Q6ZVX9-F1-model_v4,Q6ZVX9,Q6ZVX9-F1,37.105,4.132,23.209,0.107,0.998,1,86.6401557838913
AF-Q8N966-F1-model_v4,Q8N966,Q8N966-F1,63.074,4.296,23.922,0.026,0.998,1,88.4223471882641
AF-Q8NGM9-F1-model_v4,Q8NGM9,Q8NGM9-F1,59.72,4.32,25.585,0.09,0.998,2,89.7450879345603
AF-Q8TDN7-F1-model_v4,Q8TDN7,Q8TDN7-F1,53,4.622,26.783,0.113,0.998,2,93.6866348340155
AF-Q8TE04-F1-model_v4,Q8TE04,Q8TE04-F1,53.96,4.76,26.991,0.137,0.998,1,72.8243338505875
AF-Q96H96-F1-model_v4,Q96H96,Q96H96-F1,32.864,4.407,39.611,0.446,0.998,1,86.317850140056
AF-Q96JG8-F1-model_v4,Q96JG8,Q96JG8-F1,38.9,4.225,42.037,0.133,0.998,2,54.865
AF-Q9BVG9-F1-model_v4,Q9BVG9,Q9BVG9-F1,47.385,4.154,25.245,0.048,0.998,4,82.5780261175289
AF-Q9BZF2-F1-model_v4,Q9BZF2,Q9BZF2-F1,37.977,4.395,25.298,0.195,0.998,1,71.630390461997
AF-Q9HB29-F1-model_v4,Q9HB29,Q9HB29-F1,40.5,4.4,24.966,0.062,0.998,1,77.409100586574
AF-Q9NPC1-F1-model_v4,Q9NPC1,Q9NPC1-F1,52.5,4.533,24.626,0.217,0.998,3,81.7689171023152
AF-Q9NPP4-F1-model_v4,Q9NPP4,Q9NPP4-F1,15.862,4.241,52.47,0.441,0.998,2,85.1586064168504
AF-Q9NUN7-F1-model_v4,Q9NUN7,Q9NUN7-F1,48.846,4.333,25.737,0.293,0.998,1,93.4403270609319
AF-Q9P2U7-F1-model_v4,Q9P2U7,Q9P2U7-F1,35.03,4.152,26.341,0.124,0.998,3,80.2484445467096
AF-Q9UBJ2-F1-model_v4,Q9UBJ2,Q9UBJ2-F1,39.882,3.706,24.556,0.306,0.998,2,81.377867760123
AF-Q9UI17-F1-model_v4,Q9UI17,Q9UI17-F1,32.75,3.75,35.346,0.436,0.998,3,95.1660140576951
AF-Q9Y2E8-F1-model_v4,Q9Y2E8,Q9Y2E8-F1,67.304,4.261,22.415,0.101,0.998,2,75.7560021691974
AF-Q9Y4A9-F1-model_v4,Q9Y4A9,Q9Y4A9-F1,30.702,4.17,35.344,0.054,0.998,1,87.6682248281439
AF-Q9Y6L6-F1-model_v4,Q9Y6L6,Q9Y6L6-F1,50.176,4.529,24.998,0.246,0.998,2,80.8120714684534
AF-A6NFE2-F1-model_v4,A6NFE2,A6NFE2-F1,39.824,4.882,25.024,0.184,0.997,1,59.1900217312568
AF-A6NML5-F1-model_v4,A6NML5,A6NML5-F1,37.414,4.586,27.04,0.301,0.997,1,73.2038349834984
AF-M0QZD8-F5-model_v4,M0QZD8,M0QZD8-F5,39.79,3.903,48.598,0.205,0.997,4,74.6754912603496
AF-M0QZD8-F7-model_v4,M0QZD8,M0QZD8-F7,49.429,3.833,25.912,0.155,0.997,11,69.7965248032217
AF-P00156-F1-model_v4,P00156,P00156-F1,65.333,5.03,23.154,0.114,0.997,3,97.7663567174057
AF-P21817-F19-model_v4,P21817,P21817-F19,82.438,5.312,26.201,0.226,0.997,3,75.5543385568513
AF-P27338-F1-model_v4,P27338,P27338-F1,33.143,3.714,24.983,0.342,0.997,1,95.702839864538
AF-P29017-F1-model_v4,P29017,P29017-F1,53.696,4.232,34.946,0.113,0.997,1,88.659148217636
AF-P43304-F1-model_v4,P43304,P43304-F1,26.882,4.035,53.511,0.089,0.997,2,86.0993910594861
AF-P45844-F1-model_v4,P45844,P45844-F1,57.875,4.312,25.463,0.08,0.997,1,81.6895963025844
AF-P51798-F1-model_v4,P51798,P51798-F1,32.789,4.421,26.457,0.216,0.997,1,80.9691204221973
AF-Q02224-F6-model_v4,Q02224,Q02224-F6,28,4.583,34.302,0.135,0.997,5,72.5524854202401
AF-Q5NUL3-F1-model_v4,Q5NUL3,Q5NUL3-F1,51.444,4.822,28.459,0.375,0.997,2,79.4405043782837
AF-Q5T4S7-F18-model_v4,Q5T4S7,Q5T4S7-F18,29.105,4.263,23.11,0.183,0.997,2,82.3662988008295
AF-Q6NT55-F1-model_v4,Q6NT55,Q6NT55-F1,44.521,4.479,38.788,0.411,0.997,1,93.3332569857994
AF-Q6P093-F1-model_v4,Q6P093,Q6P093-F1,43.262,3.786,24.419,0.162,0.997,1,95.6402279026794
AF-Q7Z3F1-F1-model_v4,Q7Z3F1,Q7Z3F1-F1,46.703,4.189,43.498,0.155,0.997,5,73.3567609555914
AF-Q7Z7B1-F1-model_v4,Q7Z7B1,Q7Z7B1-F1,45.966,4.31,29.118,0.093,0.997,2,86.8716521305756
AF-Q86UA1-F1-model_v4,Q86UA1,Q86UA1-F1,28.205,4.667,37.572,0.098,0.997,1,82.597593061077
AF-Q8IY49-F1-model_v4,Q8IY49,Q8IY49-F1,63.968,4.613,21.909,0.126,0.997,1,86.4841365280289
AF-Q8N5S9-F1-model_v4,Q8N5S9,Q8N5S9-F1,28.982,3.965,33.887,0.032,0.997,1,72.3312312006118
AF-Q92504-F1-model_v4,Q92504,Q92504-F1,56.634,4.146,38.425,0.117,0.997,1,66.2056494787264
AF-Q92508-F1-model_v4,Q92508,Q92508-F1,79.826,4.87,21.327,0.36,0.997,5,74.1268835277833
AF-Q96GS6-F1-model_v4,Q96GS6,Q96GS6-F1,51.303,3.939,31.847,0.127,0.997,1,90.0161313258051
AF-Q96HR9-F1-model_v4,Q96HR9,Q96HR9-F1,56.12,4.32,28.987,0.085,0.997,1,72.3751903323263
AF-Q96IV6-F1-model_v4,Q96IV6,Q96IV6-F1,35.706,3.794,22.758,0.527,0.997,3,93.0691503976862
AF-Q96LT4-F1-model_v4,Q96LT4,Q96LT4-F1,47.209,4.419,30.118,0.165,0.997,3,79.5338025271819
AF-Q96RI8-F1-model_v4,Q96RI8,Q96RI8-F1,49.871,4.065,34.383,0.114,0.997,3,90.9324278312361
AF-Q9BYV6-F1-model_v4,Q9BYV6,Q9BYV6-F1,70.211,4.421,27.266,0.325,0.997,2,69.5005339003071
AF-Q9H013-F1-model_v4,Q9H013,Q9H013-F1,26.568,4.273,30.764,0.198,0.997,1,70.0640242738306
AF-Q9HB14-F1-model_v4,Q9HB14,Q9HB14-F1,39.194,4.139,23.213,0.169,0.997,1,74.9018863779033
AF-Q9NXK6-F1-model_v4,Q9NXK6,Q9NXK6-F1,15.745,4.106,26.568,0.08,0.997,1,92.4435868754661
AF-Q9NXN4-F1-model_v4,Q9NXN4,Q9NXN4-F1,50.279,4.605,31.298,0.21,0.997,1,83.1432686002522
AF-Q9UBU6-F1-model_v4,Q9UBU6,Q9UBU6-F1,45.185,4.741,29.981,0.043,0.997,1,60.0733536977492
AF-Q9UHJ9-F1-model_v4,Q9UHJ9,Q9UHJ9-F1,51.868,4.526,24.595,0.039,0.997,1,90.2377097396336
AF-Q9Y6A2-F1-model_v4,Q9Y6A2,Q9Y6A2-F1,37.197,4.348,43.275,0.344,0.997,1,94.9295051237191
AF-A0JNW5-F1-model_v4,A0JNW5,A0JNW5-F1,50.167,4.042,21.012,0.127,0.996,1,67.7696321041215
AF-A2A3N6-F1-model_v4,A2A3N6,A2A3N6-F1,26.725,4.275,33.713,0.068,0.996,3,67.4374505395683
AF-A5PLL7-F1-model_v4,A5PLL7,A5PLL7-F1,30.658,3.895,25.059,0.07,0.996,1,91.0462658802178
AF-A8MYU2-F1-model_v4,A8MYU2,A8MYU2-F1,43.065,4.129,25.083,0.157,0.996,3,74.5034605263158
AF-O00204-F1-model_v4,O00204,O00204-F1,36.766,4.638,33.827,0.599,0.996,1,87.7219032921811
AF-O14569-F1-model_v4,O14569,O14569-F1,45.967,4.067,21.458,0.027,0.996,1,93.6279763313609
AF-O43448-F1-model_v4,O43448,O43448-F1,18,4.357,26.069,0.402,0.996,1,84.8863633398565
AF-O60287-F1-model_v4,O60287,O60287-F1,36.444,3.778,32.752,0.109,0.996,2,75.8249572410709
AF-P0C7X4-F1-model_v4,P0C7X4,P0C7X4-F1,48.514,4.229,27.597,0.082,0.996,1,77.529736346516
AF-P10632-F1-model_v4,P10632,P10632-F1,27.75,4.021,43.443,0.134,0.996,2,92.4061477707006
AF-P11279-F1-model_v4,P11279,P11279-F1,62.5,3.875,23.021,0.157,0.996,1,86.8065999364474
AF-P34903-F1-model_v4,P34903,P34903-F1,60.581,4.651,44.921,-0.016,0.996,1,77.5765834834062
AF-P35372-F1-model_v4,P35372,P35372-F1,52.121,4.636,23.108,0.132,0.996,1,76.4789671660822
AF-P35408-F1-model_v4,P35408,P35408-F1,32.132,3.711,24.165,0.069,0.996,1,71.0931687684465
AF-P36021-F1-model_v4,P36021,P36021-F1,45.884,4.209,31.63,0.056,0.996,2,80.0514439140811
AF-P48380-F1-model_v4,P48380,P48380-F1,54.621,5,27.415,0.267,0.996,1,67.8685716723549
AF-P56937-F1-model_v4,P56937,P56937-F1,37.917,3.783,34.502,0.196,0.996,1,90.4883364346855
AF-Q02161-F1-model_v4,Q02161,Q02161-F1,40.545,4.485,26.565,0.088,0.996,1,85.0331942265453
AF-Q12982-F1-model_v4,Q12982,Q12982-F1,79.033,5.167,22.183,0.084,0.996,1,72.3363324121595
AF-Q13936-F1-model_v4,Q13936,Q13936-F1,79.296,4.63,25.892,0.114,0.996,6,62.4090796005706
AF-Q32M45-F1-model_v4,Q32M45,Q32M45-F1,63.848,5,28.1,0.086,0.996,2,79.5631782354437
AF-Q3SXM5-F1-model_v4,Q3SXM5,Q3SXM5-F1,37.658,4.026,24.731,0.086,0.996,1,92.080199157411
AF-Q49AJ0-F1-model_v4,Q49AJ0,Q49AJ0-F1,42.933,4.156,29.996,0.073,0.996,2,61.7572405918889
AF-Q5CZC0-F20-model_v4,Q5CZC0,Q5CZC0-F20,44.522,4.304,24.098,0.227,0.996,1,61.8607235902927
AF-Q5VST9-F23-model_v4,Q5VST9,Q5VST9-F23,55.594,4.281,30.596,0.11,0.996,1,62.1399981287425
AF-Q63HN8-F13-model_v4,Q63HN8,Q63HN8-F13,42.469,4.188,24.902,0.222,0.996,1,80.5239026136771
AF-Q685J3-F1-model_v4,Q685J3,Q685J3-F1,9.267,3.467,21.526,0.162,0.996,6,51.8669174632542
AF-Q685J3-F7-model_v4,Q685J3,Q685J3-F7,22.4,2.888,41.208,0.253,0.996,7,51.4707361010457
AF-Q7Z465-F1-model_v4,Q7Z465,Q7Z465-F1,56,5.054,29.545,0.19,0.996,1,68.6518282647585
AF-Q86UQ4-F6-model_v4,Q86UQ4,Q86UQ4-F6,87.118,5.176,20.779,0.176,0.996,11,50.9450305553095
AF-Q8IUH5-F1-model_v4,Q8IUH5,Q8IUH5-F1,58.074,4.889,22.769,0.086,0.996,1,87.6073187414501
AF-Q8N612-F1-model_v4,Q8N612,Q8N612-F1,40.429,4.714,22.346,0.165,0.996,2,69.4889122240172
AF-Q8NB78-F1-model_v4,Q8NB78,Q8NB78-F1,33.109,3.957,28.171,0.366,0.996,3,91.7471459459459
AF-Q8NFN8-F1-model_v4,Q8NFN8,Q8NFN8-F1,63.467,4.067,22.541,0.134,0.996,1,55.6466282789507
AF-Q8NG84-F1-model_v4,Q8NG84,Q8NG84-F1,51.571,4.429,21.453,0.114,0.996,1,86.1556965361446
AF-Q8TDS5-F1-model_v4,Q8TDS5,Q8TDS5-F1,55.696,3.87,20.491,0.434,0.996,2,77.3128686493185
AF-Q92959-F1-model_v4,Q92959,Q92959-F1,46.104,4.188,32.743,0.071,0.996,1,82.0247409063198
AF-Q96DZ9-F1-model_v4,Q96DZ9,Q96DZ9-F1,62.97,3.848,25.429,0.089,0.996,2,59.4065923384791
AF-Q99570-F1-model_v4,Q99570,Q99570-F1,47.357,4.607,29.556,0.108,0.996,1,78.1643102487932
AF-Q9BVR0-F1-model_v4,Q9BVR0,Q9BVR0-F1,47,5,25.51,0.175,0.996,2,68.903578935723
AF-Q9H6R6-F1-model_v4,Q9H6R6,Q9H6R6-F1,51.867,3.733,23.598,0.155,0.996,1,86.6833572281959
AF-Q9HAW9-F1-model_v4,Q9HAW9,Q9HAW9-F1,40.919,4.29,31.012,0.103,0.996,1,91.4403761904762
AF-Q9HAY6-F1-model_v4,Q9HAY6,Q9HAY6-F1,45.41,4.564,22.8,0.446,0.996,1,90.7772052500566
