"","gene_id","gene_name","unstranded_1"
"196","ENSG00000007944.15","MYLIP",9819
"197","ENSG00000007952.18","NOX1",85
"198","ENSG00000007968.7","E2F2",2316
"199","ENSG00000008018.9","PSMB1",9738
"200","ENSG00000008056.14","SYN1",763
"201","ENSG00000008083.14","JARID2",6265
"202","ENSG00000008086.13","CDKL5",1614
"203","ENSG00000008118.10","CAMK1G",59
"204","ENSG00000008128.23","CDK11A",77
"205","ENSG00000008130.15","NADK",4758
"206","ENSG00000008196.13","TFAP2B",2
"207","ENSG00000008197.5","TFAP2D",1
"208","ENSG00000008226.20","DLEC1",458
"209","ENSG00000008256.16","CYTH3",2782
"210","ENSG00000008277.14","ADAM22",613
"211","ENSG00000008282.9","SYPL1",10531
"212","ENSG00000008283.16","CYB561",7909
"213","ENSG00000008294.21","SPAG9",5698
"214","ENSG00000008300.17","CELSR3",1249
"215","ENSG00000008311.15","AASS",169
"216","ENSG00000008323.15","PLEKHG6",952
"217","ENSG00000008324.12","SS18L2",1669
"218","ENSG00000008382.16","MPND",634
"219","ENSG00000008394.13","MGST1",207
"220","ENSG00000008405.12","CRY1",1974
"221","ENSG00000008438.5","PGLYRP1",8
"222","ENSG00000008441.18","NFIX",5407
"223","ENSG00000008513.16","ST3GAL1",11544
"224","ENSG00000008516.17","MMP25",187
"225","ENSG00000008517.18","IL32",7441
"226","ENSG00000008710.20","PKD1",6249
"227","ENSG00000008735.14","MAPK8IP2",52
"228","ENSG00000008838.20","MED24",7453
"229","ENSG00000008853.17","RHOBTB2",1293
"230","ENSG00000008869.12","HEATR5B",4235
"231","ENSG00000008952.17","SEC62",24440
"232","ENSG00000008988.11","RPS20",56249
"233","ENSG00000009307.16","CSDE1",55290
"234","ENSG00000009335.18","UBE3C",7819
"235","ENSG00000009413.16","REV3L",2494
"236","ENSG00000009694.13","TENM1",656
"237","ENSG00000009709.12","PAX7",1
"238","ENSG00000009724.17","MASP2",43
"239","ENSG00000009765.15","IYD",1
"240","ENSG00000009780.16","FAM76A",1983
"241","ENSG00000009790.15","TRAF3IP3",44
"242","ENSG00000009830.12","POMT2",2074
"243","ENSG00000009844.16","VTA1",5058
"244","ENSG00000009950.16","MLXIPL",459
"245","ENSG00000009954.11","BAZ1B",15779
"246","ENSG00000010017.13","RANBP9",8880
"247","ENSG00000010030.14","ETV7",111
"248","ENSG00000010072.16","SPRTN",1660
"249","ENSG00000010165.20","EEF1AKNMT",3007
"250","ENSG00000010219.13","DYRK4",419
"251","ENSG00000010244.19","ZNF207",6653
"252","ENSG00000010256.11","UQCRC1",22223
"253","ENSG00000010270.14","STARD3NL",4622
"254","ENSG00000010278.15","CD9",9442
"255","ENSG00000010282.15","HHATL",1
"256","ENSG00000010292.13","NCAPD2",20505
"257","ENSG00000010295.20","IFFO1",178
"258","ENSG00000010310.9","GIPR",42
"259","ENSG00000010318.21","PHF7",377
"260","ENSG00000010319.7","SEMA3G",1092
"261","ENSG00000010322.16","NISCH",9511
"262","ENSG00000010327.10","STAB1",663
"263","ENSG00000010361.14","FUZ",1182
"264","ENSG00000010379.16","SLC6A13",1164
"265","ENSG00000010404.18","IDS",518
"266","ENSG00000010438.17","PRSS3",4
"267","ENSG00000010539.12","ZNF200",1593
"268","ENSG00000010610.10","CD4",1611
"269","ENSG00000010626.15","LRRC23",1276
"270","ENSG00000010671.16","BTK",121
"271","ENSG00000010704.18","HFE",268
"272","ENSG00000010803.16","SCMH1",3449
"273","ENSG00000010810.17","FYN",903
"274","ENSG00000010818.10","HIVEP2",14438
"275","ENSG00000010932.17","FMO1",155
"276","ENSG00000011007.12","ELOA",6585
"277","ENSG00000011009.11","LYPLA2",16697
"278","ENSG00000011021.23","CLCN6",2040
"279","ENSG00000011028.14","MRC2",3146
"280","ENSG00000011052.21","NME1-NME2",0
"281","ENSG00000011083.9","SLC6A7",7
"282","ENSG00000011105.14","TSPAN9",2456
"283","ENSG00000011114.15","BTBD7",3623
"284","ENSG00000011132.12","APBA3",1265
"285","ENSG00000011143.19","MKS1",1333
"286","ENSG00000011198.10","ABHD5",1442
"287","ENSG00000011201.12","ANOS1",414
"288","ENSG00000011243.18","AKAP8L",1926
"289","ENSG00000011258.16","MBTD1",2113
"290","ENSG00000011260.14","UTP18",1762
"291","ENSG00000011275.19","RNF216",3285
"292","ENSG00000011295.16","TTC19",3524
"293","ENSG00000011304.22","PTBP1",33729
"294","ENSG00000011332.19","DPF1",545
"295","ENSG00000011347.10","SYT7",1489
"296","ENSG00000011376.12","LARS2",2075
"297","ENSG00000011405.13","PIK3C2A",3861
"298","ENSG00000011422.12","PLAUR",3301
"299","ENSG00000011426.11","ANLN",12852
"300","ENSG00000011451.21","WIZ",8735
"301","ENSG00000011454.18","RABGAP1",5712
"302","ENSG00000011465.18","DCN",8297
"303","ENSG00000011478.13","QPCTL",2062
"304","ENSG00000011485.15","PPP5C",8274
"305","ENSG00000011523.14","CEP68",2228
"306","ENSG00000011566.15","MAP4K3",4535
"307","ENSG00000011590.14","ZBTB32",35
"308","ENSG00000011600.12","TYROBP",1654
"309","ENSG00000011638.11","TMEM159",113
"310","ENSG00000011677.13","GABRA3",169
"311","ENSG00000012048.23","BRCA1",2437
"312","ENSG00000012061.16","ERCC1",3153
"313","ENSG00000012124.17","CD22",113
"314","ENSG00000012171.20","SEMA3B",2091
"315","ENSG00000012174.12","MBTPS2",1503
"316","ENSG00000012211.13","PRICKLE3",4208
"317","ENSG00000012223.13","LTF",119
"318","ENSG00000012232.9","EXTL3",5535
"319","ENSG00000012504.15","NR1H4",2
"320","ENSG00000012660.14","ELOVL5",6757
"321","ENSG00000012779.11","ALOX5",530
"322","ENSG00000012817.16","KDM5D",0
"323","ENSG00000012822.16","CALCOCO1",3712
"324","ENSG00000012963.15","UBR7",4962
"325","ENSG00000012983.11","MAP4K5",2536
"326","ENSG00000013016.16","EHD3",1508
"327","ENSG00000013275.8","PSMC4",6184
"328","ENSG00000013288.9","MAN2B2",1748
"329","ENSG00000013293.6","SLC7A14",4
"330","ENSG00000013297.12","CLDN11",215
"331","ENSG00000013306.16","SLC25A39",19302
"332","ENSG00000013364.19","MVP",3579
"333","ENSG00000013374.16","NUB1",3992
"334","ENSG00000013375.16","PGM3",2464
"335","ENSG00000013392.8","RWDD2A",522
"336","ENSG00000013441.16","CLK1",7331
"337","ENSG00000013503.10","POLR3B",1193
"338","ENSG00000013523.11","ANGEL1",2563
"339","ENSG00000013561.18","RNF14",1543
"340","ENSG00000013563.14","DNASE1L1",993
"341","ENSG00000013573.17","DDX11",1938
"342","ENSG00000013583.10","HEBP1",2315
"343","ENSG00000013588.9","GPRC5A",6035
"344","ENSG00000013619.14","MAMLD1",669
"345","ENSG00000013725.14","CD6",378
"346","ENSG00000013810.20","TACC3",9205
"347","ENSG00000014123.10","UFL1",2195
"348","ENSG00000014138.9","POLA2",770
"349","ENSG00000014164.7","ZC3H3",10168
"350","ENSG00000014216.16","CAPN1",20686
"351","ENSG00000014257.16","ACP3",11
"352","ENSG00000014641.21","MDH1",10212
"353","ENSG00000014824.14","SLC30A9",12652
"354","ENSG00000014914.21","MTMR11",342
"355","ENSG00000014919.13","COX15",2172
"356","ENSG00000015133.19","CCDC88C",6288
"357","ENSG00000015153.15","YAF2",1095
"358","ENSG00000015171.20","ZMYND11",10178
"359","ENSG00000015285.11","WAS",429
"360","ENSG00000015413.9","DPEP1",46
"361","ENSG00000015475.19","BID",2707
"362","ENSG00000015479.20","MATR3",153
"363","ENSG00000015520.15","NPC1L1",36
"364","ENSG00000015532.10","XYLT2",2435
"365","ENSG00000015568.13","RGPD5",13
"366","ENSG00000015592.16","STMN4",5
"367","ENSG00000015676.18","NUDCD3",9604
"368","ENSG00000016082.15","ISL1",18
"369","ENSG00000016391.11","CHDH",70
"370","ENSG00000016402.13","IL20RA",24
"371","ENSG00000016490.16","CLCA1",1
"372","ENSG00000016602.9","CLCA4",1
"373","ENSG00000016864.18","GLT8D1",3628
"374","ENSG00000017260.20","ATP2C1",7931
"375","ENSG00000017427.17","IGF1",17
"376","ENSG00000017483.15","SLC38A5",689
"377","ENSG00000017797.13","RALBP1",10616
"378","ENSG00000018189.13","RUFY3",5686
"379","ENSG00000018236.15","CNTN1",12
"380","ENSG00000018280.17","SLC11A1",1209
"381","ENSG00000018408.15","WWTR1",4811
"382","ENSG00000018510.17","AGPS",3999
"383","ENSG00000018607.7","ZNF806",2
"384","ENSG00000018610.15","CXorf56",2511
"385","ENSG00000018625.15","ATP1A2",40
"386","ENSG00000018699.13","TTC27",2799
"387","ENSG00000018869.17","ZNF582",66
"388","ENSG00000019102.12","VSIG2",502
"389","ENSG00000019144.19","PHLDB1",6586
"390","ENSG00000019169.10","MARCO",271
"391","ENSG00000019186.10","CYP24A1",2
"392","ENSG00000019485.13","PRDM11",1336
"393","ENSG00000019505.8","SYT13",4537
"394","ENSG00000019549.13","SNAI2",138
"395","ENSG00000019582.15","CD74",36669
"396","ENSG00000019991.18","HGF",83
"397","ENSG00000019995.6","ZRANB1",1846
"398","ENSG00000020129.16","NCDN",5084
"399","ENSG00000020181.18","ADGRA2",526
"400","ENSG00000020219.9","CCT8L1P",3
"401","ENSG00000020256.20","ZFP64",3018
"402","ENSG00000020426.11","MNAT1",1070
"403","ENSG00000020577.14","SAMD4A",1505
"404","ENSG00000020633.19","RUNX3",237
"405","ENSG00000020922.13","MRE11",2969
"406","ENSG00000021300.14","PLEKHB1",1380
"407","ENSG00000021355.13","SERPINB1",2528
"408","ENSG00000021461.17","CYP3A43",9
"409","ENSG00000021488.13","SLC7A9",30
"410","ENSG00000021574.13","SPAST",7215
"411","ENSG00000021645.20","NRXN3",182
"412","ENSG00000021762.20","OSBPL5",294
"413","ENSG00000021776.11","AQR",6337
"414","ENSG00000021826.17","CPS1",85
"415","ENSG00000021852.13","C8B",0
"416","ENSG00000022267.19","FHL1",237
"417","ENSG00000022277.13","RTF2",9513
"418","ENSG00000022355.18","GABRA1",0
"419","ENSG00000022556.16","NLRP2",2684
"420","ENSG00000022567.10","SLC45A4",5884
"421","ENSG00000022840.16","RNF10",13323
"422","ENSG00000022976.15","ZNF839",630
"423","ENSG00000023041.11","ZDHHC6",3487
"424","ENSG00000023171.18","GRAMD1B",150
"425","ENSG00000023191.17","RNH1",6855
"426","ENSG00000023228.14","NDUFS1",14443
"427","ENSG00000023287.13","RB1CC1",7408
"428","ENSG00000023318.8","ERP44",4527
"429","ENSG00000023330.15","ALAS1",5529
"430","ENSG00000023445.16","BIRC3",1383
"431","ENSG00000023516.9","AKAP11",2622
"432","ENSG00000023572.10","GLRX2",2387
"433","ENSG00000023608.5","SNAPC1",862
"434","ENSG00000023697.13","DERA",1193
"435","ENSG00000023734.11","STRAP",7320
"436","ENSG00000023839.12","ABCC2",80
"437","ENSG00000023892.11","DEF6",494
"438","ENSG00000023902.14","PLEKHO1",2915
"439","ENSG00000023909.10","GCLM",2104
"440","ENSG00000024048.11","UBR2",4708
"441","ENSG00000024422.12","EHD2",1342
"442","ENSG00000024526.17","DEPDC1",2229
"443","ENSG00000024862.18","CCDC28A",1531
"444","ENSG00000025039.15","RRAGD",808
"445","ENSG00000025156.13","HSF2",1398
"446","ENSG00000025293.17","PHF20",3738
"447","ENSG00000025423.11","HSD17B6",30
"448","ENSG00000025434.19","NR1H3",1661
"449","ENSG00000025708.14","TYMP",1698
"450","ENSG00000025770.19","NCAPH2",1587
"451","ENSG00000025772.8","TOMM34",8664
"452","ENSG00000025796.14","SEC63",7340
"453","ENSG00000025800.14","KPNA6",10534
"454","ENSG00000026025.16","VIM",9789
"455","ENSG00000026036.22","RTEL1-TNFRSF6B",267
"456","ENSG00000026103.22","FAS",145
"457","ENSG00000026297.16","RNASET2",7927
"458","ENSG00000026508.20","CD44",3683
"459","ENSG00000026559.14","KCNG1",12
"460","ENSG00000026652.15","AGPAT4",649
"461","ENSG00000026751.17","SLAMF7",1163
"462","ENSG00000026950.17","BTN3A1",898
"463","ENSG00000027001.10","MIPEP",1566
"464","ENSG00000027075.15","PRKCH",877
"465","ENSG00000027644.5","INSRR",20
"466","ENSG00000027697.15","IFNGR1",1975
"467","ENSG00000027847.14","B4GALT7",1194
"468","ENSG00000027869.12","SH2D2A",671
"469","ENSG00000028116.18","VRK2",1035
"470","ENSG00000028137.19","TNFRSF1B",1275
"471","ENSG00000028203.18","VEZT",3493
"472","ENSG00000028277.21","POU2F2",996
"473","ENSG00000028310.18","BRD9",8121
"474","ENSG00000028528.15","SNX1",4551
"475","ENSG00000028839.10","TBPL1",903
"476","ENSG00000029153.14","ARNTL2",794
"477","ENSG00000029363.17","BCLAF1",11049
"478","ENSG00000029364.12","SLC39A9",5340
"479","ENSG00000029534.21","ANK1",49
"480","ENSG00000029559.7","IBSP",33
"481","ENSG00000029639.11","TFB1M",232
"482","ENSG00000029725.17","RABEP1",3220
"483","ENSG00000029993.15","HMGB3",10010
"484","ENSG00000030066.13","NUP160",6840
"485","ENSG00000030110.13","BAK1",1687
"486","ENSG00000030304.14","MUSK",9
"487","ENSG00000030419.16","IKZF2",1736
"488","ENSG00000030582.18","GRN",41716
"489","ENSG00000031003.10","FAM13B",562
"490","ENSG00000031081.11","ARHGAP31",276
"491","ENSG00000031691.7","CENPQ",792
"492","ENSG00000031698.13","SARS1",9204
"493","ENSG00000031823.14","RANBP3",3801
"494","ENSG00000032219.19","ARID4A",1927
"495","ENSG00000032389.13","EIPR1",3447
"496","ENSG00000032444.17","PNPLA6",5114
"497","ENSG00000032742.18","IFT88",920
"498","ENSG00000033011.13","ALG1",837
"499","ENSG00000033030.15","ZCCHC8",2869
"500","ENSG00000033050.9","ABCF2",2532
"501","ENSG00000033100.16","CHPF2",5322
"502","ENSG00000033122.21","LRRC7",38
"503","ENSG00000033170.17","FUT8",3973
"504","ENSG00000033178.13","UBA6",5667
"505","ENSG00000033327.13","GAB2",8582
"506","ENSG00000033627.17","ATP6V0A1",5603
"507","ENSG00000033800.14","PIAS1",4231
"508","ENSG00000033867.16","SLC4A7",3640
"509","ENSG00000034053.14","APBA2",220
"510","ENSG00000034152.19","MAP2K3",6286
"511","ENSG00000034239.11","EFCAB1",758
"512","ENSG00000034510.6","TMSB10",91049
"513","ENSG00000034533.12","ASTE1",847
"514","ENSG00000034677.13","RNF19A",6374
"515","ENSG00000034693.15","PEX3",835
"516","ENSG00000034713.8","GABARAPL2",5672
"517","ENSG00000034971.17","MYOC",196
"518","ENSG00000035115.22","SH3YL1",4279
"519","ENSG00000035141.8","FAM136A",9055
"520","ENSG00000035403.18","VCL",29442
"521","ENSG00000035499.13","DEPDC1B",4161
"522","ENSG00000035664.11","DAPK2",503
"523","ENSG00000035681.9","NSMAF",1831
"524","ENSG00000035687.10","ADSS2",5834
"525","ENSG00000035720.8","STAP1",28
"526","ENSG00000035862.12","TIMP2",3577
"527","ENSG00000035928.16","RFC1",4283
"528","ENSG00000036054.13","TBC1D23",1935
"529","ENSG00000036257.13","CUL3",7584
"530","ENSG00000036448.10","MYOM2",7
"531","ENSG00000036473.8","OTC",44
"532","ENSG00000036530.9","CYP46A1",101
"533","ENSG00000036549.13","ZZZ3",3551
"534","ENSG00000036565.15","SLC18A1",2
"535","ENSG00000036672.16","USP2",342
"536","ENSG00000036828.17","CASR",13
"537","ENSG00000037042.9","TUBG2",864
"538","ENSG00000037241.7","RPL26L1",595
"539","ENSG00000037280.16","FLT4",332
"540","ENSG00000037474.15","NSUN2",14144
"541","ENSG00000037637.11","FBXO42",4458
"542","ENSG00000037749.12","MFAP3",377
"543","ENSG00000037757.14","MRI1",1331
"544","ENSG00000037897.17","METTL1",1245
"545","ENSG00000037965.6","HOXC8",38
"546","ENSG00000038002.9","AGA",891
"547","ENSG00000038210.14","PI4K2B",1795
"548","ENSG00000038219.13","BOD1L1",4277
"549","ENSG00000038274.17","MAT2B",2045
"550","ENSG00000038295.8","TLL1",29
"551","ENSG00000038358.15","EDC4",3917
"552","ENSG00000038382.20","TRIO",16968
"553","ENSG00000038427.16","VCAN",2760
"554","ENSG00000038532.16","CLEC16A",3499
"555","ENSG00000038945.15","MSR1",293
"556","ENSG00000039068.19","CDH1",14650
"557","ENSG00000039123.16","MTREX",3032
"558","ENSG00000039139.9","DNAH5",498
"559","ENSG00000039319.17","ZFYVE16",1740
"560","ENSG00000039523.20","RIPOR1",8638
"561","ENSG00000039537.14","C6",1
"562","ENSG00000039560.14","RAI14",20668
"563","ENSG00000039600.11","SOX30",43
"564","ENSG00000039650.12","PNKP",4624
"565","ENSG00000039987.7","BEST2",1
"566","ENSG00000040199.18","PHLPP2",591
"567","ENSG00000040275.17","SPDL1",843
"568","ENSG00000040341.18","STAU2",3429
"569","ENSG00000040487.13","SLC66A1",2616
"570","ENSG00000040531.16","CTNS",2469
"571","ENSG00000040608.14","RTN4R",555
"572","ENSG00000040633.13","PHF23",2430
"573","ENSG00000040731.10","CDH10",2
"574","ENSG00000040933.16","INPP4A",2911
"575","ENSG00000041353.10","RAB27B",85
"576","ENSG00000041357.16","PSMA4",10892
"577","ENSG00000041515.16","MYO16",177
"578","ENSG00000041802.11","LSG1",11991
"579","ENSG00000041880.14","PARP3",746
"580","ENSG00000041982.16","TNC",2167
"581","ENSG00000041988.15","THAP3",608
"582","ENSG00000042062.13","RIPOR3",151
"583","ENSG00000042088.14","TDP1",2377
"584","ENSG00000042286.15","AIFM2",2089
"585","ENSG00000042304.12","C2orf83",1
"586","ENSG00000042317.17","SPATA7",740
"587","ENSG00000042429.12","MED17",326
"588","ENSG00000042445.14","RETSAT",3771
"589","ENSG00000042493.16","CAPG",8010
"590","ENSG00000042753.12","AP2S1",9340
"591","ENSG00000042781.14","USH2A",14
"592","ENSG00000042813.8","ZPBP",2
"593","ENSG00000042832.12","TG",156
"594","ENSG00000042980.13","ADAM28",1171
"595","ENSG00000043039.7","BARX2",255
"596","ENSG00000043093.15","DCUN1D1",4889
"597","ENSG00000043143.20","JADE2",545
"598","ENSG00000043355.12","ZIC2",25
"599","ENSG00000043462.13","LCP2",589
"600","ENSG00000043514.17","TRIT1",2126
"601","ENSG00000043591.6","ADRB1",2
"602","ENSG00000044012.4","GUCA2B",0
"603","ENSG00000044090.10","CUL7",11843
"604","ENSG00000044115.21","CTNNA1",12796
"605","ENSG00000044446.12","PHKA2",2596
"606","ENSG00000044459.15","CNTLN",477
"607","ENSG00000044524.11","EPHA3",26
"608","ENSG00000044574.8","HSPA5",103811
"609","ENSG00000046604.13","DSG2",20220
"610","ENSG00000046647.13","GEMIN8",1337
"611","ENSG00000046651.15","OFD1",3112
"612","ENSG00000046653.15","GPM6B",1473
"613","ENSG00000046774.10","MAGEC2",369
"614","ENSG00000046889.19","PREX2",10953
"615","ENSG00000047056.16","WDR37",3131
"616","ENSG00000047188.16","YTHDC2",731
"617","ENSG00000047230.15","CTPS2",3753
"618","ENSG00000047249.18","ATP6V1H",5675
"619","ENSG00000047315.17","POLR2B",12625
"620","ENSG00000047346.12","FAM214A",1589
