"gene","p.fisher","q.fisher"
"ACBD6",NA,NA
"ACBD7",NA,NA
"ACCN1",NA,NA
"ACCN2",NA,NA
"ACCN3",NA,NA
"ACCN4",NA,NA
"ACCN5",NA,NA
"ACCS",NA,NA
"ACCSL",NA,NA
"ACD",NA,NA
"ACE",NA,NA
"ACE2",NA,NA
"ACER1",NA,NA
"ACER2",NA,NA
"ACER3",NA,NA
"ACHE",NA,NA
"ACIN1",NA,NA
"ACLY",NA,NA
"ACMSD",NA,NA
"ACN9",NA,NA
"ACO1",NA,NA
"ACO2",NA,NA
"ACOT1",NA,NA
"ACOT11",NA,NA
"ACOT12",NA,NA
"ACOT13",NA,NA
"ACOT2",NA,NA
"ACOT4",NA,NA
"ACOT6",NA,NA
"ACOT7",NA,NA
"ACOT8",NA,NA
"ACOT9",NA,NA
"ACOX1",NA,NA
"ACOX2",NA,NA
"ACOX3",NA,NA
"ACOXL",NA,NA
"ACP1",NA,NA
"ACP2",NA,NA
"ACP5",NA,NA
"ACP6",NA,NA
"ACPL2",NA,NA
"ACPP",NA,NA
"ACPT",NA,NA
"ACR",NA,NA
"ACRBP",NA,NA
"ACRC",NA,NA
"ACRV1",NA,NA
"ACSBG1",NA,NA
"ACSBG2",NA,NA
"ACSF2",NA,NA
"ACSF3",NA,NA
"ACSL1",NA,NA
"ACSL3",NA,NA
"ACSL4",NA,NA
"ACSL5",NA,NA
"ACSL6",NA,NA
"ACSM1",NA,NA
"ACSM2A",NA,NA
"ACSM2B",NA,NA
"ACSM3",NA,NA
"ACSM4",NA,NA
"ACSM5",NA,NA
"ACSS1",NA,NA
"ACSS2",NA,NA
"ACSS3",NA,NA
"ACTA1",NA,NA
"ACTA2",NA,NA
"ACTB",NA,NA
"ACTBL2",NA,NA
"ACTC1",NA,NA
"ACTG1",NA,NA
"ACTG2",NA,NA
"ACTL6A",NA,NA
"ACTL6B",NA,NA
"ACTL7A",NA,NA
"ACTL7B",NA,NA
"ACTL8",NA,NA
"ACTL9",NA,NA
"ACTN1",NA,NA
"ACTN2",NA,NA
"ACTN3",NA,NA
"ACTN4",NA,NA
"ACTR10",NA,NA
"ACTR1A",NA,NA
"ACTR1B",NA,NA
"ACTR2",NA,NA
"ACTR3",NA,NA
"ACTR3B",NA,NA
"ACTR3C",NA,NA
"ACTR5",NA,NA
"ACTR6",NA,NA
"ACTR8",NA,NA
"ACTRT1",NA,NA
"ACTRT2",NA,NA
"ACVR1",NA,NA
"ACVR1B",NA,NA
"ACVR1C",NA,NA
"ACVR2A",NA,NA
"ACVR2B",NA,NA
"ACVRL1",NA,NA
"ACY1",NA,NA
"ACY3",NA,NA
"ACYP1",NA,NA
"ACYP2",NA,NA
"ADA",NA,NA
"ADAD1",NA,NA
"ADAD2",NA,NA
"ADAL",NA,NA
"ADAM10",NA,NA
"ADAM11",NA,NA
"ADAM12",NA,NA
"ADAM15",NA,NA
"ADAM17",NA,NA
"ADAM18",NA,NA
"ADAM19",NA,NA
"ADAM2",NA,NA
"ADAM20",NA,NA
"ADAM21",NA,NA
"ADAM22",NA,NA
"ADAM23",NA,NA
"ADAM28",NA,NA
"ADAM29",NA,NA
"ADAM30",NA,NA
"ADAM32",NA,NA
"ADAM33",NA,NA
"ADAM7",NA,NA
"ADAM8",NA,NA
"ADAM9",NA,NA
"ADAMDEC1",NA,NA
"ADAMTS1",NA,NA
"ADAMTS10",NA,NA
"ADAMTS12",NA,NA
"ADAMTS13",NA,NA
"ADAMTS14",NA,NA
"ADAMTS15",NA,NA
"ADAMTS16",NA,NA
"ADAMTS17",NA,NA
"ADAMTS18",NA,NA
"ADAMTS19",NA,NA
"ADAMTS2",NA,NA
"ADAMTS20",NA,NA
"ADAMTS3",NA,NA
"ADAMTS4",NA,NA
"ADAMTS5",NA,NA
"ADAMTS6",NA,NA
"ADAMTS7",NA,NA
"ADAMTS8",NA,NA
"ADAMTS9",NA,NA
"ADAMTSL1",NA,NA
"ADAMTSL2",NA,NA
"ADAMTSL3",NA,NA
"ADAMTSL4",NA,NA
"ADAMTSL5",NA,NA
"ADAP1",NA,NA
"ADAP2",NA,NA
"ADAR",NA,NA
"ADARB1",NA,NA
"ADARB2",NA,NA
"ADAT1",NA,NA
"ADAT2",NA,NA
"ADAT3",NA,NA
"ADC",NA,NA
"ADCK1",NA,NA
"ADCK2",NA,NA
"ADCK4",NA,NA
"ADCK5",NA,NA
"ADCY1",NA,NA
"ADCY10",NA,NA
"ADCY2",NA,NA
"ADCY3",NA,NA
"ADCY4",NA,NA
"ADCY5",NA,NA
"ADCY6",NA,NA
"ADCY7",NA,NA
"ADCY8",NA,NA
"ADCY9",NA,NA
"ADCYAP1",NA,NA
"ADCYAP1R1",NA,NA
"ADD1",NA,NA
"ADD2",NA,NA
"ADD3",NA,NA
"ADH1A",NA,NA
"ADH1B",NA,NA
"ADH1C",NA,NA
"ADH4",NA,NA
"ADH5",NA,NA
"ADH6",NA,NA
"ADH7",NA,NA
"ADHFE1",NA,NA
"ADI1",NA,NA
"ADIG",NA,NA
"ADIPOQ",NA,NA
"ADIPOR1",NA,NA
"ADIPOR2",NA,NA
"ADK",NA,NA
"ADM",NA,NA
"ADM2",NA,NA
"ADNP",NA,NA
"ADNP2",NA,NA
"ADO",NA,NA
"ADORA1",NA,NA
"ADORA2A",NA,NA
"ADORA2B",NA,NA
"ADORA3",NA,NA
"ADPGK",NA,NA
"ADPRH",NA,NA
"ADPRHL1",NA,NA
"ADPRHL2",NA,NA
"ADRA1A",NA,NA
"ADRA1B",NA,NA
"ADRA1D",NA,NA
"ADRA2A",NA,NA
"ADRA2B",NA,NA
"ADRA2C",NA,NA
"ADRB1",NA,NA
"ADRB2",NA,NA
"ADRB3",NA,NA
"ADRBK1",NA,NA
"ADRBK2",NA,NA
"ADRM1",NA,NA
"ADSL",NA,NA
"ADSS",NA,NA
"ADSSL1",NA,NA
"AEBP1",NA,NA
"AEBP2",NA,NA
"AEN",NA,NA
"AES",NA,NA
"AFAP1",NA,NA
"AFAP1L1",NA,NA
"AFAP1L2",NA,NA
"AFF1",NA,NA
"AFF2",NA,NA
"AFF3",NA,NA
"AFF4",NA,NA
"AFG3L2",NA,NA
"AFM",NA,NA
"AFMID",NA,NA
"AFP",NA,NA
"AFTPH",NA,NA
"AG2",NA,NA
"AGA",NA,NA
"AGAP1",NA,NA
"AGAP11",NA,NA
"AGAP2",NA,NA
"AGAP3",NA,NA
"AGAP4",NA,NA
"AGAP5",NA,NA
"AGAP6",NA,NA
"AGAP7",NA,NA
"AGAP8",NA,NA
"AGBL1",NA,NA
"AGBL2",NA,NA
"AGBL3",NA,NA
"AGBL4",NA,NA
"AGBL5",NA,NA
"AGER",NA,NA
"AGFG1",NA,NA
"AGFG2",NA,NA
"AGGF1",NA,NA
"AGK",NA,NA
"AGL",NA,NA
"AGMAT",NA,NA
"AGPAT1",NA,NA
"AGPAT2",NA,NA
"AGPAT3",NA,NA
"AGPAT4",NA,NA
"AGPAT5",NA,NA
"AGPAT6",NA,NA
"AGPAT9",NA,NA
"AGPHD1",NA,NA
"AGPS",NA,NA
"AGR2",NA,NA
"AGR3",NA,NA
"AGRN",NA,NA
"AGRP",NA,NA
"AGT",NA,NA
"AGTPBP1",NA,NA
"AGTR1",NA,NA
"AGTR2",NA,NA
"AGTRAP",NA,NA
"AGXT",NA,NA
"AGXT2",NA,NA
"AGXT2L1",NA,NA
"AGXT2L2",NA,NA
"AHCTF1",NA,NA
"AHCY",NA,NA
"AHCYL1",NA,NA
"AHCYL2",NA,NA
"AHDC1",NA,NA
"AHI1",NA,NA
"AHNAK",NA,NA
"AHNAK2",NA,NA
"AHR",NA,NA
"AHRR",NA,NA
"AHSA1",NA,NA
"AHSA2",NA,NA
"AHSG",NA,NA
"AHSP",NA,NA
"AICDA",NA,NA
"AIDA",NA,NA
"AIF1",NA,NA
"AIF1L",NA,NA
"AIFM1",NA,NA
"AIFM2",NA,NA
"AIFM3",NA,NA
"AIG1",NA,NA
"AIM1",NA,NA
"AIM1L",NA,NA
"AIM2",NA,NA
"AIMP1",NA,NA
"AIMP2",NA,NA
"AIP",NA,NA
"AIPL1",NA,NA
"AIRE",NA,NA
"AJAP1",NA,NA
"AK1",NA,NA
"AK2",NA,NA
"AK3",NA,NA
"AK3L1",NA,NA
"AK5",NA,NA
"AK7",NA,NA
"AKAP1",NA,NA
"AKAP10",NA,NA
"AKAP11",NA,NA
"AKAP12",NA,NA
"AKAP13",NA,NA
"AKAP14",NA,NA
"AKAP2",NA,NA
"AKAP3",NA,NA
"AKAP4",NA,NA
"AKAP5",NA,NA
"AKAP6",NA,NA
"AKAP7",NA,NA
"AKAP8",NA,NA
"AKAP8L",NA,NA
"AKAP9",NA,NA
"AKD1",NA,NA
"AKIRIN1",NA,NA
"AKIRIN2",NA,NA
"AKNA",NA,NA
"AKNAD1",NA,NA
"AKR1A1",NA,NA
"AKR1B1",NA,NA
"AKR1B10",NA,NA
"AKR1B15",NA,NA
"AKR1C1",NA,NA
"AKR1C2",NA,NA
"AKR1C3",NA,NA
"AKR1C4",NA,NA
"AKR1D1",NA,NA
"AKR1E2",NA,NA
"AKR7A2",NA,NA
"AKR7A3",NA,NA
"AKR7L",NA,NA
"AKT1S1",NA,NA
"AKT2",NA,NA
"AKT3",NA,NA
"AKTIP",NA,NA
"ALAD",NA,NA
"ALAS1",NA,NA
"ALAS2",NA,NA
"ALB",NA,NA
"ALCAM",NA,NA
"ALDH16A1",NA,NA
"ALDH18A1",NA,NA
"ALDH1A1",NA,NA
"ALDH1A2",NA,NA
"ALDH1A3",NA,NA
"ALDH1B1",NA,NA
"ALDH1L1",NA,NA
"ALDH1L2",NA,NA
"ALDH2",NA,NA
"ALDH3A1",NA,NA
"ALDH3A2",NA,NA
"ALDH3B1",NA,NA
"ALDH3B2",NA,NA
"ALDH4A1",NA,NA
"ALDH5A1",NA,NA
"ALDH6A1",NA,NA
"ALDH7A1",NA,NA
"ALDH8A1",NA,NA
"ALDH9A1",NA,NA
"ALDOA",NA,NA
"ALDOB",NA,NA
"ALDOC",NA,NA
"ALG1",NA,NA
"ALG10",NA,NA
"ALG10B",NA,NA
"ALG11",NA,NA
"ALG12",NA,NA
"ALG13",NA,NA
"ALG14",NA,NA
"ALG1L",NA,NA
"ALG1L2",NA,NA
"ALG2",NA,NA
"ALG3",NA,NA
"ALG5",NA,NA
"ALG6",NA,NA
"ALG8",NA,NA
"ALG9",NA,NA
"ALK",NA,NA
"ALKBH1",NA,NA
"ALKBH2",NA,NA
"ALKBH3",NA,NA
"ALKBH4",NA,NA
"ALKBH5",NA,NA
"ALKBH6",NA,NA
"ALKBH7",NA,NA
"ALKBH8",NA,NA
"ALLC",NA,NA
"ALMS1",NA,NA
"ALOX12",NA,NA
"ALOX12B",NA,NA
"ALOX15",NA,NA
"ALOX15B",NA,NA
"ALOX5",NA,NA
"ALOX5AP",NA,NA
"ALOXE3",NA,NA
"ALPI",NA,NA
"ALPK1",NA,NA
"ALPK2",NA,NA
"ALPK3",NA,NA
"ALPL",NA,NA
"ALPP",NA,NA
"ALPPL2",NA,NA
"ALS2",NA,NA
"ALS2CL",NA,NA
"ALS2CR11",NA,NA
"ALS2CR12",NA,NA
"ALS2CR4",NA,NA
"ALS2CR8",NA,NA
"ALX1",NA,NA
"ALX3",NA,NA
"ALX4",NA,NA
"AMAC1",NA,NA
"AMAC1L2",NA,NA
"AMAC1L3",NA,NA
"AMACR",NA,NA
"AMBN",NA,NA
"AMBP",NA,NA
"AMBRA1",NA,NA
"AMD1",NA,NA
"AMDHD1",NA,NA
"AMDHD2",NA,NA
"AMELX",NA,NA
"AMELY",NA,NA
"AMFR",NA,NA
"AMH",NA,NA
"AMHR2",NA,NA
"AMICA1",NA,NA
"AMIGO1",NA,NA
"AMIGO2",NA,NA
"AMIGO3",NA,NA
"AMMECR1",NA,NA
"AMMECR1L",NA,NA
"AMN",NA,NA
"AMN1",NA,NA
"AMOT",NA,NA
"AMOTL1",NA,NA
"AMOTL2",NA,NA
"AMPD1",NA,NA
"AMPD2",NA,NA
"AMPD3",NA,NA
"AMPH",NA,NA
"AMT",NA,NA
"AMTN",NA,NA
"AMY1A",NA,NA
"AMY1B",NA,NA
"AMY1C",NA,NA
"AMY2A",NA,NA
"AMY2B",NA,NA
"AMZ1",NA,NA
"AMZ2",NA,NA
"ANAPC1",NA,NA
"ANAPC10",NA,NA
"ANAPC11",NA,NA
"ANAPC13",NA,NA
"ANAPC16",NA,NA
"ANAPC2",NA,NA
"ANAPC4",NA,NA
"ANAPC5",NA,NA
"ANAPC7",NA,NA
"ANG",NA,NA
"ANGEL1",NA,NA
"ANGEL2",NA,NA
"ANGPT1",NA,NA
"ANGPT2",NA,NA
"ANGPT4",NA,NA
"ANGPTL1",NA,NA
"ANGPTL2",NA,NA
"ANGPTL3",NA,NA
"ANGPTL4",NA,NA
"ANGPTL5",NA,NA
"ANGPTL6",NA,NA
"ANGPTL7",NA,NA
"ANK1",NA,NA
"ANK2",NA,NA
"ANK3",NA,NA
"ANKAR",NA,NA
"ANKDD1A",NA,NA
"ANKFN1",NA,NA
"ANKFY1",NA,NA
"ANKH",NA,NA
"ANKHD1",NA,NA
"ANKHD1-EIF4EBP3",NA,NA
"ANKIB1",NA,NA
"ANKK1",NA,NA
"ANKLE1",NA,NA
"ANKLE2",NA,NA
"ANKMY1",NA,NA
"ANKMY2",NA,NA
"ANKRA2",NA,NA
"ANKRD1",NA,NA
"ANKRD10",NA,NA
"ANKRD11",NA,NA
"ANKRD12",NA,NA
"ANKRD13A",NA,NA
"ANKRD13B",NA,NA
"ANKRD13C",NA,NA
"ANKRD13D",NA,NA
"ANKRD16",NA,NA
"ANKRD17",NA,NA
"ANKRD18A",NA,NA
"ANKRD2",NA,NA
"ANKRD20A1",NA,NA
"ANKRD20A2",NA,NA
"ANKRD20A3",NA,NA
"ANKRD20A4",NA,NA
"ANKRD22",NA,NA
"ANKRD23",NA,NA
"ANKRD24",NA,NA
"ANKRD26",NA,NA
"ANKRD27",NA,NA
"ANKRD28",NA,NA
"ANKRD29",NA,NA
"ANKRD30A",NA,NA
"ANKRD30B",NA,NA
"ANKRD31",NA,NA
"ANKRD32",NA,NA
"ANKRD33",NA,NA
"ANKRD33B",NA,NA
"ANKRD34A",NA,NA
"ANKRD34B",NA,NA
"ANKRD34C",NA,NA
"ANKRD35",NA,NA
"ANKRD36",NA,NA
"ANKRD36B",NA,NA
"ANKRD37",NA,NA
"ANKRD39",NA,NA
"ANKRD40",NA,NA
"ANKRD42",NA,NA
"ANKRD43",NA,NA
"ANKRD44",NA,NA
"ANKRD45",NA,NA
"ANKRD46",NA,NA
"ANKRD49",NA,NA
"ANKRD5",NA,NA
"ANKRD50",NA,NA
"ANKRD52",NA,NA
"ANKRD53",NA,NA
"ANKRD54",NA,NA
"ANKRD55",NA,NA
"ANKRD56",NA,NA
"ANKRD57",NA,NA
"ANKRD58",NA,NA
"ANKRD6",NA,NA
"ANKRD7",NA,NA
"ANKRD9",NA,NA
"ANKS1A",NA,NA
"ANKS1B",NA,NA
"ANKS3",NA,NA
"ANKS4B",NA,NA
"ANKS6",NA,NA
"ANKZF1",NA,NA
"ANLN",NA,NA
"ANO1",NA,NA
"ANO10",NA,NA
"ANO2",NA,NA
"ANO3",NA,NA
"ANO4",NA,NA
"ANO5",NA,NA
"ANO6",NA,NA
"ANO7",NA,NA
"ANO8",NA,NA
"ANO9",NA,NA
"ANP32A",NA,NA
"ANP32B",NA,NA
"ANP32C",NA,NA
"ANP32D",NA,NA
"ANP32E",NA,NA
"ANPEP",NA,NA
"ANTXR1",NA,NA
"ANTXR2",NA,NA
"ANUBL1",NA,NA
"ANXA1",NA,NA
"ANXA10",NA,NA
"ANXA11",NA,NA
"ANXA13",NA,NA
"ANXA2",NA,NA
"ANXA3",NA,NA
"ANXA4",NA,NA
"ANXA5",NA,NA
"ANXA6",NA,NA
"ANXA7",NA,NA
"ANXA8",NA,NA
"ANXA8L1",NA,NA
"ANXA8L2",NA,NA
"ANXA9",NA,NA
"AOAH",NA,NA
"AOC2",NA,NA
"AOC3",NA,NA
"AOX1",NA,NA
"AP1AR",NA,NA
"AP1B1",NA,NA
"AP1G1",NA,NA
"AP1G2",NA,NA
"AP1M1",NA,NA
"AP1M2",NA,NA
"AP1S1",NA,NA
"AP1S2",NA,NA
"AP1S3",NA,NA
"AP2A1",NA,NA
"AP2A2",NA,NA
"AP2B1",NA,NA
"AP2M1",NA,NA
"AP2S1",NA,NA
"AP3B1",NA,NA
"AP3B2",NA,NA
"AP3D1",NA,NA
"AP3M1",NA,NA
"AP3M2",NA,NA
"AP3S1",NA,NA
"AP3S2",NA,NA
"AP4B1",NA,NA
"AP4E1",NA,NA
"AP4M1",NA,NA
"AP4S1",NA,NA
"APAF1",NA,NA
"APBA1",NA,NA
"APBA2",NA,NA
"APBA3",NA,NA
"APBB1",NA,NA
"APBB1IP",NA,NA
"APBB2",NA,NA
"APBB3",NA,NA
"APC",NA,NA
"APC2",NA,NA
"APCDD1",NA,NA
"APCDD1L",NA,NA
"APCS",NA,NA
"APEH",NA,NA
"APEX1",NA,NA
"APEX2",NA,NA
"APH1A",NA,NA
"APH1B",NA,NA
"API5",NA,NA
"APIP",NA,NA
"APITD1",NA,NA
"APLF",NA,NA
"APLN",NA,NA
"APLNR",NA,NA
"APLP1",NA,NA
"APLP2",NA,NA
"APOA1",NA,NA
"APOA1BP",NA,NA
"APOA2",NA,NA
"APOA4",NA,NA
"APOA5",NA,NA
"APOB",NA,NA
"APOB48R",NA,NA
"APOBEC1",NA,NA
"APOBEC2",NA,NA
"APOBEC3A",NA,NA
"APOBEC3B",NA,NA
"APOBEC3C",NA,NA
"APOBEC3D",NA,NA
"APOBEC3F",NA,NA
"APOBEC3G",NA,NA
"APOBEC3H",NA,NA
"APOBEC4",NA,NA
"APOC1",NA,NA
"APOC2",NA,NA
"APOC3",NA,NA
"APOC4",NA,NA
"APOD",NA,NA
"APOE",NA,NA
"APOF",NA,NA
"APOH",NA,NA
"APOL1",NA,NA
"APOL2",NA,NA
"APOL3",NA,NA
"APOL4",NA,NA
"APOL5",NA,NA
"APOL6",NA,NA
"APOLD1",NA,NA
"APOM",NA,NA
"APOO",NA,NA
"APOOL",NA,NA
"APP",NA,NA
"APPBP2",NA,NA
"APPL1",NA,NA
"APPL2",NA,NA
"APRT",NA,NA
"APTX",NA,NA
"AQP1",NA,NA
"AQP10",NA,NA
"AQP11",NA,NA
"AQP12A",NA,NA
"AQP12B",NA,NA
"AQP2",NA,NA
"AQP3",NA,NA
"AQP4",NA,NA
"AQP5",NA,NA
"AQP6",NA,NA
"AQP7",NA,NA
"AQP8",NA,NA
"AQP9",NA,NA
"AQPEP",NA,NA
"AQR",NA,NA
"AR",NA,NA
"ARAF",NA,NA
"ARAP1",NA,NA
"ARAP2",NA,NA
"ARAP3",NA,NA
"ARC",NA,NA
"ARCN1",NA,NA
"AREG",NA,NA
"ARF1",NA,NA
"ARF3",NA,NA
"ARF4",NA,NA
"ARF5",NA,NA
"ARF6",NA,NA
"ARFGAP1",NA,NA
"ARFGAP2",NA,NA
"ARFGAP3",NA,NA
"ARFGEF1",NA,NA
"ARFGEF2",NA,NA
"ARFIP1",NA,NA
"ARFIP2",NA,NA
"ARFRP1",NA,NA
"ARG1",NA,NA
"ARG2",NA,NA
"ARGFX",NA,NA
"ARGLU1",NA,NA
"ARHGAP1",NA,NA
"ARHGAP10",NA,NA
"ARHGAP11A",NA,NA
"ARHGAP11B",NA,NA
"ARHGAP12",NA,NA
"ARHGAP15",NA,NA
"ARHGAP17",NA,NA
"ARHGAP18",NA,NA
"ARHGAP19",NA,NA
"ARHGAP20",NA,NA
"ARHGAP21",NA,NA
"ARHGAP22",NA,NA
"ARHGAP23",NA,NA
"ARHGAP24",NA,NA
"ARHGAP25",NA,NA
"ARHGAP26",NA,NA
"ARHGAP27",NA,NA
"ARHGAP28",NA,NA
"ARHGAP29",NA,NA
"ARHGAP30",NA,NA
"ARHGAP31",NA,NA
"ARHGAP32",NA,NA
"ARHGAP33",NA,NA
"ARHGAP36",NA,NA
"ARHGAP39",NA,NA
"ARHGAP4",NA,NA
"ARHGAP40",NA,NA
"ARHGAP42",NA,NA
"ARHGAP5",NA,NA
"ARHGAP6",NA,NA
"ARHGAP8",NA,NA
"ARHGAP9",NA,NA
"ARHGDIA",NA,NA
"ARHGDIB",NA,NA
"ARHGDIG",NA,NA
"ARHGEF1",NA,NA
"ARHGEF10",NA,NA
"ARHGEF10L",NA,NA
"ARHGEF11",NA,NA
"ARHGEF12",NA,NA
"ARHGEF15",NA,NA
"ARHGEF16",NA,NA
"ARHGEF17",NA,NA
"ARHGEF18",NA,NA
"ARHGEF19",NA,NA
"ARHGEF2",NA,NA
"ARHGEF3",NA,NA
"ARHGEF33",NA,NA
"ARHGEF35",NA,NA
"ARHGEF37",NA,NA
"ARHGEF38",NA,NA
"ARHGEF4",NA,NA
"ARHGEF5",NA,NA
"ARHGEF6",NA,NA
"ARHGEF7",NA,NA
"ARHGEF9",NA,NA
"ARID1A",NA,NA
"ARID1B",NA,NA
"ARID2",NA,NA
"ARID3A",NA,NA
"ARID3B",NA,NA
"ARID3C",NA,NA
"ARID4A",NA,NA
"ARID4B",NA,NA
"ARID5A",NA,NA
"ARID5B",NA,NA
"ARIH1",NA,NA
"ARIH2",NA,NA
"ARL1",NA,NA
"ARL10",NA,NA
"ARL11",NA,NA
"ARL13A",NA,NA
"ARL13B",NA,NA
"ARL14",NA,NA
"ARL15",NA,NA
"ARL16",NA,NA
"ARL17A",NA,NA
"ARL17B",NA,NA
"ARL2",NA,NA
"ARL2BP",NA,NA
"ARL3",NA,NA
"ARL4A",NA,NA
"ARL4C",NA,NA
"ARL4D",NA,NA
"ARL5A",NA,NA
"ARL5B",NA,NA
"ARL5C",NA,NA
"ARL6",NA,NA
"ARL6IP1",NA,NA
"ARL6IP4",NA,NA
"ARL6IP5",NA,NA
"ARL6IP6",NA,NA
"ARL8A",NA,NA
"ARL8B",NA,NA
"ARL9",NA,NA
"ARMC1",NA,NA
"ARMC10",NA,NA
"ARMC2",NA,NA
"ARMC3",NA,NA
"ARMC4",NA,NA
"ARMC5",NA,NA
"ARMC6",NA,NA
"ARMC7",NA,NA
"ARMC8",NA,NA
"ARMC9",NA,NA
"ARMCX1",NA,NA
"ARMCX2",NA,NA
"ARMCX3",NA,NA
"ARMCX5",NA,NA
"ARMCX6",NA,NA
"ARMS2",NA,NA
"ARNT",NA,NA
"ARNT2",NA,NA
"ARNTL",NA,NA
"ARNTL2",NA,NA
"ARPC1A",NA,NA
"ARPC1B",NA,NA
"ARPC2",NA,NA
"ARPC3",NA,NA
"ARPC4",NA,NA
"ARPC5",NA,NA
"ARPC5L",NA,NA
"ARPM1",NA,NA
"ARPP19",NA,NA
"ARPP21",NA,NA
"ARR3",NA,NA
"ARRB1",NA,NA
"ARRB2",NA,NA
"ARRDC1",NA,NA
"ARRDC2",NA,NA
"ARRDC3",NA,NA
"ARRDC4",NA,NA
"ARRDC5",NA,NA
"ARSA",NA,NA
"ARSB",NA,NA
"ARSD",NA,NA
"ARSE",NA,NA
"ARSF",NA,NA
"ARSG",NA,NA
"ARSH",NA,NA
"ARSI",NA,NA
"ARSJ",NA,NA
"ARSK",NA,NA
"ART1",NA,NA
"ART3",NA,NA
"ART4",NA,NA
"ART5",NA,NA
"ARTN",NA,NA
"ARV1",NA,NA
"ARVCF",NA,NA
"ARX",NA,NA
"AS3MT",NA,NA
"ASAH1",NA,NA
"ASAH2",NA,NA
"ASAH2B",NA,NA
"ASAM",NA,NA
"ASAP1",NA,NA
"ASAP2",NA,NA
"ASAP3",NA,NA
"ASB1",NA,NA
"ASB10",NA,NA
"ASB11",NA,NA
"ASB12",NA,NA
"ASB13",NA,NA
"ASB14",NA,NA
"ASB15",NA,NA
"ASB16",NA,NA
"ASB17",NA,NA
"ASB18",NA,NA
"ASB2",NA,NA
"ASB3",NA,NA
"ASB4",NA,NA
"ASB5",NA,NA
"ASB6",NA,NA
"ASB7",NA,NA
