"external_gene_name","description","count","counts_when_betweeness_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_cryptic_pockets_0"
"SYK","spleen associated tyrosine kinase",12,6,0,0,12
"CCR2","C-C motif chemokine receptor 2",11,9,0,13,0
"CD1B","CD1b molecule",10,1,0,0,0
"FGF13","fibroblast growth factor 13",10,1,0,3,0
"SMC2","structural maintenance of chromosomes 2",10,3,0,0,0
"FBXO45","F-box protein 45",9,16,33,22,16
"TKFC","triokinase and FMN cyclase",9,12,31,16,10
"AKT1","AKT serine/threonine kinase 1",8,4,0,0,7
"CCT3","chaperonin containing TCP1 subunit 3",8,9,15,0,36
"CLTC","clathrin heavy chain",7,13,0,11,0
"KIF11","kinesin family member 11",7,1,3,0,7
"MAPK9","mitogen-activated protein kinase 9",7,2,0,0,2
"PRKDC","protein kinase, DNA-activated, catalytic subunit",7,4,0,0,5
"SCARB2","scavenger receptor class B member 2",7,1,0,0,1
"TRAM1","translocation associated membrane protein 1",6,4,0,13,0
"CLPB","ClpB family mitochondrial disaggregase",5,1,0,1,0
"DERL1","derlin 1",5,5,0,0,0
"DNAJC10","DnaJ heat shock protein family (Hsp40) member C10",5,12,0,0,0
"H2BC9","H2B clustered histone 9",5,3,0,0,0
"MSX2","msh homeobox 2",5,2,0,3,0
"XDH","xanthine dehydrogenase",5,2,0,2,0
"ACAN","aggrecan",4,11,12,20,56
"CD9","CD9 molecule",4,5,0,13,0
"HSD17B10","hydroxysteroid 17-beta dehydrogenase 10",4,10,14,46,4
"SPDYE2","speedy/RINGO cell cycle regulator family member E2",4,12,0,0,14
"SULT1E1","sulfotransferase family 1E member 1",4,2,15,0,34
"AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3",3,16,0,5,13
"CENPE","centromere protein E",3,3,0,14,0
"CENPI","centromere protein I",3,4,16,27,46
"DNAJC12","DnaJ heat shock protein family (Hsp40) member C12",3,9,0,1,0
"GAPDH","glyceraldehyde-3-phosphate dehydrogenase",3,2,0,2,0
"IL4I1","interleukin 4 induced 1",3,20,33,50,53
"OIP5","Opa interacting protein 5",3,5,0,0,5
"RPAP3","RNA polymerase II associated protein 3",3,11,0,18,9
"SEPTIN3","septin 3",3,23,0,35,37
"SPRR1A","small proline rich protein 1A",3,16,0,11,23
"TNR","tenascin R",3,4,0,0,0
"ABCA12","ATP binding cassette subfamily A member 12",2,6,0,9,10
"AP1M2","adaptor related protein complex 1 subunit mu 2",2,0,8,17,0
"EZR","ezrin",2,0,0,0,3
"MRPL37","mitochondrial ribosomal protein L37",2,0,2,5,0
"SEC13","SEC13 homolog, nuclear pore and COPII coat complex component",2,0,3,5,0
"STT3B","STT3 oligosaccharyltransferase complex catalytic subunit B",2,0,17,7,2
"ATP6V0A4","ATPase H+ transporting V0 subunit a4",1,0,13,24,24
"CCR3","C-C motif chemokine receptor 3",1,0,25,22,24
"CDC45","cell division cycle 45",1,0,1,1,0
"COL1A2","collagen type I alpha 2 chain",1,0,2,1,2
"DHCR7","7-dehydrocholesterol reductase",1,0,2,0,3
"KRT80","keratin 80",1,0,5,5,8
"LASP1","LIM and SH3 protein 1",1,0,10,16,31
"MAPK15","mitogen-activated protein kinase 15",1,0,3,0,1
"SIDT1","SID1 transmembrane family member 1",1,0,20,26,20
