"","uniprot_gn_id","external_gene_name","ensembl_gene_id","cluster","betweenness","degree_centrality","file_id","ID","pocket","druggability","num_drug_pockets","struct_score"
"39","A9QM74","KPNA7","ENSG00000185467","1",47481,6,"AF-A9QM74-F1-model_v4","A9QM74-F1",0.185,0.397,0,85.3285657071339
"40","B1AJZ9","FHAD1","ENSG00000142621","1",845,5,"AF-B1AJZ9-F1-model_v4","B1AJZ9-F1",0.294,0.787,2,72.2261583913925
"41","B1AK53","ESPN","ENSG00000187017","1",0,2,"AF-B1AK53-F1-model_v4","B1AK53-F1",0.114,0.144,0,68.309967416602
"42","B2RTY4","MYO9A","ENSG00000066933","1",1365,4,"AF-B2RTY4-F1-model_v4","B2RTY4-F1",0.128,0.798,4,58.9915934493148
"43","B4DX44","ZNF736","ENSG00000234444","1",119,3,"AF-B4DX44-F1-model_v4","B4DX44-F1",0.095,0.678,1,72.0993493837776
"44","B7Z6K7","ZNF814","ENSG00000204514","1",66,5,"AF-B7Z6K7-F1-model_v4","B7Z6K7-F1",0.283,0.493,2,69.1447896819581
"45","O00139","KIF2A","ENSG00000068796","1",1315,4,"AF-O00139-F1-model_v4","O00139-F1",0.091,0.501,1,80.0740442225392
"46","O00148","DDX39A","ENSG00000123136","1",0,1,"AF-O00148-F1-model_v4","O00148-F1",0.263,0.142,0,85.2259489262914
"47","O00154","ACOT7","ENSG00000097021","1",10067,4,"AF-O00154-F1-model_v4","O00154-F1",0.303,0.96,1,84.9933880903491
"48","O00159","MYO1C","ENSG00000197879","1",0,3,"AF-O00159-F1-model_v4","O00159-F1",0.298,0.843,2,83.4657004774659
"49","O00165","HAX1","ENSG00000143575","1",27409,7,"AF-O00165-F1-model_v4","O00165-F1",0.003,0.517,1,59.8730906654757
"50","O00167","EYA2","ENSG00000064655","1",354,4,"AF-O00167-F1-model_v4","O00167-F1",0.223,0.748,1,69.0361691423095
"51","O00170","AIP","ENSG00000110711","1",4708,3,"AF-O00170-F1-model_v4","O00170-F1",0.22,0.54,1,91.2172314674735
"52","O00186","STXBP3","ENSG00000116266","1",29147,8,"AF-O00186-F1-model_v4","O00186-F1",0.09,0.508,1,89.6950841750842
"53","O00189","AP4M1","ENSG00000221838","1",4605,3,"AF-O00189-F1-model_v4","O00189-F1",0.379,0.339,0,86.2558541430193
"54","O00194","RAB27B","ENSG00000041353","1",4382,5,"AF-O00194-F1-model_v4","O00194-F1",0.07,0.777,1,86.799005205321
"55","O00203","AP3B1","ENSG00000132842","1",0,3,"AF-O00203-F1-model_v4","O00203-F1",0.134,0.663,1,75.6418021616541
"56","O00214","LGALS8","ENSG00000116977","1",44,4,"AF-O00214-F1-model_v4","O00214-F1",0.214,0.4,1,90.4368712871287
"57","O00219","HAS3","ENSG00000103044","1",12537,4,"AF-O00219-F1-model_v4","O00219-F1",0.19,0.986,1,91.446054467702
"58","O00220","TNFRSF10A","ENSG00000104689","1",32631,5,"AF-O00220-F1-model_v4","O00220-F1",0.049,0.44,1,66.7940040011432
"59","O00231","PSMD11","ENSG00000108671","1",5529,3,"AF-O00231-F1-model_v4","O00231-F1",0.179,0.758,1,83.2228335832084
"60","O00232","PSMD12","ENSG00000197170","1",0,4,"AF-O00232-F1-model_v4","O00232-F1",0.32,0.135,0,79.0830677828787
"61","O00257","CBX4","ENSG00000141582","1",4237,4,"AF-O00257-F1-model_v4","O00257-F1",0.083,0.562,1,54.7085965317919
"62","O00267","SUPT5H","ENSG00000196235","1",30375,5,"AF-O00267-F1-model_v4","O00267-F1",0.083,0.365,0,69.247908588885
"63","O00268","TAF4","ENSG00000130699","1",9218,6,"AF-O00268-F1-model_v4","O00268-F1",0.296,0.412,1,54.9039537885633
"64","O00291","HIP1","ENSG00000127946","1",39740,7,"AF-O00291-F1-model_v4","O00291-F1",0.124,0.964,1,81.3315759734676
"65","O00300","TNFRSF11B","ENSG00000164761","1",23398,4,"AF-O00300-F1-model_v4","O00300-F1",0.349,0.688,1,87.0087337057728
"66","O00303","EIF3F","ENSG00000175390","1",1701,4,"AF-O00303-F1-model_v4","O00303-F1",0.284,0.567,1,75.8353884046987
"67","O00308","WWP2","ENSG00000198373","1",2,2,"AF-O00308-F1-model_v4","O00308-F1",0.144,0.73,3,78.1261252866972
"68","O00339","MATN2","ENSG00000132561","1",27555,6,"AF-O00339-F1-model_v4","O00339-F1",0.233,0.927,1,75.6359075020167
"69","O00391","QSOX1","ENSG00000116260","1",109,3,"AF-O00391-F1-model_v4","O00391-F1",0.296,0.986,1,78.5445025728988
"70","O00399","DCTN6","ENSG00000104671","1",108,5,"AF-O00399-F1-model_v4","O00399-F1",0.27,0.615,1,70.2194755003451
"71","O00400","SLC33A1","ENSG00000169359","1",158693,6,"AF-O00400-F1-model_v4","O00400-F1",0.181,0.869,2,82.5993401486989
"72","O00401","WASL","ENSG00000106299","1",0,2,"AF-O00401-F1-model_v4","O00401-F1",0.378,0.106,0,67.5859580528224
"73","O00409","FOXN3","ENSG00000053254","1",6556,4,"AF-O00409-F1-model_v4","O00409-F1",0.195,0.357,0,58.2913382702989
"74","O00410","IPO5","ENSG00000065150","1",74648,8,"AF-O00410-F1-model_v4","O00410-F1",0.2,0.76,1,92.0868294090489
"75","O00411","POLRMT","ENSG00000099821","1",4,2,"AF-O00411-F1-model_v4","O00411-F1",0.824,0.273,0,83.7817032854209
"76","O00425","IGF2BP3","ENSG00000136231","1",0,2,"AF-O00425-F1-model_v4","O00425-F1",0.251,0.604,4,78.127839767909
"77","O00429","DNM1L","ENSG00000087470","1",0,1,"AF-O00429-F1-model_v4","O00429-F1",0.256,0.689,1,77.2255812739297
"78","O00443","PIK3C2A","ENSG00000011405","1",18510,6,"AF-O00443-F1-model_v4","O00443-F1",1.847,0.938,4,71.9859971700923
"79","O00444","PLK4","ENSG00000142731","1",0,3,"AF-O00444-F1-model_v4","O00444-F1",0.133,0.199,0,66.9229360313316
"80","O00461","GOLIM4","ENSG00000173905","1",44356,4,"AF-O00461-F1-model_v4","O00461-F1",0.235,0.864,1,67.8424474917549
"81","O00462","MANBA","ENSG00000109323","1",508,3,"AF-O00462-F1-model_v4","O00462-F1",0.25,0.819,1,96.0445513180034
"82","O00469","PLOD2","ENSG00000152952","1",1873,3,"AF-O00469-F1-model_v4","O00469-F1",0.199,0.575,1,92.5138956696205
"83","O00470","MEIS1","ENSG00000143995","1",0,1,"AF-O00470-F1-model_v4","O00470-F1",0.113,0.868,1,66.0762263524726
"84","O00472","ELL2","ENSG00000118985","1",14894,5,"AF-O00472-F1-model_v4","O00472-F1",0.11,0.239,0,66.5195005898545
"85","O00479","HMGN4","ENSG00000182952","1",0,2,"AF-O00479-F1-model_v4","O00479-F1",0.412,0.101,0,66.0866068759342
"86","O00481","BTN3A1","ENSG00000026950","1",61308,7,"AF-O00481-F1-model_v4","O00481-F1",0.226,0.739,1,89.1621481299213
"87","O00482","NR5A2","ENSG00000116833","1",0,1,"AF-O00482-F1-model_v4","O00482-F1",0.203,0.936,2,72.8614365541327
"88","O00487","PSMD14","ENSG00000115233","1",860,2,"AF-O00487-F1-model_v4","O00487-F1",0.245,0.409,1,82.5457172385283
"89","O00499","BIN1","ENSG00000136717","1",90434,6,"AF-O00499-F1-model_v4","O00499-F1",0.061,0.358,0,68.7491092584467
"90","O00505","KPNA3","ENSG00000102753","1",24273,4,"AF-O00505-F1-model_v4","O00505-F1",0.129,0.417,1,86.0822725036891
"91","O00506","STK25","ENSG00000115694","1",4012,3,"AF-O00506-F1-model_v4","O00506-F1",0.117,0.177,0,80.2792604596347
"92","O00515","LAD1","ENSG00000159166","1",49,2,"AF-O00515-F1-model_v4","O00515-F1",0.341,0.376,0,55.9461651696607
"93","O00522","KRIT1","ENSG00000001631","1",23699,8,"AF-O00522-F1-model_v4","O00522-F1",0.178,0.768,1,83.65750126369
"94","O00533","CHL1","ENSG00000134121","1",12074,5,"AF-O00533-F1-model_v4","O00533-F1",0.157,0.637,2,77.9826843100189
"95","O00534","VWA5A","ENSG00000110002","1",55039,4,"AF-O00534-F1-model_v4","O00534-F1",0.084,0.961,3,83.7797349357919
"96","O00541","PES1","ENSG00000100029","1",93390,4,"AF-O00541-F1-model_v4","O00541-F1",0.175,0.323,0,79.7354771351013
"97","O00559","EBAG9","ENSG00000147654","1",129589,6,"AF-O00559-F1-model_v4","O00559-F1",0.248,0.246,0,66.8485989492119
"98","O00560","SDCBP","ENSG00000137575","1",1673,3,"AF-O00560-F1-model_v4","O00560-F1",0.2,0.679,1,82.6883216168717
"99","O00566","MPHOSPH10","ENSG00000124383","1",35978,6,"AF-O00566-F1-model_v4","O00566-F1",0.106,0.359,0,69.0955180505415
"100","O00571","DDX3X","ENSG00000215301","1",15541,4,"AF-O00571-F1-model_v4","O00571-F1",0.048,0.009,0,73.2664216446858
"101","O00591","GABRP","ENSG00000094755","1",6444,4,"AF-O00591-F1-model_v4","O00591-F1",0.164,0.393,0,79.5052339590922
"102","O00629","KPNA4","ENSG00000186432","1",7195,5,"AF-O00629-F1-model_v4","O00629-F1",0.141,0.604,1,85.6837321867322
"103","O00712","NFIB","ENSG00000147862","1",144529,5,"AF-O00712-F1-model_v4","O00712-F1",0.199,0.703,2,68.9428528708134
"104","O00743","PPP6C","ENSG00000119414","1",3316,3,"AF-O00743-F1-model_v4","O00743-F1",0.068,0.321,0,95.8734114793856
"105","O00748","CES2","ENSG00000172831","1",10735,6,"AF-O00748-F1-model_v4","O00748-F1",0.4,0.93,1,91.2541892512632
"106","O00750","PIK3C2B","ENSG00000133056","1",24076,6,"AF-O00750-F1-model_v4","O00750-F1",0.407,0.037,0,75.080621829362
"107","O00754","MAN2B1","ENSG00000104774","1",0,4,"AF-O00754-F1-model_v4","O00754-F1",0.183,0.445,1,91.9135548917102
"108","O00763","ACACB","ENSG00000076555","1",9641,4,"AF-O00763-F1-model_v4","O00763-F1",0.083,0.879,1,79.4358926643705
"109","O00764","PDXK","ENSG00000160209","1",0,2,"AF-O00764-F1-model_v4","O00764-F1",0.147,0.315,0,95.7982615759545
"110","O14498","ISLR","ENSG00000129009","1",3744,4,"AF-O14498-F1-model_v4","O14498-F1",0.249,0.323,0,82.9434392350401
"111","O14512","SOCS7","ENSG00000274211","1",2150,4,"AF-O14512-F1-model_v4","O14512-F1",0.194,0.82,1,56.2869019165727
"112","O14519","CDK2AP1","ENSG00000111328","1",21849,4,"AF-O14519-F1-model_v4","O14519-F1",0.451,0.632,1,76.3677598152425
"113","O14543","SOCS3","ENSG00000184557","1",91,2,"AF-O14543-F1-model_v4","O14543-F1",0.062,0.62,3,71.3708929593589
"114","O14544","SOCS6","ENSG00000170677","1",3472,2,"AF-O14544-F1-model_v4","O14544-F1",-0.006,0.127,0,54.7450514231045
"115","O14545","TRAFD1","ENSG00000135148","1",298,2,"AF-O14545-F1-model_v4","O14545-F1",0.181,0.302,0,57.9197662108513
"116","O14578","CIT","ENSG00000122966","1",144691,5,"AF-O14578-F1-model_v4","O14578-F1",0.129,0.882,1,70.152782431933
"117","O14595","CTDSP2","ENSG00000175215","1",5089,3,"AF-O14595-F1-model_v4","O14595-F1",0.173,0.603,2,79.1399257884972
"118","O14617","AP3D1","ENSG00000065000","1",0,1,"AF-O14617-F1-model_v4","O14617-F1",0.11,0.49,1,76.6253358168073
"119","O14628","ZNF195","ENSG00000005801","1",27753,7,"AF-O14628-F1-model_v4","O14628-F1",0.095,0.915,1,55.0651865008881
"120","O14639","ABLIM1","ENSG00000099204","1",8065,3,"AF-O14639-F1-model_v4","O14639-F1",0.066,0.069,0,59.3357584635417
"121","O14645","DNALI1","ENSG00000163879","1",10422,5,"AF-O14645-F1-model_v4","O14645-F1",0.431,0.371,0,84.9551732435034
"122","O14646","CHD1","ENSG00000153922","1",2208,5,"AF-O14646-F1-model_v4","O14646-F1",0.122,0.352,0,62.2217379679144
"123","O14647","CHD2","ENSG00000173575","1",5090,7,"AF-O14647-F1-model_v4","O14647-F1",0.037,0.596,1,60.6265358247076
"124","O14656","TOR1A","ENSG00000136827","1",7595,3,"AF-O14656-F1-model_v4","O14656-F1",0.296,0.96,2,85.9488530734633
"125","O14662","STX16","ENSG00000124222","1",27726,8,"AF-O14662-F1-model_v4","O14662-F1",0.092,0.67,1,77.0821670515781
"126","O14672","ADAM10","ENSG00000137845","1",10500,4,"AF-O14672-F1-model_v4","O14672-F1",0.154,0.351,0,79.6555046649703
"127","O14678","ABCD4","ENSG00000119688","1",0,3,"AF-O14678-F1-model_v4","O14678-F1",0.051,0.693,2,87.5381682861278
"128","O14681","EI24","ENSG00000149547","1",108794,7,"AF-O14681-F1-model_v4","O14681-F1",0.262,0.43,2,86.6823224637681
"129","O14682","ENC1","ENSG00000171617","1",6,2,"AF-O14682-F1-model_v4","O14682-F1",0.15,0.424,1,87.7618483412322
"130","O14686","KMT2D","ENSG00000167548","1",9623,13,"AF-O14686-F5-model_v4","O14686-F5",0.274,0.35,0,50.5354004204893
"131","O14686","KMT2D","ENSG00000167548","1",9623,13,"AF-O14686-F22-model_v4","O14686-F22",0.036,0.751,1,56.6587980257428
"132","O14686","KMT2D","ENSG00000167548","1",9623,13,"AF-O14686-F21-model_v4","O14686-F21",0.03,0.336,0,51.9847058270677
"133","O14686","KMT2D","ENSG00000167548","1",9623,13,"AF-O14686-F7-model_v4","O14686-F7",0.1,0.544,1,50.8847501194458
"134","O14686","KMT2D","ENSG00000167548","1",9623,13,"AF-O14686-F6-model_v4","O14686-F6",0.072,0.911,1,50.3858027413016
"135","O14686","KMT2D","ENSG00000167548","1",9623,13,"AF-O14686-F8-model_v4","O14686-F8",0.198,0.583,2,50.9112205363107
"136","O14709","ZNF197","ENSG00000186448","1",6779,4,"AF-O14709-F1-model_v4","O14709-F1",0.177,0.63,1,66.9933521363418
"137","O14717","TRDMT1","ENSG00000107614","1",130458,9,"AF-O14717-F1-model_v4","O14717-F1",0.193,0.229,0,87.3229436126155
"138","O14727","APAF1","ENSG00000120868","1",81429,3,"AF-O14727-F1-model_v4","O14727-F1",0.151,0.974,2,85.250516064257
"139","O14730","RIOK3","ENSG00000101782","1",26036,6,"AF-O14730-F1-model_v4","O14730-F1",0.111,0.431,1,74.6720057859209
"140","O14734","ACOT8","ENSG00000101473","1",93663,5,"AF-O14734-F1-model_v4","O14734-F1",0.172,0.659,1,88.355698456668
"141","O14735","CDIPT","ENSG00000103502","1",8042,4,"AF-O14735-F1-model_v4","O14735-F1",0.16,0.634,3,89.8429685610641
"142","O14737","PDCD5","ENSG00000105185","1",194,2,"AF-O14737-F1-model_v4","O14737-F1",0.288,0.324,0,74.0045
"143","O14744","PRMT5","ENSG00000100462","1",10196,2,"AF-O14744-F1-model_v4","O14744-F1",0.333,0.715,2,93.4662192742879
"144","O14753","OVOL1","ENSG00000172818","1",28478,5,"AF-O14753-F1-model_v4","O14753-F1",0.119,0.658,1,58.2508329389494
"145","O14763","TNFRSF10B","ENSG00000120889","1",256,2,"AF-O14763-F1-model_v4","O14763-F1",0.215,0.851,2,71.3811965300628
"146","O14770","MEIS2","ENSG00000134138","1",37978,5,"AF-O14770-F1-model_v4","O14770-F1",0.077,0.066,0,63.2575013774105
"147","O14787","TNPO2","ENSG00000105576","1",9565,4,"AF-O14787-F1-model_v4","O14787-F1",0.081,0.382,0,91.1846722925457
"148","O14791","APOL1","ENSG00000100342","1",6881,3,"AF-O14791-F1-model_v4","O14791-F1",0.023,0.868,1,51.659130575307
"149","O14792","HS3ST1","ENSG00000002587","1",17062,4,"AF-O14792-F1-model_v4","O14792-F1",0.175,0.616,1,90.6306790367154
"150","O14795","UNC13B","ENSG00000198722","1",0,2,"AF-O14795-F1-model_v4","O14795-F1",0.211,0.589,2,75.7614232800063
"151","O14802","POLR3A","ENSG00000148606","1",19,3,"AF-O14802-F1-model_v4","O14802-F1",0.098,0.706,1,88.5533027859237
"152","O14815","CAPN9","ENSG00000135773","1",0,2,"AF-O14815-F1-model_v4","O14815-F1",0.186,0.216,0,89.5328290062668
"153","O14832","PHYH","ENSG00000107537","1",21276,8,"AF-O14832-F1-model_v4","O14832-F1",0.057,0.992,1,87.1768399705015
"154","O14867","BACH1","ENSG00000156273","1",22773,5,"AF-O14867-F1-model_v4","O14867-F1",0.406,0.427,1,56.8114899563319
"155","O14894","TM4SF5","ENSG00000142484","1",96411,16,"AF-O14894-F1-model_v4","O14894-F1",0.274,0.639,2,86.1430152143845
"156","O14896","IRF6","ENSG00000117595","1",5773,2,"AF-O14896-F1-model_v4","O14896-F1",0.289,0.829,1,74.1785691361327
"157","O14920","IKBKB","ENSG00000104365","1",7003,4,"AF-O14920-F1-model_v4","O14920-F1",0.292,0.39,0,86.454329047148
"158","O14924","RGS12","ENSG00000159788","1",32,2,"AF-O14924-F1-model_v4","O14924-F1",0.385,0.863,1,54.1347993082734
"159","O14929","HAT1","ENSG00000128708","1",2642,5,"AF-O14929-F1-model_v4","O14929-F1",0.176,0.369,0,92.9628268348624
"160","O14936","CASK","ENSG00000147044","1",154,2,"AF-O14936-F1-model_v4","O14936-F1",0.159,0.634,1,79.404588855829
"161","O14964","HGS","ENSG00000185359","1",18458,6,"AF-O14964-F1-model_v4","O14964-F1",0.308,0.557,1,67.6558971390772
"162","O14965","AURKA","ENSG00000087586","1",4370,2,"AF-O14965-F1-model_v4","O14965-F1",0.139,0.431,1,75.9057868649318
"163","O14974","PPP1R12A","ENSG00000058272","1",112133,11,"AF-O14974-F1-model_v4","O14974-F1",0.117,0.079,0,60.3726401088705
"164","O14975","SLC27A2","ENSG00000140284","1",4599,2,"AF-O14975-F1-model_v4","O14975-F1",0.206,0.925,1,92.7394009681323
"165","O14976","GAK","ENSG00000178950","1",38459,5,"AF-O14976-F1-model_v4","O14976-F1",0.116,0.94,1,67.4949280254145
"166","O14981","BTAF1","ENSG00000095564","1",5585,4,"AF-O14981-F1-model_v4","O14981-F1",0.164,0.806,3,76.0366207181749
"167","O15013","ARHGEF10","ENSG00000104728","1",5411,3,"AF-O15013-F1-model_v4","O15013-F1",0.171,0.829,1,65.3509323308271
"168","O15033","AREL1","ENSG00000119682","1",1179,2,"AF-O15033-F1-model_v4","O15033-F1",0.109,0.182,0,83.684374717833
"169","O15037","KHNYN","ENSG00000100441","1",64131,4,"AF-O15037-F1-model_v4","O15037-F1",0.187,0.348,0,69.6208441310976
"170","O15040","TECPR2","ENSG00000196663","1",5922,3,"AF-O15040-F1-model_v4","O15040-F1",0.109,0.118,0,68.3907469033093
"171","O15041","SEMA3E","ENSG00000170381","1",4782,4,"AF-O15041-F1-model_v4","O15041-F1",0.093,0.683,1,84.7823651122075
"172","O15050","TRANK1","ENSG00000168016","1",58329,8,"AF-O15050-F2-model_v4","O15050-F2",0.166,0.781,3,72.7361966538427
"173","O15050","TRANK1","ENSG00000168016","1",58329,8,"AF-O15050-F9-model_v4","O15050-F9",0.102,0.538,1,80.5411597676777
"174","O15050","TRANK1","ENSG00000168016","1",58329,8,"AF-O15050-F7-model_v4","O15050-F7",0.081,0.559,1,82.4239964912281
"175","O15050","TRANK1","ENSG00000168016","1",58329,8,"AF-O15050-F6-model_v4","O15050-F6",0.21,0.303,0,77.902999912026
"176","O15050","TRANK1","ENSG00000168016","1",58329,8,"AF-O15050-F1-model_v4","O15050-F1",0.379,0.858,2,73.6936051387278
"177","O15050","TRANK1","ENSG00000168016","1",58329,8,"AF-O15050-F5-model_v4","O15050-F5",0.096,0.926,3,77.8781187328068
"178","O15050","TRANK1","ENSG00000168016","1",58329,8,"AF-O15050-F8-model_v4","O15050-F8",0.111,0.733,3,80.9853513466093
"179","O15050","TRANK1","ENSG00000168016","1",58329,8,"AF-O15050-F3-model_v4","O15050-F3",0.15,0.974,4,71.9232870826247
"180","O15050","TRANK1","ENSG00000168016","1",58329,8,"AF-O15050-F4-model_v4","O15050-F4",0.129,0.803,3,73.1902439460281
"181","O15054","KDM6B","ENSG00000132510","1",531,4,"AF-O15054-F1-model_v4","O15054-F1",0.063,0.568,1,58.2699092733842
"182","O15055","PER2","ENSG00000132326","1",141312,7,"AF-O15055-F1-model_v4","O15055-F1",0.125,0.45,1,53.6981079670043
"183","O15056","SYNJ2","ENSG00000078269","1",55942,4,"AF-O15056-F1-model_v4","O15056-F1",0.15,0.9,3,68.9419663980799
"184","O15067","PFAS","ENSG00000178921","1",5259,4,"AF-O15067-F1-model_v4","O15067-F1",0.222,0.462,1,92.5094284591967
"185","O15068","MCF2L","ENSG00000126217","1",8709,3,"AF-O15068-F1-model_v4","O15068-F1",0.062,0.721,2,77.3750555555556
"186","O15084","ANKRD28","ENSG00000206560","1",20941,6,"AF-O15084-F1-model_v4","O15084-F1",0.197,0.408,1,88.4688494569336
"187","O15085","ARHGEF11","ENSG00000132694","1",55007,9,"AF-O15085-F1-model_v4","O15085-F1",0.281,0.422,1,60.9694422750424
"188","O15105","SMAD7","ENSG00000101665","1",5100,3,"AF-O15105-F1-model_v4","O15105-F1",0.336,0.602,1,75.0064235366227
"189","O15118","NPC1","ENSG00000141458","1",64827,5,"AF-O15118-F1-model_v4","O15118-F1",0.151,0.973,3,85.3593286643322
"190","O15119","TBX3","ENSG00000135111","1",60283,8,"AF-O15119-F1-model_v4","O15119-F1",0.138,0.28,0,56.0620881878473
"191","O15120","AGPAT2","ENSG00000169692","1",49313,4,"AF-O15120-F1-model_v4","O15120-F1",0.242,0.95,2,91.4529111008752
"192","O15121","DEGS1","ENSG00000143753","1",833,3,"AF-O15121-F1-model_v4","O15121-F1",0.062,0.968,1,96.4200149086843
"193","O15131","KPNA5","ENSG00000196911","1",22614,7,"AF-O15131-F1-model_v4","O15131-F1",0.589,0.252,0,86.2799976403964
