"","gene_id","avg_seg_mean"
"486","GOLGA8O",-0.03854
"499","OR6C74",0.04922
"502","IZUMO1R",0.1068
"503","FAM83G",-0.08257
"505","ASPDH",-0.0666
"507","PALM3",0.02443
"511","OR5H15",0.07224
"512","TRIM49B",-0.0306
"513","GOLGA6C",-0.07155
"516","MYADML2",0.06941
"519","TMEM8B",0.02294
"523","BTBD17",0.17042
"524","WDR97",0.40276
"536","MROH2A",0.0373845134502354
"537","OR5K3",0.07224
"539","ANTXRL",0.0680783362361806
"540","CCDC182",0.02985
"542","OR6C6",0.04922
"545","TMEM235",0.07673
"547","SMCO2",0.113532639107256
"553","ANKUB1",0.08622
"554","TCAF2",0.25206
"555","DPRX",0.02358
"559","MFSD2B",0.055594122876108
"560","NEMP2",0.14037
"561","SDHAF1",0.02537
"565","TMEM191C",0.02223
"566","TMEM221",0.08429
"568","TLCD2",-0.166
"573","ANKRD61",-0.12418
"574","TRIM64",0.05954
"578","OOEP",0.108
"581","FRG2C",-0.06731
"582","C5orf52",0.05058
"583","OR51F1",-0.14824
"584","SMIM9",0.0567006288244203
"586","GLTPD2",-0.11514
"587","SERINC4",-0.09599
"589","ARL5C",-0.20337
"590","OR4C46",-0.06611
"591","CAPN8",0.00279
"592","DDTL",0.07113
"593","OR5H14",0.07224
"594","ZNF860",-0.06204
"595","TUBAL3",0.10269
"596","OTOL1",0.12267
"599","FBLL1",0.04771
"602","MANSC4",0.13712
"605","ANKDD1B",-0.23522
"609","ARHGAP42",0.13827
"612","MYMK",-0.0633
"614","CCDC69",-0.03267
"615","GOLGA6L10",-0.01987
"617","UNC119B",-0.01915
"619","OR6C70",0.06132
"623","AGAP5",0.23769
"628","NKX6-3",0.011
"629","NPIPB2",0.00184
"632","SOWAHD",-0.02083
"636","C19orf67",0.02443
"640","FAM166C",0.03385
"644","OR6C65",0.06132
"645","RIMBP3C",0.02223
"647","ACOD1",-0.03133
"649","ZNF233",-0.11675
"652","ZNF98",0.0537
"653","RASSF10",-0.06792
"654","PCNX2",0.04463
"655","FAM90A7",-0.1412
"658","CCDC85C",0.05941
"661","RTL1",0.06338
"662","OR5H1",0.07224
"665","SDR42E2",0.10806
"669","SLC22A31",-0.11464
"670","OR6C75",0.06132
"671","OR5B21",0.05301
"677","TRIM64C",-0.0306
"678","C2CD4B",-0.08318
"681","VSTM2B",0.11033
"685","OR2AG2",-0.1511
"686","AQP12B",0.11513
"690","OR6C76",0.06132
"693","IFITM10",-0.03762
"695","CPSF4L",0.07981
"697","TMEM212",0.270310812999192
"699","OR5K4",0.07224
"700","DBX1",-0.13776
"709","OR2AT4",0.07489
"710","MARCHF11",0.204381451604908
"714","RIMBP3B",0.02223
"716","SLC38A8",-0.151449653300554
"717","CCDC169",-0.06838
"719","C16orf96",-0.02905
"725","ZNF716",0.111776004959914
"729","LRRIQ3",0.010431538029166
"732","ANKRD36",0.0958920016666574
"733","YJEFN3",0.10123
"734","GOLGA8A",-0.0315856546130576
"738","MYH7B",0.15255
"739","DISP2",-0.09388
"744","CD300LB",0.07993
"746","CLCA1",-0.07041
"748","EFCAB7",0.08879
"750","ZNF785",-0.00138
"753","PP2D1",-0.04145
"758","GOLGA8B",0.0169301319559488
"760","SYCE1L",-0.28279
"763","ZBBX",0.21363
"764","FAM166B",0.02294
"766","GNAT3",0.09711
"769","RNF212B",-0.0582
"775","C12orf71",0.13817
"776","SMTNL1",0.04896
"780","CSKMT",0.04053
"783","ZNF705G",-0.0305745338832061
"785","C17orf98",-0.20337
"787","HIGD1C",0.05393
"792","PHF20L1",0.33762
"794","MEI4",0.0705415034782844
"796","EFCAB8",0.1282
"798","ELAPOR2",0.08454
"800","GRXCR1",0.0112487453968374
"801","B3GALT9",-0.02177
"806","NUDT19",0.08814
"808","ZNF99",0.0537
"812","KCNU1",-0.0535
"814","MINDY4B",0.08552
"817","EFCAB9",0.13494
"818","EVPLL",-0.153459296092184
"823","COL6A5",0.16173
"826","UPK3BL1",0.19921
"827","MYO1G",0.10264
"829","FHAD1",-0.08251
"831","ISM1",-0.0322
"832","NALF1",-0.06934
"833","WDR64",0.03948
"834","KLLN",0.06635
"835","RSPH10B2",-0.103616948710279
"839","MYO9A",-0.0661398737072932
"844","TMEM229A",0.1245
"847","FAM25A",0.08691
"848","FAM25C",0.08111
"852","TMEM114",0.01259
"853","TMEM233",-0.00933
"854","SHISA9",-0.00817
"856","ZNF736",0.07461
"858","TCP11X2",-0.01879
"859","ANKRD66",0.11081
"860","SEC14L6",-0.20283
"865","KCNJ18",-0.16807
"866","C2CD4D",0.15852
"869","GPR89A",0.15579
"875","TBC1D3L",-0.20337
"876","TMEM150C",-0.0817
"878","TRIM49D1",0.05954
"879","TRIM49D2",0.05954
"888","KRBOX1",-0.07679
"891","PATL2",-0.09599
"892","PRRT4",0.06548
"898","MCRIP1",0.06941
"899","ZNF878",0.01915
"901","TMEM232",-0.18615
"903","AKR1B15",0.26256
"905","ANKRD63",-0.03236
"919","GOLGA8K",-0.03854
"923","MUC22",0.06399
"924","UPK3BL2",0.19921
"926","FTCDNL1",0.04878
"929","PTGES3L",-0.19999
"930","PRR23D1",-0.1412
"931","NPIPA2",0.06676
"932","NPIPB6",0.00187
"933","NPIPA7",0.11881
"934","NPIPA5",0.05302
"935","NDUFC2-KCTD14",0.07161
"936","NPIPB8",0.1029
"937","TMEM262",0.14309
"940","UBAP1L",-0.08421
"943","FAM227A",-0.13791
"944","RFPL4AL1",-0.17115
"946","GOLGA8N",-0.03854
"947","NPIPA3",0.06676
"948","TSTD3",0.05368
"949","FAM72C",0.15579
"950","TMEM250",-0.07317
"961","SMLR1",-0.01309
"962","PIERCE2",-0.08393
"963","TMEM178B",0.22467
"964","GOLGA8M",0.00794
"965","TEX46",-0.09791
"972","CCDC188",0.10573
"974","TRIM77",0.06232
"975","C19orf84",-0.06474
"981","DCDC1",-0.05608
"985","AGPS",0.00732
"986","UBXN8",-0.03974
"990","FZD9",0.13544
"993","ACOT7",-0.0858538467756626
"994","GPR25",0.31999
"995","MYO1C",-0.15485
"999","EYA2",0.22793
"1000","FXYD1",0.01534
"1004","KCNK1",0.04463
"1005","LGALS9",-0.20532
"1009","ARVCF",0.10573
"1011","RAB27B",-0.21117
"1013","AP3B1",-0.23029
"1014","SULT2B1",-0.06862
"1015","TLR4",-0.09006
"1016","RHOD",0.02912
"1017","APBB1",-0.12488
"1020","HAS3",-0.2131
"1023","GRM8",0.129317483114394
"1025","PSMD11",-0.21141
"1028","RNF103",0.10381
"1033","F2RL2",-0.23409
"1036","GET1",0.0212
"1040","GPR31",-0.09422
"1043","HIP1",0.126662263547853
"1045","TULP1",0.13195
"1048","TNFRSF11B",0.370045621246852
"1050","CACNB4",0.0048
"1051","WWP2",-0.195590740605242
"1058","SLC28A1",-0.0166859475856069
"1059","SULT1C2",0.04996
"1060","MATN2",0.35473
"1061","SLC1A7",0.100267788264624
"1063","QSOX1",0.1675
"1064","P2RY10",-0.016
"1065","DCTN6",-0.03974
"1066","SLC33A1",0.1241
"1068","PDE2A",0.06482
"1070","IPO5",-0.01316
"1073","CCRL2",-0.000820000000000001
"1074","SAP18",-0.12211
"1075","EML1",0.05941
"1076","IGF2BP3",-0.08055
"1077","DNM1L",0.07216
"1079","PIK3C2A",-0.14325
"1086","GOLIM4",0.24068
"1087","MANBA",-0.08809
"1088","TRAF5",0.00931
"1091","MEIS1",0.0679901038924355
"1092","EXOC5",-0.14326
"1095","BTN3A3",-0.00213
"1097","BTN3A1",-0.00213
"1098","NR5A2",0.1475
"1108","FAAH",0.10703
"1109","KRIT1",0.0433
"1112","VWA5A",-0.10304
"1115","CACNA1A",0.0182267944402594
"1117","SDCBP",0.12671
"1123","CXCR6",-0.00633
"1124","RNASET2",-0.16272
"1127","ACKR2",-0.07679
"1129","PODXL",0.20904
"1131","CCN1",-0.03101
"1132","PEX12",-0.22561
"1133","SLC17A2",-0.00213
"1137","KPNA4",0.11801
"1141","NFIB",-0.11609
"1146","CES2",-0.25621
"1152","ACACB",-0.0542194915172969
"1154","SCD",0.1188
"1158","PLPP1",-0.1564
"1164","SOCS7",-0.20337
"1165","ADGRB1",0.37131
"1166","CDK2AP1",-0.023
"1167","AQP7",0.01796
"1168","SDHD",0.06464
"1169","PTPRT",0.144888734651368
"1170","C2CD2L",-0.05098
"1171","NEMP1",0.0627195229875393
"1172","ASTN1",0.14405
"1176","DPYSL4",0.01505
"1177","SOCS3",0.0768
"1181","GAPDHS",-0.000749999999999999
"1183","ARHGAP33",0.02537
"1186","CYB561D2",-0.084
"1188","CIT",-0.00933
"1190","OR7A17",-0.00648
"1193","CTDSP2",0.03964
"1199","GNGT2",-0.04347
"1204","GPR171",0.08552
"1205","CDX4",-0.00531
"1206","ZNF195",-0.139493581869054
"1208","ENPP3",-0.01309
"1211","DVL2",-0.20573
"1217","TOR1A",-0.06078
"1218","TOR1B",-0.06078
"1219","STX16",0.21334
"1223","ABCD4",0.04727
"1226","TP53I11",-0.05249
"1227","PTGES",-0.06078
"1231","KMT2D",0.05528
"1232","KMT2D",0.05528
"1234","ZNF197",-0.00765
"1235","ITGB1BP1",0.06789
"1236","RGPD8",0.03987
"1238","RRH",-0.04669
"1239","APAF1",0.09574
"1242","MAP2K7",-0.08233
"1243","ACOT8",0.21515
"1244","CDIPT",0.11372
"1246","PRMT5",-0.0582
"1249","OVOL1",0.15211
"1250","HSD17B6",0.04006
"1251","CHEK1",-0.17833
"1252","TNFRSF10B",-0.03052
"1258","GNB5",-0.09205
"1261","KIF3C",0.03465
"1265","APOL1",-0.20771
"1266","HS3ST1",0.0506429631937247
"1270","TNFRSF10C",-0.03052
"1271","POLR3A",0.37844
"1272","TAAR5",-0.0365
"1273","MRAS",0.12994
"1277","TSPAN4",-0.13245
"1279","RASGRF2",-0.22961
"1281","PPEF1",-0.0357693614236994
"1282","PPEF2",0.08667
"1283","PHYH",0.11877
"1284","TNFRSF13B",-0.188191506829869
"1285","OPLAH",0.40276
"1286","FFAR1",-0.00187
"1289","SLC30A4",-0.08469
"1291","BCKDK",0.01619
"1293","MGST3",0.13489
"1295","TM4SF5",-0.11514
"1296","IRF6",0.00238999999999999
"1298","WNT9B",-0.16319
"1305","RGS12",0.09878
"1306","TIMM23",0.09048
"1311","CASK",0.08573
"1312","PLD2",-0.20412
"1313","EREG",0.0801
"1317","UQCR11",-0.23122
"1322","RAB29",0.09179
"1326","SLC27A2",-0.09205
"1331","XPO1",0.07165
"1332","BTAF1",0.08992
"1333","ATP2A1",0.12229
"1334","PIP5K1B",-0.07979
"1336","SYN3",-0.161186615523784
"1337","ARHGEF10",-0.11894
"1339","SPTBN2",0.02912
"1342","RIMBP2",-0.12719678871627
"1345","SEMA3E",0.0990756882960731
"1346","U2SURP",0.092346710752989
"1348","TRANK1",-0.0467543228901963
"1349","TRANK1",-0.0467543228901963
"1350","TRANK1",-0.0467543228901963
"1352","TRANK1",-0.0467543228901963
"1355","TRANK1",-0.0467543228901963
"1356","TRANK1",-0.0467543228901963
"1359","SYNJ2",-0.14327
"1360","ZBTB39",0.04006
"1361","SYNM",0.02658
"1363","GARRE1",0.0872660976166637
"1364","KIF3B",0.1282
"1366","MCF2L",-0.00963010078574972
"1367","ADAMTS3",0.0782235852983889
"1369","CEP290",0.06924
"1370","SNPH",0.08273
"1375","SMAD7",-0.19449
"1376","CHUK",0.13203
"1378","FYB1",0.02846
"1379","NPC1",0.02443
"1381","AGPAT2",-0.08834
"1382","DEGS1",0.00279
"1383","ANGPT2",-0.105507133787418
"1386","NPFF",0.01201
"1394","ZBTB7B",0.17139
"1395","POLR1C",0.12147
"1396","PLSCR1",0.13192
"1397","TRIM24",0.22322713283
"1404","VILL",-0.08808
"1406","ADAMDEC1",-0.05203
"1409","RGL2",0.06774
"1411","WDR46",0.06774
"1412","GSTA4",0.10807
"1415","GNPAT",0.0475
"1416","KMO",0.03948
"1417","LAMA5",0.18983
"1418","LAMA5",0.18983
"1420","LAMA5",0.18983
"1421","LAMA5",0.18983
"1422","LAMA5",0.18983
"1425","LAMA5",0.18983
"1426","LAMA5",0.18983
"1427","LAMA5",0.18983
"1428","LAMA5",0.18983
"1429","LAMA5",0.18983
"1430","ZNF185",0.072575351782593
"1431","MATN3",0.02382
"1433","MRPS12",-0.02339
"1436","LEPROT",0.11649
"1437","SLC22A2",-0.15312
"1438","SLC22A1",-0.131778176046847
"1440","ACOX3",0.0813316091818253
"1442","NPHP1",0.06463
"1443","SURF4",-0.0633
"1444","DEFB4A",-0.00358
"1450","SPTLC2",0.05845
"1453","OGT",-0.00531
"1454","ALOX15B",-0.21021
"1461","TM9SF1",-0.04966
"1462","INPP4B",0.000149999999999999
"1469","GPR37",0.1245
"1470","PPM1G",0.08935
"1476","SLC16A4",0.09789
"1477","SLC16A5",0.10706
"1479","NVL",0.00279
"1480","BCAT2",-0.06545
"1486","IPO8",0.10472
"1487","GRIN2D",-0.06862
"1489","SLC16A6",0.07151
"1494","TNRC18",-0.12016
"1495","SLC16A3",0.0743529284150032
"1497","SLC31A2",-0.05614
"1498","ABCC3",0.02724
"1499","ABCC4",-0.000783550604586464
"1500","ABCC5",0.32099
"1504","TLR3",-0.124572706003121
"1506","P4HA2",-0.02392
"1509","MAGEB2",0.07964
"1510","MAGEB3",0.07964
"1512","TEX28",0.13182
"1515","RGS16",0.15563
"1516","PLA2G10",0.06676
"1519","INSIG1",0.22519
"1520","NUP42",-0.08055
"1522","POLR2D",0.02249
"1528","SOCS1",0.00312
"1529","MAFG",0.06941
"1531","CYP27B1",0.03964
"1534","TAPBP",0.06774
"1539","FABP7",-0.00860999999999999
"1542","KDM6A",0.03865
"1543","CLDN3",0.13544
"1544","FFAR2",-0.000749999999999999
"1545","MEFV",-0.10394
"1546","KCNN4",-0.11675
"1549","RNMT",0.04049
"1550","ZZEF1",-0.142448083844188
"1551","ZZEF1",-0.142448083844188
"1552","ZZEF1",-0.142448083844188
"1553","ZZEF1",-0.142448083844188
"1554","ZZEF1",-0.142448083844188
"1555","ZZEF1",-0.142448083844188
"1556","ZZEF1",-0.142448083844188
"1557","ZZEF1",-0.142448083844188
"1560","TET3",0.09977
"1561","FLRT2",0.04351
"1564","RRP8",-0.10702
"1565","SIPA1L1",0.04585
"1566","ZBTB24",0.01383
"1567","CYB5B",-0.17122
"1570","CYP26A1",0.08843
"1571","PHGDH",0.1596
"1574","ADAM12",0.01882
"1576","IRAK2",0.00381000493225735
"1577","PHF1",0.06774
"1578","MLNR",-0.10599
"1581","SEPTIN4",0.02985
"1587","HOXC11",0.02332
"1589","PAPSS1",-0.05122
"1592","ZW10",0.05267
"1593","PRODH",0.08926
"1601","GPAA1",0.40276
"1611","SEC14L5",0.0445819689220098
"1617","PPIP5K2",-0.17361
"1618","AQP9",-0.09885
"1620","MAP3K7",0.04611
"1621","FGF16",-0.016
"1622","DHH",0.05528
"1624","LYRM1",-0.0057
"1626","MSI1",-0.01915
"1632","WDR62",0.02537
"1633","HNRNPR",-0.09856
"1641","GRID2",-0.0870432059456958
"1642","SYNJ1",-0.00560938379656904
"1646","CBFA2T2",0.12912
"1648","KCNAB3",-0.21021
"1650","MBTPS2",-0.01692
"1655","PROM1",-0.0706
"1657","CACNA1G",0.0132571224363212
"1660","B4GAT1",0.02912
"1661","ADAM20",0.04585
"1662","TNFSF12",-0.19746
"1663","SLC26A4",-0.05731
"1664","MED7",0.05058
"1670","KCNQ2",0.14873
"1674","XRCC2",0.19428
"1676","GNRH2",0.09507
"1682","RNF13",0.08622
"1687","PSTPIP1",-0.0640746994099107
"1688","XPOT",0.10189
"1689","HR",-0.04639
"1691","DNPH1",0.12147
"1693","GALR2",0.08784
"1695","SPRY3",0.1898241786653
"1697","HCRTR1",-0.02844
"1698","HCRTR2",0.09632
"1699","TIMM44",-0.08233
"1700","TRAPPC3",-0.03576
"1703","FOXS1",0.14291
"1706","TSPAN6",-0.01879
"1707","PLRG1",-0.03818
"1708","PRC1",0.0241457901020862
"1710","ZNF207",-0.21141
"1715","LDB2",-0.0898223000556164
"1720","PLPP2",-0.16109
"1723","SULT1B1",0.0913673022963804
"1725","GSTZ1",0.05845
"1726","BUD23",0.13544
"1736","CHP2",-0.01882
"1738","OR1F1",-0.105492102295657
"1745","LIAS",-0.04548
"1747","SLC25A20",0.0055
"1750","KRT86",0.0498191185741515
"1753","SSNA1",-0.08362
"1754","SLC25A17",-0.109745713684235
"1757","STRN",0.0217382680596128
"1760","HYAL3",-0.084
"1765","SLC37A4",-0.05098
"1768","IDH3B",0.09507
"1769","NRDC",0.09749
"1772","ATP9B",-0.154463323406344
"1773","AHCYL1",0.09789
"1775","SLC28A2",-0.07552
"1777","CREB3",0.02294
"1778","XPNPEP2",-0.01569
"1779","KIF1C",-0.20412
"1780","TLL1",-0.12813
"1784","EXTL3",-0.03974
"1787","VEGFD",-0.02205
"1788","CHST1",-0.05249
"1789","AIRE",-0.03299
"1790","NDUFS5",-0.02085
"1792","PDE6D",0.01379
"1794","ORC4",0.00868
"1796","MFSD11",0.173271921723162
"1798","AKR1B10",0.26256
"1805","KALRN",0.117050599990584
"1806","KALRN",0.117050599990584
"1807","KALRN",0.117050599990584
"1810","KALRN",0.117050599990584
"1811","KALRN",0.117050599990584
"1812","DHX16",0.06399
"1818","SH3BP5",-0.03877
"1819","PLIN1",0.02009
"1820","ADGRB2",-0.02844
"1821","ADGRB3",0.0508637743302506
"1823","MED14",0.09421
"1826","PRPSAP2",-0.184918156658879
"1832","ADCY3",0.03465
"1833","KIAA0513",-0.238230739315047
"1834","GPRIN2",0.21711
"1837","ZNF292",0.08633
"1840","ZNF292",0.08633
"1842","KIF5C",0.00868
"1845","URB1",0.02257
"1848","SIPA1L3",-0.02339
"1849","ZFC3H1",0.0982
"1850","LCMT2",-0.08742
"1852","LZTS3",0.09507
"1855","AQR",-0.08694
"1857","CEP104",-0.08856
"1858","ATP10A",-0.0471444029397092
"1859","OPA1",0.32122
"1860","ZEB2",-0.02527
"1863","PCDHGA12",0.0280459793814433
"1864","PIP5K1C",-0.23034
"1865","KIF1B",-0.08769
"1866","MAPKBP1",-0.09402
"1867","MARCHF6",0.212706355127607
"1868","KDM1A",-0.103319331740509
"1870","PHLPP1",-0.1648
"1871","TBC1D12",0.08843
"1872","FZD6",0.38619
"1874","CACNG3",-0.01882
"1876","GDF9",-0.10994
"1878","OR10H2",0.06233
"1879","OR10H3",-0.01032
"1880","OR7C2",0.01728
"1882","ATP8B3",-0.08835
"1883","FADS1",0.037492378184913
"1884","OR1I1",0.01728
"1887","EVI5",0.03449
"1889","NRP2",-0.07442
"1893","GPR137B",0.09603
"1895","ZIC3",-0.01786
"1897","MPZL2",-0.01892
"1898","ACSL4",-0.01965
"1903","CUBN",0.10454
"1908","CUBN",0.10454
"1911","CUBN",0.10454
"1912","CUBN",0.10454
"1913","DOK2",-0.04639
"1915","NPHS1",0.02537
"1917","ADCY9",-0.03295
"1921","CDC40",-0.000416502087506576
"1922","B4GALT3",0.14551
"1923","B4GALT4",0.09676
"1927","TDRD6",0.15243
"1928","NEMF",-0.06686
"1931","GMDS",0.182227180942673
"1933","NMT2",0.11444
"1934","CCNT1",0.05528
"1936","BUB1B",-0.03236
"1937","PLOD3",0.0698
"1940","CCNT2",0.01209
"1941","TLR5",0.05378
"1942","TLR2",-0.00022
"1945","TSPAN1",0.10703
"1946","TSPAN2",0.09918
"1950","UGT1A9",0.0426780937123898
"1951","PDE8A",-0.02572
"1953","LMX1B",-0.05972
"1956","SLC16A7",0.017949467337808
"1957","RAD1",0.12605
"1959","REV3L",0.05624
"1960","REV3L",0.05624
"1961","JAK2",-0.170326612521903
"1963","CST8",0.08431
"1964","PRMT3",-0.144620132220937
"1967","KPNA6",-0.04717
"1970","UGDH",-0.04548
"1972","ABCC9",0.0891392687316671
"1974","CTNND1",0.04896
"1975","SLC24A1",-0.09317
"1976","ICMT",-0.0846
"1980","HCN1",0.0180569658624711
"1981","SNX2",-0.1131
"1982","GALR3",-0.13461
"1984","HPGDS",-0.07983
"1985","DPM1",0.25468
"1988","SLC19A2",0.16792
"1992","PRAMEF10",-0.02153
"1997","H2BC12",0.01103
"1998","PFKFB2",0.0679
"2000","PQBP1",0.21805
"2002","TIMM17B",0.21805
"2003","PRAF2",0.21805
"2005","CACNA1F",0.211957148957448
"2006","EIF5B",0.11174
"2008","TRIM13",-0.10599
"2014","MMP20",0.13893
"2015","GPR37L1",0.15914
"2020","RAMP1",-0.00929
"2023","SHOX2",0.11307
"2025","TBL1X",-0.029829130819126
"2026","B4GALT2",0.10091
"2028","HUS1",0.11319
"2031","KCNJ13",0.02452
"2032","RNASEH1",0.0957
"2034","NBN",0.268139505631353
"2036","KERA",0.01908
"2038","DTNB",0.03465
"2039","RNGTT",0.0523
"2043","LILRB5",0.01326
"2046","HSF2BP",-0.02902
"2047","KIF21B",0.17247
"2049","SRGAP2",0.09179
"2052","IGSF3",0.12594
"2054","DNAJC6",0.11649
"2055","FAM20B",0.16871
"2056","DENND4B",0.18963
"2058","EFCAB14",0.10703
"2060","LRP3",0.08814
"2062","ADAM11",-0.15947
"2063","CBFA2T3",-0.11464
"2065","FZD7",0.00692
"2066","SLIT1",0.0885721487840741
"2067","SLIT3",0.0472722181573473
"2070","AOC2",-0.18334
"2071","ATP9A",0.204476540033961
"2074","ROCK2",0.0977978361404288
"2077","ZNF623",0.403973850463511
"2083","DEPDC5",-0.184548278176778
"2084","ATG13",-0.04237
"2085","ICOSLG",-0.03299
"2086","PPFIA3",-0.06591
"2088","OBSL1",0.00586
"2089","RNF40",0.01619
"2092","CLUH",-0.16086
"2094","CAND2",-0.01818
"2095","SOCS5",0.0273
"2096","NPHP4",-0.0729854035487481
"2097","KDM4A",0.10091
"2101","ADAMTS4",0.14551
"2104","ANKRD17",0.08089
"2106","ATP2C2",-0.1811
"2109","PEX11A",0.02009
"2111","NPIPB7",0.00187
"2112","TMEM127",0.12446
"2113","COQ9",-0.19095
"2116","SMIM24",-0.23034
"2117","ZNF780A",-0.02827
"2118","GADD45B",-0.24543
"2119","RTN2",-0.11367
"2122","UGT2B11",0.0975832660457008
"2124","ZPR1",0.00555
"2127","NIPSNAP2",0.12129
"2131","HMMR",-0.01891
"2132","TBX10",0.17151
"2134","PPFIA4",0.16337
"2139","ZNF253",0.09961
"2141","ATP6V1G1",-0.05819
"2142","VPS4B",-0.1648
"2143","MPDU1",-0.19746
"2155","FLNB",-0.06192
"2156","ZNF737",0.11905
"2160","TRIM3",-0.12488
"2161","ULK1",-0.11172
"2163","SLC43A1",0.04896
"2165","CS",0.04006
"2166","SPAG7",-0.20412
"2168","SEC22B",0.13973
"2174","POLQ",0.1523
"2175","CDC45",0.0237561690199377
"2176","GIGYF1",0.07244
"2181","VPS26A",0.09094
"2183","NDUFB1",0.05181
"2184","PMPCB",-0.04906
"2187","USH2A",0.00885372650611198
"2188","USH2A",0.00885372650611198
"2191","USH2A",0.00885372650611198
"2196","USH2A",0.00885372650611198
"2205","USH2A",0.00885372650611198
"2211","RDH16",0.04006
"2213","ERN1",0.07306
"2217","NR1I2",0.09676
"2218","LGR5",0.0982
"2221","ERLIN1",0.13203
"2222","TADA2A",-0.20337
"2224","GPC4",-0.01849
"2227","SRSF10",-0.1007
"2229","CLN5",-0.03133
"2231","CLDN11",0.2886
"2233","ECI2",0.14797
"2240","SF3B1",0.04878
"2241","CSDE1",0.0958880631080993
"2242","ZNF821",-0.191696198914628
"2243","DAB1",0.0781789621382844
"2245","SCGB2A1",0.03265
"2246","STX11",-0.10013
"2247","SKAP2",-0.15054
"2248","JRK",0.344292613077826
"2249","PRKRA",0.06186
"2252","ITGA10",0.18972
"2253","LRP6",-0.01308
"2254","RPS6KA5",0.0732278477641463
