"","gene_id","avg_seg_mean"
"ABCB10P4","ABCB10P4",0.00794
"ABCB11","ABCB11",0.0560899025669019
"ABCB4","ABCB4",0.08804
"ABCB5","ABCB5",-0.111282259648068
"ABCB6","ABCB6",0.00586
"ABCB7","ABCB7",-0.0154279440328288
"ABCB8","ABCB8",0.20474
"ABCB9","ABCB9",-0.023
"ABCC1","ABCC1",0.0666
"ABCC10","ABCC10",0.12147
"ABCC11","ABCC11",-0.08025
"ABCC12","ABCC12",-0.08025
"ABCC13","ABCC13",0.12409
"ABCC2","ABCC2",0.11411
"ABCC3","ABCC3",0.02724
"ABCC4","ABCC4",-0.000783550604586464
"ABCC5","ABCC5",0.32099
"ABCC5-AS1","ABCC5-AS1",0.32099
"ABCC6","ABCC6",0.0768808355874295
"ABCC6P1","ABCC6P1",0.122288676560748
"ABCC6P2","ABCC6P2",0.06676
"ABCC8","ABCC8",-0.14325
"ABCC9","ABCC9",0.0891392687316671
"ABCD1","ABCD1",-0.03266
"ABCD1P2","ABCD1P2",0.06806
"ABCD1P3","ABCD1P3",0.01686
"ABCD1P4","ABCD1P4",NA
"ABCD1P5","ABCD1P5",0.12409
"ABCD2","ABCD2",0.0482
"ABCD3","ABCD3",0.04837
"ABCD4","ABCD4",0.04727
"ABCE1","ABCE1",0.04308
"ABCF1","ABCF1",0.01357
"ABCF2","ABCF2",0.22079
"ABCF2-H2BK1","ABCF2-H2BK1",0.22079
"ABCF2P1","ABCF2P1",0.00371
"ABCF2P2","ABCF2P2",0.24338
"ABCF3","ABCF3",0.27809
"ABCG1","ABCG1",-0.0276
"ABCG2","ABCG2",-0.08758
"ABCG4","ABCG4",-0.05098
"ABCG5","ABCG5",0.02647
"ABCG8","ABCG8",0.02647
"ABHD1","ABHD1",0.07192
"ABHD10","ABHD10",0.0683373906431765
"ABHD11","ABHD11",0.13544
"ABHD12","ABHD12",0.00289
"ABHD12B","ABHD12B",-0.06686
"ABHD13","ABHD13",-0.0755467698981902
"ABHD14A","ABHD14A",-0.05831
"ABHD14A-ACY1","ABHD14A-ACY1",-0.05831
"ABHD14B","ABHD14B",-0.05831
"ABHD15","ABHD15",-0.22201
"ABHD15-AS1","ABHD15-AS1",-0.22201
"ABHD16A","ABHD16A",NA
"ABHD16B","ABHD16B",NA
"ABHD17A","ABHD17A",-0.23821
"ABHD17AP1","ABHD17AP1",0.1793
"ABHD17AP3","ABHD17AP3",0.00911
"ABHD17AP4","ABHD17AP4",0.0622
"ABHD17AP5","ABHD17AP5",-0.09587
"ABHD17AP6","ABHD17AP6",-0.19834
"ABHD17AP7","ABHD17AP7",0.01686
"ABHD17AP8","ABHD17AP8",NA
"ABHD17AP9","ABHD17AP9",NA
"ABHD17B","ABHD17B",-0.07788
"ABHD17C","ABHD17C",-0.02486
"ABHD18","ABHD18",-0.05811
"ABHD2","ABHD2",0.0181518109833972
"ABHD3","ABHD3",-0.02715
"ABHD4","ABHD4",-0.000819999999999998
"ABHD5","ABHD5",-0.08604
"ABHD6","ABHD6",-0.06192
"ABHD8","ABHD8",0.08429
"ABI1","ABI1",0.07757
"ABI1P1","ABI1P1",-0.09816
"ABI2","ABI2",-0.06523
"ABI3","ABI3",-0.04347
"ABI3BP","ABI3BP",0.07334
"ABITRAM","ABITRAM",-0.00497
"ABITRAMP1","ABITRAMP1",-0.11079
"ABL1","ABL1",-0.06078
"ABL2","ABL2",0.129078134083634
"ABLIM1","ABLIM1",0.0491549162098573
"ABLIM2","ABLIM2",0.0675842137300492
"ABLIM3","ABLIM3",-0.03378
"ABO","ABO",-0.06462
"ABR","ABR",-0.101579141993154
"ABR-AS1","ABR-AS1",-0.04219
"ABRA","ABRA",0.38344
"ABRACL","ABRACL",-0.10185
"ABRAXAS1","ABRAXAS1",-0.08259
"ABRAXAS2","ABRAXAS2",0.00150369849098056
"ABT1","ABT1",-0.00213
"ABT1P1","ABT1P1",-0.06751
"ABTB1","ABTB1",0.15474
"ABTB2","ABTB2",-0.04934
"ABTB3","ABTB3",-0.0449840431237494
"ACAA1","ACAA1",-0.09171
"ACAA2","ACAA2",-0.19761
"ACAA2P1","ACAA2P1",0.21805
"ACACA","ACACA",-0.181059645067013
"ACACB","ACACB",-0.0542194915172969
"ACAD10","ACAD10",-0.0498888815291679
"ACAD11","ACAD11",0.16212
"ACAD8","ACAD8",-0.18906
"ACAD9","ACAD9",0.15181
"ACAD9-DT","ACAD9-DT",0.15181
"ACADL","ACADL",-0.08439
"ACADM","ACADM",0.02232
"ACADS","ACADS",-0.01915
"ACADSB","ACADSB",-0.0012613596304577
"ACADVL","ACADVL",-0.20573
"ACAN","ACAN",0.0249617435418964
"ACAP1","ACAP1",-0.20573
"ACAP2","ACAP2",0.31952
"ACAP2-IT1","ACAP2-IT1",0.31952
"ACAP3","ACAP3",NA
"ACAT1","ACAT1",0.02418
"ACAT2","ACAT2",-0.13075
"ACBD3","ACBD3",0.00639
"ACBD3-AS1","ACBD3-AS1",0.00639
"ACBD4","ACBD4",-0.1365
"ACBD5","ACBD5",0.09053
"ACBD6","ACBD6",0.1675
"ACBD7","ACBD7",0.11444
"ACCS","ACCS",-0.01491
"ACCSL","ACCSL",-0.01491
"ACD","ACD",-0.25621
"ACE","ACE",0.02985
"ACE2","ACE2",-0.0506060731963092
"ACE2-DT","ACE2-DT",-0.06134
"ACE3P","ACE3P",0.02985
"ACER1","ACER1",-0.14141
"ACER2","ACER2",-0.01989
"ACER2P1","ACER2P1",-0.07436
"ACER3","ACER3",0.0649393200475784
"ACHE","ACHE",0.0698
"ACIN1","ACIN1",-0.0582
"ACKR1","ACKR1",0.12447
"ACKR2","ACKR2",-0.07679
"ACKR3","ACKR3",0.02194
"ACKR4","ACKR4",0.16212
"ACKR4P1","ACKR4P1",-0.10185
"ACLY","ACLY",-0.1981
"ACMSD","ACMSD",0.01209
"ACNATP","ACNATP",-0.01025
"ACO1","ACO1",0.01534
"ACO2","ACO2",-0.10754
"ACOD1","ACOD1",-0.03133
"ACOT1","ACOT1",-0.22466
"ACOT11","ACOT11",0.10518
"ACOT12","ACOT12",-0.22961
"ACOT13","ACOT13",-0.00922647632047079
"ACOT2","ACOT2",0.09756
"ACOT4","ACOT4",0.09756
"ACOT6","ACOT6",0.09756
"ACOT7","ACOT7",-0.0858538467756626
"ACOT8","ACOT8",0.21515
"ACOT9","ACOT9",0.148648802708541
"ACOX1","ACOX1",0.08784
"ACOX2","ACOX2",-0.06192
"ACOX3","ACOX3",0.0813316091818253
"ACOXL","ACOXL",0.0505864206286774
"ACOXL-AS1","ACOXL-AS1",0.04136
"ACP1","ACP1",NA
"ACP2","ACP2",-0.04237
"ACP3","ACP3",0.146292757345992
"ACP4","ACP4",-0.07075
"ACP5","ACP5",0.01815
"ACP6","ACP6",0.19076
"ACP7","ACP7",-0.00345710340114175
"ACR","ACR",NA
"ACRBP","ACRBP",0.07802
"ACRP1","ACRP1",0.03987
"ACRV1","ACRV1",-0.17833
"ACSBG1","ACSBG1",-0.01265
"ACSBG2","ACSBG2",-0.14141
"ACSF2","ACSF2",0.03774
"ACSF3","ACSF3",-0.11464
"ACSL1","ACSL1",-0.113950566851874
"ACSL3","ACSL3",0.0224
"ACSL3-AS1","ACSL3-AS1",0.0224
"ACSL4","ACSL4",-0.01965
"ACSL5","ACSL5",0.11579
"ACSL6","ACSL6",-0.05053
"ACSL6-AS1","ACSL6-AS1",-0.05053
"ACSM1","ACSM1",-0.0057
"ACSM2A","ACSM2A",-0.0057
"ACSM2B","ACSM2B",-0.0057
"ACSM3","ACSM3",-0.0057
"ACSM4","ACSM4",0.07326
"ACSM5","ACSM5",-0.0057
"ACSM5P1","ACSM5P1",-0.0057
"ACSM6","ACSM6",0.08759
"ACSS1","ACSS1",0.00289
"ACSS2","ACSS2",0.15255
"ACSS3","ACSS3",0.0668
"ACTA1","ACTA1",0.04735
"ACTA2","ACTA2",0.06805
"ACTA2-AS1","ACTA2-AS1",0.06805
"ACTB","ACTB",-0.12016
"ACTBL2","ACTBL2",-0.16005
"ACTBP1","ACTBP1",0.19945
"ACTBP11","ACTBP11",0.00279
"ACTBP12","ACTBP12",0.03449
"ACTBP14","ACTBP14",0.09094
"ACTBP15","ACTBP15",-0.13796
"ACTBP2","ACTBP2",-0.16113
"ACTBP4","ACTBP4",-0.05053
"ACTBP6","ACTBP6",0.28771
"ACTBP7","ACTBP7",-0.09599
"ACTBP8","ACTBP8",0.08633
"ACTBP9","ACTBP9",-0.1648
"ACTC1","ACTC1",-0.08694
"ACTE1P","ACTE1P",0.07903
"ACTG1","ACTG1",0.06941
"ACTG1P1","ACTG1P1",0.12014
"ACTG1P10","ACTG1P10",0.07802
"ACTG1P11","ACTG1P11",NA
"ACTG1P12","ACTG1P12",-0.0327
"ACTG1P13","ACTG1P13",0.13589
"ACTG1P14","ACTG1P14",-0.19615
"ACTG1P15","ACTG1P15",0.000939999999999996
"ACTG1P16","ACTG1P16",-0.0836
"ACTG1P17","ACTG1P17",-0.01987
"ACTG1P18","ACTG1P18",0.05368
"ACTG1P19","ACTG1P19",-0.0076
"ACTG1P2","ACTG1P2",NA
"ACTG1P20","ACTG1P20",-0.10366
"ACTG1P21","ACTG1P21",0.02417
"ACTG1P22","ACTG1P22",0.07615
"ACTG1P23","ACTG1P23",0.24337
"ACTG1P24","ACTG1P24",-0.20933
"ACTG1P25","ACTG1P25",0.16337
"ACTG1P3","ACTG1P3",0.19957
"ACTG1P4","ACTG1P4",0.09311
"ACTG1P9","ACTG1P9",0.11488
"ACTG2","ACTG2",0.09977
"ACTL10","ACTL10",0.12912
"ACTL11P","ACTL11P",-0.084
"ACTL6A","ACTL6A",0.27535
"ACTL6B","ACTL6B",0.07244
"ACTL7A","ACTL7A",0.04802
"ACTL7B","ACTL7B",0.04802
"ACTL8","ACTL8",-0.09281
"ACTL9","ACTL9",0.0239
"ACTN1","ACTN1",-0.0115146747996764
"ACTN1-DT","ACTN1-DT",-0.00901
"ACTN2","ACTN2",0.09603
"ACTN3","ACTN3",0.02912
"ACTN4","ACTN4",-0.02339
"ACTN4P1","ACTN4P1",-0.05114
"ACTN4P2","ACTN4P2",0.01753
"ACTP1","ACTP1",0.04996
"ACTR10","ACTR10",-0.14326
"ACTR1A","ACTR1A",0.06377
"ACTR1AP1","ACTR1AP1",0.06463
"ACTR1B","ACTR1B",0.0977507578415954
"ACTR2","ACTR2",0.07564
"ACTR3","ACTR3",0.03987
"ACTR3-AS1","ACTR3-AS1",0.03987
"ACTR3B","ACTR3B",0.19428
"ACTR3BP1","ACTR3BP1",NA
"ACTR3BP2","ACTR3BP2",0.12409
"ACTR3BP3","ACTR3BP3",0.01686
"ACTR3BP4","ACTR3BP4",-0.09036
"ACTR3BP5","ACTR3BP5",0.06806
"ACTR3BP6","ACTR3BP6",NA
"ACTR3C","ACTR3C",0.23764
"ACTR3P2","ACTR3P2",-0.00531
"ACTR3P3","ACTR3P3",0.07334
"ACTR5","ACTR5",0.06158
"ACTR6","ACTR6",0.04392
"ACTR6P1","ACTR6P1",-0.05822
"ACTR8","ACTR8",-0.04172
"ACTRT1","ACTRT1",-0.01569
"ACTRT1P1","ACTRT1P1",-0.01569
"ACTRT2","ACTRT2",NA
"ACTRT3","ACTRT3",0.2886
"ACVR1","ACVR1",0.06413
"ACVR1B","ACVR1B",0.10197339806051
"ACVR1C","ACVR1C",0.0540051479022228
"ACVR2A","ACVR2A",0.00868
"ACVR2B","ACVR2B",-0.09171
"ACVR2B-AS1","ACVR2B-AS1",-0.09171
"ACVRL1","ACVRL1",0.11729
"ACY1","ACY1",-0.05831
"ACY3","ACY3",0.17151
"ACYP1","ACYP1",0.04616
"ACYP2","ACYP2",0.0677325067245507
"ADA","ADA",0.21844
"ADA2","ADA2",0.0104253449275362
"ADAD1","ADAD1",-0.06049
"ADAD1P2","ADAD1P2",-0.19761
"ADAD2","ADAD2",-0.15021
"ADAL","ADAL",-0.08742
"ADAM10","ADAM10",-0.098652270022382
"ADAM11","ADAM11",-0.15947
"ADAM12","ADAM12",0.01882
"ADAM15","ADAM15",0.17139
"ADAM17","ADAM17",0.06789
"ADAM18","ADAM18",-0.0430577746923535
"ADAM19","ADAM19",0.05058
"ADAM1A","ADAM1A",-0.0618534470816236
"ADAM1B","ADAM1B",-0.06752
"ADAM2","ADAM2",-0.0242604337351537
"ADAM20","ADAM20",0.04585
"ADAM20P1","ADAM20P1",0.04585
"ADAM20P2","ADAM20P2",-0.2117
"ADAM20P3","ADAM20P3",-0.13883
"ADAM21","ADAM21",0.04585
"ADAM21P1","ADAM21P1",0.04585
"ADAM22","ADAM22",0.0775075932343959
"ADAM23","ADAM23",-0.0677024518836999
"ADAM24P","ADAM24P",-0.04726
"ADAM28","ADAM28",-0.05203
"ADAM29","ADAM29",-0.197594106959792
"ADAM30","ADAM30",0.13973
"ADAM32","ADAM32",-0.02947
"ADAM33","ADAM33",0.09507
"ADAM3A","ADAM3A",0.2766
"ADAM3B","ADAM3B",-0.06905
"ADAM5","ADAM5",0.0276752059582143
"ADAM6","ADAM6",NA
"ADAM7","ADAM7",-0.05203
"ADAM7-AS1","ADAM7-AS1",-0.05203
"ADAM7-AS2","ADAM7-AS2",-0.05203
"ADAM8","ADAM8",0.01193
"ADAM9","ADAM9",-0.02947
"ADAMDEC1","ADAMDEC1",-0.05203
"ADAMTS1","ADAMTS1",0.08283
"ADAMTS10","ADAMTS10",-0.03539
"ADAMTS12","ADAMTS12",0.0808656943556773
"ADAMTS13","ADAMTS13",-0.0633
"ADAMTS14","ADAMTS14",0.13620174585253
"ADAMTS15","ADAMTS15",-0.17347
"ADAMTS16","ADAMTS16",0.20059
"ADAMTS16-DT","ADAMTS16-DT",0.20059
"ADAMTS17","ADAMTS17",0.0948895664071254
"ADAMTS18","ADAMTS18",-0.254269780032365
"ADAMTS19","ADAMTS19",-0.11551
"ADAMTS19-AS1","ADAMTS19-AS1",-0.11551
"ADAMTS2","ADAMTS2",0.09555
"ADAMTS20","ADAMTS20",0.0712612284370248
"ADAMTS3","ADAMTS3",0.0782235852983889
"ADAMTS4","ADAMTS4",0.14551
"ADAMTS5","ADAMTS5",0.08283
"ADAMTS6","ADAMTS6",-0.23073
"ADAMTS7","ADAMTS7",0.0124791297118115
"ADAMTS7P1","ADAMTS7P1",-0.01987
"ADAMTS7P3","ADAMTS7P3",-0.02577
"ADAMTS7P4","ADAMTS7P4",0.03079
"ADAMTS8","ADAMTS8",-0.17347
"ADAMTS9","ADAMTS9",0.00355000000000001
"ADAMTS9-AS1","ADAMTS9-AS1",0.00355000000000001
"ADAMTS9-AS2","ADAMTS9-AS2",-0.00516527333056932
"ADAMTSL1","ADAMTSL1",-0.0717008179359395
"ADAMTSL2","ADAMTSL2",-0.0633
"ADAMTSL3","ADAMTSL3",-0.0244668718315343
"ADAMTSL4","ADAMTSL4",0.14631
"ADAMTSL4-AS1","ADAMTSL4-AS1",0.14631
"ADAMTSL4-AS2","ADAMTSL4-AS2",0.14631
"ADAMTSL5","ADAMTSL5",-0.23122
"ADAP1","ADAP1",-0.0207
"ADAP2","ADAP2",-0.21141
"ADAR","ADAR",0.18995
"ADARB1","ADARB1",-0.01375
"ADARB2","ADARB2",0.0845111188349632
"ADARB2-AS1","ADARB2-AS1",0.09022
"ADAT1","ADAT1",-0.25547
"ADAT2","ADAT2",-0.10267
"ADAT3","ADAT3",-0.23821
"ADCK1","ADCK1",0.05845
"ADCK2","ADCK2",0.22467
"ADCK5","ADCK5",NA
"ADCY1","ADCY1",0.11869
"ADCY10","ADCY10",0.03453
"ADCY10P1","ADCY10P1",0.11108
"ADCY2","ADCY2",0.19148868792266
"ADCY3","ADCY3",0.03465
"ADCY4","ADCY4",-0.04966
"ADCY5","ADCY5",0.13256
"ADCY6","ADCY6",0.05528
"ADCY6-DT","ADCY6-DT",0.05528
"ADCY7","ADCY7",-0.0836
"ADCY8","ADCY8",0.355488577771484
"ADCY9","ADCY9",-0.03295
"ADCYAP1","ADCYAP1",-0.10565
"ADCYAP1R1","ADCYAP1R1",-0.14637
"ADD1","ADD1",0.09878
"ADD2","ADD2",0.07638
"ADD3","ADD3",0.12059
"ADD3-AS1","ADD3-AS1",0.12059
"ADGB","ADGB",-0.10058
"ADGB-DT","ADGB-DT",-0.10058
"ADGRA1","ADGRA1",0.01193
"ADGRA1-AS1","ADGRA1-AS1",0.01193
"ADGRA2","ADGRA2",-0.03179
"ADGRA3","ADGRA3",-0.07831
"ADGRA3P1","ADGRA3P1",0.05737
"ADGRB1","ADGRB1",0.37131
"ADGRB2","ADGRB2",-0.02844
"ADGRB3","ADGRB3",0.0508637743302506
"ADGRB3-DT","ADGRB3-DT",0.04537
"ADGRD1","ADGRD1",-0.119675331904871
"ADGRD1-AS1","ADGRD1-AS1",-0.1199
"ADGRD2","ADGRD2",0.00375
"ADGRE1","ADGRE1",NA
"ADGRE2","ADGRE2",-0.00648
"ADGRE3","ADGRE3",0.0176262903438647
"ADGRE4P","ADGRE4P",NA
"ADGRE5","ADGRE5",0.02443
"ADGRF1","ADGRF1",0.10595
"ADGRF2","ADGRF2",0.09838
"ADGRF3","ADGRF3",0.03385
"ADGRF4","ADGRF4",0.09838
"ADGRF5","ADGRF5",0.11081
"ADGRF5-AS1","ADGRF5-AS1",0.11081
"ADGRF5P1","ADGRF5P1",0.20367
"ADGRF5P2","ADGRF5P2",0.19465
"ADGRG1","ADGRG1",-0.19095
"ADGRG2","ADGRG2",-0.0447794722271834
"ADGRG3","ADGRG3",-0.19095
"ADGRG4","ADGRG4",-0.01849
"ADGRG5","ADGRG5",-0.19095
"ADGRG6","ADGRG6",-0.10333
"ADGRG7","ADGRG7",0.07334
"ADGRL1","ADGRL1",0.02443
"ADGRL1-AS1","ADGRL1-AS1",0.02443
"ADGRL2","ADGRL2",-0.06935
"ADGRL3","ADGRL3",0.0702174469584191
"ADGRL3-AS1","ADGRL3-AS1",0.06385
"ADGRL4","ADGRL4",-0.0832956110630636
"ADGRV1","ADGRV1",-0.188000497168786
"ADH1A","ADH1A",-0.09216
"ADH1B","ADH1B",-0.09216
"ADH1C","ADH1C",-0.09216
"ADH4","ADH4",-0.06751
"ADH5","ADH5",-0.06751
"ADH5P2","ADH5P2",-0.06605
"ADH5P3","ADH5P3",0.08414
"ADH5P4","ADH5P4",0.06233
"ADH5P5","ADH5P5",0.18524
"ADH6","ADH6",-0.06751
"ADH7","ADH7",-0.08847
"ADHFE1","ADHFE1",0.14277
"ADI1","ADI1",0.0957
"ADI1P1","ADI1P1",0.07087
"ADI1P2","ADI1P2",0.38619
"ADI1P3","ADI1P3",0.02252
"ADIG","ADIG",0.15826
"ADIPOQ","ADIPOQ",0.28796
"ADIPOQ-AS1","ADIPOQ-AS1",0.28796
"ADIPOR1","ADIPOR1",0.16337
"ADIPOR1P1","ADIPOR1P1",0.10746
"ADIPOR1P2","ADIPOR1P2",0.04779
"ADIPOR2","ADIPOR2",0.0995089937958754
"ADIRF","ADIRF",0.08691
"ADIRF-AS1","ADIRF-AS1",0.08691
"ADK","ADK",0.23024
"ADM","ADM",-0.13723
"ADM-DT","ADM-DT",-0.13723
"ADM2","ADM2",NA
"ADM5","ADM5",NA
"ADNP","ADNP",0.25468
"ADNP-AS1","ADNP-AS1",0.25468
"ADNP2","ADNP2",NA
"ADO","ADO",0.11671
"ADORA1","ADORA1",0.16337
"ADORA2A","ADORA2A",0.05302
"ADORA2A-AS1","ADORA2A-AS1",-0.0526175853916373
"ADORA2B","ADORA2B",-0.22414
"ADORA2BP1","ADORA2BP1",0.00238999999999999
"ADORA3","ADORA3",0.08111
"ADPGK","ADPGK",-0.06604
"ADPGK-AS1","ADPGK-AS1",-0.06604
"ADPRH","ADPRH",0.09676
"ADPRHL1","ADPRHL1",-0.0234966652065132
"ADPRM","ADPRM",-0.24086
"ADPRS","ADPRS",-0.03576
"ADRA1A","ADRA1A",-0.04188
"ADRA1B","ADRA1B",0.05416
"ADRA1D","ADRA1D",0.09478
"ADRA2A","ADRA2A",0.12059
"ADRA2B","ADRA2B",0.12446
"ADRA2C","ADRA2C",0.12528
"ADRB1","ADRB1",0.04608
"ADRB2","ADRB2",-0.03378
"ADRB3","ADRB3",-0.03179
"ADRM1","ADRM1",0.18983
"ADSL","ADSL",-0.14543
"ADSS1","ADSS1",0.1001
"ADSS2","ADSS2",0.05896
"ADTRP","ADTRP",0.08909
"AEBP1","AEBP1",-0.00192
"AEBP2","AEBP2",0.0797142376663718
"AEN","AEN",0.01495
"AFAP1","AFAP1",0.0685577588263652
"AFAP1-AS1","AFAP1-AS1",0.07909
"AFAP1L1","AFAP1L1",-0.03378
"AFAP1L2","AFAP1L2",0.09063
"AFDN","AFDN",-0.11822437220007
"AFDN-DT","AFDN-DT",-0.18134
"AFF1","AFF1",-0.05717
"AFF2","AFF2",-0.0528257056291731
"AFF2-IT1","AFF2-IT1",-0.04834
"AFF3","AFF3",0.101797521450646
"AFF4","AFF4",-0.10994
"AFF4-DT","AFF4-DT",-0.10994
"AFG1L","AFG1L",0.0084
"AFG3L1P","AFG3L1P",NA
"AFG3L2","AFG3L2",0.04049
"AFG3L2P1","AFG3L2P1",0.14708
"AFM","AFM",0.08089
"AFMID","AFMID",0.07673
"AFP","AFP",0.08089
"AFTPH","AFTPH",0.07165
"AFTPH-DT","AFTPH-DT",0.07165
"AGA","AGA",-0.19847
"AGA-DT","AGA-DT",-0.151676704431299
"AGAP1","AGAP1",0.0304748261573802
"AGAP1-IT1","AGAP1-IT1",0.02857
"AGAP10P","AGAP10P",0.09848
"AGAP11","AGAP11",0.08691
"AGAP12P","AGAP12P",0.08111
"AGAP13P","AGAP13P",0.10823
"AGAP14P","AGAP14P",0.1406
"AGAP2","AGAP2",0.03964
"AGAP2-AS1","AGAP2-AS1",0.03964
"AGAP3","AGAP3",0.22079
"AGAP4","AGAP4",-0.09501
"AGAP5","AGAP5",0.23769
"AGAP6","AGAP6",0.19725
"AGAP7P","AGAP7P",0.14054
"AGAP9","AGAP9",NA
"AGBL1","AGBL1",0.0132941818848765
"AGBL1-AS1","AGBL1-AS1",0.0143
"AGBL2","AGBL2",-0.04237
"AGBL3","AGBL3",0.26256
"AGBL4","AGBL4",0.0947698713580998
"AGBL4-AS1","AGBL4-AS1",0.08826
"AGBL4-IT1","AGBL4-IT1",0.08826
"AGBL5","AGBL5",0.03077
"AGBL5-AS1","AGBL5-AS1",0.03077
"AGBL5-IT1","AGBL5-IT1",0.03077
"AGER","AGER",NA
"AGFG1","AGFG1",0.0115178888186173
"AGFG2","AGFG2",0.07244
"AGGF1","AGGF1",-0.23037
"AGGF1P1","AGGF1P1",NA
"AGGF1P10","AGGF1P10",NA
"AGGF1P2","AGGF1P2",NA
"AGGF1P3","AGGF1P3",-0.06731
"AGGF1P4","AGGF1P4",0.04344
"AGGF1P5","AGGF1P5",0.04344
"AGGF1P6","AGGF1P6",0.04344
"AGGF1P7","AGGF1P7",-0.02767
"AGGF1P8","AGGF1P8",0.04003
"AGGF1P9","AGGF1P9",0.04003
"AGK","AGK",0.22467
"AGK-DT","AGK-DT",0.22467
"AGKP1","AGKP1",NA
"AGKP2","AGKP2",-0.01849
"AGL","AGL",0.00534
"AGMAT","AGMAT",-0.08251
"AGMO","AGMO",-0.0910441159647202
"AGO1","AGO1",-0.03576
"AGO2","AGO2",0.272876391241343
"AGO3","AGO3",-0.03576
"AGO4","AGO4",-0.03576
"AGPAT1","AGPAT1",NA
"AGPAT2","AGPAT2",-0.08834
"AGPAT3","AGPAT3",-0.0102017065548197
"AGPAT4","AGPAT4",-0.18078
"AGPAT5","AGPAT5",-0.12741
"AGPAT5P1","AGPAT5P1",NA
"AGPS","AGPS",0.00732
"AGR2","AGR2",-0.07674
"AGR3","AGR3",-0.07674
"AGRN","AGRN",NA
"AGRP","AGRP",-0.25621
"AGT","AGT",0.0475
"AGTPBP1","AGTPBP1",-0.01698
"AGTR1","AGTR1",0.0911121774140753
"AGTR2","AGTR2",-0.01924
"AGTRAP","AGTRAP",-0.08749
"AGXT","AGXT",-0.00901
"AGXT2","AGXT2",0.12605
"AHCTF1","AHCTF1",0.0728597491827757
"AHCTF1P1","AHCTF1P1",0.06444
"AHCY","AHCY",0.13388
"AHCYL1","AHCYL1",0.09789
"AHCYL2","AHCYL2",0.130774952127268
"AHCYP2","AHCYP2",-0.02177
"AHCYP3","AHCYP3",0.08789
"AHCYP4","AHCYP4",0.07321
"AHCYP5","AHCYP5",0.07626
"AHCYP7","AHCYP7",-0.09205
"AHCYP8","AHCYP8",NA
"AHDC1","AHDC1",-0.09753
"AHI1","AHI1",-0.06544
"AHI1-DT","AHI1-DT",-0.06544
"AHNAK","AHNAK",0.04114
"AHNAK2","AHNAK2",0.1001
"AHR","AHR",-0.0642389385303488
"AHRR","AHRR",NA
"AHSA1","AHSA1",0.05845
"AHSA2P","AHSA2P",0.07165
"AHSG","AHSG",0.28072
"AHSP","AHSP",0.01282
"AICDA","AICDA",0.08307
"AIDA","AIDA",-0.0147
"AIDAP1","AIDAP1",0.16596
"AIDAP2","AIDAP2",-0.00413929652354953
"AIDAP3","AIDAP3",-0.13254
"AIF1","AIF1",NA
"AIF1L","AIF1L",-0.06078
"AIFM1","AIFM1",-0.01569
"AIFM1P1","AIFM1P1",0.10454
"AIFM2","AIFM2",0.10102
