"","node_1","node_2","score"
"244","CENPE","CENPA",0.655
"611","CENPE","KIF20A",0.413
"166","CENPE","AURKB",0.674
"47","CENPE","NUF2",0.712
"604","CENPE","PRC1",0.662
"580","PITX1","CD9",0.487
"68","CENPE","BUB1B",0.989
"502","CENPE","CENPI",0.502
"815","ANLN","BRCA1",0.42
"589","ANLN","DBN1",0.42
"585","ANLN","CIT",0.509
"738","ANLN","RACGAP1",0.941
"350","ANLN","IQGAP3",0.457
"909","LGR5","ZNRF3",0.99
"578","LGR5","TNFRSF19",0.618
"787","TICRR","MCM10",0.79
"358","CACNA1C","RYR2",0.88
"1244","TICRR","RECQL4",0.858
"746","TICRR","CDC45",0.525
"1497","ERBB2","NOTCH1",0.411
"683","ERBB2","EPHB2",0.596
"624","ERBB2","NRG4",0.59
"725","ERBB2","GRB7",0.992
"739","ERBB2","GPI",0.491
"83","ERBB2","FGFR4",0.732
"673","ERBB2","GAPDH",0.422
"392","ERBB2","PTGS2",0.564
"252","ERBB2","FGFR3",0.607
"132","NUF2","BUB1",0.725
"592","ERBB2","JUP",0.542
"167","NUF2","AURKB",0.581
"249","NUF2","CENPA",0.474
"59","NUF2","CENPH",0.872
"465","PLK4","STIL",0.994
"732","PLK4","RACGAP1",0.445
"67","PLK4","BUB1B",0.447
"100","PLK4","PLK1",0.496
"56","NUF2","SPC25",0.987
"655","PLK4","CDK1",0.582
"229","NUF2","KNL1",0.889
"964","NUF2","SPC24",0.999
"148","GINS4","CLSPN",0.8
"405","RTKN","S100A4",0.436
"516","CDCA5","CDCA8",0.448
"275","PLOD2","COL27A1",0.499
"661","CDCA5","CDK1",0.826
"160","CDCA5","AURKB",0.787
"76","CDCA5","CCNB2",0.568
"119","CDCA5","BIRC5",0.566
"743","GINS4","CDC45",0.999
"1249","GINS4","RECQL4",0.531
"980","GINS4","POLD1",0.452
"786","GINS4","MCM10",0.569
"397","CENPH","CENPW",0.989
"1103","CENPH","H4C4",0.8
"559","CENPH","H2BC10",0.8
"287","CENPH","H2BC7",0.8
"961","SPC25","SPC24",0.982
"127","SPC25","BUB1",0.725
"228","SPC25","KNL1",0.834
"663","CENPH","CENPK",0.999
"779","CENPH","HJURP",0.68
"353","FZD7","TGM2",0.404
"1089","CENPH","H4C1",0.8
"1439","CENPH","H2BC6",0.8
"71","SKA1","BUB1B",0.9
"362","SKA1","CENPF",0.9
"523","FZD7","BAMBI",0.9
"1210","CENPH","H4C13",0.8
"499","CENPH","CENPI",0.999
"924","CENPH","H2BC8",0.8
"240","CENPH","CENPA",0.984
"231","CENPH","KNL1",0.549
"185","CENPH","H2BC4",0.8
"103","SKA1","PLK1",0.72
"172","SKA1","SKA3",0.999
"912","ATP1B3","ATP1A1",0.987
"910","ATP1B3","SLC1A5",0.424
"1087","ATAD2","H4C1",0.9
"263","ATP1B3","ABCA2",0.72
"1180","ATAD2","H4C13",0.9
"1099","ATAD2","H4C4",0.9
"466","BUB1B","KIF2C",0.575
"837","BUB1B","BRCA1",0.72
"519","BUB1B","CDCA8",0.576
"117","BUB1B","BIRC5",0.592
"81","BUB1B","CCNB2",0.72
"575","IL17RB","IL33",0.708
"1453","BUB1B","RAD51",0.72
"174","BUB1B","SKA3",0.9
"85","BUB1B","MAD2L1",0.999
"359","BUB1B","CENPF",0.972
"651","BUB1B","CDK1",0.979
"230","BUB1B","KNL1",0.997
"198","BUB1B","CDCA2",0.439
"143","BUB1B","CBX2",0.72
"375","BUB1B","NEK2",0.861
"1214","BUB1B","CCNA2",0.824
"491","BUB1B","CDC20",0.999
"94","BUB1B","PLK1",0.947
"627","CCNB2","CDK1",0.999
"277","BUB1B","UBE2C",0.826
"517","CCNB2","CDCA8",0.602
"90","CCNB2","MELK",0.587
"241","CCNB2","CENPA",0.477
"162","CCNB2","AURKB",0.726
"121","CCNB2","BIRC5",0.698
"99","CCNB2","PLK1",0.542
"348","CCNB2","RRM2",0.555
"863","CCNB2","CCNE2",0.723
"128","CCNB2","BUB1",0.831
"246","BUB1B","CENPA",0.535
"161","BUB1B","AURKB",0.953
"1233","CCNB2","CCNA2",0.596
"123","BUB1B","BUB1",0.994
"524","CCNB2","CKS2",0.693
"268","CCNB2","E2F1",0.427
"595","BUB1B","PTTG1",0.423
"338","SPINDOC","H3C12",0.8
"250","FGFR4","FGFR3",0.632
"222","SPINDOC","H3C13",0.8
"1337","SPINDOC","H3C11",0.8
"300","MAD2L1","SGO2",0.456
"726","MAD2L1","RACGAP1",0.445
"1159","SPINDOC","H3C1",0.8
"1234","MAD2L1","CCNA2",0.601
"374","MAD2L1","NEK2",0.861
"430","SPINDOC","H3C10",0.8
"489","MAD2L1","CDC20",0.999
"279","MAD2L1","UBE2C",0.628
"131","MAD2L1","BUB1",0.804
"615","MAD2L1","KIF20A",0.615
"659","MAD2L1","CDK1",0.691
"440","MAD2L1","TTK",0.485
"227","PLK1","ERCC6L",0.95
"116","MELK","BIRC5",0.436
"258","MELK","FOXM1",0.705
"1135","PCLAF","UHRF1",0.487
"816","PCLAF","BRCA1",0.667
"130","PLK1","BUB1",0.728
"192","PLK1","SPAG5",0.649
"183","PLK1","H2BC4",0.499
"487","PLK1","CDC20",0.785
"618","PLK1","KIF20A",0.563
"369","PLK1","CENPF",0.812
"344","ANPEP","DPP4",0.639
"294","PLK1","H2BC12",0.499
"332","PLK1","H3C12",0.52
"136","PLK1","H2AC8",0.499
"281","PLK1","UBE2C",0.57
"217","PLK1","H3C13",0.52
"731","PLK1","RACGAP1",0.457
"542","PLK1","H2BC13",0.499
"1008","PLK1","H2BC11",0.499
"606","PLK1","PRC1",0.63
"180","PLK1","CDC25C",0.894
"782","PLK1","GTSE1",0.926
"1029","PLK1","H2BC17",0.499
"1457","PLK1","RAD51",0.457
"892","PLK1","H2AX",0.499
"414","PLK1","H2BC21",0.499
"260","PLK1","FOXM1",0.944
"175","PLK1","SKA3",0.793
"660","PLK1","CDK1",0.428
"591","TPX2","HMMR",0.761
"1313","PLK1","H2BC3",0.499
"165","TPX2","AURKB",0.506
"349","PLK1","RRM2",0.522
"404","TPX2","MKI67",0.599
"820","TPX2","BRCA1",0.699
"346","TPX2","RRM2",0.438
"823","PLK1","BRCA1",0.773
"770","PLK1","TOP2A",0.578
"470","PLK1","KIF2C",0.486
"216","MED1","H3C13",0.8
"1051","PLK1","H2BC14",0.499
"202","PLK1","H2AC14",0.499
"1389","PLK1","H2BC15",0.499
"149","PLK1","CLSPN",0.457
"115","PLK1","BIRC5",0.406
"386","MED1","NR5A2",0.499
"191","MED1","SPAG5",0.422
"750","CDT1","CDC45",0.767
"1085","MED1","H4C1",0.8
"1114","MED1","H4C4",0.8
"819","MED1","BRCA1",0.433
"573","MED1","FBXL19",0.584
"226","MED1","MRPL12",0.588
"447","CDT1","ORC1",0.938
"1002","MED1","H2BC11",0.8
"370","CDT1","DTL",0.659
"657","CDT1","CDK1",0.665
"1236","CDT1","CCNA2",0.655
"529","CDT1","CKS2",0.671
"794","CDT1","MCM10",0.9
"1183","MED1","H4C13",0.8
"985","CDT1","WDR18",0.436
"280","BIRC5","UBE2C",0.483
"891","BIRC5","H2AX",0.457
"168","BIRC5","AURKB",0.998
"360","BIRC5","CENPF",0.55
"513","BIRC5","CDCA8",0.999
"630","BIRC5","CDK1",0.79
"124","BIRC5","BUB1",0.638
"765","BIRC5","TOP2A",0.507
"163","BUB1","AURKB",0.762
"479","BUB1","KIF2C",0.668
"441","BUB1","TTK",0.544
"363","BUB1","CENPF",0.657
"469","BIRC5","KIF2C",0.599
"218","BIRC5","H3C13",0.475
"631","BUB1","CDK1",0.901
"234","BUB1","KNL1",0.996
"493","BUB1","CDC20",0.983
"962","BUB1","SPC24",0.725
"257","BIRC5","FOXM1",0.51
"1218","BUB1","CCNA2",0.503
"254","MUC17","PDZK1",0.476
"1152","H2AC8","H3C1",0.96
"1096","H2AC8","H4C4",0.977
"205","H2AC8","H1-10",0.852
"1324","H2AC8","H2BC3",0.971
"247","H2AC8","CENPA",0.984
"1408","H2AC8","PHF19",0.499
"1017","H2AC8","H2BC17",0.767
"1353","H2AC8","H2AC4",0.952
"834","H2AC8","BRCA1",0.809
"696","H2AC8","TONSL",0.457
"1195","H2AC8","H4C13",0.977
"415","H2AC8","H2BC21",0.992
"319","H2AC8","H2AC11",0.904
"1256","H2AC8","H2AC15",0.9
"1378","H2AC8","H2BC15",0.618
"1283","H2AC8","H2AC16",0.9
"1040","H2AC8","H2BC14",0.671
"204","H2AC8","H2AC14",0.937
"436","H2AC8","H3C10",0.946
"875","H2AC8","H2AX",0.557
"996","H2AC8","H2BC11",0.985
"215","H2AC8","H3C13",0.974
"1334","H2AC8","H3C11",0.946
"303","H2AC8","H2AC13",0.9
"612","H2AC8","KIF20A",0.457
"385","H2AC8","NR5A2",0.499
"290","H2AC8","H2BC12",0.977
"540","H2AC8","H2BC13",0.511
"325","H2AC8","H3C12",0.994
"556","H2AC8","H2AC12",0.9
"184","H2AC8","H2BC4",0.635
"633","CDC25A","CDK1",0.494
"144","H2AC8","CBX2",0.63
"936","H2AC8","H2BC18",0.553
"455","H2AC8","ORC1",0.526
"1132","H2AC8","UHRF1",0.499
"1495","CDC25A","NOTCH1",0.48
"1483","RAC3","ESPN",0.72
"1065","H2AC8","H4C1",0.977
"179","CDC25A","CDC25C",0.9
"811","CDC25A","BRCA1",0.665
"706","CDC25A","CHEK1",0.608
"271","RAC3","PDLIM7",0.54
"866","RAC3","IL32",0.547
"214","CBX2","H3C13",0.987
"728","SHCBP1","RACGAP1",0.673
"245","SHCBP1","CENPA",0.6
"911","RAC3","SLC1A5",0.543
"1325","CBX2","H3C11",0.9
"297","CBX2","H2BC12",0.499
"998","CBX2","H2BC11",0.499
"439","CBX2","TTK",0.459
"426","CBX2","H3C10",0.9
"1153","CBX2","H3C1",0.939
"413","CBX2","H2BC21",0.574
"284","CBX2","UBE2C",0.9
"1471","CBX2","RAD51",0.72
"959","CBX2","MSMB",0.476
"201","CBX2","H2AC14",0.499
"1036","CBX2","H2BC14",0.499
"1371","CBX2","H2BC15",0.499
"882","CBX2","H2AX",0.596
"1318","CBX2","H2BC3",0.63
"496","CBX2","CDC20",0.54
"826","CBX2","BRCA1",0.9
"541","CBX2","H2BC13",0.499
"700","MZT2A","MZT2B",0.812
"828","MZT2A","BRCA1",0.72
"336","CBX2","H3C12",0.988
"182","CBX2","H2BC4",0.646
"1025","CBX2","H2BC17",0.499
"792","CLSPN","MCM10",0.883
"1154","ATAD5","H3C1",0.422
"709","CLSPN","CDC7",0.74
"450","CLSPN","ORC1",0.499
"361","AURKB","CENPF",0.588
"680","CLSPN","MUC16",0.4
"832","CLSPN","BRCA1",0.457
"741","CLSPN","CDC45",0.965
"702","CLSPN","CHEK1",0.998
"727","AURKB","RACGAP1",0.777
"520","AURKB","CDCA8",0.998
"237","AURKB","CENPA",0.694
"282","AURKB","UBE2C",0.406
"495","AURKB","CDC20",0.81
"613","AURKB","KIF20A",0.722
"235","AURKB","KNL1",0.583
"1155","AURKB","H3C1",0.487
"473","AURKB","KIF2C",0.711
"390","AURKB","ASPM",0.536
"650","AURKB","CDK1",0.851
"274","P3H2","COL27A1",0.499
"571","CYC1","ATAD3A",0.407
"328","CHAF1B","H3C12",0.582
"1167","CHAF1B","H3C1",0.457
"654","CDC25C","CDK1",0.911
"572","SPTBN5","NRCAM",0.499
"868","SPTBN5","SPTBN2",0.9
"366","SKA3","CENPF",0.9
"705","CDC25C","CHEK1",0.697
"243","H2BC4","CENPA",0.899
"883","H2BC4","H2AX",0.586
"334","H2BC4","H3C12",0.948
"445","H2BC4","ORC1",0.547
"1034","H2BC4","H2BC17",0.887
"1129","H2BC4","UHRF1",0.517
"424","H2BC4","H3C10",0.807
"989","H2BC4","H2BC11",0.4
"933","H2BC4","H2BC18",0.8
"309","H2BC4","H2AC13",0.989
"1340","H2BC4","H3C11",0.807
"383","H2BC4","NR5A2",0.499
"291","H2BC4","H2BC12",0.4
"1258","H2BC4","H2AC15",0.936
"549","H2BC4","H2AC12",0.439
"669","H2BC4","CENPK",0.8
"1119","H2BC4","H4C4",0.908
"1429","H2BC4","H2BC6",0.9
"1066","H2BC4","H4C1",0.908
"919","H2BC4","H2BC8",0.9
"535","H2BC4","H2BC13",0.4
"318","H2BC4","H2AC11",0.936
"416","H2BC4","H2BC21",0.937
"804","H2BC4","BRCA1",0.688
"286","H2BC4","H2BC7",0.917
"1156","H2BC4","H3C1",0.807
"211","H2BC4","H2AC21",0.439
"224","H2BC4","H3C13",0.949
"394","H2BC4","CENPW",0.8
"200","H2BC4","H2AC14",0.439
"564","H2BC4","H2BC10",0.9
"1049","H2BC4","H2BC14",0.874
"1290","H2BC4","H2AC16",0.936
"1392","H2BC4","H2BC15",0.874
"264","E2F7","E2F1",0.402
"1202","H2BC4","H4C13",0.908
"1468","H2BC4","RAD51",0.499
"1404","H2BC4","PHF19",0.499
"506","H2BC4","CENPI",0.801
"1315","H2BC4","H2BC3",0.874
"521","SPAG5","SPAG4",0.548
"647","SPAG5","CDK1",0.459
"767","SPAG5","TOP2A",0.441
"896","KIF15","KIF1A",0.54
"402","KIF15","MKI67",0.483
"966","KIF15","KIF18B",0.54
"468","KIF15","KIF2C",0.54
"379","KIF15","KIF14",0.54
"723","KIF15","KIFC1",0.54
"617","KIF15","KIF20A",0.54
