Gene,Essential CEG
YGL030W,Essential
YLR163C,Essential
YHR031C,Non-essential
YCR047C,Non-essential
YIL133C,Non-essential
YHR200W,Non-essential
YLR399C,Non-essential
YLR384C,Non-essential
YOL115W,Non-essential
YPR047W,Non-essential
YOR287C,Essential
YDR460W,Essential
YJL115W,Non-essential
YLR075W,Essential
YMR176W,Non-essential
YBL063W,Non-essential
YJR070C,Non-essential
YNL299W,Non-essential
YGL169W,Essential
YIL126W,Essential
YKL058W,Essential
YDL145C,Essential
YMR097C,Non-essential
YDR361C,Essential
YPR056W,Essential
YNL016W,Non-essential
YGR245C,Essential
YPL143W,Essential
YMR142C,Non-essential
YDR212W,Essential
YBR279W,Non-essential
YBL022C,Non-essential
YKL073W,Non-essential
YDR268W,Non-essential
YHR203C,Non-essential
YOL121C,Non-essential
YLR432W,Non-essential
YPR161C,Essential
YBL097W,Essential
YDR450W,Non-essential
YGR145W,Essential
YGL099W,Essential
YMR194W,Non-essential
YGR283C,Non-essential
YNL067W,Non-essential
YOR244W,Essential
YHR040W,Essential
YNL244C,Essential
YPL212C,Non-essential
YJL190C,Non-essential
YOL041C,Non-essential
YLR438C-A,Essential
YER146W,Essential
YGL048C,Essential
YJR063W,Non-essential
YMR185W,Non-essential
YGL078C,Non-essential
YBL035C,Essential
YOL012C,Non-essential
YNL312W,Essential
YBR101C,Non-essential
YPR108W,Essential
YPR143W,Essential
YPL104W,Non-essential
YEL030W,Non-essential
YGR062C,Non-essential
YKL213C,Non-essential
YNL139C,Non-essential
YBR060C,Essential
YER103W,Non-essential
YLR325C,Non-essential
YML098W,Essential
YNL250W,Non-essential
YER173W,Non-essential
YOR004W,Essential
YER050C,Non-essential
YLR167W,Essential
YLR448W,Non-essential
YBL039C,Non-essential
YPL131W,Essential
YBR055C,Essential
YML124C,Non-essential
YBL024W,Non-essential
YPR120C,Non-essential
YGL105W,Non-essential
YIL052C,Non-essential
YIL104C,Essential
YNL252C,Non-essential
YOR346W,Non-essential
YMR116C,Non-essential
YMR203W,Essential
YOR304W,Non-essential
YFL008W,Essential
YNL153C,Non-essential
YFR002W,Essential
YKR025W,Essential
YGR118W,Non-essential
YDR121W,Non-essential
YKL028W,Essential
YLL035W,Essential
YNL222W,Essential
YCL031C,Essential
YOR157C,Essential
YNL138W-A,Essential
YOR236W,Essential
YFR050C,Essential
YPL184C,Non-essential
YNL141W,Non-essential
YGR083C,Essential
YDL229W,Non-essential
YDR335W,Non-essential
YOR141C,Non-essential
YKL017C,Non-essential
YJR022W,Essential
YJL177W,Non-essential
YJR006W,Essential
YKL205W,Non-essential
YBR282W,Non-essential
YJL034W,Essential
YGL147C,Non-essential
YBR111W-A,Non-essential
YJL063C,Non-essential
YER159C,Essential
YPR169W,Essential
YER002W,Non-essential
YMR076C,Essential
YMR224C,Non-essential
YDR457W,Non-essential
YER056C-A,Non-essential
YDR510W,Essential
YLR071C,Essential
YGL129C,Non-essential
YKL114C,Non-essential
YDR013W,Essential
YML073C,Non-essential
YLR281C,Non-essential
YNL072W,Non-essential
YML094W,Non-essential
YHR193C,Non-essential
YDR238C,Essential
YLR180W,Non-essential
YLR249W,Essential
YPL009C,Non-essential
YJL011C,Essential
YIL103W,Non-essential
YEL024W,Non-essential
YER074W,Non-essential
YDR332W,Non-essential
YOR250C,Essential
YFL001W,Non-essential
YPL249C-A,Non-essential
YKL149C,Non-essential
YPL129W,Non-essential
YGL097W,Essential
YNL175C,Non-essential
YCR077C,Non-essential
YGR072W,Non-essential
YGL245W,Essential
YBL074C,Essential
YGL086W,Non-essential
YLL039C,Non-essential
YML056C,Non-essential
YJR057W,Essential
YDR395W,Non-essential
YDL017W,Essential
YKL125W,Essential
YGR271C-A,Non-essential
YPL126W,Essential
YKR026C,Non-essential
YGL133W,Non-essential
YNL069C,Non-essential
YDL192W,Non-essential
YFL016C,Non-essential
YBR011C,Essential
YDR394W,Essential
YNL267W,Essential
YPL209C,Essential
YHR023W,Essential
YCR087C-A,Non-essential
YKL191W,Non-essential
YGR159C,Non-essential
YIL144W,Essential
YDL217C,Essential
YDR165W,Non-essential
YDR263C,Non-essential
YDR083W,Non-essential
YDR448W,Non-essential
YDR293C,Non-essential
YOR262W,Essential
YIL008W,Non-essential
YDL029W,Essential
YDR465C,Non-essential
YJR094W-A,Non-essential
YHR141C,Non-essential
YLR051C,Essential
YER176W,Non-essential
YCR024C,Non-essential
YLR103C,Essential
YJR014W,Non-essential
YKL216W,Non-essential
YMR310C,Non-essential
YBL092W,Essential
YAL001C,Essential
YHR086W,Non-essential
YLR117C,Essential
YHR013C,Non-essential
YIL070C,Non-essential
YIL079C,Non-essential
YLR107W,Non-essential
YDL070W,Non-essential
YBL027W,Non-essential
YJR109C,Non-essential
YAL038W,Essential
YDR127W,Non-essential
YKR057W,Non-essential
YBR084W,Non-essential
YJL080C,Non-essential
YKL003C,Non-essential
YLL024C,Non-essential
YDR075W,Non-essential
YML080W,Non-essential
YGL251C,Non-essential
YML105C,Essential
YGL194C,Non-essential
YBL052C,Non-essential
YDR087C,Essential
YKL013C,Essential
YIR001C,Non-essential
YKL180W,Essential
YAL036C,Non-essential
YDL201W,Non-essential
YJL168C,Non-essential
YGL206C,Non-essential
YIL148W,Non-essential
YER082C,Essential
YNL330C,Non-essential
YFL045C,Essential
YDR405W,Non-essential
YHR038W,Non-essential
YHR024C,Essential
YDR161W,Non-essential
YMR284W,Non-essential
YGL148W,Non-essential
YBR170C,Non-essential
YOR243C,Non-essential
YDL132W,Essential
YLR336C,Essential
YDR311W,Essential
YPR082C,Essential
YML085C,Essential
YER133W,Essential
YDR052C,Essential
YBL075C,Non-essential
YOR176W,Essential
YOR038C,Non-essential
YBR274W,Non-essential
YJR066W,Non-essential
YBR212W,Non-essential
YOL103W,Non-essential
YBR109C,Essential
YOR339C,Non-essential
YML074C,Non-essential
YPR025C,Essential
YDR030C,Non-essential
YJL061W,Essential
YPR129W,Non-essential
YHR058C,Essential
YCL016C,Non-essential
YBR160W,Essential
YDR023W,Essential
YGL031C,Non-essential
YMR060C,Non-essential
YJR035W,Non-essential
YPL048W,Non-essential
YER036C,Essential
YLR420W,Non-essential
YPR119W,Non-essential
YLR185W,Non-essential
YOR205C,Non-essential
YDR447C,Non-essential
YKL074C,Non-essential
YLR335W,Non-essential
YML008C,Non-essential
YEL051W,Non-essential
YBR127C,Non-essential
YPR031W,Non-essential
YDR320C,Non-essential
YOL114C,Non-essential
YPR036W,Non-essential
YDR167W,Essential
YNL126W,Essential
YLR401C,Non-essential
YPR107C,Essential
YBL088C,Non-essential
YGR180C,Non-essential
YEL037C,Non-essential
YLR210W,Non-essential
YML096W,Non-essential
YGL143C,Non-essential
YAL005C,Non-essential
YPR133C,Essential
YKL022C,Essential
YER139C,Non-essential
YDR382W,Non-essential
YNR046W,Essential
YOR347C,Non-essential
YDR086C,Essential
YBR136W,Essential
YML061C,Non-essential
YMR230W,Non-essential
YDR365C,Essential
YGL127C,Non-essential
YDL063C,Non-essential
YGL244W,Non-essential
YHR010W,Non-essential
YJL197W,Non-essential
YER017C,Non-essential
YHR041C,Non-essential
YDR500C,Non-essential
YDR174W,Non-essential
YPR023C,Non-essential
YJL104W,Essential
YPR189W,Non-essential
YKL067W,Non-essential
YGL100W,Non-essential
YPR018W,Non-essential
YLR359W,Essential
YPL069C,Non-essential
YKL192C,Essential
YNR051C,Non-essential
YBR081C,Non-essential
YDR497C,Non-essential
YGR252W,Non-essential
YEL022W,Non-essential
YDL190C,Non-essential
YPL082C,Essential
YBR025C,Non-essential
YER156C,Non-essential
YIL149C,Non-essential
YPR162C,Essential
YML102W,Non-essential
YDL112W,Non-essential
YML032C,Non-essential
YCR060W,Non-essential
YLR172C,Non-essential
YDR252W,Non-essential
YBR196C,Essential
YEL058W,Essential
YIL038C,Non-essential
YBR191W,Non-essential
YCL011C,Non-essential
YGR178C,Non-essential
YMR113W,Essential
YDR224C,Essential
YGL174W,Non-essential
YPL017C,Non-essential
YOR039W,Non-essential
YML009C,Non-essential
YPL037C,Non-essential
YKL010C,Non-essential
YDL008W,Essential
YPL022W,Non-essential
YKL203C,Essential
YPL263C,Non-essential
YDR419W,Non-essential
YFR031C-A,Non-essential
YGL195W,Non-essential
YGR285C,Non-essential
YDR267C,Essential
YDL130W,Non-essential
YIR002C,Non-essential
YNR036C,Non-essential
YLR291C,Essential
YOR213C,Non-essential
YDR088C,Essential
YMR242C,Non-essential
YJL006C,Non-essential
YIL076W,Non-essential
YLR264W,Non-essential
YJR101W,Non-essential
YLR316C,Essential
YNL221C,Essential
YIL063C,Essential
YER110C,Non-essential
YBR179C,Non-essential
YKL056C,Non-essential
YHR068W,Essential
YDR066C,Non-essential
YGL063W,Non-essential
YNL206C,Non-essential
YKR038C,Essential
YDR079C-A,Non-essential
YKR054C,Non-essential
YFR005C,Essential
YKL181W,Non-essential
YHL014C,Non-essential
YJR048W,Non-essential
YOL031C,Non-essential
YLR055C,Non-essential
YDR418W,Non-essential
YPR103W,Essential
YDR054C,Essential
YGR225W,Non-essential
YNL255C,Non-essential
YBR181C,Non-essential
YGR034W,Non-essential
YAR003W,Non-essential
YDR097C,Non-essential
YPL031C,Non-essential
YER087C-B,Non-essential
YDR225W,Non-essential
YGR148C,Non-essential
YOL066C,Essential
YBL002W,Non-essential
YBR065C,Non-essential
YMR121C,Non-essential
YGR200C,Non-essential
YLR059C,Non-essential
YPR057W,Non-essential
YLR127C,Essential
YJL065C,Non-essential
YGR201C,Non-essential
YKL060C,Essential
YOR290C,Non-essential
YGL094C,Non-essential
YML046W,Essential
YPL204W,Essential
YGR054W,Non-essential
YOR167C,Non-essential
YGR006W,Non-essential
YOL039W,Non-essential
YBR003W,Non-essential
YER023W,Essential
YHR081W,Non-essential
YLR165C,Non-essential
YOL090W,Non-essential
YER169W,Non-essential
YDL141W,Essential
YDL167C,Non-essential
YFR032C-A,Non-essential
YBR195C,Non-essential
YGR061C,Non-essential
YBR002C,Essential
YOL124C,Non-essential
YDR454C,Essential
YAL029C,Non-essential
YDR502C,Non-essential
YMR223W,Non-essential
YNL119W,Non-essential
YPL079W,Non-essential
YDR482C,Non-essential
YDL224C,Non-essential
YNL220W,Non-essential
YGL136C,Non-essential
YIL035C,Non-essential
YGL019W,Non-essential
YLR003C,Non-essential
YMR292W,Non-essential
YLR369W,Non-essential
YGL049C,Non-essential
YJR142W,Non-essential
YER131W,Non-essential
YDL213C,Non-essential
YJL025W,Essential
YLR289W,Non-essential
YKR062W,Essential
YKL117W,Non-essential
YBR231C,Non-essential
YLR208W,Essential
YLR216C,Non-essential
YGL058W,Non-essential
YDR362C,Essential
YGR099W,Essential
YJL002C,Essential
YPL064C,Non-essential
YPL207W,Non-essential
YPL020C,Essential
YDR152W,Non-essential
YGR027C,Non-essential
YML022W,Non-essential
YGL022W,Essential
YGR187C,Non-essential
YNL035C,Non-essential
YPR131C,Non-essential
YML106W,Non-essential
YBR283C,Non-essential
Q0085,Non-essential
YOL149W,Essential
YKL193C,Essential
YDR061W,Non-essential
YIL125W,Non-essential
YIL128W,Non-essential
YPL030W,Non-essential
YDR096W,Non-essential
YLR387C,Non-essential
YMR300C,Non-essential
YBR289W,Non-essential
YPR048W,Essential
YNL227C,Non-essential
YGL137W,Essential
YIR026C,Non-essential
YOR033C,Non-essential
YNL301C,Non-essential
YDR155C,Non-essential
YOL093W,Non-essential
YPL183C,Non-essential
YGR020C,Non-essential
YPR100W,Non-essential
YMR276W,Non-essential
YJL092W,Non-essential
YNL077W,Non-essential
YCR014C,Non-essential
YOR103C,Essential
YBR186W,Non-essential
YMR012W,Non-essential
YJR065C,Essential
YBR103W,Non-essential
YHR005C-A,Essential
YHR070W,Essential
YDL185W,Non-essential
YML117W,Non-essential
YBR263W,Non-essential
YGR003W,Non-essential
YHR026W,Non-essential
YPR181C,Essential
YJL112W,Non-essential
YLR029C,Essential
YHL039W,Non-essential
YKL210W,Essential
YKL016C,Non-essential
YMR120C,Non-essential
YEL015W,Non-essential
YLR355C,Essential
YJL153C,Non-essential
YDL081C,Non-essential
YJR042W,Essential
YJR074W,Non-essential
YMR072W,Non-essential
YER043C,Essential
YAR008W,Essential
YKR029C,Non-essential
YJL090C,Essential
YJR144W,Non-essential
YNL251C,Essential
YLR318W,Non-essential
YPR118W,Non-essential
YER141W,Non-essential
YKR008W,Essential
YNL131W,Essential
YKL148C,Non-essential
YBR010W,Non-essential
YLR333C,Non-essential
YER099C,Non-essential
YDL036C,Non-essential
YDR170C,Essential
YER049W,Non-essential
YMR138W,Non-essential
YKR092C,Non-essential
YJL180C,Non-essential
YBL003C,Non-essential
YLL026W,Non-essential
YLR024C,Non-essential
YDR211W,Essential
YPR074C,Non-essential
YER021W,Essential
YGR254W,Non-essential
YPL083C,Essential
YFR028C,Essential
YKR048C,Non-essential
YOR020C,Essential
YDR386W,Non-essential
YML031W,Essential
YPL098C,Non-essential
YDL207W,Essential
YPL047W,Non-essential
YPL190C,Essential
YJR140C,Non-essential
YDR399W,Non-essential
YPL240C,Non-essential
YLR395C,Non-essential
YBR141C,Non-essential
YPL215W,Non-essential
YFR041C,Non-essential
YPR068C,Non-essential
YNL123W,Non-essential
YJR017C,Essential
YHR034C,Non-essential
YPL234C,Non-essential
YPL174C,Non-essential
YPL042C,Non-essential
YMR074C,Non-essential
YFR052W,Essential
YGR173W,Non-essential
YDL033C,Non-essential
YGL026C,Non-essential
YGL210W,Non-essential
YDL137W,Non-essential
YDL147W,Essential
YBL021C,Non-essential
YLR032W,Non-essential
YGL116W,Essential
YCL017C,Essential
YML041C,Non-essential
YKL053C-A,Non-essential
YMR129W,Non-essential
YBR192W,Essential
YPL106C,Non-essential
YPR191W,Non-essential
YMR267W,Non-essential
YMR247C,Non-essential
YLR061W,Non-essential
YGR181W,Non-essential
YGR208W,Non-essential
YBL045C,Non-essential
YOR349W,Non-essential
YDL040C,Non-essential
YDR101C,Non-essential
YPR020W,Non-essential
YPR052C,Non-essential
YLL018C,Essential
YDR117C,Non-essential
YHR004C,Non-essential
YDL004W,Essential
YBR020W,Non-essential
YNL107W,Non-essential
YDR139C,Non-essential
YPL007C,Essential
YMR188C,Non-essential
YOR303W,Non-essential
YGL163C,Non-essential
YDR129C,Non-essential
YKL033W,Essential
YMR214W,Non-essential
YPL231W,Essential
YJL041W,Essential
YDR163W,Non-essential
YDR515W,Non-essential
YMR127C,Non-essential
YDL165W,Essential
YGL016W,Non-essential
YMR143W,Non-essential
YDR236C,Essential
YGR123C,Non-essential
YOR142W,Non-essential
YCL001W-B,Non-essential
YNL218W,Non-essential
YML034W,Non-essential
YOL087C,Non-essential
YOR274W,Non-essential
YOL095C,Non-essential
YAL020C,Non-essential
YOR353C,Essential
YML075C,Non-essential
YOR007C,Non-essential
YBR175W,Non-essential
YBR221C,Non-essential
YDR140W,Non-essential
YDL175C,Non-essential
YLR008C,Essential
YOR201C,Non-essential
YNL049C,Non-essential
YLR028C,Non-essential
YFL018C,Non-essential
YMR023C,Non-essential
YHR111W,Non-essential
YGR192C,Non-essential
YNR012W,Non-essential
YOR358W,Non-essential
YBL080C,Non-essential
YOL080C,Non-essential
