"","ensembl_gene_id","external_gene_name"
"59","ENSG00000077942","FBLN1"
"60","ENSG00000078098","FAP"
"61","ENSG00000079462","PAFAH1B3"
"62","ENSG00000079841","RIMS1"
"63","ENSG00000080986","NDC80"
"64","ENSG00000084674","APOB"
"65","ENSG00000085840","ORC1"
"66","ENSG00000085999","RAD54L"
"67","ENSG00000086205","FOLH1"
"68","ENSG00000086300","SNX10"
"69","ENSG00000087085","ACHE"
"70","ENSG00000087303","NID2"
"71","ENSG00000087586","AURKA"
"72","ENSG00000087884","AAMDC"
"73","ENSG00000088325","TPX2"
"74","ENSG00000088386","SLC15A1"
"75","ENSG00000089351","GRAMD1A"
"76","ENSG00000089472","HEPH"
"77","ENSG00000089505","CMTM1"
"78","ENSG00000089685","BIRC5"
"79","ENSG00000089820","ARHGAP4"
"80","ENSG00000090339","ICAM1"
"81","ENSG00000090402","SI"
"82","ENSG00000090530","P3H2"
"83","ENSG00000090565","RAB11FIP3"
"84","ENSG00000090661","CERS4"
"85","ENSG00000090889","KIF4A"
"86","ENSG00000090924","PLEKHG2"
"87","ENSG00000090971","NAT14"
"88","ENSG00000090975","PITPNM2"
"89","ENSG00000091129","NRCAM"
"90","ENSG00000091592","NLRP1"
"91","ENSG00000091651","ORC6"
"92","ENSG00000092068","SLC7A8"
"93","ENSG00000092421","SEMA6A"
"94","ENSG00000092470","WDR76"
"95","ENSG00000092853","CLSPN"
"96","ENSG00000093009","CDC45"
"97","ENSG00000094804","CDC6"
"98","ENSG00000095303","PTGS1"
"99","ENSG00000095739","BAMBI"
"100","ENSG00000096088","PGC"
"101","ENSG00000097021","ACOT7"
"102","ENSG00000097046","CDC7"
"103","ENSG00000099364","FBXL19"
"104","ENSG00000099953","MMP11"
"105","ENSG00000099994","SUSD2"
"106","ENSG00000100031","GGT1"
"107","ENSG00000100162","CENPM"
"108","ENSG00000100263","RHBDD3"
"109","ENSG00000100504","PYGL"
"110","ENSG00000100526","CDKN3"
"111","ENSG00000101003","GINS1"
"112","ENSG00000101057","MYBL2"
"113","ENSG00000101255","TRIB3"
"114","ENSG00000101412","E2F1"
"115","ENSG00000101447","FAM83D"
"116","ENSG00000101670","LIPG"
"117","ENSG00000101842","VSIG1"
"118","ENSG00000101986","ABCD1"
"119","ENSG00000102287","GABRE"
"120","ENSG00000102384","CENPI"
"121","ENSG00000102393","GLA"
"122","ENSG00000103184","SEC14L5"
"123","ENSG00000103257","SLC7A5"
"124","ENSG00000103316","CRYM"
"125","ENSG00000103485","QPRT"
"126","ENSG00000103490","PYCARD"
"127","ENSG00000103888","CEMIP"
"128","ENSG00000104147","OIP5"
"129","ENSG00000104267","CA2"
"130","ENSG00000104537","ANXA13"
"131","ENSG00000104738","MCM4"
"132","ENSG00000105011","ASF1B"
"133","ENSG00000105173","CCNE1"
"134","ENSG00000105220","GPI"
"135","ENSG00000105281","SLC1A5"
"136","ENSG00000105655","ISYNA1"
"137","ENSG00000105722","ERF"
"138","ENSG00000105767","CADM4"
"139","ENSG00000105854","PON2"
"140","ENSG00000105855","ITGB8"
"141","ENSG00000105877","DNAH11"
"142","ENSG00000106009","BRAT1"
"143","ENSG00000106066","CPVL"
"144","ENSG00000106211","HSPB1"
"145","ENSG00000106268","NUDT1"
"146","ENSG00000106404","CLDN15"
"147","ENSG00000106484","MEST"
"148","ENSG00000106688","SLC1A1"
"149","ENSG00000106701","FSD1L"
"150","ENSG00000106976","DNM1"
"151","ENSG00000107249","GLIS3"
"152","ENSG00000107331","ABCA2"
"153","ENSG00000108106","UBE2S"
"154","ENSG00000108244","KRT23"
"155","ENSG00000108298","RPL19"
"156","ENSG00000108344","PSMD3"
"157","ENSG00000108381","ASPA"
"158","ENSG00000108479","GALK1"
"159","ENSG00000108602","ALDH3A1"
"160","ENSG00000108960","MMD"
"161","ENSG00000109062","NHERF1"
"162","ENSG00000109674","NEIL3"
"163","ENSG00000109736","MFSD10"
"164","ENSG00000109805","NCAPG"
"165","ENSG00000109861","CTSC"
"166","ENSG00000110492","MDK"
"167","ENSG00000110628","SLC22A18"
"168","ENSG00000110660","SLC35F2"
"169","ENSG00000110697","PITPNM1"
"170","ENSG00000110777","POU2AF1"
"171","ENSG00000111206","FOXM1"
"172","ENSG00000111247","RAD51AP1"
"173","ENSG00000111371","SLC38A1"
"174","ENSG00000111640","GAPDH"
"175","ENSG00000111665","CDCA3"
"176","ENSG00000111860","CEP85L"
"177","ENSG00000111907","TPD52L1"
"178","ENSG00000112186","CAP2"
"179","ENSG00000112742","TTK"
"180","ENSG00000112984","KIF20A"
"181","ENSG00000113356","POLR3G"
"182","ENSG00000113368","LMNB1"
"183","ENSG00000113758","DBN1"
"184","ENSG00000113916","BCL6"
"185","ENSG00000114248","LRRC31"
"186","ENSG00000114268","PFKFB4"
"187","ENSG00000114771","AADAC"
"188","ENSG00000114993","RTKN"
"189","ENSG00000115163","CENPA"
"190","ENSG00000115165","CYTIP"
"191","ENSG00000115255","REEP6"
"192","ENSG00000115425","PECR"
"193","ENSG00000115590","IL1R2"
"194","ENSG00000115738","ID2"
"195","ENSG00000116741","RGS2"
"196","ENSG00000116771","AGMAT"
"197","ENSG00000116824","CD2"
"198","ENSG00000116833","NR5A2"
"199","ENSG00000117115","PADI2"
"200","ENSG00000117394","SLC2A1"
"201","ENSG00000117399","CDC20"
"202","ENSG00000117632","STMN1"
"203","ENSG00000117650","NEK2"
"204","ENSG00000117724","CENPF"
"205","ENSG00000118193","KIF14"
"206","ENSG00000118513","MYB"
"207","ENSG00000118849","RARRES1"
"208","ENSG00000118946","PCDH17"
"209","ENSG00000118997","DNAH7"
"210","ENSG00000119125","GDA"
"211","ENSG00000119403","PHF19"
"212","ENSG00000119535","CSF3R"
"213","ENSG00000119686","FLVCR2"
"214","ENSG00000119986","AVPI1"
"215","ENSG00000121152","NCAPH"
"216","ENSG00000121621","KIF18A"
"217","ENSG00000121690","DEPDC7"
"218","ENSG00000121957","GPSM2"
"219","ENSG00000122012","SV2C"
"220","ENSG00000122035","RASL11A"
"221","ENSG00000122861","PLAU"
"222","ENSG00000122966","CIT"
"223","ENSG00000123219","CENPK"
"224","ENSG00000123473","STIL"
"225","ENSG00000123485","HJURP"
"226","ENSG00000123689","G0S2"
"227","ENSG00000123975","CKS2"
"228","ENSG00000123989","CHPF"
"229","ENSG00000124102","PI3"
"230","ENSG00000124253","PCK1"
"231","ENSG00000124575","H1-3"
"232","ENSG00000124635","H2BC11"
"233","ENSG00000124939","SCGB2A1"
"234","ENSG00000125257","ABCC4"
"235","ENSG00000125319","HROB"
"236","ENSG00000125505","MBOAT7"
"237","ENSG00000125686","MED1"
"238","ENSG00000125895","TMEM74B"
"239","ENSG00000125968","ID1"
"240","ENSG00000125999","BPIFB1"
"241","ENSG00000126254","RBM42"
"242","ENSG00000126453","BCL2L12"
"243","ENSG00000126562","WNK4"
"244","ENSG00000126787","DLGAP5"
"245","ENSG00000127249","ATP13A4"
"246","ENSG00000127399","LRRC61"
"247","ENSG00000127564","PKMYT1"
"248","ENSG00000127586","CHTF18"
"249","ENSG00000127863","TNFRSF19"
"250","ENSG00000127954","STEAP4"
"251","ENSG00000128274","A4GALT"
"252","ENSG00000128567","PODXL"
"253","ENSG00000128604","IRF5"
"254","ENSG00000128918","ALDH1A2"
"255","ENSG00000129173","E2F8"
"256","ENSG00000129451","KLK10"
"257","ENSG00000129538","RNASE1"
"258","ENSG00000129654","FOXJ1"
"259","ENSG00000129667","RHBDF2"
"260","ENSG00000129810","SGO1"
"261","ENSG00000130193","THEM6"
"262","ENSG00000130204","TOMM40"
"263","ENSG00000130294","KIF1A"
"264","ENSG00000130429","ARPC1B"
"265","ENSG00000130701","RBBP8NL"
"266","ENSG00000130702","LAMA5"
"267","ENSG00000130821","SLC6A8"
"268","ENSG00000131153","GINS2"
"269","ENSG00000131435","PDLIM4"
"270","ENSG00000131747","TOP2A"
"271","ENSG00000131748","STARD3"
"272","ENSG00000131759","RARA"
"273","ENSG00000131771","PPP1R1B"
"274","ENSG00000131773","KHDRBS3"
"275","ENSG00000132182","NUP210"
"276","ENSG00000132530","XAF1"
"277","ENSG00000132819","RBM38"
"278","ENSG00000133216","EPHB2"
"279","ENSG00000133265","HSPBP1"
"280","ENSG00000134057","CCNB1"
"281","ENSG00000134215","VAV3"
"282","ENSG00000134222","PSRC1"
"283","ENSG00000134291","TMEM106C"
"284","ENSG00000134333","LDHA"
"285","ENSG00000134690","CDCA8"
"286","ENSG00000134709","HOOK1"
"287","ENSG00000134802","SLC43A3"
"288","ENSG00000135069","PSAT1"
"289","ENSG00000135083","CCNJL"
"290","ENSG00000135245","HILPDA"
"291","ENSG00000135424","ITGA7"
"292","ENSG00000135451","TROAP"
"293","ENSG00000135476","ESPL1"
"294","ENSG00000135678","CPM"
"295","ENSG00000135773","CAPN9"
"296","ENSG00000135821","GLUL"
"297","ENSG00000135917","SLC19A3"
"298","ENSG00000136014","USP44"
"299","ENSG00000136295","TTYH3"
"300","ENSG00000136383","ALPK3"
"301","ENSG00000136425","CIB2"
"302","ENSG00000136490","LIMD2"
"303","ENSG00000136842","TMOD1"
"304","ENSG00000136982","DSCC1"
"305","ENSG00000137033","IL33"
"306","ENSG00000137309","HMGA1"
"307","ENSG00000137404","NRM"
"308","ENSG00000137563","GGH"
"309","ENSG00000137573","SULF1"
"310","ENSG00000137628","DDX60"
"311","ENSG00000137673","MMP7"
"312","ENSG00000137804","NUSAP1"
"313","ENSG00000137807","KIF23"
"314","ENSG00000137812","KNL1"
"315","ENSG00000137819","PAQR5"
"316","ENSG00000137868","STRA6"
"317","ENSG00000137877","SPTBN5"
"318","ENSG00000138030","KHK"
"319","ENSG00000138079","SLC3A1"
"320","ENSG00000138109","CYP2C9"
"321","ENSG00000138152","BTBD16"
"322","ENSG00000138160","KIF11"
"323","ENSG00000138166","DUSP5"
"324","ENSG00000138180","CEP55"
"325","ENSG00000138182","KIF20B"
"326","ENSG00000138346","DNA2"
"327","ENSG00000138587","MNS1"
"328","ENSG00000138639","ARHGAP24"
"329","ENSG00000138670","RASGEF1B"
"330","ENSG00000138778","CENPE"
"331","ENSG00000138823","MTTP"
"332","ENSG00000139289","PHLDA1"
"333","ENSG00000139292","LGR5"
"334","ENSG00000139508","SLC46A3"
"335","ENSG00000139629","GALNT6"
"336","ENSG00000139880","CDH24"
"337","ENSG00000140284","SLC27A2"
"338","ENSG00000140451","PIF1"
"339","ENSG00000140459","CYP11A1"
"340","ENSG00000140511","HAPLN3"
"341","ENSG00000140534","TICRR"
"342","ENSG00000140848","CPNE2"
"343","ENSG00000141526","SLC16A3"
"344","ENSG00000141576","RNF157"
"345","ENSG00000141577","CEP131"
"346","ENSG00000141682","PMAIP1"
"347","ENSG00000141696","P3H4"
"348","ENSG00000141736","ERBB2"
"349","ENSG00000141738","GRB7"
"350","ENSG00000141741","MIEN1"
"351","ENSG00000142102","PGGHG"
"352","ENSG00000142235","LMTK3"
"353","ENSG00000142409","ZNF787"
"354","ENSG00000142544","CTU1"
"355","ENSG00000142632","ARHGEF19"
"356","ENSG00000142694","EVA1B"
"357","ENSG00000142731","PLK4"
"358","ENSG00000142945","KIF2C"
"359","ENSG00000143228","NUF2"
"360","ENSG00000143324","XPR1"
"361","ENSG00000143333","RGS16"
"362","ENSG00000143412","ANXA9"
"363","ENSG00000143476","DTL"
"364","ENSG00000143847","PPFIA4"
"365","ENSG00000144063","MALL"
"366","ENSG00000144199","FAHD2B"
"367","ENSG00000144395","CCDC150"
"368","ENSG00000144452","ABCA12"
"369","ENSG00000144820","ADGRG7"
"370","ENSG00000144908","ALDH1L1"
"371","ENSG00000145103","ILDR1"
"372","ENSG00000145386","CCNA2"
"373","ENSG00000146038","DCDC2"
"374","ENSG00000146410","MTFR2"
"375","ENSG00000146540","C7orf50"
"376","ENSG00000146592","CREB5"
"377","ENSG00000146670","CDCA5"
"378","ENSG00000146674","IGFBP3"
"379","ENSG00000146733","PSPH"
"380","ENSG00000147536","GINS4"
"381","ENSG00000147576","ADHFE1"
"382","ENSG00000147799","ARHGAP39"
"383","ENSG00000147804","SLC39A4"
"384","ENSG00000148400","NOTCH1"
"385","ENSG00000148459","PDSS1"
"386","ENSG00000148773","MKI67"
"387","ENSG00000148803","FUOM"
"388","ENSG00000149554","CHEK1"
"389","ENSG00000149798","CDC42EP2"
"390","ENSG00000150471","ADGRL3"
"391","ENSG00000150556","LYPD6B"
"392","ENSG00000151067","CACNA1C"
"393","ENSG00000152049","KCNE4"
"394","ENSG00000152082","MZT2B"
"395","ENSG00000152128","TMEM163"
"396","ENSG00000152207","CYSLTR2"
"397","ENSG00000152253","SPC25"
"398","ENSG00000152804","HHEX"
"399","ENSG00000152952","PLOD2"
"400","ENSG00000153044","CENPH"
"401","ENSG00000153246","PLA2R1"
"402","ENSG00000154065","ANKRD29"
"403","ENSG00000154358","OBSCN"
"404","ENSG00000154839","SKA1"
"405","ENSG00000154856","APCDD1"
"406","ENSG00000154920","EME1"
"407","ENSG00000155760","FZD7"
"408","ENSG00000155850","SLC26A2"
"409","ENSG00000156510","HKDC1"
"410","ENSG00000156802","ATAD2"
"411","ENSG00000156970","BUB1B"
"412","ENSG00000157399","ARSL"
"413","ENSG00000157456","CCNB2"
"414","ENSG00000158089","GALNT14"
"415","ENSG00000158106","RHPN1"
"416","ENSG00000158220","ESYT3"
"417","ENSG00000158402","CDC25C"
"418","ENSG00000158486","DNAH3"
"419","ENSG00000158555","GDPD5"
"420","ENSG00000158792","SPATA2L"
"421","ENSG00000158859","ADAMTS4"
"422","ENSG00000159259","CHAF1B"
"423","ENSG00000159713","TPPP3"
"424","ENSG00000160181","TFF2"
"425","ENSG00000160298","C21orf58"
"426","ENSG00000160867","FGFR4"
"427","ENSG00000160949","TONSL"
"428","ENSG00000160957","RECQL4"
"429","ENSG00000160972","PPP1R16A"
"430","ENSG00000161040","FBXL13"
"431","ENSG00000161179","YDJC"
"432","ENSG00000161395","PGAP3"
"433","ENSG00000161618","ALDH16A1"
"434","ENSG00000161653","NAGS"
"435","ENSG00000161800","RACGAP1"
"436","ENSG00000161847","RAVER1"
"437","ENSG00000161888","SPC24"
"438","ENSG00000162063","CCNF"
"439","ENSG00000162073","PAQR4"
"440","ENSG00000162174","ASRGL1"
"441","ENSG00000162729","IGSF8"
"442","ENSG00000162882","HAAO"
"443","ENSG00000162981","LRATD1"
"444","ENSG00000162998","FRZB"
"445","ENSG00000163220","S100A9"
"446","ENSG00000163399","ATP1A1"
"447","ENSG00000163491","NEK10"
"448","ENSG00000163520","FBLN2"
"449","ENSG00000163535","SGO2"
"450","ENSG00000163545","NUAK2"
"451","ENSG00000163586","FABP1"
"452","ENSG00000163808","KIF15"
"453","ENSG00000163923","RPL39L"
"454","ENSG00000163975","MELTF"
"455","ENSG00000164045","CDC25A"
"456","ENSG00000164056","SPRY1"
"457","ENSG00000164087","POC1A"
"458","ENSG00000164109","MAD2L1"
"459","ENSG00000164116","GUCY1A1"
"460","ENSG00000164181","ELOVL7"
"461","ENSG00000164406","LEAP2"
"462","ENSG00000164611","PTTG1"
"463","ENSG00000164675","IQUB"
"464","ENSG00000164867","NOS3"
"465","ENSG00000164880","INTS1"
"466","ENSG00000164897","TMUB1"
"467","ENSG00000165215","CLDN3"
"468","ENSG00000165244","ZNF367"
"469","ENSG00000165304","MELK"
"470","ENSG00000165376","CLDN2"
"471","ENSG00000165480","SKA3"
"472","ENSG00000165490","DDIAS"
"473","ENSG00000165716","DIPK1B"
"474","ENSG00000165752","STK32C"
"475","ENSG00000165804","ZNF219"
"476","ENSG00000165828","PRAP1"
"477","ENSG00000165886","UBTD1"
"478","ENSG00000165891","E2F7"
"479","ENSG00000166016","ABTB2"
"480","ENSG00000166106","ADAMTS15"
"481","ENSG00000166143","PPP1R14D"
"482","ENSG00000166165","CKB"
"483","ENSG00000166289","PLEKHF1"
"484","ENSG00000166578","IQCD"
"485","ENSG00000166803","PCLAF"
"486","ENSG00000166825","ANPEP"
"487","ENSG00000166851","PLK1"
"488","ENSG00000166960","CCDC178"
"489","ENSG00000167394","ZNF668"
"490","ENSG00000167513","CDT1"
"491","ENSG00000167645","YIF1B"
"492","ENSG00000167700","MFSD3"
"493","ENSG00000167747","C19orf48P"
"494","ENSG00000167771","RCOR2"
"495","ENSG00000167775","CD320"
"496","ENSG00000167900","TK1"
"497","ENSG00000168005","SPINDOC"
"498","ENSG00000168078","PBK"
"499","ENSG00000168209","DDIT4"
"500","ENSG00000168393","DTYMK"
"501","ENSG00000168743","NPNT"
"502","ENSG00000169220","RGS14"
"503","ENSG00000169247","SH3TC2"
"504","ENSG00000169258","GPRIN1"
"505","ENSG00000169607","CKAP2L"
"506","ENSG00000169679","BUB1"
"507","ENSG00000169692","AGPAT2"
"508","ENSG00000169710","FASN"
"509","ENSG00000169750","RAC3"
"510","ENSG00000169752","NRG4"
"511","ENSG00000169851","PCDH7"
"512","ENSG00000169876","MUC17"
"513","ENSG00000170312","CDK1"
"514","ENSG00000170382","LRRN2"
"515","ENSG00000170525","PFKFB3"
"516","ENSG00000170542","SERPINB9"
"517","ENSG00000170615","SLC26A5"
"518","ENSG00000170703","TTLL6"
"519","ENSG00000170779","CDCA4"
"520","ENSG00000171130","ATP6V0E2"
"521","ENSG00000171159","BBLN"
"522","ENSG00000171222","SCAND1"
"523","ENSG00000171241","SHCBP1"
"524","ENSG00000171243","SOSTDC1"
"525","ENSG00000171320","ESCO2"
"526","ENSG00000171346","KRT15"
"527","ENSG00000171621","SPSB1"
"528","ENSG00000171680","PLEKHG5"
"529","ENSG00000171848","RRM2"
"530","ENSG00000171914","TLN2"
"531","ENSG00000172057","ORMDL3"
"532","ENSG00000172164","SNTB1"
"533","ENSG00000172572","PDE3A"
"534","ENSG00000172955","ADH6"
"535","ENSG00000173221","GLRX"
"536","ENSG00000173272","MZT2A"
"537","ENSG00000173557","FAM166C"
"538","ENSG00000173621","LRFN4"
"539","ENSG00000173638","SLC19A1"
"540","ENSG00000173801","JUP"
"541","ENSG00000173894","CBX2"
"542","ENSG00000173898","SPTBN2"
"543","ENSG00000174276","ZNHIT2"
"544","ENSG00000174371","EXO1"
"545","ENSG00000174501","ANKRD36C"
"546","ENSG00000174827","PDZK1"
"547","ENSG00000175063","UBE2C"
"548","ENSG00000175183","CSRP2"
"549","ENSG00000175305","CCNE2"
"550","ENSG00000175591","P2RY2"
"551","ENSG00000175602","CCDC85B"
"552","ENSG00000175701","MTLN"
"553","ENSG00000175832","ETV4"
"554","ENSG00000176208","ATAD5"
"555","ENSG00000176399","DMRTA1"
"556","ENSG00000176485","PLAAT3"
"557","ENSG00000176619","LMNB2"
"558","ENSG00000177076","ACER2"
"559","ENSG00000177380","PPFIA3"
"560","ENSG00000177602","HASPIN"
"561","ENSG00000177721","ANXA2R"
"562","ENSG00000178719","GRINA"
"563","ENSG00000178814","OPLAH"
"564","ENSG00000178896","EXOSC4"
"565","ENSG00000178999","AURKB"
"566","ENSG00000179071","CCDC89"
"567","ENSG00000179091","CYC1"
"568","ENSG00000179403","VWA1"
"569","ENSG00000179546","HTR1D"
"570","ENSG00000179761","PIPOX"
"571","ENSG00000179862","CITED4"
"572","ENSG00000180251","SLC9A4"
"573","ENSG00000180596","H2BC4"
"574","ENSG00000180900","SCRIB"
"575","ENSG00000180914","OXTR"
"576","ENSG00000181143","MUC16"
"577","ENSG00000181218","H2AC25"
"578","ENSG00000181544","FANCB"
"579","ENSG00000181577","LINC03040"
"580","ENSG00000181588","MEX3D"
"581","ENSG00000181649","PHLDA2"
"582","ENSG00000181885","CLDN7"
"583","ENSG00000182010","RTKN2"
"584","ENSG00000182054","IDH2"
"585","ENSG00000182325","FBXL6"
"586","ENSG00000182378","PLCXD1"
"587","ENSG00000182481","KPNA2"
"588","ENSG00000182600","SNORC"
"589","ENSG00000183091","NEB"
"590","ENSG00000183196","CHST6"
"591","ENSG00000183486","MX2"
"592","ENSG00000183579","ZNRF3"
"593","ENSG00000183598","H3C13"
"594","ENSG00000183696","UPP1"
"595","ENSG00000183763","TRAIP"
"596","ENSG00000183779","ZNF703"
"597","ENSG00000183856","IQGAP3"
"598","ENSG00000184270","H2AC21"
"599","ENSG00000184357","H1-5"
"600","ENSG00000184434","LRRC19"
"601","ENSG00000184489","PTP4A3"
"602","ENSG00000184661","CDCA2"
"603","ENSG00000184678","H2BC21"
"604","ENSG00000184897","H1-10"
"605","ENSG00000184916","JAG2"
"606","ENSG00000185130","H2BC13"
"607","ENSG00000185215","TNFAIP2"
"608","ENSG00000185340","GAS2L1"
"609","ENSG00000185361","TNFAIP8L1"
"610","ENSG00000185686","PRAME"
"611","ENSG00000185803","SLC52A2"
"612","ENSG00000186007","LEMD1"
"613","ENSG00000186185","KIF18B"
"614","ENSG00000186193","SAPCD2"
"615","ENSG00000186377","CYP4X1"
"616","ENSG00000186638","KIF24"
"617","ENSG00000186871","ERCC6L"
"618","ENSG00000187017","ESPN"
"619","ENSG00000187210","GCNT1"
"620","ENSG00000187244","BCAM"
"621","ENSG00000187741","FANCA"
"622","ENSG00000187824","TMEM220"
"623","ENSG00000188070","ZFTA"
"624","ENSG00000188452","CERKL"
"625","ENSG00000188483","IER5L"
"626","ENSG00000188486","H2AX"
"627","ENSG00000188596","CFAP54"
"628","ENSG00000188677","PARVB"
"629","ENSG00000188738","FSIP2"
"630","ENSG00000189045","ANKDD1B"
"631","ENSG00000189057","FAM111B"
"632","ENSG00000189120","SP6"
"633","ENSG00000189143","CLDN4"
"634","ENSG00000189377","CXCL17"
"635","ENSG00000196154","S100A4"
"636","ENSG00000196517","SLC6A9"
"637","ENSG00000196549","MME"
"638","ENSG00000196584","XRCC2"
"639","ENSG00000196620","UGT2B15"
"640","ENSG00000196739","COL27A1"
"641","ENSG00000196747","H2AC13"
"642","ENSG00000196787","H2AC11"
"643","ENSG00000196843","ARID5A"
"644","ENSG00000196890","H2BC26"
"645","ENSG00000196923","PDLIM7"
"646","ENSG00000197153","H3C12"
"647","ENSG00000197299","BLM"
"648","ENSG00000197355","UAP1L1"
"649","ENSG00000197444","OGDHL"
"650","ENSG00000197520","FAM177B"
"651","ENSG00000197635","DPP4"
"652","ENSG00000197696","NMB"
"653","ENSG00000197748","CFAP43"
"654","ENSG00000197785","ATAD3A"
"655","ENSG00000197858","GPAA1"
"656","ENSG00000197903","H2BC12"
"657","ENSG00000197905","TEAD4"
"658","ENSG00000197978","GOLGA6L9"
"659","ENSG00000198053","SIRPA"
"660","ENSG00000198203","SULT1C2"
"661","ENSG00000198435","NRARP"
"662","ENSG00000198488","B3GNT6"
"663","ENSG00000198626","RYR2"
"664","ENSG00000198826","ARHGAP11A"
"665","ENSG00000198901","PRC1"
"666","ENSG00000198948","MFAP3L"
"667","ENSG00000198959","TGM2"
"668","ENSG00000203697","CAPN8"
"669","ENSG00000203760","CENPW"
"670","ENSG00000203814","H2BC18"
"671","ENSG00000204983","PRSS1"
"672","ENSG00000213160","KLHL23"
"673","ENSG00000214193","SH3D21"
"674","ENSG00000214960","CRPPA"
"675","ENSG00000215182","MUC5AC"
"676","ENSG00000221866","PLXNA4"
"677","ENSG00000221869","CEBPD"
"678","ENSG00000221890","NPTXR"
"679","ENSG00000224389","C4B"
"680","ENSG00000233493","TMEM238"
"681","ENSG00000233822","H2BC15"
"682","ENSG00000235750","KIAA0040"
"683","ENSG00000237649","KIFC1"
"684","ENSG00000240972","MIF"
"685","ENSG00000253293","HOXA10"
"686","ENSG00000253485","PCDHGA5"
"687","ENSG00000253910","PCDHGB2"
"688","ENSG00000254221","PCDHGB1"
"689","ENSG00000254726","MEX3A"
"690","ENSG00000258227","CLEC5A"
"691","ENSG00000261221","ZNF865"
"692","ENSG00000261236","BOP1"
"693","ENSG00000262576","PCDHGA4"
"694","ENSG00000262655","SPON1"
"695","ENSG00000262814","MRPL12"
"696","ENSG00000263639","MSMB"
"697","ENSG00000273703","H2BC14"
"698","ENSG00000273802","H2BC8"
"699","ENSG00000274290","H2BC6"
"700","ENSG00000274641","H2BC17"
"701","ENSG00000274997","H2AC12"
"702","ENSG00000275126","H4C13"
"703","ENSG00000275221","H2AC15"
"704","ENSG00000275379","H3C11"
"705","ENSG00000275714","H3C1"
"706","ENSG00000275896","PRSS2"
"707","ENSG00000276023","DUSP14"
"708","ENSG00000276043","UHRF1"
"709","ENSG00000276368","H2AC14"
"710","ENSG00000276410","H2BC3"
"711","ENSG00000276644","DACH1"
"712","ENSG00000276903","H2AC16"
"713","ENSG00000277075","H2AC8"
"714","ENSG00000277157","H4C4"
"715","ENSG00000277224","H2BC7"
"716","ENSG00000278463","H2AC4"
"717","ENSG00000278588","H2BC10"
"718","ENSG00000278637","H4C1"
"719","ENSG00000278828","H3C10"
