uniprot_id,struct_score,pocket,druggability,num_drug_pockets
Q969R2,0.805903431521409,0.141,0.997,1
Q9GZN0,0.626170659941152,0.046,0.997,2
Q9H9Y6,0.890403154153709,0.804,0.997,4
Q9HC97,0.874544217687075,0.29,0.997,2
Q9HD34,0.794688856729378,-0.009,0.997,1
Q9NYV8,0.763819849874896,0.031,0.997,2
Q9UHI7,0.793062865497076,0.153,0.997,4
O43617,0.837453846153846,0.32,0.996,1
P00414,0.763878702397743,-0.008,0.996,1
P04839,0.853930121527778,-0.003,0.996,4
P21453,0.750599755201958,0.102,0.996,1
P23975,0.897110462505613,0.252,0.996,3
P35498,0.628315789473684,0.082,0.996,5
P46089,0.801102625298329,0.078,0.996,1
Q14534,0.916555146016445,0.208,0.996,1
Q16836,0.89147504456328,0.065,0.996,1
Q5VTY9,0.876719325961032,0.12,0.996,4
Q6P2M8,0.737205169628433,0.087,0.996,2
Q7L0J3,0.733362554790232,0.111,0.996,1
Q8IVF4,0.868717862165963,0.237,0.996,4
Q8NEB9,0.663529158905287,0.107,0.996,4
Q9H3N8,0.670116358658453,0.138,0.996,2
Q9NS75,0.782612958226769,0.124,0.996,2
O14520,0.786089947089947,0.498,0.995,2
O15118,0.724666874221669,0.181,0.995,4
P0C870,0.923179669030733,0.23,0.995,1
P21817,0.694512253602887,0.131,0.995,2
P28223,0.71920598388952806,0.252,0.995,1
P46019,0.735853984575836,0.098,0.995,2
P52566,0.703047318611987,0.225,0.995,2
Q01668,0.651819636241159,0.126,0.995,8
Q13085,0.708598094170404,0.245,0.995,5
Q9BZF3,0.792110649184522,0.233,0.995,1
Q9H981,0.820044728434505,0.237,0.995,1
Q9UHC9,0.809022657054583,0.104,0.995,7
Q9UQD0,0.631405516237846,0.118,0.995,5
Q9Y5W5,0.764942402633022,-0.03,0.995,1
Q9Y678,0.614794192486155,0.109,0.995,7
O60774,0.866143424433544,0.131,0.994,6
O95154,0.90272265625,0.1,0.994,1
P00156,0.71523097374543,0.058,0.994,4
P04040,0.906196655852259,0.121,0.994,1
P30419,0.905295581829496,0.131,0.994,1
P31040,0.873774063888301,0.54,0.994,4
P35368,0.66602766798419,0.249,0.994,3
P51991,0.802522154055896,0.09,0.994,2
P78345,0.63749001711352,0.104,0.994,1
Q14416,0.743219799458857,0.055,0.994,1
Q5GJ75,0.828432288192128,0.178,0.994,1
Q86SK9,0.782482589102827,0.272,0.994,1
Q8NFN8,0.751569664902998,0.147,0.994,1
Q96LT4,0.795175558595531,0.017,0.994,2
Q9H6D3,0.835225254850378,0.324,0.994,4
Q9NXL6,0.755902135798534,0.03,0.994,3
Q9NY33,0.908355046030919,1.392,0.994,2
Q9Y223,0.910885365047902,0.518,0.994,2
Q9Y6K0,0.77418496340652,0.066,0.994,1
P14061,0.858945921173236,0.058,0.993,1
P19793,0.727729709035222,0.416,0.993,1
P28702,0.713047026816945,0.415,0.993,1
P48443,0.705003858024691,0.502,0.993,1
P69891,0.795743362831858,0.031,0.993,1
P69892,0.799911504424779,0.1,0.993,1
P78527,0.702686752836944,0.136,0.993,6
P98164,0.765728347028251,0.254,0.993,5
Q06278,0.905754141238012,0.136,0.993,2
Q13219,0.76770756302521,0.234,0.993,2
Q8TDU9,0.787913921826965,0.171,0.993,3
Q9NRD9,0.811265362225097,0.7,0.993,5
Q9NWC5,0.873487456960157,0.355,0.993,1
O43704,0.951629052113254,0.544,0.992,1
O75908,0.760765904879555,0.128,0.992,4
P08684,0.868249406802004,0.048,0.992,1
P11597,0.894765625,0.075,0.992,2
P19397,0.836782922429345,0.144,0.992,1
P23945,0.765130208333333,0.187,0.992,1
P25929,0.728508033664881,0.269,0.992,3
P42704,0.847895416397676,0.148,0.992,1
P51580,0.870699039487727,0.102,0.992,1
P59540,0.807501024170422,0.104,0.992,1
Q01118,0.697388669301713,0.073,0.992,3
Q13093,0.903219772879091,0.104,0.992,1
Q14149,0.782119113573407,0.227,0.992,1
Q14643,0.667223544788312,0.101,0.992,3
Q86YT5,0.777542471491738,0.126,0.992,2
Q8IZ02,0.899120470733973,0.235,0.992,1
Q8TDF5,0.634412770809578,0.477,0.992,2
Q96EK5,0.609625796178344,0.435,0.992,4
Q9BSA4,0.761095977193538,0.262,0.992,2
Q9NR09,0.604056842974232,0.243,0.992,5
O00391,0.825763717251607,0.058,0.991,1
O94910,0.840179577464789,0.169,0.991,1
O95342,0.738492487647474,0.336,0.991,6
P05093,0.908361909786336,0.234,0.991,1
P05177,0.842439024390244,0.263,0.991,1
P10586,0.844658967095228,0.108,0.991,3
P15812,0.88016081871345,0.133,0.991,1
P21462,0.797435456110155,0.057,0.991,2
P22888,0.790147303397482,0.144,0.991,1
P78363,0.695386898096305,0.117,0.991,2
Q13200,0.516088295687885,0.383,0.991,4
Q13698,0.678875031600236,0.182,0.991,14
Q86WU2,0.925498112111531,0.315,0.991,1
Q8NBN3,0.780807995495496,0.155,0.991,1
Q9Y4A5,0.732754592796181,0.15,0.991,5
O14936,0.799840182648402,0.28,0.99,4
O15160,0.865228352210449,0.238,0.99,1
P0DSN6,0.754876644736842,0.206,0.99,5
P15428,0.889721218378936,0.072,0.99,1
P21554,0.696187196110211,0.272,0.99,2
P29033,0.733493150684931,0.034,0.99,2
P41440,0.773765339718647,0.08,0.99,1
P59542,0.74842663273961,0.149,0.99,2
Q15758,0.75957910906298,0.219,0.99,4
Q9BQB6,0.727457489878543,0.344,0.99,1
Q9BVQ7,0.800798752698489,0.276,0.99,6
Q9BXC1,0.834444913465597,0.205,0.99,1
Q9HCL2,0.848527721433401,0.211,0.99,2
Q9NQW8,0.788662225922842,0.307,0.99,1
Q9UGH3,0.73530082484231,0.139,0.99,2
O75899,0.764996388587938,0.109,0.989,1
O94851,0.815749445228969,0.105,0.989,1
P13010,0.676475268073331,0.162,0.989,2
P42338,0.786223145400593,0.178,0.989,1
P48764,0.769907667603372,0.062,0.989,2
P50406,0.734901714763697,0.229,0.989,3
P50607,0.77426908752327706,0.02,0.989,1
P51798,0.818700182815357,0.145,0.989,3
Q10469,0.867073490813648,0.431,0.989,1
Q6P1A2,0.720629237862761,0.109,0.989,4
Q9H089,0.548765432098765,0.064,0.989,4
Q9NYV6,0.688788900414938,0.359,0.989,1
Q9Y2G2,0.703132854578097,0.129,0.989,1
Q9Y6J9,0.60267173156062,0.164,0.989,8
O00748,0.89328189052327,0.29,0.988,1
P05181,0.935171132926506,0.128,0.988,1
P31321,0.698290993071593,0.223,0.988,1
P36776,0.773189114814249,0.117,0.988,1
Q01813,0.821498331284033,0.17,0.988,1
Q15477,0.798925397809465,0.062,0.988,2
Q969N2,0.915059371362049,0.25,0.988,3
Q96MV8,0.77508779264214,0.332,0.988,1
Q99594,0.762004530011325,0.483,0.988,1
Q9H237,0.80858231292517,0.076,0.988,1
Q9ULD6,0.58789076944958,0.23,0.988,3
B5MCN3,0.850392529281418,0.446,0.987,1
O00330,0.815994350282486,0.067,0.987,1
O43448,0.866429133858268,0.56,0.987,1
P04150,0.775928497049636,0.483,0.987,1
P09914,0.892561215873909,0.047,0.987,2
P33260,0.863797947055646,0.131,0.987,2
Q01415,0.922564252336449,0.342,0.987,1
Q14353,0.894873487348735,0.493,0.987,1
Q6KC79,0.711123497648493,0.267,0.987,10
Q8NH57,0.773796814464055,0.426,0.987,3
Q99758,0.778682389703147,0.289,0.987,1
C9JRZ8,0.861932610379551,0.327,0.986,1
O15397,0.636709866943148,0.172,0.986,3
O43924,0.858768352365416,0.272,0.986,1
P04798,0.909360754519256,0.341,0.986,1
P16671,0.943345759552656,0.251,0.986,2
P22570,0.896184474362647,-0.039,0.986,1
P50443,0.765780114722753,0.115,0.986,1
Q5R3K3,0.779571428571429,0.237,0.986,1
Q86Y34,0.789833174451859,0.195,0.986,1
Q8NCM8,0.824822558908809,0.322,0.986,7
Q9NUN7,0.822180376610505,0.241,0.986,1
O00338,0.857002930096275,0.533,0.985,1
O15431,0.572419064748201,0.092,0.985,1
P06126,0.861520547945205,0.027,0.985,1
P09172,0.875489106269453,0.277,0.985,1
P28347,0.768700787401575,0.452,0.985,1
P35270,0.920853031860226,0.124,0.985,1
P51801,0.79139928343949,0.126,0.985,2
Q14831,0.641293415055791,0.09,0.985,3
Q8IZY2,0.731879684018635,0.108,0.985,8
Q99518,0.884372952737482,0.133,0.985,2
Q9BVA6,0.863087371512482,0.025,0.985,1
Q9H227,0.952008987575998,0.2,0.985,1
Q9NRV9,0.821557262569832,0.053,0.985,1
A6NL99,0.773153724247227,0.545,0.984,1
O43156,0.607468496219546,0.236,0.984,8
P11509,0.911459718160064,0.323,0.984,1
P11712,0.875723168423898,0.184,0.984,2
P17213,0.871754484304933,0.08,0.984,2
P34998,0.724598870056497,0.1,0.984,1
Q04828,0.866934984520124,0.135,0.984,1
Q07002,0.831306252489048,0.24,0.984,1
Q13936,0.642118288590604,0.192,0.984,8
Q5SXM2,0.667731284733573,0.467,0.984,1
Q92633,0.756111570247934,0.174,0.984,3
Q9BXS9,0.870382949623889,0.345,0.984,2
O00408,0.801237113402062,0.175,0.983,1
O14792,0.916132246376812,0.383,0.983,1
O95343,0.74006497725796,0.476,0.983,2
P03886,0.745799760670124,0.126,0.983,2
P03952,0.860389121338912,0.248,0.983,1
P09622,0.914724836042201,0.252,0.983,3
Q00975,0.618437088844263,0.158,0.983,11
Q12874,0.668113256784969,0.425,0.983,2
Q13011,0.873210749646393,0.294,0.983,2
Q14674,0.768525807008459,0.137,0.983,7
Q14940,0.688911927735578,0.193,0.983,2
Q16678,0.835436970338983,0.095,0.983,1
Q5TKA1,0.675019206145967,0.146,0.983,2
Q8NBQ5,0.827511052166225,0.237,0.983,2
Q9H0X9,0.799379118973292,0.175,0.983,2
Q9UI17,0.927537727132738,0.34,0.983,2
O75023,0.738011753183154,0.248,0.982,2
O75907,0.798933372296902,0.186,0.982,2
O76054,0.891305295950156,0.369,0.982,1
O95379,0.86763624425476,0.067,0.982,1
P03372,0.805656299420137,0.326,0.982,1
P30038,0.921460211176925,0.242,0.982,2
P31327,0.893369845934634,0.135,0.982,3
P35580,0.653557863501484,0.315,0.982,3
P47775,0.847082936129647,0.307,0.982,1
Q13467,0.775761346998536,0.189,0.982,3
Q8ND04,0.689801706248559,0.081,0.982,1
Q99808,0.777147846332945,0.082,0.982,2
Q9NU19,0.769907201187825,0.108,0.982,1
Q9NVH2,0.840691570615192,0.185,0.982,1
Q9UKX3,0.720407560543414,0.093,0.982,5
Q9UNW8,0.740004051863857,0.268,0.982,2
O43159,0.850971394517282,0.496,0.981,1
P07148,0.841907630522088,0.264,0.981,1
P23458,0.733120403907365,0.227,0.981,5
P25105,0.788924914675768,0.031,0.981,1
P98161,0.539434777242996,0.125,0.981,5
Q16134,0.935105215004575,0.311,0.981,2
Q86YV6,0.883722010984368,0.057,0.981,1
Q8WYR1,0.590146125461255,0.21,0.981,4
Q96QT4,0.81676,0.054,0.981,1
Q9BZJ8,0.673531629660662,0.185,0.981,5
Q9NP59,0.727460582895366,0.124,0.981,3
Q9Y6A2,0.912950819672131,0.155,0.981,2
A4D1E9,0.746653860929697,0.179,0.98,1
O00519,0.918491337824832,0.14,0.98,1
O75616,0.729348927875244,0.111,0.98,2
P21926,0.672535531552018,0.181,0.98,3
P23443,0.78840493089279,0.198,0.98,1
P28845,0.865645081562037,0.063,0.98,1
P35610,0.741157662624035,0.238,0.98,1
Q03721,0.698232378854626,0.211,0.98,3
Q13535,0.618817494089835,0.163,0.98,13
Q14573,0.672262050173823,0.21,0.98,6
Q7RTS5,0.714728355246837,0.107,0.98,2
Q8WUD6,0.758633142085724,0.109,0.98,1
Q9P2D8,0.600526288472518,0.098,0.98,3
Q9UBY0,0.722610128858256,0.501,0.98,2
O75486,0.691140313692242,0.085,0.979,1
O95050,0.939100954294324,0.288,0.979,1
P0C7M7,0.856966213045519,0.399,0.979,3
P33261,0.870941366325982,0.183,0.979,2
Q13177,0.821723542116631,0.145,0.979,1
Q8NET8,0.759017274472169,0.313,0.979,3
Q96PU8,0.752033678756477,0.118,0.979,1
P10916,0.668334595003785,0.233,0.978,1
P34969,0.748339194998046,0.117,0.978,2
P46098,0.736911165444173,0.363,0.978,1
P51854,0.863267857142857,0.101,0.978,1
Q15878,0.618898031955016,0.157,0.978,9
Q32MK0,0.809103690685413,0.123,0.978,1
Q5T215,0.758446153846154,0.195,0.978,1
Q86UP9,0.694348127600555,0.494,0.978,2
Q86WJ1,0.72031529612271,0.229,0.978,3
Q86Y97,0.671407338597306,0.483,0.978,1
Q8IXJ6,0.863107368421053,0.155,0.978,1
Q92597,0.764872062663185,0.073,0.978,1
Q96JA3,0.817462326702833,0.025,0.978,1
Q99500,0.784386334879798,0.098,0.978,1
Q99683,0.682088009450679,0.283,0.978,3
Q9BZF1,0.805833333333333,0.337,0.978,2
Q9GZV3,0.764651515151515,0.18,0.978,1
Q9NQ11,0.731547877817183,0.128,0.978,4
Q9UHN6,0.94069948964275,0.149,0.978,1
O60669,0.711109034267913,0.099,0.977,1
P27169,0.896761869436202,0.335,0.977,1
P29622,0.879233766233766,0.469,0.977,2
P32456,0.791121251629726,0.269,0.977,1
P52630,0.778215894755812,0.299,0.977,1
P61026,0.819124555160142,0.078,0.977,1
P61916,0.875962854349951,0.361,0.977,1
Q15561,0.785481357818587,0.373,0.977,1
Q8IY47,0.80282229232387,0.219,0.977,2
Q96QE3,0.615106355549826,0.118,0.977,7
Q96QZ0,0.628541666666667,0.267,0.977,2
Q9BRQ8,0.88235632183908,0.114,0.977,1
Q9BV23,0.898474137931034,0.199,0.977,1
P10745,0.837647317502199,0.294,0.976,2
P11511,0.925386717682427,0.182,0.976,1
P13535,0.725681413301663,0.11,0.976,1
P21359,0.791354616048317,0.345,0.976,1
P31213,0.882222782258064,0.081,0.976,3
P51648,0.868356052344602,0.168,0.976,1
Q15782,0.945501214013181,0.064,0.976,1
Q6VAB6,0.757956140350877,0.261,0.976,4
Q86Z14,0.859101499732191,0.359,0.976,1
Q96N66,0.888872116206209,0.144,0.976,1
Q9HBG6,0.851296110414053,0.12,0.976,2
Q9NZK5,0.93442014242116,0.152,0.976,1
Q9UNL2,0.705279117849759,-0.059,0.976,1
O15296,0.952817349037203,0.266,0.975,1
O60361,0.839633363886343,0.049,0.975,1
O75716,0.876810787671233,0.384,0.975,1
O95568,0.804767879548306,0.533,0.975,1
P28566,0.709405366207397,0.109,0.975,2
Q01740,0.875298614429049,0.08,0.975,1
Q02153,0.807507692307692,0.26,0.975,1
Q08AH3,0.925970398663165,0.337,0.975,1
Q15005,0.775651558073654,0.322,0.975,2
Q5NUL3,0.76733305509182,0.228,0.975,2
Q86XH1,0.761151949085123,0.143,0.975,1
Q9NPD5,0.709309068476249,0.178,0.975,1
Q9UBJ2,0.720567040756054,0.199,0.975,2
Q9UHE8,0.769784419402254,0.046,0.975,1
O15399,0.598212521905369,0.366,0.974,2
O43683,0.799357928343384,0.233,0.974,1
O95180,0.562652828304444,0.163,0.974,7
P0CG22,0.838672431332655,0.503,0.974,1
P59538,0.779471729261246,0.059,0.974,2
Q68CK6,0.921957558416786,0.29,0.974,2
Q6NZI2,0.7087890625,0.581,0.974,1
Q96PS8,0.892057081313947,0.386,0.974,1
Q99720,0.806635944700461,0.471,0.974,1
Q9H4Z3,0.848110100761858,0.399,0.974,1
Q9UIJ5,0.798608400509122,0.091,0.974,1
O60603,0.777130227001195,0.239,0.973,1
P15538,0.881650485436893,0.152,0.973,1
P17858,0.811038732394366,0.078,0.973,2
P20853,0.905090521831736,0.305,0.973,1
Q9NRG7,0.938324175824176,0.122,0.973,1
Q9P273,0.788156438631791,0.228,0.973,9
Q9Y566,0.737649446494465,0.515,0.973,2
P43116,0.780737365368683,0.311,0.972,1
P48664,0.662840610205155,0.124,0.972,2
Q53TN4,0.869804469273743,0.122,0.972,2
Q9BW19,0.699382899628253,0.1,0.972,2
Q9H6W3,0.909953420669578,0.28,0.972,3
Q9HCJ6,0.847183151560737,0.398,0.972,1
Q9Y271,0.820737248178311,0.059,0.972,1
Q9Y5J6,0.786725403817915,0.263,0.972,2
P09105,0.805271389144434,0.122,0.971,1
P19174,0.746108825344579,0.165,0.971,2
P49019,0.767126725219573,0.468,0.971,1
P59539,0.754222776392352,0.137,0.971,2
P59543,0.74759175257732,0.099,0.971,4
Q16696,0.911464900662252,0.244,0.971,1
Q5HYA8,0.845686430561082,0.305,0.971,3
Q96Q40,0.731898120072771,0.311,0.971,1
Q9H1R2,0.874540901502504,0.135,0.971,1
Q9NRD8,0.79362794129704,0.496,0.971,5
P24462,0.848432304038005,0.195,0.97,1
P28335,0.643065161994903,0.134,0.97,2
P35348,0.699613682092555,0.187,0.97,1
P49189,0.88930268435668,0.309,0.97,1
P55157,0.879094400945487,0.085,0.97,4
Q9HBH9,0.755469869363675,0.151,0.97,1
O95397,0.825626598465473,0.137,0.969,1
P08183,0.712170927530108,0.191,0.969,7
P21918,0.683864063086744,0.243,0.969,1
P43115,0.739607187630589,0.214,0.969,2
Q95460,0.870938673341677,0.074,0.969,1
Q9BXP5,0.750392156862745,0.163,0.969,1
Q9UPC5,0.757777319587629,0.084,0.969,2
O14994,0.804385026737968,0.406,0.968,4
O15217,0.933380202474691,0.441,0.968,1
P40145,0.713409090909091,0.193,0.968,7
P40261,0.885598436736688,0.437,0.968,1
Q07343,0.797052599758162,0.129,0.968,1
Q6STE5,0.677096048827498,0.328,0.968,1
Q8NH60,0.785517961570593,0.503,0.968,2
Q92925,0.664321338383838,0.32,0.968,1
Q9BWU1,0.808508623605005,0.365,0.968,1
Q9Y210,0.70314451382694,0.048,0.968,1
O95619,0.776558651976669,0.35,0.967,2
P49675,0.889673716012085,0.42,0.967,1
Q13018,0.836648529973272,0.069,0.967,3
Q14697,0.888904521240268,0.521,0.967,2
Q96EY7,0.769531174480425,0.272,0.967,1
Q9Y5T5,0.706057877813505,0.243,0.967,2
O14843,0.7901841868823,0.091,0.966,2
O14933,0.875539452495974,0.245,0.966,1
O60840,0.633273550260483,0.153,0.966,7
O75529,0.788076673164392,0.071,0.966,1
P23229,0.797121082009446,0.065,0.966,1
P35249,0.856900630914826,0.278,0.966,2
P35916,0.670898032200358,0.312,0.966,1
Q14003,0.679544964997307,0.144,0.966,3
Q15562,0.765597826086956,0.296,0.966,1
Q7RTP6,0.834316343042071,0.215,0.966,1
P08575,0.847214859437751,0.215,0.965,1
P28330,0.913983844911147,0.152,0.965,1
P45844,0.792744972186564,0.116,0.965,4
P49286,0.735883354618987,0.289,0.965,2
Q13547,0.875859637340497,0.519,0.965,1
Q14849,0.888174418604651,0.321,0.965,1
Q5JTZ9,0.797985323549033,0.505,0.965,1
Q96AZ1,0.911255520504732,0.151,0.965,1
Q9NYP3,0.658490522950445,0.329,0.965,2
P02730,0.765608108108108,0.153,0.964,2
P12271,0.875237273511648,0.332,0.964,1
P12883,0.718830842089685,0.092,0.964,5
P13637,0.82376660588695,0.153,0.964,4
P35913,0.856246825041088,0.136,0.964,2
P50991,0.769449987209005,0.3,0.964,1
Q674R7,0.654306059036769,0.147,0.964,3
Q8NH55,0.772640473172793,0.141,0.964,1
Q92769,0.885827993254637,0.508,0.964,1
Q96RJ0,0.743116990491939,0.14,0.964,1
Q9H5X1,0.827983348751156,0.465,0.964,1
Q9Y4B6,0.668426863764942,0.215,0.964,3
O94804,0.737406440382942,0.202,0.963,1
P03915,0.737569400296673,0.27,0.963,2
P50120,0.875271739130435,0.27,0.963,1
Q13888,0.709476923076923,0.03,0.963,1
Q14410,0.846534877864518,0.1,0.963,3
Q68DV7,0.727696335078534,0.249,0.963,2
Q6P1K8,0.707033492822966,0.03,0.963,1
Q92585,0.685021367521368,0.345,0.963,1
Q92835,0.88877969762419,0.154,0.963,1
O00231,0.75217680292456,0.385,0.962,2
O43819,0.818395245170877,0.09,0.962,1
O75844,0.860375623850801,0.198,0.962,2
P05156,0.725467032967033,0.082,0.962,1
P51800,0.801786996410052,0.135,0.962,2
Q00537,0.830316580925999,0.12,0.962,1
Q7L1I2,0.687833254828073,0.199,0.962,1
Q8NGF1,0.791942446043165,0.378,0.962,2
Q99504,0.768121850664224,0.546,0.962,1
Q9HAT2,0.882769640479361,0.42,0.962,1
O95382,0.686768734891217,0.321,0.961,2
P02008,0.871616541353384,0.093,0.961,1
P0DMS8,0.828137960220059,0.095,0.961,1
P21728,0.736127642913078,0.184,0.961,1
P63267,0.847888391319325,0.066,0.961,2
Q06418,0.724099216710183,0.227,0.961,1
Q16654,0.820418367346939,0.257,0.961,1
Q6ICB0,0.940008223684211,0.296,0.961,1
Q8IZF4,0.789250217959895,0.172,0.961,2
Q8WXG1,0.877635220125786,0.33,0.961,1
Q99871,0.813081734778982,0.077,0.961,2
Q9BV86,0.909899046550757,0.505,0.961,1
Q9C0H2,0.762795497185741,0.221,0.961,2
P05106,0.74911331735707,0.128,0.96,1
P08574,0.799545691906005,0.24,0.96,1
P10619,0.889225255031707,0.174,0.96,1
P60900,0.898050847457627,0.184,0.96,2
P99999,0.819387254901961,0.189,0.96,1
Q08493,0.767148447691104,0.301,0.96,1
Q14432,0.775335956416465,0.153,0.96,1
Q14738,0.761702380952381,0.245,0.96,1
Q9BSA9,0.692858806404658,0.261,0.96,3
Q9BTU6,0.778974612594791,0.115,0.96,2
Q9UKU7,0.927747385358005,0.165,0.96,1
P01266,0.764411391787769,0.204,0.959,8
P31645,0.784952535309099,0.062,0.959,2
P46597,0.904583795782464,0.264,0.959,1
P60228,0.697318104906937,0.217,0.959,4
P61587,0.823309659090909,0.142,0.959,1
Q4FZB7,0.694036643026005,0.297,0.959,2
Q8IVW4,0.870938123752495,0.146,0.959,1
Q96GM5,0.693504755195491,0.289,0.959,1
Q9NSA2,0.713878345498783,0.295,0.959,1
Q9NYK5,0.851898787118361,0.258,0.959,3
A6NIZ1,0.859484690067214,0.253,0.958,1
O14842,0.7805118300338,0.248,0.958,1
Q14722,0.88605716523101,0.265,0.958,1
Q92624,0.894299287410926,0.045,0.958,1
Q96RD3,0.745299215848122,0.42,0.958,1
Q9NW15,0.823987181977083,0.214,0.958,4
Q9NZK7,0.924685890834192,0.037,0.958,1
Q9UDX4,0.850436557788945,0.442,0.958,1
Q9Y262,0.707769282662469,0.218,0.958,3
O14807,0.835511363636364,0.333,0.957,1
P03905,0.792782392026578,0.389,0.957,2
P08237,0.807769001228717,0.137,0.957,1
P14416,0.628751651254954,0.066,0.957,1
P21731,0.87224174882126,0.227,0.957,2
P43657,0.769654427645788,0.068,0.957,1
Q96CP6,0.771347670250896,0.078,0.957,1
Q9H7D0,0.804397052255471,0.202,0.957,5
Q9UBN4,0.761033916849015,0.192,0.957,1
Q9UM82,0.80916955017301,0.403,0.957,1
P29973,0.793447154471545,0.164,0.956,2
P41226,0.828880800727934,0.101,0.956,2
Q6P575,0.652175615212528,0.162,0.956,1
Q7Z3C6,0.812254270512461,0.155,0.956,1
Q9UK17,0.721863323500492,0.304,0.956,1
P51843,0.663832574031891,0.395,0.955,1
Q01959,0.767944958267539,0.261,0.955,1
Q5T601,0.712417923691216,0.276,0.955,1
Q9UP38,0.762908704883227,0.071,0.955,1
P57721,0.707129471890971,0.017,0.954,1
P61224,0.860893393393393,0.225,0.954,1
Q8N4P3,0.905041938490214,0.32,0.954,1
Q8TB92,0.865095108695652,0.092,0.954,1
Q92736,0.711595768852087,0.145,0.954,4
Q9H3U5,0.854308382200759,0.092,0.954,2
Q9Y616,0.807937888198758,0.383,0.954,2
Q9Y6A9,0.607787234042553,0.266,0.954,1
O60825,0.850719838756119,0.172,0.953,1
P00325,0.891532374100719,0.325,0.953,2
