uniprot_id,struct_score,hydrophobicity_score,volume_score,alpha_max_dist,pocket,druggability,num_drug_pockets
Q15758,0.75957910906298,55.63,3.926,22.056,0.219,0.99,4
Q9BQB6,0.727457489878543,45.931,4.034,19.854,0.344,0.99,1
Q9BVQ7,0.800798752698489,20.565,4.261,21.31,0.276,0.99,6
Q9BXC1,0.834444913465597,54.107,4.857,20.173,0.205,0.99,1
Q9HCL2,0.848527721433401,49.297,4.459,29.825,0.211,0.99,2
Q9NQW8,0.788662225922842,55.35,5.25,26.928,0.307,0.99,1
Q9UGH3,0.73530082484231,39.391,3.783,22.742,0.139,0.99,2
O75899,0.764996388587938,48.25,3.75,20.501,0.109,0.989,1
O94851,0.815749445228969,18.395,3.684,27.784,0.105,0.989,1
P13010,0.676475268073331,23.885,5,24.638,0.162,0.989,2
P42338,0.786223145400593,41.091,3.97,18.801,0.178,0.989,1
P48764,0.769907667603372,36.76,4.72,21.16,0.062,0.989,2
P50406,0.734901714763697,38.963,4.111,23.073,0.229,0.989,3
P50607,0.77426908752327706,23.344,4,26.142,0.02,0.989,1
P51798,0.818700182815357,66.304,4.957,19.32,0.145,0.989,3
Q10469,0.867073490813648,27.444,4.185,22.694,0.431,0.989,1
Q6P1A2,0.720629237862761,45.302,4.535,26.546,0.109,0.989,4
Q9H089,0.548765432098765,16.857,4.143,26.993,0.064,0.989,4
Q9NYV6,0.688788900414938,58.519,5.259,19.545,0.359,0.989,1
Q9Y2G2,0.703132854578097,18.222,3.926,18.203,0.129,0.989,1
Q9Y6J9,0.60267173156062,35.707,4.024,29.647,0.164,0.989,8
O00748,0.89328189052327,45.972,4.278,19.55,0.29,0.988,1
P05181,0.935171132926506,42.63,4.196,21.707,0.128,0.988,1
P31321,0.698290993071593,42.333,3.792,20.171,0.223,0.988,1
P36776,0.773189114814249,36.825,4.5,33.392,0.117,0.988,1
Q01813,0.821498331284033,34.944,4.667,21.197,0.17,0.988,1
Q15477,0.798925397809465,15.102,3.796,32.025,0.062,0.988,2
Q969N2,0.915059371362049,12.545,4.205,27.263,0.25,0.988,3
Q96MV8,0.77508779264214,63.917,4.458,19.706,0.332,0.988,1
Q99594,0.762004530011325,60.241,4.517,17.73,0.483,0.988,1
Q9H237,0.80858231292517,49.406,4.375,28.386,0.076,0.988,1
Q9ULD6,0.58789076944958,23.135,3.923,25.447,0.23,0.988,3
B5MCN3,0.850392529281418,75.207,4.69,17.267,0.446,0.987,1
O00330,0.815994350282486,38.414,3.931,22.391,0.067,0.987,1
O43448,0.866429133858268,20.571,4.25,18.414,0.56,0.987,1
P04150,0.775928497049636,51.367,4.667,20.185,0.483,0.987,1
P09914,0.892561215873909,19.158,4.579,29.078,0.047,0.987,2
P33260,0.863797947055646,61.931,4.517,19.543,0.131,0.987,2
Q01415,0.922564252336449,15.821,3.692,22.623,0.342,0.987,1
Q14353,0.894873487348735,48,4.233,21.131,0.493,0.987,1
Q6KC79,0.711123497648493,59.5,4.958,18.079,0.267,0.987,10
Q8NH57,0.773796814464055,38.296,4.074,18.267,0.426,0.987,3
Q99758,0.778682389703147,60.069,4.586,22.259,0.289,0.987,1
C9JRZ8,0.861932610379551,22.765,4.5,24.873,0.327,0.986,1
O15397,0.636709866943148,29.973,4.054,22.16,0.172,0.986,3
O43924,0.858768352365416,67.75,4.781,20.575,0.272,0.986,1
P04798,0.909360754519256,45.184,4.184,19.403,0.341,0.986,1
P16671,0.943345759552656,38.651,4.313,35.782,0.251,0.986,2
P22570,0.896184474362647,25.02,3.735,26.421,-0.039,0.986,1
P50443,0.765780114722753,30,4.114,27.586,0.115,0.986,1
Q5R3K3,0.779571428571429,35.643,4.571,19.875,0.237,0.986,1
Q86Y34,0.789833174451859,58.188,4.531,21.812,0.195,0.986,1
Q8NCM8,0.824822558908809,58.846,4.923,17.29,0.322,0.986,7
Q9NUN7,0.822180376610505,43.722,4.167,19.527,0.241,0.986,1
O00338,0.857002930096275,29.759,5.034,17.888,0.533,0.985,1
O15431,0.572419064748201,29.043,3.957,21.451,0.092,0.985,1
P06126,0.861520547945205,54.024,4.537,24.78,0.027,0.985,1
P09172,0.875489106269453,32.63,4.852,22.235,0.277,0.985,1
P28347,0.768700787401575,67.25,4.5,17.009,0.452,0.985,1
P35270,0.920853031860226,29.525,3.875,31.628,0.124,0.985,1
P51801,0.79139928343949,32.171,4.39,25.087,0.126,0.985,2
Q14831,0.641293415055791,40.889,4.159,28.223,0.09,0.985,3
Q8IZY2,0.731879684018635,25.051,4.051,26.442,0.108,0.985,8
Q99518,0.884372952737482,42.8,5,26.773,0.133,0.985,2
Q9BVA6,0.863087371512482,36.759,4.31,20.266,0.025,0.985,1
Q9H227,0.952008987575998,49.821,4.692,20.573,0.2,0.985,1
Q9NRV9,0.821557262569832,25.242,3.97,26.169,0.053,0.985,1
A6NL99,0.773153724247227,38.406,4.125,23.834,0.545,0.984,1
O43156,0.607468496219546,24.763,4.158,26.414,0.236,0.984,8
P11509,0.911459718160064,49.474,4.289,17.638,0.323,0.984,1
P11712,0.875723168423898,53.909,4.303,21.701,0.184,0.984,2
P17213,0.871754484304933,48.277,4.17,23.864,0.08,0.984,2
P34998,0.724598870056497,49.143,4.524,23.654,0.1,0.984,1
Q04828,0.866934984520124,40.188,4.469,24.331,0.135,0.984,1
Q07002,0.831306252489048,38.441,4.147,21.621,0.24,0.984,1
Q13936,0.642118288590604,40.364,4.773,25.913,0.192,0.984,8
Q5SXM2,0.667731284733573,36.762,4.714,19.527,0.467,0.984,1
Q92633,0.756111570247934,53.667,4.222,18.124,0.174,0.984,3
Q9BXS9,0.870382949623889,53.471,3.588,17.414,0.345,0.984,2
O00408,0.801237113402062,35.087,4.957,26.329,0.175,0.983,1
O14792,0.916132246376812,18.444,4.481,20.63,0.383,0.983,1
O95343,0.74006497725796,38.227,4.5,25.615,0.476,0.983,2
P03886,0.745799760670124,60.867,4.267,16.619,0.126,0.983,2
P03952,0.860389121338912,26.75,4.062,22.771,0.248,0.983,1
P09622,0.914724836042201,26.146,3.458,24.755,0.252,0.983,3
Q00975,0.618437088844263,78.545,4.636,17.339,0.158,0.983,11
Q12874,0.668113256784969,17.471,4.765,19.098,0.425,0.983,2
Q13011,0.873210749646393,48.682,4.364,22.589,0.294,0.983,2
Q14674,0.768525807008459,28.015,3.985,34.463,0.137,0.983,7
Q14940,0.688911927735578,51.333,5.238,19.454,0.193,0.983,2
Q16678,0.835436970338983,40.923,4.179,17.948,0.095,0.983,1
Q5TKA1,0.675019206145967,0.958,4,20.426,0.146,0.983,2
Q8NBQ5,0.827511052166225,35.351,3.86,35.158,0.237,0.983,2
Q9H0X9,0.799379118973292,33.975,4.35,21.209,0.175,0.983,2
Q9UI17,0.927537727132738,36.767,3.674,26.938,0.34,0.983,2
O75023,0.738011753183154,33,4.167,23.448,0.248,0.982,2
O75907,0.798933372296902,68.885,5.154,18.715,0.186,0.982,2
O76054,0.891305295950156,67.389,4.639,18.039,0.369,0.982,1
O95379,0.86763624425476,66.444,4.639,20.478,0.067,0.982,1
P03372,0.805656299420137,56.24,4.48,17.573,0.326,0.982,1
P30038,0.921460211176925,28.739,4.087,17.418,0.242,0.982,2
P31327,0.893369845934634,49.808,4.846,17.639,0.135,0.982,3
P35580,0.653557863501484,12.576,3.97,28.579,0.315,0.982,3
P47775,0.847082936129647,43.032,4.129,18.433,0.307,0.982,1
Q13467,0.775761346998536,43.929,4.643,21.157,0.189,0.982,3
Q8ND04,0.689801706248559,47.31,4.483,18.923,0.081,0.982,1
Q99808,0.777147846332945,41.922,4.098,31.577,0.082,0.982,2
Q9NU19,0.769907201187825,25.231,4.423,24.408,0.108,0.982,1
Q9NVH2,0.840691570615192,37.519,4.444,25.631,0.185,0.982,1
Q9UKX3,0.720407560543414,16.045,3.932,33.994,0.093,0.982,5
Q9UNW8,0.740004051863857,57.667,4.963,17.783,0.268,0.982,2
O43159,0.850971394517282,32.5,3.893,17.2,0.496,0.981,1
P07148,0.841907630522088,52.469,4.469,18.52,0.264,0.981,1
P23458,0.733120403907365,36.2,4.133,22.925,0.227,0.981,5
P25105,0.788924914675768,43.143,4.943,22.229,0.031,0.981,1
P98161,0.539434777242996,49.938,4.25,19.64,0.125,0.981,5
Q16134,0.935105215004575,39.207,3.724,18.945,0.311,0.981,2
Q86YV6,0.883722010984368,28.853,3.882,29.995,0.057,0.981,1
Q8WYR1,0.590146125461255,37.054,4.108,18.813,0.21,0.981,4
Q96QT4,0.81676,-0.394,3.576,27.634,0.054,0.981,1
Q9BZJ8,0.673531629660662,46.409,3.773,20.669,0.185,0.981,5
Q9NP59,0.727460582895366,41,3.966,18.12,0.124,0.981,3
Q9Y6A2,0.912950819672131,37.48,4.26,29.287,0.155,0.981,2
A4D1E9,0.746653860929697,37.75,4.8,22.207,0.179,0.98,1
O00519,0.918491337824832,53.692,4.462,18.413,0.14,0.98,1
O75616,0.729348927875244,7.906,3.844,35.387,0.111,0.98,2
P21926,0.672535531552018,69.091,4.409,18.164,0.181,0.98,3
P23443,0.78840493089279,29.357,4.107,23.23,0.198,0.98,1
P28845,0.865645081562037,31.289,3.644,31.725,0.063,0.98,1
P35610,0.741157662624035,81.105,5.368,17.317,0.238,0.98,1
Q03721,0.698232378854626,25.583,4.75,23.78,0.211,0.98,3
Q13535,0.618817494089835,38.667,4.273,19.662,0.163,0.98,13
Q14573,0.672262050173823,60.545,4.955,22.277,0.21,0.98,6
Q7RTS5,0.714728355246837,27.018,3.873,27.053,0.107,0.98,2
Q8WUD6,0.758633142085724,34.95,3.95,33.03,0.109,0.98,1
Q9P2D8,0.600526288472518,24.357,4.571,28.131,0.098,0.98,3
Q9UBY0,0.722610128858256,65.636,4.364,20.342,0.501,0.98,2
O75486,0.691140313692242,47.182,5.091,18.766,0.085,0.979,1
O95050,0.939100954294324,33.423,3.808,18.43,0.288,0.979,1
P0C7M7,0.856966213045519,30.326,3.978,22.173,0.399,0.979,3
P33261,0.870941366325982,56.241,4.379,18.431,0.183,0.979,2
Q13177,0.821723542116631,14.167,3.567,22.393,0.145,0.979,1
Q8NET8,0.759017274472169,42.552,5.034,21.05,0.313,0.979,3
Q96PU8,0.752033678756477,22.478,4.435,25.57,0.118,0.979,1
P10916,0.668334595003785,63.278,4.556,16.522,0.233,0.978,1
P34969,0.748339194998046,45.455,4.636,20.58,0.117,0.978,2
P46098,0.736911165444173,71.636,4.909,16.522,0.363,0.978,1
P51854,0.863267857142857,29.256,3.538,26.488,0.101,0.978,1
Q15878,0.618898031955016,71.85,4.95,19.651,0.157,0.978,9
Q32MK0,0.809103690685413,28.853,3.882,30.082,0.123,0.978,1
Q5T215,0.758446153846154,88.048,4.81,17.006,0.195,0.978,1
Q86UP9,0.694348127600555,46.95,3.9,15.967,0.494,0.978,2
Q86WJ1,0.72031529612271,13.781,4.156,25.606,0.229,0.978,3
Q86Y97,0.671407338597306,57.25,4.8,15.902,0.483,0.978,1
Q8IXJ6,0.863107368421053,29.769,3.904,25.888,0.155,0.978,1
Q92597,0.764872062663185,47.898,4.02,31.574,0.073,0.978,1
Q96JA3,0.817462326702833,62.973,4.649,22.737,0.025,0.978,1
Q99500,0.784386334879798,44.979,4.417,32.291,0.098,0.978,1
Q99683,0.682088009450679,47.182,4.364,23.696,0.283,0.978,3
Q9BZF1,0.805833333333333,35.829,4.4,18.839,0.337,0.978,2
Q9GZV3,0.764651515151515,29.385,4.256,22.396,0.18,0.978,1
Q9NQ11,0.731547877817183,60.739,4.304,21.654,0.128,0.978,4
Q9UHN6,0.94069948964275,17.45,4.175,27.343,0.149,0.978,1
O60669,0.711109034267913,32.565,4.087,19.718,0.099,0.977,1
P27169,0.896761869436202,34.655,4.517,20.889,0.335,0.977,1
P29622,0.879233766233766,26.217,4.391,26.927,0.469,0.977,2
P32456,0.791121251629726,19.78,4.683,33.011,0.269,0.977,1
P52630,0.778215894755812,55,5.16,21.823,0.299,0.977,1
P61026,0.819124555160142,15.226,3.677,28.609,0.078,0.977,1
P61916,0.875962854349951,59.654,4.538,15.74,0.361,0.977,1
Q15561,0.785481357818587,58.733,4.467,16.42,0.373,0.977,1
Q8IY47,0.80282229232387,17.867,4.933,16.617,0.219,0.977,2
Q96QE3,0.615106355549826,13.375,3.708,26.651,0.118,0.977,7
Q96QZ0,0.628541666666667,51.333,4.576,18.182,0.267,0.977,2
Q9BRQ8,0.88235632183908,34.172,3.828,24.226,0.114,0.977,1
Q9BV23,0.898474137931034,44.97,4.273,19.932,0.199,0.977,1
P10745,0.837647317502199,38.16,4.08,24.384,0.294,0.976,2
P11511,0.925386717682427,46.933,4.356,18.58,0.182,0.976,1
P13535,0.725681413301663,16.974,3.872,32.52,0.11,0.976,1
P21359,0.791354616048317,25.318,4.227,18.08,0.345,0.976,1
P31213,0.882222782258064,30.204,4.816,29.35,0.081,0.976,3
P51648,0.868356052344602,49.348,4.522,19.224,0.168,0.976,1
Q15782,0.945501214013181,49.194,4.806,23.648,0.064,0.976,1
Q6VAB6,0.757956140350877,24.368,4.789,18.546,0.261,0.976,4
Q86Z14,0.859101499732191,41.895,4.421,22.601,0.359,0.976,1
Q96N66,0.888872116206209,51.885,4.846,16.368,0.144,0.976,1
Q9HBG6,0.851296110414053,22.222,3.722,18.815,0.12,0.976,2
Q9NZK5,0.93442014242116,21.862,4.448,27.509,0.152,0.976,1
Q9UNL2,0.705279117849759,23.704,4.963,35.388,-0.059,0.976,1
O15296,0.952817349037203,46.4,4.429,22.478,0.266,0.975,1
O60361,0.839633363886343,49.17,4.213,30.289,0.049,0.975,1
