"","Phase","Status","URL Name","URL","Disease ID","Disease Name","Drug ID","Drug Name","Mechanism of Action","Action Type","Target ID","Target Approved Name","Target Approved Symbol","Drug Type","NCT_ID"
"11",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT02005770","MONDO_0004379","female breast carcinoma","CHEMBL1200694","SEVOFLURANE","GABA-A receptor; anion channel positive allosteric modulator","OPENER","ENSG00000169427","gamma-aminobutyric acid type A receptor subunit alpha6","GABRA6","Small molecule","NCT02005770"
"12",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00082277","MONDO_0007254","breast cancer","CHEMBL1654","RISEDRONATE SODIUM","Farnesyl diphosphate synthase inhibitor","INHIBITOR","ENSG00000160752","farnesyl diphosphate synthase","FDPS","Small molecule","NCT00082277"
"13",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01094184","MONDO_0007254","breast cancer","CHEMBL428647","PACLITAXEL","Tubulin inhibitor","INHIBITOR","ENSG00000188229","tubulin beta 2A class IIa","TUBB2A","Small molecule","NCT01094184"
"14",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01743560","MONDO_0007254","breast cancer","CHEMBL1908360","EVEROLIMUS","FK506-binding protein 1A inhibitor","INHIBITOR","ENSG00000088832","FKBP prolyl isomerase 1A","FKBP1A","Small molecule","NCT01743560"
"15",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT03355157","MONDO_0007254","breast cancer","CHEMBL189963","PALBOCICLIB","Cyclin-dependent kinase 4/cyclin D1 inhibitor","INHIBITOR","ENSG00000110092","cyclin dependent kinase 4","CDK4","Small molecule","NCT03355157"
"16",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05362760","MONDO_0007254","breast cancer","CHEMBL3301610","ABEMACICLIB","Cyclin-dependent kinase 6 inhibitor","INHIBITOR","ENSG00000105810","cyclin dependent kinase 6","CDK6","Small molecule","NCT05362760"
"17",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT03360214","MONDO_0007254","breast cancer","CHEMBL1889140","ROPIVACAINE HYDROCHLORIDE","Sodium channel alpha subunit blocker","BLOCKER","ENSG00000144285","sodium voltage-gated channel alpha subunit 11","SCN11A","Small molecule","NCT03360214"
"18",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05033769","MONDO_0007254","breast cancer","CHEMBL1683590","ERIBULIN","Tubulin inhibitor","INHIBITOR","ENSG00000188229","tubulin beta 8 class VIII","TUBB8","Small molecule","NCT05033769"
"19",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT02005770","MONDO_0004379","female breast carcinoma","CHEMBL526","PROPOFOL","GABA-A receptor; anion channel positive allosteric modulator","POSITIVE ALLOSTERIC MODULATOR","ENSG00000022355","gamma-aminobutyric acid type A receptor subunit gamma3","GABRG3","Small molecule","NCT02005770"
"20",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT02344940","MONDO_0007254","breast cancer","CHEMBL1655","TOREMIFENE","Estrogen receptor modulator","MODULATOR","ENSG00000140009","estrogen receptor 1","ESR1","Small molecule","NCT02344940"
"21",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT02248571","EFO_0000305","breast carcinoma","CHEMBL1773","CAPECITABINE","Thymidylate synthase inhibitor","INHIBITOR","ENSG00000176890","thymidylate synthetase","TYMS","Small molecule","NCT02248571"
"22",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05631795","MONDO_0007254","breast cancer","CHEMBL2396661","ALPELISIB","PI3-kinase p110-alpha subunit inhibitor","INHIBITOR","ENSG00000121879","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","PIK3CA","Small molecule","NCT05631795"
"23",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00688909","MONDO_0007254","breast cancer","CHEMBL1444","LETROZOLE","Cytochrome P450 19A1 inhibitor","INHIBITOR","ENSG00000137869","cytochrome P450 family 19 subfamily A member 1","CYP19A1","Small molecule","NCT00688909"
"24",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01298193","MONDO_0007254","breast cancer","CHEMBL1471","APREPITANT","Neurokinin 1 receptor antagonist","ANTAGONIST","ENSG00000115353","tachykinin receptor 1","TACR1","Small molecule","NCT01298193"
"25",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01553903","MONDO_0007254","breast cancer","CHEMBL1399","ANASTROZOLE","Cytochrome P450 19A1 inhibitor","INHIBITOR","ENSG00000137869","cytochrome P450 family 19 subfamily A member 1","CYP19A1","Small molecule","NCT01553903"
"26",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT03355157","MONDO_0007254","breast cancer","CHEMBL1200374","EXEMESTANE","Cytochrome P450 19A1 inhibitor","INHIBITOR","ENSG00000137869","cytochrome P450 family 19 subfamily A member 1","CYP19A1","Small molecule","NCT03355157"
"27",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00372476","MONDO_0007254","breast cancer","CHEMBL941","IMATINIB","Stem cell growth factor receptor inhibitor","INHIBITOR","ENSG00000097007","KIT proto-oncogene, receptor tyrosine kinase","KIT","Small molecule","NCT00372476"
"28",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00082277","MONDO_0007254","breast cancer","CHEMBL923","RISEDRONIC ACID","Farnesyl diphosphate synthase inhibitor","INHIBITOR","ENSG00000160752","farnesyl diphosphate synthase","FDPS","Small molecule","NCT00082277"
"29",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00537771","MONDO_0007254","breast cancer","CHEMBL786","TAMOXIFEN CITRATE","Estrogen receptor alpha modulator","MODULATOR","ENSG00000091831","estrogen receptor 1","ESR1","Small molecule","NCT00537771"
"30",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT03123770","MONDO_0007254","breast cancer","CHEMBL53463","DOXORUBICIN","DNA topoisomerase II alpha inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase II alpha","TOP2A","Small molecule","NCT03123770"
"31",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT03360214","MONDO_0007254","breast cancer","CHEMBL1098","BUPIVACAINE","Sodium channel protein type IV alpha subunit blocker","BLOCKER","ENSG00000007314","sodium voltage-gated channel alpha subunit 4","SCN4A","Small molecule","NCT03360214"
"32",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT03360214","MONDO_0007254","breast cancer","CHEMBL1200396","BUPIVACAINE HYDROCHLORIDE","Sodium channel protein type IV alpha subunit blocker","BLOCKER","ENSG00000007314","sodium voltage-gated channel alpha subunit 4","SCN4A","Small molecule","NCT03360214"
"33",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05161195","MONDO_0007254","breast cancer","CHEMBL3545110","RIBOCICLIB","Cyclin-dependent kinase 6 inhibitor","INHIBITOR","ENSG00000135446","cyclin dependent kinase 6","CDK6","Small molecule","NCT05161195"
"34",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01907880","MONDO_0007254","breast cancer","CHEMBL834","PAMIDRONIC ACID","Farnesyl diphosphate synthase inhibitor","INHIBITOR","ENSG00000160752","farnesyl diphosphate synthase","FDPS","Small molecule","NCT01907880"
"35",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05732064","MONDO_0007254","breast cancer","CHEMBL778","DEXMEDETOMIDINE","Adrenergic receptor alpha-2 agonist","AGONIST","ENSG00000150594","adrenoceptor alpha 2A","ADRA2A","Small molecule","NCT05732064"
"36",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01553903","MONDO_0007254","breast cancer","CHEMBL83","TAMOXIFEN","Estrogen receptor alpha modulator","MODULATOR","ENSG00000091831","estrogen receptor 1","ESR1","Small molecule","NCT01553903"
"37",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05807074","MONDO_0007254","breast cancer","CHEMBL877","TRANEXAMIC ACID","Plasminogen inhibitor","INHIBITOR","ENSG00000122194","plasminogen","PLG","Small molecule","NCT05807074"
"38",3,"Active, not recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT02115282","EFO_0000304","breast adenocarcinoma","CHEMBL27759","ENTINOSTAT","Histone deacetylase inhibitor","INHIBITOR","ENSG00000116478","histone deacetylase 6","HDAC6","Small molecule","NCT02115282"
"39",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01234337","MONDO_0007254","breast cancer","CHEMBL1336","SORAFENIB","Tyrosine-protein kinase receptor RET inhibitor","INHIBITOR","ENSG00000165731","ret proto-oncogene","RET","Small molecule","NCT01234337"
"40",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01091168","MONDO_0007254","breast cancer","CHEMBL2110725","VINFLUNINE","Tubulin inhibitor","INHIBITOR","ENSG00000188229","tubulin alpha 3c","TUBA3C","Small molecule","NCT01091168"
"41",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01101438","MONDO_0007254","breast cancer","CHEMBL1703","METFORMIN HYDROCHLORIDE","Mitochondrial complex I (NADH dehydrogenase) inhibitor","INHIBITOR","ENSG00000198695","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1","MT-ND1","Small molecule","NCT01101438"
"42",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00081796","MONDO_0007254","breast cancer","CHEMBL4279455","LAROTAXEL","Tubulin stabiliser","STABILISER","ENSG00000188229","tubulin beta 1 class VI","TUBB1","Small molecule","NCT00081796"
"43",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01610284","MONDO_0007254","breast cancer","CHEMBL2017974","BUPARLISIB","PI3-kinase class I inhibitor","INHIBITOR","ENSG00000145675","phosphoinositide-3-kinase regulatory subunit 2","PIK3R2","Small molecule","NCT01610284"
"44",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00080301","MONDO_0007254","breast cancer","CHEMBL1201752","IXABEPILONE","Tubulin inhibitor","INHIBITOR","ENSG00000188229","tubulin beta 4A class IVa","TUBB4A","Small molecule","NCT00080301"
"45",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00390455","EFO_1000294","HER2 Positive Breast Carcinoma","CHEMBL1201179","LAPATINIB DITOSYLATE","Epidermal growth factor receptor erbB1 inhibitor","INHIBITOR","ENSG00000146648","epidermal growth factor receptor","EGFR","Small molecule","NCT00390455"
"46",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT03337724","MONDO_0007254","breast cancer","CHEMBL2177390","IPATASERTIB","Serine/threonine-protein kinase AKT inhibitor","INHIBITOR","ENSG00000105221","AKT serine/threonine kinase 1","AKT1","Small molecule","NCT03337724"
"47",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01645839","MONDO_0007254","breast cancer","CHEMBL803","CYTARABINE","DNA polymerase (alpha/delta/epsilon) inhibitor","INHIBITOR","ENSG00000101868","DNA polymerase alpha 2, accessory subunit","POLA2","Small molecule","NCT01645839"
"48",3,"Active, not recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT04639986","MONDO_0007254","breast cancer","CHEMBL538943","VINORELBINE TARTRATE","Tubulin inhibitor","INHIBITOR","ENSG00000188229","tubulin beta 8 class VIII","TUBB8","Small molecule","NCT04639986"
"49",3,"Active, not recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT04799249","EFO_0005537","triple-negative breast cancer","CHEMBL3894860","TRILACICLIB","Cyclin-dependent kinase 4 inhibitor","INHIBITOR","ENSG00000135446","cyclin dependent kinase 4","CDK4","Small molecule","NCT04799249"
"50",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00078572","MONDO_0007254","breast cancer","CHEMBL554","LAPATINIB","Receptor protein-tyrosine kinase erbB-2 inhibitor","INHIBITOR","ENSG00000146648","erb-b2 receptor tyrosine kinase 2","ERBB2","Small molecule","NCT00078572"
"51",3,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05760378","EFO_0005537","triple-negative breast cancer","CHEMBL1278146","FAMITINIB","Platelet-derived growth factor receptor inhibitor","INHIBITOR","ENSG00000122025","platelet derived growth factor receptor alpha","PDGFRA","Small molecule","NCT05760378"
"52",3,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05382286","MONDO_0007254","breast cancer","CHEMBL888","GEMCITABINE","DNA polymerase (alpha/delta/epsilon) inhibitor","INHIBITOR","ENSG00000167325","DNA polymerase delta 3, accessory subunit","POLD3","Small molecule","NCT05382286"
"53",3,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05501886","MONDO_0007254","breast cancer","CHEMBL592445","GEDATOLISIB","PI3-kinase class I inhibitor","INHIBITOR","ENSG00000145675","phosphoinositide-3-kinase regulatory subunit 3","PIK3R3","Small molecule","NCT05501886"
"54",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00006459","MONDO_0007254","breast cancer","CHEMBL1637","GEMCITABINE HYDROCHLORIDE","DNA polymerase (alpha/delta/epsilon) inhibitor","INHIBITOR","ENSG00000167325","DNA polymerase alpha 2, accessory subunit","POLA2","Small molecule","NCT00006459"
"55",3,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05306340","MONDO_0007254","breast cancer","CHEMBL384467","DEXAMETHASONE","Glucocorticoid receptor agonist","AGONIST","ENSG00000113580","nuclear receptor subfamily 3 group C member 1","NR3C1","Small molecule","NCT05306340"
"56",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT04874935","MONDO_0007254","breast cancer","CHEMBL480","LANSOPRAZOLE","Potassium-transporting ATPase inhibitor","INHIBITOR","ENSG00000105675","ATPase H+/K+ transporting subunit alpha","ATP4A","Small molecule","NCT04874935"
"57",3,"Active, not recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT04546009","MONDO_0007254","breast cancer","CHEMBL4650316","GIREDESTRANT","Estrogen receptor alpha degrader","DEGRADER","ENSG00000091831","estrogen receptor 1","ESR1","Small molecule","NCT04546009"
"58",3,"Active, not recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01275677","EFO_0000305","breast carcinoma","CHEMBL359744","DOXORUBICIN HYDROCHLORIDE","DNA topoisomerase II alpha inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase II alpha","TOP2A","Small molecule","NCT01275677"
"59",3,"Active, not recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT02032823","MONDO_0007254","breast cancer","CHEMBL521686","OLAPARIB","PARP 1, 2 and 3 inhibitor","INHIBITOR","ENSG00000143799","poly(ADP-ribose) polymerase 2","PARP2","Small molecule","NCT02032823"
"60",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00459771","MONDO_0007254","breast cancer","CHEMBL1014","CANDESARTAN CILEXETIL","Type-1 angiotensin II receptor antagonist","ANTAGONIST","ENSG00000144891","angiotensin II receptor type 1","AGTR1","Small molecule","NCT00459771"
"61",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00127205","MONDO_0007254","breast cancer","CHEMBL3989569","IBANDRONATE SODIUM","Farnesyl diphosphate synthase inhibitor","INHIBITOR","ENSG00000160752","farnesyl diphosphate synthase","FDPS","Small molecule","NCT00127205"
"62",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01517802","MONDO_0007254","breast cancer","CHEMBL271227","ABIRATERONE ACETATE","Cytochrome P450 17A1 inhibitor","INHIBITOR","ENSG00000148795","cytochrome P450 family 17 subfamily A member 1","CYP17A1","Small molecule","NCT01517802"
"63",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00003771","MONDO_0007254","breast cancer","CHEMBL135","ESTRADIOL","Estrogen receptor alpha agonist","AGONIST","ENSG00000091831","estrogen receptor 1","ESR1","Small molecule","NCT00003771"
"64",3,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05774951","MONDO_0007254","breast cancer","CHEMBL4650365","CAMIZESTRANT","Estrogen receptor alpha degrader","DEGRADER","ENSG00000091831","estrogen receptor 1","ESR1","Small molecule","NCT05774951"
"65",3,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05429684","MONDO_0007254","breast cancer","CHEMBL3544956","PYROTINIB","Epidermal growth factor receptor erbB1 inhibitor","INHIBITOR","ENSG00000141736","epidermal growth factor receptor","EGFR","Small molecule","NCT05429684"
"66",3,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05122494","MONDO_0007254","breast cancer","CHEMBL3545111","HEMAY-022","Receptor protein-tyrosine kinase erbB-2 inhibitor","INHIBITOR","ENSG00000141736","erb-b2 receptor tyrosine kinase 2","ERBB2","Small molecule","NCT05122494"
"67",3,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05132582","MONDO_0007254","breast cancer","CHEMBL3989868","TUCATINIB","Receptor protein-tyrosine kinase erbB-2 inhibitor","INHIBITOR","ENSG00000141736","erb-b2 receptor tyrosine kinase 2","ERBB2","Small molecule","NCT05132582"
"68",3,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05646862","MONDO_0007254","breast cancer","CHEMBL4650215","INAVOLISIB","PI3-kinase p110-alpha subunit inhibitor","INHIBITOR","ENSG00000121879","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","PIK3CA","Small molecule","NCT05646862"
"69",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00003010","MONDO_0007254","breast cancer","CHEMBL279785","MARIMASTAT","Matrix metalloproteinase-2 inhibitor","INHIBITOR","ENSG00000149968","matrix metallopeptidase 2","MMP2","Small molecule","NCT00003010"
"70",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT02032277","MONDO_0007254","breast cancer","CHEMBL506871","VELIPARIB","PARP 1, 2 and 3 inhibitor","INHIBITOR","ENSG00000143799","poly(ADP-ribose) polymerase family member 3","PARP3","Small molecule","NCT02032277"
"71",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00309491","MONDO_0007254","breast cancer","CHEMBL488","AMINOGLUTETHIMIDE","Cytochrome P450 11A1 inhibitor","INHIBITOR","ENSG00000137869","cytochrome P450 family 11 subfamily A member 1","CYP11A1","Small molecule","NCT00309491"
"72",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00002836","MONDO_0007254","breast cancer","CHEMBL44657","ETOPOSIDE","DNA topoisomerase II inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase II beta","TOP2B","Small molecule","NCT00002836"
"73",3,"Active, not recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT04869943","MONDO_0007254","breast cancer","CHEMBL1738889","ENOBOSARM","Androgen Receptor modulator","MODULATOR","ENSG00000169083","androgen receptor","AR","Small molecule","NCT04869943"
"74",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00083304","MONDO_0007254","breast cancer","CHEMBL18901","EFAPROXIRAL","Hemoglobin HbA negative modulator","NEGATIVE MODULATOR","ENSG00000206172","hemoglobin subunit beta","HBB","Small molecule","NCT00083304"
"75",3,"Active, not recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT04305496","MONDO_0007254","breast cancer","CHEMBL2325741","CAPIVASERTIB","Serine/threonine-protein kinase AKT inhibitor","INHIBITOR","ENSG00000105221","AKT serine/threonine kinase 2","AKT2","Small molecule","NCT04305496"
"76",3,"Active, not recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00301925","MONDO_0007254","breast cancer","CHEMBL34259","METHOTREXATE","Dihydrofolate reductase inhibitor","INHIBITOR","ENSG00000228716","dihydrofolate reductase","DHFR","Small molecule","NCT00301925"
"77",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00357734","MONDO_0007254","breast cancer","CHEMBL939","GEFITINIB","Epidermal growth factor receptor erbB1 inhibitor","INHIBITOR","ENSG00000146648","epidermal growth factor receptor","EGFR","Small molecule","NCT00357734"
"78",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01492101","MONDO_0007254","breast cancer","CHEMBL3039558","ETIRINOTECAN PEGOL","DNA topoisomerase I inhibitor","INHIBITOR","ENSG00000198900","DNA topoisomerase I","TOP1","Small molecule","NCT01492101"
"79",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT01480869","MONDO_0007254","breast cancer","CHEMBL1042","CHOLECALCIFEROL","Vitamin D receptor agonist","AGONIST","ENSG00000111424","vitamin D receptor","VDR","Small molecule","NCT01480869"
"80",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00878709","MONDO_0007254","breast cancer","CHEMBL180022","NERATINIB","Receptor protein-tyrosine kinase erbB-2 inhibitor","INHIBITOR","ENSG00000146648","erb-b2 receptor tyrosine kinase 2","ERBB2","Small molecule","NCT00878709"
"81",3,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT04601116","MONDO_0007254","breast cancer","CHEMBL393220","ATORVASTATIN CALCIUM","HMG-CoA reductase inhibitor","INHIBITOR","ENSG00000113161","3-hydroxy-3-methylglutaryl-CoA reductase","HMGCR","Small molecule","NCT04601116"
"82",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00003032","MONDO_0007254","breast cancer","CHEMBL58","MITOXANTRONE","DNA topoisomerase II alpha inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase II alpha","TOP2A","Small molecule","NCT00003032"
"83",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00152178","MONDO_0007254","breast cancer","CHEMBL20883","TEGAFUR","Thymidylate synthase inhibitor","INHIBITOR","ENSG00000176890","thymidylate synthetase","TYMS","Small molecule","NCT00152178"
"84",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00003893","MONDO_0007254","breast cancer","CHEMBL1417019","MITOXANTRONE HYDROCHLORIDE","DNA topoisomerase II alpha inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase II alpha","TOP2A","Small molecule","NCT00003893"
"85",3,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT04296370","MONDO_0007254","breast cancer","CHEMBL3545414","RIVOCERANIB MESYLATE","Vascular endothelial growth factor receptor 2 inhibitor","INHIBITOR","ENSG00000128052","kinase insert domain receptor","KDR","Small molecule","NCT04296370"
"86",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00002836","MONDO_0007254","breast cancer","CHEMBL513","CARMUSTINE","Glutathione reductase inhibitor","INHIBITOR","ENSG00000104687","glutathione-disulfide reductase","GSR","Small molecule","NCT00002836"
"87",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00196859","MONDO_0007254","breast cancer","CHEMBL997","IBANDRONIC ACID","Farnesyl diphosphate synthase inhibitor","INHIBITOR","ENSG00000160752","farnesyl diphosphate synthase","FDPS","Small molecule","NCT00196859"
"88",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00122356","MONDO_0007254","breast cancer","CHEMBL675","ALENDRONATE SODIUM","Farnesyl diphosphate synthase inhibitor","INHIBITOR","ENSG00000160752","farnesyl diphosphate synthase","FDPS","Small molecule","NCT00122356"
"89",3,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT02594371","MONDO_0007254","breast cancer","CHEMBL4594298","ENCEQUIDAR","P-glycoprotein 1 inhibitor","INHIBITOR","ENSG00000085563","ATP binding cassette subfamily B member 1","ABCB1","Small molecule","NCT02594371"
"90",3,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT03996265","MONDO_0007254","breast cancer","CHEMBL894","BUPROPION","Dopamine transporter inhibitor","INHIBITOR","ENSG00000142319","solute carrier family 6 member 3","SLC6A3","Small molecule","NCT03996265"
