,NCT_ID,Phase,Status,Disease Name,Drug Name,Mechanism of Action,Action Type,Target Approved Name,Target Approved Symbol,Drug Type,Breif Summary,Impact On Cacner Progression,Cancer Type
223,NCT02177175,2,Completed,breast cancer,CARVEDILOL,Adrenergic receptor alpha-1 antagonist,ANTAGONIST,adrenoceptor alpha 1D,ADRA1D,Small molecule,"The purpose of this study is to find out the effects, good and/or bad, of a beta blocker (carvedilol) on heart function during treatment with anti-HER2 medication(s) including trastuzumab (Herceptin).",no,NA
424,NCT04603911,2,Recruiting,breast cancer,CLONIDINE,Adrenergic receptor alpha-2 agonist,AGONIST,adrenoceptor alpha 2A,ADRA2A,Small molecule,"The object of our research is to investigate the relative efficacy of liposomal bupivacaine administered via an Erector Spinae Plane (ESP) block as compared to our standard of care medication solution of (bupivacaine mixed with epinephrine, dexamethasone, and clonidine) for pain management in subjects undergoing bilateral surgical intervention for breast cancer. This will be an investigator-initiated, double-blind, patient-controlled, randomized control trial comparing pain scores at 48 hours after injection.",no,NA
477,NCT05732064,4,Recruiting,breast cancer,DEXMEDETOMIDINE,Adrenergic receptor alpha-2 agonist,AGONIST,adrenoceptor alpha 2A,ADRA2A,Small molecule,"Breast cancer patients often have sleep disturbances during the perioperative period. Dexmedetomidine is a highly selective alpha 2-adrenoceptor agonist with sedative, anxiolytic, and analgesic effects. Previous studies showed that night-time low-dose dexmedetomidine infusion improved sleep quality. Esketamine is a N-methyl-D-aspartic acid receptor antagonist and has been used as an anesthetic and analgesic. Recent studies showed that low-dose esketamine has anti-depressive and sleep-promoting effects. The investigators suppose that low-dose dexmedetomidine-esketamine combined nasal administration at night can improve perioperative sleep quality in patients scheduled for breast cancer surgery.",no,NA
418,NCT04588935,2,Completed,breast cancer,BISOPROLOL,Beta-1 adrenergic receptor antagonist,ANTAGONIST,adrenoceptor beta 1,ADRB1,Small molecule,To develop a method of medical prevention of cardiovascular diseases caused by cardiotoxicity against the background of complex treatment of patients with primary resectable breast cancer to reduce the risk of cardiovascular complications,no,NA
204,NCT01847001,2,Completed,breast cancer,PROPRANOLOL,Beta-2 adrenergic receptor antagonist,ANTAGONIST,adrenoceptor beta 2,ADRB2,Small molecule,"This study is being conducted in patients with newly diagnosed breast cancer that will be undergoing chemotherapy prior to surgery - neoadjuvant chemotherapy. The study involves treatment with standard chemotherapy and a commonly used, FDA-approved, blood pressure drug called propranolol (Inderal). The purposes of this study are to:

1. Determine the effect of propranolol plus chemotherapy on breast cancer cells as well as the growth of blood vessels surrounding breast cancer cells.
2. Determine the side effect profile of propranolol and chemotherapy in patients with breast cancer receiving neoadjuvant chemotherapy.

This research is being done because previous laboratory work has shown that propranolol may decrease the ability for the blood vessels around breast cancer cells to grow, which may be important in helping cancer cells grow. It also may reduce the likelihood for breast cancer cells to spread. If changes are seen in the breast cancer cells and surrounding blood vessels in this study, we will pan to evaluate whether propranolol decreases the likelihood of breast cancer from recurring in future, later studies. All chemotherapy regimens used in this study have been the standard of care for many years; however, the use of propranolol is being researched along with the chemotherapy regimens.",yes,NA
426,NCT04603911,2,Recruiting,breast cancer,EPINEPHRINE,Adrenergic receptor agonist,AGONIST,adrenoceptor beta 3,ADRB3,Small molecule,"The object of our research is to investigate the relative efficacy of liposomal bupivacaine administered via an Erector Spinae Plane (ESP) block as compared to our standard of care medication solution of (bupivacaine mixed with epinephrine, dexamethasone, and clonidine) for pain management in subjects undergoing bilateral surgical intervention for breast cancer. This will be an investigator-initiated, double-blind, patient-controlled, randomized control trial comparing pain scores at 48 hours after injection.",no,NA
84,NCT00459771,3,Completed,breast cancer,CANDESARTAN CILEXETIL,Type-1 angiotensin II receptor antagonist,ANTAGONIST,angiotensin II receptor type 1,AGTR1,Small molecule,Evaluating the effect of the angiotensin II-receptor (AT1) blocker candesartan vs placebo in prevention of trastuzumab-associated cardiotoxicity in patients with primary breast cancer treated with trastuzumab.,no,NA
152,NCT01277757,2,Completed,breast carcinoma,MK-2206,Serine/threonine-protein kinase AKT inhibitor,INHIBITOR,AKT serine/threonine kinase 1,AKT1,Small molecule,This phase II trial studies how well Akt inhibitor MK2206 works in treating patients with breast cancer cancer that has spread to other places in the body and usually cannot be cured or controlled with treatment. Akt inhibitor MK2206 may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.,yes,NA
329,NCT03337724,3,Completed,breast cancer,IPATASERTIB,Serine/threonine-protein kinase AKT inhibitor,INHIBITOR,AKT serine/threonine kinase 1,AKT1,Small molecule,"This study will evaluate the efficacy of ipatasertib + paclitaxel versus placebo + paclitaxel in participants with histologically confirmed, locally advanced or metastatic triple-negative breast cancer (TNBC) and in participants with locally advanced or metastatic hormone receptor positive (HR+)/ human epidermal growth factor receptor 2 negative (HER2-) breast adenocarcinoma who are not suitable for endocrine therapy.",yes,TNBC/HR+/Her2-
209,NCT01964924,2,Completed,triple-negative breast cancer,UPROSERTIB,Serine/threonine-protein kinase AKT inhibitor,INHIBITOR,AKT serine/threonine kinase 2,AKT2,Small molecule,"This phase II trial studies how well trametinib and v-akt murine thymoma viral oncogene homolog 1 (Akt) inhibitor GSK2141795 work in treating patients with triple-negative breast cancer (breast cancer cells that do not have estrogen receptors, progesterone receptors, or large amounts of human epidermal growth factor receptor 2 \[HER2/neu\] protein) that has spread to other places in the body. Trametinib and Akt inhibitor GSK2141795 may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.",yes,TNBC
404,NCT04305496,3,"Active, not recruiting",breast cancer,CAPIVASERTIB,Serine/threonine-protein kinase AKT inhibitor,INHIBITOR,AKT serine/threonine kinase 2,AKT2,Small molecule,"Phase III, double-blind, randomised study assessing the efficacy of capivasertib + fulvestrant vs placebo + fulvestrant for the treatment of patients with locally advanced (inoperable) or metastatic HR+/HER2- breast cancer following recurrence or progression on or after AI therapy.",yes,HR+/Her2-
437,NCT04851613,1,"Active, not recruiting",breast cancer,AFURESERTIB,Serine/threonine-protein kinase AKT inhibitor,INHIBITOR,AKT serine/threonine kinase 2,AKT2,Small molecule,"Study LAE205INT3101 is a Phase Ib/III study to evaluate the efficacy and safety of the combination therapy with afuresertib plus fulvestrant (afuresertib/placebo plus fulvestrant in Phase III) in patients with HR+/HER2- breast cancer who have failed 1 to 2 prior lines of endocrine therapy, and/or CDK4/6 inhibitor (up to 1 therapy), and/or chemotherapy (up to 1 chemotherapy) as described in the inclusion criteria.",yes,HR+/Her2-
399,NCT04265274,2,Recruiting,breast cancer,DISULFIRAM,Aldehyde dehydrogenase inhibitor,INHIBITOR,aldehyde dehydrogenase 2 family member,ALDH2,Small molecule,"This is a proof-of-concept study to define efficacy of vinorelbine, cisplatin, disulfiram and copper in CTC_EMT positive refractory metastatic hormone receptor positive, HER2 negative breast cancer.",yes,HR+/Her2-
289,NCT02910219,2,Completed,breast cancer,CROFELEMER,Anoctamin-1 blocker,BLOCKER,anoctamin 1,ANO1,Small molecule,Chemotherapy induced diarrhea is seen in up to 40-80% of patients receiving this treatment for HER2 positive locally advanced or metastatic breast cancer. This diarrhea can significantly impact a patient's quality of life and ability to tolerate chemo/anti-HER2 therapy. This study will look at the efficacy of the drug crofelemer in preventing diarrhea in breast cancer patients.,no,NA
38,NCT00080756,2,"Active, not recruiting",Hereditary breast and ovarian cancer syndrome,TESTOSTERONE,Androgen Receptor agonist,AGONIST,androgen receptor,AR,Small molecule,"RATIONALE: Chemoprevention therapy is the use of certain drugs to try to prevent the development or recurrence of cancer. Deslorelin combined with low-dose add-back estradiol and testosterone (given to replace hormones suppressed by deslorelin) may be effective in preventing breast cancer in at-risk women.

PURPOSE: This phase II trial is studying how well giving deslorelin together with estradiol and testosterone works in preventing breast cancer in premenopausal women who are at high risk for this disease.",yes,NA
252,NCT02580448,1,Completed,male breast carcinoma,SEVITERONEL,Androgen Receptor antagonist,ANTAGONIST,androgen receptor,AR,Small molecule,"The goal of this clinical study is to determine the safety, pharmacokinetics, pharmacodynamics and efficacy and activity of seviteronel, a lyase-selective inhibitor of CYP17, in patients with advanced breast cancer.",yes,NA
263,NCT02689427,2,Recruiting,triple-negative breast cancer,ENZALUTAMIDE,Androgen Receptor antagonist,ANTAGONIST,androgen receptor,AR,Small molecule,"This phase IIB trial studies how well enzalutamide and paclitaxel before surgery works in treating patients with stage I-III androgen receptor-positive triple-negative breast cancer. Androgens can cause the growth of triple-negative breast cancer. Anti-hormone therapy, such as enzalutamide, prevent androgen from binding to the androgen receptor, thereby decreasing cell growth and causing tumor cell death. Drugs used in chemotherapy, such as paclitaxel, work in different ways to stop the growth of tumor cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving enzalutamide and paclitaxel before surgery may make the tumor smaller and reduce the amount of normal tissue that needs to be removed. This treatment study is part of the MD Anderson Moonshot initiative.",yes,AR+/TNBC
351,NCT03383679,2,Completed,breast cancer,DAROLUTAMIDE,Androgen Receptor antagonist,ANTAGONIST,androgen receptor,AR,Small molecule,"This is a multicenter uncontrolled, open-label, prospective, non-comparative randomized, phase II study. Patients will be randomized between darolutamide in Arm n°1 (two-stage Simon's design) and capecitabine in Arm n°2 with two patients randomized in Arm n°1 for one patient randomized in Arm n°2.

The trial population is composed of women over 18 years old with triple-negative and androgen receptor positive, locally recurrent (unresectable) or metastatic breast cancer.",yes,AR+/TNBC
362,NCT03650894,2,"Active, not recruiting",breast carcinoma,BICALUTAMIDE,Androgen Receptor antagonist,ANTAGONIST,androgen receptor,AR,Small molecule,"The goal of this protocol is to evaluate the safety and efficacy of an alternative systemic combination approach that omits or delays the use of chemotherapy in metastatic disease, while improving efficacy and durability of response. The approach combines two potentially effective and previously studied strategies: androgen receptor blockade and immune checkpoint therapy.",yes,AR+
388,NCT04103853,1,Completed,breast cancer,GT-0918,Androgen Receptor antagonist,ANTAGONIST,androgen receptor,AR,Small molecule,"This study is a multi-center, open-label, dose-esclation I/Ib clinical study to explore safety, efficacy an pharmacokinetics of proxalutamide in patients with metastatic breast cancer.

This study includes two stages, stage I: single- and multiple-dose tolerance and pharmacokinetic study; stage 2: preliminary efficacy and safety study.",yes,NA
406,NCT04355858,2,Recruiting,breast cancer,SHR3680,Androgen Receptor antagonist,ANTAGONIST,androgen receptor,AR,Small molecule,"This study is a prospective, single-center, open-label, umbrella-shaped phase II clinical study for patients with HR+/HER2- endocrine-resistant advanced breast cancer.",yes,HR+/Her2-
442,NCT04869943,3,"Active, not recruiting",breast cancer,ENOBOSARM,Androgen Receptor modulator,MODULATOR,androgen receptor,AR,Small molecule,To demonstrate the efficacy of enobosarmin the treatment of androgen receptor positive (AR+) and estrogen receptor positive (ER+) metastatic breast cancer (MBC) as measured by radiographic progression free survival (rPFS).,yes,AR+/ER+
201,NCT01763931,2,Completed,breast cancer,DIGOXIN,Sodium/potassium-transporting ATPase inhibitor,INHIBITOR,ATPase Na+/K+ transporting subunit alpha 4,ATP1A4,Small molecule,The purpose of this study is to learn what effects digoxin (DIG) may have on human breast cancer tissue.,yes,NA
254,NCT02595372,2,Completed,breast carcinoma,OMEPRAZOLE,Potassium-transporting ATPase inhibitor,INHIBITOR,ATPase H+/K+ transporting subunit alpha,ATP4A,Small molecule,"In preliminary laboratory science studies, the investigators show that proton pump inhibitors (PPIs) effectively inhibit human fatty acid synthase (FASN) and breast cancer cell survival. A preliminary retrospective study shows that PPI usage in breast cancer patients during chemotherapy significantly improved overall survival. The impact was most striking in patients with triple negative breast cancer (TNBC). Thus, PPIs may be repositioned as safe and effective breast cancer drugs to enhance the effect of chemotherapy.

Many of the hurdles that slow progress from target, to lead compound, to investigational agent, to standard therapy are not barriers for the PPIs. The PPIs are FDA-approved, chronically used, and well tolerated so the investigators can move quickly from the laboratory to a proof of concept clinical trial. Incorporating the PPIs into standard care will require more than the investigators propose here, but the investigators have already plotted the additional steps needed to truly impact patient care. If successful, the data gathered in this proposal will lend support to and guide development of a definitive randomized trial.",yes,TNBC
443,NCT04874935,3,Completed,breast cancer,LANSOPRAZOLE,Potassium-transporting ATPase inhibitor,INHIBITOR,ATPase H+/K+ transporting subunit alpha,ATP4A,Small molecule,Investigation of the possible efficacy and safety of lansoprazole co-administration with neoadjuvant chemotherapy in tumor response in women with breast cancer who will be planned for surgery.,yes,NA
328,NCT03330847,2,"Active, not recruiting",breast cancer,CERALASERTIB,Serine-protein kinase ATR inhibitor,INHIBITOR,ATR serine/threonine kinase,ATR,Small molecule,"This study is to assess the efficacy and safety of olaparib monotherapy versus olaparib in combination with an inhibitor of ATR (Ataxia-Telangiectasia Mutated (ATM) and Rad3-related protein kinase (Ceralasertib \[AZD6738\]) and olaparib monotherapy versus olaparib in combination with an inhibitor of WEE1 (adavosertib \[AZD1775\]) in second or third line setting in patients with Triple-negative breast cancer (TNBC) prospectively stratified by presence/absence of qualifying tumour mutation in genes involved in the homologous recombination repair (HRR) pathway. Treatment arms are olaparib monotherapy, olaparib+ Ceralasertib and olaparib+adavosertib. The study subject population will be divided into Stratum A, Stratum B, and Stratum C. Due to the different schedules of administration of each of the treatment options as well as their different toxicity profiles, the study is not blinded. Study has two stage consent process- stage 1 consent (molecular screening for HRR defects) and stage 2 consent (main study). Patients with TNBC and with known qualifying BRCAm, non BRCAm HRRm and non HRRm status will be offered the option of consenting to the main part of the study within the 28-day screening period. Following the ISRC meeting on 17 April 2019 a recommendation was made to close the adavosertib+olaparib treatment arm across all biomarker strata. Patients receiving treatment with adavosertib+olaparib treatment were offered the opportunity to continue treatment on olaparib monotherapy at the approved dose (300 mg bd). Following the closure of this arm the total number of patients randomised will be lower (approximately 350 patients). Approximately 300 patients will be randomised (using randomisation ratio 1:1) to 2 ongoing treatment arms plus an additional 47 patients to a 3rd arm (olaparib+adavosertib) prior to the arm being discontinued.",yes,TNBC
385,NCT04052555,1,Recruiting,triple-negative breast cancer,BERZOSERTIB,Serine-protein kinase ATR inhibitor,INHIBITOR,ATR serine/threonine kinase,ATR,Small molecule,"This phase Ib trial studies the best dose of berzosertib when given together with the usual treatment (radiation therapy) in treating patients with triple negative or estrogen receptor and/or progesterone receptor positive, HER-2 negative breast cancer. Berzosertib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Radiation therapy uses high energy rays to kill tumor cells and shrink tumors. Giving M6620 and radiation therapy may kill tumor cells more effectively than radiation alone or shrink or stabilize breast cancer for longer than radiation therapy alone.",yes,TNBC/ER+/PR+/Her2-
190,NCT01639248,2,Completed,breast cancer,ENMD-2076,Serine/threonine-protein kinase Aurora-A inhibitor,INHIBITOR,aurora kinase A,AURKA,Small molecule,The purpose of this study is to determine the activity of ENMD-2076 as defined by the clinical benefit rate when patients with previously treated locally advanced or metastatic triple negative breast cancer are treated with daily oral ENMD-2076.,yes,TNBC
286,NCT02860000,2,"Active, not recruiting",breast carcinoma,ALISERTIB,Serine/threonine-protein kinase Aurora-A inhibitor,INHIBITOR,aurora kinase A,AURKA,Small molecule,This phase II trial studies how well alisertib with or without fulvestrant works in treating patients with endocrine-resistant breast cancer that has spread to other places in the body. Alisertib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Hormone therapy using fulvestrant may fight breast cancer by blocking the use of estrogen by the tumor cells or reducing the amount of estrogen made by the body. Giving alisertib with or without fulvestrant may be better in treating patients with breast cancer.,yes,NA
392,NCT04205903,1,Recruiting,breast cancer,NILOTINIB,Bcr/Abl fusion protein,INHIBITOR,BCR activator of RhoGEF and GTPase,BCR,Small molecule,"This phase Ib/II trial studies the side effects and best dose of nilotinib in preventing paclitaxel-induced peripheral neuropathy in stage I-III breast cancer patients who are receiving paclitaxel therapy. Chemotherapy is the usual or ?standard? treatment for breast cancer. It kills cancer cells and lowers the chance that the cancer will come back. Sometimes, this treatment can cause numbness and tingling, especially in the hands and feet. This is called chemotherapy-induced peripheral neuropathy. This study aims to test the safety and effectiveness, both good and bad, of taking nilotinib in preventing chemotherapy-induced peripheral neuropathy.",yes,NA
225,NCT02259114,1,Completed,breast cancer,BIRABRESIB,Bromodomain and extra-terminal motif (BET) inhibitor,INHIBITOR,bromodomain containing 4,BRD4,Small molecule,"Open-label, phase I, non-randomized, multicentric study of single-agent birabresib (MK-8628) (formerly known as OTX015) administered according to two distinct regimens to participants with selected advanced tumors.

The study will be performed in two parts.

Dose Escalation Part:

This step is designed to determine the maximum tolerated dose (MTD) in each of the two regimens, which will be evaluated in parallel. Participants will receive oral birabresib according to:

Continuous Dosing Regimen: continuous, once daily for 21 consecutive days (21-day cycles).

OR Days 1-7 Dosing Regimen: once daily on Days 1 to 7, repeated every 3 weeks (21-day cycles; 1 week ON/2 weeks OFF).

Participants will be sequentially assigned to Continuous Dosing Regimen or Days 1-7 Dosing Regimen according to the next available place and receive birabresib at escalating doses levels (DL). Cohorts of 3 participants will be treated, and an additional 3 participants will be treated at the first indication of dose-limiting toxicity (DLT). MTD assessment will be based on the tolerability observed during the first 21 days of treatment.

Expansion Part:

The efficacy of birabresib in each of the five indications (i.e., Bromodomain-Nuclear Protein in Testis \[BRD-NUT\] midline carcinoma, triple negative breast cancer \[TNBC\], non-small cell lung cancer \[NSCLC\] harboring a rearrangement Anaplastic Lymphoma Kinase \[ALK\] gene/fusion protein or Kirsten Ras \[KRAS\] mutation, castrate-resistant prostate cancer, and pancreatic ductal carcinoma) will be assessed in terms of response (Response Evaluation Criteria in Solid Tumors v1.1 \[RECIST v1.1\] or Prostate Cancer Clinical Trials Working Group 2 \[PCWG2\]) using a selected regimen.",yes,TNBC
350,NCT03379428,1,"Active, not recruiting",breast cancer,IBRUTINIB,Tyrosine-protein kinase BTK inhibitor,INHIBITOR,Bruton tyrosine kinase,BTK,Small molecule,"This is a Phase I/II, open-label dose-escalation study designed to evaluate the maximum tolerated dose (MTD) and dose-limiting side effects of ibrutinib (560 or 840 or 420 mg daily oral dose), given in combination with trastuzumab administered through the vein, in patients with HER2-amplified Metastatic Breast Cancer that has gotten worse after prior therapy with ado-trastuzumab emtansine (T-DM1).",yes,Her2-
274,NCT02834403,1,Completed,breast cancer,AMLODIPINE,Voltage-gated L-type calcium channel blocker,BLOCKER,calcium voltage-gated channel subunit alpha1 D,CACNA1D,Small molecule,"This is a Phase Ib/II study assessing the maximum tolerated dose (MTD), dose-limiting toxicities (DLTs), recommended Phase 2 dose (RP2D), and efficacy of L-NMMA when combined with docetaxel in refractory locally advanced or metastatic triple negative breast cancer patients. The Phase Ib portion of the study is designed to investigate the combination at two dose levels of docetaxel (75 and 100 mg/m2) and 7 dose levels of L-NMMA (5, 7.5, 10, 12.5, 15, 17.5, and 20 mg/kg). The starting dose of L-NMMA will be 7.5 mg/kg. In the Phase II portion of the study, the starting dose will be the RP2D determined in the Phase Ib portion of the study.",yes,TNBC
309,NCT03084536,2,Completed,breast cancer,GABAPENTIN,Voltage-gated calcium channel modulator,MODULATOR,calcium voltage-gated channel auxiliary subunit alpha2delta 1,CACNA2D1,Small molecule,"In this double blinded randomized placebo-controlled trial, 160 subjects scheduled for breast surgery involving the axilla will be administered a multimodal pain regimen including acetaminophen, dexamethasone, celecoxib, and gabapentin. 80 subjects will also receive a Pectoral Nerve blocks I and II (PECS I and II block) preoperatively.",no,NA
367,NCT03794388,3,"Active, not recruiting",breast cancer,PREGABALIN,Voltage-gated calcium channel modulator,MODULATOR,calcium voltage-gated channel auxiliary subunit alpha2delta 1,CACNA2D1,Small molecule,"Breast cancer is the most common cancer in women in Europe. Therefore, breast cancer has become a chronic disease and patients need to learn to live with it as well as with the adverse effects related to the disease itself or to the therapies used.

As noted in the third ""Plan cancer"", pain is a major criterion in the quality of life of patients treated for breast cancer.

Neuropathic pain was defined in 2011 by the international Association for the Study of Pain (I.A.S.P.) as the direct result of a lesion or disease affecting the somato-sensory system.

Surgical treatment is often the first treatment of breast cancer. It can be conservative by performing a partial mastectomy (lumpectomy or quadrantectomy) or non-preservative by total mastectomy.

Intercostobrachial neuralgia (NICB) or Post mastectomy painful Syndrome (MPRR) was first described by Wood in 1978 as ""chronic pain beginning immediately or early after a mastectomy"" Or a lumpectomy affecting the anterior thorax, armpit and/or arm in its upper half. These post-surgical pains are related to a lesion of the nerves in the breast area.

In particular, the intercostobrachial nerve can be severed, stretched or crushed during surgery.

Post-operative neuropathic pain in patients with breast cancer is underdiagnosed either by general practitioner or in a specialized environment.

The diagnosis of neuropathic pain is performed during examination and clinical examination. Several scales allow to detect neuropathic pain but only the DN4 is recognized to be the most specific and sensitive scale.

Patients do not always express this pain. They do not always reconcile with the surgery. Either because the pain occurs a long time after the surgery, or they find it normal to get hurt. These diagnostic difficulties cause a delay in setting up a suitable analgesic treatment.

However, neuropathic pain responds poorly to common analgesics. Diagnosis, evaluation and early management of neuropathic pain are a priority in order to avoid their chronicization, to improve the quality of life of patients with breast cancer and to enable them to return to work quickly.

We therefore assume that the diagnosis of early neuropathic pain at 2 months of surgery associated with initiation of appropriate topical treatment without the systemic effects of conventional oral treatments, would reduce the incidence of Chronic neuropathic pain 6 months after surgery.",no,NA
