"","NCT_ID","Phase","Status","Disease.Name","Drug.Name","Mechanism.of.Action","Action.Type","Target.ID","Target.Approved.Name","Target.Approved.Symbol","Drug.Type","trial_summary","anti_cancer"
"35","NCT00006007",2,"Completed","breast cancer","PEMETREXED","GAR transformylase inhibitor","INHIBITOR","ENSG00000228716","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase","GART","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combining LY231514 plus gemcitabine in treating women who have metastatic breast cancer.","yes"
"37","NCT00006007",2,"Completed","breast cancer","PEMETREXED DISODIUM","Dihydrofolate reductase inhibitor","INHIBITOR","ENSG00000159131","dihydrofolate reductase","DHFR","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combining LY231514 plus gemcitabine in treating women who have metastatic breast cancer.","yes"
"39","NCT00006032",2,"Terminated","breast cancer","TOPOTECAN","DNA topoisomerase I, mitochondrial inhibitor","INHIBITOR","ENSG00000184428","DNA topoisomerase I mitochondrial","TOP1MT","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy followed by autologous peripheral stem cell transplantation in treating women who have metastatic breast cancer.","yes"
"43","NCT00006261",2,"Withdrawn","breast cancer","FLUDARABINE PHOSPHATE","DNA polymerase (alpha/delta/epsilon) inhibitor","INHIBITOR","ENSG00000101868","DNA polymerase epsilon 3, accessory subunit","POLE3","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Peripheral stem cell transplantation may be able to replace immune cells that were destroyed by chemotherapy. Donor lymphocytes may attack and destroy cancer cells.

PURPOSE: This phase II trial is studying the effectiveness of combination chemotherapy, peripheral stem cell transplantation, and donor lymphocyte infusion in treating women with stage IV breast cancer.","yes"
"55","NCT00025584",2,"Completed","breast cancer","BORTEZOMIB","26S proteosome inhibitor","INHIBITOR","ENSG00000173692","proteasome 20S subunit beta 5","PSMB5","Small molecule","PS-341 may stop the growth of tumor cells by blocking the enzymes necessary for cancer cell growth. Phase II trial to study the effectiveness of PS-341 in treating women who have metastatic breast cancer","yes"
"56","NCT00030537",2,"Completed","breast cancer","ERLOTINIB","Epidermal growth factor receptor erbB1 inhibitor","INHIBITOR","ENSG00000146648","epidermal growth factor receptor","EGFR","Small molecule","RATIONALE: Biological therapies such as erlotinib may interfere with the growth of tumor cells and slow the growth of the tumor.

PURPOSE: Phase II trial to study the effectiveness of erlotinib in treating patients who have locally advanced or metastatic breast cancer.","yes"
"57","NCT00033384",2,"Completed","breast cancer","CI-1040","Dual specificity mitogen-activated protein kinase kinase 2 inhibitor","INHIBITOR","ENSG00000126934","mitogen-activated protein kinase kinase 2","MAP2K2","Small molecule","RATIONALE: CI-1040 may stop the growth of tumors by blocking the enzymes necessary for cancer cell growth and by stopping blood flow to the tumor.

PURPOSE: Phase II trial to study the effectiveness of CI-1040 in treating patients who have metastatic or unresectable breast, colon, pancreatic, or non-small cell lung cancer.","yes"
"58","NCT00036621",2,"Terminated","breast cancer","REBIMASTAT","Matrix metalloproteinase 13 inhibitor","INHIBITOR","ENSG00000137745","matrix metallopeptidase 13","MMP13","Small molecule","This clinical trial will assess whether BMS-275291 can be administered safely in combination with standard adjuvant therapy for early breast cancer and whether plasma concentrations at trough exceed a target minimum.","yes"
"59","NCT00039455",1,"Terminated","male breast carcinoma","ALVOCIDIB","Cyclin-dependent kinase 2 inhibitor","INHIBITOR","ENSG00000170312","cyclin dependent kinase 2","CDK2","Small molecule","Monoclonal antibodies such as trastuzumab can locate tumor cells and either kill them or deliver tumor-killing substances to them without harming normal cells. Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining trastuzumab with flavopiridol may kill more tumor cells. Phase I trial to study the effectiveness of combining trastuzumab with flavopiridol in treating patients who have metastatic breast cancer","yes"
"62","NCT00049114",2,"Completed","breast cancer","TIPIFARNIB","Protein farnesyltransferase inhibitor","INHIBITOR","ENSG00000168522","farnesyltransferase, CAAX box, subunit alpha","FNTA","Small molecule","Drugs used in chemotherapy, such as doxorubicin and cyclophosphamide, work in different ways to stop tumor cells from dividing so they stop growing or die. Tipifarnib may stop the growth of tumor cells by blocking the enzymes necessary for their growth. Combining tipifarnib with doxorubicin and cyclophosphamide may kill more tumor cells. Phase II trial to study the effectiveness of combining tipifarnib with doxorubicin and cyclophosphamide in treating women who have locally advanced breast cancer.","yes"
"64","NCT00053911",3,"Terminated","breast cancer","FLUOROURACIL","Thymidylate synthase inhibitor","INHIBITOR","ENSG00000176890","thymidylate synthetase","TYMS","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug, and giving them after surgery, may kill any remaining tumor cells following surgery. It is not yet known whether combination chemotherapy is more effective than observation in treating relapsed nonmetastatic breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of combination chemotherapy with that of observation in treating women who have undergone surgery for relapsed nonmetastatic breast cancer.","yes"
"65","NCT00055926",1,"Completed","breast cancer","CP-724714","Receptor protein-tyrosine kinase erbB-2 inhibitor","INHIBITOR","ENSG00000141736","erb-b2 receptor tyrosine kinase 2","ERBB2","Small molecule","RATIONALE: CP-724,714 may stop the growth of tumor cells by blocking the enzymes necessary for tumor cell growth.

PURPOSE: Phase I trial to study the effectiveness of CP-724,714 in treating patients who have metastatic HER2-overexpressing breast cancer.","yes"
"66","NCT00063102",2,"Completed","breast cancer","ABT-751","Tubulin beta inhibitor","INHIBITOR","ENSG00000188229","tubulin beta 8B","TUBB8B","Small molecule","The purpose of the study is to determine if ABT-751 will decrease tumors, and determine how long the tumor shrinkage can be maintained in patients with breast cancer after having had taxol or taxotere. Patients will receive ABT-751 by mouth daily for 21 days. Patients will be off drug for 7 days before starting the next cycle of drug.","yes"
"70","NCT00075413",2,"Withdrawn","breast cancer","ARSENIC TRIOXIDE","Thioredoxin reductase 1 inhibitor","INHIBITOR","ENSG00000198431","thioredoxin reductase 1","TXNRD1","Small molecule","RATIONALE: Drugs used in chemotherapy, such as arsenic trioxide, use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: This phase II trial is studying how well arsenic trioxide works in treating women with locally advanced or metastatic breast cancer.","yes"
"71","NCT00080756",2,"Active, not recruiting","Hereditary breast and ovarian cancer syndrome","TESTOSTERONE","Androgen Receptor agonist","AGONIST","ENSG00000169083","androgen receptor","AR","Small molecule","RATIONALE: Chemoprevention therapy is the use of certain drugs to try to prevent the development or recurrence of cancer. Deslorelin combined with low-dose add-back estradiol and testosterone (given to replace hormones suppressed by deslorelin) may be effective in preventing breast cancer in at-risk women.

PURPOSE: This phase II trial is studying how well giving deslorelin together with estradiol and testosterone works in preventing breast cancer in premenopausal women who are at high risk for this disease.","yes"
"72","NCT00081796",3,"Completed","breast cancer","LAROTAXEL","Tubulin stabiliser","STABILISER","ENSG00000188229","tubulin beta 1 class VI","TUBB1","Small molecule","The purpose of this clinical trial is to determine if RPR109881 is a better treatment than capecitabine (Xeloda) for advanced breast cancer in patients that no longer benefit from docetaxel and/or paclitaxel.","yes"
"77","NCT00083304",3,"Completed","breast cancer","EFAPROXIRAL","Hemoglobin HbA negative modulator","NEGATIVE MODULATOR","ENSG00000206172","hemoglobin subunit beta","HBB","Small molecule","RSR13 (efaproxiral) is a radiation sensitizer that has shown positive results in a Phase 3, randomized clinical trial of patients with brain metastases. Of 111 eligible breast cancer patients with brain metastases in that trial, 59 patients who received RSR13 prior to radiation therapy had a median survival time that was twice as long as the 52 patients who did not receive RSR13 prior to radiation therapy.

RSR13 (efaproxiral) is an experimental drug that increases the amount of oxygen released from blood into the tissues. It is well known that certain types of cancer tumors, including those in brain metastases, lack oxygen. Lack of oxygen in a tumor can reduce the effect of radiation therapy (RT). RSR13 may increase the oxygen level in brain tumors so that radiation therapy works better.

This study will enroll up to 360 women with brain metastases from breast cancer, and will evaluate if whole brain radiation therapy given with RSR13 will have a better treatment effect than whole brain radiation therapy alone. RSR13 will be infused intravenously (IV) through a central catheter placed in a central vein. Women randomized (assigned) to receive RSR13, therefore, will need to have a central catheter placed for treatment unless one is already in place.","yes"
"78","NCT00095888",2,"Terminated","breast cancer","TRIAPINE","Ribonucleotide reductase inhibitor","INHIBITOR","ENSG00000167325","ribonucleotide reductase catalytic subunit M1","RRM1","Small molecule","Phase II trial to study the effectiveness of combining 3-AP with gemcitabine in treating patients who have refractory metastatic breast cancer. Drugs used in chemotherapy, such as 3-AP and gemcitabine, work in different ways to stop tumor cells from dividing so they stop growing or die. Combining 3-AP with gemcitabine may kill more tumor cells","yes"
"79","NCT00096109",2,"Terminated","breast cancer","TANESPIMYCIN","Heat shock protein HSP90 inhibitor","INHIBITOR","ENSG00000080824","heat shock protein 90 alpha family class B member 1","HSP90AB1","Small molecule","This phase II trial is studying how well tanespimycin works in treating women with refractory locally advanced or metastatic breast cancer. Drugs used in chemotherapy, such as tanespimycin, work in different ways to stop tumor cells from dividing so they stop growing or die","yes"
"80","NCT00096434",2,"Completed","male breast carcinoma","SORAFENIB TOSYLATE","Vascular endothelial growth factor receptor inhibitor","INHIBITOR","ENSG00000122025","fms related receptor tyrosine kinase 1","FLT1","Small molecule","This phase II trial is studying how well sorafenib works in treating patients with metastatic breast cancer. Sorafenib may stop the growth of tumor cells by blocking the enzymes necessary for their growth and by stopping blood flow to the tumor.","yes"
"88","NCT00166543",2,"Completed","breast cancer","SR16234","Estrogen receptor alpha antagonist","ANTAGONIST","ENSG00000091831","estrogen receptor 1","ESR1","Small molecule","This study is being done to find out how safe TAS-108 is and how well TAS-108 works on recurrent or recurrent inoperable breast cancer.","yes"
"100","NCT00262834",2,"Completed","breast cancer","VORINOSTAT","Histone deacetylase 6 inhibitor","INHIBITOR","ENSG00000171720","histone deacetylase 6","HDAC6","Small molecule","This phase II trial is studying how well vorinostat works in treating women who are undergoing surgery for newly diagnosed stage I, stage II, or stage III breast cancer. Vorinostat may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving vorinostat before surgery may shrink the tumor so that it can be removed.","yes"
"101","NCT00285857",2,"Terminated","breast cancer","LOVASTATIN","HMG-CoA reductase inhibitor","INHIBITOR","ENSG00000113161","3-hydroxy-3-methylglutaryl-CoA reductase","HMGCR","Small molecule","The study evaluates if a 6-month course of oral lovastatin at 80 mg/day would decrease abnormal breast duct cytology in women with a high inherited breast cancer risk.","yes"
"102","NCT00288249",2,"Completed","breast cancer","SAGOPILONE","Tubulin stabiliser","STABILISER","ENSG00000188229","tubulin beta 8 class VIII","TUBB8","Small molecule","The purpose of this study is to determine whether the study drug is effective and safe in the treatment of patients with metastatic breast cancer","yes"
"104","NCT00305643",3,"Terminated","breast cancer","CELECOXIB","Cyclooxygenase-2 inhibitor","INHIBITOR","ENSG00000073756","prostaglandin-endoperoxide synthase 2","PTGS2","Small molecule","RATIONALE: Radiation therapy uses high energy x-rays to kill tumor cells. Drugs used in chemotherapy, such as capecitabine, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving radiation therapy together with capecitabine may kill more tumor cells. Celecoxib may prevent or lessen hand-foot syndrome caused by capecitabine.

PURPOSE: This randomized phase III trial is studying how well celecoxib works in preventing hand/foot syndrome caused by capecitabine in patients with metastatic breast or colorectal cancer.","yes"
"105","NCT00306631",2,"Completed","breast cancer","ENMD-981693","Fibroblast growth factor receptor inhibitor","INHIBITOR","ENSG00000087586","fibroblast growth factor receptor 3","FGFR3","Small molecule","This phase 2 study will determine the antitumor activity, based on the objective rate, of oral MKC-1, administered twice daily for 14 consecutive days every 4 weeks, in patients with advanced or metastatic breast carcinoma. The study will also evaluate the safety and response duration in patients, time to tumor progression, and overall survival in patients following MKC-1 therapy.","yes"
"106","NCT00309491",3,"Completed","breast cancer","AMINOGLUTETHIMIDE","Cytochrome P450 11A1 inhibitor","INHIBITOR","ENSG00000140459","cytochrome P450 family 11 subfamily A member 1","CYP11A1","Small molecule","Primarily, this clinical investigation compared the efficacy of tamoxifen + aminoglutethimide vs. tamoxifen alone in terms of prognosis (overall survival) in postmenopausal patients with potentially curative, operated hormone receptor-positive breast cancer.","yes"
"109","NCT00338728",2,"Completed","breast cancer","IMATINIB MESYLATE","Tyrosine-protein kinase ABL inhibitor","INHIBITOR","ENSG00000097007","ABL proto-oncogene 1, non-receptor tyrosine kinase","ABL1","Small molecule","This phase II trial studies the side effects and how well letrozole and imatinib mesylate work in treating postmenopausal participants with estrogen or progesterone positive breast cancer that has spread to other places in the body. Letrozole is an antihormonal drug used in the standard treatment of hormonal sensitive breast cancer. Imatinib mesylate is a drug that binds to certain proteins on the tumor cells and prevents them from further growth. Imatinib mesylate is thought to prevent the potential resistance to letrozole, which may make the letrozole more effective. Giving letrozole and imatinib mesylate may work better in treating participants with breast cancer.","yes"
"111","NCT00356681",2,"Terminated","breast cancer","MOTESANIB","Tyrosine-protein kinase receptor RET inhibitor","INHIBITOR","ENSG00000113721","ret proto-oncogene","RET","Small molecule","To determine if treatment with paclitaxel plus AMG 706 is superior to paclitaxel plus AMG 706 placebo in subjects with HER2 negative locally recurrent or metastatic breast cancer. Also to estimate differences between treatment with paclitaxel plus AMG 706 and paclitaxel plus bevacizumab.","yes"
"114","NCT00372476",4,"Completed","breast cancer","IMATINIB","Stem cell growth factor receptor inhibitor","INHIBITOR","ENSG00000097007","KIT proto-oncogene, receptor tyrosine kinase","KIT","Small molecule","This study is designed to investigate the safety and efficacy of the combination of imatinib and vinorelbine in patients with advanced, anthracycline resistant breast cancer","yes"
"115","NCT00376688",2,"Completed","breast carcinoma","TEMSIROLIMUS","FK506-binding protein 1A inhibitor","INHIBITOR","ENSG00000088832","FKBP prolyl isomerase 1A","FKBP1A","Small molecule","This phase II trial studies how well temsirolimus works in treating patients with breast cancer that has spread to other places in the body. Temsirolimus may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.","yes"
"116","NCT00379197",2,"Terminated","breast cancer","NALTREXONE","Opioid receptors; mu/kappa/delta antagonist","ANTAGONIST","ENSG00000082556","opioid receptor mu 1","OPRM1","Small molecule","RATIONALE: Estrogen can cause the growth of breast cancer cells. Naltrexone may fight breast cancer by blocking the use of estrogen by the tumor cells. Naltrexone may also stop the growth of breast cancer by impairing blood flow to the tumor.

PURPOSE: This phase II trial is studying how well naltrexone works in treating women with metastatic breast cancer that is no longer responsive to previous hormone therapy.","yes"
"123","NCT00450866",2,"Completed","breast cancer","PATUPILONE","Tubulin stabiliser","STABILISER","ENSG00000188229","tubulin beta 3 class III","TUBB3","Small molecule","RATIONALE: Drugs used in chemotherapy, such as epothilone B, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing.

PURPOSE: This phase II trial is studying how well epothilone B works in treating patients with CNS metastases from breast cancer.","yes"
"124","NCT00451555",2,"Completed","breast cancer","ENZASTAURIN","Protein kinase C beta inhibitor","INHIBITOR","ENSG00000166501","protein kinase C beta","PRKCB","Small molecule","The primary purpose of this study is to help answer the following research question: whether enzastaurin given together with fulvestrant can help participants who have breast cancer and make the tumor smaller or disappear and for how long.","yes"
"126","NCT00459771",3,"Completed","breast cancer","CANDESARTAN CILEXETIL","Type-1 angiotensin II receptor antagonist","ANTAGONIST","ENSG00000144891","angiotensin II receptor type 1","AGTR1","Small molecule","Evaluating the effect of the angiotensin II-receptor (AT1) blocker candesartan vs placebo in prevention of trastuzumab-associated cardiotoxicity in patients with primary breast cancer treated with trastuzumab.","yes"
"130","NCT00508586",1,"Completed","breast cancer","EMVODODSTAT","Dihydroorotate dehydrogenase inhibitor","INHIBITOR","ENSG00000102967","dihydroorotate dehydrogenase (quinone)","DHODH","Small molecule","Formation of new blood vessels (angiogenesis) is important for tumor growth in metastatic breast cancer. It is known that tumors make a protein called vascular endothelial growth factor (VEGF) and there are higher levels of VEGF in the tumors and blood of many women with metastatic breast cancer. VEGF stimulates the formation of blood vessels that supply the tumor with nutrients and oxygen. PTC299 is an oral drug that has been shown to decrease production of VEGF in animal models of human cancer. In these animal models, oral PTC299 administration decreases VEGF levels in the tumor and in the bloodstream, decreases blood vessel numbers in the tumor, and significantly slows or halts tumor growth. Safety studies in research animals indicate good tolerability at doses and drug levels that are higher than those planned for the clinical studies. Results from Phase 1a studies in healthy volunteers indicate that PTC299 achieves levels of PTC299 in the bloodstream that are known to be active in animal models of human cancer. This Phase 1b study is designed to test the hypothesis that PTC299 will be tolerable and will show evidence of VEGF reduction and antitumor activity when administered orally in combination with anastrozole (Arimidex®), letrozole (Femara®), or exemestane (Aromasin®) to women with metastatic breast cancer.","yes"
"132","NCT00513695",2,"Completed","male breast carcinoma","SUNITINIB MALATE","Macrophage colony stimulating factor receptor inhibitor","INHIBITOR","ENSG00000113721","colony stimulating factor 1 receptor","CSF1R","Small molecule","This phase II trial studies how well giving sunitinib malate together with paclitaxel, doxorubicin hydrochloride, and cyclophosphamide before surgery works in treating patients with stage IIB-IIIC breast cancer. Sunitinib malate may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth or by blocking blood flow to the tumor. Drugs used in chemotherapy, such as paclitaxel, doxorubicin hydrochloride, and cyclophosphamide, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving sunitinib malate together with combination chemotherapy before surgery may make the tumor smaller and reduce the amount of normal tissue that needs to be removed","yes"
"141","NCT00555919",2,"Completed","breast cancer","LONAPRISAN","Progesterone receptor antagonist","ANTAGONIST","ENSG00000082175","progesterone receptor","PGR","Small molecule","Randomized phase II study to investigate the efficacy, safety and tolerability of ZK 230211 (100 mg vs. 25 mg) as second-line endocrine therapy for postmenopausal women with hormone receptor-positive metastatic breast cancer.Once the cancer has spread beyond the lymph nodes to areas such as e.g. the skin, soft tissues, lung, and liver it is called metastatic breast cancer. Patients who have been diagnosed with metastatic breast cancer that has progressed since their previous cancer treatment and that cannot be removed completely by surgery are eligible to be treated within this trial.Treatment with a new drug called Progesterone Receptor Antagonist ZK 230211 (ZK PRA) targets the progesterone receptor which may be expressed on breast cancer tumour cells. Therefore only patients with this progesterone receptor on their tumour cells can be included in this study.Progesterone receptor antagonists (including onapristone) have already shown efficacy in postmenopausal women with advanced breast cancer (Klijn et al. 2000). This phase II study investigates the efficacy (proof of concept), safety and tolerability of ZK PRA at two dose levels (25 mg and 100 mg) before initiating pivotal phase III trials.","yes"
"142","NCT00559507",2,"Completed","male breast carcinoma","SARACATINIB","Tyrosine-protein kinase SRC inhibitor","INHIBITOR","ENSG00000097007","SRC proto-oncogene, non-receptor tyrosine kinase","SRC","Small molecule","This phase II trial is studying saracatinib to see how well it works in treating patients with metastatic or locally advanced breast cancer that cannot be removed by surgery. Saracatinib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth","yes"
"143","NCT00600275",1,"Completed","breast cancer","BGT-226","PI3-kinase class I inhibitor","INHIBITOR","ENSG00000145675","phosphoinositide-3-kinase regulatory subunit 5","PIK3R5","Small molecule","This is a phase I/II clinical research study with BGT226, an inhibitor of phosphatidylinositol 3'-kinase (PI3K). The study consists of a Phase I dose escalation part followed by a safety expansion part and a Phase II expansion part.

Once the MTD has been defined, the safety expansion and efficacy expansion parts of the trial will be opened for enrollment.

Phase I safety expansion part will enroll advanced solid tumors. Phase II expansion part will enroll advanced breast cancer. An effort will be made to enrich the trial population with Cowden Syndrome patients with advanced solid malignancies.","yes"
"151","NCT00637897",1,"Completed","breast cancer","PARICALCITOL","Vitamin D receptor agonist","AGONIST","ENSG00000111424","vitamin D receptor","VDR","Small molecule","RATIONALE: Drugs used in chemotherapy, such as paclitaxel albumin-stabilized nanoparticle formulation, docetaxel,, paclitaxel, and ixabepilone work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Paricalcitol may help chemotherapy drugs to kill more tumor cells by making tumor cells more sensitive to the drugs.

PURPOSE: This clinical trial is studying the best dose and best way to give paricalcitol and to see how well it works when given together with chemotherapy in treating patients with metastatic breast cancer.","yes"
"154","NCT00664781",2,"Completed","Hereditary breast and ovarian cancer syndrome","RUCAPARIB","PARP 1, 2 and 3 inhibitor","INHIBITOR","ENSG00000143799","poly(ADP-ribose) polymerase 2","PARP2","Small molecule","RATIONALE: rucaparib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth.

PURPOSE: This phase II trial is studying the side effects and best dose of rucaparib and to see how well it works in treating patients with locally advanced or metastatic breast cancer or advanced ovarian cancer.","yes"
