"","NCT_ID","Phase","Status","Disease Name","Drug Name","Mechanism of Action","Action Type","Target ID","Target Approved Name","Target Approved Symbol","Drug Type","trial_summary"
"11","NCT00003010",3,"Completed","breast cancer","MARIMASTAT","Matrix metalloproteinase-2 inhibitor","INHIBITOR","ENSG00000262406","matrix metallopeptidase 2","MMP2","Small molecule","RATIONALE: Marimastat may stop the growth of breast cancer by stopping blood flow to the tumor. It is not known whether chemotherapy is more effective with or without marimastat for breast cancer.

PURPOSE: Randomized double-blinded phase III trial to compare the effectiveness of marimastat with that of no further therapy in treating women who have metastatic breast cancer that is responding or stable after chemotherapy."
"12","NCT00003038",1,"Completed","breast cancer","SURAMIN","Acidic fibroblast growth factor inhibitor","INHIBITOR","ENSG00000113578","fibroblast growth factor 1","FGF1","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Phase I trial to study the effectiveness of combination chemotherapy with suramin plus doxorubicin in treating patients with advanced solid tumors."
"14","NCT00003038",1,"Completed","breast cancer","SURAMIN HEXASODIUM","Acidic fibroblast growth factor inhibitor","INHIBITOR","ENSG00000113578","fibroblast growth factor 1","FGF1","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Phase I trial to study the effectiveness of combination chemotherapy with suramin plus doxorubicin in treating patients with advanced solid tumors."
"16","NCT00003066",2,"Unknown status","breast cancer","ESTRAMUSTINE PHOSPHATE","Estrogen receptor beta modulator","MODULATOR","ENSG00000140009","estrogen receptor 2","ESR2","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of docetaxel combined with estramustine in treating women with metastatic breast cancer."
"18","NCT00003066",2,"Unknown status","breast cancer","ESTRAMUSTINE PHOSPHATE SODIUM","Estrogen receptor beta modulator","MODULATOR","ENSG00000140009","estrogen receptor 2","ESR2","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of docetaxel combined with estramustine in treating women with metastatic breast cancer."
"20","NCT00003103",1,"Completed","breast cancer","OBLIMERSEN SODIUM","Bcl-2 mRNA antisense inhibitor","ANTISENSE INHIBITOR","ENSG00000171791","BCL2 apoptosis regulator","BCL2","Oligonucleotide","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase I/II trial to study the effectiveness of oblimersen in treating patients who have solid tumors that have not responded to previous therapy."
"21","NCT00003674",3,"Completed","breast cancer","DALTEPARIN SODIUM","Antithrombin-III activator","ACTIVATOR","ENSG00000117601","serpin family C member 1","SERPINC1","Oligosaccharide","RATIONALE: Dalteparin may be effective in inhibiting the growth of blood vessels in tumors, decreasing the risk of metastatic cancer, preventing the formation of blood clots, and improving quality of life in treating patients with advanced cancer that has not responded to previous treatment. It is not yet known if standard therapy is more effective with or without dalteparin in treating advanced breast, lung, colorectal, and prostate cancer.

PURPOSE: Randomized double blinded phase III trial to compare the effectiveness of standard therapy with or without dalteparin in treating patients who have advanced breast, lung, colorectal, or prostate cancer that has not responded to previous chemotherapy or hormone therapy."
"22","NCT00003752",2,"Completed","breast cancer","BEXAROTENE","Retinoid X receptor agonist","AGONIST","ENSG00000204231","retinoid X receptor beta","RXRB","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Randomized phase II trial to study the effectiveness of bexarotene in treating patients who have metastatic breast cancer."
"23","NCT00003771",3,"Completed","breast cancer","NORETHINDRONE ACETATE","Progesterone receptor agonist","AGONIST","ENSG00000082175","progesterone receptor","PGR","Small molecule","RATIONALE: Hormone replacement therapy is effective for relieving symptoms of menopause. It is not yet known if hormone replacement therapy increases the risk of breast cancer recurrence in women previously treated for early stage breast cancer.

PURPOSE: Randomized phase III trial to determine the risk of breast cancer recurrence in women with previous early stage breast cancer who are receiving hormone replacement therapy for menopause symptoms."
"24","NCT00003893",3,"Completed","breast cancer","MITOXANTRONE HYDROCHLORIDE","DNA topoisomerase II alpha inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase II alpha","TOP2A","Small molecule","RATIONALE: Drugs used in chemotherapy work in different ways to stop tumor cells from dividing so they stop growing or die. Radiation therapy uses high-energy x-rays to damage tumors cells. Combining chemotherapy with radiation therapy may kill more tumor cells. It is not yet known which regimen of chemotherapy plus radiation therapy is more effective for early-stage breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of two different regimens of adjuvant chemotherapy plus radiation therapy in treating women who have early-stage breast cancer."
"25","NCT00003972",3,"Completed","breast cancer","SARGRAMOSTIM","Granulocyte-macrophage colony-stimulating factor receptor agonist","AGONIST","ENSG00000198223","colony stimulating factor 2 receptor subunit alpha","CSF2RA","Protein","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. It is not yet known which regimen of combination chemotherapy is more effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of two regimens of combination chemotherapy followed by peripheral stem cell transplantation in treating patients who have stage II or stage IIIA breast cancer."
"26","NCT00004046",2,"Completed","breast cancer","EXATECAN","DNA topoisomerase I inhibitor","INHIBITOR","ENSG00000198900","DNA topoisomerase I","TOP1","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase II trial to study the effectiveness of DX-8951f in treating women who have metastatic breast cancer that has not responded to previous therapy."
"27","NCT00004207",1,"Unknown status","breast cancer","DAUNORUBICIN","DNA topoisomerase II alpha inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase II alpha","TOP2A","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase I trial to study the effectiveness of liposomal daunorubicin in treating patients who have metastatic breast cancer."
"29","NCT00004207",1,"Unknown status","breast cancer","DAUNORUBICIN CITRATE","DNA topoisomerase II alpha inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase II alpha","TOP2A","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase I trial to study the effectiveness of liposomal daunorubicin in treating patients who have metastatic breast cancer."
"31","NCT00004906",2,"Completed","breast cancer","PAMIDRONATE DISODIUM","Farnesyl diphosphate synthase inhibitor","INHIBITOR","ENSG00000160752","farnesyl diphosphate synthase","FDPS","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy plus peripheral stem cell transplantation in treating women who have metastatic breast cancer."
"32","NCT00005817",2,"Completed","male breast carcinoma","BECATECARIN","DNA topoisomerase I inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase I","TOP1","Small molecule","Randomized phase II trial to compare the effectiveness of two regimens of rebeccamycin analogue in treating women who have stage IIIB or stage IV breast cancer. Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. The best way to give rebeccamycin analog in breast cancer patients is not yet known"
"33","NCT00005822",1,"Completed","breast cancer","SEMAXANIB","Vascular endothelial growth factor receptor inhibitor","INHIBITOR","ENSG00000157404","fms related receptor tyrosine kinase 4","FLT4","Small molecule","RATIONALE: SU5416 may stop the growth of breast cancer by stopping blood flow to the tumor. Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining SU5416 with chemotherapy may kill more cancer cells.

PURPOSE: Phase I trial to study the effectiveness of combining SU5416 and doxorubicin in treating patients who have stage IIIB or stage IV inflammatory breast cancer."
"34","NCT00005873",2,"Completed","breast cancer","RUBITECAN","DNA topoisomerase I inhibitor","INHIBITOR","ENSG00000198900","DNA topoisomerase I","TOP1","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase II trial to study the effectiveness of nitrocamptothecin in treating patients who have locally recurrent or metastatic breast cancer."
"35","NCT00006007",2,"Completed","breast cancer","PEMETREXED","GAR transformylase inhibitor","INHIBITOR","ENSG00000228716","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase","GART","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combining LY231514 plus gemcitabine in treating women who have metastatic breast cancer."
"37","NCT00006007",2,"Completed","breast cancer","PEMETREXED DISODIUM","Dihydrofolate reductase inhibitor","INHIBITOR","ENSG00000159131","dihydrofolate reductase","DHFR","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combining LY231514 plus gemcitabine in treating women who have metastatic breast cancer."
"39","NCT00006032",2,"Terminated","breast cancer","TOPOTECAN","DNA topoisomerase I, mitochondrial inhibitor","INHIBITOR","ENSG00000184428","DNA topoisomerase I mitochondrial","TOP1MT","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy followed by autologous peripheral stem cell transplantation in treating women who have metastatic breast cancer."
"41","NCT00006032",2,"Terminated","breast cancer","TOPOTECAN HYDROCHLORIDE","DNA topoisomerase I, mitochondrial inhibitor","INHIBITOR","ENSG00000184428","DNA topoisomerase I mitochondrial","TOP1MT","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy followed by autologous peripheral stem cell transplantation in treating women who have metastatic breast cancer."
"43","NCT00006261",2,"Withdrawn","breast cancer","FLUDARABINE PHOSPHATE","DNA polymerase (alpha/delta/epsilon) inhibitor","INHIBITOR","ENSG00000101868","DNA polymerase epsilon 3, accessory subunit","POLE3","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Peripheral stem cell transplantation may be able to replace immune cells that were destroyed by chemotherapy. Donor lymphocytes may attack and destroy cancer cells.

PURPOSE: This phase II trial is studying the effectiveness of combination chemotherapy, peripheral stem cell transplantation, and donor lymphocyte infusion in treating women with stage IV breast cancer."
"44","NCT00007891",1,"Completed","breast cancer","BRE-3 90Y","Lactadherin binding agent","BINDING AGENT","ENSG00000140545","milk fat globule EGF and factor V/VIII domain containing","MFGE8","Antibody","RATIONALE: Radiolabeled monoclonal antibodies can locate tumor cells and either kill them or deliver tumor-killing substances to them without harming normal cells. Peripheral stem cell transplantation or bone marrow transplantation may be able to replace immune cells that were destroyed by monoclonal antibody therapy used to kill tumor cells.

PURPOSE: Phase I trial to study the effectiveness of radiolabeled monoclonal antibody therapy followed by bone marrow or peripheral stem cell transplantation in treating patients who have metastatic breast cancer."
"45","NCT00008203",3,"Completed","breast cancer","ALDESLEUKIN","Interleukin-2 receptor agonist","AGONIST","ENSG00000134460","interleukin 2 receptor subunit alpha","IL2RA","Protein","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation or bone marrow transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. Biological therapy may interfere with the growth of the cancer cells. It is not yet known which post-transplant biological therapy regimen is more effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of cyclosporine and interferon gamma to that of interleukin-2 following combination chemotherapy and bone marrow or peripheral stem cell transplantation in women who have stage II or stage III breast cancer."
"48","NCT00008203",3,"Completed","breast cancer","INTERFERON GAMMA-1B","Interferon gamma receptor agonist","AGONIST","ENSG00000159128","interferon gamma receptor 1","IFNGR1","Protein","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation or bone marrow transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. Biological therapy may interfere with the growth of the cancer cells. It is not yet known which post-transplant biological therapy regimen is more effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of cyclosporine and interferon gamma to that of interleukin-2 following combination chemotherapy and bone marrow or peripheral stem cell transplantation in women who have stage II or stage III breast cancer."
"51","NCT00008203",3,"Completed","breast cancer","CYCLOSPORINE","Cyclophilin A modulator","MODULATOR","ENSG00000196262","peptidylprolyl isomerase A","PPIA","Protein","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation or bone marrow transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. Biological therapy may interfere with the growth of the cancer cells. It is not yet known which post-transplant biological therapy regimen is more effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of cyclosporine and interferon gamma to that of interleukin-2 following combination chemotherapy and bone marrow or peripheral stem cell transplantation in women who have stage II or stage III breast cancer."
"54","NCT00024063",1,"Unknown status","breast cancer","ORANTINIB","Fibroblast growth factor receptor inhibitor","INHIBITOR","ENSG00000068078","fibroblast growth factor receptor 3","FGFR3","Small molecule","RATIONALE: Drugs such as SU006668 may stop the growth of solid tumors by stopping blood flow to the tumor.

PURPOSE: Phase I trial to study the effectiveness of SU006668 in treating patients who have advanced solid tumors."
"55","NCT00025584",2,"Completed","breast cancer","BORTEZOMIB","26S proteosome inhibitor","INHIBITOR","ENSG00000173692","proteasome 20S subunit beta 5","PSMB5","Small molecule","PS-341 may stop the growth of tumor cells by blocking the enzymes necessary for cancer cell growth. Phase II trial to study the effectiveness of PS-341 in treating women who have metastatic breast cancer"
"56","NCT00030537",2,"Completed","breast cancer","ERLOTINIB","Epidermal growth factor receptor erbB1 inhibitor","INHIBITOR","ENSG00000146648","epidermal growth factor receptor","EGFR","Small molecule","RATIONALE: Biological therapies such as erlotinib may interfere with the growth of tumor cells and slow the growth of the tumor.

PURPOSE: Phase II trial to study the effectiveness of erlotinib in treating patients who have locally advanced or metastatic breast cancer."
"57","NCT00033384",2,"Completed","breast cancer","CI-1040","Dual specificity mitogen-activated protein kinase kinase 2 inhibitor","INHIBITOR","ENSG00000126934","mitogen-activated protein kinase kinase 2","MAP2K2","Small molecule","RATIONALE: CI-1040 may stop the growth of tumors by blocking the enzymes necessary for cancer cell growth and by stopping blood flow to the tumor.

PURPOSE: Phase II trial to study the effectiveness of CI-1040 in treating patients who have metastatic or unresectable breast, colon, pancreatic, or non-small cell lung cancer."
"58","NCT00036621",2,"Terminated","breast cancer","REBIMASTAT","Matrix metalloproteinase 13 inhibitor","INHIBITOR","ENSG00000137745","matrix metallopeptidase 13","MMP13","Small molecule","This clinical trial will assess whether BMS-275291 can be administered safely in combination with standard adjuvant therapy for early breast cancer and whether plasma concentrations at trough exceed a target minimum."
"59","NCT00039455",1,"Terminated","male breast carcinoma","ALVOCIDIB","Cyclin-dependent kinase 2 inhibitor","INHIBITOR","ENSG00000170312","cyclin dependent kinase 2","CDK2","Small molecule","Monoclonal antibodies such as trastuzumab can locate tumor cells and either kill them or deliver tumor-killing substances to them without harming normal cells. Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining trastuzumab with flavopiridol may kill more tumor cells. Phase I trial to study the effectiveness of combining trastuzumab with flavopiridol in treating patients who have metastatic breast cancer"
"60","NCT00041652",1,"Completed","breast cancer","LABETUZUMAB","Carcinoembryonic antigen-related cell adhesion molecule 5 other","OTHER","ENSG00000105388","CEA cell adhesion molecule 5","CEACAM5","Antibody","The purpose of this trial is to determine the safety of hMN14 at different dose levels in the treatment of either colorectal or breast cancer."
"61","NCT00044993",2,"Completed","breast cancer","CONTUSUGENE LADENOVEC","Cellular tumor antigen p53 exogenous gene","EXOGENOUS GENE","ENSG00000141510","tumor protein p53","TP53","Gene","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Inserting the p53 gene into the tumor may increase the effectiveness of a chemotherapy drug by making tumor cells more sensitive to the drug. Combining chemotherapy with gene therapy may kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combining chemotherapy with gene therapy in treating patients who have stage III or stage IV breast cancer."
"62","NCT00049114",2,"Completed","breast cancer","TIPIFARNIB","Protein farnesyltransferase inhibitor","INHIBITOR","ENSG00000168522","farnesyltransferase, CAAX box, subunit alpha","FNTA","Small molecule","Drugs used in chemotherapy, such as doxorubicin and cyclophosphamide, work in different ways to stop tumor cells from dividing so they stop growing or die. Tipifarnib may stop the growth of tumor cells by blocking the enzymes necessary for their growth. Combining tipifarnib with doxorubicin and cyclophosphamide may kill more tumor cells. Phase II trial to study the effectiveness of combining tipifarnib with doxorubicin and cyclophosphamide in treating women who have locally advanced breast cancer."
"63","NCT00051779",1,"Completed","breast cancer","CAL","Parathyroid hormone-related protein inhibitor","INHIBITOR","ENSG00000087494","parathyroid hormone like hormone","PTHLH","Antibody","This study is intended to evaluate the safety, tolerability, and possible effectiveness of an investigational humanized monoclonal antibody (CAL) to the parathyroid hormone-related protein (PTHrP) when compared to zoledronic acid in patients with breast cancer metastatic to bone.

The study will also evaluate the possible effects of both study drugs on performance status, markers of bone metabolism, and skeletal events related to bone metastasis including elevated blood calcium levels, bone pain, metastatic lesions, complications and interventions. The levels of CAL in the blood will also be evaluated."
"64","NCT00053911",3,"Terminated","breast cancer","FLUOROURACIL","Thymidylate synthase inhibitor","INHIBITOR","ENSG00000176890","thymidylate synthetase","TYMS","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug, and giving them after surgery, may kill any remaining tumor cells following surgery. It is not yet known whether combination chemotherapy is more effective than observation in treating relapsed nonmetastatic breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of combination chemotherapy with that of observation in treating women who have undergone surgery for relapsed nonmetastatic breast cancer."
"65","NCT00055926",1,"Completed","breast cancer","CP-724714","Receptor protein-tyrosine kinase erbB-2 inhibitor","INHIBITOR","ENSG00000141736","erb-b2 receptor tyrosine kinase 2","ERBB2","Small molecule","RATIONALE: CP-724,714 may stop the growth of tumor cells by blocking the enzymes necessary for tumor cell growth.

PURPOSE: Phase I trial to study the effectiveness of CP-724,714 in treating patients who have metastatic HER2-overexpressing breast cancer."
"66","NCT00063102",2,"Completed","breast cancer","ABT-751","Tubulin beta inhibitor","INHIBITOR","ENSG00000188229","tubulin beta 8B","TUBB8B","Small molecule","The purpose of the study is to determine if ABT-751 will decrease tumors, and determine how long the tumor shrinkage can be maintained in patients with breast cancer after having had taxol or taxotere. Patients will receive ABT-751 by mouth daily for 21 days. Patients will be off drug for 7 days before starting the next cycle of drug."
"67","NCT00066690",3,"Active, not recruiting","breast carcinoma","TRIPTORELIN","Gonadotropin-releasing hormone receptor agonist","AGONIST","ENSG00000109163","gonadotropin releasing hormone receptor","GNRHR","Protein","RATIONALE: Estrogen can stimulate the growth of breast tumor cells. Ovarian function suppression combined with hormone therapy using tamoxifen or exemestane may fight breast cancer by reducing the production of estrogen. It is not yet known whether suppression of ovarian function plus either tamoxifen or exemestane is more effective than tamoxifen alone in preventing the recurrence of hormone-responsive breast cancer.

PURPOSE: This randomized phase III trial studies ovarian suppression with either tamoxifen or exemestane to see how well they work compared to tamoxifen alone in treating premenopausal women who have undergone surgery for hormone-responsive breast cancer."
"68","NCT00068588",2,"Completed","breast cancer","GTI-2040","Ribonucleotide reductase small subunit mRNA antisense inhibitor","ANTISENSE INHIBITOR","ENSG00000171848","ribonucleotide reductase regulatory subunit M2","RRM2","Unknown","This phase II trial is studying how well giving GTI-2040 together with capecitabine works in treating patients with metastatic breast cancer. Drugs used in chemotherapy, such as capecitabine, work in different ways to stop tumor cells from dividing so they stop growing or die. GTI-2040 may help capecitabine kill more tumor cells by making them more sensitive to the drug"
"69","NCT00070031",2,"Completed","breast cancer","EDOTECARIN","DNA topoisomerase I inhibitor","INHIBITOR","ENSG00000198900","DNA topoisomerase I","TOP1","Small molecule","RATIONALE: Drugs used in chemotherapy such as edotecarin use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: This phase II trial is studying how well edotecarin works in treating women with locally advanced or metastatic breast cancer that has not responded to previous chemotherapy."
