NCT ID,Brief Summary
NCT03238703,"This pilot clinical trial studies how well endocrine therapy works in treating patients with HER2 negative, low risk breast cancer. Estrogen can cause the growth of breast cancer cells. Endocrine therapies such as aromatase inhibitors and selective estrogen receptor modulators may lessen the amount of estrogen made by the body."
NCT02005770,"Serious concern about the role of anesthesia in tumor recurrence has considerably risen over years, but the lack of surrogate markers for tumor spreading made trials addressing this issue difficult to realize. In breast cancer patients CTC positivity has been recently recognized as an independent prognostic factor. In this respect, we postulated that in a first step changes in the number of CTC after general anesthesia would help to determine the effect of anesthesia on this tumor marker."
NCT00171847,Phase IV trial to investigate the effect of the combination of Letrozole with trastuzumab in metastatic breast cancer patients
NCT03238703,"This pilot clinical trial studies how well endocrine therapy works in treating patients with HER2 negative, low risk breast cancer. Estrogen can cause the growth of breast cancer cells. Endocrine therapies such as aromatase inhibitors and selective estrogen receptor modulators may lessen the amount of estrogen made by the body."
NCT02816164,"In patients with early-stage breast cancer, chemotherapy has substantially improved survival rates. Improvements in outcomes, however, are compromised by the considerable toxicities associated with chemotherapy, the most notable being neutropenia. Neutropenia is the presence of abnormally few white blood cells, leading to increase susceptibility to infection and can require hospitalization and need for intravenous antibiotics and is sometimes fatal. Febrile neutropenia (FN) can also be associated with treatment delays and dose reductions, potentially compromising treatment efficacy. Patients can receive medication to reduce the risk of FN such as Neupogen (filgrastim) as a daily injection for 5, 7 or 10 days. Since there is genuine uncertainty among healthcare professionals as to which administration schedule of Neupogen is the best for patients, the investigators are performing a randomized study for which patients will receive either 5, 7 or 10 days of Neupogen. Neupogen can cost approximately $200/injection, so if a physician prescribes 10 days for 8 cycles of treatment, this can cost $16,000 compared to a 5 day treatment which would cost half this. In addition to cost savings, many patients are not able to give themselves injections on a daily basis and require nursing resources which are utilized at high cost. This study will use an oral consent model to compare 5, 7 and 10 days of Neupogen to evaluate rates of febrile neutropenia and hospitalization."
NCT05631795,"The purpose of this study is to determine the safety of alpelisib plus fulvestrant in men and post-menopausal women with HR-positive, HER2-negative, advanced or metastatic breast cancer (aBC) with a PIK3CA mutation, whose disease has progressed on or after endocrine-based treatment"
NCT03495609,"Specific aim: To establish the proof of principle that treatment of ""high breast cancer risk"" women with recombinant human chorionic gonadotropin (r-hCG) will change their breast epithelium's high risk genomic profile to one similar to that identified in women with a history of early full first term pregnancy."
NCT05843292,"The goal of this clinical trial is to learn about the efficacy and safety of short-term sintilimab in combination with taxane and carboplatin for neoadjuvant therapy in female early-stage triple-negative breast caner patients aging from 18 to 70 years with unilateral and invasive primary lesions above 1cm. The main questions it aims to answer are:

1. Does short-term sintilimab in combination with taxane and carboplatin lead to acceptible pathological complete response (pCR) rates, objective response rates (ORR), event-free survival (EFS) and overall survival (OS)?
2. Does short-term sintilimab in combination with taxane and carboplatin lead to less adverse events than regular-term ICIs reported in literature?

Participants will be given 2 cycles of sintilimab, in combination with 4 cycles of taxane and carboplatin before surgery. An optional core-needle biopsy is performed after completing 2 cycles of sintilimab. All participants will be given regular follow-up post surgery according to ASCO guidelines."
NCT01298193,"This is a prospective, multicenter, open label, non-comparative trial in Spain.

The primary objective of this study is to determine the complete response, defined as no vomiting and no use of rescue treatment, in women with early-stage breast cancer treated with one cycle of Docetaxel-Cyclophosphamide and active therapy for the prevention of CINV (Chemotherapy-induced nausea and vomiting) day 1, 5-hydroxytryptamine 3 (5-HT3) antagonist plus 3 days of dexamethasone. A second step (efficacy phase) is designed to examine the efficacy and tolerability of aprepitant in the second cycle among patients who failed to the previous CINV prevention treatment.

The study will focus on early-stage chemonaive breast cancer patients receiving docetaxel-cyclophosphamide and a 5-HT3 antagonist plus dexamethasone for the CINV prevention. The CINV incidence in those patients will be evaluated on the first cycle. All refractory patients, will be asked to participate in the second phase, where aprepitant on days 1, 2 and 3 will be added to their antiemetic regimen.

Assuming a drop out of 5%, 212 patients will be included in the study. It is anticipated that around 48 patients will enter the efficacy phase.

The duration of the study, from first patient visit to last patient visit will be approximately 21 months."
NCT05507398,"This study aims at evaluating and comparing the anti-tumor effects of metformin and statins (hydroxyl-methyl-glutaryl-CoA reductase inhibitors) in patients with non-metastatic breast cancer (stage I, II, \& III)."
NCT03123770,"This is a multicentric, open-label,non-randomized concurrent control, 1:1 match,non-inferiority trial that assesses the efficacy and safety of neoadjuvant chemotherapy regimen DC-T and EC-T in breast cancer patients."
NCT05861635,To evaluate the efficacy and safety of vidicizumab combined with tirelizumab in the treatment of early high-risk or locally advanced breast cancer with low HER2 expression
NCT00372476,"This study is designed to investigate the safety and efficacy of the combination of imatinib and vinorelbine in patients with advanced, anthracycline resistant breast cancer"
NCT03007381,"Background: Ketorolac tromethamine is a nonsteroidal anti-inflammatory drug that has been shown to reduce breakthrough narcotic consumption following orthopaedic, neurosurgical, and obstetrical procedures. The morphine-sparing effect of ketorolac may reduce respiratory and central nervous system depression post operatively, while still providing adequate pain control for patients. Patients undergoing abdominally based microsurgical breast reconstruction may particularly benefit from ketorolac postoperatively, and ultimately be safely discharged from hospital sooner than their counterparts receiving standard of care.

Research Question: In adult women post-mastectomy, undergoing abdominally based microsurgical breast reconstruction, does a postoperative regimen of intravenous ketorolac tromethamine, in addition to standard of care, reduce the length of postoperative hospital stay compared with an intravenous sham saline regimen?

Study Design: A single center, explanatory, placebo-controlled, 1:1 allocation, 2-arm, parallel group, superiority, randomized, and double blinded, controlled trial.

Population: The study population includes all females \>18 years old post mastectomy consenting to abdominally based microsurgical breast reconstruction.

Intervention and Comparator: The intervention will be ketorolac 30 mg IV every 6 hours postoperatively for 72 hours. The comparator will be a sham intravenous administration of normal saline.

Outcomes: The primary outcome is hospital length of stay postoperatively. Secondary outcomes include visual analog scale for pain, breakthrough narcotic consumption, surgical drain outputs, hematoma, and other complications.

Sample Size: Available data provided estimates for average length of hospital stay and standard deviation. A minimally clinically significant difference of 1 day was decided on due to expert opinion. Based on a power of 80% and alpha of 0.05, and inflated to account for attrition and efficiency losses, a total of 50 patients (25 per group) will be required for this study."
NCT00774241,"This single arm study will assess the efficacy and safety of first line combination treatment with Avastin + docetaxel in patients with HER2 negative metastatic breast cancer.Patients will receive Avastin (15mg/kg iv every 3 weeks) plus docetaxel (75mg/m2 every 3 weeks for 6 cycles). The anticipated time on study treatment is until disease progression, and the target sample size is 100 individuals."
NCT03051503,"to determine the safety, efficacy and tolerability of transdermal fentanyl in patients undergoing mastectomy, as well as the postoperative consumption of analgesic."
NCT00082277,The purpose of this study is to evaluate safety parameters of anastrozole with regard to its potential effects on postmenopausal bone loss and on lipid profiles. This trial is conducted to investigate the effects of risedronate on BMD and on bone metabolism in postmenopausal women using anastrozole as adjuvant therapy for hormone-receptor-positive early breast cancer and who are high or moderate risk of fragility fracture. It is also conducted to determine the effects of anastrozole on bone mineral density (BMD) and on bone metabolism in women at low risk of fragility fracture.
NCT01553903,"This is a biomedical study of interventional type which includes 29 patients on 9 months: 8 months recruiting and 1 month follow up.

Patients with hormone dependent breast cancer metastatic or non-metastatic, for which an indication of hormonal therapy treatment (with tamoxifen or anti-aromatase) is retained, will be enrolled in this study.

The main objective of this study is to evaluate the feasibility for the determination of Oxysterols (CT, CE, OCDO) in this patient population, before and after the initiation of treatment (ie, at D0 before and D28 after beginning of treatment)."
NCT06217185,"This is a multi-center real-world study, in which patients who meet the inclusion criteria will receive treatment with Pyrotinib + Trastuzumab + Taxanes. Taxanes will be used for 6-8 cycles or discontinued due to intolerable Adverse Events (AEs), after which Capecitabine will be used for rhythmic chemotherapy combined with Pyrotinib + Trastuzumab. The aim is to explore the efficacy and safety of Pyrotinib, Trastuzumab, and Taxanes in treating Trastuzumab-treated HER2+ Advanced Breast Cancer (ABC)."
NCT05291910,"This is a multi-center, prospective, interventional, single-arm clinical trial. In the study, patients with her2-positive recurrent or metastatic breast cancer who were initially treated were included. The purpose of this study is to evaluate the efficacy and safety of Inetetamab combined with anti-PD-1 monoclonal antibody and albumin-bound paclitaxel for HER2+ Metastatic Breast Cancer."
NCT03360214,"This is a prospective randomized controlled double-blind interventional study comparing the effect of pulsed-electromagnetic field device (PEMF), pectoral interfascial block (PIB), and placebo on postoperative pain control. This study has the interdisciplinary cooperation of the regional anesthesia group, and the breast and plastic surgery divisions. All female patients with breast cancer evaluated at Columbia University Medical Center (CUMC) who are undergoing unilateral or bilateral mastectomy with tissue expander reconstruction will be offered enrollment in this prospective study."
NCT01907880,"Metastatic breast cancer patients with bone involvement who are at high-risk of subsequent skeletal related event (SRE), defined as radiotherapy or surgery to the bone, pathological fracture, spinal cord compression, or hypercalcemia (as reflected through: elevated sCTX or bone pain or a prior SRE despite receiving standard bisphosphonate therapy) should experience a decrease in the surrogate marker, sCTX, at week 12 if switched to zoledronic acid compared with those patients who continue on intravenous pamidronate (i.e. current standard of care). The investigators propose that a drop in sCTX will correlate with improved pain, quality of life and a reduced incidence of further SREs."
NCT05807074,"Improvement in bleeding and bruising has been described by using both intravenous and topical off-label applications of Tranexamic Acid (TXA) in many surgical fields. This trial tests how well applying tranexamic acid (TXA) to the surface of the surgical site (topically) works to reduce post-operative bleeding (hematomas) and fluid collections (seromas) in women undergoing surgery to remove both breasts (bilateral mastectomy) immediately followed by surgery to rebuild the breast (reconstruction). The formation of hematomas and seromas, a common post-mastectomy complication, can interfere with breast reconstruction and increase the risk of infection and wound healing and can potentially delay cancer treatments. TXA is a synthetic molecule that pushes the body's clotting cascade toward clot formation to improve blood clotting. Applying TXA topically to the surgical site before closing the incision may prevent hematoma and seroma formation in post-mastectomy breast reconstruction patients.

Participants will be recruited from patients undergoing bilateral mastectomy at University of California, San Francisco."
NCT03456661,"A double blind prospective randomized controlled trial in which the effect of single shot levobupivacaine 0,25% will be compared with the effect of levobupivacaine 0.25% in association with dexmedetomidine when performing an ultrasound guided modified pectoral nerve block , in patients undergoing a mastectomy with axillar procedure.

The difference in effect will be evaluated by monitoring the postoperative morphine consumption in both groups .

The hypothesis is that there is a significant decrease in morphine consumption during the first 24h postoperatively due to association of dexmedetomidine to the local anesthetic compared to the local anesthetic alone when performing a ultrasound guided modified pectoral nerve block. The morphine consumption will be the primary outcome parameter."
NCT05507398,"This study aims at evaluating and comparing the anti-tumor effects of metformin and statins (hydroxyl-methyl-glutaryl-CoA reductase inhibitors) in patients with non-metastatic breast cancer (stage I, II, \& III)."
NCT02115282,This randomized phase III trial studies exemestane and entinostat to see how well they work compared to exemestane alone in treating patients with hormone receptor-positive breast cancer that has spread to nearby tissue or lymph nodes (locally advanced) or another place in the body (metastatic). Estrogen can cause the growth of breast cancer cells. Endocrine therapy using exemestane may fight breast cancer by lowering the amount of estrogen the body makes. Entinostat may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. It is not yet known whether exemestane is more effective with or without entinostat in treating breast cancer.
NCT01234337,"The objective of this phase-III trial is to compare the efficacy and safety of sorafenib in combination with capecitabine versus capecitabine in combination with placebo in the treatment of subjects with locally advanced or metastatic HER2-negative breast cancer who are resistant to or have failed prior taxane and an anthracycline or for whom further anthracycline therapy is not indicated. After signing consent there can be up to 28 days before starting the treatment during which time a number of tests will be carried out which will include tumor evaluations and medical history. The following tests and evaluations will have to be done within 7 days of the start of treatment,on Day 1 of every cycle and at the end of study: Electrocardiogram, blood tests, patient quality of life questionnaires and a complete physical exam and vital signs. Treatment will be given in 21 day cycles with sorafenib/placebo to be taken every day for 21 days and capecitabine to be taken for the first 14 days. Patients will come in weekly for the first 6 weeks and then on Day1 for every cycle after the first 2 cycles. During the weekly visits the subjects will be check for any side effects and blood draws will happen for the study on Day 1 of each cycle. Subjects will be followed for overall survival."
NCT01953003,"Options for the treatment of patients who have progressed after an anthracycline and a taxane are limited. Capecitabine currently has a role in this setting, yet as many as 80% of patients do not respond to this treatment and those who respond eventually develop clinical resistance.

The antitumour activity of vinflunine has been demonstrated in patients with breast cancer after exposure to anthracycline and to taxane.

Vinflunine plus capecitabine has been shown to be a feasible combination for patients previously treated with an anthracycline and a taxane. Each drug in combination can be administered at efficacious doses.

This population has few therapeutic options with established clinical benefit. The development of a new regimen and potential new standard of care for this group is important.

* Primary objective:

  • to compare in patients with advanced breast cancer pretreated with anthracycline and taxane the efficacy of the combination of vinflunine and capecitabine with capecitabine alone, in terms of progression-free survival.
* Secondary objectives:

  * to evaluate the response rate, the time to response and the duration of response in both arms
  * to compare the disease control rate between arms
  * to evaluate the duration of disease control in both arms
  * to evaluate the overall survival in both arms
  * to evaluate safety

Methodology This multicentre, open-label, randomised, Phase III study will enrol a total of 334 patients with advanced breast cancer who have previously been treated with an anthracycline and a taxane. Patients will be randomised in a 1:1 ratio to receive VFL plus capecitabine (Arm A) or capecitabine alone (Arm B)."
NCT01101438,"This study is looking at whether Metformin, an agent that is commonly used to treat diabetes, can decrease or affect the ability of breast cancer cells to grow and whether Metformin will work with other therapies to keep cancer from recurring. Health Canada has not approved the sale or use of Metformin to treat breast cancer, although they have approved its use in this clinical trial. Although Metformin is approved by the FDA for the treatment of diabetes, its use in breast cancer is considered investigational."
NCT00808522,"The purpose of the study is to evaluate whether hCG will result in a decrease in breast density.

High breast density has been associated with an increased risk in breast cancer. It has also been shown that decreasing density with a drug called tamoxifen has resulted in a decreased risk in breast cancer. The investigators are looking at the effect of hCG on breast density in people who are at increased risk of developing breast cancer and our theory postulates that through the hormonal actions of hCG and tamoxifen there would be a greater reduction in breast density in patients who are treated with hCG and tamoxifen versus patients treated with tamoxifen alone. Using this data the investigators will be able to hypothesize that the treatment of hCG will result in a reduction in breast cancer rates in the population and thus make available another drug which can be used to decrease the rates of breast cancer in the population"
NCT00193726,"One of the basic principles of cancer chemotherapy is that these drugs act exclusively or mainly on cells in cycle. Estrogens have been shown to increase the fraction of breast cancer cells in cycle. Tamoxifen on the other hand, decreases the proliferative fraction and has been shown to negatively impact on the results of adjuvant chemotherapy in breast cancer when given concomitantly. A number of previous studies have attempted estrogenic recruitment of cancer cells (into cell cycle) to increase the efficacy of chemotherapy in locally advanced and metastatic breast cancer. Although some studies showed an increase in response rates in the recruitment arm, there was no benefit in time to progression or survival in any of the studies. These results may have been due to the inadequate sample size of the studies and advanced stage disease (with presumably higher fraction of inherently chemoresistant cells). The present study is designed to test the hypothesis that estrogenic recruitment of micrometastatic disease in operable breast cancer will increase the efficacy of standard adjuvant chemotherapy after surgery. The intervention arm of the study will involve administration of short duration estrogen prior to each cycle of adjuvant chemotherapy. The end-points are disease free and overall survival."
NCT02340221,"This international, multicenter, randomized, double-blinded, placebo-controlled study is designed to compare the efficacy and safety of taselisib + fulvestrant with that of placebo + fulvestrant in postmenopausal women with estrogen receptor (ER)-positive, human epidermal growth factor receptor-2 (HER2)-negative, oncogene that encodes for phosphatidylinositol-4,5-bisphosphate 3-kinase (PIK3CA)-mutant, unresectable, locally advanced or metastatic breast cancer after recurrence or progression during or after an aromatase inhibitor (AI) therapy. There will be a 2:1 randomization to the taselisib arm versus the placebo arm. Enrollment will be enriched for participants with PIK3CA mutant tumors via central testing. The anticipated duration of the study is approximately 3.5 years."
NCT01610284,"This study was a multi-center, randomized, double-blind, placebo controlled Phase III study to determine the efficacy and safety of treatment with buparlisib plus fulvestrant versus fulvestrant plus placebo in postmenopausal women with hormone Receptor-positive (HR-positive), human epidermal growth factor receptor 2-negative (HER2-negative), locally advanced or metastatic breast cancer (MBC) whose disease has progressed on or after aromatase inhibitor (AI) treatment."
