"","GAMuT_60259"
"ENSG00000074410",4140
"ENSG00000074416",2932
"ENSG00000074527",1434
"ENSG00000074582",334
"ENSG00000074590",657
"ENSG00000074603",2173
"ENSG00000074621",257
"ENSG00000074657",2939
"ENSG00000074660",210
"ENSG00000074695",9840
"ENSG00000074696",8205
"ENSG00000074706",46
"ENSG00000074755",2206
"ENSG00000074800",32909
"ENSG00000074842",523
"ENSG00000074855",153
"ENSG00000074935",340
"ENSG00000074964",554
"ENSG00000074966",101
"ENSG00000075089",823
"ENSG00000075131",381
"ENSG00000075142",1562
"ENSG00000075151",4515
"ENSG00000075188",1313
"ENSG00000075213",411
"ENSG00000075218",335
"ENSG00000075223",22636
"ENSG00000075234",276
"ENSG00000075239",1415
"ENSG00000075240",459
"ENSG00000075275",4186
"ENSG00000075292",10405
"ENSG00000075303",815
"ENSG00000075336",650
"ENSG00000075391",3647
"ENSG00000075399",187
"ENSG00000075407",2166
"ENSG00000075413",2879
"ENSG00000075415",7228
"ENSG00000075420",10843
"ENSG00000075426",4926
"ENSG00000075539",8156
"ENSG00000075568",2213
"ENSG00000075618",996
"ENSG00000075624",55388
"ENSG00000075643",907
"ENSG00000075651",603
"ENSG00000075702",292
"ENSG00000075711",3931
"ENSG00000075785",2023
"ENSG00000075790",1413
"ENSG00000075826",145
"ENSG00000075856",1870
"ENSG00000075884",188
"ENSG00000075914",537
"ENSG00000075945",1579
"ENSG00000075975",723
"ENSG00000076003",2870
"ENSG00000076043",432
"ENSG00000076053",373
"ENSG00000076067",3772
"ENSG00000076108",3232
"ENSG00000076201",625
"ENSG00000076242",1305
"ENSG00000076248",1146
"ENSG00000076258",92
"ENSG00000076321",613
"ENSG00000076351",367
"ENSG00000076356",265
"ENSG00000076382",1579
