external_gene_name,description,search_id,MeSH_count,andGene_count,description_count,best_score
PTK2,protein tyrosine kinase 2 ,PTK2,182,,,182
EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit ,EZH2,3515,,,3515
LYN,"LYN proto-oncogene, Src family tyrosine kinase ",LYN,567,,,567
YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta ,YWHAZ,135,,,135
FAU,FAU ubiquitin like and ribosomal protein S30 fusion ,FAU,30,,,30
AR,androgen receptor ,androgen receptor ,11180,,,11180
HIF1A,hypoxia inducible factor 1 subunit alpha ,HIF1A,794,,,794
TJP1,tight junction protein 1 ,TJP1,36,,,36
PLCG1,phospholipase C gamma 1 ,PLCG1,82,,,82
SMAD2,SMAD family member 2 ,SMAD2,1685,,,1685
SMAD4,SMAD family member 4 ,SMAD4,2380,,,2380
CALML5,calmodulin like 5 ,CALML5,19,,,19
MAPK1,mitogen-activated protein kinase 1 ,MAPK1,440,,,440
CALML3,calmodulin like 3 ,CALML3,13,,,13
H2AC20,H2A clustered histone 20 ,H2AC20,0,,,0
EEF1A1,eukaryotic translation elongation factor 1 alpha 1 ,EEF1A1,88,,,88
SOX2,SRY-box transcription factor 2 ,SOX2,3188,,,3188
CHUK,component of inhibitor of nuclear factor kappa B kinase complex ,CHUK,33,,,33
RB1,RB transcriptional corepressor 1 ,RB1,3418,,,3418
CUL1,cullin 1 ,CUL1,170,,,170
CALML4,calmodulin like 4 ,CALML4,1,,,1
RAC1,Rac family small GTPase 1 ,RAC1,1962,,,1962
EGF,epidermal growth factor ,EGF,9535,,,9535
DDB1,damage specific DNA binding protein 1 ,DDB1,127,,,127
CALML6,calmodulin like 6 ,CALML6,2,,,2
RUVBL1,RuvB like AAA ATPase 1 ,RUVBL1,55,,,55
YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta ,YWHAB,21,,,21
DCTN1,dynactin subunit 1 ,DCTN1,32,,,32
CCR5,C-C motif chemokine receptor 5 ,CCR5,596,,,596
JAK1,Janus kinase 1 ,JAK1,1125,,,1125
PLK1,polo like kinase 1 ,PLK1,1217,,,1217
LARP7,"La ribonucleoprotein 7, transcriptional regulator ",LARP7,12,,,12
TNF,tumor necrosis factor ,TNF,16615,,,16615
EZR,ezrin ,EZR,89,,,89
SIRT1,sirtuin 1 ,SIRT1,1448,,,1448
ITGB3,integrin subunit beta 3 ,ITGB3,152,,,152
UBE2I,ubiquitin conjugating enzyme E2 I ,UBE2I,19,,,19
VCP,valosin containing protein ,VCP,246,,,246
PRKN,parkin RBR E3 ubiquitin protein ligase ,PRKN,35,,,35
MAPT,microtubule associated protein tau ,MAPT,91,,,91
H4C14,H4 clustered histone 14 ,H4C14,0,,,0
HSPA5,heat shock protein family A (Hsp70) member 5 ,HSPA5,137,,,137
UBE2D1,ubiquitin conjugating enzyme E2 D1 ,UBE2D1,8,,,8
KAT5,lysine acetyltransferase 5 ,KAT5,55,,,55
HRAS,"HRas proto-oncogene, GTPase ",HRAS,2483,,,2483
H4C3,H4 clustered histone 3 ,H4C3,1,,,1
H4C9,H4 clustered histone 9 ,H4C9,0,,,0
KDM1A,lysine demethylase 1A ,KDM1A,185,,,185
IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta ,IKBKB,84,,,84
CHD4,chromodomain helicase DNA binding protein 4 ,CHD4,84,,,84
PARP1,poly(ADP-ribose) polymerase 1 ,PARP1,2366,,,2366
CENPS,centromere protein S ,CENPS,14,,,14
H4C16,H4 histone 16 ,H4C16,0,,,0
IKBKG,inhibitor of nuclear factor kappa B kinase regulatory subunit gamma ,IKBKG,17,,,17
H4C13,H4 clustered histone 13 ,H4C13,0,,,0
H4C2,H4 clustered histone 2 ,H4C2,1,,,1
XIAP,X-linked inhibitor of apoptosis ,XIAP,2084,,,2084
RPS6,ribosomal protein S6 ,RPS6,153,,,153
H4C8,H4 clustered histone 8 ,H4C8,1,,,1
CENPX,centromere protein X ,CENPX,2,,,2
H4C11,H4 clustered histone 11 ,H4C11,1,,,1
H4C15,H4 clustered histone 15 ,H4C15,0,,,0
H4C12,H4 clustered histone 12 ,H4C12,0,,,0
H4C5,H4 clustered histone 5 ,H4C5,0,,,0
H4C4,H4 clustered histone 4 ,H4C4,2,,,2
H4C1,H4 clustered histone 1 ,H4C1,0,,,0
TGFB1,transforming growth factor beta 1 ,TGFB1,533,,,533
GNAI1,G protein subunit alpha i1 ,GNAI1,21,,,21
IGF1R,insulin like growth factor 1 receptor ,IGF1R,2585,,,2585
IQGAP1,IQ motif containing GTPase activating protein 1 ,IQGAP1,204,,,204
CCNA2,cyclin A2 ,CCNA2,311,,,311
GNAQ,G protein subunit alpha q ,GNAQ,485,,,485
ATP6V0C,ATPase H+ transporting V0 subunit c ,ATP6V0C,13,,,13
FLNA,filamin A ,FLNA,175,,,175
H3C14,H3 clustered histone 14 ,H3C14,1,,,1
SKP1,S-phase kinase associated protein 1 ,SKP1,252,,,252
DNMT1,DNA methyltransferase 1 ,DNMT1,1538,,,1538
FGF2,fibroblast growth factor 2 ,FGF2,1179,,,1179
RPS3,ribosomal protein S3 ,RPS3,41,,,41
RANBP2,RAN binding protein 2 ,RANBP2,84,,,84
B2M,beta-2-microglobulin ,B2M,505,,,505
TNFRSF1A,TNF receptor superfamily member 1A ,TNFRSF1A,69,,,69
STRN,striatin ,STRN,75,,,75
CDKN1A,cyclin dependent kinase inhibitor 1A ,CDKN1A,1059,,,1059
RPA1,replication protein A1 ,RPA1,72,,,72
MSN,moesin ,MSN,397,,,397
ACTG1,actin gamma 1 ,ACTG1,38,,,38
GNAS,GNAS complex locus ,GNAS,682,,,682
RPS16,ribosomal protein S16 ,RPS16,14,,,14
CCNB1,cyclin B1 ,CCNB1,493,,,493
ALB,albumin ,ALB,919,4,15572,15572
CCR2,C-C motif chemokine receptor 2 ,CCR2,557,,,557
TRIM28,tripartite motif containing 28 ,TRIM28,128,,,128
CXCR2,C-X-C motif chemokine receptor 2 ,CXCR2,673,,,673
ISG15,ISG15 ubiquitin like modifier ,ISG15,214,,,214
NTRK1,neurotrophic receptor tyrosine kinase 1 ,NTRK1,593,,,593
CCL5,C-C motif chemokine ligand 5 ,CCL5,794,,,794
YWHAE,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon ,YWHAE,140,,,140
LCK,"LCK proto-oncogene, Src family tyrosine kinase ",LCK,439,,,439
H3-5,H3.5 histone ,H3-5,6,,,6
XRCC6,X-ray repair cross complementing 6 ,XRCC6,57,,,57
TGFBR1,transforming growth factor beta receptor 1 ,TGFBR1,313,,,313
KDR,kinase insert domain receptor ,KDR,967,,,967
KIF5B,kinesin family member 5B ,KIF5B,175,,,175
CCR3,C-C motif chemokine receptor 3 ,CCR3,132,,,132
FANCE,FA complementation group E ,FANCE,29,,,29
DLG4,discs large MAGUK scaffold protein 4 ,DLG4,9,,,9
RPS8,ribosomal protein S8 ,RPS8,6,,,6
SNCA,synuclein alpha ,SNCA,63,,,63
CCR1,C-C motif chemokine receptor 1 ,CCR1,240,,,240
SP1,Sp1 transcription factor ,SP1,2937,,,2937
MTOR,mechanistic target of rapamycin kinase ,MTOR,18369,,,18369
RPA3,replication protein A3 ,RPA3,38,,,38
CXCL12,C-X-C motif chemokine ligand 12 ,CXCL12,2016,,,2016
RPA2,replication protein A2 ,RPA2,61,,,61
C3,complement C3 ,complement C3 ,178,,,178
TLN1,talin 1 ,TLN1,46,,,46
RPS3A,ribosomal protein S3A ,RPS3A,7,,,7
RUNX1,RUNX family transcription factor 1 ,RUNX1,2253,,,2253
RPS7,ribosomal protein S7 ,RPS7,17,,,17
DAXX,death domain associated protein ,DAXX,329,,,329
KAT2A,lysine acetyltransferase 2A ,KAT2A,54,,,54
BIRC2,baculoviral IAP repeat containing 2 ,BIRC2,72,,,72
SDC1,syndecan 1 ,SDC1,196,,,196
STAT5A,signal transducer and activator of transcription 5A ,STAT5A,336,,,336
BECN1,beclin 1 ,BECN1,281,,,281
PCNA,proliferating cell nuclear antigen ,PCNA,5253,,,5253
YY1,YY1 transcription factor ,YY1,643,,,643
TBP,TATA-box binding protein ,TBP,325,,,325
CSNK1A1,casein kinase 1 alpha 1 ,CSNK1A1,37,,,37
ATP6V0B,ATPase H+ transporting V0 subunit b ,ATP6V0B,5,,,5
CCR7,C-C motif chemokine receptor 7 ,CCR7,839,,,839
SKP2,S-phase kinase associated protein 2 ,SKP2,912,,,912
NOTCH1,notch receptor 1 ,NOTCH1,3439,,,3439
CXCR1,C-X-C motif chemokine receptor 1 ,CXCR1,349,,,349
BTRC,beta-transducin repeat containing E3 ubiquitin protein ligase ,BTRC,42,,,42
FGFR1,fibroblast growth factor receptor 1 ,FGFR1,1807,,,1807
RPS5,ribosomal protein S5 ,RPS5,14,,,14
CD40,CD40 molecule ,CD40,2097,,,2097
RPS19,ribosomal protein S19 ,RPS19,18,,,18
RPS11,ribosomal protein S11 ,RPS11,8,,,8
IRS1,insulin receptor substrate 1 ,IRS1,652,,,652
RPS9,ribosomal protein S9 ,RPS9,19,,,19
RPS17,ribosomal protein S17 ,RPS17,7,,,7
CXCR3,C-X-C motif chemokine receptor 3 ,CXCR3,659,,,659
TYK2,tyrosine kinase 2 ,TYK2,215,,,215
RPS13,ribosomal protein S13 ,RPS13,10,,,10
VWF,von Willebrand factor ,VWF,649,,,649
CENPA,centromere protein A ,CENPA,136,,,136
RPS2,ribosomal protein S2 ,RPS2,20,,,20
CRK,"CRK proto-oncogene, adaptor protein ",CRK,259,,,259
FOS,"Fos proto-oncogene, AP-1 transcription factor subunit ",FOS,2922,,,2922
H3C15,H3 clustered histone 15 ,H3C15,0,,,0
CD74,CD74 molecule ,CD74,462,,,462
DDX5,DEAD-box helicase 5 ,DDX5,135,,,135
CCND1,cyclin D1 ,CCND1,2754,,,2754
RPS12,ribosomal protein S12 ,RPS12,14,,,14
CCR6,C-C motif chemokine receptor 6 ,CCR6,294,,,294
KLC1,kinesin light chain 1 ,KLC1,15,,,15
RPS24,ribosomal protein S24 ,RPS24,15,,,15
RPTOR,regulatory associated protein of MTOR complex 1 ,RPTOR,41,,,41
BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B ,BUB1B,210,,,210
NCK1,NCK adaptor protein 1 ,NCK1,45,,,45
RPS14,ribosomal protein S14 ,RPS14,26,,,26
EEF2,eukaryotic translation elongation factor 2 ,EEF2,123,,,123
RPSA,ribosomal protein SA ,RPSA,33,,,33
RPS4X,ribosomal protein S4 X-linked ,RPS4X,6,,,6
RPS18,ribosomal protein S18 ,RPS18,16,,,16
RPS28,ribosomal protein S28 ,RPS28,8,,,8
NR3C1,nuclear receptor subfamily 3 group C member 1 ,NR3C1,167,,,167
NUDCD1,NudC domain containing 1 ,NUDCD1,11,,,11
UBE2D2,ubiquitin conjugating enzyme E2 D2 ,UBE2D2,10,,,10
BRCA2,BRCA2 DNA repair associated ,BRCA2,8560,,,8560
ATP6V0D1,ATPase H+ transporting V0 subunit d1 ,ATP6V0D1,5,,,5
CX3CR1,C-X3-C motif chemokine receptor 1 ,CX3CR1,231,,,231
RPS27,ribosomal protein S27 ,RPS27,18,,,18
P4HB,prolyl 4-hydroxylase subunit beta ,P4HB,65,,,65
RPS23,ribosomal protein S23 ,RPS23,8,,,8
ATP6V1B1,ATPase H+ transporting V1 subunit B1 ,ATP6V1B1,8,,,8
RPS25,ribosomal protein S25 ,RPS25,6,,,6
LGALS3,galectin 3 ,LGALS3,126,,,126
PML,PML nuclear body scaffold ,PML,2778,,,2778
GJA1,gap junction protein alpha 1 ,GJA1,61,,,61
SOCS1,suppressor of cytokine signaling 1 ,SOCS1,593,,,593
HBA2,hemoglobin subunit alpha 2 ,HBA2,17,,,17
HSPA1B,heat shock protein family A (Hsp70) member 1B ,HSPA1B,52,,,52
H3-7,H3.7 histone (putative) ,H3-7,2,,,2
RPS20,ribosomal protein S20 ,RPS20,18,,,18
TPR,"translocated promoter region, nuclear basket protein ",TPR,283,,,283
VTN,vitronectin ,VTN,32,,,32
PPP2CA,protein phosphatase 2 catalytic subunit alpha ,PPP2CA,32,,,32
KMT2A,lysine methyltransferase 2A ,KMT2A,707,,,707
CREB1,cAMP responsive element binding protein 1 ,CREB1,375,,,375
ATP6V1F,ATPase H+ transporting V1 subunit F ,ATP6V1F,2,,,2
TRAF3,TNF receptor associated factor 3 ,TRAF3,172,,,172
ATP6V1B2,ATPase H+ transporting V1 subunit B2 ,ATP6V1B2,7,,,7
PF4,platelet factor 4 ,PF4,160,,,160
SIN3A,SIN3 transcription regulator family member A ,SIN3A,92,,,92
AURKB,aurora kinase B ,AURKB,289,,,289
RPS26,ribosomal protein S26 ,RPS26,7,,,7
CAPZB,capping actin protein of muscle Z-line subunit beta ,CAPZB,8,,,8
RNF31,ring finger protein 31 ,RNF31,21,,,21
ATP6V1E1,ATPase H+ transporting V1 subunit E1 ,ATP6V1E1,5,,,5
RPS15A,ribosomal protein S15a ,RPS15A,28,,,28
ITGAV,integrin subunit alpha V ,ITGAV,127,,,127
CXCL11,C-X-C motif chemokine ligand 11 ,CXCL11,261,,,261
SUZ12,SUZ12 polycomb repressive complex 2 subunit ,SUZ12,353,,,353
CCR8,C-C motif chemokine receptor 8 ,CCR8,101,,,101
ATP6V1H,ATPase H+ transporting V1 subunit H ,ATP6V1H,3,,,3
YBX1,Y-box binding protein 1 ,YBX1,234,,,234
PRKACA,protein kinase cAMP-activated catalytic subunit alpha ,PRKACA,164,,,164
MAPK3,mitogen-activated protein kinase 3 ,MAPK3,179,,,179
EIF4G1,eukaryotic translation initiation factor 4 gamma 1 ,EIF4G1,51,,,51
RPS15,ribosomal protein S15 ,RPS15,23,,,23
BCL11A,BCL11 transcription factor A ,BCL11A,110,,,110
CDK4,cyclin dependent kinase 4 ,CDK4,6048,,,6048
YAP1,Yes1 associated transcriptional regulator ,YAP1,1239,,,1239
FANCD2,FA complementation group D2 ,FANCD2,320,,,320
POLR2G,RNA polymerase II subunit G ,POLR2G,1,,,1
HTT,huntingtin ,HTT,131,,,131
ATP6V1D,ATPase H+ transporting V1 subunit D ,ATP6V1D,2,,,2
E2F1,E2F transcription factor 1 ,E2F1,2228,,,2228
CDC20,cell division cycle 20 ,CDC20,448,,,448
PIK3R3,phosphoinositide-3-kinase regulatory subunit 3 ,PIK3R3,87,,,87
RPS10,ribosomal protein S10 ,RPS10,7,,,7
RIPK1,receptor interacting serine/threonine kinase 1 ,RIPK1,232,,,232
TGFBR2,transforming growth factor beta receptor 2 ,TGFBR2,426,,,426
CXCL8,C-X-C motif chemokine ligand 8 ,CXCL8,759,,,759
CCL11,C-C motif chemokine ligand 11 ,CCL11,90,,,90
SOCS3,suppressor of cytokine signaling 3 ,SOCS3,494,,,494
ATP5PO,ATP synthase peripheral stalk subunit OSCP ,ATP5PO,0,,,0
MYH9,myosin heavy chain 9 ,MYH9,158,,,158
FBXW7,F-box and WD repeat domain containing 7 ,FBXW7,806,,,806
ATP6V1A,ATPase H+ transporting V1 subunit A ,ATP6V1A,9,,,9
CAPZA1,capping actin protein of muscle Z-line subunit alpha 1 ,CAPZA1,20,,,20
CCL21,C-C motif chemokine ligand 21 ,CCL21,315,,,315
TPM3,tropomyosin 3 ,TPM3,193,,,193
FOXO1,forkhead box O1 ,FOXO1,1210,,,1210
CXCR5,C-X-C motif chemokine receptor 5 ,CXCR5,301,,,301
ATP6V0E2,ATPase H+ transporting V0 subunit e2 ,ATP6V0E2,2,,,2
RPS21,ribosomal protein S21 ,RPS21,7,,,7
STAT5B,signal transducer and activator of transcription 5B ,STAT5B,351,,,351
CCR10,C-C motif chemokine receptor 10 ,CCR10,79,,,79
SUMO2,small ubiquitin like modifier 2 ,SUMO2,81,,,81
OCLN,occludin ,OCLN,55,,,55
HBA1,hemoglobin subunit alpha 1 ,HBA1,27,,,27
VAMP2,vesicle associated membrane protein 2 ,VAMP2,31,,,31
GNB5,G protein subunit beta 5 ,GNB5,6,,,6
SMAD7,SMAD family member 7 ,SMAD7,467,,,467
GATA3,GATA binding protein 3 ,GATA3,1508,,,1508
APOA1,apolipoprotein A1 ,APOA1,204,,,204
APOE,apolipoprotein E ,APOE,475,,,475
CCNA1,cyclin A1 ,CCNA1,114,,,114
ATP6V1G1,ATPase H+ transporting V1 subunit G1 ,ATP6V1G1,6,,,6
SEC31A,"SEC31 homolog A, COPII coat complex component ",SEC31A,18,,,18
HSPG2,heparan sulfate proteoglycan 2 ,HSPG2,54,,,54
TAF1,TATA-box binding protein associated factor 1 ,TAF1,42,,,42
ATP6V0D2,ATPase H+ transporting V0 subunit d2 ,ATP6V0D2,9,,,9
SMARCA5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 ",SMARCA5,63,,,63
PRKCA,protein kinase C alpha ,PRKCA,128,,,128
CXCR6,C-X-C motif chemokine receptor 6 ,CXCR6,169,,,169
CCR9,C-C motif chemokine receptor 9 ,CCR9,90,,,90
FAM20C,FAM20C golgi associated secretory pathway kinase ,FAM20C,16,,,16
TBK1,TANK binding kinase 1 ,TBK1,216,,,216
EHMT2,euchromatic histone lysine methyltransferase 2 ,EHMT2,94,,,94
CBFB,core-binding factor subunit beta ,CBFB,343,,,343
AURKA,aurora kinase A ,AURKA,825,,,825
TRADD,TNFRSF1A associated via death domain ,TRADD,126,,,126
PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma ",PIK3CG,68,,,68
HSPA9,heat shock protein family A (Hsp70) member 9 ,HSPA9,56,,,56
RAF1,"Raf-1 proto-oncogene, serine/threonine kinase ",RAF1,1053,,,1053
CDK9,cyclin dependent kinase 9 ,CDK9,391,,,391
MDC1,mediator of DNA damage checkpoint 1 ,MDC1,147,,,147
EPHA2,EPH receptor A2 ,EPHA2,716,,,716
LAMTOR1,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 ",LAMTOR1,19,,,19
CXCL10,C-X-C motif chemokine ligand 10 ,CXCL10,953,,,953
ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit ",ERCC4,163,,,163
RPS27L,ribosomal protein S27 like ,RPS27L,6,,,6
IGKV1D-33,immunoglobulin kappa variable 1D-33 ,IGKV1D-33,1,,,1
IGKV1-33,immunoglobulin kappa variable 1-33 ,IGKV1-33,3,,,3
CASP8,caspase 8 ,CASP8,543,,,543
MAPK8,mitogen-activated protein kinase 8 ,MAPK8,94,,,94
UBE2D3,ubiquitin conjugating enzyme E2 D3 ,UBE2D3,16,,,16
TCIRG1,"T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 ",TCIRG1,15,,,15
GNB3,G protein subunit beta 3 ,GNB3,29,,,29
GNB4,G protein subunit beta 4 ,GNB4,13,,,13
TLR2,toll like receptor 2 ,TLR2,627,,,627
ESR2,estrogen receptor 2 ,ESR2,223,,,223
VAV1,vav guanine nucleotide exchange factor 1 ,VAV1,132,,,132
ATP5F1A,ATP synthase F1 subunit alpha ,ATP5F1A,4,,,4
PPIB,peptidylprolyl isomerase B ,PPIB,23,,,23
TPM4,tropomyosin 4 ,TPM4,63,,,63
BCL2,BCL2 apoptosis regulator ,BCL2,31082,,,31082
RPS29,ribosomal protein S29 ,RPS29,9,,,9
ATP6V1G2,ATPase H+ transporting V1 subunit G2 ,ATP6V1G2,4,,,4
CFTR,CF transmembrane conductance regulator ,CFTR,313,,,313
CD9,CD9 molecule ,CD9,703,,,703
PLAUR,"plasminogen activator, urokinase receptor ",PLAUR,96,,,96
ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit ",ERCC1,1619,,,1619
ATP6V0A1,ATPase H+ transporting V0 subunit a1 ,ATP6V0A1,5,,,5
TSG101,tumor susceptibility 101 ,TSG101,167,,,167
CDKN1B,cyclin dependent kinase inhibitor 1B ,CDKN1B,484,,,484
HTRA2,HtrA serine peptidase 2 ,HTRA2,124,,,124
LAMTOR2,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2 ",LAMTOR2,9,,,9
GNGT1,G protein subunit gamma transducin 1 ,GNGT1,9,,,9
PPARG,peroxisome proliferator activated receptor gamma ,PPARG,354,,,354
CUL4A,cullin 4A ,CUL4A,125,,,125
ATP6V1C2,ATPase H+ transporting V1 subunit C2 ,ATP6V1C2,8,,,8
CENPC,centromere protein C ,CENPC,13,,,13
PARD3,par-3 family cell polarity regulator ,PARD3,39,,,39
ATP6V1C1,ATPase H+ transporting V1 subunit C1 ,ATP6V1C1,15,,,15
CCT8,chaperonin containing TCP1 subunit 8 ,CCT8,8,,,8
BRAF,"B-Raf proto-oncogene, serine/threonine kinase ",BRAF,16878,,,16878
GNB2,G protein subunit beta 2 ,GNB2,14,,,14
PLCG2,phospholipase C gamma 2 ,PLCG2,96,,,96
CAPZA2,capping actin protein of muscle Z-line subunit alpha 2 ,CAPZA2,11,,,11
BIRC3,baculoviral IAP repeat containing 3 ,BIRC3,262,,,262
TFRC,transferrin receptor ,TFRC,146,,,146
ITGB5,integrin subunit beta 5 ,ITGB5,45,,,45
APOB,apolipoprotein B ,APOB,367,,,367
LAMTOR3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3 ",LAMTOR3,12,,,12
ATP5F1B,ATP synthase F1 subunit beta ,ATP5F1B,3,,,3
TFG,trafficking from ER to golgi regulator ,TFG,171,,,171
CLU,clusterin ,CLU,247,,,247
RUNX2,RUNX family transcription factor 2 ,RUNX2,670,,,670
MAP3K7,mitogen-activated protein kinase kinase kinase 7 ,MAP3K7,69,,,69
THBS1,thrombospondin 1 ,THBS1,325,,,325
CDKN2A,cyclin dependent kinase inhibitor 2A ,CDKN2A,4695,,,4695
ATP5MC3,ATP synthase membrane subunit c locus 3 ,ATP5MC3,4,,,4
FANCC,FA complementation group C ,FANCC,110,,,110
ATP5MC1,ATP synthase membrane subunit c locus 1 ,ATP5MC1,0,,,0
A2M,alpha-2-macroglobulin ,A2M,80,,,80
FANCA,FA complementation group A ,FANCA,216,,,216
CALM1,calmodulin 1 ,CALM1,29,,,29
VDAC1,voltage dependent anion channel 1 ,VDAC1,184,,,184
UBL4A,ubiquitin like 4A ,UBL4A,5,,,5
FZR1,fizzy and cell division cycle 20 related 1 ,FZR1,19,,,19
CD81,CD81 molecule ,CD81,386,,,386
PTPN6,protein tyrosine phosphatase non-receptor type 6 ,PTPN6,70,,,70
GNAI2,G protein subunit alpha i2 ,GNAI2,35,,,35
SUMO1,small ubiquitin like modifier 1 ,SUMO1,198,,,198
CANX,calnexin ,CANX,17,,,17
ITGB3BP,integrin subunit beta 3 binding protein ,ITGB3BP,9,,,9
GNG4,G protein subunit gamma 4 ,GNG4,21,,,21
