diseaseId	diseaseName	drugId	drugName	type	mechanismOfAction	actionType	symbol	name	phase	status	source
MONDO_0007254	breast cancer	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB4B	tubulin beta 4B class IVb	4	Unknown status	https://clinicaltrials.gov/study/NCT03123770
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS6	NADH:ubiquinone oxidoreductase subunit S6	4	Completed	https://clinicaltrials.gov/study/NCT05840068
MONDO_0007254	breast cancer	CHEMBL1743082	TRASTUZUMAB EMTANSINE	Antibody drug conjugate	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=23f3c1f4-0fc8-4804-a9e3-04cf25dd302e
EFO_0000305	breast carcinoma	CHEMBL189963	PALBOCICLIB	Small molecule	CDK6/cyclin D1 inhibitor		CDK6	cyclin dependent kinase 6	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=86718885-da44-4d3d-b3ca-06cbcedcffd8,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e0e6412f-50b4-4fd4-9364-62818d121a07
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT05507398
EFO_0000432	breast ductal carcinoma in situ	CHEMBL658	SUFENTANIL	Small molecule	Mu opioid receptor agonist		OPRM1	opioid receptor mu 1	4	Completed	https://clinicaltrials.gov/study/NCT04248179
MONDO_0007254	breast cancer	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB2B	tubulin beta 2B class IIb	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT05291910
MONDO_0004379	female breast carcinoma	CHEMBL1200694	SEVOFLURANE	Small molecule	GABA-A receptor; anion channel positive allosteric modulator		GABRA6	gamma-aminobutyric acid type A receptor subunit alpha6	4	Completed	https://clinicaltrials.gov/study/NCT02005770
MONDO_0007254	breast cancer	CHEMBL1201179	LAPATINIB DITOSYLATE	Small molecule	Receptor protein-tyrosine kinase erbB-2 inhibitor		ERBB2	erb-b2 receptor tyrosine kinase 2	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eee37f88-ec6a-4c30-b8aa-e2c71f93088c
MONDO_0007254	breast cancer	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB2B	tubulin beta 2B class IIb	4	Unknown status	https://clinicaltrials.gov/study/NCT03123770
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB2A	tubulin beta 2A class IIa	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT04137640
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA7	NADH:ubiquinone oxidoreductase subunit A7	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT05507398
MONDO_0007254	breast cancer	CHEMBL1773	CAPECITABINE	Small molecule	Thymidylate synthase inhibitor		TYMS	thymidylate synthetase	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=03dd3301-e9ce-40af-84e1-7b70fc6557b0
MONDO_0007254	breast cancer	CHEMBL189963	PALBOCICLIB	Small molecule	CDK6/cyclin D1 inhibitor		CDK6	cyclin dependent kinase 6	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=86718885-da44-4d3d-b3ca-06cbcedcffd8
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT05507398
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB3	tubulin beta 3 class III	4	Unknown status	https://clinicaltrials.gov/study/NCT03123770
EFO_0000305	breast carcinoma	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=1e1a3a8d-6a6b-46fd-90ae-c7ad9e9b364b,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9ffd3e34-537f-4f65-b00e-57c25bab3b01,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=24d10449-2936-4cd3-b7db-a7683db721e4,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a6c24189-293f-42ca-b969-75870bb55af0,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ea28753a-8631-460a-bfdc-b101eb8ac84a,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=566a00ae-47c0-4cd2-b602-79909bdfd9b1,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4dbbb7c8-a4b5-484d-a2a4-4d925010fc44,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3d499be2-fdb5-4b9d-a7ce-3662ec9b2e34,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f10f730f-6479-4f6a-8edc-fa4bd2140c1b,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6cefbdb9-1141-4a53-9d05-f6fcc2746834,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=88d7cdd2-e650-4a16-adec-873927e03e93,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=973efa93-7f9d-440a-a09f-521cf331b5e7
MONDO_0007254	breast cancer	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB4A	tubulin beta 4A class IVa	4	Recruiting	https://clinicaltrials.gov/study/NCT02627248,https://clinicaltrials.gov/study/NCT04182568,https://clinicaltrials.gov/study/NCT04136782,https://clinicaltrials.gov/study/NCT05420454,https://clinicaltrials.gov/study/NCT06217185,https://clinicaltrials.gov/study/NCT05420467
MONDO_0007254	breast cancer	CHEMBL1683544	ERIBULIN MESYLATE	Small molecule	Tubulin inhibitor		TUBB4A	tubulin beta 4A class IVa	4	Completed	https://clinicaltrials.gov/study/NCT01961544,https://clinicaltrials.gov/study/NCT02864030
MONDO_0007254	breast cancer	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT05291910
MONDO_0007254	breast cancer	CHEMBL1743082	TRASTUZUMAB EMTANSINE	Antibody drug conjugate	Receptor protein-tyrosine kinase erbB-2 inhibitor		ERBB2	erb-b2 receptor tyrosine kinase 2	4	Completed	https://clinicaltrials.gov/study/NCT02658734
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	4	Completed	https://clinicaltrials.gov/study/NCT05840068
EFO_0000432	breast ductal carcinoma in situ	CHEMBL1077896	ROPIVACAINE	Small molecule	Sodium channel alpha subunit blocker		SCN3A	sodium voltage-gated channel alpha subunit 3	4	Completed	https://clinicaltrials.gov/study/NCT04248179
MONDO_0007254	breast cancer	CHEMBL1237023	DENOSUMAB	Antibody	Tumor necrosis factor ligand superfamily member 11 inhibitor		TNFSF11	TNF superfamily member 11	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=49e5afe9-a0c7-40c4-af9f-f287a80c5c88
MONDO_0007254	breast cancer	CHEMBL1077896	ROPIVACAINE	Small molecule	Sodium channel alpha subunit blocker		SCN7A	sodium voltage-gated channel alpha subunit 7	4	Completed	https://clinicaltrials.gov/study/NCT03360214
EFO_0000432	breast ductal carcinoma in situ	CHEMBL1077896	ROPIVACAINE	Small molecule	Sodium channel alpha subunit blocker		SCN2A	sodium voltage-gated channel alpha subunit 2	4	Completed	https://clinicaltrials.gov/study/NCT04248179
MONDO_0004379	female breast carcinoma	CHEMBL1200694	SEVOFLURANE	Small molecule	GABA-A receptor; anion channel positive allosteric modulator		GABRD	gamma-aminobutyric acid type A receptor subunit delta	4	Completed	https://clinicaltrials.gov/study/NCT02005770
MONDO_0007254	breast cancer	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	4	Unknown status	https://clinicaltrials.gov/study/NCT03123770
MONDO_0007254	breast cancer	CHEMBL4303669	ZOLEDRONIC ACID	Small molecule	Farnesyl diphosphate synthase inhibitor		FDPS	farnesyl diphosphate synthase	4	Completed	https://clinicaltrials.gov/study/NCT00172029,https://clinicaltrials.gov/study/NCT01907880,https://clinicaltrials.gov/study/NCT01129336
EFO_0000305	breast carcinoma	CHEMBL1743082	TRASTUZUMAB EMTANSINE	Antibody drug conjugate	Tubulin inhibitor		TUBB8	tubulin beta 8 class VIII	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=23f3c1f4-0fc8-4804-a9e3-04cf25dd302e
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB3	tubulin beta 3 class III	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=45e6dce4-92e2-4ad1-bf11-bbcefb753636
EFO_0000305	breast carcinoma	CHEMBL1743082	TRASTUZUMAB EMTANSINE	Antibody drug conjugate	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=23f3c1f4-0fc8-4804-a9e3-04cf25dd302e
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB2A	tubulin beta 2A class IIa	4	Unknown status	https://clinicaltrials.gov/study/NCT03123770
MONDO_0007254	breast cancer	CHEMBL3301610	ABEMACICLIB	Small molecule	Cyclin-dependent kinase 4 inhibitor		CDK4	cyclin dependent kinase 4	4	Withdrawn	https://clinicaltrials.gov/study/NCT03988114
MONDO_0007254	breast cancer	CHEMBL1444	LETROZOLE	Small molecule	Cytochrome P450 19A1 inhibitor		CYP19A1	cytochrome P450 family 19 subfamily A member 1	4	Suspended	https://clinicaltrials.gov/study/NCT05183828
MONDO_0007254	breast cancer	CHEMBL1654	RISEDRONATE SODIUM	Small molecule	Farnesyl diphosphate synthase inhibitor		FDPS	farnesyl diphosphate synthase	4	Completed	https://clinicaltrials.gov/study/NCT00082277
MONDO_0007254	breast cancer	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB2A	tubulin beta 2A class IIa	4	Completed	https://clinicaltrials.gov/study/NCT01301729,https://clinicaltrials.gov/study/NCT01094184,https://clinicaltrials.gov/study/NCT02419742
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	4	Completed	https://clinicaltrials.gov/study/NCT05840068
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT05507398
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA1	NADH:ubiquinone oxidoreductase subunit A1	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT05507398
MONDO_0007254	breast cancer	CHEMBL888	GEMCITABINE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA1	DNA polymerase alpha 1, catalytic subunit	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9dc35c59-f4f3-43b4-8251-0cf5c06cdc80
MONDO_0007254	breast cancer	CHEMBL79	LIDOCAINE	Small molecule	Sodium channel alpha subunit blocker		SCN8A	sodium voltage-gated channel alpha subunit 8	4	Recruiting	https://clinicaltrials.gov/study/NCT05072314
MONDO_0007254	breast cancer	CHEMBL596	FENTANYL	Small molecule	Mu opioid receptor agonist		OPRM1	opioid receptor mu 1	4	Unknown status	https://clinicaltrials.gov/study/NCT03051503
EFO_0000305	breast carcinoma	CHEMBL1637	GEMCITABINE HYDROCHLORIDE	Small molecule	DNA polymerase (alpha/delta/epsilon) inhibitor		POLA1	DNA polymerase alpha 1, catalytic subunit	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c550dd16-a5e8-44be-87f2-210c15bbb513,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6004fba9-49c0-4781-8134-44bf7cf196fd,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ffc0a4be-6091-4157-837e-3637c1e121a6,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=49f9e774-52f9-40af-aecf-217c11e243ce
MONDO_0007254	breast cancer	CHEMBL1077896	ROPIVACAINE	Small molecule	Sodium channel alpha subunit blocker		SCN1A	sodium voltage-gated channel alpha subunit 1	4	Completed	https://clinicaltrials.gov/study/NCT03360214
MONDO_0007254	breast cancer	CHEMBL1908360	EVEROLIMUS	Small molecule	FK506-binding protein 1A inhibitor		FKBP1A	FKBP prolyl isomerase 1A	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=45d54974-3fc4-4237-a2fa-3158ca1a8105,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b7c7c9a4-994f-43dc-8cd6-cd6eeed6fa89
MONDO_0007254	breast cancer	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB2B	tubulin beta 2B class IIb	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=45e6dce4-92e2-4ad1-bf11-bbcefb753636
MONDO_0007254	breast cancer	CHEMBL428647	PACLITAXEL	Small molecule	Tubulin inhibitor		TUBB3	tubulin beta 3 class III	4	Withdrawn	https://clinicaltrials.gov/study/NCT01156961
EFO_0000305	breast carcinoma	CHEMBL1683590	ERIBULIN	Small molecule	Tubulin inhibitor		TUBB	tubulin beta class I	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=31ce4750-ded5-4a0b-95e9-f229fa6bc822
MONDO_0007254	breast cancer	CHEMBL189963	PALBOCICLIB	Small molecule	Cyclin-dependent kinase 4/cyclin D1 inhibitor		CDK4	cyclin dependent kinase 4	4	Recruiting	https://clinicaltrials.gov/study/NCT03355157
MONDO_0007254	breast cancer	CHEMBL1908360	EVEROLIMUS	Small molecule	FK506-binding protein 1A inhibitor		FKBP1A	FKBP prolyl isomerase 1A	4	Completed	https://clinicaltrials.gov/study/NCT01743560
MONDO_0007254	breast cancer	CHEMBL742	KETAMINE	Small molecule	Glutamate [NMDA] receptor negative allosteric modulator	Negative allosteric modulator	GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B	4	Unknown status	https://clinicaltrials.gov/study/NCT03676114
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	4	Recruiting	https://clinicaltrials.gov/study/NCT04136782,https://clinicaltrials.gov/study/NCT02627248,https://clinicaltrials.gov/study/NCT04182568,https://clinicaltrials.gov/study/NCT05420454,https://clinicaltrials.gov/study/NCT06217185,https://clinicaltrials.gov/study/NCT05420467
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT04137640
MONDO_0007254	breast cancer	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB1	tubulin beta 1 class VI	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=45e6dce4-92e2-4ad1-bf11-bbcefb753636
MONDO_0007254	breast cancer	CHEMBL384467	DEXAMETHASONE	Small molecule	Glucocorticoid receptor agonist		NR3C1	nuclear receptor subfamily 3 group C member 1	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT06300099
MONDO_0007254	breast cancer	CHEMBL3301610	ABEMACICLIB	Small molecule	Cyclin-dependent kinase 6 inhibitor		CDK6	cyclin dependent kinase 6	4	Recruiting	https://clinicaltrials.gov/study/NCT06169371,https://clinicaltrials.gov/study/NCT05362760
EFO_0000305	breast carcinoma	CHEMBL92	DOCETAXEL ANHYDROUS	Small molecule	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=f59f7811-70b7-4c44-99f7-4f4fdce3ed22,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a630937b-8369-74ad-b68a-f940eb16ff0f,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2c806400-5fdc-4398-8475-37f700b3191f,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=70aeb960-426c-4805-b956-476bebccd926,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dd0ca36d-1f54-4568-8d19-a7152addcd52,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=e03d1378-6889-43d5-a34c-f96132cffa88,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=45e6dce4-92e2-4ad1-bf11-bbcefb753636,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c482c813-1eb7-40dd-907a-845a7df112bf,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b35e3633-8893-4b0b-af1e-92e342557199,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=d2dc690b-4c69-428a-a67e-8ad007c39548,https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a0ec4bcc-93ea-4c41-a4b6-95ec19491807
MONDO_0007254	breast cancer	CHEMBL1098	BUPIVACAINE	Small molecule	Sodium channel protein type IV alpha subunit blocker		SCN4A	sodium voltage-gated channel alpha subunit 4	4	Not yet recruiting	https://clinicaltrials.gov/study/NCT06252662,https://clinicaltrials.gov/study/NCT02495363
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFB11	NADH:ubiquinone oxidoreductase subunit B11	4	Completed	https://clinicaltrials.gov/study/NCT05840068
MONDO_0007254	breast cancer	CHEMBL888	GEMCITABINE	Small molecule	Ribonucleoside-diphosphate reductase RR1 inhibitor		RRM1	ribonucleotide reductase catalytic subunit M1	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9dc35c59-f4f3-43b4-8251-0cf5c06cdc80
MONDO_0007254	breast cancer	CHEMBL1201179	LAPATINIB DITOSYLATE	Small molecule	Epidermal growth factor receptor erbB1 inhibitor		EGFR	epidermal growth factor receptor	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eee37f88-ec6a-4c30-b8aa-e2c71f93088c
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3	4	Completed	https://clinicaltrials.gov/study/NCT05840068
MONDO_0007254	breast cancer	CHEMBL1889140	ROPIVACAINE HYDROCHLORIDE	Small molecule	Sodium channel alpha subunit blocker		SCN11A	sodium voltage-gated channel alpha subunit 11	4	Completed	https://clinicaltrials.gov/study/NCT03360214
MONDO_0007254	breast cancer	CHEMBL1683544	ERIBULIN MESYLATE	Small molecule	Tubulin inhibitor		TUBB8	tubulin beta 8 class VIII	4	Completed	https://clinicaltrials.gov/study/NCT01961544,https://clinicaltrials.gov/study/NCT02864030
MONDO_0007254	breast cancer	CHEMBL1683590	ERIBULIN	Small molecule	Tubulin inhibitor		TUBB8	tubulin beta 8 class VIII	4	Recruiting	https://clinicaltrials.gov/study/NCT05033769
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFA2	NADH:ubiquinone oxidoreductase subunit A2	4	Completed	https://clinicaltrials.gov/study/NCT05840068
EFO_0000305	breast carcinoma	CHEMBL1201752	IXABEPILONE	Small molecule	Tubulin inhibitor		TUBB8	tubulin beta 8 class VIII	4		https://www.accessdata.fda.gov/drugsatfda_docs/label/2007/022065lbl.pdf
MONDO_0007254	breast cancer	CHEMBL4297844	TRASTUZUMAB DERUXTECAN	Antibody drug conjugate	DNA topoisomerase I inhibitor		TOP1	DNA topoisomerase I	4		https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7e67e73e-ddf4-4e4d-8b50-09d7514910b6
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB2B	tubulin beta 2B class IIb	4	Unknown status	https://clinicaltrials.gov/study/NCT03123770
MONDO_0007254	breast cancer	CHEMBL3545252	DOCETAXEL	Small molecule	Tubulin inhibitor		TUBB6	tubulin beta 6 class V	4	Withdrawn	https://clinicaltrials.gov/study/NCT00774241
MONDO_0007254	breast cancer	CHEMBL1431	METFORMIN	Small molecule	Mitochondrial complex I (NADH dehydrogenase) inhibitor		NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	4	Completed	https://clinicaltrials.gov/study/NCT05840068
MONDO_0007254	breast cancer	CHEMBL553025	VINORELBINE	Small molecule	Tubulin inhibitor		TUBB	tubulin beta class I	4	Completed	https://clinicaltrials.gov/study/NCT00372476
MONDO_0007254	breast cancer	CHEMBL553025	VINORELBINE	Small molecule	Tubulin inhibitor		TUBB2A	tubulin beta 2A class IIa	4	Completed	https://clinicaltrials.gov/study/NCT00372476
