Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
ADCY7	ENSG00000121281.12	3.760	18.049	-2.001	1.50e-57
ADGRA2	ENSG00000020181.17	4.155	36.865	-2.877	4.55e-83
ADGRD1	ENSG00000111452.12	0.540	17.734	-3.605	3.72e-128
ADGRG1	ENSG00000205336.11	80.170	4.809	3.804	8.20e-101
ADGRG2	ENSG00000173698.17	4.800	0.110	2.385	7.90e-36
ADH1B	ENSG00000196616.12	0.210	83.372	-6.124	2.36e-121
ADHFE1	ENSG00000147576.15	2.995	51.085	-3.705	4.32e-156
ADIRF-AS1	ENSG00000272734.1	3.525	27.790	-2.670	3.40e-79
ADRA2A	ENSG00000150594.6	2.055	17.480	-2.597	8.71e-50
ADRA2C	ENSG00000184160.7	16.255	2.065	2.493	3.99e-33
ADRB3	ENSG00000188778.4	0.030	13.395	-3.805	5.24e-268
AEBP1	ENSG00000106624.8	54.924	347.627	-2.640	2.04e-38
AF011889.2	ENSG00000238039.1	0.590	5.540	-2.040	2.80e-84
AFF3	ENSG00000144218.18	0.300	6.405	-2.510	9.44e-131
AFG3L1P	ENSG00000223959.8	4.580	24.520	-2.193	3.47e-103
AGAP11	ENSG00000271880.1	0.200	7.555	-2.834	1.02e-199
AGAP9	ENSG00000204172.11	2.530	17.735	-2.408	3.89e-97
AGPAT9	ENSG00000138678.10	0.615	15.394	-3.344	6.91e-180
AGR2	ENSG00000106541.11	3.895	0.220	2.004	7.22e-27
AGR3	ENSG00000173467.8	3.050	0.000	2.018	1.21e-27
AGRN	ENSG00000188157.13	119.556	9.305	3.548	3.54e-112
AHI1	ENSG00000135541.20	3.715	21.274	-2.240	9.47e-116
AHNAK2	ENSG00000185567.6	13.540	1.660	2.451	5.79e-35
AHSA2	ENSG00000173209.22	14.660	99.174	-2.677	7.68e-89
AIF1L	ENSG00000126878.12	32.565	3.788	2.810	1.58e-67
AK4	ENSG00000162433.14	16.785	2.315	2.424	2.94e-49
AKAP12	ENSG00000131016.16	5.035	70.977	-3.576	1.61e-90
AKAP17A	ENSG00000197976.10	12.330	79.873	-2.601	2.34e-115
AKR1C1	ENSG00000187134.12	1.450	18.954	-3.026	7.51e-104
AKR1C2	ENSG00000151632.16	0.835	10.374	-2.632	2.49e-66
AKT3	ENSG00000117020.16	1.800	27.455	-3.345	7.75e-106
AL109927.1	ENSG00000278868.1	6.230	0.300	2.475	1.40e-11
AL162151.3	ENSG00000234648.1	0.000	911.942	-9.834	7.38e-306
AL442127.1	ENSG00000278371.2	0.000	39.903	-5.354	3.00e-76
ALDH1A1	ENSG00000165092.12	7.565	133.648	-3.975	3.08e-114
ALDH1A2	ENSG00000128918.14	1.275	11.505	-2.459	4.19e-25
ALDH1L1	ENSG00000144908.13	0.740	44.557	-4.711	2.40e-146
ALDH3B2	ENSG00000132746.14	20.485	0.055	4.348	1.40e-80
ALG3	ENSG00000214160.9	105.737	23.322	2.134	3.81e-95
ALPL	ENSG00000162551.13	38.134	2.385	3.531	5.86e-56
AMHR2	ENSG00000135409.10	0.240	37.395	-4.953	6.82e-153
AMIGO2	ENSG00000139211.6	3.025	22.748	-2.561	8.68e-71
AMN	ENSG00000166126.10	5.665	0.455	2.196	4.45e-55
AMT	ENSG00000145020.14	4.835	83.005	-3.848	4.73e-118
AMY2B	ENSG00000240038.6	4.605	45.107	-3.040	1.66e-78
AMZ2P1	ENSG00000214174.8	3.735	20.035	-2.151	6.62e-121
ANG	ENSG00000214274.9	4.035	59.515	-3.587	1.98e-149
ANGPTL1	ENSG00000116194.12	0.735	38.684	-4.516	1.13e-134
ANGPTL2	ENSG00000136859.9	6.870	42.449	-2.465	1.20e-61
ANGPTL5	ENSG00000187151.7	0.010	8.325	-3.207	6.59e-224
ANK2	ENSG00000145362.16	1.390	16.105	-2.839	9.06e-99
ANKRA2	ENSG00000164331.9	7.745	42.884	-2.327	6.45e-120
ANKRD10	ENSG00000088448.14	27.594	135.438	-2.254	2.06e-91
ANKRD10-IT1	ENSG00000229152.2	1.735	18.480	-2.832	3.99e-109
ANKRD13B	ENSG00000198720.12	2.995	17.035	-2.175	6.89e-64
ANKRD23	ENSG00000163126.14	1.150	9.050	-2.225	7.95e-142
ANKRD29	ENSG00000154065.16	0.630	15.100	-3.304	3.57e-184
ANKRD35	ENSG00000198483.12	0.245	4.044	-2.018	2.03e-121
ANKRD36	ENSG00000135976.16	1.875	15.615	-2.531	6.90e-147
ANKRD36B	ENSG00000196912.12	2.470	13.305	-2.043	1.14e-93
ANKRD37	ENSG00000186352.8	7.330	38.013	-2.228	7.72e-85
ANKRD65	ENSG00000235098.8	36.290	7.940	2.060	5.43e-30
ANKS3	ENSG00000168096.14	6.475	32.284	-2.155	5.22e-98
ANLN	ENSG00000011426.10	8.680	0.790	2.435	1.96e-89
ANO4	ENSG00000151572.16	0.110	5.030	-2.441	8.62e-131
ANO9	ENSG00000185101.12	13.065	0.675	3.070	8.65e-79
ANPEP	ENSG00000166825.13	8.950	0.880	2.404	7.43e-30
ANTXR2	ENSG00000163297.16	3.190	69.760	-4.078	3.72e-128
ANXA3	ENSG00000138772.12	34.240	2.555	3.309	4.39e-94
ANXA6	ENSG00000197043.13	34.555	167.776	-2.247	1.28e-81
AOC1	ENSG00000002726.19	3.400	0.050	2.067	2.48e-25
AOC3	ENSG00000131471.6	1.485	10.120	-2.162	4.01e-51
AOX1	ENSG00000138356.13	0.840	40.719	-4.503	5.07e-181
AP000251.3	ENSG00000237594.2	3.465	0.000	2.159	1.74e-97
AP000280.66	ENSG00000279690.1	0.020	3.865	-2.254	3.48e-166
AP000347.2	ENSG00000272578.5	0.925	6.775	-2.014	1.07e-116
AP000347.4	ENSG00000234353.2	0.945	7.234	-2.082	3.75e-102
AP000473.5	ENSG00000228798.1	0.410	11.575	-3.157	2.29e-189
AP000473.8	ENSG00000270093.1	0.140	6.240	-2.667	1.20e-201
AP002518.1	ENSG00000280653.1	32.747	6.618	2.147	1.73e-8
AP003391.1	ENSG00000281272.1	30.895	1.351	3.762	1.81e-23
AP1M2	ENSG00000129354.11	84.415	0.185	6.172	2.98e-223
APBB1	ENSG00000166313.18	7.910	67.148	-2.935	1.13e-119
APBB2	ENSG00000163697.16	6.930	32.206	-2.066	2.34e-72
APBB3	ENSG00000113108.17	9.400	91.537	-3.153	1.12e-137
APLP1	ENSG00000105290.11	21.330	2.265	2.774	1.63e-42
APOBEC3B	ENSG00000179750.15	8.825	0.530	2.683	3.70e-56
APOC2	ENSG00000234906.8	3.670	0.165	2.003	7.75e-37
APOC4-APOC2	ENSG00000224916.8	8.055	0.365	2.730	2.47e-54
APOD	ENSG00000189058.8	7.750	88.052	-3.347	1.12e-85
AQP5	ENSG00000161798.6	30.665	0.125	4.815	1.68e-84
ARGLU1	ENSG00000134884.13	36.895	237.938	-2.657	1.17e-100
ARHGAP10	ENSG00000071205.11	2.405	33.480	-3.340	3.24e-183
ARHGAP21	ENSG00000107863.16	11.410	60.671	-2.313	1.06e-94
ARHGAP33	ENSG00000004777.18	9.290	47.737	-2.244	5.03e-51
ARHGAP6	ENSG00000047648.21	0.595	14.980	-3.325	7.27e-180
ARHGAP8	ENSG00000241484.9	18.175	0.580	3.601	1.82e-152
ARHGEF25	ENSG00000240771.6	8.555	73.850	-2.970	1.03e-94
ARHGEF28	ENSG00000214944.9	4.385	26.929	-2.375	1.04e-95
ARHGEF6	ENSG00000129675.15	1.630	11.270	-2.222	1.27e-108
ARL10	ENSG00000175414.6	0.910	7.690	-2.186	4.71e-126
ARL4C	ENSG00000188042.7	38.139	1.290	4.095	2.50e-105
ARMCX1	ENSG00000126947.11	5.135	33.294	-2.483	3.01e-103
ARMCX4	ENSG00000196440.11	2.480	35.091	-3.374	8.93e-190
ARNTL	ENSG00000133794.17	4.685	27.663	-2.334	3.41e-111
ARPC1B	ENSG00000130429.12	188.555	33.675	2.451	3.23e-74
ARRDC3	ENSG00000113369.8	17.550	81.399	-2.151	7.12e-46
ART5	ENSG00000167311.13	0.650	5.660	-2.013	9.53e-85
ARX	ENSG00000004848.6	0.040	63.831	-5.962	1.59e-213
ASAP3	ENSG00000088280.18	11.100	70.085	-2.555	2.64e-95
ASF1B	ENSG00000105011.8	27.040	0.690	4.052	6.53e-142
ASIC3	ENSG00000213199.7	1.320	10.390	-2.296	2.37e-77
ASIP	ENSG00000101440.9	0.230	34.755	-4.861	4.82e-225
ASPG	ENSG00000166183.15	0.945	16.670	-3.183	1.55e-104
ASPM	ENSG00000066279.16	4.100	0.090	2.226	3.31e-96
ASRGL1	ENSG00000162174.12	35.046	2.065	3.556	6.97e-75
ASS1	ENSG00000130707.17	477.034	66.336	2.828	2.14e-85
ATG16L2	ENSG00000168010.10	6.650	53.006	-2.820	2.17e-123
ATM	ENSG00000149311.17	4.685	28.994	-2.399	4.38e-108
ATOH8	ENSG00000168874.12	1.590	22.575	-3.186	3.99e-96
ATP10D	ENSG00000145246.13	1.835	11.520	-2.143	2.74e-110
ATP1A2	ENSG00000018625.14	0.230	11.065	-3.294	1.89e-88
ATP1B2	ENSG00000129244.8	1.075	22.095	-3.476	5.43e-58
ATP5J2	ENSG00000241468.7	837.037	184.329	2.177	1.16e-83
ATP6V0E2	ENSG00000171130.17	52.445	10.940	2.162	1.70e-75
ATP6V1B1	ENSG00000116039.11	108.086	1.940	5.214	5.87e-94
ATP8A1	ENSG00000124406.16	1.160	17.385	-3.089	9.17e-163
ATP8B2	ENSG00000143515.16	7.055	45.935	-2.543	2.52e-84
ATRNL1	ENSG00000107518.16	0.240	8.940	-3.003	3.43e-141
AURKA	ENSG00000087586.17	16.155	2.370	2.348	1.10e-38
AURKB	ENSG00000178999.12	20.700	0.360	3.996	1.51e-137
AVPI1	ENSG00000119986.6	8.385	42.831	-2.224	1.34e-93
B3GNT3	ENSG00000179913.10	10.085	0.070	3.373	6.70e-66
BACE2	ENSG00000182240.15	57.235	9.844	2.425	5.91e-58
BAHCC1	ENSG00000266074.8	0.670	13.580	-3.126	1.21e-123
BAIAP2L1	ENSG00000006453.13	25.804	1.860	3.228	8.04e-130
BAMBI	ENSG00000095739.10	1.570	55.054	-4.447	2.36e-115
BBOX1	ENSG00000129151.8	6.710	0.030	2.904	1.32e-52
BBOX1-AS1	ENSG00000254560.5	4.270	0.000	2.398	8.11e-49
BCAM	ENSG00000187244.10	977.328	56.040	4.100	1.46e-98
BCL11A	ENSG00000119866.20	18.745	0.370	3.849	1.10e-85
BCL2	ENSG00000171791.11	1.340	10.179	-2.256	2.33e-79
BDH2	ENSG00000164039.14	16.915	84.500	-2.255	3.37e-105
BEGAIN	ENSG00000183092.15	0.640	6.810	-2.252	4.46e-81
BEX1	ENSG00000133169.5	1.980	17.575	-2.640	5.34e-18
BHLHE41	ENSG00000123095.5	78.943	5.535	3.613	2.51e-69
BHMT2	ENSG00000132840.9	0.500	12.472	-3.167	1.74e-115
BICC1	ENSG00000122870.11	1.365	10.355	-2.263	4.53e-79
BID	ENSG00000015475.18	35.489	5.540	2.480	2.29e-100
BIK	ENSG00000100290.2	12.900	0.145	3.602	5.24e-103
BIRC5	ENSG00000089685.14	23.320	0.310	4.214	3.44e-142
BLACAT1	ENSG00000281406.1	4.625	0.120	2.328	4.80e-61
BMP7	ENSG00000101144.12	30.455	0.190	4.724	3.19e-60
BNC2	ENSG00000173068.17	2.180	25.074	-3.036	3.26e-106
BOLA2B	ENSG00000169627.7	129.754	20.549	2.601	1.02e-110
BPI	ENSG00000101425.12	0.095	7.485	-2.954	7.30e-152
BSPRY	ENSG00000119411.10	7.295	0.080	2.941	4.86e-115
BTAF1	ENSG00000095564.13	3.550	33.055	-2.904	1.45e-139
BTBD19	ENSG00000222009.8	2.645	20.235	-2.542	1.75e-80
BTG2	ENSG00000159388.5	41.475	206.035	-2.285	3.88e-59
BUB1	ENSG00000169679.14	10.910	0.320	3.174	1.05e-113
BUB1B	ENSG00000156970.12	6.440	0.350	2.462	2.83e-94
BZRAP1	ENSG00000005379.15	11.035	84.697	-2.832	1.27e-89
C10orf10	ENSG00000165507.8	21.520	187.448	-3.065	1.33e-69
C11orf52	ENSG00000149300.9	9.300	1.395	2.105	7.06e-64
C11orf96	ENSG00000187479.5	8.320	498.741	-5.745	3.55e-155
C12orf56	ENSG00000185306.12	3.400	0.030	2.095	3.01e-67
C12orf75	ENSG00000235162.8	25.990	4.525	2.288	3.92e-38
C15orf48	ENSG00000166920.10	11.734	0.345	3.243	1.12e-65
C15orf59	ENSG00000205363.5	0.650	20.624	-3.712	1.36e-116
C16orf45	ENSG00000166780.10	3.750	38.719	-3.064	2.64e-87
C19orf33	ENSG00000167644.11	277.385	3.575	5.927	2.99e-143
C19orf81	ENSG00000235034.6	6.165	0.260	2.508	1.35e-71
C1orf106	ENSG00000163362.10	25.129	0.140	4.519	1.05e-156
C1orf116	ENSG00000182795.12	4.070	0.045	2.278	3.22e-46
C1orf186	ENSG00000263961.6	114.150	0.085	6.730	1.45e-132
C1orf194	ENSG00000179902.12	3.790	0.100	2.123	1.57e-23
C1orf210	ENSG00000253313.5	18.680	0.080	4.188	7.10e-171
C1orf228	ENSG00000198520.10	2.120	12.725	-2.137	1.18e-74
C1orf233	ENSG00000228594.3	17.174	1.235	3.024	4.17e-72
C1QB	ENSG00000173369.15	174.024	40.320	2.083	9.01e-26
C1QC	ENSG00000159189.11	145.229	26.720	2.399	3.52e-35
C1QTNF1	ENSG00000173918.14	9.200	59.383	-2.566	1.12e-58
C1QTNF4	ENSG00000172247.3	1.280	10.400	-2.322	4.12e-51
C1QTNF7	ENSG00000163145.12	0.710	5.900	-2.013	5.21e-78
C1R	ENSG00000159403.15	105.105	728.355	-2.781	7.15e-69
C1S	ENSG00000182326.14	77.699	945.411	-3.588	1.54e-92
C2	ENSG00000166278.14	45.141	4.394	3.097	3.15e-57
C21orf62	ENSG00000205929.9	0.050	5.475	-2.624	2.54e-167
C2orf54	ENSG00000172478.17	3.515	0.050	2.104	2.30e-35
C2orf88	ENSG00000187699.10	13.960	1.435	2.619	4.28e-36
C4A-AS1	ENSG00000233627.2	0.290	4.820	-2.174	1.66e-112
C4B-AS1	ENSG00000229776.1	0.290	4.820	-2.174	1.66e-112
C4BPB	ENSG00000123843.12	0.100	53.613	-5.634	1.42e-207
C4orf48	ENSG00000243449.6	50.801	4.730	3.176	2.92e-73
C5orf45	ENSG00000161010.14	11.355	63.284	-2.379	8.30e-118
C6	ENSG00000039537.13	0.100	5.145	-2.482	3.29e-113
C6orf132	ENSG00000188112.8	28.006	0.155	4.650	4.10e-169
C7	ENSG00000112936.18	6.245	1125.616	-7.281	1.04e-118
C8orf46	ENSG00000169085.11	0.480	5.850	-2.211	4.39e-128
C8orf49	ENSG00000255394.4	0.020	4.700	-2.482	4.14e-199
C8orf88	ENSG00000253250.2	1.105	8.935	-2.239	8.78e-79
C9orf116	ENSG00000160345.12	15.375	2.730	2.134	6.88e-67
C9orf16	ENSG00000171159.4	255.246	41.846	2.580	7.92e-113
C9orf72	ENSG00000147894.14	4.375	25.225	-2.287	3.57e-103
CA9	ENSG00000107159.12	8.300	0.580	2.557	8.06e-34
CAB39L	ENSG00000102547.18	3.150	16.455	-2.072	1.16e-94
CACNA1G	ENSG00000006283.17	0.260	4.250	-2.059	1.49e-95
CACNA1H	ENSG00000196557.10	1.020	123.656	-5.947	7.26e-222
CACNB2	ENSG00000165995.18	0.320	12.395	-3.343	3.78e-265
CACNG4	ENSG00000075461.5	9.870	0.030	3.400	4.17e-62
CALD1	ENSG00000122786.19	49.024	295.701	-2.568	1.72e-74
CAMK1	ENSG00000134072.10	9.065	45.760	-2.216	1.76e-114
CAMK1G	ENSG00000008118.9	0.670	15.480	-3.303	1.60e-110
CAMK2N1	ENSG00000162545.5	4.665	28.394	-2.375	4.74e-38
CAMSAP3	ENSG00000076826.9	15.920	0.585	3.416	1.15e-116
CAPG	ENSG00000042493.15	165.414	16.265	3.269	7.22e-119
CAPN13	ENSG00000162949.16	4.590	0.020	2.454	1.46e-49
CAPN3	ENSG00000092529.22	1.635	22.610	-3.164	2.08e-157
CAPRIN2	ENSG00000110888.17	6.485	34.502	-2.246	8.97e-96
CAPS2	ENSG00000180881.19	0.940	7.540	-2.138	5.30e-130
CARKD	ENSG00000213995.11	11.090	67.370	-2.500	1.08e-140
CASC15	ENSG00000272168.5	0.450	8.942	-2.777	1.38e-149
CASP12	ENSG00000204403.9	0.070	4.475	-2.355	2.22e-230
CASP9	ENSG00000132906.17	8.515	52.775	-2.499	1.09e-104
CAV1	ENSG00000105974.11	13.335	70.335	-2.315	8.89e-62
CBLC	ENSG00000142273.10	19.055	0.050	4.256	2.46e-126
CBX7	ENSG00000100307.12	5.355	66.816	-3.416	8.89e-141
CCBE1	ENSG00000183287.13	0.190	15.743	-3.815	1.56e-197
CCDC159	ENSG00000183401.11	17.450	74.341	-2.030	2.59e-84
CCDC167	ENSG00000198937.8	57.966	7.965	2.718	9.28e-107
CCDC180	ENSG00000197816.13	1.215	10.615	-2.391	1.55e-95
CCDC181	ENSG00000117477.12	0.525	5.810	-2.159	6.09e-50
CCDC183	ENSG00000213213.13	1.085	9.639	-2.351	2.15e-123
CCDC184	ENSG00000177875.4	0.670	6.125	-2.093	4.88e-89
CCDC36	ENSG00000173421.16	0.170	3.760	-2.024	1.07e-176
CCDC39	ENSG00000145075.11	0.250	9.904	-3.125	5.71e-185
CCDC64	ENSG00000135127.11	6.140	0.695	2.075	3.67e-45
CCDC64B	ENSG00000162069.14	6.685	0.080	2.831	7.58e-105
CCDC68	ENSG00000166510.13	0.460	12.290	-3.186	1.35e-185
CCDC69	ENSG00000198624.12	2.820	24.030	-2.712	3.91e-112
CCDC93	ENSG00000125633.10	4.470	21.145	-2.017	3.44e-88
CCL14	ENSG00000276409.4	1.605	19.090	-2.947	1.68e-53
CCL2	ENSG00000108691.9	53.656	7.560	2.675	6.31e-41
CCL20	ENSG00000115009.11	4.655	0.090	2.375	6.23e-33
CCL21	ENSG00000137077.7	1.325	15.574	-2.834	2.06e-23
CCL26	ENSG00000006606.8	0.335	14.519	-3.539	3.78e-173
CCL28	ENSG00000151882.11	13.705	1.240	2.715	7.26e-57
CCL3	ENSG00000277632.1	8.560	0.820	2.393	3.64e-45
CCL4	ENSG00000275302.1	10.350	1.735	2.053	2.78e-35
CCL5	ENSG00000271503.5	15.547	1.544	2.701	9.85e-36
CCNA1	ENSG00000133101.9	15.144	0.370	3.559	3.31e-56
CCNB1	ENSG00000134057.14	42.770	4.510	2.990	9.68e-111
CCNB2	ENSG00000157456.7	28.075	0.530	4.248	1.54e-157
CCND1	ENSG00000110092.3	32.388	3.690	2.832	2.03e-44
CCNE1	ENSG00000105173.13	20.695	0.835	3.564	8.29e-89
CCNL1	ENSG00000163660.11	36.320	165.374	-2.156	2.42e-84
CCNL2	ENSG00000221978.11	42.825	342.485	-2.970	3.67e-102
CD22	ENSG00000012124.14	4.175	173.711	-5.077	1.91e-99
CD24	ENSG00000272398.5	498.966	0.910	8.032	1.21e-198
CD302	ENSG00000241399.6	2.570	20.574	-2.595	1.23e-97
CD47	ENSG00000196776.14	179.363	28.330	2.620	1.43e-85
CD48	ENSG00000117091.9	8.505	0.860	2.354	1.36e-46
CD52	ENSG00000169442.8	28.625	1.760	3.424	7.94e-64
CD68	ENSG00000129226.13	50.235	5.869	2.899	1.96e-44
CD74	ENSG00000019582.14	2308.995	189.538	3.600	2.71e-65
CD9	ENSG00000010278.11	584.840	43.794	3.709	2.38e-114
CDAN1	ENSG00000140326.12	5.145	24.794	-2.070	6.09e-93
CDC20	ENSG00000117399.13	59.268	0.425	5.402	2.21e-185
CDC25C	ENSG00000158402.18	4.640	0.060	2.412	2.05e-110
CDC45	ENSG00000093009.9	6.380	0.305	2.500	2.63e-98
CDCA3	ENSG00000111665.11	27.704	4.735	2.323	4.22e-71
CDCA5	ENSG00000146670.9	17.084	0.585	3.512	5.90e-139
CDCA7	ENSG00000144354.13	7.615	0.660	2.376	1.65e-55
CDCA8	ENSG00000134690.10	13.460	0.485	3.284	3.19e-114
CDCP1	ENSG00000163814.7	10.530	0.185	3.283	4.59e-100
CDH1	ENSG00000039068.18	46.814	1.625	4.187	1.31e-132
CDH11	ENSG00000140937.13	11.035	111.329	-3.222	2.45e-48
CDH23	ENSG00000107736.19	2.090	42.064	-3.801	1.42e-121
CDH4	ENSG00000179242.15	0.050	4.755	-2.454	2.83e-120
CDH6	ENSG00000113361.12	21.515	0.565	3.847	8.87e-58
CDK1	ENSG00000170312.15	28.764	1.825	3.397	6.49e-129
CDK10	ENSG00000185324.21	22.955	98.666	-2.057	3.15e-73
CDK11A	ENSG00000008128.22	14.580	63.519	-2.050	9.58e-76
CDK15	ENSG00000138395.14	0.150	6.025	-2.611	4.70e-131
CDK5	ENSG00000164885.12	19.055	3.670	2.103	7.23e-105
CDK5RAP3	ENSG00000108465.14	60.810	252.011	-2.033	1.19e-89
CDKN1A	ENSG00000124762.13	19.595	163.098	-2.994	1.05e-85
CDKN1C	ENSG00000129757.12	24.135	172.493	-2.787	5.24e-73
CDKN2A	ENSG00000147889.16	258.057	0.635	7.308	1.78e-105
CDKN3	ENSG00000100526.19	22.675	1.410	3.296	2.54e-116
CDO1	ENSG00000129596.4	0.470	13.362	-3.288	5.20e-126
CDON	ENSG00000064309.14	3.830	21.194	-2.200	1.54e-61
CDR2L	ENSG00000109089.7	23.535	2.385	2.858	9.37e-72
CDRT4	ENSG00000239704.10	1.685	16.398	-2.696	7.05e-108
CDT1	ENSG00000167513.8	15.565	0.475	3.489	6.28e-124
CEBPA	ENSG00000245848.2	6.730	0.755	2.139	1.39e-51
CECR7	ENSG00000237438.6	1.105	13.535	-2.788	3.64e-75
CELA3A	ENSG00000142789.19	0.000	3.695	-2.231	3.64e-101
CELF2	ENSG00000048740.17	2.800	23.910	-2.713	9.17e-98
CELF6	ENSG00000140488.14	0.725	14.795	-3.195	5.69e-143
