"","node_1","node_2","score"
"1216","ITGB4","JUP",0.539
"2403","EPS8L1","ESPN",0.445
"1110","ITGB4","SDC1",0.771
"1917","TFAP2C","CITED2",0.83
"502","LAG3","HLA-DQA1",0.499
"2527","TFAP2C","TFAP2A",0.892
"887","TFAP2C","CITED4",0.63
"326","ITGB4","LAMB2",0.499
"488","ITGB4","CAV1",0.651
"1610","LAG3","HLA-DQB2",0.52
"1975","ITGB4","ITGA7",0.658
"1333","LAG3","LGALS9",0.976
"2522","LAG3","SNCA",0.88
"776","ITGB4","PVRL4",0.585
"84","ITGB4","LAMC2",0.562
"654","LAG3","HLA-DRB1",0.504
"1713","LAG3","HLA-DPB1",0.514
"989","LAG3","HLA-DRB5",0.52
"1330","LAG3","HLA-DRA",0.708
"1578","LAG3","HLA-DPA1",0.562
"1352","CHRD","BMP7",0.489
"983","LAG3","HLA-DQB1",0.52
"1162","KRT23","KRT18",0.4
"18","KRT23","KRT13",0.4
"2001","TGFBR3","IGKV2D-28",0.8
"91","TGFBR3","FGF2",0.416
"721","KRT23","KRT19",0.4
"334","KRT23","KRT17",0.4
"1315","MISP","CDK1",0.451
"11","TGFBR3","INHA",0.864
"117","MISP","ANLN",0.422
"6","MAPK12","DUSP1",0.457
"2305","MAPK12","CDH4",0.499
"437","MIF","KRT7",0.729
"455","MAPK12","MAPK11",0.677
"206","FGF22","FGFR4",0.93
"796","MIF","HTRA1",0.637
"508","MAPK12","MEF2C",0.605
"2476","MIF","GS1-358P8.4",0.61
"2132","MIF","CCL5",0.477
"1191","MAPK12","CDON",0.499
"1536","MIF","CXCR4",0.98
"59","MAPK12","SPAG9",0.524
"82","MIF","CAPG",0.42
"3","MIF","CCL2",0.56
"149","FGF22","FGF18",0.4
"476","CENPM","CENPA",0.974
"130","FGF22","FGF7",0.4
"13","FGF22","PLCG1",0.499
"451","FGF22","FLRT2",0.499
"2413","USP18","ISG15",0.875
"784","CENPM","CENPW",0.972
"16","CENPM","HIST1H4C",0.895
"92","FGF22","FGF2",0.4
"105","FGF22","FGF10",0.4
"165","CENPM","CENPU",0.993
"1105","FGF22","SDC1",0.632
"497","HMOX1","CAV1",0.487
"113","HMOX1","STC2",0.41
"1771","CENPM","HJURP",0.499
"1396","BIK","BCL2",0.991
"2029","CENPM","CENPT",0.982
"1207","CENPM","CENPN",0.994
"1662","NID2","LAMA2",0.686
"2493","CBX7","HIST2H3PS2",0.914
"184","CBX7","BUB1B",0.72
"594","CBX7","UBE2C",0.72
"97","CBX7","UBE2S",0.72
"2334","CBX7","RAD51",0.72
"525","PMM1","ABCA9",0.509
"639","NID2","ELN",0.55
"85","NID2","NID1",0.772
"1693","CBX7","EZH1",0.9
"1077","NID2","AGRN",0.574
"327","NID2","LAMB2",0.62
"1834","AURKA","FBXL7",0.499
"428","AURKA","TACC3",0.984
"283","AURKA","BIRC5",0.875
"1308","AURKA","CDK1",0.654
"915","AURKA","CDCA8",0.599
"2254","AURKA","FAM83D",0.457
"870","CBX7","CDC20",0.54
"671","AURKA","RRM2",0.512
"272","AURKA","TPX2",0.999
"1364","AURKA","DDX17",0.497
"764","AURKA","ASPM",0.414
"98","AURKA","UBE2S",0.499
"1227","AURKA","PTTG1",0.459
"872","AURKA","CDC20",0.49
"28","AURKA","CCNB1",0.445
"355","AURKA","AURKB",0.742
"194","AURKA","CCNB2",0.769
"531","MYBL2","FOXM1",0.99
"592","AURKA","UBE2C",0.778
"267","AURKA","PLK1",0.879
"399","AURKA","TACC1",0.638
"8","MMP2","LRP1",0.41
"444","MMP2","CTHRC1",0.559
"37","MMP2","MMP7",0.776
"25","MYBL2","CCNA1",0.658
"257","MMP2","ANPEP",0.447
"638","MMP2","ELN",0.512
"75","MMP2","TIMP2",0.999
"41","MMP2","THBS1",0.664
"863","MMP2","MMP9",0.9
"906","MMP2","LCN2",0.74
"1279","MMP2","SPP1",0.586
"408","MMP2","COL12A1",0.477
"2013","MMP2","LDLR",0.422
"73","MMP15","TIMP2",0.403
"196","SFRP1","WNT4",0.572
"1592","CLASRP","CLK1",0.443
"889","MMP2","WFDC2",0.559
"441","NOD1","CASP9",0.691
"2358","TSPAN12","NDP",0.947
"2457","ABHD11","FAS",0.404
"433","ABHD11","COL10A1",0.418
"1836","APLP1","APBB2",0.649
"2161","APLP1","APBB1",0.859
"2033","APLP1","SPON1",0.554
"565","APLP1","APBB3",0.463
"730","COMP","CD47",0.661
"1195","COMP","TAGLN",0.421
"2037","NOD1","NLRP1",0.648
"380","NOD1","BID",0.418
"5","SERPINE1","IGFBP5",0.586
"566","SERPINE1","ANXA6",0.42
"1169","SERPINE1","KLK8",0.54
"2388","ACTA2","TPM2",0.557
"895","SERPINE1","PLAU",0.999
"761","ACTA2","LMOD1",0.526
"411","ACTA2","MYLPF",0.57
"36","SERPINE1","MMP7",0.596
"1125","SERPINE1","VLDLR",0.841
"2135","SERPINE1","CCL5",0.453
"1218","CDH23","JUP",0.642
"2315","ACTA2","MYH14",0.904
"111","CDH23","CDH6",0.54
"134","CDH23","CDH11",0.54
"7","SERPINE1","LRP1",0.978
"86","SERPINE1","CSTA",0.54
"1063","ACTA2","KLF5",0.402
"1355","ACTA2","MYH11",0.927
"699","ACTA2","CALD1",0.528
"1405","ACTA2","LCP1",0.4
"253","CDH23","DCHS1",0.54
"2303","CDH23","CDH4",0.54
"2114","CCL2","CXCL17",0.734
"53","CDH23","CDH1",0.54
"2165","RASD1","APBB1",0.555
"2467","ACTA2","TPM3",0.557
"2142","CCL2","CCL5",0.96
"1540","CCL2","CXCR4",0.993
"2272","CCL2","CCL4",0.53
"632","CCL2","CCL20",0.633
"1267","CCL2","CCL26",0.808
"706","CCL2","CXCL9",0.801
"778","CCL2","ACKR1",0.986
"1448","KAT2A","TRAC",0.406
"2152","KAT2A","HIST1H2BJ",0.499
"17","KAT2A","HIST1H4C",0.828
"429","KAT2A","TACC3",0.74
"99","KAT2A","THRA",0.65
"1414","KAT2A","RUNX3",0.499
"2499","KAT2A","HIST2H3PS2",0.698
"560","KAT2A","E2F1",0.457
"2017","KAT2A","TAF1C",0.499
"2199","KAT2A","HIST1H2BH",0.499
"1932","KAT2A","HIST2H2BF",0.499
"800","KAT2A","HIST2H2AA4",0.499
"606","KAT2A","HIST1H2BK",0.499
"1775","KAT2A","MAMLD1",0.499
"236","HLF","NFIL3",0.41
"376","HLF","COX5A",0.412
"1099","SPI1","MUM1",0.991
"407","CCND1","PGR",0.457
"1572","SPI1","MITF",0.94
"72","CCND1","CCNE1",0.722
"1845","SPI1","CEBPA",0.943
"1037","SPI1","TLE4",0.428
"342","CCND1","CKS1B",0.544
"1398","CCND1","BCL2",0.485
"27","CCND1","CCNB1",0.638
"255","SPI1","CENPV",0.831
"1478","CCND1","CDKN1A",0.999
"2332","CCND1","RAD51",0.509
"1828","CCND1","CDK5",0.772
"1413","CCND1","RUNX3",0.709
"442","CCND1","CASP9",0.429
"188","CCND1","CCNB2",0.518
"835","CCND1","TACSTD2",0.412
"1293","CCND1","CDK1",0.974
"1809","CCND1","CDKN2A",0.46
"1766","CCND1","CDKN1C",0.965
"2321","RAD51AP1","RAD51",0.896
"482","VDR","ZBTB16",0.457
"159","RAD51AP1","ATM",0.499
"1412","RAD51AP1","RBBP8",0.499
"548","GNB3","ESR2",0.505
"526","OAS3","OAS2",0.915
"1547","OAS3","OAS1",0.918
"637","MGP","ELN",0.41
"1275","MGP","SPP1",0.535
"1433","VDR","TRAC",0.457
"21","GNB3","ARHGEF6",0.499
"19","GNB3","GNG11",0.895
"344","GNB3","ADCY6",0.499
"1053","GNB3","GABBR1",0.499
"56","GNB3","GNB5",0.693
"979","HLA-DOA","HLA-DQB1",0.595
"1641","GNB3","GNG4",0.914
"161","GNB3","ADRA2A",0.558
"1130","GNB3","GNG7",0.916
"1509","GNB3","ADRA2C",0.558
"1049","GNB3","GNA14",0.664
"14","FGFR1OP2","PLCG1",0.499
"1576","HLA-DOA","HLA-DPA1",0.924
"1609","HLA-DOA","HLA-DQB2",0.559
"504","HLA-DOA","HLA-DQA1",0.54
"990","HLA-DOA","HLA-DRB5",0.559
"1328","HLA-DOA","HLA-DRA",0.938
"653","HLA-DOA","HLA-DRB1",0.904
"395","MAPRE3","TUBB3",0.912
"1651","HLA-DOA","HLA-DMB",0.904
"977","HLA-DOA","HLA-DMA",0.966
"1706","HLA-DOA","HLA-DPB1",0.911
"1047","MAPRE3","CTTN",0.595
"42","TFPI","THBS1",0.723
"462","TFPI","F3",0.98
"1006","TFPI","F10",0.99
"83","MAPRE3","TUBB4A",0.473
"1901","ACADL","ACADVL",0.9
"672","TFPI","CTRB1",0.401
"831","TFPI","SRSF11",0.424
"2444","MAPRE3","DLG4",0.564
"307","TFPI","CTRB2",0.401
"1750","ATP6V1B1","ATP6V0E2",0.818
"1885","ID2","GATA4",0.665
"1273","IGFBP5","SPP1",0.52
"35","IGFBP5","IL1RN",0.535
"281","IGFBP5","IGFBP6",0.54
"67","ATP6V1B1","SLC9A3R1",0.404
"1541","IGFBP5","FHL2",0.523
"39","IGFBP5","THBS1",0.691
"843","SLC19A2","TSPAN1",0.707
"1048","RGS2","GNA14",0.579
"1211","DOPEY1","MON2",0.624
"1816","PKD2","TRPC1",0.979
"64","PKD2","PKD1",0.999
"485","NEK9","NPHP3",0.912
"1526","ELL2","AFF3",0.54
"436","HOXB7","HOXB4",0.8
"930","NEK9","NEK6",0.913
"10","HOXB7","HOXC6",0.852
"1735","NEK9","GABARAPL1",0.644
"315","NEK9","ANKS3",0.424
"23","NCAPH","NCAPG",0.999
"528","PRRX1","FOXM1",0.431
"717","NCAPH","SMC5",0.564
"453","DUSP1","MAPK11",0.458
"1350","MND1","BMP7",0.431
"2331","MND1","RAD51",0.776
"472","GSTM2","GSTA1",0.522
"675","GSTM2","GSTM3",0.984
"29","GSTM2","GSTM5",0.833
"338","DUSP1","CKS1B",0.6
"349","GSTM2","GSTM1",0.828
"467","WIPF3","WASF3",0.4
"198","GSTM2","GSTT2B",0.499
"1354","PDE1B","PDE1C",0.951
"30","LRP1","SORT1",0.433
"40","LRP1","THBS1",0.895
"235","BHLHE41","NFIL3",0.9
"1459","BHLHE41","ARNTL",0.696
"1550","WIPF3","ARPC1B",0.499
"854","LRP1","MMP9",0.794
"2173","BHLHE41","CRY2",0.514
"568","LRP1","ANXA6",0.908
"435","HOXC6","HOXB4",0.8
"2436","LRP1","DLG4",0.892
"1513","LRP1","GULP1",0.69
"2159","LRP1","APBB1",0.793
"215","U1","LUC7L",0.834
"1199","U1","LUC7L3",0.647
"577","U1","PRPF39",0.624
"1090","RAB9B","RHOBTB3",0.728
"1959","U1","PRPF40B",0.624
"1367","U1","DDX17",0.422
"250","C4BPB","C2",0.499
"1504","U1","OBSL1",0.457
"2122","U1","SNRNP70",0.999
"217","INHA","INHBB",0.772
"1558","PLCG1","PRKD1",0.517
"1238","C4BPB","PROS1",0.716
"93","PLCG1","FGF2",0.499
"2063","PI3","EVPL",0.734
"123","PI3","ERBB3",0.408
"1794","PI3","SPRR2F",0.64
"155","PLCG1","NTRK2",0.856
"205","PLCG1","FGFR4",0.727
"31","PLCG1","PDGFRA",0.858
"1018","PLCG1","SYK",0.984
"810","PLCG1","FCGR1A",0.499
"70","PLCG1","TYROBP",0.499
"918","PLCG1","TREM2",0.499
"54","PLCG1","PDGFRB",0.996
"306","PLCG1","INSR",0.526
"103","PLCG1","FGF10",0.499
"538","PLCG1","PLD1",0.497
"127","PLCG1","FGF7",0.499
"771","PLCG1","FCGR3A",0.499
"1815","PLCG1","TRPC1",0.45
"2409","PLCG1","ISG15",0.499
"1619","PLCG1","NTF3",0.499
"187","PLCG1","KIT",0.542
"423","HIST1H4C","SRRM1",0.421
"2443","PLCG1","DLG4",0.4
"814","PLCG1","NGF",0.499
"2005","PLCG1","IGKV2D-28",0.499
"146","PLCG1","FGF18",0.499
"478","HIST1H4C","CENPA",0.999
"967","HIST1H4C","KIF4A",0.457
"419","U3","PPP1CA",0.457
"1740","HIST1H4C","TOP2A",0.457
"1688","HIST1H4C","RACGAP1",0.457
"2410","HIST1H4C","ISG15",0.42
"1770","HIST1H4C","HJURP",0.998
"799","HIST1H4C","HIST2H2AA4",0.999
"542","HIST1H4C","TRIM29",0.457
"598","HIST1H4C","HNRNPH1",0.431
"1933","HIST1H4C","VIM",0.457
"44","HIST1H4C","KIF23",0.457
"1656","HIST1H4C","HMGA1",0.457
"109","HIST1H4C","MCM2",0.953
"2202","HIST1H4C","HIST1H2BH",0.949
"2333","HIST1H4C","RAD51",0.499
"2276","HIST1H4C","REC8",0.499
"1299","HIST1H4C","CDK1",0.458
"171","HIST1H4C","TCF7L1",0.451
"157","HIST1H4C","ATM",0.499
"2500","HIST1H4C","HIST2H3PS2",0.966
"2213","HIST1H4C","UHRF1",0.63
"933","HIST1H4C","CRB2",0.644
"2082","HIST1H4C","KIF18B",0.457
"1439","HIST1H4C","TRAC",0.457
"609","HIST1H4C","HIST1H2BK",0.99
"2025","HIST1H4C","CENPT",0.895
"1574","HIST1H4C","CHD7",0.687
"1208","HIST1H4C","CENPN",0.947
"48","HIST1H4C","LMNB1",0.422
"2150","HIST1H4C","HIST1H2BJ",0.977
"173","HIST1H4C","XPC",0.457
"61","HIST1H4C","MCM4",0.556
"787","HIST1H4C","CENPW",0.895
"78","HIST1H4C","ASF1B",0.967
"426","HIST1H4C","PAGR1",0.63
"234","HIST1H4C","DEFB1",0.823
"1156","HIST1H4C","KRT18",0.457
"968","HIST1H4C","PHF1",0.63
"268","HIST1H4C","PLK1",0.499
"1259","HIST1H4C","KIF20A",0.457
"167","HIST1H4C","CENPU",0.895
"1930","HIST1H4C","HIST2H2BF",0.93
"2158","HIST1H4C","APBB1",0.499
"718","KRT13","KRT19",0.552
"926","SOX9","NR5A1",0.926
"1883","SOX9","GATA4",0.935
"1445","NR1D1","TRAC",0.886
"993","COL21A1","COL15A1",0.4
"2190","COL21A1","P3H3",0.499
"938","COL21A1","COL16A1",0.4
"409","COL21A1","COL12A1",0.4
"431","COL21A1","COL10A1",0.4
"239","COL21A1","COL14A1",0.58
"891","COL21A1","COL9A2",0.4
"507","COL21A1","C1QTNF1",0.61
"1760","HCST","MICA",0.499
"1021","HCST","SYK",0.755
"69","HCST","TYROBP",0.636
"1520","GLTSCR2","RPL31",0.484
"333","KRT13","KRT17",0.435
"1051","GNG11","GNA14",0.595
"1158","KRT13","KRT18",0.4
"744","KLF2","PROX1",0.41
"45","DLGAP5","KIF11",0.751
"1746","DLGAP5","TOP2A",0.4
"273","DLGAP5","TPX2",0.416
"241","DLGAP5","MELK",0.563
"762","DLGAP5","ASPM",0.489
"361","DLGAP5","AURKB",0.633
"193","DLGAP5","CCNB2",0.516
"22","TUBGCP6","TUBG2",0.894
"690","ATP1B2","ATP1A2",0.971
"973","ALDH1A2","AOX1",0.9
"237","ALDH1A2","ALDH1A1",0.912
"116","CD68","LAMP3",0.9
"1372","CD68","GAPDH",0.61
"346","GNG11","ADCY6",0.499
"57","GNG11","GNB5",0.622
"1506","GNG11","ADRA2C",0.499
"1055","GNG11","GABBR1",0.499
"1137","GNG11","GNG7",0.54
"199","ATP1B2","FXYD2",0.933
"2484","ATP1B2","KCNJ8",0.54
"160","GNG11","ADRA2A",0.499
"621","ATP1B2","PLN",0.72
"550","GNG11","ESR2",0.499
"20","GNG11","ARHGEF6",0.499
"1911","ATP1B2","FXYD6",0.585
"100","EGLN3","THRA",0.41
"114","ATP1B2","ABCB6",0.72
"2247","ATP1B2","FXYD1",0.9
"47","ATP1B2","ABCC9",0.54
"2130","ATP1B2","FXYD3",0.499
"1061","EGLN3","HIF3A",0.639
"2498","EGLN3","HIST2H3PS2",0.649
"1642","GNG11","GNG4",0.571
"1138","ARHGEF6","GNG7",0.499
"58","ARHGEF6","GNB5",0.499
"1636","ARHGEF6","GNG4",0.499
"1479","GADD45G","CDKN1A",0.457
"459","NCAPG","INTU",0.453
"1313","GADD45G","CDK1",0.75
"716","NCAPG","SMC5",0.512
"24","SAFB2","RBM39",0.422
"26","GADD45G","CCNB1",0.807
"245","RBM39","LRRK2",0.457
"540","RBM39","RBM5",0.8
"830","RBM39","SRSF11",0.764
"32","RBM39","TBX3",0.625
"1202","RBM39","LUC7L3",0.827
"292","RBM39","SRRM2",0.885
"1516","RBM39","RPL31",0.422
"425","RBM39","SRRM1",0.835
"2416","RBM39","PNISR",0.493
"416","PPP1R1B","PPP1CA",0.731
"140","RHPN2","RHOB",0.893
"509","NUP210","MEF2C",0.62
"2309","RBM39","XIST",0.457
"225","RBM39","TTC14",0.487
"1788","SERPINF1","SERPINA1",0.643
"501","SERPINF1","CAV1",0.433
"2019","SNAP25","PRRT2",0.937
"2380","SNAP25","SLC18A2",0.499
"564","SNAP25","BZRAP1",0.499
"1674","SNAP25","ZDHHC17",0.581
"1380","SNAP25","RAPGEF4",0.618
"1181","SNAP25","STX2",0.825
"1596","SNAP25","PTPN13",0.4
"143","SNAP25","STXBP5L",0.622
"1813","SNAP25","TRPC1",0.414
"2283","SNAP25","DOC2A",0.626
"1796","SNAP25","VAMP2",0.999
"500","SNAP25","CAV1",0.406
"81","SNAP25","VAMP8",0.953
"375","CHI3L1","COX5A",0.429
"905","CHI3L1","LCN2",0.517
"652","CHI3L1","HLA-DRB1",0.585
"1116","CHI3L1","SDC1",0.525
"231","FABP4","FABP5",0.474
"280","CCNA1","CDT1",0.457
"52","FABP4","SCARB1",0.514
"186","FABP4","PPARG",0.764
"1277","LYVE1","SPP1",0.454
"1860","DUSP26","HSF4",0.474
"1822","CCNA1","CDK5",0.515
"871","CCNA1","CDC20",0.808
"158","CCNA1","ATM",0.499
"227","CCNA1","MAD2L1",0.499
"593","CCNA1","UBE2C",0.499
"62","CCNA1","MCM4",0.683
"1739","CCNB1","TOP2A",0.78
"96","CCNA1","UBE2S",0.499
"340","CCNA1","CKS1B",0.714
"71","CCNA1","CCNE1",0.82
"1826","CCNB1","CDK5",0.503
"189","CCNB1","CCNB2",0.991
"1028","CCNA1","CKS2",0.658
"1467","CCNA1","CDKN1A",0.993
"182","CCNA1","BUB1B",0.499
"561","CCNA1","E2F1",0.983
"1767","CCNB1","CDKN1C",0.663
"1854","CCNB1","PBK",0.464
"367","CCNB1","TYMS",0.463
"179","CCNB1","BUB1B",0.916
"1468","CCNB1","CDKN1A",0.775
"286","CCNB1","BIRC5",0.656
"1807","CCNB1","CDKN2A",0.431
"763","CCNB1","ASPM",0.457
"680","CCNB1","CCL28",0.422
"60","CCNB1","MCM4",0.537
"384","CCNB1","SKA3",0.72
"881","CCNB1","CDC20",0.931
"63","CCNB1","PKMYT1",0.595
"527","CCNB1","FOXM1",0.608
"514","CCNB1","SFN",0.501
"1080","CCNB1","FOXO1",0.657
"1768","CCNA1","CDKN1C",0.7
"260","CCNB1","PLK1",0.967
"1411","CCNA1","RBBP8",0.499
"1311","CCNA1","CDK1",0.999
"1212","CCNB1","HMMR",0.469
"49","CCNB1","NDC80",0.774
"341","CCNB1","CKS1B",0.986
"34","CCNB1","ESPL1",0.978
"240","CCNB1","MELK",0.619
"743","CCNB1","CENPF",0.72
"1295","CCNB1","CDK1",0.999
"95","CCNB1","UBE2S",0.499
"397","CCNB1","CDC25C",0.527
"300","CCNB1","BUB1",0.615
"1071","CCNB1","RGCC",0.555
"469","GSTM5","GSTA1",0.522
"677","GSTM5","GSTM3",0.819
"1571","CAMK1","PTPN6",0.5
"175","CCNB1","SKA1",0.72
"813","SORT1","NGF",0.978
"1858","SORT1","TPD52",0.499
"347","GSTM5","GSTM1",0.796
"197","GSTM5","GSTT2B",0.499
"1030","CCNB1","CKS2",0.987
"588","CCNB1","UBE2C",0.816
"2069","SORT1","AP1M2",0.499
"1617","SORT1","NTF3",0.639
"80","SORT1","VAMP8",0.499
"1801","SORT1","VAMP2",0.671
"798","SORT1","CTSS",0.437
"55","PDGFRA","PDGFRB",0.969
"2339","PDGFRA","CBLC",0.65
"152","SORT1","NTRK2",0.682
"211","PDGFRA","STAT5B",0.499
"1995","PDGFRA","IGKV2D-28",0.8
"753","SEMA6A","PLXNA2",0.996
"89","PDGFRA","FGF2",0.836
"1675","PDGFRA","GRB7",0.502
"1866","PDGFRA","JAK3",0.65
"1197","PDGFRA","PDGFD",0.952
"2412","OASL","ISG15",0.668
"104","TBX3","FGF10",0.497
"1811","CMAHP","MAR2",0.465
"1228","ESPL1","PTTG1",0.999
"756","FHOD1","SYNE1",0.957
"627","FHOD1","SYNE2",0.988
"1877","AMHR2","RPS6KA1",0.424
"818","ESPL1","TTK",0.42
"1309","ESPL1","CDK1",0.946
"335","ESPL1","CKS1B",0.8
"136","IL1RN","IGFBP4",0.495
"1525","RSAD1","RPL31",0.499
"138","CTSV","CTSK",0.614
"1852","GYPC","DMTN",0.718
"779","GYPC","EPB41L2",0.407
"620","GYPC","ANK2",0.404
"87","CTSV","CSTA",0.939
"681","CCL21","CCL28",0.734
"626","GYPC","FAM3B",0.4
"2117","CCL21","CXCL17",0.734
"1239","MMP7","EFEMP1",0.447
"2138","CCL21","CCL5",0.81
"74","MMP7","TIMP2",0.791
"1266","CCL21","CCL26",0.772
"319","CCL21","CXCL10",0.817
"322","CCL21","CXCL11",0.734
"387","MMP7","NQO1",0.404
"864","MMP7","MMP9",0.746
"1274","MMP7","SPP1",0.48
"1535","CCL21","CXCR4",0.993
"1108","THBS1","SDC1",0.949
"1334","MMP7","MFAP4",0.451
"727","THBS1","CD47",0.983
"79","THBS1","TYRO3",0.469
"94","THBS1","FGF2",0.52
"51","THBS1","SCARB1",0.982
"400","THBS1","SERPINF2",0.763
"569","THBS1","ANXA6",0.42
"1129","THBS1","VLDLR",0.871
"703","CCL21","CXCL9",0.855
"857","THBS1","MMP9",0.93
"1587","KIF23","KIFC1",0.596
"752","THBS1","HSD11B1",0.426
"263","KIF23","PLK1",0.654
"1255","KIF23","KIF20A",0.66
"365","KIF23","AURKB",0.491
"838","KIF23","CEP55",0.652
"1187","KIF23","ECT2",0.988
"852","KIF23","KIF2C",0.575
"1685","KIF23","RACGAP1",0.999
"118","KIF23","ANLN",0.511
"46","KIF23","KIF11",0.669
"962","KIF23","KIF12",0.54
"1744","KIF23","TOP2A",0.407
"1891","KIF23","KIF1A",0.564
"1589","KIF11","KIFC1",0.54
"2084","KIF23","KIF18B",0.568
"964","KIF11","KIF12",0.54
"177","KIF11","BUB1B",0.544
"1691","KIF11","RACGAP1",0.412
"535","KIF11","FOXM1",0.4
"1260","KIF11","KIF20A",0.567
"1894","KIF11","KIF1A",0.54
"2080","KIF11","KIF18B",0.54
"846","KIF11","KIF2C",0.6
"869","KIF11","CDC20",0.487
"115","ABCC9","ABCB6",0.54
"622","ABCC9","PLN",0.54
"686","ABCC9","ATP1A2",0.54
"1303","KIF11","CDK1",0.682
"201","ABCC9","FXYD2",0.54
"2482","ABCC9","KCNJ8",0.992
"2245","ABCC9","FXYD1",0.54
"1736","LMNB1","GABARAPL1",0.437
"132","PPWD1","DHX38",0.8
"956","LMNB1","ZWINT",0.724
"293","PPWD1","SRRM2",0.8
"1249","LMNB1","KIF20A",0.49
"628","LMNB1","SYNE2",0.808
"1498","LMNB1","SUN2",0.839
"757","LMNB1","SYNE1",0.808
"1318","LMNB1","CDK1",0.506
"125","LMNB1","RHOF",0.552
"537","SNCAIP","PLD1",0.467
"243","LMNB1","LRRK2",0.457
"1938","LMNB1","VIM",0.42
"1431","LMNB1","SUN1",0.931
"2524","SNCAIP","SNCA",0.997
"313","CYBA","RAC3",0.81
"276","NDC80","CDT1",0.497
"581","CYBA","SH3PXD2A",0.631
"958","NDC80","ZWINT",0.868
"166","NDC80","CENPU",0.621
"381","NDC80","SKA3",0.72
"137","NDC80","NUF2",0.999
"181","NDC80","BUB1B",0.755
"261","NDC80","PLK1",0.774
"735","NDC80","CENPF",0.752
"418","NDC80","PPP1CA",0.51
"2042","NDC80","SPC24",0.999
"295","NDC80","BUB1",0.725
"750","NDC80","NEK2",0.809
"169","NDC80","SPC25",0.993
"174","NDC80","SKA1",0.83
"254","CDH1","DCHS1",0.54
"666","SCARB1","CLDN7",0.574
"1484","SCARB1","SAA1",0.802
"667","CDH1","CLDN7",0.509
"65","CDH1","PKD1",0.512
"1045","CDH1","CTTN",0.648
"214","CDH1","AQP5",0.403
"591","CDH1","UBE2C",0.487
"1185","CDH1","ECT2",0.458
"726","CDH1","SOX15",0.726
"731","SCARB1","CD47",0.982
"499","SCARB1","CAV1",0.897
"223","SCARB1","CLDN1",0.673
