"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000165304",-4.14337903094026,3.9059636284948,245.296969682107,2.75284016871561e-55,6.99804357242433e-53
"ENSG00000157456",-3.70400844836325,4.3762965975381,244.12204943475,4.96530490854824e-55,1.24756172632454e-52
"ENSG00000241684",4.64058632628753,1.96253670999289,243.244067035518,7.71566672999424e-55,1.91632329542202e-52
"ENSG00000152578",6.85015969859417,2.9027054834032,242.982860375233,8.79680961903936e-55,2.16001661645685e-52
"ENSG00000159648",5.59196435471153,-0.529295777436236,242.952565643436,8.93162472608836e-55,2.16847805709345e-52
"ENSG00000164007",6.93936491982299,2.05052773583629,242.259906567866,1.26460367034459e-54,3.03617290097844e-52
"ENSG00000148053",5.04076942811379,7.73027780859862,241.351070613204,1.99579164770215e-54,4.73901823335693e-52
"ENSG00000158402",-4.41946206069564,2.55440053830701,241.208535903424,2.14384536380511e-54,5.03524028490227e-52
"ENSG00000171320",-3.90518118820617,3.16750869768489,239.977797054373,3.97691912486735e-54,9.24013639248749e-52
"ENSG00000187699",4.03183682742426,3.32788450335452,238.980857232158,6.56033577480365e-54,1.50803973853146e-51
"ENSG00000149090",5.03390139593918,5.31894087378321,237.600514702282,1.31193151990279e-53,2.98402276653257e-51
"ENSG00000134690",-3.52053528786661,4.42335925359454,237.570496561513,1.33185434661618e-53,2.99778215850858e-51
"ENSG00000100146",8.45085191301624,5.73785601414565,236.925083428459,1.8415871123447e-53,4.10237261067468e-51
"ENSG00000029559",-7.81853186821308,1.20873852784284,236.089794087471,2.80113219337651e-53,6.17621065657954e-51
"ENSG00000072163",2.79908744525254,5.47379496075496,234.816599610364,5.30846200726203e-53,1.15863885912038e-50
"ENSG00000046653",3.05846168322264,4.96100429103639,233.659546841882,9.49037106151278e-53,2.05067937897168e-50
"ENSG00000151725",-3.03336315765611,4.65703810036138,233.291667572049,1.14158023994141e-52,2.44230354699545e-50
"ENSG00000086570",5.60999608247247,5.0221884376302,231.366230654682,3.00188614313596e-52,6.35928978243939e-50
"ENSG00000233766",6.81626026216653,-1.78131351536266,229.862557957071,6.38728714335721e-52,1.33996602518119e-49
"ENSG00000094804",-3.45074324280867,4.47874398050304,229.141009114725,9.1764703125898e-52,1.90658817802347e-49
"ENSG00000146670",-3.77475691693037,4.72049343894269,227.570333151783,2.01940952282881e-51,4.15575247326523e-49
"ENSG00000172987",6.31138986573593,2.46574205064861,226.514750053335,3.43116997331311e-51,6.99440762107073e-49
"ENSG00000171243",6.31652762470826,3.96215341852798,226.305428497645,3.81149060264236e-51,7.69707373288749e-49
"ENSG00000286647",8.63982243817903,0.441271800490145,226.088823796277,4.24948309633894e-51,8.50211395793443e-49
"ENSG00000135451",-4.29104827916354,3.4271441451488,226.031519786169,4.37354985839021e-51,8.67006104037574e-49
"ENSG00000115593",8.59187334024857,3.3755453614522,225.042783414318,7.18586665235884e-51,1.41156551476518e-48
"ENSG00000186185",-4.39630079429226,3.31748548593788,224.973133226348,7.44166528579322e-51,1.44864417563441e-48
"ENSG00000277639",4.77740148745669,3.09886892629966,224.607585959016,8.941240097037e-51,1.72502067872121e-48
"ENSG00000277270",6.70053296295013,-1.51997085915934,224.111214249247,1.14725439453605e-50,2.1937940670031e-48
"ENSG00000129173",-4.4125771813498,2.69115163866593,223.072421516898,1.93299499904143e-50,3.66387332800765e-48
"ENSG00000184661",-3.42501137623867,2.94239583576361,222.717499725259,2.31016900488201e-50,4.34070711804264e-48
"ENSG00000182481",-2.81546418212864,7.37497566170584,222.528184098168,2.54059918938252e-50,4.73252304173943e-48
"ENSG00000184384",2.79457077916757,5.80481635007965,221.096141455361,5.21542649964917e-50,9.63204579524951e-48
"ENSG00000136158",3.44608326109158,5.19009454920559,220.709498004065,6.33322755319894e-50,1.1597320421146e-47
"ENSG00000077264",4.36249476862983,3.31784956469576,220.306167361313,7.75534083814107e-50,1.40821348597103e-47
"ENSG00000152253",-3.76373750232443,2.77548800013491,219.675938480715,1.06431431423559e-49,1.91647530850021e-47
"ENSG00000170549",5.60677650982762,3.46989112943281,219.15118793186,1.38526460676349e-49,2.47378492751615e-47
"ENSG00000168497",5.23421515048109,5.94042072261545,219.079664419716,1.43593281328689e-49,2.54324887127075e-47
"ENSG00000102384",-3.08015606177398,2.80098037003769,218.69449298204,1.74241551957004e-49,3.0609849225097e-47
"ENSG00000164109",-2.96683310023099,4.57168897563369,217.304360108628,3.50257569840906e-49,6.10352062025992e-47
"ENSG00000154928",4.1149562082246,3.73136481381322,216.957909320023,4.16832640260788e-49,7.20553575260409e-47
"ENSG00000165197",6.62236694875587,4.20781969468421,216.219532389965,6.03992896411423e-49,1.03579988140143e-46
"ENSG00000141750",8.56908351807343,6.45533968169567,215.730905041011,7.72009675271839e-49,1.31351063490346e-46
"ENSG00000228307",4.65416271323882,-0.566643278788611,215.605082150436,8.22375898984101e-49,1.38827331447254e-46
"ENSG00000006210",4.20239128962993,7.77169501084159,215.470899856845,8.79714290424376e-49,1.47355553391395e-46
"ENSG00000198826",-3.00852174219643,4.01011391523887,214.90312727812,1.17003710710536e-48,1.94478167771789e-46
"ENSG00000109846",5.27471529101986,8.03640574145953,214.651062820062,1.32796694026609e-48,2.19043585078394e-46
"ENSG00000035499",-4.03209721594709,2.59344900514115,214.112773411267,1.74026579672107e-48,2.84876237390522e-46
"ENSG00000234810",5.53041556224724,-0.856203067384551,213.154449631332,2.81629486567468e-48,4.57552627499989e-46
"ENSG00000250971",4.38024116990233,-1.0591473934326,212.431100940041,4.05025780311893e-48,6.53119183655178e-46
"ENSG00000179094",2.92886573687544,6.53100094919246,212.282740947257,4.36364026902259e-48,6.98441029133631e-46
"ENSG00000167641",4.41603937657173,3.15476939833957,210.721081248516,9.5619742700557e-48,1.51922897078944e-45
"ENSG00000100526",-3.57686640356026,3.14652531205756,210.306432036794,1.17763647352049e-47,1.85739919122852e-45
"ENSG00000277494",5.16673415529041,4.12257504630584,209.944010094575,1.41280174793925e-47,2.21216088184574e-45
"ENSG00000171819",7.78913466788925,2.19784817438007,209.014231730028,2.25390109925755e-47,3.50376222681706e-45
"ENSG00000101003",-3.09858306894153,4.29589460259108,208.605686225523,2.76738936210516e-47,4.27126780974059e-45
"ENSG00000166803",-4.2214845688474,2.72844874673789,208.152990122079,3.47407586774223e-47,5.32395967022511e-45
"ENSG00000226005",5.96012497753794,-0.166311766267178,207.548230773471,4.70746384738851e-47,7.16330132495569e-45
"ENSG00000154529",5.09531335535376,1.33412572060622,205.711619067545,1.18444260077313e-46,1.78975074947593e-44
"ENSG00000276043",-4.22494629901571,4.39671920795146,204.309267512485,2.39608388568685e-46,3.59545698624454e-44
"ENSG00000165480",-3.68140130548152,3.02153412689459,203.788213302854,3.11312599957337e-46,4.63920183439871e-44
"ENSG00000123975",-2.94630976660639,4.68713878320923,203.452998433576,3.68418761216281e-46,5.45259766600096e-44
"ENSG00000189159",-2.5492180439375,6.49579657297087,202.455001624447,6.08291168706589e-46,8.94146637647073e-44
"ENSG00000154736",3.58144827940386,6.11225595584633,202.032758692433,7.5205461542977e-46,1.09799973852746e-43
"ENSG00000285294",6.38718108327414,-0.943529088709511,201.839959357109,8.28553473530343e-46,1.20156935946602e-43
"ENSG00000138131",3.93286809137238,4.36617946131345,201.634968836741,9.18442943753816e-46,1.32304767524216e-43
"ENSG00000168078",-4.71014238158508,3.79674911200321,200.708183077015,1.46316004069339e-45,2.09377232843065e-43
"ENSG00000166265",2.76058485192797,5.49396469879359,200.491364099401,1.6315706915406e-45,2.31940654623745e-43
"ENSG00000117399",-4.06494953699848,4.96384721688499,200.378612843753,1.72667452801619e-45,2.43856099355385e-43
"ENSG00000068489",-2.95225803859014,4.31672850271607,200.121989065974,1.96431527019795e-45,2.75616391937904e-43
"ENSG00000111665",-3.36073558862972,3.28353845055954,198.92675752593,3.58129835789463e-45,4.99256096241208e-43
"ENSG00000185559",7.82833500244074,2.1485118820054,198.838595277101,3.74351869962417e-45,5.18525333727431e-43
"ENSG00000077157",2.53245080777563,7.036283983475,198.146786440928,5.29973034557604e-45,7.29404925523612e-43
"ENSG00000168309",5.19265736904216,5.12972902334456,198.057799017352,5.54209196349713e-45,7.57933690805354e-43
"ENSG00000109674",-4.30617924844675,1.73571233685537,197.9435605274,5.8695438508622e-45,7.9766731779516e-43
"ENSG00000170153",3.53477955870888,5.32634075547333,197.613764033974,6.92751175774027e-45,9.35560462882824e-43
"ENSG00000164434",8.31306705364751,2.89606232958827,197.091225503341,9.00770879605557e-45,1.20893522773397e-42
"ENSG00000016602",7.28455574250395,1.21378476816639,197.056780232374,9.16498189298561e-45,1.22245017742983e-42
"ENSG00000168824",4.79793751464358,2.7790300116665,196.338809213232,1.31468524967291e-44,1.7428048389529e-42
"ENSG00000109610",4.09264775850539,5.47087707621292,196.060157321277,1.51229186596388e-44,1.99253674632607e-42
"ENSG00000198932",3.10570945233623,4.13434610440188,196.036193715296,1.53061345133877e-44,2.00445427009262e-42
"ENSG00000065618",6.70741912674906,7.29006912356,196.018259028841,1.54447066038816e-44,2.010416989739e-42
"ENSG00000180914",5.21143979750942,6.90101461973636,195.75812728543,1.76015958209419e-44,2.27745678143061e-42
"ENSG00000259446",6.69456795961134,-2.54379439180929,195.301150532814,2.21455118256222e-44,2.84833464004789e-42
"ENSG00000178999",-3.9041092913051,3.12527559377915,194.800502604773,2.84807767047897e-44,3.64149481087039e-42
"ENSG00000196611",-7.23691437975366,4.19037119167113,194.709048757635,2.98202807016536e-44,3.79033309059606e-42
"ENSG00000178828",6.90590930458676,-0.827369389785377,193.966573557158,4.33071358945132e-44,5.47240112519673e-42
"ENSG00000280362",5.87727748607343,-0.364355696420064,193.669537841422,5.02793192641351e-44,6.31648564336879e-42
"ENSG00000133392",4.91633095437601,8.19418697371857,193.04140395016,6.89422162029222e-44,8.61100235672106e-42
"ENSG00000154263",5.76610957724471,3.68974590478013,192.399139909496,9.52066869589689e-44,1.18231384586747e-41
"ENSG00000083067",4.14648703476584,-0.10793516336698,192.201898284859,1.05127998386924e-43,1.2980604509398e-41
"ENSG00000161888",-3.74802505408666,3.20659023938505,192.009977284736,1.15773256016064e-43,1.42137983863359e-41
"ENSG00000288605",6.0728170459622,-0.7674243517293,191.742369185094,1.3243975969019e-43,1.61681261434216e-41
"ENSG00000171241",-3.47629672912219,3.52261170480368,190.676580608578,2.26281713429593e-43,2.74690745156553e-41
"ENSG00000154027",5.05491191520166,5.31138850007875,190.255611744934,2.79599707960239e-43,3.37519021765633e-41
"ENSG00000140525",-2.52778739118952,5.44782671099268,189.119460317386,4.94921275669118e-43,5.9412549581435e-41
"ENSG00000123473",-2.56770450107414,4.0888337164351,188.899603412695,5.52748313422133e-43,6.5987765505113e-41
"ENSG00000229246",6.34460538962588,-2.1005735961768,187.461314647996,1.13891252360503e-42,1.35217702253064e-40
"ENSG00000127743",4.87795438568533,0.777845452216497,187.284598453565,1.2447051023386e-42,1.46970425417118e-40
"ENSG00000113368",-3.11521169700882,5.97555967814299,186.673488913218,1.69226952775214e-42,1.98731304106892e-40
"ENSG00000154721",2.67021071080595,5.44688101397766,186.635254442052,1.72510709187808e-42,2.01492508331359e-40
"ENSG00000071539",-3.17002279461095,4.311574681868,186.124351852692,2.23021210161151e-42,2.59088296191514e-40
"ENSG00000115163",-4.13407351610608,2.62043017850595,185.605564528311,2.89467062549572e-42,3.3448151270434e-40
"ENSG00000182463",3.39818021235284,5.65046153030676,185.558761832909,2.96357838468439e-42,3.40622349660959e-40
"ENSG00000138640",2.71707088674819,5.71141283344403,185.491886322978,3.06489572365825e-42,3.50403528025436e-40
"ENSG00000075218",-3.58404186135973,3.40293882495384,185.291111499914,3.39036219372816e-42,3.85573401484621e-40
"ENSG00000114346",-2.51905322059395,5.95736526277928,185.229201088507,3.49753101979058e-42,3.95678797254632e-40
"ENSG00000080166",4.84889942476321,0.105463504881826,185.083294631579,3.76369199322746e-42,4.23572169737807e-40
"ENSG00000121621",-3.19697507424316,3.27753086280289,184.985265941278,3.95379880071451e-42,4.42661577646835e-40
"ENSG00000169744",2.55954837294137,5.19035411018611,183.809356802314,7.14052467457019e-42,7.9532194416553e-40
"ENSG00000135476",-3.51185048087753,4.16969116085993,183.427920577225,8.64976382933809e-42,9.58482547817116e-40
"ENSG00000130176",4.48719618416667,6.71001382748041,183.137951810177,1.00071419909904e-41,1.10231951464053e-39
"ENSG00000167614",4.21226536597246,3.03073198844427,183.129482197664,1.0049840077017e-41,1.10231951464053e-39
"ENSG00000156802",-2.75484188781618,6.64420486793262,183.058213000037,1.04164248735233e-41,1.13675812458127e-39
"ENSG00000184500",2.7064526970876,5.76731024899839,182.993226811257,1.07623358049372e-41,1.16860578931197e-39
"ENSG00000153822",7.08895446692864,1.91879534472448,182.861060292541,1.15016819525438e-41,1.24264171815283e-39
"ENSG00000112742",-3.41990919008493,3.87381300444945,182.100548574617,1.68577538345286e-41,1.81225047192286e-39
"ENSG00000164488",6.05515717045476,1.3908021772681,181.864609361755,1.89806803144991e-41,2.0303690110678e-39
"ENSG00000256916",6.40462853457469,1.33840788206904,181.417246100534,2.3767557407775e-41,2.52989842594681e-39
"ENSG00000139734",-2.97067618817779,3.38719308969363,180.502616091106,3.76426042003838e-41,3.98716368412693e-39
"ENSG00000237649",-3.37679251454559,4.54573762104605,180.261474892667,4.24942300392586e-41,4.47909913506488e-39
"ENSG00000261054",5.89640272785321,-0.456988302816004,179.73484928911,5.53749956173484e-41,5.80846070533818e-39
"ENSG00000149451",4.30381414151614,4.23750768417354,179.305985042915,6.86994912411151e-41,7.17129761709186e-39
"ENSG00000179796",5.62198478327492,0.663231921055222,178.900010418189,8.42551879394669e-41,8.75281779325e-39
"ENSG00000276289",5.35302142094984,-0.951318707975323,177.446375312681,1.74985382135492e-40,1.80913116611661e-38
"ENSG00000163431",3.28228142233751,6.02611778530573,177.427833707853,1.76624307029344e-40,1.81738001251908e-38
"ENSG00000141404",3.34215142902608,3.44484821092123,177.284697987559,1.89803984002867e-40,1.93700521121259e-38
"ENSG00000285051",5.44708875385135,-0.983704025118466,177.282194057493,1.90043088104901e-40,1.93700521121259e-38
"ENSG00000094963",5.45112161309923,6.55295565689437,177.168168137491,2.01256849759148e-40,2.04167042704022e-38
"ENSG00000034239",5.13959066905336,1.57606523143233,176.482335092395,2.84125611328177e-40,2.86887206055105e-38
"ENSG00000261616",4.7232880288856,1.53672922737832,176.35672038967,3.0264965135609e-40,3.04169937976856e-38
"ENSG00000228162",6.74308979840712,-0.71106977534189,175.800667313459,4.00279860573857e-40,3.99966657604509e-38
"ENSG00000101412",-2.97308987110896,4.17690899143838,175.793774333791,4.01669588579131e-40,3.99966657604509e-38
"ENSG00000094755",7.70646716679448,7.40904837398131,174.663644247756,7.09020057805345e-40,7.0277547747972e-38
"ENSG00000287313",4.80648350681777,-1.73312532659641,174.613398239976,7.27161846558643e-40,7.17466355271195e-38
"ENSG00000276409",5.61122340147766,0.835854463135411,174.59089793216,7.35435576282114e-40,7.2233145146836e-38
"ENSG00000103546",6.04269582855766,-0.0741731175541933,174.495451370972,7.71592527416644e-40,7.54414992417142e-38
"ENSG00000105974",3.84711727849254,8.71338651173139,174.002942221678,9.8842091078339e-40,9.62063019829166e-38
"ENSG00000136014",3.73312070762146,0.591653289954335,173.963669119303,1.00813441122184e-39,9.76850598999172e-38
"ENSG00000240583",3.08988076415182,8.24421942827199,173.890247725392,1.046049734312e-39,1.00906440442025e-37
"ENSG00000158458",4.50782928794956,1.57085926170583,173.876757534338,1.05316968467605e-39,1.01141735762134e-37
"ENSG00000132975",6.7556511721497,0.514093401908147,173.325480405657,1.3895957989666e-39,1.32860115150754e-37
"ENSG00000078549",3.86203995202171,2.97873438145771,171.898865023812,2.84740059376789e-39,2.71042431850821e-37
"ENSG00000186642",3.69910845758924,5.29743268457472,171.768593232757,3.04018137338257e-39,2.88123855772152e-37
"ENSG00000065534",2.99001816340423,8.4304940261543,170.968426220195,4.54627783616605e-39,4.28978041414306e-37
"ENSG00000198885",3.77688802409883,2.91665309591754,170.808921267376,4.92597734446464e-39,4.62784862866052e-37
"ENSG00000105971",3.33235420685004,6.83321684334638,170.120243854428,6.96472677178208e-39,6.51488381318906e-37
"ENSG00000129467",2.94665429355349,4.47724706392722,169.980936968807,7.47016242952927e-39,6.95755473177881e-37
"ENSG00000196550",-3.37122971815636,0.681131069072161,169.793081436617,8.21031317153968e-39,7.61409643822443e-37
"ENSG00000137960",3.86653222512219,2.79487735940603,169.392766737045,1.00413856286739e-38,9.27240430189679e-37
"ENSG00000175305",-3.16370715310145,3.10579948519042,168.749753790887,1.38751759019107e-38,1.27580766335527e-36
"ENSG00000230838",-6.79864823982928,2.45676076604205,167.974862169362,2.04876415895384e-38,1.87583457401164e-36
"ENSG00000134760",6.62934338902008,2.15979660068213,167.836983485967,2.19587793261694e-38,2.00204769485176e-36
"ENSG00000093009",-3.68368411536334,3.32407162298737,167.643881015766,2.41984164756692e-38,2.19697219834563e-36
"ENSG00000106714",4.82001476736501,1.90388823399318,166.926095222236,3.4719468417048e-38,3.13898859228273e-36
"ENSG00000286289",3.95992322086491,2.40874834849336,166.012511624951,5.49709226349862e-38,4.94921540123659e-36
"ENSG00000145777",5.22097294542865,1.230529845335,165.380405924153,7.55460407520692e-38,6.7734392056876e-36
"ENSG00000184113",4.19051104020358,4.86217333151725,164.899766398194,9.62068133631134e-38,8.5902348064056e-36
"ENSG00000168874",4.9213318696583,3.74679468731304,164.370758328305,1.25535912500079e-37,1.11628806473321e-35
"ENSG00000165810",5.15112929080282,5.7706146159766,164.08438649531,1.44986314664464e-37,1.2839607734712e-35
"ENSG00000182175",3.50249340961113,4.62891790098385,163.817924325532,1.65781962235231e-37,1.4621292408077e-35
"ENSG00000120162",2.83692521788832,4.45809703520673,163.187829893889,2.27607952691045e-37,1.99924904136101e-35
"ENSG00000013297",4.45401776956503,4.46622318827619,162.414684884635,3.35809268174582e-37,2.93771929826573e-35
"ENSG00000127564",-4.68779539880308,3.51489084266338,162.290221193546,3.5750663468521e-37,3.11492071059597e-35
"ENSG00000177098",3.4071324339107,4.71220470814184,162.11282399292,3.90876955639261e-37,3.39199568572416e-35
"ENSG00000113810",-2.06751157284428,6.06575307613315,161.0863508026,6.55086480627104e-37,5.66204346935618e-35
"ENSG00000172201",4.68493661252807,6.29169070862242,161.005775550541,6.82185784562212e-37,5.87277706486864e-35
