name	name-2	source_db_name	source_db_version
CANT1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CARS	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CASP8	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CBL	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CBLB	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CCNB1IP1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CCND1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CCND3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CCNE1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CDC73	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CDK6	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CDKN2B	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CDKN2C	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CHCHD7	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CIC	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CRKL	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CSF3R	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CTCF	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CTLA4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CTNNB1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
CYLD	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
DEK	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
DICER1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
DNMT3A	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
EBF1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
ELK4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
ELL	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
EP300	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
EPS15	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
ETV4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
ETV5	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
ETV6	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
EWSR1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
FCRL4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
FGFR3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
FGR	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
FHIT	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
FIP1L1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
FLI1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
FLT1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
FOXO3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
FOXO4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
FUBP1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
FUS	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
GID4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
GMPS	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
GOPC	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
H3F3B	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
HERPUD1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
HEY1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
HGF	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
HIST1H3B	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
HNF1A	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
HOXA11	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
HOXA9	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
HOXC11	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
HOXC13	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
HOXD11	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
HSP90AA1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
HSP90AB1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
IL21R	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
IL7R	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
INHBA	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
INSR	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
IRS2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
KDM5A	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
KDM6A	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
KDSR	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
KLHL6	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
KMT2C	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
KRAS	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
LHFPL6	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
LMO1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
LMO2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
LYL1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MAP2K1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MAP3K1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MAST2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MDS2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MLF1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MLH1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MLLT10	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MLLT11	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MLLT6	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MNX1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MTOR	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MYCL	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MYCN	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
MYD88	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
NCOA1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
NFE2L2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
NONO	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
NOTCH1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
NRG1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
NUTM2B	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
OLIG2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PAFAH1B2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PAK3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PATZ1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PAX5	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PAX7	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PAX8	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PBX1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PDCD1LG2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PDGFRB	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PDK1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PIK3R1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PIK3R2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PLAG1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PML	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PRKCA	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
RABEP1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
RAP1GDS1	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
RECQL4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
SDHD	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
SLC34A2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
SMAD2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
SMO	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
SNX29	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
SOX10	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
SRGAP3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
SRSF2	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
STAT4	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
STAT5B	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
STK11	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
SUZ12	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
TFRC	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
TLX3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
TP53	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
TPM3	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
TRIM26	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
TRRAP	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
VEGFA	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
XPA	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
ZNF217	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
ZNF521	CLINICALLY ACTIONABLE	CarisMolecularIntelligence	9/4/20
PDGFRA	DRUG RESISTANCE	COSMIC	4-Sep-20
ALK	DRUG RESISTANCE	COSMIC	4-Sep-20
MET	DRUG RESISTANCE	COSMIC	4-Sep-20
BTK	DRUG RESISTANCE	COSMIC	4-Sep-20
MAP2K1	DRUG RESISTANCE	COSMIC	4-Sep-20
ADRA2A	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
ADRA2B	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
ADRB1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
AGTR2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
APLNR	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
AVPR1B	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
BRS3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
C3AR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CALCRL	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CASR	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CCBP2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CCR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CCR10	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CCR8	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CCRL2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CELSR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CHRM2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CHRM5	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CMKLR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CRHR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CX3CR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
CXCR3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
DRD1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
DRD5P1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
DRD5P2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
EDNRB	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
FFAR3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
FPR3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
FSHR	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
FZD1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
FZD10	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
FZD6	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GABBR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GABBR2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GALR3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GHRHR	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR111	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR116	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR124	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR139	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR141	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR143	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR144	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR152	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR174	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR18	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR19	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR20	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR32	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR33	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR37L1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR45	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR56	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR61	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR75	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPR98	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPRC5A	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GPRC5D	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GRM1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GRM5	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
GRM7	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
HCRTR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
HTR1F	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
HTR2C	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
HTR4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
HTR5A	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
HTR7	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LGR4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LGR5	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LPAR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LPAR3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
LTB4R2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MAS1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MC4R	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MC5R	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
MCHR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
NMUR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
NPBWR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
NPBWR2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
NPFFR2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
NPSR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
NTSR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
O3FAR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OPN1LW	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OPN3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OPN4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OPRL1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR10A7	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR10AG1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR10G6	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR10G7	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR10G9	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR10H3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR10H4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR10J4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR10K1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR10S1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR10X1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR11H2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR12D2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR13C3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR13C4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR13C5	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR13F1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR13G1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR1C1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR1J2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR1J4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR1L1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR1L8	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR1S2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2A2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2A25	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2A42	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2AG2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2AK2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2B3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2B6	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2G2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2H2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2J3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2J4P	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2K2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2M2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2M4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2S2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2T1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2U1P	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2V2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR2W6P	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR3A3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR3A4P	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR3A5P	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR4A47	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR4A4P	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR4C46	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR4E1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR4F16	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR4F17	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR4K13	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR4S2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR51A1P	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR51A2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR51B5	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR51D1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR51E2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR51F1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR51G2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR51J1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR52A4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR52A5	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR52E2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR52H1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR52I2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR52L2P	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR52M1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR52R1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR52Z1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR56A5	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR56B1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR56B2P	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR5A2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR5AK2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR5AL1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR5AR1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR5AU1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR5B2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR5C1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR5H15	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR5K4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR5M8	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR5P2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR5P3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR6B1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR6C4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR6C75	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR6K2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR6K3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR6K6	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR6N2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR6T1	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR7D4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR7G3	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR8B12	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR8B2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR8B4	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
OR8D2	G PROTEIN COUPLED RECEPTOR	dGene	27-Jun-13
