"","gene_id"
"195","AKAP8L"
"196","MBTD1"
"197","UTP18"
"198","RNF216"
"199","TTC19"
"200","PTBP1"
"201","LARS2"
"202","PIK3C2A"
"203","PLAUR"
"204","WIZ"
"205","RABGAP1"
"206","DCN"
"207","QPCTL"
"208","PPP5C"
"209","CEP68"
"210","MAP4K3"
"211","TYROBP"
"212","LDAF1"
"213","ERCC1"
"214","SEMA3B"
"215","MBTPS2"
"216","PRICKLE3"
"217","EXTL3"
"218","NR1H4"
"219","ELOVL5"
"220","CALCOCO1"
"221","UBR7"
"222","MAP4K5"
"223","EHD3"
"224","PSMC4"
"225","MAN2B2"
"226","SLC25A39"
"227","MVP"
"228","NUB1"
"229","PGM3"
"230","RWDD2A"
"231","CLK1"
"232","POLR3B"
"233","ANGEL1"
"234","RNF14"
"235","DNASE1L1"
"236","DDX11"
"237","HEBP1"
"238","GPRC5A"
"239","MAMLD1"
"240","UFL1"
"241","ZC3H3"
"242","CAPN1"
"243","ACP3"
"244","MDH1"
"245","SLC30A9"
"246","MTMR11"
"247","COX15"
"248","CCDC88C"
"249","YAF2"
"250","ZMYND11"
"251","MATR3"
"252","NPC1L1"
"253","XYLT2"
"254","NUDCD3"
"255","CHDH"
"256","IL20RA"
"257","GLT8D1"
"258","ATP2C1"
"259","SLC38A5"
"260","RALBP1"
"261","RUFY3"
"262","CNTN1"
"263","SLC11A1"
"264","WWTR1"
"265","AGPS"
"266","STEEP1"
"267","TTC27"
"268","ZNF582"
"269","VSIG2"
"270","PHLDB1"
"271","PRDM11"
"272","SYT13"
"273","HGF"
"274","ZRANB1"
"275","NCDN"
"276","ADGRA2"
"277","ZFP64"
"278","MNAT1"
"279","SAMD4A"
"280","MRE11"
"281","PLEKHB1"
"282","SERPINB1"
"283","SPAST"
"284","OSBPL5"
"285","AQR"
"286","CPS1"
"287","RTF2"
"288","SLC45A4"
"289","RNF10"
"290","ZNF839"
"291","ZDHHC6"
"292","RNH1"
"293","NDUFS1"
"294","RB1CC1"
"295","ERP44"
"296","ALAS1"
"297","BIRC3"
"298","AKAP11"
"299","GLRX2"
"300","SNAPC1"
"301","DERA"
"302","STRAP"
"303","DEF6"
"304","PLEKHO1"
"305","GCLM"
"306","UBR2"
"307","EHD2"
"308","CCDC28A"
"309","RRAGD"
"310","HSF2"
"311","PHF20"
"312","NR1H3"
"313","NCAPH2"
"314","TOMM34"
"315","SEC63"
"316","KPNA6"
"317","VIM"
"318","RTEL1-TNFRSF6B"
"319","FAS"
"320","RNASET2"
"321","AGPAT4"
"322","SLAMF7"
"323","MIPEP"
"324","PRKCH"
"325","IFNGR1"
"326","B4GALT7"
"327","VRK2"
"328","TNFRSF1B"
"329","VEZT"
"330","POU2F2"
"331","BRD9"
"332","SNX1"
"333","TBPL1"
"334","BMAL2"
"335","BCLAF1"
"336","SLC39A9"
"337","ANK1"
"338","TFB1M"
"339","RABEP1"
"340","NUP160"
"341","BAK1"
"342","IKZF2"
"343","GRN"
"344","FAM13B"
"345","ARHGAP31"
"346","CENPQ"
"347","SARS1"
"348","RANBP3"
"349","ARID4A"
"350","EIPR1"
"351","PNPLA6"
"352","IFT88"
"353","ALG1"
"354","ZCCHC8"
"355","ABCF2"
"356","CHPF2"
"357","FUT8"
"358","UBA6"
"359","GAB2"
"360","ATP6V0A1"
"361","PIAS1"
"362","MAP2K3"
"363","TMSB10"
"364","ASTE1"
"365","RNF19A"
"366","PEX3"
"367","GABARAPL2"
"368","SH3YL1"
"369","FAM136A"
"370","VCL"
"371","DAPK2"
"372","NSMAF"
"373","ADSS2"
"374","RFC1"
"375","TBC1D23"
"376","CUL3"
"377","OTC"
"378","ZZZ3"
"379","TUBG2"
"380","RPL26L1"
"381","FLT4"
"382","NSUN2"
"383","FBXO42"
"384","MFAP3"
"385","MRI1"
"386","METTL1"
"387","AGA"
"388","PI4K2B"
"389","BOD1L1"
"390","MAT2B"
"391","EDC4"
"392","TRIO"
"393","CLEC16A"
"394","MSR1"
"395","CDH1"
"396","MTREX"
"397","DNAH5"
"398","ZFYVE16"
"399","RIPOR1"
"400","RAI14"
"401","PNKP"
"402","STAU2"
"403","SLC66A1"
"404","CTNS"
"405","PHF23"
"406","INPP4A"
"407","PSMA4"
"408","LSG1"
"409","PARP3"
"410","TNC"
"411","THAP3"
"412","TDP1"
"413","AIFM2"
"414","SPATA7"
"415","MED17"
"416","RETSAT"
"417","CAPG"
"418","BARX2"
"419","DCUN1D1"
"420","JADE2"
"421","LCP2"
"422","TRIT1"
"423","CUL7"
"424","CTNNA1"
"425","PHKA2"
"426","CNTLN"
"427","EPHA3"
"428","HSPA5"
"429","DSG2"
"430","GEMIN8"
"431","OFD1"
"432","GPM6B"
"433","WDR37"
"434","YTHDC2"
"435","CTPS2"
"436","ATP6V1H"
"437","POLR2B"
"438","ATOSA"
"439","ARAP2"
"440","TPR"
"441","KATNIP"
"442","DTNBP1"
"443","XK"
"444","ANO2"
"445","C12orf4"
"446","SCML1"
"447","WWC3"
"448","MAP4"
"449","GOPC"
"450","USP28"
"451","HDAC9"
"452","TSPAN17"
"453","NOP16"
"454","CC2D2A"
"455","RRM2B"
"456","ZNF800"
"457","SNX29"
"458","MRPS10"
"459","RSF1"
"460","VPS13D"
"461","CELF2"
"462","FAM120A"
"463","R3HDM1"
"464","KITLG"
"465","ERCC8"
"466","ADAMTS6"
"467","H6PD"
"468","VAMP3"
"469","EPN3"
"470","LTBP1"
"471","RCN1"
"472","ELN"
"473","ARID1B"
"474","CLPTM1L"
"475","NEDD4L"
"476","PPP1R3F"
"477","HEXB"
"478","PTCD2"
"479","JKAMP"
"480","DKK3"
"481","ARHGEF5"
"482","MCUR1"
"483","LIMA1"
"484","LETMD1"
"485","LAMC3"
"486","MAPK9"
"487","BCAR1"
"488","FHIP1B"
"489","HERPUD1"
"490","HOMER3"
"491","PIK3CB"
"492","THOC3"
"493","HEBP2"
"494","MPHOSPH9"
"495","PLEKHA5"
"496","PRSS8"
"497","SIKE1"
"498","RRP12"
"499","FNIP2"
"500","MSMO1"
"501","TTC17"
"502","AKR7A2"
"503","MRTO4"
"504","USE1"
"505","LAMA3"
"506","AP5M1"
"507","ANAPC4"
"508","KCNQ1"
"509","TRAPPC3"
"510","THRAP3"
"511","PHPT1"
"512","ENTPD2"
"513","LY75"
"514","ARID4B"
"515","OPN3"
"516","SDCCAG8"
"517","HHAT"
"518","KIF1B"
"519","FOXC1"
"520","TBC1D22A"
"521","SYNE2"
"522","PLEKHH1"
"523","ATP9A"
"524","FAM168A"
"525","GALC"
"526","NOP58"
"527","SZRD1"
"528","CUL1"
"529","FAM114A2"
"530","CYFIP2"
"531","TAB2"
"532","GINM1"
"533","EIF2AK2"
"534","USP36"
"535","KMT2C"
"536","MCOLN3"
"537","PUM2"
"538","MRPL43"
"539","HPF1"
"540","ZFR"
"541","ZNF280C"
"542","TRAF1"
"543","RC3H2"
"544","TRAF3IP2"
"545","GYG2"
"546","SOAT1"
"547","PKP2"
"548","GDI2"
"549","PRDM1"
"550","ATG5"
"551","TMCC3"
"552","PITHD1"
"553","MTA3"
"554","USP13"
"555","ATP11B"
"556","LAMC2"
"557","CDK14"
"558","SEC61A1"
"559","PPP1R12A"
"560","CROCC"
"561","POLR3E"
"562","ATP2B4"
"563","ZC3H11A"
"564","RIOK2"
"565","YIPF1"
"566","DGKG"
"567","FLYWCH1"
"568","UNKL"
"569","TBXAS1"
"570","PARP12"
"571","ALDH18A1"
"572","TARBP1"
"573","GATB"
"574","MXD1"
"575","CDK17"
"576","DNAJC25"
"577","SLC2A3"
"578","CTDP1"
"579","YBX3"
"580","STYK1"
"581","WNK1"
"582","CCAR1"
"583","OGFR"
"584","GNA15"
"585","PIGV"
"586","PTPRU"
"587","SNRNP40"
"588","RIMBP2"
"589","COL11A1"
"590","QSER1"
"591","MPC1"
"592","ACAA1"
"593","BCAT1"
"594","HDAC7"
"595","LZTS1"
"596","SPAG4"
"597","NCKAP1"
"598","MRPS35"
"599","SFSWAP"
"600","TNK2"
"601","MON2"
"602","CDH3"
"603","GPBP1"
"604","DGAT2"
"605","ZNF112"
"606","CS"
"607","LTK"
"608","ELMO2"
"609","WAPL"
"610","VMP1"
"611","APPBP2"
"612","EIF4B"
"613","BICRA"
"614","SPHK2"
"615","RPL18"
"616","CA11"
"617","ISOC2"
"618","U2AF2"
"619","EPN1"
"620","MED29"
"621","ZNF275"
"622","MTMR1"
"623","ADCK1"
"624","HAGH"
"625","RNF4"
"626","CASP8"
"627","LIMCH1"
"628","INTS13"
"629","TM7SF3"
"630","SPA17"
"631","ST3GAL6"
"632","ATP2C2"
"633","TAF2"
"634","HIPK2"
"635","TNPO3"
"636","RFXANK"
"637","TMEM161A"
"638","LPAR2"
"639","CTSA"
"640","SUGP2"
"641","SLC12A2"
"642","SNX24"
"643","CNN2"
"644","ABCA7"
"645","SNCAIP"
"646","DDX20"
"647","BTBD1"
"648","FAR2"
"649","SBNO2"
"650","PMS1"
"651","HMG20B"
"652","CALCRL"
"653","TAF11"
"654","ANKS1A"
"655","AP3D1"
"656","ZNF76"
"657","NTHL1"
"658","BLTP3A"
"659","GNAI3"
"660","IPO5"
"661","OAT"
"662","WDR3"
"663","PKN2"
"664","TRAM2"
"665","DGKA"
"666","ERBB3"
"667","KARS1"
"668","ADAT1"
"669","PDIA5"
"670","TBC1D22B"
"671","NDUFB4"
"672","SPEN"
"673","ZC3H15"
"674","MAP2K4"
"675","PACC1"
"676","SLK"
"677","CYB5R4"
"678","COL17A1"
"679","GSTO2"
"680","SEC61A2"
"681","PRKCQ"
"682","TLE2"
"683","ASB1"
"684","ME1"
"685","TBC1D1"
"686","CDK13"
"687","SLC9A7"
"688","FOXJ2"
"689","PPP2R5A"
"690","ELAVL1"
"691","TIE1"
"692","DIP2B"
"693","SMARCD1"
"694","KDM4A"
"695","NFYC"
"696","ZMYND12"
"697","SLC9A3"
"698","NGEF"
"699","CD84"
"700","ELOVL1"
"701","SPI1"
"702","POLR1H"
"703","CLDN18"
"704","ZBTB11"
"705","ATXN3"
"706","GOLGA5"
"707","FGFR2"
"708","LRRC40"
"709","ISOC1"
"710","TRMT11"
"711","THUMPD1"
"712","MSANTD3"
"713","ATG2B"
"714","ARFGEF1"
"715","ZFAT"
"716","MTFR1"
"717","FECH"
"718","MYO9A"
"719","PFKP"
"720","IDI1"
"721","SP100"
"722","KLF6"
"723","PLPP1"
"724","NEO1"
"725","TRAM1"
"726","PHKA1"
"727","TNFRSF1A"
"728","EVI5"
"729","STOML1"
"730","PKM"
"731","DHX29"
"732","DNTTIP2"
"733","METTL22"
"734","TP53BP1"
"735","RRP15"
"736","RHOA"
"737","DHX8"
"738","PMS2P4"
"739","PRKCZ"
"740","IARS2"
"741","IDH3G"
"742","ROGDI"
"743","ROCK1"
"744","CBFB"
"745","HYAL2"
"746","HDAC4"
"747","RASSF1"
"748","IFI35"
"749","HEATR6"
"750","COASY"
"751","PLEKHH3"
"752","MEF2A"
"753","OTUD5"
"754","TFE3"
"755","TBC1D25"
"756","ACSL4"
"757","INPP5A"
"758","GPKOW"
"759","GRIPAP1"
"760","FTSJ1"
"761","REEP1"
"762","POLR1A"
"763","LAPTM4A"
"764","TTC7A"
"765","IP6K2"
"766","SRBD1"
"767","KIF2A"
"768","PSME4"
"769","IFT80"
"770","SIRT2"
"771","ERLEC1"
"772","PPP2R5B"
"773","PITX1"
"774","MAST4"
"775","SDK2"
"776","NUP133"
"777","NUCKS1"
"778","VPS35"
"779","DNAJA2"
"780","BCL3"
"781","ABCC9"
"782","CLEC2D"
"783","FUNDC1"
"784","TGFBR3"
"785","NEDD4"
"786","PIGB"
"787","MAPK6"
"788","GNB5"
"789","HDHD5"
"790","UFD1"
"791","LRP6"
"792","PHRF1"
"793","ELP1"
"794","NUCB2"
"795","PFN2"
"796","PTPN3"
"797","DAPP1"
"798","SLC44A1"
"799","TMEM260"
"800","SMG6"
"801","EXOC5"
"802","CLTCL1"
"803","FSTL3"
"804","DGCR2"
"805","RNF126"
"806","MNT"
"807","ZXDC"
"808","JMJD6"
"809","POLB"
"810","ST6GALNAC1"
"811","WIPI1"
"812","GBA2"
"813","NDST1"
"814","ASNS"
"815","AP3M2"
"816","ST6GALNAC2"
"817","PABPC1"
"818","TESK2"
"819","CFAP20"
"820","CSNK2A2"
"821","PTPN21"
"822","EIF2B3"
"823","TCOF1"
"824","CDC42"
"825","OSBPL3"
"826","ATP2B1"
"827","NCK2"
"828","MAP4K4"
"829","RPL31"
"830","WDR1"
"831","SNX13"
"832","ARHGAP10"
"833","ING3"
"834","LMCD1"
"835","BUD23"
"836","SEL1L"
"837","ATP6AP1"
"838","TCF3"
"839","DAZAP1"
"840","MBD3"
"841","HLTF"
"842","FAM50A"
"843","FAM3A"
"844","CPSF1"
"845","PDCD2"
"846","RDH11"
"847","PRKACA"
"848","ADGRL1"
"849","ACTN1"
"850","ZFYVE26"
"851","RPS6KA6"
"852","EPN2"
"853","PTPN18"
"854","LNX1"
"855","ALDH3A2"
"856","AFF4"
"857","UBE2D1"
"858","PALS1"
"859","SMC1A"
"860","HSD17B10"
"861","MARK2"
"862","CHFR"
"863","P4HA2"
"864","FCGR2B"
"865","NFATC3"
"866","TRNT1"
"867","ACADVL"
"868","STK10"
"869","FBXW11"
"870","EVC"
"871","DERL2"
"872","SIDT1"
"873","NDE1"
"874","AP1M1"
"875","PVR"
"876","XRCC1"
"877","SCARB1"
"878","SELENOO"
"879","ALPK1"
"880","LLGL2"
"881","PDE8A"
"882","CLCN4"
"883","NLE1"
"884","SDHA"
"885","SMARCE1"
"886","GSDMB"
"887","KDM5A"
"888","PPP2R3A"
"889","FERMT2"
"890","DHRS9"
"891","IGF2BP2"
"892","MAP3K13"
"893","ST6GAL1"
"894","PICALM"
"895","NSF"
"896","CLASP1"
"897","MRPS34"
"898","NOTCH3"
"899","CLNS1A"
"900","TEAD2"
"901","EED"
"902","CDHR2"
"903","TSG101"
"904","NCBP3"
"905","CA12"
"906","BCS1L"
"907","NUAK1"
"908","DPP8"
"909","SLC24A1"
"910","ZNF532"
"911","SCARF1"
"912","LMAN1"
"913","HACD3"
"914","ZZEF1"
"915","MYDGF"
"916","ANO8"
"917","TUBE1"
"918","ARHGEF10L"
"919","TXK"
"920","ACTR6"
"921","SRI"
"922","EIF4G3"
"923","NUP37"
"924","SEMA3A"
"925","TTC38"
"926","ACAT1"
"927","GRAMD4"
"928","CELSR1"
"929","ZNF638"
"930","SLC25A40"
"931","TIMM21"
"932","RASAL2"
"933","VPS9D1"
"934","ZNF37A"
"935","MARK3"
"936","SLC25A3"
"937","FNDC3B"
"938","FOSL2"
"939","FRYL"
"940","TMEM131"
"941","FSCN1"
"942","ACTB"
"943","MOCOS"
"944","PLD1"
"945","DLG1"
"946","RAB7A"
"947","BCAP29"
"948","SEC31B"
"949","SART3"
"950","ARHGAP15"
"951","EXOSC7"
"952","KIFAP3"
"953","MKRN2"
"954","REXO2"
"955","RBM7"
"956","RBMS2"
"957","BAZ2A"
"958","PTPN23"
"959","MLH1"
"960","KLHL20"
"961","SLC46A1"
"962","ANKRD13A"
"963","TPD52"
"964","TRAF4"
"965","PAG1"
"966","GPATCH1"
"967","ICAM3"
"968","NT5C2"
"969","MCAM"
"970","GPC4"
"971","MBNL3"
"972","CAMSAP3"
"973","RAP1GAP"
"974","XAB2"
"975","ARHGEF1"
"976","STXBP2"
"977","MAP2K7"
"978","CTTNBP2"
"979","TOP2B"
"980","TM9SF3"
"981","NFKB2"
"982","DNAJC10"
"983","GTF3C1"
"984","IL4R"
"985","USP33"
"986","SNRPA"
"987","DYNC1I2"
"988","APBB1IP"
"989","LRCH4"
"990","FAM76B"
"991","SIRT6"
"992","POLD3"
"993","CAPZB"
"994","GPR137B"
"995","JADE1"
"996","SLC25A43"
"997","UBE2A"
"998","FGFR1"
"999","ITGA8"
"1000","PIAS2"
"1001","ARAF"
"1002","MCCC1"
"1003","LAMP3"
"1004","NEBL"
"1005","ACER3"
"1006","UBE2K"
"1007","PIK3C3"
"1008","N4BP2"
"1009","TIGAR"
"1010","TULP3"
"1011","SYNJ2"
"1012","PPP2R5C"
"1013","PMS2P1"
"1014","GNB1"
"1015","EDN1"
"1016","MLLT10"
"1017","ZCWPW1"
"1018","ITM2A"
"1019","NRDC"
"1020","VDAC3"
"1021","PCM1"
"1022","TNRC6C"
"1023","CBFA2T2"
"1024","ITCH"
"1025","TP53INP2"
"1026","SDF4"
"1027","TOLLIP"
"1028","UBE2D4"
"1029","RUNX1T1"
"1030","THOC1"
"1031","FKBP7"
"1032","OSBPL6"
"1033","SLC1A3"
"1034","XRCC5"
"1035","LXN"
"1036","SP140"
"1037","MKNK1"
"1038","REXO1"
"1039","SAR1A"
"1040","CDC14A"
"1041","RAPGEF3"
"1042","SENP1"
"1043","CIC"
"1044","LIPE"
"1045","FDFT1"
"1046","OPHN1"
"1047","CARMIL1"
"1048","PGM1"
"1049","DDX1"
"1050","DNM2"
"1051","EPB41L2"
"1052","STX7"
"1053","RABL2B"
"1054","KEAP1"
"1055","PTPRH"
"1056","SLC35C2"
"1057","CRYBG3"
"1058","RFX3"
"1059","RIF1"
"1060","RAB21"
"1061","SLC4A4"
"1062","SMARCA2"
"1063","SESN1"
"1064","MID2"
"1065","COL5A3"
"1066","SRCAP"
"1067","PUM3"
"1068","CNOT4"
"1069","PSEN1"
"1070","CPOX"
"1071","CLDND1"
"1072","MOK"
"1073","HSP90AA1"
"1074","DLGAP4"
"1075","IGSF9B"
"1076","CROCCP3"
"1077","AP4E1"
"1078","RSBN1"
"1079","MAGI3"
"1080","CXCL2"
"1081","COL4A4"
"1082","TCF7"
"1083","OSTM1"
"1084","PCNP"
"1085","EXD2"
"1086","MEF2C"
"1087","PTPRC"
"1088","UBA5"
"1089","STK17B"
"1090","CDC14B"
"1091","ZNF510"
"1092","ZNF506"
"1093","JMJD4"
"1094","DUSP12"
"1095","AACS"
"1096","DELE1"
"1097","CADPS2"
"1098","IFT25"
"1099","PHLPP1"
"1100","ATP8B1"
"1101","WDR70"
"1102","FYB1"
"1103","STRADB"
"1104","BZW1"
"1105","PGR"
"1106","C1QTNF3"
"1107","ME2"
"1108","C5orf22"
"1109","CCNT2"
"1110","FAM135A"
"1111","COBLL1"
"1112","DLG3"
"1113","SERTAD4"
"1114","TRAF5"
"1115","MRPL22"
"1116","GEMIN5"
"1117","NFE2L1"
"1118","GSK3B"
"1119","ITGB5"
"1120","ERC1"
"1121","XPO1"
"1122","RNF13"
"1123","PALB2"
"1124","DOP1A"
"1125","LYRM2"
"1126","BCKDHB"
"1127","KAT6A"
"1128","TUT7"
"1129","ULK2"
"1130","GRHL2"
"1131","TNPO1"
"1132","PLOD1"
"1133","ITGAE"
"1134","DIS3"
"1135","PIBF1"
"1136","TDRD3"
"1137","NUFIP1"
"1138","PDS5B"
"1139","OXCT1"
"1140","RRAGB"
"1141","CYLD"
"1142","SLC27A5"
"1143","ZNF324"
"1144","ZNF671"
"1145","ZNF416"
"1146","ZNF586"
"1147","ZNF446"
"1148","ZNF264"
"1149","FAT1"
"1150","YTHDC1"
"1151","CHMP2B"
"1152","SMAP2"
"1153","PPIE"
"1154","ZMPSTE24"
"1155","STARD7"
"1156","NOA1"
"1157","REST"
"1158","HAL"
"1159","SSH1"
"1160","GSTP1"
"1161","APLP2"
"1162","FAM234B"
"1163","WBP11"
"1164","EIF3I"
"1165","COL16A1"
"1166","TXLNA"
"1167","NCOA1"
"1168","AGBL5"
"1169","EFR3B"
"1170","KIF3C"
"1171","RAB10"
"1172","HADHA"
"1173","MAPRE3"
"1174","CAD"
"1175","BCORL1"
"1176","ATRX"
"1177","AK6"
"1178","FCN1"
"1179","MYNN"
"1180","SCAMP1"
"1181","PREP"
"1182","HACE1"
"1183","SEH1L"
"1184","WDR47"
"1185","WDFY1"
"1186","OVGP1"
"1187","SLC25A24"
"1188","MAP3K4"
"1189","IGSF9"
"1190","ZNF213"
"1191","AKR1B1"
"1192","CPNE3"
"1193","RRN3"
"1194","CTTN"
"1195","MTIF2"
"1196","DDHD2"
"1197","TTC39A"
"1198","EPS15"
"1199","MGST2"
"1200","CHERP"
"1201","ATG16L1"
"1202","USP40"
"1203","POMGNT1"
"1204","MAST2"
"1205","DNAJA1"
"1206","B4GALT1"
"1207","CHMP5"
"1208","NFX1"
"1209","DIMT1"
"1210","IPO11"
"1211","EIF2AK1"
"1212","EPDR1"
"1213","SEPHS1"
"1214","MRPL28"
"1215","ITPKC"
"1216","CEACAM6"
"1217","RBM22"
"1218","TMED2"
"1219","ERO1B"
"1220","ZFAND6"
"1221","HSD17B2"
"1222","TXLNG"
"1223","LAT2"
"1224","HUWE1"
"1225","ZW10"
"1226","ALG9"
"1227","NOX4"
"1228","ACOX3"
"1229","MTMR2"
"1230","PPP1R15A"
"1231","TRIP6"
"1232","ACHE"
"1233","SRRT"
"1234","BAX"
"1235","NLK"
"1236","PIGS"
"1237","ADAMTS2"
"1238","ATXN7L3"
"1239","PGS1"
"1240","PSMC5"
"1241","UIMC1"
"1242","LPCAT2"
"1243","OGFOD1"
"1244","SH3BP2"
"1245","NOP14"
"1246","ADD1"
"1247","L2HGDH"
"1248","TXNDC16"
"1249","RTRAF"
"1250","GMCL1"
"1251","SF3B2"
"1252","KLHL42"
"1253","GNAS"
"1254","DNM1L"
"1255","PHACTR3"
"1256","ERGIC2"
"1257","PIR"
"1258","RFX2"
"1259","METTL2A"
"1260","ALG6"
"1261","CNOT3"
"1262","PTPN4"
"1263","DDX18"
"1264","KHSRP"
"1265","GNA11"
"1266","EDEM2"
"1267","FER1L4"
"1268","PDRG1"
"1269","EPB41L1"
"1270","DOCK9"
"1271","ANKRD10"
"1272","TGDS"
"1273","COQ9"
"1274","KIF9"
"1275","ARHGAP28"
"1276","CRLS1"
"1277","PPP1R13B"
"1278","ATRN"
"1279","SMOX"
"1280","SIGLEC1"
"1281","FKBP1A"
"1282","NSFL1C"
"1283","SLC4A11"
"1284","ZNF343"
"1285","MAVS"
"1286","LZTS3"
"1287","XRN2"
"1288","KIZ"
"1289","DYNLL1"
"1290","TESC"
"1291","SNX5"
"1292","RPL6"
"1293","MAPKAPK5"
"1294","P2RX7"
"1295","ESF1"
"1296","RBBP9"
"1297","ANAPC5"
"1298","SLC8B1"
"1299","TMEM230"
"1300","DZANK1"
"1301","KDM2B"
"1302","TASP1"
"1303","OAS1"
"1304","GCN1"
"1305","RPLP0"
"1306","PXN"
"1307","KIF16B"
"1308","TRMT6"
"1309","PEBP1"
"1310","BRAP"
"1311","ERP29"
"1312","FUS"
"1313","IGBP1"
"1314","FXYD5"
"1315","ZNF302"
"1316","GRAMD1A"
"1317","FXYD3"
"1318","CDIP1"
"1319","CMTM1"
"1320","GANAB"
"1321","GMIP"
"1322","RBM41"
"1323","MLF2"
"1324","OTUB2"
"1325","DDX24"
"1326","ZBTB25"
"1327","NECAP1"
"1328","ARHGAP4"
"1329","DHX32"
"1330","RCOR1"
"1331","GPATCH2L"
"1332","LTBP4"
"1333","BLVRB"
"1334","SPTLC1"
"1335","PAPOLA"
"1336","CCNK"
"1337","PCBP4"
"1338","RGS1"
"1339","MRPS33"
"1340","NDUFB2"
"1341","NUDC"
"1342","MAEA"
"1343","STRN4"
"1344","MUL1"
"1345","TFAP4"
"1346","PDCD7"
"1347","SPG21"
"1348","DNAJB11"
"1349","CHRD"
"1350","GNPTG"
"1351","ZNF268"
"1352","GOLGA3"
"1353","PABPC4"
"1354","CD209"
"1355","CERS4"
"1356","MCOLN1"
"1357","USP48"
"1358","EFNB1"
"1359","PDPR"
"1360","AARS1"
"1361","GLG1"
"1362","TNRC6A"
"1363","PLEKHG2"
"1364","EXOC1"
"1365","RBM27"
"1366","OSBPL8"
"1367","DTX2"
"1368","LAMB1"
"1369","SLC26A3"
"1370","DLD"
"1371","WDR7"
"1372","TXNL1"
"1373","ABCC6"
"1374","CMTM6"
"1375","ITGA6"
